"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134"
"51","43","      Drugs and druggists' sundries wholesalers","PK42223",89.84,89.749,89.54,89.26,89.43,89.568,89.601,89.756,89.857,90.166,90.451,90.694,90.666,91.374,95.607,95.61,95.991,96.39,96.729,96.739,96.796,97.15,97.417,97.579,97.323,97.317,97.465,97.269,97.373,98.276,98.531,98.556,98.962,99.197,99.438,99.426,99.617,99.675,99.475,99.566,99.759,99.594,99.941,100.413,100.486,100.37,100.35,100.567,100.747,100.918,100.849,100.988,100.523,100.969,100.646,100.689,100.872,101.053,101.244,101.26,101.415,101.469,101.551,101.624,101.755,102.035,102.131,102.533,102.779,103.078,103.06,103.129,103.491,103.403,103.592,103.802,104.165,104.408,104.669,104.741,105.124,105.181,105.505,105.722,106.482,106.554,106.634,107.167,107.478,107.308,107.319,107.719,107.694,108.06,108.378,108.88,109.196,110.177,110.284,110.505,111.373,111.849,113.01,113.213,112.871,112.999,113.56,113.568,114.268,114.504,114.769,114.415,115.255,115.345,115.709,115.677,115.879,116.036,116.356,116.833,117.438,117.69,117.675,118.186,118.137,118.176,118.429,119.254,119.799,120.212,120.352
"52","44","      Apparel, piece goods, and notions wholesalers","PK42233",100.079,100.239,100.311,100.354,100.497,100.433,100.525,100.631,100.773,100.754,100.788,100.824,101.228,101.107,100.999,100.965,100.955,100.796,100.671,100.696,100.829,100.789,100.672,100.459,100.432,100.282,100.344,100.288,100.201,100.049,100.121,100.024,100.156,100.042,99.939,100.195,100.145,100.201,100.185,100.173,100.112,99.69,99.915,99.948,100.012,99.928,99.883,99.829,99.842,99.918,100.427,100.261,100.111,100.036,99.921,100.065,99.69,99.514,99.487,99.362,99.126,98.997,98.521,98.359,98.369,98.307,98.224,98.286,98.131,98.306,98.308,98.905,98.728,98.645,98.751,98.808,98.918,98.744,98.655,98.867,98.964,98.899,98.957,99.021,99.129,99.077,98.977,99.057,99.095,99.088,99.089,99.009,99.093,99.117,99.152,99.141,99.291,99.335,99.338,99.369,99.362,99.42,99.485,99.572,99.938,99.732,99.634,99.702,99.921,100.023,99.853,100.061,100.148,100.127,100.171,100.297,100.217,100.385,100.371,100.315,100.641,100.616,100.845,100.902,100.812,100.933,101.009,101.159,101.399,101.433,101.58
"53","45","      Grocery and related products wholesalers","PK42243",98.754,98.907,100.106,98.927,99.795,98.476,97.985,98.768,98.634,99.639,98.445,98.954,98.169,98.912,98.687,99.39,98.794,98.362,99.308,98.8,98.96,99.432,98.741,98.964,100.261,98.943,99.581,99.282,99.759,100.118,99.495,99.542,100.478,100.023,99.02,99.873,99.055,99.42,99.85,100.294,101.371,99.96,99.836,99.08,100.099,100.638,100.698,99.718,101.046,101.925,102.735,102.586,103.385,102.989,101.944,102.893,103.488,103.007,102.313,102.952,103.611,104.615,105.894,101.564,102.117,102.001,102.032,101.687,101.292,101.827,101.406,101.323,102.96,102.989,103.464,104.294,104.924,104.391,104.224,105.188,106.514,107.746,107.389,108.372,106.672,106.449,107.951,109.024,111.195,110.058,108.434,108.685,110.034,113.112,112.725,112.251,111.627,112.526,113.193,113.523,113.669,112.946,111.829,111.564,112.926,113.084,113.775,115.544,115.335,112.769,113.123,114.128,113.495,114.66,115.322,117.408,118.239,117.831,116.23,118.667,119.038,121.314,122.807,123.783,123.353,122.634,122.58,122.055,123.492,125.229,124.474
"54","46","      Farm product raw material wholesalers","PK42253",132.379,132.723,141.142,141.865,139.271,134.805,130.358,129.687,128.952,130.007,128.783,127.106,123.077,124.354,124.664,117.947,117.789,114.94,113.332,104.732,99.664,105.305,107.49,103.654,104.875,102.908,102.351,100.164,101.35,99.502,89.747,98.744,94.789,93.497,95.696,93.883,97.594,102.334,106.446,103.282,106.563,100.746,94.089,91.362,94.382,99.05,102.176,104.678,107.083,102.827,104.533,100.104,100.128,99.268,102.392,104.198,100.936,97.436,97.333,98.43,99.155,99.387,99.21,96.926,98.757,99.162,107.731,118.869,124.145,118.086,115.295,114.252,113.936,119.038,114.587,115.663,119.452,117.565,110.279,113.174,120.7,123.995,129.789,131.422,133.497,134.962,141.158,140.601,142.77,134.743,127.926,115.903,116.027,107.122,105.975,109.501,111.137,108.73,117.218,111.585,112.999,113.163,114.83,111.281,108.468,107.361,109.146,112.613,111.895,112.818,112.177,115.27,115.821,115.864,121.164,114.155,117.002,132.157,147.113,146.406,145.22,160.561,157.944,150.806,154.971,160.983,155.214,154.261,167.557,172.88,181.613
"55","47","      Chemical and allied products wholesalers","PK42263",97.321,97.227,96.756,96.389,96.293,96.045,96.315,96.75,96.687,96.417,96.506,96.459,96.224,95.612,96.042,95.632,95.523,95.347,95.171,94.792,94.442,94.344,94.494,94.263,93.881,93.407,93.107,93.034,93.39,93.766,94.117,94.27,95.008,96.022,96.534,96.973,97.403,98.173,98.893,99.197,99.471,100.103,101.57,100.83,100.94,101.002,100.921,101.256,102.456,103.18,103.237,102.355,102.064,101.576,99.643,98.589,99.541,98.293,97.636,96.514,96.548,96.474,97.724,99.11,99.124,99.291,100.233,100.918,101.27,102.242,102.497,102.071,104.395,108.289,109.59,106.532,106.553,107.157,106.282,106.746,106.408,106.716,106.609,107.802,110.633,110.806,110.822,112.519,113.064,114.522,116.08,118.995,121.428,122.683,123.984,124.138,124.42,125.478,128.011,127.948,126.986,125.991,128.025,128.798,134.219,140.144,138.458,138.633,140.622,140.718,140.76,141.185,143.44,145.851,146.537,147.69,145.439,144.345,142.256,143.151,143.618,143.741,145.253,146.148,148.735,151.121,153.104,150.083,152.183,153.437,159.847
"56","48","      Petroleum and petroleum products wholesalers","PK42273",84.208,82.053,78.031,73.731,71.016,69.802,69.04,71.829,70.563,71.023,70.062,68.921,63.207,60.414,56.262,56.271,55.498,53.819,53.942,50.084,49.886,51.79,50.142,46.051,48.612,46.103,50.879,61.575,60.743,60.706,67.039,71.759,74.214,72.944,77.743,85.745,87.234,97.016,103.359,92.408,91.545,102.416,100.728,98.138,105.191,104.805,109.802,107.052,104.249,102.286,95.646,99.395,100.064,95.751,86.719,88.373,92.188,76.771,72.996,68.81,69.197,70.228,79.242,87.67,83.462,81.383,86.889,88.447,90.457,99.045,94.406,99.044,110.92,129.021,132.474,102.893,91.407,97.068,102.954,106.73,99.197,103.108,106.174,115.219,121.425,120.616,120.994,125.243,128.11,124.531,135.83,138.036,137.933,157.986,160.446,148.447,149.943,153.155,166.025,167.032,158.333,172.749,188.43,197.171,217.131,221.634,202.485,210.28,206.694,196.863,200.843,222.982,230.232,245.036,245.934,243.391,200.4,180.994,201.923,211.73,196.959,208.108,216.768,226.246,241.445,241.774,250.891,226.187,241.961,233.04,302.754
"57","49","      Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",96.137,95.89,96.502,96.384,96.614,96.301,96.541,96.802,95.797,95.548,95.538,95.654,95.915,95.84,96.008,95.905,95.788,95.938,95.965,96.024,96.192,96.761,97.174,97.07,97.119,97.418,96.705,96.692,96.842,96.752,97.817,97.267,97.641,97.47,97.447,97.66,97.543,98.156,98.207,97.674,100.499,100.338,100.446,101.146,101.354,101.622,101.213,101.715,102.623,102.243,103.194,103.174,103.224,103.346,103.447,103.556,103.518,104.025,104.287,104.353,104.13,104.154,104.153,104.248,104.294,104.388,104.52,104.398,104.786,104.733,105.659,105.499,104.767,104.571,106.159,106.234,105.86,105.725,106.23,105.815,105.278,106.572,105.952,107.374,110.154,110.46,110.212,109.64,107.179,107.111,107.2,109.018,108.06,109.102,109.552,108.584,110.672,111.005,111.071,111.55,113.068,113.137,113.537,113.277,114.262,113.705,113.796,113.598,113.035,113.043,113.772,114.625,114.514,115.221,115.343,112.915,113.456,112.849,113.593,114.515,113.455,113.76,113.631,114.781,117.099,117.688,117.768,118.742,119.519,119.299,119.336
"58","50","      Miscellaneous nondurable goods wholesalers","PK42293",92.805,92.607,92.922,93.304,93.401,92.773,92.708,92.712,93.413,92.892,92.873,92.528,91.804,91.422,91.087,91.075,91.626,91.602,92.031,91.902,91.935,92.112,92.223,95.6,95.513,95.053,95.228,95.303,95.333,95.722,95.514,95.88,97.986,97.947,98.083,98.083,97.477,99.506,99.226,98.565,99.323,99.565,99.564,100.305,100.959,101.568,101.934,102.169,104.851,104.752,104.745,104.163,105.021,104.52,104.236,104.259,103.95,103.114,103.522,103.214,102.828,102.55,103.328,104.54,104.983,105.252,106.067,106.726,107.267,106.962,106.764,105.247,105.843,106.749,107.826,107.475,107.799,107.784,106.96,107.284,107.674,108.333,109.246,110.044,110.556,110.951,111.511,112.334,112.622,112.34,112.817,112.973,113.128,113.587,113.673,113.541,114.741,114.817,116.108,116.828,117.384,118.605,119.512,120.005,120.454,120.757,120.848,121.726,122.708,122.295,122.384,123.295,123.616,123.382,124.119,124.004,123.197,123.292,124.283,124.964,125.409,128.77,130.724,131.906,132.052,133.552,135.342,136.034,137.32,137.855,139.945
"59","51","  Retail trade industries","PK443",99.735,99.984,99.984,99.732,99.456,99.175,99.094,99.055,99.142,99.002,98.851,98.728,98.579,98.3,97.954,97.903,97.906,97.77,97.91,97.9,97.595,97.588,97.491,97.433,97.43,97.113,97.065,98.01,98.016,98.107,98.507,98.704,99.055,98.955,98.844,99.087,99.129,99.452,100.21,99.923,99.862,100.312,100.28,99.795,100.342,100.172,100.257,100.251,100.366,100.362,100.127,100.299,100.659,100.576,99.969,99.54,99.847,99.152,98.53,97.996,98.024,97.791,98.24,98.881,98.527,98.416,98.44,98.583,98.514,98.398,98.239,98.02,98.202,98.814,99.08,98.322,97.443,97.418,97.52,97.735,97.889,97.438,97.075,97.129,97.547,98.056,98.426,98.523,99.279,99.302,98.981,98.923,99.032,99.868,99.716,99.38,99.319,99.689,100.048,100.433,100.283,100.167,100.52,100.874,102.103,101.958,100.728,100.429,100.858,100.786,100.962,101.537,101.971,101.85,102.061,102.108,101.12,100.218,99.879,100.226,100.149,100.348,100.978,101.183,101.677,101.632,101.54,101.149,101.129,101.338,101.85
"60","52","    Motor vehicle and parts dealers","PK4413",99.513,99.847,100.314,99.858,99.649,99.213,99.095,98.851,98.834,98.784,98.622,98.505,98.579,98.642,98.477,98.455,98.272,98.292,98.694,98.87,98.822,98.819,99.124,99.022,98.81,98.402,98.302,98.439,98.525,98.767,99.075,99.332,99.724,99.648,99.735,99.524,99.421,99.304,99.726,99.896,100.124,100.158,100.048,99.963,99.994,100.11,100.453,100.897,101.175,101.225,101.303,101.239,101.1,100.946,100.954,100.728,100.219,100.558,100.735,100.827,100.599,99.946,99.65,99.628,99.576,99.534,99.742,99.894,99.836,99.617,99.301,99.057,98.771,98.596,98.736,98.508,98.326,98.183,97.89,97.759,96.917,96.147,95.677,95.508,95.399,95.598,95.742,95.809,95.978,95.896,95.892,95.965,96.51,96.658,97.107,97.447,97.826,97.931,97.954,98.033,98.357,98.587,98.403,98.285,98.462,98.597,98.426,98.493,98.753,98.864,99.088,99.229,99.325,99.422,99.662,99.774,99.495,99.231,98.682,98.41,98.296,98.088,98.284,98.267,98.243,98.373,98.612,98.919,98.927,98.957,99.023
"61","53","    Furniture, furnishings, electronics, and appliance stores","PK44233",124.867,125.012,124.453,123.45,122.895,122.48,121.537,120.206,119.794,119.115,118.416,118.225,117.335,116.436,116.411,116.487,115.187,114.353,113.738,112.335,111.563,111.052,109.984,109.466,108.79,107.984,107.404,107.408,106.362,105.914,105.57,104.694,104.308,103.507,102.704,102.437,102.223,101.724,101.672,101.072,100.93,100.111,99.78,99.147,99.304,98.602,98.093,97.474,96.517,95.911,94.917,94.629,93.491,92.796,92.556,91.525,90.848,90.381,90.101,89.486,88.791,87.901,87.325,87.197,87.13,86.689,86.232,85.826,85.168,84.66,83.868,83.279,82.871,82.261,81.759,81.58,80.264,79.686,79.292,78.309,77.737,77.729,77.45,77.077,77.149,77.037,76.621,76.364,75.913,75.792,75.079,74.592,74.408,74.535,73.806,73.172,73.251,72.662,72.668,72.431,72.269,71.546,71.164,70.46,70.188,69.844,69.663,69.384,68.946,68.651,68.338,67.931,67.381,66.934,66.631,66.548,65.963,65.764,65.393,65.081,64.691,64.74,64.485,64.13,63.627,63.363,62.736,62.211,61.824,61.527,60.825
"62","54","    Building material and garden equipment and supplies dealers","PK4443",101.564,102.173,102.629,102.687,102.909,102.484,102.618,102.338,102.075,101.518,101.526,101.265,101.621,101.808,101.838,101.639,100.86,100.082,100.212,100.523,99.757,98.948,98.853,99.104,99.261,99.794,100.183,100.12,100.64,101.544,102.639,102.167,101.024,100.185,100.252,100.663,100.801,100.759,101.404,101.041,100.228,100.183,99.874,99.189,99.147,99.169,99.203,99.013,98.763,99.192,99.325,99.234,100.653,100.921,100.037,100.106,99.798,98.792,98.375,98.094,98.323,98.841,99.508,99.775,99.374,99.191,99.146,99.232,98.873,98.45,98.503,98.313,98.307,98.718,98.569,98.578,98.571,98.716,99.451,99.7,101.291,101.353,101.417,101.305,101.706,103.39,104.699,105.744,106.663,105.772,105.399,106.774,106.999,106.037,104.946,105.295,106.099,107.216,107.596,107.657,106.969,107.669,107.382,106.943,107.896,108.321,107.403,107.594,108.261,108.81,108.902,108.928,109.007,108.213,107.85,107.25,107.434,106.392,106.75,107.201,107.697,108.067,108.493,108.385,108.349,108.717,108.872,108.34,108.244,107.922,107.636
"63","55","    Food and beverage stores","PK4453",92.617,92.953,92.962,93.039,93.116,93.138,93.299,93.4,93.543,93.673,93.811,93.763,94.167,94.208,94.248,94.445,94.725,94.727,94.951,95.145,95.245,95.593,95.651,96.159,96.726,96.732,96.569,96.896,97.049,97.116,97.342,97.435,97.96,98.036,98.184,98.314,98.45,98.761,99.11,99.361,99.766,99.855,100.399,100.575,100.791,100.709,100.899,101.25,101.534,101.909,102.082,102.411,102.609,102.947,103.471,103.546,103.819,103.939,104.133,103.869,104.177,104.553,104.556,105.182,104.557,104.693,104.889,104.899,105.11,104.841,105.138,105.252,105.171,105.708,105.881,105.869,105.795,106.28,106.333,106.723,106.851,107.078,107.322,107.951,107.869,108.166,108.48,108.71,109.424,109.548,109.687,109.701,109.586,110.219,110.353,110.27,110.193,110.198,110.414,111.343,111.335,111.194,111.59,111.674,112.094,112.292,112.341,112.403,112.867,112.898,113.015,113.175,113.404,113.709,113.952,114.128,114.324,114.469,114.258,114.16,114.948,115.718,116.224,116.555,116.95,117.483,117.731,118.033,118.434,118.902,119.181
"64","56","    Clothing and clothing accessories stores","PK4483",105.537,105.42,105.356,105.931,106.326,106.077,105.865,104.895,105.102,104.794,104.764,104.897,104.633,103.857,103.346,103.128,103.468,103.24,103.303,104.424,103.066,102.892,103.04,102.196,101.76,101.302,100.964,101.976,102.019,101.916,101.602,101.316,101.445,101.646,101.384,101.336,100.751,100.504,100.462,100.329,99.992,99.601,99.39,99.345,99.988,100.009,99.901,99.802,100.135,100.026,100.176,99.189,98.376,98.668,98.441,97.711,97.202,97.489,97.022,96.755,96.492,96.314,97.002,96.766,96.331,95.772,95.166,95.827,95.542,95.174,95.077,94.79,94.278,94.05,93.378,93.18,92.875,93.221,93.448,93.275,93.205,93.316,93.017,92.635,92.711,92.825,93.025,93.208,93.489,93.592,93.533,92.855,92.493,92.891,93.112,92.458,92.566,92.659,92.826,92.21,92.178,91.628,91.456,91.924,91.811,91.503,91.796,91.216,91.471,90.835,91.224,91.835,91.97,92.044,91.465,92.052,92.486,92.04,91.98,92.154,92.552,93.121,92.12,91.814,91.568,91.173,91.375,90.757,90.988,91.041,91.591
"65","57","    General merchandise stores","PK4523",100.931,101.044,100.984,101.32,101.446,101.268,101.244,100.77,100.84,100.745,100.801,100.71,100.852,100.666,100.499,100.617,100.708,100.445,100.561,100.959,100.456,100.46,100.392,100.279,100.371,100.04,99.755,100.348,100.307,100.306,100.213,100.053,100.273,100.325,100.104,100.054,99.865,99.768,100.005,100.106,100.074,99.945,100.061,99.961,100.182,99.992,100.023,100.004,100.114,100.213,100.08,100.008,99.677,99.778,99.826,99.507,99.543,99.512,99.463,99.079,99.032,99.032,99.093,99.288,98.831,98.596,98.419,98.546,98.38,98.021,97.999,97.725,97.44,97.328,97.028,97.059,96.514,96.576,96.593,96.275,96.092,96.117,96.045,95.923,95.949,96.085,96.058,96.012,96.06,95.976,95.741,95.4,95.286,95.888,95.76,95.202,95.304,95.285,95.223,95.205,95.247,94.792,94.648,94.519,94.436,94.362,94.43,94.199,94.104,93.916,93.924,93.923,93.854,93.705,93.47,93.496,93.501,93.386,93.06,92.927,92.954,93.258,92.986,92.8,92.583,92.475,92.239,91.878,91.784,92.02,91.901
"66","58","      Department stores","PK45213",103.524,103.548,103.477,103.939,104.108,103.867,103.736,103.1,103.166,102.945,103.049,102.931,102.989,102.707,102.492,102.529,102.588,102.225,102.323,102.838,102.101,102.049,101.941,101.533,101.486,101.102,100.822,101.449,101.397,101.416,101.138,100.923,101.045,101.133,100.811,100.728,100.41,100.131,100.287,100.311,100.138,99.888,99.932,99.798,99.961,99.792,99.731,99.638,99.703,99.737,99.506,99.242,98.601,98.655,98.553,98.086,98.081,98.051,97.97,97.544,97.4,97.312,97.343,97.391,96.972,96.648,96.302,96.494,96.164,95.824,95.687,95.254,94.895,94.652,94.232,94.26,93.69,93.745,93.795,93.409,93.217,93.219,93.056,92.758,92.81,92.912,92.849,92.777,92.769,92.691,92.376,91.921,91.791,92.453,92.358,91.623,91.835,91.881,91.843,91.576,91.612,91.091,90.821,90.771,90.597,90.446,90.583,90.293,90.154,89.854,89.933,90.037,89.934,89.737,89.376,89.478,89.558,89.338,88.986,88.907,88.863,89.116,88.619,88.385,88.026,87.731,87.48,87.013,86.878,87.054,87.059
"67","59","      Other general merchandise stores","PK45293",96.795,97.076,97.037,97.14,97.185,97.124,97.299,97.121,97.198,97.336,97.303,97.26,97.558,97.538,97.456,97.711,97.855,97.761,97.9,98.104,97.986,98.083,98.082,98.443,98.755,98.504,98.207,98.749,98.725,98.693,98.881,98.805,99.172,99.169,99.097,99.09,99.086,99.25,99.602,99.812,99.981,100.019,100.232,100.175,100.476,100.259,100.413,100.491,100.651,100.834,100.822,100.99,101.031,101.189,101.41,101.264,101.347,101.314,101.299,100.959,101.019,101.112,101.206,101.557,101.06,100.914,100.908,100.973,100.969,100.591,100.683,100.562,100.345,100.356,100.164,100.199,99.673,99.742,99.73,99.471,99.295,99.341,99.35,99.377,99.383,99.547,99.551,99.527,99.622,99.532,99.361,99.112,99.009,99.567,99.413,98.992,99.005,98.933,98.853,99.029,99.074,98.665,98.613,98.423,98.406,98.387,98.406,98.215,98.15,98.037,97.995,97.922,97.875,97.757,97.603,97.578,97.533,97.488,97.173,97.002,97.077,97.42,97.288,97.13,97.001,97.008,96.778,96.477,96.407,96.685,96.487
"68","60","    Other retail stores","PK44X3",96.659,96.809,96.304,95.581,94.513,94.204,94.082,94.935,95.308,95.161,94.738,94.547,93.623,92.788,91.746,91.474,91.911,91.975,91.967,91.351,91.118,91.311,90.828,90.648,90.645,90.056,90.279,93.204,93.092,92.947,93.901,94.876,95.9,95.944,95.64,96.71,97.13,98.627,100.688,99.425,99.11,101.212,101.045,99.533,101.285,100.784,100.771,100.334,100.519,100.186,99.287,100.224,101.821,101.398,98.999,98.058,100.096,97.298,94.772,93.214,93.573,93.191,95.04,97.178,96.687,96.663,96.814,97.089,97.236,97.74,97.496,97.266,98.742,101.251,102.634,99.855,97.263,97.049,97.503,98.747,99.902,98.663,97.704,98.082,99.762,100.76,101.545,101.39,103.643,104.177,103.31,102.956,103.005,105.888,105.407,104.268,103.237,104.402,105.596,106.847,106.2,105.922,107.764,109.723,114.202,113.431,108.832,107.801,108.947,108.665,109.081,111.217,112.971,112.806,113.87,113.989,110.109,107.31,106.741,108.391,107.665,107.797,110.268,111.331,113.592,113.137,112.683,111.451,111.36,112.036,114.24
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
