"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"167","160","E1TMH1 D       Tenant occupied mobile homes","E1TMH10",33,36,42,51,64,79,99,122,150,188,238,292,333,408,503,609,766,888,1003,1111,1340,1410,1538,1775,2033,2153,2308,2548,2769,2975,3172,3752,4215,4383,4562,5028,5411,5482,5434,5271,4959,4963,5276,6543,6620,6789
"168","161","E1TSP1 D       Tenant occupied stationary homes","E1TSP10",11971,12694,13547,14489,15391,16347,17429,18466,19566,21284,23084,24926,27294,29591,32338,34262,37129,40503,44714,48544,52682,58550,67308,74514,81038,89945,103315,113914,121015,127596,133403,143126,149452,154971,159557,167191,176382,181431,188260,198322,208467,216809,229416,245874,249301,253074
"169","162","E1TLD1 D       Tenant landlord durables","E1TLD10",528,549,561,575,590,608,628,650,674,696,720,744,768,792,855,946,1088,1178,1299,1462,1654,1874,2108,2325,2455,2527,2644,2783,2970,3179,3541,3791,3994,4211,4378,4565,4832,5070,5263,5401,5528,5776,6045,6261,6338,6353
"170","163","E1FAR1 C     Rental value of farm dwellings (26)","E1FAR10",2031,2098,2202,2258,2360,2443,2481,2599,2747,2838,3046,3268,3475,3713,3784,3961,3998,4115,4369,4684,4924,5170,5345,5148,5171,5201,5114,4983,5041,5474,5907,6341,6774,7207,8067,9021,9404,9759,9665,9850,10199,10656,11359,11769,11870,11961
"171","164","E1OHO1 C     Other (27)","E1OHO10",1422,1501,1542,1645,1768,1897,2121,2285,2590,2893,3217,3545,3580,4382,4853,5299,5951,6866,7514,8437,9808,10781,12405,13211,14305,16616,18540,19642,22430,24649,26406,28141,29758,32615,33203,35460,37196,40665,45699,48301,50904,56016,52945,53633,54656,57996
"172","165","E1HOT1 D       Hotels and motels","E1HOT10",834,905,920,1009,1095,1145,1268,1348,1519,1737,1939,2191,2167,2927,3309,3594,3991,4679,5249,6062,7304,8062,9389,9782,10584,12566,14211,15072,17609,19448,20826,22191,23321,25819,25817,27802,29172,32067,36713,38808,40796,45221,41318,41291,41544,43993
"173","166","E1HFR1 D       Clubs and fraternity housing","E1HFR10",141,141,153,146,149,157,178,185,236,254,299,310,292,279,279,309,345,371,338,314,336,351,381,446,353,366,328,282,251,270,288,301,335,344,360,372,391,440,441,497,572,667,696,682,705,728
"174","167","E1HHE1 D       Higher education housing","E1HHE10",210,236,268,305,354,413,487,558,628,692,753,813,874,920,982,1073,1244,1441,1556,1724,1876,2127,2446,2852,3190,3483,3772,4037,4296,4611,4919,5210,5639,6059,6602,6861,7172,7663,8037,8472,8948,9512,10288,11009,11726,12559
"175","168","E1HES1 D       Elementary and secondary education housing","E1HES10",34,34,36,37,42,43,44,43,43,37,33,31,28,25,32,42,55,66,77,80,73,66,58,48,71,74,81,86,78,85,92,100,104,112,117,123,131,140,145,152,159,166,172,180,189,201
"176","169","E1TGR1 D       Tenant group room and board","E1TGR10",90,91,90,92,92,102,107,114,128,138,160,168,189,202,224,254,289,282,267,230,192,147,103,55,79,99,121,137,168,207,254,311,331,251,276,268,293,316,318,324,376,393,410,402,416,432
"177","170","E1TGL1 D       Tenant group employee lodging","E1TGL10",113,94,75,56,36,37,37,37,36,35,33,32,30,29,27,27,27,27,27,27,27,28,28,28,28,28,27,28,28,28,27,28,28,30,32,34,37,39,44,48,52,57,61,69,76,83
"178","171","E1HOP1 B   Household operation","E1HOP10",18731,20293,21217,22424,23626,25018,26486,28106,30031,32254,35043,37793,41101,45448,49933,55832,64000,72529,81797,91189,100257,113733,126775,142458,157010,169378,181824,187745,195415,207289,221070,227262,238604,250743,269880,286157,298746,318542,336992,350478,364785,390110,409024,408964,431323,451979
"179","172","E1GEL1 B     Electricity and gas","E1GEL10",7642,8330,8831,9442,9872,10406,10879,11505,12206,13020,14077,15347,16909,18770,20416,24026,29172,33190,38450,43008,47784,57506,64808,74154,82368,86495,90757,89203,90908,96261,101042,101044,107413,108874,118158,120655,122202,129403,131348,129762,130642,143300,156682,152586,167306,177909
"180","173","E1ELC1 C       Electricity (37)","E1ELC10",4714,5061,5327,5678,5950,6294,6607,7043,7527,8145,8885,9790,10897,12197,13747,16638,20035,22355,26014,28978,31767,38428,43890,48587,53297,57167,61232,62644,65364,69065,72007,74206,79194,79337,85653,87617,90958,94137,94516,97090,97245,102348,108040,111748,116139,121075
"181","174","E1NGS1 C       Gas (38)","E1NGS10",2928,3269,3504,3764,3922,4112,4272,4462,4679,4875,5192,5557,6012,6573,6669,7388,9137,10835,12436,14030,16017,19078,20918,25567,29071,29328,29525,26559,25544,27196,29035,26838,28219,29537,32505,33038,31245,35266,36832,32672,33396,40953,48643,40838,51167,56834
"182","175","E1HLU1 B     Other household operation","E1HLU10",11089,11963,12386,12982,13754,14612,15607,16601,17825,19234,20966,22446,24192,26678,29517,31806,34828,39339,43347,48181,52473,56227,61967,68304,74642,82883,91067,98542,104507,111028,120028,126218,131191,141869,151723,165502,176544,189138,205644,220716,234143,246809,252342,256378,264017,274070
"183","176","E1WAT1 C       Water and other sanitary services (39)","E1WAT10",1214,1375,1478,1615,1821,1929,2062,2161,2225,2416,2758,3162,3559,4011,4438,4920,5460,6005,6669,7531,8409,9398,10476,11657,13107,14938,16978,19078,21074,22881,25260,27149,28819,30294,33498,36733,39337,42069,44058,46184,48816,50816,52806,55220,58201,62041
"184","177","E1WSM1 D         Water and sewerage maintenance","E1WSM10",1058,1199,1289,1408,1588,1682,1798,1884,1940,2107,2405,2757,3103,3497,3869,4290,4761,5236,5815,6555,7305,8137,9077,10082,11483,13064,14835,16545,18117,19688,21457,22721,24150,25239,27598,30102,32034,34032,35326,36673,38366,39713,41638,44069,46274,49133
"185","178","E1REF1 D         Refuse collection","E1REF10",156,176,189,207,233,247,264,277,285,309,353,405,456,514,569,630,699,769,854,976,1104,1261,1399,1575,1624,1874,2143,2533,2957,3193,3803,4428,4669,5055,5901,6630,7304,8037,8732,9511,10450,11103,11168,11151,11927,12908
"186","179","E1TEL1 C       Telephone and telegraph (41)","E1TEL10",4184,4514,4827,5109,5523,5949,6488,7007,7668,8336,9277,10086,11039,12434,14141,15533,17726,19811,21544,23852,25697,27560,30883,35140,38639,41786,45978,49261,51879,54362,58041,60522,63748,70669,74793,81156,85027,92787,103648,110312,118397,125068,128371,128259,129766,132802
"187","180","E1LOC1 D         Local and cellular telephone","E1LOC10",2149,2318,2479,2624,2837,3055,3332,3599,3938,4281,4765,5180,5670,6386,7263,7978,9104,10175,11065,12250,13198,14050,15862,18048,20017,22129,24095,26039,27088,27782,29571,31550,33537,36762,39499,43102,47262,51747,56018,61695,69479,79080,87815,95002,98610,103830
"188","181","E1CEL1 D           Cellular telephone","E1CEL10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,173,242,591,1352,2246,3088,4866,6423,8522,11274,13735,15706,18902,24149,30187,36713,42494,47865,54371
"189","182","E1OLC1 D           Local telephone","E1OLC10",2149,2318,2479,2624,2837,3055,3332,3599,3938,4281,4765,5180,5670,6386,7263,7978,9104,10175,11065,12250,13198,14050,15862,18048,20017,22129,23994,25866,26846,27191,28219,29304,30449,31896,33076,34580,35988,38012,40312,42793,45331,48892,51102,52509,50744,49459
"190","183","E1LDT1 D         Long distance telephone","E1LDT10",2035,2196,2348,2485,2686,2894,3156,3408,3730,4055,4512,4906,5369,6048,6878,7555,8622,9636,10479,11602,12499,13510,15021,17092,18622,19657,21883,23222,24791,26580,28470,28972,30211,33907,35294,38054,37765,41040,47630,48617,48918,45988,40556,33257,31157,28972
"191","184","E1INC1 D           Intrastate toll calls","E1INC10",770,831,888,940,1016,1095,1194,1289,1411,1534,1707,1856,2031,2288,2602,2858,3262,3645,3964,4389,4728,5111,5682,6466,6976,7891,8636,9019,9717,10477,10682,11095,11789,12376,12706,13547,13633,14692,15381,15697,15051,14128,12834,10524,9860,10188
"192","185","E1ITC1 D           Interstate toll calls","E1ITC10",1265,1365,1460,1545,1670,1799,1962,2119,2319,2521,2805,3050,3338,3760,4276,4697,5360,5991,6515,7213,7771,8399,9339,10626,11646,11766,13247,14203,15074,16103,17788,17877,18422,21531,22588,24507,24132,26348,32249,32920,33866,31860,27722,22732,21297,18783
"193","186","E1DMS1 C       Domestic service (42)","E1DMS10",3553,3797,3734,3807,3831,3916,3969,4021,4182,4378,4439,4499,4552,4631,4826,4607,4651,5469,6082,6581,6413,6134,6171,6541,6634,7683,7665,8204,8242,8980,9784,10405,10213,11356,12126,12771,13767,13817,14688,17053,16085,17350,16862,16754,18481,21199
"194","187","E1DMC1 D         Domestic service, cash","E1DMC10",3056,3294,3235,3305,3330,3415,3470,3517,3731,3930,3996,4061,4127,4195,4336,4115,4156,4945,5496,5950,5755,5466,5468,5826,5893,6894,6857,7351,7383,8083,8812,9480,9271,10319,11086,11593,12519,12516,13358,15598,14671,15902,15375,15212,16910,19581
"195","188","E1DMI1 D         Domestic service, in kind","E1DMI10",497,503,499,502,501,501,499,504,451,448,443,438,425,436,490,492,495,524,586,631,658,668,703,715,741,789,808,853,859,897,972,925,942,1037,1040,1178,1248,1301,1330,1455,1413,1448,1487,1542,1571,1618
"196","189","E1OPO1 C       Other (43)","E1OPO10",2138,2277,2347,2451,2579,2818,3088,3412,3750,4104,4492,4699,5042,5602,6112,6746,6991,8054,9052,10217,11954,13135,14437,14966,16262,18476,20446,21999,23312,24806,26943,28142,28412,29550,31305,34842,38413,40466,43250,47167,50846,53576,54303,56146,57569,58029
"197","190","E1MSE1 D         Moving and storage","E1MSE10",331,349,359,388,408,412,478,560,602,733,886,1015,1170,1369,1551,1811,1850,2173,2560,2936,3550,4059,4399,4272,4703,5735,6131,6432,6146,5769,6333,6262,5941,6260,6762,7853,8991,9648,11095,11989,13017,13569,12752,13043,13277,13409
"198","191","E1FIN1 D         Household insurance","E1FIN10",142,166,185,201,212,223,227,227,252,274,300,341,389,444,501,570,617,697,844,1021,1174,1285,1338,1421,1509,1624,1707,1861,2125,2421,2553,2479,2443,2297,2310,2503,2635,2897,2905,3360,3590,3836,4193,4280,4884,5180
"199","192","E1FIP1 D           Household insurance premiums","E1FIP10",270,313,352,390,421,460,492,521,579,639,708,812,919,1026,1117,1244,1418,1656,1967,2282,2576,2910,3188,3447,3764,4105,4454,4975,5304,5577,5689,5983,6140,6493,6921,7418,7911,8288,8652,9053,9526,10161,10999,12311,13526,14468
"200","193","E1FIB1 D           Less: Household insurance benefits paid","E1FIB10",128,147,166,189,209,237,265,294,327,365,408,472,530,581,616,673,801,960,1123,1261,1402,1625,1849,2025,2255,2482,2747,3114,3179,3156,3136,3504,3697,4195,4610,4915,5277,5391,5748,5693,5936,6325,6805,8031,8643,9288
"201","194","E1RCL1 D         Rug and furniture cleaning","E1RCL10",145,134,124,113,103,116,121,137,160,154,149,139,127,120,124,116,117,122,126,141,155,163,188,226,272,341,401,468,547,607,719,868,921,1001,1176,1385,1622,1867,2100,2276,2490,2686,2800,2930,2916,2890
"202","195","E1ERE1 D         Electrical repair","E1ERE10",418,483,512,518,523,551,605,707,827,807,808,725,616,509,590,686,759,883,1028,1120,1358,1368,1388,1116,1243,1462,1739,1851,1962,2103,2117,2088,2240,2351,2458,2656,2977,2997,3247,3383,3607,3641,3708,3852,3918,3829
"203","196","E1FRE1 D         Reupholstery and furniture repair","E1FRE10",386,384,361,357,349,373,395,410,418,478,538,589,629,823,848,859,821,827,819,820,902,922,947,924,958,1004,1129,1193,1470,1530,1710,1901,1913,1850,1823,1884,1988,2044,2139,2462,2668,2772,2741,2792,2731,2682
"204","197","E1PST1 D         Postage","E1PST10",633,673,711,776,882,961,1015,1077,1166,1295,1393,1450,1640,1819,1881,2034,2101,2469,2609,2891,3238,3488,4028,4660,4915,5327,5837,6262,6708,7177,7321,7331,7587,7551,7793,8222,8871,9180,9327,9815,10361,10819,11166,11674,11921,11723
"205","198","E1MHO1 D         Household operation services, n.e.c.","E1MHO10",83,88,95,98,102,182,247,294,325,363,418,440,471,518,617,669,726,883,1066,1288,1577,1850,2149,2347,2662,2983,3502,3931,4354,5198,6190,7214,7367,8240,8982,10339,11328,11834,12437,13881,15113,16254,16942,17575,17922,18315
"206","199","E1TOT1 B   Transportation","E1TOT10",10568,11175,11634,12291,12902,13769,14699,15928,17440,19276,21621,24033,26818,29552,31555,34068,37860,42480,48674,53422,59903,65232,70273,72928,81099,93213,104545,111071,120853,133414,142034,147722,145296,157664,172677,190597,207673,226503,245667,259481,276399,291254,292839,287988,294030,301694
"207","200","E1UOS1 C     User-operated transportation","E1UOS10",7348,7842,8264,8751,9340,9983,10649,11536,12553,13754,15198,17054,19133,20962,22231,23454,26551,29401,33973,37792,42500,45077,48950,50984,57206,66370,76709,82354,90105,99929,106827,110713,108808,120436,132997,148654,163633,179458,195042,205917,220608,231602,238787,237663,241484,247049
"208","201","E1REP1 C       Repair, greasing, washing, parking, storage, rental, and leasing (74)","E1REP10",5173,5519,5839,6210,6644,7095,7567,8133,8835,9735,10878,12329,13863,15068,15841,16961,19803,22134,25729,28519,32199,34022,37210,38503,43735,51582,60514,63996,69788,77651,82508,84877,81926,90293,99484,112501,125474,138717,152868,161140,172573,183494,189066,185991,186198,188969
"209","202","E1ARP1 D         Motor vehicle repair","E1ARP10",4552,4857,5138,5465,5847,6244,6659,7157,7775,8567,9573,10850,12199,13260,13940,14926,17427,19478,22647,25238,28483,29647,32087,33337,37975,43421,50678,53721,59107,65272,69268,70824,66017,69836,74827,82268,89030,95405,100508,106690,112809,119333,125288,128086,132293,137324
"210","203","E1RLO1 D         Motor vehicle rental, leasing, and other","E1RLO10",621,662,701,745,797,851,908,976,1060,1168,1305,1479,1664,1808,1901,2035,2376,2656,3082,3281,3716,4375,5123,5166,5760,8161,9836,10275,10681,12379,13240,14053,15909,20457,24656,30234,36444,43312,52359,54450,59764,64160,63778,57906,53905,51645
"211","204","E1MVR1 D           Motor vehicle rental","E1MVR10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2866,3154,3164,3292,3504,3443,4092,4860,4993,5887,6604,7155,7451,8213,8059,8054,8758,9568
"212","205","E1MVL1 D           Motor vehicle leasing","E1MVL10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3184,3477,3955,4836,5960,9540,12798,17292,22903,28330,34844,34688,38516,41277,40136,33905,29142,25893
"213","206","E1ALE1 D             Auto leasing","E1ALE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059,3237,3575,4091,4757,8170,10509,12786,15860,18063,21731,20317,21462,22181,23243,19698,17135,15010
"214","207","E1TLE1 D             Truck leasing","E1TLE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,240,380,745,1203,1370,2288,4506,7043,10267,13113,14371,17054,19096,16893,14207,12006,10883
"215","208","E1OAS1 D           Other motor vehicle services","E1OAS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4631,5748,6121,5925,6445,7474,7766,8081,8548,9095,10911,12607,13797,14670,15583,15947,16005,16184
"216","209","E1ATN1 C       Other user-operated transportation (76+77)","E1ATN10",2175,2323,2425,2541,2696,2888,3082,3403,3718,4019,4320,4725,5270,5894,6390,6493,6748,7267,8244,9273,10301,11055,11740,12481,13471,14788,16195,18358,20317,22278,24319,25836,26882,30143,33514,36152,38159,40742,42174,44777,48036,48108,49721,51671,55286,58080
"217","210","E1TOL1 C         Bridge, tunnel, ferry, and road tolls","E1TOL10",294,310,330,356,379,421,463,495,517,566,609,652,702,763,804,784,821,866,908,968,1001,1104,1199,1306,1284,1390,1524,1803,2016,1870,2269,2326,2452,2839,3136,3402,3663,4040,4367,4395,4801,5075,5122,5829,6633,7561
"218","211","E1AIN1 C         Insurance","E1AIN10",1881,2013,2095,2185,2317,2467,2619,2908,3201,3453,3711,4073,4568,5131,5586,5709,5927,6401,7336,8305,9300,9951,10541,11175,12187,13398,14671,16555,18301,20408,22050,23510,24430,27304,30378,32750,34496,36702,37807,40382,43234,43033,44599,45842,48653,50520
"219","212","E1PLT1 C     Purchased local transportation","E1PLT10",1984,2026,1992,2032,2040,2042,2061,2121,2236,2439,2708,2988,3260,3440,3473,3710,4040,4449,4759,4766,4845,4793,5011,5352,5804,6414,6811,7051,6942,7280,7492,8400,8753,9049,9380,9894,10137,10860,11097,11804,11924,12227,12470,12384,12551,13111
"220","213","E1IMT1 C       Mass transit systems (79)","E1IMT10",1381,1417,1422,1444,1445,1447,1449,1483,1544,1583,1695,1808,1857,1867,1892,2023,2072,2241,2362,2546,2802,2927,3322,3839,3953,4118,4239,4537,4583,5004,5193,5823,6128,6463,6667,7094,7148,7698,7839,8280,8606,9087,9242,9000,8830,9079
"221","214","E1TAX1 C       Taxicab (80)","E1TAX10",603,609,570,588,595,595,612,638,692,856,1013,1180,1403,1573,1581,1687,1968,2208,2397,2220,2043,1866,1689,1513,1851,2296,2572,2514,2359,2276,2299,2577,2625,2586,2713,2799,2989,3162,3258,3524,3318,3139,3228,3384,3720,4032
"222","215","E1PIT1 C     Purchased intercity transportation","E1PIT10",1236,1307,1378,1508,1522,1744,1989,2271,2651,3083,3715,3991,4425,5150,5851,6904,7269,8630,9942,10864,12558,15362,16312,16592,18088,20429,21024,21666,23806,26205,27715,28610,27735,28178,30300,32050,33903,36184,39529,41760,43866,47425,41582,37942,39996,41534
"223","216","E1IRR1 C       Railway (82)","E1IRR10",316,306,291,284,264,280,284,297,270,239,228,214,184,214,230,288,267,281,272,241,276,295,328,291,345,377,403,420,447,512,584,616,628,481,459,418,410,412,420,438,460,518,559,573,563,554
"224","217","E1IBU1 C       Bus (83)","E1IBU10",296,290,288,298,290,335,375,429,466,486,492,532,575,585,628,732,737,761,821,903,1135,1403,1604,1665,1527,1453,1347,1147,1364,1745,1528,1326,1557,1595,1672,1749,1826,1902,2223,2241,2241,2376,2366,2336,2251,2128
"225","218","E1IAI1 C       Airline (84)","E1IAI10",589,676,760,882,924,1081,1276,1472,1808,2230,2838,3063,3464,4108,4695,5528,5878,7120,8286,9088,10373,12754,13361,13463,14901,17195,17552,18251,19935,21273,22360,22686,21396,21281,22906,23952,25278,26867,29836,31772,33339,36725,31377,28113,30347,32150
"226","219","E1TRO1 C       Other (85)","E1TRO10",35,35,39,44,44,48,54,73,107,128,157,182,202,243,298,356,387,468,563,632,774,910,1019,1173,1315,1404,1722,1848,2060,2676,3243,3981,4154,4821,5262,5932,6390,7003,7049,7309,7827,7807,7281,6921,6835,6702
"227","220","E1TMD1 B   Medical care","E1TMD10",16373,17683,18972,21173,23043,26427,28568,31466,34664,40148,45834,51697,58425,65624,73308,82348,95557,109083,125298,143081,160974,184367,216706,243300,274273,303203,331516,357537,392169,442848,492486,556026,608877,672213,715105,752947,797851,833535,873034,921390,961141,1026813,1113828,1210272,1301072,1391748
"228","221","E1PHY1 C     Physicians (47)","E1PHY10",5518,5753,5929,6512,6936,8171,8536,9071,10040,10919,12398,13975,15303,16613,18403,20344,23508,25824,29649,32687,37211,43401,51244,56202,63451,70866,78841,87205,101531,115282,125122,138558,149215,163600,167674,174433,184635,190384,198242,210338,220751,236836,256778,278304,298221,320313
"229","222","E1DEN1 C     Dentists (48)","E1DEN10",1950,2028,2115,2272,2307,2685,2849,3002,3387,3719,4326,4872,5139,5644,6592,7253,8218,9250,10274,11335,12281,13730,16121,17370,18868,20601,22569,24217,26767,28414,30328,32421,34082,37636,39573,42224,45389,47800,50931,54120,57413,61827,66806,72162,74960,77920
"230","223","E1OPS1 C     Other professional services (49)","E1OPS10",1264,1468,1683,2065,2426,2864,3287,3564,3053,3400,3446,3697,3901,4327,5198,5950,7245,8870,10258,11541,13053,14730,17794,18908,23319,27297,31802,36568,41760,49381,57111,70738,81598,94143,105641,115694,126596,134508,141981,149439,153298,161577,175456,189695,205070,221331
"231","224","E1HHC1 D       Home health care","E1HHC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10569,11538,13786,17666,21192,25921,30860,35882,41129,44292,45751,46223,45249,45747,48156,51968,57453,62681
"232","225","E1MLB1 D       Medical laboratories","E1MLB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3640,4596,5429,6407,7344,8256,8550,9129,9453,10127,11444,12980,14038,16405,18999,19885,21572,23492
"233","226","E1EEX1 D       Eye examinations","E1EEX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374,1612,1778,2097,2500,2771,3152,3517,3774,4122,4451,4658,4957,5379,5600,5871,6092,6386
"234","227","E1OMD1 D       All other professional medical services","E1OMD10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26176,31635,36118,44568,50562,57195,63079,67166,72239,75967,80335,85578,89053,94047,102701,111971,119953,128773
"235","228","E1PHO1 C     Hospitals and nursing homes (50)","E1PHO10",5987,6670,7282,8181,9203,10335,11275,12933,15245,18289,21559,24722,28901,32716,36420,41891,49278,57071,64571,74663,85382,98935,116035,131958,147113,157952,169940,183918,198540,220689,243350,270873,298778,326864,347022,362018,380515,398259,416767,435873,453558,482597,525345,574014,616799,659109
"236","229","E1HSP1 C       Hospitals","E1HSP10",5668,6091,6541,7293,8060,8776,9665,10958,12802,15228,17706,20216,23524,26693,29654,34140,40360,47091,53395,61672,70865,82390,97538,112431,124436,132771,142667,154202,167503,185128,203939,224920,249350,273495,290424,302386,314344,326231,338516,354909,371124,395998,433238,477141,515474,554873
"237","230","E1NPH1 C         Nonprofit","E1NPH10",4209,4550,4915,5412,6023,6520,7093,7983,9259,10889,12796,14705,16973,19039,20997,24328,29004,33829,38650,44619,50681,59045,69610,79641,87439,92937,98999,106273,115595,128088,140954,155737,171933,187996,198027,203244,207846,214876,223886,236924,250686,267122,288018,312801,333934,356139
"238","231","E1FPH1 C         Proprietary","E1FPH10",510,549,593,652,727,787,857,960,1116,1309,1540,1771,2044,2291,2539,2945,3510,4099,4652,5438,6370,7544,8967,10698,12089,13620,15371,17344,19235,21453,23776,26115,28511,30345,30941,32410,35334,38841,40766,40362,40861,43144,49486,57890,64672,71802
"239","232","E1GVH1 C         Government","E1GVH10",949,992,1033,1229,1310,1469,1715,2015,2427,3030,3370,3740,4507,5363,6118,6867,7846,9163,10093,11615,13814,15801,18961,22092,24908,26214,28297,30585,32673,35587,39209,43068,48906,55154,61457,66732,71164,72514,73864,77623,79576,85732,95733,106450,116867,126932
"240","233","E1NRS1 C       Nursing homes","E1NRS10",319,579,741,888,1143,1559,1610,1975,2442,3061,3852,4506,5377,6023,6766,7751,8919,9981,11176,12991,14517,16545,18497,19527,22677,25181,27273,29717,31037,35561,39411,45952,49427,53369,56598,59631,66171,72028,78251,80963,82435,86599,92107,96873,101325,104236
"241","234","E1NPN1 D         Non-profit nursing homes","E1NPN10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10482,12860,13648,15741,16479,18494,19723,20997,22920,24744,27891,28952,30443,31939,34564,36505,38482,39987
"242","235","E1FPN1 D         Proprietary and government nursing homes","E1FPN10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20555,22701,25763,30211,32948,34874,36875,38635,43252,47284,50360,52011,51992,54659,57543,60367,62843,64248
"243","236","E1HIN1 C     Health insurance (56)","E1HIN10",1654,1764,1963,2143,2171,2372,2621,2897,2939,3821,4105,4431,5181,6323,6695,6910,7307,8068,10547,12856,13047,13571,15512,18863,21521,26487,28365,25629,23571,29083,36576,43437,45204,49970,55194,58578,60716,62584,65113,71619,76122,83975,89444,96097,106022,113075
"244","237","E1MIN1 C       Medical care and hospitalization","E1MIN10",699,793,924,1032,1069,1174,1306,1383,1296,1953,1918,2146,2580,3497,3602,3556,3240,3594,5415,6396,7158,7605,9101,11811,14453,18916,20562,16519,14148,18878,25963,31825,34120,38426,43408,46260,47842,48693,50569,56754,61079,68430,73021,79721,88149,93305
"245","238","E1IIN1 C       Income loss","E1IIN10",536,531,579,606,580,623,687,792,860,986,1181,1125,1345,1555,1701,1734,2189,2193,2407,3357,2275,1868,1875,2462,2098,2103,2064,2440,2191,2490,2356,2617,1825,2102,1500,1800,1400,1105,1172,1375,1540,1699,1849,1999,2167,2354
"246","239","E1PWC1 C       Workers' compensation","E1PWC10",419,440,460,505,522,575,628,722,783,882,1006,1160,1256,1271,1392,1620,1878,2281,2725,3103,3614,4098,4536,4590,4970,5468,5739,6670,7232,7714,8256,8995,9259,9442,10287,10518,11474,12785,13371,13491,13504,13846,14575,14377,15706,17416
"247","240","E1REC1 B   Recreation","E1REC10",6358,6938,7444,7997,8523,9117,9617,10422,11081,12463,13785,15058,16329,17606,19728,22513,25388,28358,31428,34732,38777,43602,50610,56842,63638,69734,77709,83677,89963,102126,114257,125907,132907,146596,160372,171389,187921,202471,215065,229269,248593,268265,284137,299556,317178,335090
"248","241","E1SSA1 C     Admissions to specified spectator amusements (96)","E1SSA10",1678,1758,1789,1858,1917,2015,2220,2407,2496,2850,3066,3296,3485,3513,3476,3969,4310,4430,5021,5907,6405,6643,7117,7957,8689,9697,9711,10516,10847,12013,13506,15148,15966,16614,18495,19662,21099,23505,24985,26230,28431,30400,32232,34583,35625,38160
"249","242","E1MOV1 C       Motion picture theaters","E1MOV10",1043,1045,1044,1033,1029,1038,1163,1219,1227,1400,1507,1629,1733,1744,1647,2022,2197,2074,2368,2752,2823,2578,2721,3134,3188,3421,3244,3338,3443,3884,4572,5136,5231,4939,5056,5308,5612,6099,6608,7220,7931,8587,8991,9597,9896,10199
"250","243","E1LEG1 C       Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)","E1LEG10",324,349,333,356,361,390,397,444,489,491,506,531,530,571,622,698,780,933,1071,1313,1512,1773,2035,2131,2439,2804,3188,3895,4039,4391,4430,5204,5442,6042,7083,7565,8054,8555,9175,9236,9901,10337,10859,11494,11591,13123
"251","244","E1SPE1 C       Spectator sports","E1SPE10",311,364,412,469,527,587,660,744,780,959,1053,1136,1222,1198,1207,1249,1333,1423,1582,1842,2070,2292,2361,2692,3062,3472,3279,3283,3365,3738,4504,4808,5293,5633,6357,6790,7433,8851,9201,9774,10598,11477,12382,13492,14137,14838
