"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"34","14","  Federal and state unemployment insurance taxes","M318141","334.0","-65.0","-181.0","-53.0","414.0","-167.0","-217.0","-104.0","581.0","-335.0","-304.0","-136.0","1,409.0","-509.0","-531.0","-198.0","1,901.0","-796.0","-687.0","-245.0","1,889.0","-824.0","-715.0","-229.0","1,901.0","-1,030.0","-654.0","-235.0","2,979.0","-1,443.0","-978.0","-339.0","3,591.0","-1,892.0","-1,044.0","-377.0","4,269.0","-1,926.0","-1,602.0","-593.0","4,512.0","-2,300.0","-1,499.0","-608.0","4,229.0","-2,195.0","-1,280.0","-814.0","4,872.0","-2,367.0","-1,548.0","-468.0","5,168.0","-2,877.0","-1,397.0","-561.0","6,809.0","-2,913.0","-1,597.0","-921.0","8,120.0","-4,632.0","-2,625.0","-960.0","7,537.0","-5,112.0","-1,480.0","-777.0","7,645.0","-4,485.0","-1,796.0","-826.0","7,355.0","-4,470.0","-3,163.0","-724.0","8,229.0","-4,493.0","-2,371.0","-875.0","7,653.0","-4,647.0","-1,235.0","-362.0","6,872.0","-4,451.0","-2,211.0","-823.0","7,361.0","-4,359.0","-1,944.0","-966.0","8,924.0","-5,225.0","-2,086.0","-682.0","9,642.0","-6,032.0","-2,742.0","-823.0","9,933.0","-6,288.0","-2,143.0","-1,071.0","10,442.0","-7,294.0","-2,008.0","-973.0","10,225.0","-7,601.0","-1,823.0","-706.0","10,156.0","-7,602.0","-2,120.0","-1,029.0","9,369.0","-6,761.0","-1,744.0","-728.0","9,180.0","-6,290.0","-1,661.0","-737.0","10,009.0","-7,296.0","-1,555.0","-808.0","10,222.0","-7,702.0","-1,740.0","-925.0","11,367.0","-8,061.0","-1,346.0","-952.0","13,636.0","-9,720.0","-3,480.0","-958.0","16,453.0","-11,888.0","-3,696.0","-1,168.0","17,195.0","-12,827.0","-2,701.0","-1,323.0","16,958.0","-13,538.0","-2,531.0","-1,175.0","16,039.0","-12,652.0","-2,387.0","-1,092.0","15,359.0","-13,048.0","-2,252.0","-1,088.0","15,671.0","-11,984.0","-2,274.0","-1,234.0","19,679.0","-13,806.0","-2,970.0","-3,555.0","23,327.0","-16,660.0","-3,319.0","-5,122.0","23,018.0","-18,446.0","-8,118.0","-1,948.0"
"35","15","  Withheld personal income tax and social security contributions","M318151","1,160.0","371.0","-351.0","-463.0","1,002.0","-15.0","-629.0","-728.0","-349.0","20.0","-423.0","-721.0","1,920.0","-14.0","-446.0","-635.0","2,138.0","111.0","-346.0","-786.0","1,755.0","342.0","-243.0","-844.0","1,179.0","93.0","-148.0","-800.0","1,588.0","353.0","-227.0","-1,132.0","1,772.0","725.0","-489.0","-945.0","2,273.0","843.0","-550.0","-630.0","2,047.0","668.0","-85.0","-839.0","1,879.0","466.0","-1,910.0","-1,040.0","-297.0","1,021.0","-2,738.0","91.0","1,718.0","623.0","181.0","-2,322.0","1,976.0","153.0","397.0","-1,373.0","2,604.0","1,584.0","1,528.0","-2,009.0","2,365.0","502.0","6.0","-1,099.0","377.0","971.0","831.0","-2,229.0","1,305.0","573.0","1,149.0","-2,575.0","2,903.0","-1,038.0","787.0","-1,110.0","1,910.0","-641.0","513.0","-1,403.0","2,271.0","-888.0","730.0","-2,836.0","2,014.0","399.0","844.0","-2,417.0","1,973.0","-316.0","1,577.0","-2,874.0","2,241.0","-648.0","1,172.0","-2,773.0","3,150.0","-373.0","959.0","-2,478.0","1,375.0","-674.0","1,316.0","-1,311.0","1,753.0","-127.0","1,979.0","-2,031.0","1,543.0","-258.0","2,603.0","-2,845.0","2,006.0","-601.0","2,827.0","-2,505.0","1,961.0","-277.0","2,756.0","-2,385.0","1,474.0","-843.0","2,636.0","-1,497.0","1,949.0","-3,526.0","3,312.0","-5,136.0","1,879.0","-343.0","2,058.0","-3,025.0","298.0","-1,995.0","2,275.0","-2,399.0","2,022.0","-341.0","3,024.0","-2,009.0","4,179.0","389.0","900.0","-1,032.0","1,100.0","-883.0","2,582.0","-28.0","-655.0","-1,752.0","3,027.0","-2,825.0","519.0","-1,901.0","1,671.0","-4,773.0","-1,671.0","-712.0","2,178.0","-2,776.0","1,260.0","-3,719.0","-796.0","-5,480.0","1,871.0","507.0","2,494.0","-575.0","1,933.0","-1,511.0","2,123.0","-2,648.0"
"36","16","  Excise taxes","M318161","110.0","119.0","-108.0","-209.0","129.0","146.0","-118.0","-75.0","-41.0","-147.0","-542.0","-609.0","930.0","136.0","-166.0","-38.0","40.0","46.0","-175.0","-238.0","178.0","119.0","-200.0","-185.0","-66.0","233.0","-225.0","-117.0","-48.0","205.0","-152.0","-85.0","47.0","49.0","-129.0","-74.0","81.0","82.0","-185.0","-145.0","42.0","66.0","-89.0","-88.0","773.0","-137.0","-244.0","703.0","652.0","-465.0","-946.0","-208.0","-368.0","-70.0","-65.0","261.0","-59.0","554.0","-980.0","-232.0","172.0","-634.0","-648.0","-427.0","-57.0","-146.0","-614.0","-979.0","-101.0","-551.0","-197.0","-733.0","-368.0","-751.0","-215.0","-1,133.0","983.0","-478.0","-1,063.0","-774.0","727.0","-827.0","90.0","-221.0","951.0","-1,794.0","-127.0","97.0","1,152.0","514.0","-1,205.0","-145.0","525.0","-202.0","-176.0","-10.0","-401.0","-1,059.0","-1,496.0","244.0","1,659.0","683.0","-1,201.0","230.0","597.0","-322.0","-1,668.0","-637.0","515.0","132.0","-1,171.0","1,147.0","-141.0","354.0","-582.0","-121.0","808.0","-581.0","2,883.0","-5,363.0","776.0","-263.0","-2,248.0","692.0","108.0","-490.0","-2,995.0","616.0","-572.0","608.0","-1,786.0","4,808.0","-3,004.0","-1,106.0","-2,743.0","579.0","1,077.0","288.0","-2,562.0","204.0","677.0","-21.0","-1,855.0","707.0","-118.0","234.0","-2,322.0","266.0","-161.0","-1,291.0","-2,032.0","1,270.0","889.0","47.0","-2,891.0","616.0","-353.0","-735.0","-3,178.0","1,637.0","1,157.0","390.0","-1,130.0","1,514.0","1,123.0","-535.0","-2,533.0","423.0","725.0","802.0","-2,601.0","1,890.0","2,217.0","407.0","-2,567.0","626.0"
"37","17","  Other","M318171","17.0","16.0","16.0","7.0","16.0","19.0","11.0","12.0","21.0","24.0","7.0","11.0","32.0","21.0","100.0","27.0","40.0","48.0","24.0","36.0","42.0","26.0","53.0","14.0","144.0","32.0","518.0","-276.0","-322.0","80.0","75.0","51.0","75.0","81.0","48.0","-11.0","68.0","52.0","56.0","57.0","109.0","64.0","21.0","21.0","70.0","43.0","34.0","339.0","-192.0","93.0","63.0","-184.0","301.0","61.0","-16.0","48.0","-1.0","0.0","0.0","0.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","677.0","47.0","205.0","-120.0","-347.0","251.0","679.0","156.0","210.0","-1,034.0","-19.0","-108.0","176.0","517.0","-414.0","696.0","-57.0","202.0","18.0","-617.0","1,487.0","-15.0","-70.0","67.0","459.0","-142.0","-107.0","103.0","454.0","-141.0","-125.0","-40.0","451.0","-234.0","-214.0","20.0","438.0","-190.0","-168.0","58.0","354.0","-218.0","-217.0","-1,524.0","1,981.0","-138.0","-83.0","121.0","375.0","-135.0","-111.0","35.0","422.0","-127.0","-101.0","53.0","334.0","-70.0","-264.0","-45.0","415.0","-137.0","-43.0","71.0","314.0","-141.0","-120.0","481.0","184.0","-301.0","-338.0","44.0","589.0","-378.0","-313.0","98.0","-89.0","-131.0","-176.0","-79.0","-28.0","6.0","26.0","24.0","123.0","3,910.0","-3,521.0","-48,952.0","7,719.0","4,093.0","3,904.0","3,731.0","3,671.0","3,656.0","3,657.0","3,791.0","3,846.0","3,889.0","4,062.0","1,355.0"
"38","18","Equals: Federal government current receipts, NIPAs","M318181","46,407.0","54,603.0","47,527.0","43,298.0","45,925.0","52,252.0","46,030.0","40,924.0","46,080.0","52,452.0","48,270.0","43,907.0","51,781.0","61,161.0","55,158.0","50,909.0","60,481.0","65,032.0","64,276.0","59,457.0","64,116.0","74,159.0","74,041.0","66,184.0","65,638.0","68,469.0","73,772.0","68,953.0","74,186.0","86,842.0","84,158.0","77,039.0","82,834.0","101,399.0","93,903.0","85,374.0","93,764.0","117,382.0","108,903.0","103,524.0","112,466.0","134,220.0","122,754.0","117,336.0","124,492.0","142,121.0","134,606.0","131,819.0","144,913.0","170,892.0","155,388.0","149,255.0","150,804.0","171,127.0","154,568.0","141,530.0","156,104.0","167,832.0","164,029.0","156,247.0","175,767.0","185,688.0","179,294.0","169,914.0","192,541.0","204,599.0","196,113.0","182,000.0","200,029.0","215,681.0","206,169.0","195,441.0","211,490.0","255,222.0","223,228.0","209,022.0","233,393.0","264,550.0","236,101.0","227,387.0","250,556.0","301,576.0","253,074.0","235,629.0","254,308.0","310,448.0","265,920.0","254,993.0","259,362.0","309,793.0","277,030.0","259,366.0","272,148.0","318,529.0","284,249.0","277,157.0","298,063.0","322,300.0","309,982.0","298,409.0","325,027.0","350,425.0","334,666.0","316,607.0","347,933.0","384,782.0","351,867.0","328,296.0","364,036.0","429,642.0","377,994.0","359,483.0","390,674.0","473,713.0","410,663.0","386,595.0","420,617.0","520,557.0","435,752.0","406,833.0","442,329.0","548,276.0","462,618.0","447,509.0","475,203.0","629,083.0","499,614.0","459,252.0","492,373.0","640,988.0","443,437.0","450,007.0","442,586.0","521,701.0","470,082.0","431,412.0","454,760.0","521,795.0","456,894.0","456,488.0","469,675.0","538,557.0","506,138.0","507,828.0","525,318.0","651,979.0","570,140.0","550,662.0","584,074.0","750,141.0","613,135.0","584,375.0","617,293.0","803,430.0","639,234.0","600,835.0","601,854.0","752,903.0","607,641.0","543,339.0","520,387.0","617,662.0","560,773.0","531,249.0","557,821.0","640,061.0","603,567.0","590,298.0","592,425.0","712,128.0","620,869.0","591,259.0","611,239.0","752,410.0","655,961.0","643,400.0"
"39",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","19","Budget outlays","M318191","46,131.0","45,231.0","50,417.0","48,501.0","47,821.0","49,849.0","54,264.0","49,919.0","52,307.0","54,935.0","56,334.0","55,223.0","58,559.0","61,760.0","57,644.0","60,942.0","64,664.0","63,276.0","65,482.0","64,878.0","67,606.0","70,426.0","74,529.0","78,864.0","83,123.0","88,085.0","90,804.0","93,741.0","89,612.0","91,453.0","94,474.0","98,967.0","97,646.0","101,839.0","103,444.0","113,307.0","111,191.0","111,328.0","114,933.0","123,218.0","122,557.0","123,048.0","124,398.0","138,520.0","141,535.0","148,150.0","150,806.0","160,556.0","167,286.0","167,423.0","165,281.0","194,204.0","167,297.0","181,382.0","185,537.0","205,310.0","200,783.0","195,703.0","194,135.0","212,726.0","209,355.0","211,386.0","208,377.0","238,597.0","229,766.0","234,001.0","234,520.0","252,385.0","240,871.0","245,206.0","251,403.0","254,384.0","251,352.0","251,056.0","245,440.0","285,272.0","244,497.0","268,280.0","264,565.0","289,275.0","280,661.0","285,650.0","288,434.0","298,445.0","310,671.0","331,677.0","310,982.0","332,756.0","298,119.0","333,397.0","359,487.0","338,191.0","352,868.0","351,290.0","338,445.0","385,599.0","325,794.0","349,466.0","348,252.0","378,320.0","350,841.0","362,349.0","370,397.0","383,237.0","377,774.0","380,037.0","374,695.0","379,602.0","394,311.0","392,017.0","394,554.0","404,831.0","401,523.0","395,996.0","398,766.0","426,038.0","408,474.0","407,136.0","410,810.0","467,442.0","396,089.0","419,598.0","418,713.0","464,015.0","448,699.0","444,832.0","431,406.0","464,305.0","481,920.0","466,313.0","450,308.0","501,638.0","509,033.0","506,850.0","493,373.0","535,866.0","542,585.0","543,587.0","537,861.0","569,965.0","582,042.0","575,346.0","565,488.0","604,521.0","627,931.0","619,343.0","620,160.0","649,432.0","691,174.0","675,989.0","638,455.0","653,886.0","725,440.0","687,772.0","661,588.0","714,352.0","745,832.0","762,420.0","759,940.0","1,026,654.0","914,190.0","729,516.0","847,317.0","876,989.0","794,420.0","932,017.0","853,653.0","901,238.0","950,250.0","856,254.0","895,317.0","875,549.0","966,238.0","884,812.0","810,528.0","908,747.0"
"41","20","Less: Coverage differences","M318201","301.0","-3,182.0","-1,285.0","-639.0","-2,339.0","-3,640.0","-4,233.0","-3,888.0","-4,761.0","-5,290.0","-4,561.0","-3,795.0","-5,358.0","-5,188.0","-7,140.0","-5,320.0","-5,759.0","-7,132.0","-6,233.0","-6,981.0","-6,525.0","-8,483.0","-3,488.0","-4,227.0","-6,479.0","-5,858.0","-1,169.0","-2,198.0","-6,120.0","-5,716.0","-2,480.0","-461.0","-5,639.0","-3,199.0","-3,868.0","794.0","-3,391.0","-6,354.0","-1,475.0","1,523.0","-1,886.0","-4,568.0","-4,419.0","815.0","-1,138.0","210.0","-3,652.0","-266.0","502.0","-1,893.0","-6,654.0","2,219.0","-81.0","-2,470.0","-3,661.0","4,178.0","1,565.0","-8,455.0","-9,649.0","3,324.0","-3,577.0","-1,430.0","-2,279.0","12,456.0","2,378.0","2,964.0","3,614.0","12,171.0","2,886.0","-4,419.0","4,983.0","4,089.0","2,665.0","-680.0","1,265.0","550.0","1,336.0","3,922.0","3,680.0","5,355.0","-2,842.0","1,774.0","8,310.0","4,049.0","2,111.0","25,143.0","12,494.0","14,199.0","-782.0","11,626.0","36,807.0","-9,594.0","5,617.0","-1,851.0","-12,955.0","-8,174.0","-8,361.0","-16,142.0","-18,993.0","-1,243.0","-21,675.0","-8,190.0","-13,330.0","-4,125.0","-15,852.0","-16,914.0","-20,336.0","-11,260.0","-12,709.0","-14,736.0","-9,406.0","-11,935.0","-16,608.0","-23,763.0","-13,798.0","-6,196.0","-15,448.0","-17,764.0","-9,726.0","-227.0","-11,299.0","-16,486.0","-15,838.0","6,679.0","-13,185.0","-12,252.0","-17,352.0","62.0","-9,394.0","-12,755.0","-17,938.0","8,133.0","-2,176.0","-2,119.0","-14,986.0","7,773.0","6,554.0","-5,514.0","-5,090.0","11,385.0","-902.0","4,156.0","-7,103.0","11,000.0","4,370.0","4,686.0","6,945.0","9,561.0","3,409.0","20,468.0","-547.0","-6,138.0","4,552.0","-3,003.0","-2,231.0","4,417.0","2,581.0","9,692.0","21,959.0","275,515.0","126,360.0","-104,713.0","13,631.0","47,467.0","-87,283.0","60,405.0","-21,393.0","5,133.0","24,521.0","-42,598.0","-11,665.0","26,744.0","12,462.0","-9,407.0","-34,967.0","233.0"
"42","21","  Federal employee pension and insurance fund transactions \1\","M318221","-3,743.0","-3,867.0","-4,208.0","-4,281.0","-4,615.0","-5,098.0","-5,191.0","-5,333.0","-5,563.0","-5,879.0","-5,665.0","-5,788.0","-5,966.0","-6,079.0","-5,911.0","-5,880.0","-6,132.0","-6,255.0","-5,998.0","-5,925.0","-5,993.0","-6,248.0","-5,921.0","-5,778.0","-5,683.0","-5,853.0","-5,793.0","-5,566.0","-5,770.0","-5,620.0","-5,775.0","-5,732.0","-5,947.0","-5,987.0","-6,317.0","-6,434.0","-6,909.0","-7,242.0","-7,615.0","-7,341.0","-7,366.0","-7,235.0","-7,531.0","-7,188.0","-7,321.0","-6,973.0","-7,307.0","-6,815.0","-6,997.0","-6,642.0","-7,291.0","-7,610.0","-7,717.0","-6,972.0","-7,201.0","-7,274.0","-7,564.0","-7,293.0","-7,387.0","-7,822.0","-7,924.0","-8,356.0","-8,572.0","-14,462.0","-13,058.0","-13,432.0","-13,700.0","-13,955.0","-14,002.0","-14,208.0","-14,381.0","-14,438.0","-13,752.0","-13,781.0","-13,725.0","-14,352.0","-13,788.0","-14,178.0","-14,641.0","-14,669.0","-14,445.0","-14,786.0","-15,064.0","-15,081.0","-14,229.0","-15,250.0","-14,995.0","-15,682.0","-14,472.0","-15,676.0","-15,743.0","-15,977.0","-15,875.0","-16,074.0","-15,915.0","-15,936.0","-15,534.0","-15,648.0","-15,739.0","-15,025.0","-15,386.0","-15,546.0","-15,680.0","-15,286.0","-15,358.0","-15,538.0","-15,567.0","-15,322.0","-15,193.0","-15,329.0","-15,575.0","-15,069.0","-15,309.0","-15,515.0","-15,891.0","-15,647.0","-15,763.0","-16,108.0","-16,301.0","-16,079.0","-16,351.0","-16,468.0","-16,614.0","-16,403.0","-16,487.0","-16,694.0","-17,023.0","-16,554.0","-16,859.0","-17,061.0","-17,288.0","-17,072.0","-16,765.0","-17,281.0","-17,355.0","-18,151.0","-18,642.0","-19,528.0","-20,134.0","-19,114.0","-19,696.0","-20,061.0","-20,283.0","-21,011.0","-20,905.0","-20,990.0","-20,030.0","-28,906.0","-16,977.0","-18,589.0","-18,404.0","-28,033.0","-17,147.0","-19,156.0","-18,387.0","-29,769.0","-18,155.0","-20,323.0","-19,895.0","-26,317.0","-12,313.0","-19,081.0","-17,769.0","-29,354.0","-17,251.0","-20,507.0","-18,695.0","-32,623.0","-19,865.0","-23,975.0","-20,140.0","-32,216.0","-18,498.0","-23,210.0","-19,674.0","-38,816.0"
"43","22","    Interest accrued","M318231","-2,806.0","-3,061.0","-3,222.0","-3,441.0","-3,780.0","-4,181.0","-4,330.0","-4,401.0","-4,515.0","-4,755.0","-4,661.0","-4,742.0","-4,917.0","-5,119.0","-5,145.0","-5,193.0","-5,388.0","-5,569.0","-5,593.0","-5,613.0","-5,806.0","-6,010.0","-6,082.0","-6,091.0","-6,277.0","-6,465.0","-6,568.0","-6,543.0","-6,730.0","-6,911.0","-7,074.0","-7,052.0","-7,273.0","-7,558.0","-7,976.0","-8,247.0","-8,728.0","-9,164.0","-9,641.0","-9,677.0","-9,757.0","-9,834.0","-10,228.0","-10,245.0","-10,447.0","-10,562.0","-10,998.0","-10,999.0","-11,184.0","-11,260.0","-11,687.0","-11,919.0","-12,263.0","-12,210.0","-12,383.0","-12,394.0","-12,837.0","-13,028.0","-13,236.0","-13,503.0","-13,717.0","-13,974.0","-14,145.0","-14,336.0","-14,586.0","-14,869.0","-15,116.0","-15,448.0","-15,656.0","-15,900.0","-16,168.0","-16,390.0","-16,670.0","-16,938.0","-17,188.0","-17,458.0","-17,566.0","-18,115.0","-18,389.0","-18,319.0","-18,602.0","-19,150.0","-19,456.0","-19,443.0","-19,907.0","-20,210.0","-20,227.0","-20,664.0","-20,997.0","-21,408.0","-21,612.0","-21,495.0","-22,350.0","-22,578.0","-22,332.0","-22,912.0","-23,421.0","-23,596.0","-23,706.0","-23,691.0","-23,874.0","-24,606.0","-24,454.0","-24,796.0","-25,089.0","-25,348.0","-25,568.0","-25,747.0","-25,899.0","-26,082.0","-26,307.0","-26,572.0","-26,872.0","-27,171.0","-27,457.0","-27,732.0","-27,989.0","-28,218.0","-28,417.0","-28,580.0","-28,715.0","-28,855.0","-29,000.0","-29,150.0","-29,313.0","-29,506.0","-29,731.0","-29,996.0","-30,268.0","-30,466.0","-30,567.0","-30,572.0","-30,509.0","-30,535.0","-30,683.0","-31,001.0","-31,365.0","-31,679.0","-32,050.0","-32,392.0","-32,681.0","-33,030.0","-33,609.0","-33,639.0","-34,463.0","-34,500.0","-34,904.0","-35,508.0","-35,023.0","-35,949.0","-36,014.0","-35,306.0","-36,227.0","-38,159.0","-37,119.0","-37,881.0","-37,563.0","-39,707.0","-38,913.0","-36,570.0","-33,980.0","-39,307.0","-37,948.0","-39,012.0","-37,442.0","-39,765.0","-37,585.0","-39,942.0","-39,162.0","-43,170.0","-39,626.0","-41,127.0","-39,510.0","-43,783.0","-39,709.0","-51,219.0"
"44","23","    Contributions accrued (employer)","M318241","-2,176.0","-2,105.0","-2,312.0","-2,239.0","-2,306.0","-2,413.0","-2,455.0","-2,613.0","-2,742.0","-2,873.0","-2,901.0","-2,964.0","-3,004.0","-2,980.0","-2,952.0","-2,941.0","-3,019.0","-3,017.0","-2,987.0","-2,984.0","-3,007.0","-3,113.0","-2,975.0","-2,943.0","-2,904.0","-2,976.0","-2,966.0","-2,924.0","-3,001.0","-2,915.0","-2,963.0","-2,987.0","-3,062.0","-3,037.0","-3,070.0","-3,117.0","-3,181.0","-3,250.0","-3,244.0","-3,200.0","-3,216.0","-3,269.0","-3,347.0","-3,365.0","-3,408.0","-3,387.0","-3,453.0","-3,479.0","-3,610.0","-3,559.0","-3,837.0","-4,099.0","-3,882.0","-3,829.0","-3,929.0","-3,994.0","-3,861.0","-3,747.0","-3,807.0","-3,995.0","-3,939.0","-4,181.0","-4,306.0","-8,626.0","-8,754.0","-8,941.0","-9,039.0","-9,016.0","-8,919.0","-8,974.0","-8,976.0","-8,874.0","-8,085.0","-8,261.0","-8,140.0","-8,368.0","-8,386.0","-8,512.0","-8,469.0","-8,482.0","-8,580.0","-8,555.0","-8,554.0","-8,597.0","-8,101.0","-8,743.0","-8,437.0","-8,736.0","-8,530.0","-8,902.0","-8,656.0","-8,846.0","-8,814.0","-8,653.0","-8,531.0","-8,070.0","-7,613.0","-7,596.0","-7,574.0","-7,283.0","-7,496.0","-7,121.0","-7,451.0","-7,278.0","-7,040.0","-7,143.0","-7,036.0","-6,955.0","-6,709.0","-6,820.0","-6,810.0","-6,675.0","-6,800.0","-6,810.0","-6,825.0","-6,697.0","-6,767.0","-6,833.0","-6,860.0","-6,713.0","-6,983.0","-6,964.0","-7,008.0","-6,963.0","-7,106.0","-7,157.0","-7,254.0","-7,091.0","-7,461.0","-7,469.0","-7,604.0","-7,821.0","-7,742.0","-8,283.0","-8,175.0","-10,103.0","-10,717.0","-10,890.0","-11,043.0","-11,007.0","-11,271.0","-11,193.0","-10,754.0","-13,098.0","-12,265.0","-12,136.0","-10,598.0","-20,734.0","-9,298.0","-9,613.0","-9,667.0","-21,023.0","-9,830.0","-10,028.0","-10,232.0","-21,623.0","-10,709.0","-10,932.0","-11,274.0","-21,860.0","-10,798.0","-12,113.0","-12,193.0","-23,381.0","-12,963.0","-13,893.0","-14,379.0","-25,798.0","-14,223.0","-14,203.0","-14,184.0","-25,365.0","-13,951.0","-14,384.0","-14,618.0","-23,150.0"
"45","24","    Benefits paid","M318251","1,238.0","1,298.0","1,325.0","1,397.0","1,470.0","1,494.0","1,592.0","1,679.0","1,692.0","1,747.0","1,895.0","1,916.0","1,953.0","2,018.0","2,184.0","2,252.0","2,273.0","2,329.0","2,579.0","2,669.0","2,817.0","2,872.0","3,133.0","3,252.0","3,495.0","3,585.0","3,737.0","3,897.0","3,957.0","4,202.0","4,258.0","4,302.0","4,384.0","4,603.0","4,724.0","4,925.0","4,995.0","5,167.0","5,264.0","5,530.0","5,601.0","5,861.0","6,037.0","6,415.0","6,527.0","6,970.0","7,137.0","7,656.0","7,790.0","8,169.0","8,225.0","8,400.0","8,420.0","9,059.0","9,103.0","9,105.0","9,123.0","9,471.0","9,644.0","9,664.0","9,721.0","9,788.0","9,868.0","8,490.0","10,271.0","10,367.0","10,444.0","10,497.0","10,561.0","10,655.0","10,752.0","10,815.0","10,993.0","11,408.0","11,592.0","11,462.0","12,150.0","12,434.0","12,202.0","12,116.0","12,722.0","12,904.0","12,930.0","12,943.0","13,762.0","13,686.0","13,652.0","13,702.0","15,039.0","14,618.0","14,509.0","14,348.0","15,272.0","15,140.0","14,930.0","15,027.0","15,480.0","15,524.0","15,521.0","15,930.0","15,965.0","16,162.0","16,206.0","16,766.0","16,749.0","16,931.0","17,015.0","17,356.0","17,391.0","17,549.0","17,518.0","18,152.0","18,337.0","18,440.0","18,365.0","18,757.0","18,968.0","18,918.0","18,951.0","19,186.0","19,319.0","19,323.0","19,366.0","19,684.0","19,906.0","19,943.0","19,936.0","20,506.0","20,843.0","20,847.0","20,856.0","21,288.0","21,453.0","21,504.0","21,470.0","22,901.0","23,388.0","22,989.0","22,907.0","24,223.0","24,194.0","24,100.0","24,018.0","25,664.0","25,761.0","25,584.0","25,410.0","27,274.0","27,282.0","26,911.0","27,215.0","28,228.0","28,842.0","28,963.0","28,896.0","29,661.0","30,043.0","30,242.0","30,218.0","32,068.0","32,420.0","32,294.0","32,327.0","32,971.0","33,086.0","33,083.0","33,201.0","33,058.0","33,461.0","33,339.0","33,611.0","34,217.0","34,904.0","34,898.0","34,594.0","35,494.0"
"46","25","    Administrative expenses","M318261","1.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","6.0","6.0","6.0","7.0","7.0","7.0","7.0","6.0","7.0","7.0","7.0","8.0","8.0","8.0","8.0","8.0","8.0","9.0","11.0","11.0","12.0","12.0","11.0","11.0","11.0","10.0","11.0","11.0","11.0","12.0","12.0","11.0","11.0","11.0","10.0","10.0","11.0","12.0","14.0","15.0","15.0","16.0","15.0","15.0","16.0","16.0","17.0","17.0","17.0","16.0","16.0","16.0","16.0","16.0","17.0","17.0","18.0","19.0","20.0","20.0","20.0","19.0","19.0","19.0","19.0","22.0","22.0","22.0","22.0","24.0","24.0","24.0","24.0","26.0","26.0","26.0","26.0","25.0","25.0","25.0","25.0","28.0","28.0","28.0","28.0","26.0","26.0","26.0","26.0","27.0","27.0","27.0","27.0","33.0","33.0","33.0","33.0","52.0","52.0","52.0","52.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","68.0","68.0","68.0","68.0","74.0","74.0","74.0","74.0","45.0","45.0","45.0","45.0","68.0","68.0","68.0","68.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0"
