"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"155","141","      Federal \5\","W020RC1",5.9,5.3,5.9,6.1,6,7.9,9.7,10.6,11.2,12,14.5,16.7,15.7,14.7,15.6,17.8,19.6,20.1,19.1,19.8,20.2,28.2,26.5,22.6,24.3,26,27.9,28.4,29.2,28.9,36.6,37,42.5,49.7,63.1,64,85.3,71,79.4,145.9,206.9,141.4,123.5,98.8,79.3
"156","142","General public service","W698RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,7.2,5.1,0.1,0.7,1.1,0.4,0,0.2,0,4.2,0,0,0.2,1.9,0.7,2.3,1.7,0.1,0.2,0.1,0.2,2,0.7,0.4
"157","143","Economic affairs","G171361",4.3,4.9,5.3,5.4,5.2,5.9,7.2,7.6,7.7,8.7,10.5,12.4,12,11.3,12.8,15,16.6,17.1,16.4,17.3,17.7,18.6,18.9,20.3,21.5,23,24.9,25.8,26.4,26.1,29.2,33.2,37.9,41.3,41.3,42.3,45,47.9,49.7,115.3,94.3,64.1,62.8,62.4,62.3
"158","144","  Transportation","G171371",4.3,4.9,5.3,5.4,5.2,5.9,7.2,7.6,7.7,8.7,10.5,12.4,12,11.3,12.8,15,16.6,17.1,16.4,17.3,17.7,18.6,18.9,20.3,21.5,23,24.9,25.8,26.4,26.1,29,32.8,37.4,40.8,40.8,41.8,44.5,47.4,49.1,53.7,58.9,61.6,60.6,60.8,61.2
"159","145","    Highways","G171381",4,4.6,4.9,4.7,4.4,4.8,5.7,6.1,5.9,6.4,8,9.4,8.6,8.1,9.2,11.3,13.3,13.5,13,14,13.8,14.2,14.3,15.7,16.9,18.6,19.5,20.2,20.9,20.6,23.3,25.5,28.2,30.8,30.6,30.5,32.7,34.4,35.8,38.4,41.4,44,44.1,44.2,44.1
"160","146","    Air","G171391",0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.4,0.6,0.5,0.6,0.4,0.3,0.6,0.7,0.8,0.9,0.9,0.9,1.2,1.3,1.6,1.8,1.8,1.7,1.7,1.7,1.5,1.5,1.5,1.7,2.2,2.9,2.8,3.7,3.9,4.2,4.2,4.4,4.8,4.2,3.6,3.3,3.7
"161","147","    Water","W813RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.9,0.9,0.9,0.6,0.6,0.8
"162","148","    Transit and railroad","G171411",0.1,0.1,0.2,0.4,0.4,0.7,0.9,1.1,1.2,1.6,1.7,2.1,2.7,2.6,2.9,3,2.5,2.7,2.5,2.5,2.8,3.1,3,2.8,2.8,2.8,3.6,4,4,3.9,4.1,5.6,6.9,7.2,7.2,7.5,7.8,8.7,9.2,10,11.8,12.6,12.3,12.7,12.6
"163","149","  Other economic affairs","W699RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5,35.4,2.5,2.2,1.6,1.1
"164","150","Housing and community services","G171421",0.3,0.4,0.6,0.7,0.8,2,2.5,3,3.5,3.2,4.1,4.3,3.8,3.4,2.8,2.8,3,3,2.7,2.4,2.3,2.3,2.5,2.2,2.1,2,2.6,2.6,2.7,2.8,3.1,3.8,4.6,4.6,5.1,4.9,22,5.1,5,13.5,99.5,62.7,47.3,27.2,10.1
"165","151","Health","G171431",1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,14.8,16.1,15.9,16.4,24.7,16.9,12.9,14.5,11.4,8.5,6.5
"166","152","Income security","G171441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"167","153","      State and local","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0,0,0,0,0,0
"168","154","Housing and community services \6\","W952RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0,0,0,0,0,0
"169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","1. Equals consumption expenditures, government social benefits, interest payments, and subsidies;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","for federal government, also includes grants-in-aid to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","and local governments and other current transfer payments to the rest of the world (net).  Government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","federal government, and state and local government current expenditures are shown separately in tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","3.1, 3.2, and 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","2. Federal grants-in-aid to state and local governments are included in federal current expenditures;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","because the grants are transactions between levels of government, they are eliminated in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","consolidation of the government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","3. For more information regarding capital transfers, please see NIPA table 5.11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","4. Federal investment grants to state and local governments are excluded in the consolidation of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","federal and state and local sectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","5. Includes federal investment grants to state and local governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","6. Consists of disaster-related benefits payments by state-owned insurance entities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
