"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"36","16","        Excise taxes","M318161","110.0","119.0","-108.0","-209.0","129.0","146.0","-118.0","-75.0","-41.0","-147.0","-542.0","-609.0","930.0","136.0","-166.0","-38.0","40.0","46.0","-175.0","-238.0","178.0","119.0","-200.0","-185.0","-66.0","233.0","-225.0","-117.0","-48.0","205.0","-152.0","-85.0","47.0","49.0","-129.0","-74.0","81.0","82.0","-185.0","-145.0","42.0","66.0","-89.0","-88.0","773.0","-137.0","-244.0","703.0","652.0","-465.0","-946.0","-208.0","-368.0","-70.0","-65.0","261.0","-59.0","554.0","-980.0","-232.0","172.0","-634.0","-648.0","-427.0","-57.0","-146.0","-614.0","-979.0","-101.0","-551.0","-197.0","-733.0","-368.0","-751.0","-215.0","-1,133.0","983.0","-478.0","-1,063.0","-774.0","727.0","-827.0","90.0","-221.0","951.0","-1,794.0","-127.0","97.0","1,152.0","514.0","-1,205.0","-145.0","525.0","-202.0","-176.0","-10.0","-401.0","-1,059.0","-1,496.0","244.0","1,659.0","683.0","-1,201.0","230.0","597.0","-322.0","-1,668.0","-637.0","515.0","132.0","-1,171.0","1,147.0","-141.0","354.0","-582.0","-121.0","808.0","-581.0","2,883.0","-5,363.0","776.0","-263.0","-2,248.0","692.0","108.0","-490.0","-2,995.0","616.0","-572.0","608.0","-1,786.0","4,808.0","-3,004.0","-1,106.0","-2,743.0","579.0","1,048.0","34.0","-3,442.0","481.0","979.0","-381.0","-2,532.0","499.0","24.0","26.0","-2,887.0","278.0","426.0","-1,428.0","-2,634.0","1,596.0","-415.0","-865.0","-1,100.0","922.0","-789.0","-712.0","-2,721.0","1,639.0","1,285.0","700.0","4,417.0","1,628.0","3,420.0","525.0","-1,008.0","801.0"
"37","17","        Other","M318171","17.0","16.0","16.0","7.0","16.0","19.0","11.0","12.0","21.0","24.0","7.0","11.0","32.0","21.0","100.0","27.0","40.0","48.0","24.0","36.0","42.0","26.0","53.0","14.0","144.0","32.0","518.0","-276.0","-322.0","80.0","75.0","51.0","75.0","81.0","48.0","-11.0","68.0","52.0","56.0","57.0","109.0","64.0","21.0","21.0","70.0","43.0","34.0","339.0","-192.0","93.0","63.0","-184.0","301.0","61.0","-16.0","48.0","-1.0","0.0","0.0","0.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","677.0","47.0","205.0","-120.0","-347.0","251.0","679.0","156.0","210.0","-1,034.0","-19.0","-108.0","176.0","517.0","-414.0","696.0","-57.0","202.0","18.0","-617.0","1,487.0","-15.0","-70.0","67.0","459.0","-142.0","-107.0","103.0","454.0","-141.0","-125.0","-40.0","451.0","-234.0","-214.0","20.0","438.0","-190.0","-168.0","58.0","354.0","-218.0","-217.0","-1,524.0","1,981.0","-138.0","-83.0","121.0","375.0","-135.0","-111.0","35.0","422.0","-127.0","-101.0","53.0","334.0","-70.0","-264.0","-45.0","412.0","-144.0","-62.0","129.0","347.0","-122.0","-115.0","489.0","179.0","-306.0","-336.0","64.0","606.0","-373.0","-314.0","62.0","-80.0","-112.0","-149.0","-63.0","-25.0","17.0","39.0","56.0","96.0","3,827.0","-3,618.0","-49,068.0","7,601.0","3,955.0","3,764.0","3,677.0"
"38","18","Equals: Federal government current receipts, NIPAs","M318181","46,601.0","54,806.0","47,733.0","43,515.0","46,155.0","52,409.0","46,293.0","41,232.0","46,386.0","52,657.0","48,538.0","44,311.0","52,185.0","61,368.0","55,429.0","51,320.0","60,926.0","65,192.0","64,746.0","59,941.0","64,614.0","74,085.0","74,557.0","66,706.0","65,939.0","67,897.0","74,302.0","69,494.0","74,740.0","85,919.0","84,726.0","77,607.0","83,409.0","101,942.0","92,623.0","85,981.0","94,382.0","118,015.0","107,448.0","104,180.0","113,129.0","134,901.0","120,825.0","118,051.0","125,233.0","142,883.0","132,084.0","132,635.0","145,751.0","171,760.0","152,271.0","150,151.0","151,693.0","172,017.0","151,236.0","142,404.0","156,973.0","168,699.0","160,438.0","157,141.0","176,678.0","186,620.0","175,791.0","170,898.0","193,556.0","205,631.0","192,197.0","183,021.0","200,997.0","216,632.0","202,041.0","196,379.0","212,118.0","255,837.0","218,912.0","209,662.0","234,048.0","265,197.0","231,260.0","228,019.0","251,182.0","302,208.0","248,357.0","236,287.0","254,965.0","311,123.0","260,997.0","255,674.0","260,064.0","310,495.0","271,255.0","260,095.0","272,861.0","319,235.0","278,147.0","277,767.0","298,622.0","322,854.0","303,714.0","298,895.0","325,548.0","350,961.0","328,280.0","317,332.0","348,536.0","385,344.0","345,129.0","328,825.0","364,705.0","430,290.0","371,204.0","360,237.0","391,300.0","474,321.0","403,369.0","387,162.0","421,169.0","521,046.0","428,341.0","407,309.0","442,767.0","548,644.0","455,564.0","447,989.0","475,772.0","629,570.0","492,325.0","459,475.0","492,634.0","641,279.0","435,897.0","450,458.0","442,723.0","522,113.0","462,825.0","431,668.0","454,176.0","521,367.0","453,126.0","456,413.0","469,751.0","537,460.0","500,033.0","506,695.0","524,892.0","651,134.0","564,145.0","549,908.0","585,009.0","749,110.0","607,178.0","583,236.0","615,736.0","802,284.0","635,614.0","601,097.0","601,499.0","752,726.0","603,563.0","544,450.0","518,785.0","617,980.0","562,135.0","533,585.0","570,703.0","652,149.0","609,434.0","597,350.0"
"39",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","19","Budget outlays","M318191","46,131.0","45,231.0","50,417.0","48,501.0","47,821.0","49,849.0","54,264.0","49,919.0","52,307.0","54,935.0","56,334.0","55,223.0","58,559.0","61,760.0","57,644.0","60,942.0","64,664.0","63,276.0","65,482.0","64,878.0","67,606.0","70,426.0","74,529.0","78,864.0","83,123.0","88,085.0","90,804.0","93,741.0","89,612.0","91,453.0","94,474.0","98,967.0","97,646.0","101,839.0","103,444.0","113,307.0","111,191.0","111,328.0","114,933.0","123,218.0","122,557.0","123,048.0","124,398.0","138,520.0","141,535.0","148,150.0","150,806.0","160,556.0","167,286.0","167,423.0","165,281.0","194,204.0","167,297.0","181,382.0","185,537.0","205,310.0","200,783.0","195,703.0","194,135.0","212,726.0","209,355.0","211,386.0","208,377.0","238,597.0","229,766.0","234,001.0","234,520.0","252,385.0","240,871.0","245,206.0","251,403.0","254,384.0","251,352.0","251,056.0","245,440.0","285,272.0","244,497.0","268,280.0","264,565.0","289,275.0","280,661.0","285,650.0","288,434.0","298,445.0","310,671.0","331,677.0","310,982.0","332,756.0","298,119.0","333,397.0","359,487.0","338,191.0","352,868.0","351,290.0","338,445.0","385,599.0","325,794.0","349,466.0","348,252.0","378,320.0","350,841.0","362,349.0","370,397.0","383,237.0","378,325.0","380,589.0","373,733.0","379,977.0","394,351.0","392,058.0","394,222.0","404,818.0","401,586.0","396,059.0","398,844.0","426,196.0","408,549.0","407,211.0","410,729.0","467,372.0","396,152.0","419,662.0","418,849.0","464,613.0","448,788.0","444,923.0","430,891.0","464,171.0","482,035.0","466,429.0","450,556.0","501,819.0","509,115.0","506,934.0","493,284.0","536,039.0","542,679.0","543,685.0","537,714.0","570,955.0","580,906.0","575,823.0","565,322.0","604,970.0","626,886.0","620,159.0","620,190.0","649,688.0","691,161.0","675,767.0","638,819.0","653,437.0","725,596.0","687,924.0","661,745.0","714,350.0","745,824.0","762,430.0","759,940.0","1,026,652.0","913,627.0","728,955.0","848,443.0","876,769.0","794,258.0","931,855.0","853,331.0","902,794.0"
"41","20","Less: Coverage differences","M318201","3,478.0","-80.0","2,427.0","2,984.0","2,151.0","571.0","1,107.0","1,347.0","922.0","-224.0","1,143.0","1,834.0","996.0","-6.0","-1,108.0","614.0","1,059.0","-1,900.0","881.0","-377.0","868.0","-3,829.0","4,195.0","2,590.0","1,295.0","-2,517.0","6,998.0","4,752.0","2,085.0","-3,506.0","6,022.0","6,707.0","2,926.0","4,130.0","-1,991.0","8,728.0","6,498.0","2,665.0","1,479.0","10,489.0","8,807.0","4,230.0","-2,306.0","9,856.0","10,191.0","9,289.0","-3,447.0","8,812.0","12,316.0","7,247.0","-7,886.0","11,558.0","12,954.0","6,778.0","-5,433.0","13,117.0","15,127.0","420.0","-11,767.0","12,124.0","10,818.0","7,626.0","-3,536.0","10,856.0","17,116.0","10,582.0","1,584.0","8,423.0","18,199.0","3,016.0","3,693.0","655.0","16,290.0","5,567.0","-184.0","-4,052.0","17,550.0","9,781.0","4,175.0","1,465.0","15,482.0","8,091.0","10,129.0","386.0","21,931.0","32,609.0","13,532.0","10,302.0","20,850.0","18,517.0","39,598.0","-13,443.0","29,120.0","5,934.0","-10,244.0","-12,721.0","16,611.0","-8,800.0","-15,750.0","-5,944.0","3,763.0","-691.0","-9,375.0","-8,616.0","11,129.0","-8,990.0","-16,558.0","-13,606.0","14,369.0","-7,337.0","-5,078.0","-19,657.0","10,696.0","-15,804.0","-9,860.0","-13,115.0","12,343.0","-9,399.0","-5,383.0","-9,585.0","17,272.0","-8,581.0","-10,651.0","-780.0","14,898.0","-5,466.0","-12,557.0","-10,010.0","19,498.0","-6,732.0","-13,305.0","-3,280.0","23,908.0","2,041.0","-12,639.0","-5,387.0","30,829.0","-3,295.0","-768.0","-3,073.0","25,558.0","11,233.0","-3,451.0","-6,151.0","30,880.0","12,620.0","10,784.0","-7,542.0","33,403.0","28,443.0","2,780.0","-23,447.0","35,891.0","4,916.0","-16.0","-17,158.0","33,858.0","18,516.0","21,567.0","253,365.0","162,985.0","-94,137.0","17,606.0","13,954.0","-53,245.0","73,447.0","-22,168.0","-23,969.0"
"42","21","        Federal employee retirement plan transactions \1\","M318221","847.0","628.0","819.0","581.0","1,010.0","173.0","1,120.0","834.0","1,014.0","45.0","919.0","763.0","1,358.0","76.0","1,048.0","1,056.0","1,657.0","-153.0","1,951.0","1,309.0","2,109.0","-1,069.0","2,433.0","1,664.0","2,604.0","-2,103.0","3,005.0","2,076.0","3,165.0","-2,805.0","3,502.0","2,242.0","3,567.0","2,309.0","-3,718.0","2,648.0","4,109.0","2,966.0","-3,684.0","2,982.0","4,753.0","3,067.0","-4,467.0","3,247.0","5,553.0","3,687.0","-5,918.0","3,994.0","6,703.0","4,361.0","-7,345.0","3,781.0","7,350.0","4,134.0","-7,587.0","3,701.0","7,903.0","3,584.0","-8,043.0","3,218.0","8,559.0","3,047.0","-7,882.0","-13,139.0","4,812.0","-2,446.0","-13,052.0","-14,145.0","4,646.0","-3,469.0","-13,030.0","-14,476.0","3,631.0","-3,711.0","-12,106.0","-15,394.0","5,685.0","-5,309.0","-12,070.0","-16,017.0","6,152.0","-6,429.0","-12,074.0","-16,867.0","7,520.0","-5,951.0","-13,081.0","-17,979.0","8,415.0","-7,877.0","-13,107.0","-19,190.0","8,246.0","-7,783.0","-13,728.0","-20,337.0","9,699.0","-8,161.0","-13,392.0","-19,816.0","10,038.0","-8,003.0","-12,595.0","-19,759.0","10,959.0","-8,257.0","-12,157.0","-18,308.0","11,448.0","-8,263.0","-12,200.0","-22,977.0","11,909.0","-7,503.0","-13,040.0","-22,988.0","12,365.0","-7,766.0","-12,728.0","-24,323.0","12,540.0","-7,650.0","-12,417.0","-23,537.0","12,491.0","-8,271.0","-12,063.0","-24,872.0","13,546.0","-8,651.0","-11,762.0","-25,666.0","13,940.0","-9,050.0","-12,841.0","-26,199.0","13,036.0","-9,834.0","-9,986.0","-25,426.0","13,278.0","-7,486.0","-13,598.0","-31,261.0","12,574.0","-7,595.0","-12,626.0","-41,138.0","17,844.0","-5,681.0","-12,587.0","-40,852.0","19,014.0","-4,685.0","-13,410.0","-46,606.0","17,271.0","-5,230.0","-17,471.0","-43,566.0","29,478.0","-3,330.0","-13,295.0","-55,596.0","20,182.0","-2,987.0","-12,749.0","-57,919.0"
"43","22","          Interest received","M318231","-31.0","-407.0","-35.0","-416.0","-35.0","-675.0","-30.0","-369.0","-53.0","-591.0","-58.0","-663.0","-57.0","-699.0","-64.0","-696.0","-62.0","-730.0","-78.0","-820.0","-75.0","-847.0","-73.0","-997.0","-69.0","-1,005.0","-74.0","-1,157.0","-67.0","-1,161.0","-67.0","-1,352.0","-73.0","-1,319.0","-78.0","-1,455.0","-108.0","-1,405.0","-202.0","-1,723.0","-69.0","-1,966.0","-63.0","-2,202.0","-70.0","-2,376.0","-73.0","-2,672.0","-86.0","-2,891.0","-83.0","-3,454.0","-99.0","-3,907.0","-87.0","-4,261.0","-96.0","-4,837.0","-100.0","-5,181.0","-112.0","-5,611.0","-96.0","-6,819.0","-50.0","-7,227.0","-36.0","-8,360.0","-303.0","-8,271.0","-365.0","-9,133.0","-1,096.0","-8,852.0","-197.0","-10,374.0","-235.0","-11,329.0","-214.0","-12,007.0","-208.0","-12,722.0","-191.0","-13,216.0","-571.0","-13,145.0","-1,086.0","-14,615.0","-222.0","-15,603.0","-241.0","-16,033.0","-543.0","-16,472.0","-221.0","-17,315.0","-184.0","-17,910.0","-141.0","-18,117.0","-84.0","-18,601.0","-69.0","-19,477.0","-258.0","-19,609.0","-259.0","-19,695.0","-558.0","-20,323.0","-817.0","-20,428.0","-1,062.0","-20,518.0","-1,083.0","-20,949.0","-1,386.0","-21,166.0","-1,329.0","-22,599.0","-1,445.0","-21,416.0","-1,414.0","-21,923.0","-1,493.0","-22,282.0","-918.0","-23,380.0","-1,155.0","-23,408.0","-1,157.0","-23,507.0","-969.0","-23,752.0","-1,697.0","-22,716.0","-1,440.0","-23,353.0","-1,490.0","-22,113.0","-1,059.0","-22,095.0","-2,123.0","-22,472.0","-2,490.0","-22,906.0","-2,575.0","-24,461.0","-1,504.0","-24,728.0","-3,298.0","-21,127.0","-2,333.0","-25,909.0","-3,381.0","-23,507.0","-4,190.0","-27,204.0","-7,706.0","-18,530.0","5,920.0","-25,923.0","-4,706.0","-24,211.0","-2,629.0","-25,234.0","-2,117.0","-23,925.0"
"44","23","          Contributions received (employer)","M318241","-361.0","-264.0","-472.0","-402.0","-426.0","-648.0","-444.0","-478.0","-627.0","-1,113.0","-920.0","-492.0","-540.0","-1,245.0","-1,074.0","-502.0","-556.0","-1,754.0","-553.0","-543.0","-636.0","-3,097.0","-630.0","-595.0","-825.0","-4,686.0","-662.0","-668.0","-729.0","-5,850.0","-693.0","-713.0","-748.0","-980.0","-8,369.0","-827.0","-783.0","-801.0","-8,752.0","-831.0","-785.0","-835.0","-10,448.0","-973.0","-911.0","-913.0","-12,989.0","-997.0","-1,008.0","-925.0","-15,495.0","-1,173.0","-979.0","-1,026.0","-16,611.0","-1,152.0","-1,135.0","-1,061.0","-17,599.0","-1,277.0","-1,061.0","-1,141.0","-17,665.0","-14,820.0","-5,420.0","-5,597.0","-23,471.0","-16,294.0","-5,624.0","-5,864.0","-23,428.0","-16,169.0","-6,276.0","-6,277.0","-23,512.0","-16,494.0","-6,244.0","-6,429.0","-24,073.0","-16,142.0","-6,377.0","-6,626.0","-24,829.0","-16,610.0","-5,688.0","-6,509.0","-25,664.0","-17,082.0","-6,418.0","-6,908.0","-27,391.0","-17,521.0","-6,500.0","-6,468.0","-28,455.0","-18,068.0","-5,617.0","-5,795.0","-28,792.0","-17,648.0","-5,862.0","-5,583.0","-28,751.0","-17,070.0","-5,581.0","-5,628.0","-28,963.0","-16,022.0","-5,438.0","-5,543.0","-28,955.0","-20,755.0","-5,421.0","-5,480.0","-30,377.0","-20,851.0","-5,273.0","-5,575.0","-30,407.0","-20,994.0","-5,390.0","-5,724.0","-30,489.0","-21,412.0","-6,040.0","-6,049.0","-31,211.0","-22,106.0","-6,253.0","-6,204.0","-31,590.0","-23,554.0","-6,664.0","-6,917.0","-32,778.0","-26,521.0","-9,047.0","-9,611.0","-31,579.0","-27,697.0","-9,998.0","-9,652.0","-35,683.0","-34,716.0","-10,929.0","-10,542.0","-35,719.0","-44,258.0","-8,192.0","-8,178.0","-36,796.0","-48,265.0","-7,742.0","-8,066.0","-39,199.0","-53,112.0","-8,833.0","-8,608.0","-40,285.0","-57,391.0","-9,097.0","-9,991.0","-41,191.0","-64,515.0","-10,391.0","-11,003.0","-44,042.0","-67,696.0"
"45","24","          Benefits paid","M318251","1,238.0","1,298.0","1,325.0","1,397.0","1,470.0","1,494.0","1,592.0","1,679.0","1,692.0","1,747.0","1,895.0","1,916.0","1,953.0","2,018.0","2,184.0","2,252.0","2,273.0","2,329.0","2,579.0","2,669.0","2,817.0","2,872.0","3,133.0","3,252.0","3,495.0","3,585.0","3,737.0","3,897.0","3,957.0","4,202.0","4,258.0","4,302.0","4,384.0","4,603.0","4,724.0","4,925.0","4,995.0","5,167.0","5,264.0","5,530.0","5,601.0","5,861.0","6,037.0","6,415.0","6,527.0","6,970.0","7,137.0","7,656.0","7,790.0","8,169.0","8,225.0","8,400.0","8,420.0","9,059.0","9,103.0","9,105.0","9,123.0","9,471.0","9,644.0","9,664.0","9,721.0","9,788.0","9,868.0","8,490.0","10,271.0","10,367.0","10,444.0","10,497.0","10,561.0","10,655.0","10,752.0","10,815.0","10,993.0","11,408.0","11,592.0","11,462.0","12,150.0","12,434.0","12,202.0","12,116.0","12,722.0","12,904.0","12,930.0","12,943.0","13,762.0","13,686.0","13,652.0","13,702.0","15,039.0","14,618.0","14,509.0","14,348.0","15,272.0","15,140.0","14,930.0","15,027.0","15,480.0","15,524.0","15,521.0","15,930.0","15,965.0","16,162.0","16,206.0","16,766.0","16,776.0","16,958.0","17,043.0","17,385.0","17,420.0","17,579.0","17,548.0","18,180.0","18,366.0","18,469.0","18,394.0","18,787.0","18,999.0","18,950.0","18,983.0","19,242.0","19,347.0","19,462.0","19,458.0","19,772.0","19,998.0","20,034.0","20,040.0","20,587.0","20,927.0","20,934.0","20,958.0","21,362.0","21,540.0","21,586.0","21,601.0","22,986.0","23,471.0","23,078.0","23,031.0","24,322.0","24,273.0","24,199.0","24,146.0","25,865.0","25,931.0","25,791.0","25,606.0","27,519.0","27,478.0","27,163.0","27,445.0","28,472.0","29,021.0","29,222.0","29,102.0","29,939.0","30,220.0","30,508.0","30,446.0","32,310.0","32,610.0","32,539.0","32,557.0","33,062.0","33,134.0","33,182.0","33,342.0","33,643.0"
"46","25","          Administrative expenses","M318261","1.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","6.0","6.0","6.0","7.0","7.0","7.0","7.0","6.0","7.0","7.0","7.0","8.0","8.0","8.0","8.0","8.0","8.0","9.0","11.0","11.0","12.0","12.0","11.0","11.0","11.0","10.0","11.0","11.0","11.0","12.0","12.0","11.0","11.0","11.0","10.0","10.0","11.0","12.0","14.0","15.0","15.0","16.0","15.0","15.0","16.0","16.0","17.0","17.0","17.0","16.0","16.0","16.0","16.0","16.0","17.0","17.0","18.0","19.0","20.0","20.0","20.0","19.0","19.0","19.0","19.0","22.0","22.0","22.0","22.0","24.0","24.0","24.0","24.0","26.0","26.0","26.0","26.0","25.0","25.0","25.0","25.0","28.0","28.0","28.0","28.0","26.0","26.0","26.0","26.0","27.0","27.0","27.0","27.0","33.0","33.0","33.0","33.0","52.0","52.0","52.0","52.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","68.0","68.0","68.0","68.0","74.0","74.0","74.0","74.0","45.0","45.0","45.0","45.0","68.0","68.0","68.0","68.0","59.0"
"47","26","        Financing disbursements from credit programs \5\","M318271",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-296.0","-296.0","-296.0","-296.0","331.0","331.0","331.0","331.0","-576.0","-576.0","-576.0","-576.0","-1,086.0","-1,086.0","-1,086.0","-1,086.0","-2,932.0","-2,932.0","-2,932.0","-2,932.0","-5,181.0","-5,181.0","-5,181.0","-5,181.0","-2,752.0","-2,752.0","-2,752.0","-2,752.0","-3,847.0","-3,847.0","-3,847.0","-3,847.0","-4,282.0","-4,282.0","-4,282.0","-4,282.0","-5,822.0","-5,822.0","-5,823.0","-5,823.0","-3,930.0","-3,937.0","-3,930.0","-3,937.0","-1,783.0","-1,783.0","-1,783.0","-1,783.0","1,057.0","1,057.0","1,057.0","1,057.0","1,419.0","1,419.0","1,419.0","1,420.0","4,097.0","4,097.0","4,097.0","4,097.0","-4,200.0","-4,191.0","-4,191.0","-4,190.0","-5,734.0","-5,733.0","-5,733.0","-10,809.0","-94,882.0","-86,047.0","-157,539.0","-65,739.0","29,256.0","-133,983.0","-20,111.0","-32,593.0","-2,676.0"
"48","27","        Other differences in funds covered \6\","M318281","-562.0","-581.0","-611.0","-656.0","-720.0","-735.0","-799.0","-856.0","-910.0","-1,031.0","-956.0","-914.0","-1,243.0","-1,062.0","-2,413.0","-1,096.0","-1,365.0","-1,366.0","-1,056.0","-2,297.0","-2,422.0","-2,787.0","-1,998.0","-2,645.0","-6,920.0","-4,172.0","-2,717.0","-4,438.0","-6,402.0","-2,686.0","-3,926.0","-1,614.0","-6,347.0","-2,053.0","-7,152.0","-3,526.0","-5,888.0","-4,565.0","-5,487.0","-2,563.0","-5,520.0","-7,691.0","-6,798.0","-3,757.0","-6,746.0","-7,717.0","-7,862.0","-5,438.0","-9,727.0","-9,018.0","-10,354.0","-7,030.0","-5,848.0","-9,536.0","-9,843.0","-4,991.0","-5,425.0","-8,386.0","-9,350.0","-3,172.0","-6,273.0","-7,897.0","-8,957.0","1,085.0","-2,772.0","-4,422.0","-2,533.0","91.0","90.0","-1,875.0","-812.0","-1,507.0","-22.0","-29.0","-40.0","-28.0","-10.0","-66.0","-200.0","-25.0","-67.0","-80.0","-131.0","-57.0","-142.0","-53.0","-112.0","-147.0","-123.0","-12.0","-9.0","65.0","27.0","25.0","-9.0","-16.0","-74.0","-100.0","-103.0","-80.0","-101.0","-92.0","-124.0","-43.0","-172.0","-229.0","840.0","-84.0","-117.0","-387.0","918.0","184.0","172.0","196.0","190.0","177.0","249.0","504.0","500.0","468.0","640.0","959.0","883.0","1,423.0","1,340.0","580.0","-699.0","1,292.0","922.0","1,034.0","1,122.0","1,213.0","977.0","1,111.0","1,155.0","1,669.0","1,052.0","1,528.0","4,453.0","1,598.0","1,778.0","1,750.0","-1,522.0","1,400.0","1,497.0","1,710.0","1,662.0","1,864.0","1,598.0","1,639.0","1,580.0","1,837.0","1,427.0","1,528.0","1,532.0","1,644.0","1,395.0","1,708.0","1,747.0","1,848.0","1,662.0","1,632.0","1,527.0","2,125.0","1,561.0","1,784.0","1,868.0","1,782.0"
"49","28","        Net investment \7\","M318291","400.0","-202.0","-37.0","-581.0","-175.0","-280.0","-450.0","-321.0","-1,147.0","-1,195.0","-946.0","-1,473.0","-1,299.0","-761.0","-1,403.0","-1,147.0","-528.0","-626.0","-1,152.0","-1,093.0","-741.0","-220.0","-363.0","-236.0","-317.0","-525.0","283.0","357.0","268.0","253.0","381.0","279.0","319.0","572.0","786.0","-10.0","-77.0","541.0","1,105.0","1,043.0","625.0","776.0","2,188.0","1,100.0","1,625.0","1,428.0","1,795.0","1,438.0","1,289.0","1,907.0","2,804.0","2,131.0","1,567.0","2,660.0","2,934.0","2,753.0","2,989.0","3,462.0","4,809.0","4,457.0","4,456.0","4,622.0","4,874.0","5,877.0","5,058.0","6,095.0","8,246.0","6,987.0","5,734.0","6,465.0","9,038.0","7,614.0","6,536.0","7,738.0","8,842.0","7,540.0","4,913.0","5,089.0","5,513.0","5,238.0","4,512.0","4,759.0","6,168.0","4,214.0","4,658.0","5,515.0","6,293.0","4,305.0","3,439.0","5,164.0","5,018.0","2,580.0","2,703.0","3,563.0","4,647.0","3,259.0","1,598.0","1,590.0","2,097.0","639.0","-1,591.0","-949.0","1,612.0","-1,288.0","-572.0","-526.0","200.0","-2,174.0","359.0","-173.0","586.0","-2,258.0","-3,911.0","-2,570.0","-476.0","-2,143.0","-3,394.0","-1,956.0","523.0","-1,581.0","-2,910.0","-909.0","259.0","140.0","-2,852.0","-1,729.0","-1,342.0","-1,782.0","-3,403.0","-1,621.0","-1,139.0","-900.0","-2,266.0","349.0","2,556.0","356.0","-1,114.0","1,606.0","3,810.0","1,081.0","1,027.0","1,220.0","3,944.0","2,254.0","-211.0","1,572.0","5,911.0","2,754.0","2,977.0","3,571.0","4,326.0","3,253.0","1,904.0","3,858.0","6,111.0","2,906.0","2,923.0","6,557.0","10,268.0","8,665.0","4,602.0","8,121.0","11,585.0","7,342.0","6,525.0","9,901.0","11,859.0","10,503.0"
