"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"66","48","        Medical laboratories","DMLBRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,640.0","4,596.0","5,429.0","6,407.0","7,344.0","8,256.0","8,550.0","9,129.0","9,453.0","10,127.0","11,445.0","13,247.0","14,542.0","16,910.0","19,744.0","21,024.0","22,992.0","24,783.0","26,704.0","28,081.0","29,123.0","30,664.0"
"67","49","        Other professional medical services \11\","DOMDRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23,900.0","28,712.0","32,642.0","40,125.0","45,362.0","51,059.0","55,402.0","58,289.0","62,298.0","65,530.0","70,231.0","75,232.0","78,824.0","84,097.0","92,004.0","101,792.0","109,430.0","117,465.0","127,143.0","132,528.0","142,328.0","153,279.0"
"68","50","    Hospital and nursing home services","DHPNRC1","572.0","597.0","594.0","556.0","505.0","518.0","556.0","575.0","617.0","635.0","658.0","695.0","732.0","840.0","952.0","1,057.0","1,153.0","1,420.0","1,728.0","1,984.0","2,158.0","2,409.0","2,655.0","3,001.0","3,293.0","3,590.0","3,943.0","4,367.0","4,865.0","5,533.0","6,178.0","6,875.0","7,502.0","8,423.0","9,472.0","10,622.0","11,588.0","13,283.0","15,650.0","18,763.0","22,113.0","25,358.0","29,632.0","33,537.0","37,320.0","42,926.0","50,506.0","58,496.0","66,194.0","76,471.0","87,306.0","101,026.0","118,329.0","134,489.0","149,822.0","160,708.0","172,751.0","186,804.0","201,580.0","223,864.0","246,568.0","274,076.0","301,991.0","330,147.0","351,359.0","365,898.0","383,289.0","400,755.0","421,802.0","441,616.0","456,454.0","481,800.0","520,768.0","568,151.0","597,207.0","636,045.0","679,487.0","715,724.0","762,303.0","807,025.0"
"69","51","      Hospitals \12\","DHSPRC1","543.0","567.0","564.0","528.0","480.0","492.0","528.0","546.0","586.0","603.0","625.0","660.0","695.0","798.0","904.0","1,004.0","1,095.0","1,349.0","1,641.0","1,884.0","2,049.0","2,288.0","2,521.0","2,850.0","3,127.0","3,409.0","3,745.0","4,147.0","4,620.0","5,255.0","5,863.0","6,303.0","6,770.0","7,545.0","8,341.0","9,080.0","9,996.0","11,330.0","13,234.0","15,736.0","18,303.0","20,901.0","24,314.0","27,580.0","30,628.0","35,260.0","41,685.0","48,625.0","55,141.0","63,623.0","72,948.0","84,662.0","100,035.0","115,176.0","127,394.0","135,803.0","145,777.0","157,413.0","170,922.0","188,785.0","207,699.0","228,784.0","253,293.0","277,619.0","295,473.0","307,246.0","318,444.0","330,073.0","345,494.0","360,080.0","373,236.0","393,892.0","427,107.0","469,536.0","493,772.0","528,821.0","567,007.0","601,015.0","639,719.0","680,020.0"
"70","52","      Nursing homes","DNRSRC1","29.0","30.0","30.0","28.0","25.0","26.0","28.0","29.0","31.0","32.0","33.0","35.0","37.0","42.0","48.0","53.0","58.0","71.0","87.0","100.0","109.0","121.0","134.0","151.0","166.0","181.0","198.0","220.0","245.0","278.0","315.0","572.0","732.0","878.0","1,131.0","1,542.0","1,592.0","1,953.0","2,416.0","3,027.0","3,810.0","4,457.0","5,318.0","5,957.0","6,692.0","7,666.0","8,821.0","9,871.0","11,053.0","12,848.0","14,358.0","16,364.0","18,294.0","19,313.0","22,428.0","24,905.0","26,974.0","29,391.0","30,658.0","35,079.0","38,869.0","45,292.0","48,698.0","52,528.0","55,886.0","58,652.0","64,845.0","70,682.0","76,308.0","81,536.0","83,218.0","87,908.0","93,661.0","98,615.0","103,435.0","107,224.0","112,480.0","114,709.0","122,584.0","127,005.0"
"71","53","  Transportation","DTRNRC1","7,543.0","6,080.0","4,925.0","3,872.0","3,898.0","4,513.0","5,201.0","6,039.0","6,420.0","5,530.0","6,264.0","7,033.0","8,337.0","5,370.0","5,364.0","5,666.0","6,602.0","12,120.0","15,436.0","17,960.0","21,170.0","24,576.0","24,227.0","24,407.0","28,040.0","27,353.0","33,422.0","32,719.0","35,701.0","33,730.0","38,766.0","40,766.0","39,293.0","44,116.0","47,819.0","50,724.0","56,529.0","59,026.0","60,976.0","69,846.0","75,885.0","76,502.0","88,742.0","98,315.0","108,567.0","112,768.0","124,391.0","147,373.0","168,125.0","184,475.0","207,123.0","226,485.0","250,726.0","255,868.0","284,925.0","321,776.0","357,415.0","362,580.0","376,634.0","404,758.0","428,335.0","442,931.0","418,274.0","451,284.0","485,332.0","528,231.0","554,065.0","598,935.0","641,819.0","669,156.0","730,469.0","798,408.0","814,097.0","818,350.0","857,412.0","909,488.0","979,345.0","1,008,795.0","1,051,638.0","1,036,495.0"
"72","54","    Motor vehicles","DMTRRC1","2,682.0","1,710.0","1,192.0","661.0","809.0","1,074.0","1,570.0","2,001.0","2,072.0","1,286.0","1,758.0","2,300.0","2,824.0","415.0","410.0","322.0","318.0","2,701.0","5,134.0","6,620.0","9,311.0","12,106.0","10,601.0","9,718.0","12,384.0","11,430.0","16,075.0","13,977.0","15,508.0","12,900.0","16,406.0","17,095.0","15,153.0","18,561.0","21,234.0","22,565.0","26,195.0","26,162.0","25,600.0","30,801.0","32,045.0","28,451.0","36,097.0","41,361.0","45,460.0","38,659.0","42,356.0","56,805.0","66,919.0","74,756.0","73,840.0","66,504.0","73,443.0","79,584.0","100,828.0","124,398.0","146,582.0","163,975.0","164,241.0","175,902.0","180,805.0","176,865.0","157,945.0","176,071.0","193,918.0","216,106.0","220,343.0","235,839.0","253,950.0","280,728.0","309,660.0","321,439.0","342,030.0","359,673.0","358,240.0","359,546.0","361,601.0","346,571.0","347,812.0","289,900.0"
"73","55","      New motor vehicles","DNMVRC1","2,638.0","1,672.0","1,158.0","633.0","780.0","1,041.0","1,534.0","1,961.0","2,027.0","1,244.0","1,709.0","2,219.0","2,653.0","127.0","136.0","50.0","37.0","2,239.0","4,322.0","5,354.0","8,001.0","10,656.0","9,009.0","8,281.0","11,410.0","11,134.0","14,221.0","11,983.0","13,005.0","10,088.0","13,623.0","14,467.0","12,450.0","15,559.0","17,887.0","18,998.0","22,216.0","22,046.0","21,081.0","25,990.0","26,842.0","23,438.0","30,535.0","35,171.0","38,710.0","31,691.0","34,568.0","46,639.0","55,858.0","62,734.0","61,406.0","54,331.0","59,142.0","64,278.0","82,867.0","99,666.0","117,830.0","134,047.0","128,790.0","138,220.0","139,304.0","134,664.0","112,903.0","126,690.0","138,896.0","151,200.0","147,451.0","152,971.0","162,209.0","179,374.0","200,058.0","210,708.0","230,018.0","243,551.0","251,607.0","252,431.0","248,894.0","233,047.0","233,282.0","184,511.0"
"74","56","      Net purchases of used motor vehicles","DNPVRC1","44.0","38.0","34.0","28.0","29.0","33.0","36.0","40.0","45.0","42.0","49.0","81.0","171.0","288.0","274.0","272.0","281.0","462.0","812.0","1,266.0","1,310.0","1,450.0","1,592.0","1,437.0","974.0","296.0","1,854.0","1,994.0","2,503.0","2,812.0","2,783.0","2,628.0","2,703.0","3,002.0","3,347.0","3,567.0","3,979.0","4,116.0","4,519.0","4,811.0","5,203.0","5,013.0","5,562.0","6,190.0","6,750.0","6,968.0","7,788.0","10,166.0","11,061.0","12,022.0","12,434.0","12,173.0","14,301.0","15,306.0","17,961.0","24,732.0","28,752.0","29,928.0","35,451.0","37,682.0","41,501.0","42,201.0","45,042.0","49,381.0","55,022.0","64,906.0","72,892.0","82,868.0","91,741.0","101,354.0","109,602.0","110,731.0","112,012.0","116,122.0","106,633.0","107,115.0","112,707.0","113,524.0","114,530.0","105,389.0"
"75","57","    Motor vehicle operation","DMVORC1","3,257.0","2,915.0","2,501.0","2,193.0","2,157.0","2,450.0","2,589.0","2,889.0","3,144.0","3,085.0","3,290.0","3,481.0","4,128.0","3,021.0","2,292.0","2,559.0","3,452.0","6,506.0","7,415.0","8,365.0","8,987.0","9,672.0","10,673.0","11,635.0","12,571.0","12,964.0","14,366.0","15,660.0","17,040.0","17,766.0","19,131.0","20,320.0","20,747.0","21,988.0","22,987.0","24,325.0","26,230.0","28,425.0","30,452.0","33,474.0","37,350.0","40,989.0","44,851.0","48,241.0","53,674.0","63,382.0","70,614.0","77,413.0","86,448.0","94,006.0","115,778.0","139,741.0","155,902.0","154,364.0","160,217.0","170,334.0","182,726.0","169,395.0","181,099.0","194,227.0","210,460.0","226,897.0","221,033.0","234,723.0","247,934.0","266,132.0","284,913.0","310,897.0","330,796.0","326,503.0","355,176.0","404,007.0","404,127.0","393,730.0","430,093.0","476,010.0","540,962.0","581,635.0","620,515.0","660,362.0"
"76","58","      Motor vehicle parts and accessories","DMVPRC1","648.0","523.0","433.0","314.0","280.0","346.0","368.0","402.0","433.0","398.0","484.0","530.0","673.0","303.0","366.0","449.0","652.0","1,391.0","1,385.0","1,315.0","1,216.0","1,545.0","1,507.0","1,633.0","1,462.0","1,318.0","1,582.0","1,734.0","1,974.0","2,122.0","2,383.0","2,487.0","2,569.0","2,825.0","3,012.0","3,237.0","3,450.0","3,765.0","4,001.0","4,613.0","5,403.0","6,087.0","7,136.0","8,004.0","8,898.0","9,507.0","10,287.0","11,367.0","12,877.0","14,417.0","16,335.0","17,926.0","19,574.0","20,430.0","22,117.0","22,794.0","23,483.0","23,544.0","23,940.0","26,311.0","26,966.0","28,254.0","27,803.0","28,727.0","30,797.0","33,737.0","35,366.0","37,647.0","39,133.0","39,477.0","41,069.0","41,788.0","41,260.0","41,674.0","43,288.0","45,188.0","48,046.0","50,561.0","52,482.0","52,433.0"
"77","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRC1","1,814.0","1,749.0","1,540.0","1,476.0","1,466.0","1,640.0","1,743.0","1,945.0","2,143.0","2,145.0","2,181.0","2,273.0","2,649.0","2,090.0","1,339.0","1,384.0","1,809.0","3,366.0","4,015.0","4,789.0","5,317.0","5,522.0","6,126.0","6,765.0","7,441.0","7,844.0","8,617.0","9,414.0","10,200.0","10,580.0","11,281.0","12,004.0","12,009.0","12,597.0","12,952.0","13,572.0","14,751.0","16,032.0","17,100.0","18,560.0","20,460.0","21,921.0","23,150.0","24,406.0","28,131.0","36,130.0","39,703.0","43,046.0","46,934.0","50,102.0","66,243.0","86,689.0","97,919.0","94,125.0","93,081.0","94,568.0","97,205.0","80,052.0","85,355.0","88,395.0","98,716.0","111,440.0","108,852.0","112,864.0","114,518.0","116,492.0","120,410.0","130,494.0","134,428.0","121,791.0","136,456.0","172,929.0","168,083.0","160,273.0","192,793.0","231,555.0","283,798.0","314,665.0","343,912.0","386,410.0"
"78","60","      Motor vehicle maintenance and repair","DVMRRC1","721.0","580.0","473.0","358.0","364.0","413.0","424.0","483.0","504.0","480.0","554.0","601.0","717.0","552.0","518.0","646.0","889.0","1,583.0","1,822.0","2,038.0","2,204.0","2,331.0","2,672.0","2,835.0","3,211.0","3,320.0","3,643.0","3,951.0","4,269.0","4,441.0","4,814.0","5,136.0","5,433.0","5,779.0","6,183.0","6,602.0","7,041.0","7,568.0","8,221.0","9,055.0","10,110.0","11,449.0","12,862.0","13,975.0","14,685.0","15,710.0","18,327.0","20,468.0","23,785.0","26,438.0","29,818.0","31,190.0","33,861.0","35,109.0","39,861.0","45,869.0","53,365.0","56,247.0","61,515.0","68,261.0","72,452.0","73,905.0","69,368.0","73,722.0","78,866.0","86,470.0","93,475.0","100,134.0","106,305.0","112,771.0","119,890.0","127,418.0","133,841.0","136,837.0","143,403.0","148,336.0","154,903.0","156,894.0","162,044.0","158,510.0"
"79","61","      Other motor vehicle services","DOVSRC1","74.0","63.0","55.0","45.0","47.0","51.0","54.0","59.0","64.0","62.0","71.0","77.0","89.0","76.0","69.0","80.0","102.0","166.0","193.0","223.0","250.0","274.0","368.0","402.0","457.0","482.0","524.0","561.0","597.0","623.0","653.0","693.0","736.0","787.0","840.0","914.0","988.0","1,060.0","1,130.0","1,246.0","1,377.0","1,532.0","1,703.0","1,856.0","1,960.0","2,035.0","2,297.0","2,532.0","2,852.0","3,049.0","3,382.0","3,936.0","4,548.0","4,700.0","5,158.0","7,103.0","8,673.0","9,552.0","10,289.0","11,260.0","12,326.0","13,298.0","15,010.0","19,410.0","23,753.0","29,433.0","35,662.0","42,622.0","50,930.0","52,464.0","57,761.0","61,872.0","60,943.0","54,946.0","50,609.0","50,931.0","54,215.0","59,515.0","62,077.0","63,009.0"
"80","62","    Public transportation","DPUBRC1","1,604.0","1,455.0","1,232.0","1,018.0","932.0","989.0","1,042.0","1,149.0","1,204.0","1,159.0","1,216.0","1,252.0","1,385.0","1,934.0","2,662.0","2,785.0","2,832.0","2,913.0","2,887.0","2,975.0","2,872.0","2,798.0","2,953.0","3,054.0","3,085.0","2,959.0","2,981.0","3,082.0","3,153.0","3,064.0","3,229.0","3,351.0","3,393.0","3,567.0","3,598.0","3,834.0","4,104.0","4,439.0","4,924.0","5,571.0","6,490.0","7,062.0","7,794.0","8,713.0","9,433.0","10,727.0","11,421.0","13,155.0","14,758.0","15,713.0","17,505.0","20,240.0","21,381.0","21,920.0","23,880.0","27,044.0","28,107.0","29,210.0","31,294.0","34,629.0","37,070.0","39,169.0","39,296.0","40,490.0","43,480.0","45,993.0","48,809.0","52,199.0","57,073.0","61,925.0","65,633.0","72,962.0","67,940.0","64,947.0","69,079.0","73,932.0","76,782.0","80,589.0","83,311.0","86,233.0"
"81","63","      Ground transportation \13\","DGRDRC1","1,599.0","1,452.0","1,229.0","1,014.0","928.0","984.0","1,035.0","1,140.0","1,195.0","1,150.0","1,203.0","1,233.0","1,361.0","1,910.0","2,637.0","2,751.0","2,776.0","2,830.0","2,794.0","2,872.0","2,754.0","2,655.0","2,763.0","2,826.0","2,817.0","2,659.0","2,630.0","2,686.0","2,706.0","2,583.0","2,637.0","2,672.0","2,630.0","2,682.0","2,670.0","2,749.0","2,823.0","2,962.0","3,109.0","3,331.0","3,639.0","3,982.0","4,308.0","4,578.0","4,712.0","5,173.0","5,519.0","6,013.0","6,450.0","6,598.0","7,098.0","7,445.0","7,973.0","8,405.0","8,743.0","9,349.0","9,777.0","9,874.0","9,969.0","11,191.0","11,796.0","12,938.0","14,015.0","14,764.0","15,435.0","16,135.0","16,679.0","17,436.0","18,050.0","19,655.0","20,507.0","21,578.0","22,766.0","23,133.0","23,326.0","25,182.0","26,405.0","28,414.0","28,589.0","30,985.0"
"82","64","      Air transportation","DAITRC1","3.0","2.0","2.0","3.0","3.0","4.0","6.0","8.0","8.0","8.0","12.0","18.0","23.0","23.0","24.0","33.0","55.0","82.0","92.0","102.0","117.0","142.0","189.0","227.0","267.0","299.0","350.0","395.0","446.0","480.0","591.0","678.0","762.0","884.0","927.0","1,084.0","1,279.0","1,475.0","1,812.0","2,236.0","2,846.0","3,075.0","3,480.0","4,128.0","4,712.0","5,543.0","5,890.0","7,128.0","8,291.0","9,096.0","10,384.0","12,768.0","13,377.0","13,480.0","15,066.0","17,552.0","18,088.0","18,987.0","20,935.0","22,987.0","24,840.0","25,891.0","25,069.0","25,581.0","27,742.0","29,226.0","31,072.0","33,269.0","37,216.0","40,269.0","43,042.0","49,166.0","42,873.0","39,515.0","43,348.0","46,163.0","47,654.0","49,368.0","51,718.0","52,211.0"
"83","65","      Water transportation","DWATRC1","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","3.0","4.0","5.0","5.0","6.0","7.0","9.0","11.0","12.0","14.0","17.0","19.0","23.0","27.0","31.0","35.0","71.0","143.0","242.0","349.0","390.0","451.0","434.0","340.0","212.0","145.0","303.0","632.0","1,058.0","1,494.0","1,807.0","2,001.0","2,084.0","2,218.0","2,301.0","2,299.0","2,405.0","2,587.0","2,723.0","2,807.0","3,004.0","3,037.0"
"84","66","  Communication","DCMCRC1","677.0","680.0","651.0","566.0","515.0","528.0","564.0","612.0","652.0","655.0","692.0","735.0","834.0","986.0","1,164.0","1,309.0","1,449.0","1,562.0","1,679.0","1,900.0","2,066.0","2,306.0","2,575.0","2,859.0","3,159.0","3,286.0","3,597.0","3,917.0","4,257.0","4,532.0","4,834.0","5,206.0","5,557.0","5,907.0","6,429.0","6,938.0","7,536.0","8,120.0","8,873.0","9,678.0","10,729.0","11,606.0","12,763.0","14,352.0","16,131.0","17,688.0","19,956.0","22,425.0","24,304.0","27,014.0","29,426.0","31,797.0","35,963.0","41,056.0","44,838.0","48,421.0","53,104.0","56,856.0","59,985.0","63,139.0","67,276.0","70,093.0","73,870.0","81,142.0","85,767.0","93,263.0","98,943.0","108,317.0","120,106.0","130,594.0","144,727.0","162,068.0","171,320.0","177,469.0","181,816.0","187,853.0","192,759.0","207,800.0","219,049.0","229,004.0"
"85","67","    Telephone and facsimile equipment","DTCERC1","3.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","4.0","4.0","5.0","5.0","6.0","7.0","8.0","9.0","8.0","8.0","7.0","8.0","8.0","9.0","9.0","9.0","10.0","10.0","11.0","12.0","13.0","15.0","16.0","17.0","19.0","20.0","21.0","22.0","24.0","28.0","31.0","34.0","39.0","44.0","152.0","378.0","653.0","979.0","1,199.0","1,224.0","1,244.0","1,220.0","1,256.0","1,306.0","1,436.0","1,625.0","1,782.0","1,874.0","2,049.0","2,302.0","2,676.0","3,011.0","3,389.0","3,736.0","4,177.0","4,806.0","5,515.0","5,839.0","6,243.0","6,465.0","7,082.0","7,543.0","8,212.0","8,712.0","9,034.0"
"86","68","    Postal and delivery services","DPSSRC1","105.0","101.0","95.0","83.0","78.0","84.0","91.0","99.0","108.0","111.0","114.0","118.0","136.0","158.0","188.0","227.0","255.0","268.0","297.0","324.0","327.0","355.0","395.0","429.0","467.0","489.0","527.0","567.0","599.0","630.0","639.0","680.0","718.0","785.0","892.0","972.0","1,028.0","1,091.0","1,181.0","1,316.0","1,424.0","1,490.0","1,693.0","1,884.0","1,950.0","2,111.0","2,181.0","2,557.0","2,695.0","2,988.0","3,331.0","3,570.0","4,095.0","4,717.0","4,975.0","5,391.0","5,906.0","6,339.0","6,800.0","7,288.0","7,466.0","7,509.0","7,793.0","7,790.0","8,045.0","8,491.0","9,153.0","9,483.0","9,646.0","9,787.0","9,865.0","9,890.0","9,658.0","9,456.0","9,057.0","9,200.0","9,261.0","9,497.0","9,739.0","9,530.0"
"87","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","633.0","673.0","711.0","776.0","882.0","961.0","1,015.0","1,077.0","1,166.0","1,295.0","1,393.0","1,450.0","1,640.0","1,819.0","1,881.0","2,034.0","2,101.0","2,469.0","2,609.0","2,891.0","3,238.0","3,488.0","4,028.0","4,660.0","4,839.0","5,158.0","5,582.0","5,923.0","6,284.0","6,665.0","6,725.0","6,654.0","6,819.0","6,707.0","6,879.0","7,225.0","7,797.0","8,075.0","8,232.0","8,203.0","8,203.0","8,072.0","7,845.0","7,733.0","7,289.0","7,353.0","7,273.0","7,360.0","7,530.0","7,262.0"
"88","70","      Other delivery services (by non-USPS facilities)","DODSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6.0","7.0","7.0","9.0","10.0","11.0","13.0","14.0","15.0","21.0","31.0","40.0","53.0","65.0","69.0","77.0","80.0","88.0","86.0","97.0","93.0","82.0","67.0","57.0","136.0","233.0","324.0","416.0","516.0","623.0","741.0","855.0","974.0","1,083.0","1,166.0","1,266.0","1,356.0","1,408.0","1,414.0","1,584.0","1,662.0","1,818.0","1,813.0","1,723.0","1,768.0","1,847.0","1,988.0","2,137.0","2,209.0","2,268.0"
"89","71","    Telecommunication services","DTCSRC1","569.0","577.0","554.0","482.0","436.0","443.0","472.0","511.0","542.0","542.0","576.0","615.0","695.0","825.0","973.0","1,078.0","1,190.0","1,289.0","1,377.0","1,570.0","1,732.0","1,943.0","2,171.0","2,422.0","2,684.0","2,790.0","3,062.0","3,342.0","3,649.0","3,893.0","4,186.0","4,516.0","4,829.0","5,111.0","5,525.0","5,953.0","6,493.0","7,013.0","7,675.0","8,343.0","9,285.0","10,095.0","11,048.0","12,444.0","14,153.0","15,546.0","17,741.0","19,829.0","21,565.0","23,874.0","25,717.0","27,574.0","30,889.0","35,140.0","38,639.0","41,786.0","45,978.0","49,261.0","51,879.0","54,390.0","58,135.0","60,702.0","64,003.0","70,998.0","75,008.0","81,291.0","85,168.0","92,770.0","103,149.0","111,081.0","120,001.0","130,226.0","137,580.0","139,841.0","140,166.0","143,120.0","146,067.0","157,790.0","161,992.0","167,970.0"
"90","72","    Internet access","DINTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","25.0","50.0","100.0","200.0","305.0","412.0","805.0","1,611.0","2,675.0","3,575.0","5,549.0","10,055.0","16,437.0","18,243.0","21,929.0","26,128.0","28,451.0","29,888.0","32,301.0","38,606.0","42,470.0"
"91","73","  Recreation","DRRLRC1","4,489.0","4,120.0","3,372.0","2,492.0","2,258.0","2,532.0","2,743.0","3,153.0","3,527.0","3,381.0","3,611.0","3,936.0","4,482.0","4,916.0","5,253.0","5,754.0","6,528.0","9,015.0","9,832.0","10,280.0","10,561.0","11,737.0","12,342.0","13,023.0","13,819.0","14,335.0","15,436.0","16,406.0","16,793.0","17,258.0","18,763.0","19,712.0","20,470.0","22,086.0","23,854.0","26,297.0","28,891.0","33,365.0","35,823.0","39,932.0","43,699.0","47,016.0","50,113.0","56,198.0","63,016.0","68,939.0","77,053.0","86,193.0","94,916.0","106,281.0","118,861.0","127,439.0","141,635.0","151,436.0","169,328.0","189,971.0","207,163.0","225,398.0","247,013.0","273,377.0","295,741.0","314,744.0","326,271.0","346,840.0","378,423.0","413,997.0","449,769.0","481,537.0","509,503.0","545,957.0","593,597.0","639,852.0","655,708.0","680,925.0","712,512.0","764,637.0","807,399.0","859,129.0","906,520.0","927,958.0"
"92","74","    Video and audio equipment, computers, and related services","DVPIRC1","1,024.0","935.0","513.0","304.0","228.0","266.0","292.0","377.0","433.0","390.0","470.0","546.0","669.0","701.0","508.0","444.0","507.0","1,284.0","1,594.0","1,676.0","1,905.0","2,695.0","2,632.0","2,804.0","3,105.0","3,316.0","3,511.0","3,663.0","3,636.0","3,688.0","3,996.0","4,097.0","4,339.0","4,587.0","4,956.0","5,588.0","6,373.0","7,583.0","8,453.0","9,210.0","9,798.0","10,463.0","11,026.0","12,387.0","13,873.0","14,991.0","16,796.0","18,461.0","19,986.0","21,673.0","24,146.0","25,911.0","28,721.0","31,122.0","38,503.0","44,208.0","50,778.0","58,772.0","65,279.0","73,167.0","77,660.0","81,097.0","84,559.0","89,092.0","98,662.0","108,571.0","119,259.0","128,040.0","135,919.0","150,660.0","167,926.0","184,361.0","189,760.0","198,110.0","205,418.0","224,776.0","239,432.0","256,115.0","269,809.0","276,205.0"
"93","75","      Video and audio equipment","DVAARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,835.0","2,813.0","2,955.0","3,124.0","3,410.0","3,975.0","4,715.0","5,818.0","6,531.0","7,069.0","7,435.0","7,955.0","8,313.0","9,381.0","10,531.0","11,307.0","12,621.0","13,903.0","14,841.0","16,241.0","18,226.0","19,254.0","20,603.0","20,575.0","24,485.0","28,050.0","32,322.0","36,096.0","39,543.0","42,319.0","43,772.0","43,695.0","42,994.0","44,574.0","48,138.0","53,475.0","56,844.0","58,494.0","58,756.0","66,091.0","74,757.0","83,074.0","87,661.0","92,672.0","93,746.0","100,866.0","107,766.0","114,648.0","116,552.0","117,721.0"
"94","76","      Information processing equipment","DIPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","104.0","111.0","122.0","134.0","145.0","164.0","180.0","208.0","222.0","257.0","302.0","343.0","385.0","434.0","463.0","485.0","506.0","524.0","582.0","599.0","594.0","641.0","784.0","1,704.0","3,280.0","3,463.0","3,330.0","5,685.0","6,723.0","8,774.0","8,941.0","9,574.0","12,510.0","12,738.0","16,039.0","20,534.0","25,028.0","29,606.0","34,225.0","37,550.0","40,686.0","44,086.0","42,143.0","44,490.0","46,626.0","51,513.0","55,943.0","60,353.0","65,323.0","66,258.0"
"95","77","      Services related to video and audio goods and computers","DSVCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,057.0","1,173.0","1,262.0","1,329.0","1,401.0","1,449.0","1,478.0","1,557.0","1,700.0","1,884.0","2,061.0","2,165.0","2,328.0","2,572.0","2,879.0","3,199.0","3,669.0","4,034.0","4,563.0","4,833.0","5,326.0","6,016.0","7,334.0","8,843.0","10,738.0","12,695.0","15,126.0","16,991.0","19,013.0","22,074.0","24,947.0","27,828.0","29,055.0","31,780.0","34,485.0","34,562.0","37,387.0","39,940.0","42,938.0","47,019.0","52,483.0","57,201.0","59,956.0","60,948.0","65,046.0","72,397.0","75,723.0","81,114.0","87,934.0","92,226.0"
"96","78","    Sports and recreational goods and related services","DODRRC1","757.0","634.0","521.0","371.0","333.0","400.0","445.0","533.0","618.0","599.0","651.0","705.0","839.0","864.0","845.0","987.0","1,177.0","1,850.0","2,093.0","2,249.0","2,239.0","2,514.0","2,794.0","2,941.0","3,060.0","3,086.0","3,436.0","3,725.0","3,944.0","4,046.0","4,491.0","4,653.0","4,826.0","5,243.0","5,712.0","6,385.0","7,185.0","8,517.0","9,233.0","10,657.0","11,728.0","12,058.0","13,066.0","15,641.0","17,544.0","18,548.0","21,346.0","24,646.0","27,282.0","30,604.0","33,812.0","33,639.0","36,642.0","37,908.0","40,114.0","46,766.0","49,636.0","53,675.0","59,813.0","65,066.0","70,861.0","74,170.0","76,503.0","80,621.0","87,313.0","95,460.0","101,932.0","107,758.0","113,414.0","123,244.0","135,167.0","147,858.0","153,305.0","159,515.0","167,252.0","178,294.0","188,400.0","199,641.0","209,287.0","211,466.0"
