"","Table 2#5#5# Personal Consumption Expenditures by Type of Expend","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"89","82","    Railway (s.)","BIRRRC1",0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6
"90","83","    Bus (s.)","BIBURC1",0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.4,1.6,1.7,1.5,1.5,1.3,1.1,1.4,1.7,1.5,1.3,1.6,1.6,1.7,1.7,1.8,1.9,2.2,2.2,2.2,2.4,2.4,2.3,2.3
"91","84","    Airline (s.)","BIAIRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.8,2.2,2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,14.9,17.2,17.6,18.3,19.9,21.3,22.4,22.7,21.4,21.3,22.9,24,25.3,26.9,29.8,31.8,33.3,36.7,31.4,28.1,30.3
"92","85","    Other (s.) \21\","BTRORC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.9,1,1.2,1.3,1.4,1.7,1.8,2.1,2.7,3.2,4,4.2,4.8,5.3,5.9,6.4,7,7,7.3,7.8,7.8,7.3,6.9,6.8
"93","86","Recreation","A539RC1",4.4,4,3.3,2.5,2.2,2.5,2.6,3,3.4,3.3,3.5,3.8,4.3,4.7,5,5.4,6.2,8.6,9.3,9.7,10,11.2,11.7,12.3,13.1,13.6,14.6,15.5,15.9,16.3,17.7,18.5,19.3,20.8,22.4,24.6,26.9,30.9,33.1,36.7,40,43.1,46,51.5,57.6,63.4,70.5,78.2,85.5,96.1,108.9,117.5,130.8,140.9,156.9,174.8,189.7,206.9,226.8,251.7,272.4,290.2,302,321.3,351,383.4,418.1,448.4,474.5,505.8,546.1,585.7,604,628.3,660.7
"94","87","  Books and maps (d.)","BBKSRC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1,1,1.1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2,2.3,2.9,3,2.9,3.1,3.2,3.6,3.6,4.1,5,5.7,6.5,7.3,8,9,10,10.6,11.4,13,14.2,15,16.2,16.4,17.1,18.8,21.1,23.2,25.1,27,28.8,31.5,33.7,34.6,36.9,38.5
"95","88","  Magazines, newspapers, and sheet music (n.d.)","BMAGRC1",0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1,2.2,2,2.3,2.5,2.5,2.7,3.2,3.3,3.4,3.7,4.1,4.4,4.8,5.3,5.9,6.4,7,7.7,9.1,10.9,12,13,13.8,14.6,15.7,15.9,16.5,17.6,19.2,20.1,21.6,22.1,22,23.4,25.6,27.5,29.5,31.2,32.1,33.5,35,35,35.3,36.6
"96","89","  Nondurable toys and sport supplies (n.d.)","BTOYRC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.9,1.1,1.2,1.4,1.7,1.7,1.7,1.6,1.8,2,2,2.1,2.4,2.5,2.7,2.9,3.1,3.4,3.6,4,4.3,4.8,5.2,5.5,5.8,6.6,7.4,8.2,9,10,10.8,12.3,13.6,14.6,16,17.1,18.4,20.5,21.4,22.9,25.3,27.7,30.7,32.8,34.6,36.5,38.8,42,44.4,46.5,48.4,51.3,54.7,56.6,57.6,59,60.2
"97","90","  Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (d.)","AWHGRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.8,1,1,0.8,0.9,0.9,1,1.1,1.2,1.4,1.6,1.7,1.9,2,2,2,2,2.2,2.5,2.9,3.6,4.1,4.8,5.2,5.2,5.6,7.4,8.5,9,10.1,11.4,12.8,14.1,16.2,15.6,16.4,16.3,16.9,20.4,21.2,23,25.6,27.7,29.3,29.7,29.5,30.1,33.1,36.3,39.7,42.2,44.8,48.3,52.6,57.6,59.2,60.6,68
"98","91","  Video and audio goods, including musical instruments, and computer goods (d.)","BRADRC1",1,0.9,0.5,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,0.3,1.1,1.4,1.5,1.7,2.4,2.2,2.4,2.6,2.8,2.9,3,2.9,2.8,3.1,3,3.2,3.4,3.7,4.3,5.1,6.3,7,7.6,8,8.5,8.9,10.1,11.3,12.1,13.5,14.8,15.8,17.3,19.4,20.6,22.2,23,28.5,32,35.9,41.8,46.2,51,52.5,53,55.4,57,63.9,73.7,81.5,87.6,92.3,99.7,108.1,116.6,115.5,119.1,121.3
"99","92","    Video and audio goods, including musical instruments (d.)","BVAMRC1",1,0.9,0.5,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,0.3,1.1,1.4,1.5,1.7,2.4,2.2,2.4,2.6,2.8,2.9,3,2.9,2.8,3.1,3,3.2,3.4,3.7,4.3,5.1,6.3,7,7.6,8,8.5,8.9,10.1,11.3,12.1,13.5,14.8,15.8,17.3,19.3,20.4,21.8,21.7,25.6,29,33,36.6,40,42.8,44.2,44.1,43.5,45,48.5,53.9,57.2,58.7,58.9,62.7,67.8,72.8,73.6,74.9,75.2
"100","93","    Computers, peripherals, and software (d.)","BCPTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.2,0.4,1.4,2.9,3,2.9,5.2,6.2,8.2,8.3,8.9,11.9,12.1,15.3,19.8,24.3,28.9,33.5,37,40.4,43.8,42,44.2,46.1
"101","94","  Radio and television repair (s.)","BRTVRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2,2.2,2.3,2.5,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.6,2.9,3.2,3.2,3.2,2.9,3,3.2,3.3,3.6,3.7,3.9,4.1,4.1,4.2,4,4,4
"102","95","  Flowers, seeds, and potted plants (n.d.)","BFLORC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,1,1.1,1.3,1.4,1.5,1.7,1.7,1.8,1.9,2.2,2.3,2.6,2.7,2.9,2.9,3.6,4.2,4.7,5.3,5.7,6,6.5,6.9,7.7,9.2,9.7,10.5,10.9,11,12,12.6,13.3,14,15,15.7,16.4,17.1,18,18,18,18.8
"103","96","  Admissions to specified spectator amusements","A481RC1",0.9,0.9,0.9,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.5,1.6,1.7,2.1,2,1.9,1.9,1.8,1.8,1.7,1.7,1.8,2,2.1,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.2,2.4,2.5,2.9,3.1,3.3,3.5,3.5,3.5,4,4.3,4.4,5,5.9,6.4,6.6,7.1,8,8.7,9.7,9.7,10.5,10.8,12,13.5,15.1,16,16.6,18.5,19.7,21.1,23.5,25,26.2,28.4,30.4,32.2,34.6,35.6
"104","97","    Motion picture theaters (s.)","BMOVRC1",0.7,0.7,0.7,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1,1.3,1.3,1.5,1.7,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.4,1.5,1.5,1.2,1.1,1,1,1,1,1,1,1.2,1.2,1.2,1.4,1.5,1.6,1.7,1.7,1.6,2,2.2,2.1,2.4,2.8,2.8,2.6,2.7,3.1,3.2,3.4,3.2,3.3,3.4,3.9,4.6,5.1,5.2,4.9,5.1,5.3,5.6,6.1,6.6,7.2,7.9,8.6,9,9.6,9.9
"105","98","    Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics) (s.)","BLEGRC1",0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.8,2,2.1,2.4,2.8,3.2,3.9,4,4.4,4.4,5.2,5.4,6,7.1,7.6,8.1,8.6,9.2,9.2,9.9,10.3,10.9,11.5,11.6
"106","99","    Spectator sports (s.) \22\","BSPERC1",0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.4,2.7,3.1,3.5,3.3,3.3,3.4,3.7,4.5,4.8,5.3,5.6,6.4,6.8,7.4,8.9,9.2,9.8,10.6,11.5,12.4,13.5,14.1
"107","100","  Clubs and fraternal organizations (s.) \23\","BCLURC1",0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.8,2,2.1,2.2,2.4,2.9,3.7,4.7,6.1,6.5,6.8,8.1,8.9,9.5,10.6,12.1,13.5,15.3,16.6,17.3,17.3,17.4,17.1,16.3,17.1,18,19,20,21.1,22.1
"108","101","  Commercial participant amusements (s.) \24\","ACOMRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.1,1.2,1.4,1.5,1.6,1.6,1.7,1.8,1.9,2.1,2.4,2.6,3,3.5,4.2,4.9,5.6,6.4,7.2,8,9.1,10.8,11.6,12.9,13.8,15.1,16,17.3,20,22.2,25.2,26.5,30.9,36.1,42.3,48.8,54.2,59.4,63.1,68.8,75.8,79.6,83.5,89.2
"109","102","  Pari-mutuel net receipts (s.)","BPARRC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2,2.1,2.3,2.5,2.6,2.6,2.8,2.8,2.9,3,3.4,3.3,3.5,3.4,3.4,3.4,3.5,3.7,3.9,4,4.4,4.9,5,5.1,5.3,5.3
"110","103","  Other (s.) \25\","AREORC1",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,1.9,2.1,2.4,2.6,2.8,3.2,3.5,4.1,4.8,5.4,6,6.6,7.8,9.1,10.4,12.1,13.5,15,16.9,19.4,23,26,30.4,34.1,39.2,42.7,46.3,53,59.9,65.4,68.8,76.1,81.9,85.4,93.4,100.1,106.4,114.4,124.3,133.9,143.2,151.1,160.9
"111","104","Education and research","A482RC1",0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.1,1.1,1.1,1.2,1.5,1.7,1.8,1.9,2.1,2.2,2.3,2.5,2.7,3,3.4,3.7,4,4.4,4.7,5.1,5.6,6.2,7,8,8.9,10.1,11.3,12.7,13.9,15.3,16.9,18.5,20.6,22.5,24.2,26.8,29.8,33.5,37.6,41.3,45.4,49.4,53.9,58.1,63.2,70.2,77.7,83.7,89.3,96,101.5,107.3,114.3,122.6,129.7,140,150.5,163.8,178.1,190.7,201.7
"112","105","  Higher education (s.) \26\","BHEDRC1",0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.2,2.4,2.6,2.8,3.2,3.8,4.3,4.8,5.4,6.1,7,7.8,8.6,9.4,10,10.7,11.6,12.6,13.3,14.8,16.6,19.1,22,24.3,26.5,28.7,31.1,33.6,36.4,40,43.8,47.9,52.3,55.8,59.3,62.9,66.8,69.8,75,80,86.4,95.1,103.9,112.2
"113","106","  Nursery, elementary, and secondary schools (s.) \27\","BEEDRC1",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.7,1.9,2,2.2,2.4,2.6,2.8,3.2,3.5,3.8,4.3,5,5.7,6.1,6.3,7.5,8.3,9.5,10.4,10.9,12,13.2,14.3,15.1,16.5,17.7,19.8,21.2,21.9,23.1,24.1,25.4,27,28.4,29.4,31,32.7,34.6,36.5,38.3,39.5
"114","107","  Other (s.) \28\","BOEDRC1",0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,1.1,1.2,1.4,1.8,2.1,2.4,2.6,2.7,2.9,3.2,3.4,4.2,4.9,5.3,6.1,6.7,7.4,8.1,8.4,9.1,9.8,10.9,11.9,13,16.1,17.9,18.7,19.5,20.7,21.6,22.6,24.4,27.5,30.4,34.1,37.8,42.8,46.4,48.6,50
"115","108","Religious and welfare activities (s.) \29\","BRAWRC1",1.2,1.2,1.1,1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.5,1.7,1.8,2,2.1,2.3,2.3,2.4,2.6,3,3.1,3.3,3.5,3.9,4.1,4.4,5.1,5.2,5.3,5.5,5.7,6.6,7.1,7.7,8.5,9.3,10,11,12.5,14,15,16.7,18.3,20.8,23.2,26.6,30.3,34.8,39.2,43,46.1,51.8,55.7,61.9,66.7,74.4,81,88.7,92.9,102.3,106.5,115.3,120.4,130.5,134.2,146,154.5,172.3,186.5,202.9,211.2
"116","109","Foreign travel and other, net","A540RC1",0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.2,0.3,0.6,1.2,-0.1,0,0.3,0.6,0.7,0.9,1.1,1.5,1.5,1.6,1.7,1.7,1.9,2,2.1,2,2.3,2.5,2.6,2.9,3.1,3.8,3.7,4,4.5,4.8,5.2,4.7,4.7,4.4,3.8,4.3,4.3,4.1,3.5,0.4,2.5,5.4,6.6,7.7,3.3,6.1,2.8,-3.7,-7.7,-15.2,-20,-20.6,-17.4,-21.4,-24.2,-21.1,-13.3,-13.5,-13,-7.4,-6.4,-2.7
"117","110","  Foreign travel by U.S. residents (s.) \30\","BFTRRC1",0.6,0.6,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.5,1.6,1.7,1.9,2.1,2.3,2.3,2.6,2.8,3,3.3,3.6,4.2,4.2,4.7,5.4,5.9,6.8,7.3,8.1,8.8,9.4,10.3,11.1,12.1,13.3,15,16.5,18.4,26.1,27.9,27.8,33.9,37.3,38.4,42.7,41.7,45.9,48.8,53.3,54.7,58.4,64.7,71.1,75.5,84.4,80.7,77.4,79.2
"118","111","  Expenditures abroad by U.S. residents (n.d.)","AABDRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.6,1.2,0.1,0.2,0.3,0.4,0.3,0.6,0.8,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1.1,1.2,1.5,1.6,1.7,1.9,2,2.1,1.9,1.6,1.5,1.3,1.2,1.2,1.5,1.7,2.2,2.5,3.1,3.2,3.3,3.9,3.7,3.9,3.5,3.6,3.6,3.5,2.6,2.7,2.8,2.9,2.9,4.1,4.4,4.4,4.6,4.9,5.6,6.6
"119","112","  Less: Expenditures in the United States by nonresidents (s.) \31\","BEXFRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.2,1.4,1.6,1.8,1.8,2,2.3,2.7,2.9,3.3,4,4.6,5.4,6.5,7,8.1,9.4,11.6,16.6,16.7,15.7,22.4,23.3,27.5,30.9,37.1,44.8,53,59.2,66.9,70.5,72.1,77.6,84.4,88.8,87.7,92.1,100.7,91.5,87.9,86.7
"120","113","  Less: Personal remittances in kind to nonresidents (n.d.)","BREMRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.7,0.7,0.8,1,0.9,1,1.1,1.6,1.6,1.4,1.3,1.2,1.1,1.1,1.3,1.4,1.5,1.5,1.8
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Consists of purchases (including tips) of meals and beverages from retail, service, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","amusement establishments, hotels, dining and buffet cars, schools, school fraternities,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","institutions, clubs, and industrial lunchrooms.  Includes meals and beverages consumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","both on- and off-premise.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","2. Includes luggage.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Consists of watch, clock, and jewelry repairs, costume and dress suit rental, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","miscellaneous personal services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","5. Consists of space rent (see footnote 4) and rent for appliances, furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","6. Consists of transient hotels, motels, other traveler accommodations, clubs, schools, and other group housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
