"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"111","93","    Photographic goods and services","DPHORC1","3,088.0","3,314.0","3,663.0","4,176.0","4,904.0","5,374.0","5,748.0","6,654.0","6,821.0","7,503.0","8,353.0","9,068.0","9,539.0","9,940.0","11,159.0","12,181.0","12,906.0","13,995.0","15,172.0","16,087.0","16,682.0","16,701.0","16,619.0","16,841.0","17,536.0","17,995.0","18,649.0","18,836.0","18,567.0","19,162.0","19,548.0","19,721.0","19,258.0","18,999.0","19,264.0","19,108.0","18,720.0","18,180.0","19,033.0","18,866.0","17,743.0"
"112","94","    Package tours \14\","DXHLRC1","127.0","147.0","164.0","197.0","241.0","288.0","313.0","379.0","456.0","512.0","627.0","737.0","825.0","950.0","1,065.0","1,137.0","1,395.0","1,497.0","1,669.0","2,167.0","2,627.0","3,225.0","3,365.0","3,905.0","4,262.0","4,805.0","5,176.0","5,672.0","5,709.0","6,386.0","7,301.0","7,787.0","7,438.0","7,388.0","7,554.0","8,037.0","8,450.0","8,293.0","9,086.0","8,983.0","9,163.0"
"113","95","  Education","DEDURC1","8,652.0","9,913.0","10,853.0","11,748.0","13,004.0","14,202.0","15,886.0","17,433.0","18,809.0","20,877.0","22,869.0","25,444.0","28,258.0","30,968.0","34,349.0","37,699.0","41,171.0","44,485.0","48,789.0","54,435.0","60,571.0","65,957.0","70,561.0","76,442.0","81,087.0","86,364.0","92,304.0","99,626.0","107,120.0","115,245.0","123,931.0","134,290.0","143,615.0","149,528.0","159,684.0","169,412.0","180,657.0","192,659.0","206,245.0","220,470.0","232,884.0"
"114","96","    Educational books","DEBKRC1","583.0","737.0","751.0","743.0","778.0","827.0","940.0","957.0","1,100.0","1,346.0","1,546.0","1,746.0","1,986.0","2,175.0","2,508.0","2,913.0","3,235.0","3,646.0","4,246.0","4,645.0","4,923.0","5,298.0","5,404.0","5,641.0","6,054.0","6,484.0","6,802.0","7,007.0","7,335.0","7,855.0","8,564.0","9,043.0","9,230.0","9,702.0","10,148.0","10,367.0","10,235.0","10,222.0","10,489.0","10,286.0","10,125.0"
"115","97","    Higher education","DHEDRC1","4,457.0","5,188.0","5,889.0","6,487.0","7,107.0","7,637.0","8,170.0","8,861.0","9,640.0","10,258.0","11,409.0","12,862.0","14,767.0","17,007.0","18,806.0","20,533.0","22,260.0","24,130.0","26,097.0","28,465.0","31,516.0","34,742.0","38,400.0","42,334.0","45,449.0","48,628.0","51,912.0","56,361.0","61,261.0","66,027.0","70,774.0","76,776.0","82,917.0","86,986.0","94,350.0","101,217.0","108,837.0","116,594.0","125,014.0","135,105.0","145,487.0"
"116","98","    Nursery, elementary, and secondary schools","DNEHRC1","2,193.0","2,439.0","2,656.0","2,929.0","3,327.0","3,868.0","4,356.0","4,638.0","4,808.0","5,620.0","6,014.0","6,652.0","7,021.0","7,182.0","7,949.0","8,705.0","9,450.0","9,969.0","10,904.0","11,864.0","13,570.0","14,849.0","15,620.0","16,679.0","17,297.0","18,112.0","19,170.0","20,086.0","20,706.0","21,487.0","22,770.0","24,124.0","25,687.0","26,856.0","28,348.0","30,049.0","31,782.0","33,819.0","36,121.0","38,175.0","39,749.0"
"117","99","    Commercial and vocational schools \15\","DVEDRC1","1,419.0","1,549.0","1,557.0","1,589.0","1,792.0","1,870.0","2,420.0","2,977.0","3,261.0","3,653.0","3,900.0","4,184.0","4,484.0","4,604.0","5,086.0","5,548.0","6,226.0","6,740.0","7,542.0","9,461.0","10,562.0","11,068.0","11,137.0","11,788.0","12,287.0","13,140.0","14,420.0","16,172.0","17,818.0","19,876.0","21,823.0","24,347.0","25,781.0","25,984.0","26,838.0","27,779.0","29,803.0","32,024.0","34,621.0","36,904.0","37,523.0"
"118","100","  Food services and accommodations","DFSARC1","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,607.0","308,668.0","316,717.0","327,398.0","344,560.0","363,009.0","381,580.0","410,126.0","421,228.0","438,183.0","462,830.0","492,923.0","525,309.0","559,744.0","591,959.0","611,309.0","603,592.0"
"119","101","    Food services","DFSERC1","34,736.0","38,589.0","40,728.0","45,014.0","50,509.0","55,905.0","63,531.0","71,615.0","78,783.0","89,238.0","101,668.0","111,466.0","122,022.0","129,826.0","139,699.0","148,776.0","156,206.0","167,450.0","182,348.0","201,641.0","216,670.0","235,116.0","244,186.0","254,140.0","265,909.0","273,766.0","280,167.0","287,501.0","299,665.0","315,707.0","331,596.0","354,878.0","368,702.0","384,332.0","405,740.0","429,754.0","455,318.0","484,596.0","511,125.0","527,312.0","527,668.0"
"120","102","      Purchased meals and beverages \16\","DPMBRC1","32,683.0","36,524.0","38,740.0","43,004.0","48,337.0","53,183.0","60,363.0","68,006.0","75,034.0","84,967.0","96,740.0","105,929.0","115,851.0","123,279.0","133,273.0","142,393.0","149,978.0","161,472.0","176,606.0","195,568.0","210,214.0","228,346.0","237,257.0","247,054.0","258,599.0","266,247.0","272,388.0","279,515.0","291,454.0","307,284.0","322,891.0","345,950.0","359,567.0","374,863.0","395,620.0","419,099.0","443,529.0","471,163.0","497,046.0","512,981.0","512,783.0"
"121","103","      Food furnished to employees (including military)","DFOORC1","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,469.0","10,120.0","10,655.0","11,789.0","13,433.0","14,079.0","14,331.0","14,885.0"
"122","104","    Accommodations \17\","DACCRC1","2,725.0","3,035.0","3,069.0","3,872.0","4,323.0","4,709.0","5,290.0","6,186.0","6,882.0","7,866.0","9,253.0","10,255.0","11,893.0","12,682.0","13,851.0","16,140.0","18,094.0","19,237.0","22,031.0","24,206.0","25,927.0","27,619.0","29,208.0","32,173.0","32,698.0","34,902.0","36,550.0","39,897.0","44,895.0","47,302.0","49,984.0","55,248.0","52,526.0","53,851.0","57,090.0","63,169.0","69,991.0","75,148.0","80,834.0","83,997.0","75,924.0"
"123","105","  Financial services and insurance","DIFSRC1","28,501.0","31,071.0","34,137.0","38,337.0","41,497.0","45,903.0","54,014.0","59,257.0","67,786.0","80,627.0","87,623.0","95,599.0","101,995.0","116,322.0","145,873.0","156,555.0","180,539.0","196,665.0","207,127.0","219,409.0","235,741.0","253,218.0","281,979.0","311,759.0","341,016.0","349,027.0","364,689.0","393,631.0","431,297.0","469,649.0","514,234.0","569,962.0","562,791.0","576,166.0","601,753.0","667,481.0","712,619.0","752,375.0","818,884.0","848,139.0","813,847.0"
"124","106","    Financial services","DFNLRC1","14,127.0","15,341.0","17,066.0","18,938.0","20,317.0","23,659.0","30,126.0","32,209.0","35,757.0","43,133.0","47,190.0","51,739.0","54,134.0","62,055.0","87,159.0","90,021.0","107,493.0","123,869.0","135,040.0","134,015.0","135,986.0","141,481.0","158,141.0","178,498.0","193,165.0","200,564.0","212,473.0","237,909.0","267,042.0","295,231.0","331,246.0","370,013.0","358,088.0","366,443.0","371,093.0","403,231.0","427,209.0","457,772.0","507,891.0","534,034.0","505,266.0"
"125","107","      Financial services furnished without payment","DIMPRC1","9,112.0","10,922.0","11,811.0","13,174.0","15,127.0","18,610.0","24,070.0","25,049.0","28,164.0","34,164.0","36,976.0","38,248.0","38,656.0","42,677.0","62,731.0","64,259.0","76,748.0","85,386.0","92,388.0","93,115.0","89,713.0","92,998.0","103,632.0","116,217.0","120,720.0","126,767.0","130,579.0","143,873.0","159,690.0","170,254.0","182,314.0","195,389.0","195,015.0","198,288.0","193,832.0","212,835.0","220,041.0","224,767.0","251,028.0","281,157.0","271,241.0"
"126","108","      Financial service charges, fees, and commissions","DOFIRC1","5,015.0","4,419.0","5,255.0","5,764.0","5,190.0","5,049.0","6,056.0","7,160.0","7,593.0","8,969.0","10,214.0","13,491.0","15,478.0","19,378.0","24,428.0","25,762.0","30,745.0","38,483.0","42,652.0","40,900.0","46,273.0","48,483.0","54,509.0","62,281.0","72,445.0","73,797.0","81,894.0","94,036.0","107,352.0","124,977.0","148,932.0","174,624.0","163,073.0","168,155.0","177,261.0","190,396.0","207,168.0","233,005.0","256,863.0","252,877.0","234,025.0"
"127","109","    Insurance","DINSRC1","14,374.0","15,730.0","17,071.0","19,399.0","21,180.0","22,244.0","23,888.0","27,048.0","32,029.0","37,494.0","40,433.0","43,860.0","47,861.0","54,267.0","58,714.0","66,534.0","73,046.0","72,796.0","72,087.0","85,394.0","99,755.0","111,737.0","123,838.0","133,261.0","147,851.0","148,463.0","152,216.0","155,722.0","164,255.0","174,418.0","182,988.0","199,949.0","204,703.0","209,723.0","230,660.0","264,250.0","285,410.0","294,603.0","310,993.0","314,105.0","308,581.0"
"128","110","      Life insurance \18\","DLIFRC1","6,258.0","6,885.0","6,933.0","7,501.0","8,398.0","9,055.0","10,037.0","11,883.0","13,302.0","15,312.0","16,912.0","19,054.0","20,470.0","22,808.0","23,498.0","25,026.0","28,304.0","28,751.0","28,091.0","33,483.0","38,578.0","42,312.0","51,781.0","53,610.0","59,192.0","54,612.0","54,340.0","52,030.0","55,171.0","55,982.0","56,936.0","64,975.0","61,949.0","58,796.0","59,717.0","70,547.0","76,502.0","80,945.0","83,605.0","82,269.0","77,065.0"
"129","111","      Net household insurance \19\","DFINRC1","300.0","341.0","389.0","444.0","501.0","570.0","617.0","696.0","844.0","1,021.0","1,174.0","1,284.0","1,338.0","1,421.0","1,508.0","1,623.0","1,706.0","1,861.0","2,124.0","2,421.0","2,552.0","2,478.0","2,441.0","2,296.0","2,310.0","2,502.0","2,633.0","2,895.0","2,903.0","3,358.0","3,588.0","3,835.0","4,188.0","4,267.0","4,928.0","5,755.0","6,167.0","6,069.0","7,356.0","7,914.0","8,087.0"
"130","112","      Net health insurance","DHINRC1","4,105.0","4,431.0","5,181.0","6,323.0","6,695.0","6,910.0","7,307.0","8,068.0","10,547.0","12,856.0","13,047.0","13,571.0","15,512.0","18,863.0","21,521.0","26,487.0","28,365.0","25,629.0","23,571.0","29,082.0","36,575.0","43,437.0","45,186.0","50,051.0","55,971.0","58,599.0","60,747.0","64,095.0","68,374.0","74,696.0","79,230.0","88,070.0","94,132.0","100,962.0","116,944.0","134,433.0","145,127.0","150,615.0","158,265.0","162,121.0","163,007.0"
"131","113","        Medical care and hospitalization \20\","DMINRC1","1,918.0","2,146.0","2,580.0","3,497.0","3,602.0","3,556.0","3,240.0","3,594.0","5,415.0","6,396.0","7,158.0","7,605.0","9,101.0","11,811.0","14,453.0","18,916.0","20,562.0","16,519.0","14,148.0","18,878.0","25,963.0","31,825.0","34,120.0","38,426.0","43,418.0","46,281.0","47,873.0","49,258.0","50,992.0","57,334.0","62,055.0","69,220.0","73,784.0","80,928.0","94,563.0","110,252.0","117,839.0","121,401.0","127,397.0","133,908.0","137,120.0"
"132","114","        Income loss \21\","DIINRC1","1,181.0","1,125.0","1,345.0","1,555.0","1,701.0","1,734.0","2,189.0","2,193.0","2,407.0","3,357.0","2,275.0","1,868.0","1,875.0","2,462.0","2,098.0","2,103.0","2,064.0","2,440.0","2,191.0","2,490.0","2,356.0","2,617.0","1,825.0","2,102.0","1,500.0","1,800.0","1,400.0","1,105.0","1,172.0","1,375.0","1,540.0","1,699.0","1,849.0","1,999.0","2,167.0","2,353.0","2,572.0","2,823.0","3,006.0","3,125.0","3,095.0"
"133","115","        Workers' compensation \22\","DPWCRC1","1,006.0","1,160.0","1,256.0","1,271.0","1,392.0","1,620.0","1,878.0","2,281.0","2,725.0","3,103.0","3,614.0","4,098.0","4,536.0","4,590.0","4,970.0","5,468.0","5,739.0","6,670.0","7,232.0","7,714.0","8,256.0","8,995.0","9,241.0","9,523.0","11,053.0","10,518.0","11,474.0","13,732.0","16,210.0","15,987.0","15,635.0","17,151.0","18,499.0","18,035.0","20,214.0","21,828.0","24,716.0","26,391.0","27,862.0","25,088.0","22,792.0"
"134","116","      Net motor vehicle and other transportation insurance \23\","DTINRC1","3,711.0","4,073.0","4,568.0","5,131.0","5,586.0","5,709.0","5,927.0","6,401.0","7,336.0","8,305.0","9,300.0","9,951.0","10,541.0","11,175.0","12,187.0","13,398.0","14,671.0","16,555.0","18,301.0","20,408.0","22,050.0","23,510.0","24,430.0","27,304.0","30,378.0","32,750.0","34,496.0","36,702.0","37,807.0","40,382.0","43,234.0","43,069.0","44,434.0","45,698.0","49,071.0","53,515.0","57,614.0","56,974.0","61,767.0","61,801.0","60,422.0"
"135","117","  Other goods and services","DOISRC1","41,000.0","44,263.0","46,963.0","50,985.0","56,931.0","62,206.0","67,806.0","76,274.0","83,765.0","93,178.0","100,408.0","110,675.0","121,230.0","127,772.0","143,434.0","157,656.0","173,267.0","190,019.0","208,167.0","225,392.0","245,652.0","262,298.0","268,009.0","290,056.0","304,538.0","316,870.0","332,720.0","350,832.0","368,397.0","394,793.0","431,632.0","462,304.0","483,467.0","504,265.0","529,901.0","557,012.0","580,925.0","611,213.0","642,049.0","661,775.0","671,792.0"
"136","118","    Personal care \24\","DPCRRC1","12,539.0","13,235.0","13,472.0","14,318.0","15,839.0","17,240.0","18,809.0","20,592.0","23,460.0","26,113.0","28,571.0","30,819.0","33,143.0","34,467.0","39,945.0","43,325.0","47,494.0","51,887.0","56,686.0","62,482.0","67,406.0","72,410.0","71,720.0","77,031.0","81,599.0","87,341.0","93,820.0","99,722.0","106,163.0","113,686.0","122,551.0","132,191.0","137,466.0","143,292.0","150,238.0","160,623.0","169,146.0","178,781.0","187,482.0","193,864.0","193,137.0"
"137","119","    Personal items \25\","DPEORC1","6,445.0","6,712.0","7,361.0","8,032.0","9,646.0","10,975.0","12,536.0","14,855.0","16,424.0","18,023.0","18,625.0","20,156.0","20,957.0","20,303.0","22,791.0","25,773.0","27,532.0","31,537.0","34,349.0","36,960.0","38,848.0","39,977.0","40,144.0","42,214.0","44,739.0","46,943.0","48,739.0","50,945.0","50,992.0","54,303.0","59,658.0","63,653.0","61,451.0","63,392.0","65,760.0","69,513.0","72,587.0","77,315.0","80,359.0","79,072.0","77,391.0"
"138","120","    Social services and religious activities \26\","DSOCRC1","3,602.0","3,871.0","4,384.0","5,053.0","5,459.0","5,854.0","6,499.0","7,494.0","8,598.0","10,020.0","11,881.0","13,993.0","16,138.0","17,944.0","19,618.0","21,833.0","25,060.0","28,034.0","31,435.0","33,873.0","38,580.0","41,177.0","43,546.0","47,510.0","51,123.0","54,381.0","58,127.0","61,111.0","64,627.0","70,334.0","76,698.0","84,953.0","93,930.0","100,819.0","107,095.0","113,236.0","118,702.0","125,881.0","134,290.0","141,672.0","145,693.0"
"139","121","    Professional and other services","DPRSRC1","8,620.0","9,653.0","10,408.0","11,389.0","12,746.0","14,038.0","14,894.0","16,546.0","18,303.0","20,741.0","22,146.0","24,847.0","28,162.0","30,755.0","33,565.0","37,482.0","42,370.0","46,404.0","51,151.0","57,332.0","62,207.0","67,743.0","70,190.0","75,293.0","78,376.0","80,877.0","82,829.0","87,635.0","92,767.0","100,054.0","107,189.0","113,015.0","120,915.0","126,620.0","137,100.0","143,192.0","149,435.0","156,955.0","166,216.0","171,452.0","167,651.0"
"140","122","      Legal services","DGALRC1","4,195.0","4,956.0","5,481.0","6,033.0","6,951.0","7,686.0","7,986.0","8,787.0","9,700.0","11,121.0","11,738.0","13,182.0","15,543.0","17,236.0","18,937.0","21,485.0","24,600.0","27,348.0","30,927.0","34,729.0","37,692.0","40,984.0","41,751.0","44,889.0","46,204.0","47,035.0","47,420.0","50,608.0","53,861.0","57,899.0","62,157.0","65,378.0","70,075.0","73,878.0","81,054.0","85,254.0","89,706.0","95,234.0","101,524.0","104,000.0","102,535.0"
"141","123","      Accounting and other business services \27\","DPRORC1","829.0","863.0","884.0","993.0","1,094.0","1,195.0","1,313.0","1,481.0","1,704.0","1,944.0","2,056.0","2,163.0","2,349.0","2,405.0","2,874.0","3,111.0","3,471.0","3,729.0","3,975.0","4,846.0","5,744.0","6,532.0","7,089.0","7,722.0","8,643.0","9,894.0","10,155.0","10,995.0","11,959.0","13,796.0","15,484.0","17,155.0","18,569.0","20,049.0","21,469.0","23,379.0","24,291.0","25,523.0","28,168.0","29,962.0","27,521.0"
"142","124","      Labor organization dues","DUNSRC1","1,177.0","1,281.0","1,343.0","1,478.0","1,670.0","1,950.0","2,193.0","2,465.0","2,758.0","3,092.0","3,510.0","4,007.0","4,384.0","4,857.0","5,039.0","5,454.0","6,005.0","6,561.0","6,924.0","7,377.0","7,767.0","8,279.0","8,738.0","9,136.0","9,302.0","9,465.0","9,752.0","10,127.0","10,551.0","10,346.0","10,323.0","10,233.0","10,194.0","10,006.0","10,364.0","10,576.0","10,690.0","11,066.0","11,430.0","12,035.0","12,023.0"
"143","125","      Professional association dues","DAXSRC1","178.0","210.0","246.0","295.0","335.0","384.0","474.0","554.0","637.0","754.0","846.0","950.0","1,050.0","1,187.0","1,285.0","1,388.0","1,527.0","1,675.0","1,839.0","2,040.0","2,237.0","2,422.0","2,498.0","2,577.0","2,754.0","2,863.0","3,125.0","3,184.0","3,395.0","3,689.0","4,077.0","4,478.0","4,945.0","5,388.0","5,581.0","5,695.0","5,756.0","6,181.0","6,543.0","6,447.0","6,677.0"
"144","126","      Funeral and burial services","DFUNRC1","2,241.0","2,343.0","2,454.0","2,590.0","2,696.0","2,823.0","2,928.0","3,259.0","3,504.0","3,830.0","3,996.0","4,545.0","4,836.0","5,070.0","5,430.0","6,044.0","6,767.0","7,091.0","7,486.0","8,340.0","8,767.0","9,526.0","10,114.0","10,969.0","11,473.0","11,620.0","12,377.0","12,721.0","13,001.0","14,324.0","15,148.0","15,771.0","17,132.0","17,299.0","18,632.0","18,288.0","18,992.0","18,951.0","18,551.0","19,008.0","18,895.0"
"145","127","    Tobacco","DTOBRC1","9,794.0","10,792.0","11,338.0","12,193.0","13,241.0","14,099.0","15,068.0","16,787.0","16,980.0","18,281.0","19,185.0","20,860.0","22,830.0","24,303.0","27,515.0","29,243.0","30,811.0","32,157.0","34,546.0","34,745.0","38,611.0","40,991.0","42,409.0","48,008.0","48,701.0","47,328.0","49,205.0","51,419.0","53,848.0","56,416.0","65,536.0","68,492.0","69,705.0","70,142.0","69,708.0","70,448.0","71,055.0","72,281.0","73,702.0","75,715.0","87,920.0"
"146","128","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC1","4,044.0","4,514.0","4,778.0","5,237.0","4,721.0","4,708.0","4,445.0","3,790.0","4,311.0","4,250.0","4,075.0","3,540.0","416.0","2,509.0","5,435.0","6,565.0","7,741.0","3,296.0","6,063.0","2,781.0","-3,696.0","-7,673.0","-15,220.0","-19,951.0","-20,662.0","-17,497.0","-21,462.0","-24,511.0","-21,505.0","-13,739.0","-13,799.0","-13,328.0","-7,408.0","-5,147.0","-549.0","545.0","-89.0","3,721.0","-3,229.0","-12,492.0","-11,282.0"
"147","129","    Foreign travel by U.S. residents","DFTRRC1","4,717.0","5,414.0","5,853.0","6,832.0","7,324.0","8,127.0","8,759.0","9,380.0","10,285.0","11,107.0","12,063.0","13,304.0","15,001.0","16,522.0","18,394.0","26,109.0","27,904.0","27,795.0","33,932.0","37,336.0","38,434.0","42,702.0","41,678.0","45,990.0","48,818.0","53,339.0","54,710.0","58,446.0","64,578.0","70,973.0","75,408.0","84,257.0","80,629.0","78,097.0","80,460.0","92,314.0","99,762.0","108,527.0","113,895.0","119,766.0","105,389.0"
"148","130","    Less: Expenditures in the United States by nonresidents","DEXFRC1","2,327.0","2,663.0","2,941.0","3,295.0","3,954.0","4,627.0","5,372.0","6,508.0","6,982.0","8,095.0","9,402.0","11,558.0","16,637.0","16,677.0","15,664.0","22,365.0","23,323.0","27,477.0","30,944.0","37,054.0","44,830.0","52,967.0","59,247.0","66,901.0","70,596.0","72,171.0","77,726.0","84,661.0","89,041.0","87,953.0","92,336.0","100,804.0","91,440.0","87,278.0","85,792.0","96,812.0","104,874.0","110,088.0","123,180.0","138,716.0","124,453.0"
"149","131","    Net expenditures abroad by U.S. residents","DNFRRC1","1,654.0","1,763.0","1,866.0","1,700.0","1,351.0","1,208.0","1,058.0","918.0","1,008.0","1,238.0","1,414.0","1,794.0","2,052.0","2,664.0","2,705.0","2,821.0","3,160.0","2,978.0","3,075.0","2,499.0","2,700.0","2,592.0","2,349.0","960.0","1,116.0","1,335.0","1,554.0","1,704.0","2,958.0","3,241.0","3,129.0","3,219.0","3,403.0","4,034.0","4,783.0","5,043.0","5,023.0","5,282.0","6,056.0","6,458.0","7,782.0"
"150","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRC1","10,082.0","11,089.0","12,329.0","13,615.0","14,629.0","16,433.0","18,050.0","20,069.0","21,791.0","24,473.0","27,799.0","31,888.0","36,264.0","40,090.0","42,908.0","47,591.0","50,346.0","55,367.0","58,532.0","66,761.0","71,716.0","79,614.0","84,245.0","92,343.0","94,622.0","102,369.0","107,170.0","115,715.0","112,248.0","130,995.0","145,407.0","165,368.0","186,204.0","205,005.0","211,815.0","210,013.0","214,075.0","240,350.0","254,170.0","278,822.0","258,858.0"
"151","133","  Gross output of nonprofit institutions \29\","DNPERC1","34,648.0","38,706.0","43,395.0","48,154.0","52,706.0","59,739.0","68,230.0","77,397.0","86,316.0","98,114.0","111,035.0","127,955.0","147,774.0","165,931.0","181,368.0","196,640.0","211,717.0","230,055.0","249,698.0","278,987.0","304,917.0","338,190.0","367,010.0","400,799.0","423,303.0","444,684.0","463,386.0","488,806.0","509,284.0","550,547.0","585,277.0","631,979.0","688,012.0","749,684.0","785,843.0","827,716.0","874,632.0","933,608.0","985,585.0","1,037,638.0","1,058,079.0"
"152","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRC1","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,028.0","617,703.0","660,557.0","693,258.0","731,415.0","758,816.0","799,221.0"
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","7. Consists of dishes, flatware, and non-electric cookware and tableware.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","8. Consists of household supplies; domestic services; moving, storage and freight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
