"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"45","26","Less: Personal current taxes","W055RC1","102,602.0","105,660.0","104,139.0","105,623.0","104,573.0","105,512.0","100,657.0","101,538.0","98,331.0","100,714.0","102,307.0","105,468.0","119,785.0","123,370.0","124,277.0","127,128.0","126,399.0","129,181.0","134,089.0","139,959.0","142,792.0","148,902.0","154,911.0","157,587.0","157,988.0","121,068.0","152,831.0","158,541.0","162,140.0","168,974.0","175,765.0","182,353.0","188,438.0","195,331.0","198,191.0","208,116.0","211,744.0","222,832.0","236,046.0","246,966.0","253,378.0","261,751.0","274,580.0","284,955.0","284,168.0","291,517.0","301,538.0","318,197.0","330,283.0","342,057.0","356,272.0","352,048.0","351,882.0","359,102.0","349,516.0","355,940.0","350,319.0","358,999.0","344,878.0","355,104.0","360,670.0","369,940.0","383,606.0","395,432.0","431,811.0","388,050.0","421,053.0","428,442.0","425,715.0","428,828.0","438,878.0","455,447.0","450,203.0","511,142.0","488,447.0","506,440.0","501,055.0","496,811.0","505,668.0","516,218.0","551,253.0","565,037.0","569,937.0","578,153.0","580,547.0","592,621.0","598,766.0","598,898.0","578,489.0","583,698.0","587,957.0","596,356.0","586,542.0","604,866.0","613,858.0","636,858.0","614,567.0","641,342.0","656,970.0","673,253.0","671,064.0","695,266.0","692,803.0","702,883.0","720,005.0","742,222.0","747,685.0","765,680.0","796,545.0","834,409.0","838,438.0","858,428.0","896,442.0","910,515.0","935,439.0","962,208.0","990,115.0","1,016,355.0","1,037,222.0","1,062,016.0","1,073,520.0","1,090,773.0","1,116,233.0","1,149,578.0","1,204,669.0","1,226,085.0","1,243,640.0","1,254,642.0","1,297,621.0","1,304,479.0","1,109,544.0","1,227,684.0","1,068,351.0","1,045,328.0","1,046,313.0","1,041,680.0","1,021,277.0","1,018,092.0","945,204.0","1,016,815.0","1,009,312.0","1,026,361.0","1,064,699.0","1,090,912.0","1,164,234.0","1,192,330.0","1,224,030.0","1,253,762.0","1,321,498.0","1,340,233.0","1,354,334.0","1,393,543.0","1,458,748.0","1,480,363.0","1,497,502.0","1,518,015.0","1,536,028.0","1,351,769.0","1,432,065.0","1,422,750.0","1,198,032.0","1,120,321.0","1,120,622.0","1,126,433.0","1,146,445.0","1,175,368.0","1,212,803.0","1,240,880.0","1,365,862.0","1,394,486.0"
"46","27","Equals: Disposable personal income","A067RC1","648,447.0","663,391.0","685,221.0","698,231.0","709,845.0","730,282.0","747,355.0","754,561.0","776,823.0","797,441.0","808,833.0","822,460.0","836,359.0","849,115.0","874,126.0","916,375.0","938,011.0","965,613.0","988,169.0","1,020,755.0","1,035,015.0","1,055,188.0","1,087,033.0","1,109,553.0","1,125,907.0","1,192,956.0","1,198,835.0","1,231,318.0","1,263,260.0","1,284,389.0","1,315,681.0","1,346,062.0","1,371,449.0","1,410,802.0","1,453,578.0","1,504,109.0","1,538,556.0","1,588,239.0","1,629,347.0","1,673,176.0","1,723,300.0","1,757,930.0","1,811,792.0","1,870,421.0","1,931,784.0","1,951,360.0","2,017,493.0","2,110,007.0","2,157,358.0","2,193,620.0","2,279,068.0","2,318,398.0","2,350,448.0","2,389,446.0","2,437,624.0","2,473,308.0","2,514,289.0","2,555,931.0","2,628,521.0","2,700,645.0","2,789,515.0","2,865,141.0","2,932,406.0","2,978,763.0","3,003,135.0","3,085,584.0","3,085,983.0","3,142,578.0","3,202,927.0","3,241,375.0","3,282,402.0","3,308,485.0","3,372,973.0","3,365,857.0","3,461,474.0","3,540,936.0","3,616,058.0","3,689,952.0","3,764,277.0","3,834,924.0","3,925,273.0","3,960,831.0","4,008,276.0","4,071,124.0","4,163,997.0","4,236,688.0","4,293,858.0","4,321,516.0","4,362,482.0","4,422,104.0","4,465,148.0","4,529,764.0","4,634,133.0","4,701,930.0","4,756,800.0","4,854,056.0","4,805,917.0","4,908,382.0","4,936,176.0","5,035,985.0","5,035,657.0","5,148,838.0","5,229,014.0","5,323,730.0","5,387,201.0","5,419,112.0","5,482,694.0","5,539,025.0","5,630,766.0","5,728,295.0","5,803,572.0","5,875,851.0","5,959,115.0","6,019,917.0","6,106,086.0","6,213,242.0","6,357,578.0","6,463,426.0","6,553,210.0","6,621,580.0","6,687,366.0","6,740,847.0","6,819,949.0","6,965,074.0","7,174,942.0","7,280,488.0","7,400,569.0","7,452,706.0","7,561,387.0","7,576,768.0","7,771,092.0","7,684,598.0","7,909,908.0","8,015,412.0","8,028,273.0","8,085,149.0","8,173,180.0","8,302,960.0","8,473,510.0","8,561,489.0","8,670,475.0","8,820,725.0","8,934,362.0","9,132,140.0","9,074,319.0","9,194,398.0","9,353,450.0","9,487,056.0","9,705,169.0","9,863,792.0","9,982,534.0","10,111,212.0","10,255,508.0","10,358,590.0","10,456,893.0","10,623,401.0","10,879,565.0","11,219,967.0","11,081,205.0","10,917,275.0","10,766,341.0","10,823,760.0","10,753,517.0","10,811,743.0","10,991,279.0","11,150,247.0","11,240,418.0","11,336,715.0","11,480,996.0","11,600,367.0"
"47","28","Less: Personal outlays","A068RC1","603,836.0","615,911.0","626,615.0","639,084.0","650,543.0","660,805.0","673,005.0","679,990.0","699,393.0","713,920.0","726,888.0","743,679.0","761,478.0","780,585.0","799,468.0","824,623.0","849,475.0","865,620.0","884,495.0","901,223.0","918,294.0","947,344.0","976,947.0","987,455.0","1,015,010.0","1,043,982.0","1,078,513.0","1,107,731.0","1,141,185.0","1,160,991.0","1,190,824.0","1,225,210.0","1,261,982.0","1,291,042.0","1,323,179.0","1,362,530.0","1,394,136.0","1,453,384.0","1,485,876.0","1,526,425.0","1,562,805.0","1,604,518.0","1,660,469.0","1,705,839.0","1,758,172.0","1,760,081.0","1,818,421.0","1,888,735.0","1,949,021.0","1,983,120.0","2,025,914.0","2,043,401.0","2,084,879.0","2,114,839.0","2,165,549.0","2,229,901.0","2,272,295.0","2,339,263.0","2,412,568.0","2,467,549.0","2,515,238.0","2,576,794.0","2,618,477.0","2,670,265.0","2,746,105.0","2,795,239.0","2,865,597.0","2,896,070.0","2,941,603.0","2,974,540.0","3,046,393.0","3,086,875.0","3,119,452.0","3,186,123.0","3,253,615.0","3,288,291.0","3,370,796.0","3,431,831.0","3,500,373.0","3,575,764.0","3,634,384.0","3,700,310.0","3,760,150.0","3,810,753.0","3,897,402.0","3,952,108.0","4,018,676.0","4,041,091.0","4,059,197.0","4,114,328.0","4,160,793.0","4,192,422.0","4,290,597.0","4,344,224.0","4,423,836.0","4,495,993.0","4,537,275.0","4,604,945.0","4,668,064.0","4,734,611.0","4,806,172.0","4,870,133.0","4,952,826.0","5,025,394.0","5,059,902.0","5,138,070.0","5,209,425.0","5,275,622.0","5,353,599.0","5,451,298.0","5,512,024.0","5,597,000.0","5,682,787.0","5,725,241.0","5,839,768.0","5,928,866.0","5,987,162.0","6,108,062.0","6,210,309.0","6,324,340.0","6,400,896.0","6,540,928.0","6,653,919.0","6,786,376.0","6,955,079.0","7,053,966.0","7,171,523.0","7,275,745.0","7,353,226.0","7,414,898.0","7,448,108.0","7,557,948.0","7,596,163.0","7,694,022.0","7,781,256.0","7,838,468.0","7,922,244.0","8,011,986.0","8,166,657.0","8,251,610.0","8,387,668.0","8,489,906.0","8,621,106.0","8,786,033.0","8,914,818.0","9,060,575.0","9,230,153.0","9,330,956.0","9,471,434.0","9,600,826.0","9,734,805.0","9,829,167.0","9,983,794.0","10,121,556.0","10,234,083.0","10,360,057.0","10,424,525.0","10,529,358.0","10,538,421.0","10,236,336.0","10,155,195.0","10,153,446.0","10,285,283.0","10,351,215.0","10,457,153.0","10,526,958.0","10,614,775.0","10,748,646.0","10,902,058.0","10,992,600.0"
"48","29","  Personal consumption expenditures","DPCERC1","588,443.0","599,810.0","610,129.0","622,128.0","633,204.0","643,146.0","655,083.0","661,787.0","680,809.0","694,862.0","707,279.0","723,502.0","740,875.0","759,406.0","777,934.0","802,711.0","827,303.0","842,909.0","861,353.0","876,472.0","894,660.0","923,204.0","952,002.0","961,838.0","988,078.0","1,016,845.0","1,050,630.0","1,079,591.0","1,113,375.0","1,133,042.0","1,162,427.0","1,196,170.0","1,231,661.0","1,259,667.0","1,290,867.0","1,329,097.0","1,359,078.0","1,416,706.0","1,447,739.0","1,486,962.0","1,522,584.0","1,563,196.0","1,617,680.0","1,661,199.0","1,707,955.0","1,710,038.0","1,768,722.0","1,836,591.0","1,892,399.0","1,923,951.0","1,963,424.0","1,978,219.0","2,016,169.0","2,042,679.0","2,090,696.0","2,152,427.0","2,192,241.0","2,256,377.0","2,326,528.0","2,379,161.0","2,425,486.0","2,484,127.0","2,522,758.0","2,571,970.0","2,643,442.0","2,687,420.0","2,755,851.0","2,783,735.0","2,827,237.0","2,859,187.0","2,930,635.0","2,969,914.0","3,004,750.0","3,071,877.0","3,138,264.0","3,172,952.0","3,253,507.0","3,313,020.0","3,380,394.0","3,453,317.0","3,507,724.0","3,569,989.0","3,626,753.0","3,673,508.0","3,758,718.0","3,811,849.0","3,875,207.0","3,896,024.0","3,909,742.0","3,963,292.0","4,008,695.0","4,038,575.0","4,140,147.0","4,193,515.0","4,267,652.0","4,346,246.0","4,384,909.0","4,452,115.0","4,516,277.0","4,581,056.0","4,650,404.0","4,709,848.0","4,786,316.0","4,856,664.0","4,888,650.0","4,957,494.0","5,022,885.0","5,080,087.0","5,156,543.0","5,248,780.0","5,304,411.0","5,384,689.0","5,467,062.0","5,503,981.0","5,613,341.0","5,698,114.0","5,757,518.0","5,870,215.0","5,967,995.0","6,078,213.0","6,157,445.0","6,289,967.0","6,398,875.0","6,524,861.0","6,682,986.0","6,775,651.0","6,881,730.0","6,981,120.0","7,058,139.0","7,118,678.0","7,151,248.0","7,267,166.0","7,308,976.0","7,403,386.0","7,491,203.0","7,553,191.0","7,645,887.0","7,727,369.0","7,881,966.0","7,961,235.0","8,098,063.0","8,193,925.0","8,316,480.0","8,473,822.0","8,591,931.0","8,730,343.0","8,895,769.0","8,996,064.0","9,126,165.0","9,249,269.0","9,371,716.0","9,456,838.0","9,601,691.0","9,720,947.0","9,817,723.0","9,948,725.0","10,018,512.0","10,126,485.0","10,135,780.0","9,861,309.0","9,781,716.0","9,781,637.0","9,911,080.0","9,990,035.0","10,103,669.0","10,184,772.0","10,276,582.0","10,417,057.0","10,571,665.0","10,666,978.0"
"49","30","  Personal interest payments \3\","B069RC1","13,326.0","13,815.0","14,222.0","14,601.0","14,857.0","15,060.0","15,339.0","15,599.0","15,945.0","16,340.0","16,722.0","17,197.0","17,578.0","18,026.0","18,343.0","18,617.0","19,157.0","19,643.0","20,042.0","20,378.0","20,322.0","20,757.0","21,473.0","22,060.0","23,280.0","23,517.0","23,867.0","24,104.0","23,538.0","23,686.0","23,975.0","24,421.0","25,610.0","26,542.0","27,440.0","28,485.0","29,969.0","31,276.0","32,669.0","33,698.0","34,534.0","35,547.0","36,699.0","38,024.0","43,687.0","43,353.0","42,692.0","44,755.0","45,781.0","47,932.0","50,746.0","52,888.0","55,615.0","58,479.0","60,792.0","63,094.0","65,898.0","68,030.0","70,479.0","72,450.0","73,337.0","75,707.0","78,599.0","80,522.0","84,389.0","89,435.0","90,602.0","93,130.0","94,141.0","94,764.0","94,537.0","94,586.0","92,570.0","91,380.0","91,449.0","91,353.0","92,414.0","93,340.0","94,381.0","95,849.0","99,592.0","102,599.0","105,323.0","107,930.0","109,359.0","110,581.0","112,271.0","112,981.0","114,772.0","115,133.0","114,933.0","114,986.0","113,928.0","112,329.0","110,499.0","108,388.0","108,055.0","107,802.0","105,791.0","106,336.0","107,161.0","110,723.0","116,242.0","117,878.0","120,461.0","129,292.0","133,491.0","139,048.0","141,604.0","145,228.0","149,438.0","152,962.0","153,382.0","158,113.0","162,260.0","164,961.0","163,713.0","169,764.0","171,937.0","172,402.0","169,766.0","174,649.0","177,852.0","183,749.0","190,111.0","195,557.0","206,018.0","209,546.0","206,146.0","205,648.0","204,701.0","198,445.0","191,996.0","194,814.0","192,388.0","185,898.0","177,727.0","183,990.0","185,004.0","183,955.0","181,543.0","185,674.0","193,093.0","200,846.0","203,768.0","210,990.0","214,930.0","213,648.0","223,918.0","223,721.0","233,516.0","239,173.0","244,396.0","260,572.0","273,376.0","265,224.0","256,892.0","250,730.0","247,949.0","226,921.0","220,455.0","217,564.0","216,600.0","200,069.0","188,258.0","174,427.0","168,088.0","162,667.0","160,289.0","154,490.0"
"50","31","  Personal current transfer payments","W211RC1","2,067.0","2,286.0","2,264.0","2,355.0","2,482.0","2,599.0","2,583.0","2,604.0","2,639.0","2,718.0","2,887.0","2,980.0","3,025.0","3,153.0","3,191.0","3,295.0","3,015.0","3,068.0","3,100.0","4,373.0","3,312.0","3,383.0","3,472.0","3,557.0","3,652.0","3,620.0","4,016.0","4,036.0","4,272.0","4,263.0","4,422.0","4,619.0","4,711.0","4,833.0","4,872.0","4,948.0","5,089.0","5,402.0","5,468.0","5,765.0","5,687.0","5,775.0","6,090.0","6,616.0","6,530.0","6,690.0","7,007.0","7,389.0","10,841.0","11,237.0","11,744.0","12,294.0","13,095.0","13,681.0","14,061.0","14,380.0","14,156.0","14,856.0","15,561.0","15,938.0","16,415.0","16,960.0","17,120.0","17,773.0","18,274.0","18,384.0","19,144.0","19,205.0","20,225.0","20,589.0","21,221.0","22,375.0","22,132.0","22,866.0","23,902.0","23,986.0","24,875.0","25,471.0","25,598.0","26,598.0","27,068.0","27,722.0","28,074.0","29,315.0","29,325.0","29,678.0","31,198.0","32,086.0","34,683.0","35,903.0","37,165.0","38,861.0","36,522.0","38,380.0","45,685.0","41,359.0","44,311.0","45,028.0","45,996.0","47,219.0","48,607.0","49,562.0","50,268.0","50,852.0","50,791.0","51,284.0","53,049.0","56,487.0","55,452.0","57,290.0","58,175.0","59,349.0","62,343.0","63,147.0","64,167.0","65,791.0","65,931.0","68,083.0","70,377.0","73,725.0","73,685.0","76,312.0","77,192.0","77,766.0","81,982.0","82,758.0","83,775.0","85,079.0","88,941.0","90,572.0","92,159.0","92,337.0","95,191.0","95,822.0","97,665.0","99,379.0","98,630.0","100,627.0","99,687.0","106,420.0","108,062.0","110,307.0","111,533.0","111,365.0","119,119.0","119,242.0","119,454.0","121,244.0","121,351.0","127,836.0","129,573.0","133,156.0","137,707.0","140,037.0","142,984.0","146,108.0","149,121.0","152,143.0","154,692.0","148,106.0","153,024.0","154,245.0","157,603.0","161,111.0","165,226.0","167,759.0","170,105.0","168,922.0","170,104.0","171,132.0"
"51","32","    To government","W062RC1","1,075.0","1,106.0","1,144.0","1,187.0","1,222.0","1,259.0","1,299.0","1,344.0","1,371.0","1,422.0","1,479.0","1,548.0","1,673.0","1,765.0","1,831.0","1,875.0","1,831.0","1,820.0","1,828.0","1,861.0","1,940.0","2,015.0","2,108.0","2,209.0","2,304.0","2,424.0","2,556.0","2,688.0","2,828.0","2,959.0","3,082.0","3,203.0","3,307.0","3,421.0","3,516.0","3,620.0","3,705.0","3,802.0","3,908.0","4,009.0","4,139.0","4,259.0","4,386.0","4,528.0","4,642.0","4,830.0","5,047.0","5,289.0","5,612.0","5,856.0","6,075.0","6,261.0","6,691.0","6,924.0","7,187.0","7,462.0","7,720.0","7,988.0","8,277.0","8,535.0","8,779.0","9,055.0","9,306.0","9,532.0","9,863.0","10,220.0","10,607.0","11,010.0","11,344.0","11,720.0","12,055.0","12,717.0","12,662.0","12,911.0","13,507.0","13,696.0","14,153.0","14,759.0","15,071.0","15,401.0","15,921.0","16,293.0","16,677.0","17,081.0","17,275.0","17,876.0","18,658.0","19,599.0","20,927.0","22,068.0","23,111.0","24,178.0","24,987.0","25,777.0","26,383.0","26,833.0","28,042.0","28,331.0","28,682.0","29,221.0","30,114.0","30,696.0","31,182.0","31,576.0","31,883.0","32,343.0","32,886.0","33,480.0","34,027.0","34,633.0","35,235.0","35,829.0","37,240.0","38,019.0","38,583.0","38,954.0","39,052.0","39,340.0","39,996.0","41,064.0","42,288.0","43,516.0","44,672.0","45,772.0","46,936.0","48,128.0","49,340.0","50,596.0","51,536.0","52,456.0","53,388.0","54,304.0","55,172.0","55,996.0","56,788.0","57,564.0","58,088.0","59,280.0","60,740.0","62,496.0","64,580.0","66,164.0","67,508.0","68,616.0","70,180.0","71,048.0","71,832.0","72,584.0","74,576.0","75,668.0","76,892.0","78,392.0","80,099.0","81,419.0","83,032.0","84,930.0","84,341.0","84,431.0","84,891.0","85,741.0","86,858.0","88,252.0","89,800.0","91,510.0","93,360.0","94,815.0","95,844.0","96,461.0","96,643.0","97,102.0"
"52","33","    To the rest of the world (net)","B070RC1","992.0","1,180.0","1,120.0","1,168.0","1,260.0","1,340.0","1,284.0","1,260.0","1,268.0","1,296.0","1,408.0","1,432.0","1,352.0","1,388.0","1,360.0","1,420.0","1,184.0","1,248.0","1,272.0","2,512.0","1,372.0","1,368.0","1,364.0","1,348.0","1,348.0","1,196.0","1,460.0","1,348.0","1,444.0","1,304.0","1,340.0","1,416.0","1,404.0","1,412.0","1,356.0","1,328.0","1,384.0","1,600.0","1,560.0","1,756.0","1,548.0","1,516.0","1,704.0","2,088.0","1,888.0","1,860.0","1,960.0","2,100.0","5,229.0","5,381.0","5,669.0","6,033.0","6,404.0","6,757.0","6,874.0","6,918.0","6,436.0","6,868.0","7,284.0","7,403.0","7,636.0","7,905.0","7,814.0","8,241.0","8,411.0","8,164.0","8,537.0","8,195.0","8,881.0","8,869.0","9,166.0","9,658.0","9,470.0","9,955.0","10,395.0","10,290.0","10,722.0","10,712.0","10,527.0","11,197.0","11,147.0","11,429.0","11,397.0","12,234.0","12,050.0","11,802.0","12,540.0","12,487.0","13,756.0","13,835.0","14,054.0","14,683.0","11,535.0","12,603.0","19,302.0","14,526.0","16,269.0","16,697.0","17,314.0","17,998.0","18,493.0","18,866.0","19,086.0","19,276.0","18,908.0","18,941.0","20,163.0","23,007.0","21,425.0","22,657.0","22,940.0","23,520.0","25,103.0","25,128.0","25,584.0","26,837.0","26,879.0","28,743.0","30,381.0","32,661.0","31,397.0","32,796.0","32,520.0","31,994.0","35,046.0","34,630.0","34,435.0","34,483.0","37,405.0","38,116.0","38,771.0","38,033.0","40,019.0","39,826.0","40,877.0","41,815.0","40,542.0","41,347.0","38,947.0","43,924.0","43,482.0","44,143.0","44,025.0","42,749.0","48,939.0","48,194.0","47,622.0","48,660.0","46,775.0","52,168.0","52,681.0","54,764.0","57,608.0","58,618.0","59,952.0","61,178.0","64,780.0","67,712.0","69,801.0","62,365.0","66,166.0","65,993.0","67,803.0","69,601.0","71,866.0","72,944.0","74,261.0","72,461.0","73,461.0","74,030.0"
"53","34","Equals: Personal saving","A071RC1","44,611.0","47,480.0","58,606.0","59,147.0","59,302.0","69,477.0","74,350.0","74,571.0","77,430.0","83,521.0","81,945.0","78,781.0","74,881.0","68,530.0","74,658.0","91,752.0","88,536.0","99,993.0","103,674.0","119,532.0","116,721.0","107,844.0","110,086.0","122,098.0","110,897.0","148,974.0","120,322.0","123,587.0","122,075.0","123,398.0","124,857.0","120,852.0","109,467.0","119,760.0","130,399.0","141,579.0","144,420.0","134,855.0","143,471.0","146,751.0","160,495.0","153,412.0","151,323.0","164,582.0","173,612.0","191,279.0","199,072.0","221,272.0","208,337.0","210,500.0","253,154.0","274,997.0","265,569.0","274,607.0","272,075.0","243,407.0","241,994.0","216,668.0","215,953.0","233,096.0","274,277.0","288,347.0","313,929.0","308,498.0","257,030.0","290,345.0","220,386.0","246,508.0","261,324.0","266,835.0","236,009.0","221,610.0","253,521.0","179,734.0","207,859.0","252,645.0","245,262.0","258,121.0","263,904.0","259,160.0","290,889.0","260,521.0","248,126.0","260,371.0","266,595.0","284,580.0","275,182.0","280,425.0","303,285.0","307,776.0","304,355.0","337,342.0","343,536.0","357,706.0","332,964.0","358,063.0","268,642.0","303,437.0","268,112.0","301,374.0","229,485.0","278,705.0","276,188.0","298,336.0","327,299.0","281,042.0","273,269.0","263,403.0","277,167.0","276,997.0","291,548.0","278,851.0","276,328.0","294,676.0","266,318.0","284,376.0","370,416.0","355,364.0","342,901.0","297,240.0","286,470.0","199,919.0","166,030.0","178,698.0","219,863.0","226,522.0","229,046.0","176,961.0","208,161.0","161,870.0","322,984.0","126,650.0","313,745.0","321,390.0","247,017.0","246,681.0","250,936.0","290,974.0","306,853.0","309,879.0","282,807.0","330,819.0","313,256.0","346,107.0","159,501.0","133,823.0","123,297.0","156,100.0","233,735.0","262,966.0","247,729.0","282,045.0","271,714.0","237,034.0","222,810.0","263,344.0","455,040.0","690,609.0","542,784.0","680,939.0","611,146.0","670,314.0","468,234.0","460,528.0","534,126.0","623,289.0","625,643.0","588,069.0","578,938.0","607,767.0"
"54","35","  Personal saving as a percentage of disposable personal income","A072RC1","6.9","7.2","8.6","8.5","8.4","9.5","9.9","9.9","10.0","10.5","10.1","9.6","9.0","8.1","8.5","10.0","9.4","10.4","10.5","11.7","11.3","10.2","10.1","11.0","9.8","12.5","10.0","10.0","9.7","9.6","9.5","9.0","8.0","8.5","9.0","9.4","9.4","8.5","8.8","8.8","9.3","8.7","8.4","8.8","9.0","9.8","9.9","10.5","9.7","9.6","11.1","11.9","11.3","11.5","11.2","9.8","9.6","8.5","8.2","8.6","9.8","10.1","10.7","10.4","8.6","9.4","7.1","7.8","8.2","8.2","7.2","6.7","7.5","5.3","6.0","7.1","6.8","7.0","7.0","6.8","7.4","6.6","6.2","6.4","6.4","6.7","6.4","6.5","7.0","7.0","6.8","7.4","7.4","7.6","7.0","7.4","5.6","6.2","5.4","6.0","4.6","5.4","5.3","5.6","6.1","5.2","5.0","4.8","4.9","4.8","5.0","4.7","4.6","4.9","4.4","4.6","5.8","5.5","5.2","4.5","4.3","3.0","2.4","2.6","3.1","3.1","3.1","2.4","2.8","2.1","4.2","1.6","4.0","4.0","3.1","3.1","3.1","3.5","3.6","3.6","3.3","3.8","3.5","3.8","1.8","1.5","1.3","1.6","2.4","2.7","2.5","2.8","2.6","2.3","2.1","2.5","4.2","6.2","4.9","6.2","5.7","6.2","4.4","4.3","4.9","5.6","5.6","5.2","5.0","5.2"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","  Personal income excluding current transfer receipts, millions of chained (2005) dollars \4\","W875RX1","3,111,955.0","3,147,869.0","3,192,827.0","3,212,904.0","3,213,855.0","3,227,058.0","3,246,241.0","3,222,638.0","3,262,970.0","3,289,147.0","3,309,587.0","3,349,636.0","3,414,270.0","3,456,708.0","3,523,204.0","3,629,103.0","3,655,458.0","3,691,085.0","3,719,401.0","3,772,020.0","3,703,981.0","3,664,342.0","3,669,780.0","3,637,462.0","3,586,959.0","3,588,980.0","3,629,092.0","3,676,399.0","3,731,466.0","3,788,729.0","3,823,844.0","3,865,006.0","3,879,648.0","3,941,927.0","3,994,415.0","4,094,167.0","4,117,543.0","4,188,362.0","4,232,551.0","4,283,374.0","4,330,187.0","4,307,336.0","4,322,996.0","4,364,870.0","4,350,792.0","4,294,105.0","4,289,731.0","4,405,140.0","4,405,413.0","4,421,674.0","4,508,830.0","4,503,909.0","4,498,339.0","4,525,544.0","4,496,233.0","4,495,274.0","4,515,828.0","4,554,102.0","4,606,636.0","4,713,503.0","4,816,039.0","4,908,945.0","5,005,350.0","5,059,222.0","5,090,362.0","5,113,251.0","5,127,749.0","5,188,343.0","5,225,597.0","5,280,812.0","5,313,860.0","5,341,207.0","5,357,112.0","5,387,430.0","5,444,677.0","5,544,569.0","5,578,219.0","5,618,270.0","5,665,557.0","5,721,427.0","5,802,292.0","5,787,526.0","5,818,483.0","5,858,630.0","5,876,729.0","5,916,881.0","5,916,377.0","5,852,898.0","5,811,336.0","5,837,053.0","5,843,566.0","5,857,300.0","5,898,798.0","5,946,284.0","5,974,693.0","6,087,370.0","5,942,717.0","6,068,045.0","6,084,245.0","6,192,494.0","6,148,053.0","6,281,340.0","6,321,942.0","6,395,132.0","6,430,172.0","6,447,275.0","6,495,739.0","6,562,991.0","6,636,990.0","6,731,670.0","6,800,752.0","6,861,964.0","6,949,127.0","7,018,613.0","7,121,501.0","7,243,860.0","7,427,807.0","7,556,582.0","7,655,518.0","7,726,911.0","7,767,986.0","7,801,165.0","7,864,700.0","8,011,792.0","8,220,596.0","8,296,078.0","8,385,057.0","8,394,485.0","8,454,652.0","8,403,073.0","8,394,783.0","8,377,338.0","8,401,613.0","8,401,206.0","8,364,978.0","8,367,502.0","8,362,353.0","8,473,931.0","8,499,485.0","8,623,868.0","8,624,640.0","8,715,203.0","8,810,244.0","8,946,150.0","8,867,452.0","8,937,149.0","9,017,094.0","9,086,952.0","9,291,429.0","9,367,828.0","9,407,401.0","9,560,675.0","9,603,335.0","9,643,449.0","9,679,492.0","9,723,367.0","9,843,651.0","9,752,645.0","9,654,400.0","9,599,716.0","9,182,226.0","8,993,771.0","8,861,276.0","8,845,452.0","8,933,368.0","9,086,538.0","9,145,665.0","9,166,692.0","9,329,803.0","9,369,052.0"
