"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"68","49","  Imports","A021RX1","1,466,883.0","1,509,024.0","1,565,243.0","1,603,779.0","1,668,146.0","1,719,607.0","1,779,038.0","1,778,071.0","1,748,467.0","1,696,812.0","1,662,797.0","1,639,787.0","1,686,901.0","1,739,799.0","1,765,579.0","1,802,902.0","1,777,883.0","1,805,929.0","1,829,111.0","1,894,600.0","1,952,748.0","2,033,040.0","2,053,575.0","2,101,999.0","2,126,795.0","2,151,177.0","2,156,887.0","2,222,003.0","2,269,940.0","2,297,607.0","2,315,226.0","2,321,390.0","2,358,684.0","2,369,376.0","2,368,712.0","2,339,274.0","2,361,633.0","2,340,397.0","2,293,036.0","2,199,514.0","1,986,668.0","1,905,707.0","1,976,984.0","2,063,350.0","2,116,938.0","2,217,774.0","2,295,953.0","2,310,735.0","2,328,482.0","2,345,931.0","2,364,918.0","2,391,348.0","2,405,292.0","2,417,038.0","2,420,852.0","2,397,781.0","2,402,553.0","2,434,676.0","2,449,372.0","2,455,738.0","2,472,673.0","2,530,125.0","2,525,116.0","2,587,521.0","2,632,515.0","2,652,108.0","2,667,161.0","2,674,289.0"
"69","50","    Goods","A255RX1","1,222,453.0","1,264,968.0","1,314,151.0","1,346,108.0","1,399,300.0","1,439,388.0","1,488,751.0","1,494,177.0","1,467,092.0","1,410,490.0","1,383,689.0","1,372,369.0","1,398,090.0","1,457,562.0","1,483,797.0","1,504,915.0","1,487,566.0","1,526,766.0","1,530,688.0","1,586,979.0","1,631,020.0","1,698,191.0","1,722,385.0","1,764,959.0","1,787,521.0","1,805,756.0","1,810,000.0","1,868,273.0","1,900,075.0","1,924,557.0","1,944,891.0","1,931,877.0","1,965,109.0","1,970,700.0","1,968,389.0","1,939,279.0","1,950,089.0","1,932,383.0","1,883,827.0","1,785,146.0","1,594,126.0","1,515,578.0","1,585,107.0","1,666,365.0","1,719,441.0","1,814,159.0","1,880,372.0","1,893,016.0","1,917,685.0","1,921,296.0","1,931,849.0","1,957,751.0","1,969,930.0","1,978,132.0","1,981,220.0","1,959,418.0","1,964,661.0","1,990,362.0","2,003,268.0","2,006,827.0","2,029,854.0","2,078,398.0","2,074,089.0","2,123,752.0","2,161,120.0","2,178,373.0","2,186,003.0","2,189,533.0"
"70","51","    Services","B656RX1","241,056.0","240,275.0","246,995.0","253,432.0","264,529.0","276,015.0","285,983.0","279,087.0","276,798.0","282,722.0","275,459.0","263,521.0","285,000.0","278,051.0","277,515.0","293,811.0","286,231.0","275,042.0","293,968.0","303,137.0","317,091.0","330,076.0","326,357.0","332,077.0","334,192.0","340,295.0","341,735.0","348,205.0","364,695.0","367,741.0","364,688.0","384,783.0","388,714.0","393,962.0","395,668.0","395,637.0","407,791.0","404,198.0","406,771.0","414,215.0","392,624.0","390,045.0","391,940.0","396,925.0","397,195.0","402,747.0","414,578.0","416,569.0","408,657.0","423,453.0","432,395.0","432,374.0","434,114.0","437,890.0","438,646.0","437,693.0","437,061.0","443,515.0","445,211.0","448,149.0","441,316.0","450,080.0","449,399.0","462,204.0","469,790.0","472,115.0","479,507.0","483,060.0"
"71","52","Government consumption expenditures and gross investment","A822RX1","2,418,145.0","2,431,652.0","2,460,252.0","2,496,734.0","2,476,222.0","2,506,392.0","2,501,218.0","2,508,965.0","2,546,270.0","2,596,404.0","2,594,584.0","2,632,367.0","2,671,272.0","2,696,875.0","2,717,759.0","2,737,143.0","2,728,291.0","2,771,221.0","2,771,238.0","2,786,323.0","2,793,935.0","2,809,923.0","2,820,664.0","2,808,229.0","2,814,091.0","2,818,942.0","2,840,970.0","2,830,703.0","2,853,496.0","2,864,122.0","2,870,426.0","2,889,085.0","2,882,744.0","2,907,034.0","2,928,048.0","2,939,810.0","2,951,988.0","2,974,981.0","3,016,161.0","3,035,882.0","3,040,542.0","3,096,001.0","3,112,999.0","3,106,822.0","3,084,280.0","3,106,209.0","3,103,533.0","3,071,524.0","3,012,216.0","3,008,995.0","2,990,006.0","2,978,279.0","2,963,714.0","2,949,378.0","2,940,856.0","2,912,269.0","2,878,847.0","2,864,083.0","2,848,073.0","2,828,468.0","2,828,374.0","2,836,483.0","2,849,219.0","2,839,009.0","2,838,540.0","2,856,876.0","2,869,709.0","2,874,518.0"
"72","53","  Federal","A823RX1","801,193.0","805,218.0","819,401.0","835,584.0","804,604.0","832,821.0","818,908.0","814,556.0","832,288.0","848,671.0","855,856.0","862,556.0","883,959.0","904,735.0","919,012.0","935,669.0","935,924.0","982,796.0","977,097.0","996,024.0","1,002,952.0","1,012,990.0","1,030,687.0","1,021,834.0","1,027,610.0","1,029,834.0","1,048,615.0","1,033,177.0","1,058,893.0","1,057,705.0","1,057,992.0","1,068,966.0","1,054,526.0","1,071,183.0","1,091,579.0","1,097,497.0","1,115,180.0","1,135,676.0","1,169,055.0","1,189,341.0","1,180,123.0","1,218,865.0","1,235,558.0","1,236,194.0","1,247,792.0","1,273,420.0","1,285,035.0","1,276,361.0","1,241,184.0","1,246,000.0","1,233,265.0","1,225,210.0","1,223,946.0","1,214,832.0","1,216,227.0","1,199,028.0","1,170,075.0","1,153,242.0","1,136,252.0","1,116,908.0","1,117,810.0","1,114,537.0","1,124,650.0","1,108,313.0","1,111,324.0","1,111,316.0","1,111,987.0","1,119,448.0"
"73","54","    National defense","A824RX1","503,580.0","508,852.0","522,568.0","532,780.0","500,943.0","522,790.0","512,597.0","512,668.0","519,598.0","528,369.0","534,156.0","537,845.0","549,861.0","562,836.0","572,383.0","584,128.0","583,678.0","625,318.0","617,257.0","635,479.0","640,853.0","648,000.0","668,379.0","653,383.0","659,101.0","664,630.0","679,066.0","659,280.0","672,588.0","677,967.0","674,248.0","690,474.0","676,611.0","690,992.0","706,889.0","707,974.0","719,719.0","733,619.0","764,491.0","774,458.0","757,499.0","788,445.0","804,888.0","802,272.0","798,588.0","810,997.0","825,896.0","818,621.0","788,396.0","801,286.0","805,088.0","785,271.0","777,916.0","769,200.0","770,756.0","754,732.0","734,421.0","723,621.0","709,449.0","698,841.0","690,613.0","689,794.0","697,348.0","678,579.0","680,294.0","680,787.0","678,377.0","684,378.0"
"74","55","      Consumption expenditures","A997RX1","420,220.0","420,714.0","431,565.0","444,955.0","412,164.0","435,069.0","422,807.0","422,965.0","430,236.0","434,368.0","437,482.0","439,299.0","449,894.0","455,597.0","459,584.0","470,757.0","468,028.0","505,251.0","494,677.0","510,582.0","513,930.0","517,528.0","531,163.0","517,139.0","523,416.0","524,622.0","536,252.0","518,566.0","529,422.0","528,319.0","527,564.0","538,571.0","526,041.0","533,487.0","548,752.0","549,607.0","559,085.0","562,120.0","588,627.0","596,975.0","587,449.0","612,113.0","626,592.0","626,998.0","625,346.0","633,674.0","647,086.0","637,927.0","620,663.0","630,701.0","636,663.0","616,935.0","617,032.0","610,119.0","614,208.0","603,690.0","586,330.0","579,320.0","562,915.0","553,437.0","552,137.0","547,558.0","556,554.0","539,320.0","544,711.0","543,400.0","542,666.0","545,566.0"
"75","56","      Gross investment","A788RX1","86,676.0","90,613.0","93,435.0","91,389.0","90,812.0","90,855.0","92,098.0","92,025.0","92,002.0","96,102.0","98,496.0","100,167.0","101,735.0","108,349.0","113,411.0","114,240.0","116,300.0","121,140.0","123,264.0","125,718.0","127,648.0","131,031.0","137,596.0","136,469.0","136,024.0","140,208.0","143,027.0","140,834.0","143,289.0","149,669.0","146,742.0","151,932.0","150,589.0","157,513.0","158,152.0","158,372.0","160,621.0","171,580.0","175,890.0","177,496.0","170,056.0","176,335.0","178,295.0","175,265.0","173,215.0","177,309.0","178,760.0","180,693.0","167,640.0","170,491.0","168,258.0","168,264.0","160,690.0","158,891.0","156,297.0","150,743.0","147,825.0","143,998.0","146,353.0","145,255.0","138,193.0","142,068.0","140,531.0","139,077.0","135,283.0","137,142.0","135,423.0","138,587.0"
"76","57","    Nondefense","A825RX1","297,585.0","296,407.0","297,012.0","302,993.0","303,475.0","309,969.0","306,212.0","301,881.0","312,552.0","320,116.0","321,547.0","324,539.0","333,880.0","341,682.0","346,441.0","351,388.0","352,105.0","357,484.0","359,802.0","360,554.0","362,115.0","365,014.0","362,444.0","368,493.0","368,561.0","365,266.0","369,621.0","373,970.0","386,400.0","379,804.0","383,835.0","378,530.0","377,967.0","380,222.0","384,705.0","389,572.0","395,517.0","402,114.0","404,453.0","414,813.0","422,641.0","430,420.0","430,668.0","433,908.0","449,159.0","462,357.0","459,131.0","457,723.0","452,732.0","444,701.0","428,215.0","439,919.0","445,993.0","445,594.0","445,430.0","444,238.0","435,579.0","429,539.0","426,691.0","417,990.0","426,976.0","424,551.0","427,138.0","429,415.0","430,709.0","430,219.0","433,220.0","434,722.0"
"77","58","      Consumption expenditures","A542RX1","216,645.0","212,416.0","212,842.0","214,490.0","220,207.0","227,706.0","223,397.0","219,492.0","229,440.0","236,097.0","237,081.0","239,103.0","245,097.0","252,270.0","255,713.0","259,978.0","260,256.0","263,105.0","265,552.0","267,401.0","269,000.0","270,410.0","268,205.0","273,970.0","274,386.0","271,254.0","273,285.0","277,208.0","286,081.0","281,097.0","284,315.0","278,675.0","278,488.0","279,800.0","283,195.0","287,698.0","293,447.0","298,277.0","299,173.0","308,138.0","315,704.0","323,068.0","320,827.0","322,057.0","334,188.0","344,050.0","340,113.0","338,402.0","332,685.0","326,215.0","311,087.0","323,820.0","330,220.0","330,060.0","330,956.0","330,014.0","324,267.0","319,866.0","317,626.0","310,028.0","319,162.0","317,123.0","319,744.0","320,419.0","321,870.0","320,371.0","322,834.0","322,733.0"
"78","59","      Gross investment","A798RX1","80,432.0","82,852.0","83,029.0","86,881.0","82,578.0","82,050.0","82,346.0","81,804.0","82,855.0","83,930.0","84,367.0","85,313.0","88,547.0","89,345.0","90,652.0","91,403.0","91,810.0","94,233.0","94,165.0","93,184.0","93,176.0","94,611.0","94,220.0","94,586.0","94,256.0","94,056.0","96,320.0","96,777.0","100,322.0","98,708.0","99,531.0","99,813.0","99,446.0","100,387.0","101,477.0","101,856.0","102,069.0","103,832.0","105,266.0","106,666.0","106,936.0","107,353.0","109,839.0","111,852.0","114,968.0","118,305.0","119,040.0","119,356.0","120,113.0","118,565.0","117,280.0","116,151.0","115,788.0","115,549.0","114,470.0","114,218.0","111,285.0","109,641.0","109,037.0","107,981.0","107,740.0","107,368.0","107,312.0","108,953.0","108,778.0","109,835.0","110,363.0","112,024.0"
"79","60","  State and local","A829RX1","1,624,453.0","1,634,005.0","1,648,024.0","1,668,053.0","1,680,793.0","1,681,195.0","1,690,962.0","1,703,638.0","1,722,884.0","1,756,793.0","1,747,263.0","1,778,901.0","1,795,902.0","1,799,810.0","1,805,929.0","1,807,931.0","1,798,526.0","1,791,697.0","1,797,960.0","1,792,980.0","1,793,342.0","1,798,968.0","1,791,020.0","1,787,726.0","1,787,606.0","1,790,226.0","1,792,850.0","1,798,625.0","1,794,852.0","1,806,934.0","1,813,027.0","1,820,562.0","1,828,973.0","1,836,373.0","1,836,704.0","1,842,501.0","1,836,850.0","1,839,258.0","1,847,072.0","1,846,564.0","1,860,440.0","1,877,112.0","1,877,438.0","1,870,634.0","1,836,504.0","1,832,792.0","1,818,509.0","1,795,193.0","1,771,051.0","1,763,045.0","1,756,770.0","1,753,072.0","1,739,793.0","1,734,535.0","1,724,696.0","1,713,264.0","1,708,529.0","1,710,380.0","1,711,105.0","1,710,592.0","1,709,599.0","1,720,797.0","1,723,546.0","1,729,334.0","1,725,929.0","1,744,115.0","1,756,176.0","1,753,632.0"
"80","61","    Consumption expenditures","A991RX1","1,313,367.0","1,322,628.0","1,332,740.0","1,341,768.0","1,344,916.0","1,351,517.0","1,358,458.0","1,367,080.0","1,380,639.0","1,394,488.0","1,409,245.0","1,420,930.0","1,431,943.0","1,439,832.0","1,443,761.0","1,442,566.0","1,435,824.0","1,431,657.0","1,427,697.0","1,426,138.0","1,428,276.0","1,431,525.0","1,432,020.0","1,435,066.0","1,436,525.0","1,437,505.0","1,442,487.0","1,443,344.0","1,441,546.0","1,445,080.0","1,452,392.0","1,463,879.0","1,470,052.0","1,474,277.0","1,474,415.0","1,477,687.0","1,473,747.0","1,471,736.0","1,478,572.0","1,485,396.0","1,499,310.0","1,509,550.0","1,510,954.0","1,513,625.0","1,489,579.0","1,477,182.0","1,462,442.0","1,449,638.0","1,435,752.0","1,431,728.0","1,428,015.0","1,426,039.0","1,421,917.0","1,418,655.0","1,416,668.0","1,412,960.0","1,410,470.0","1,410,490.0","1,411,027.0","1,413,554.0","1,416,225.0","1,420,307.0","1,422,410.0","1,424,789.0","1,427,002.0","1,428,522.0","1,433,911.0","1,435,825.0"
"81","62","    Gross investment","A799RX1","311,224.0","311,539.0","315,468.0","326,572.0","336,294.0","329,958.0","332,803.0","336,903.0","342,661.0","363,277.0","338,007.0","358,553.0","364,661.0","360,492.0","362,723.0","366,056.0","363,325.0","360,566.0","371,417.0","367,815.0","365,894.0","368,403.0","359,416.0","352,688.0","351,022.0","352,742.0","350,224.0","355,328.0","353,265.0","362,117.0","360,792.0","356,673.0","358,944.0","362,159.0","362,354.0","364,896.0","363,153.0","367,690.0","368,648.0","361,189.0","361,194.0","367,591.0","366,502.0","356,899.0","346,707.0","355,631.0","356,190.0","345,501.0","335,073.0","331,013.0","328,402.0","326,639.0","317,304.0","315,267.0","307,317.0","299,492.0","297,217.0","299,077.0","299,266.0","296,169.0","292,445.0","299,648.0","300,297.0","303,744.0","298,074.0","314,864.0","321,593.0","317,077.0"
"82","63","Residual","AR05RX1","-237,500.0","-206,600.0","-186,000.0","-184,600.0","-152,400.0","-151,900.0","-147,100.0","-143,300.0","-142,300.0","-157,700.0","-164,300.0","-132,900.0","-130,900.0","-122,400.0","-107,900.0","-111,400.0","-102,800.0","-91,100.0","-73,400.0","-63,700.0","-56,400.0","-50,700.0","-44,000.0","-36,400.0","-33,200.0","-22,200.0","-17,700.0","-19,100.0","-15,100.0","-20,400.0","-20,800.0","-18,600.0","-16,200.0","-17,000.0","-18,700.0","-22,200.0","-26,600.0","-24,000.0","-15,400.0","-11,800.0","-10,000.0","-1,200.0","5,100.0","5,500.0","100.0","-5,600.0","-7,200.0","-11,300.0","-16,500.0","-16,500.0","-28,900.0","-25,800.0","-35,483.0","-38,845.0","-45,968.0","-52,252.0","-47,289.0","-46,338.0","-45,877.0","-44,045.0","-50,975.0","-58,403.0","-68,431.0","-72,552.0","-74,195.0","-78,376.0","-86,054.0","-91,675.0"
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","4. The quantity index for computers can be used to accurately measure the real growth of this component.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","However, because computers exhibit rapid changes in prices relative to other prices in the economy,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","the chained-dollar estimates should not be used to measure the component's relative importance or its",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","contribution to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","5. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","6. Research and development investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","expenditures are included in software investment on line 38.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
