"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151"
"46","36","          Other","M318351",0,0,0,-0.2,0,-0.1,0,-0.1,-0.1,-0.1,0,-0.1,-0.1,0,-0.1,0,0.1,0.1,-0.1,0,0,0.1,0,0,0,0.1,-0.1,0,-0.1,-0.1,0,0.1,0,0,0,0,-0.1,-0.1,-0.1,0,-0.2,-0.1,-0.3,-0.1,0.1,0,-0.2,0,-0.3,0.1,-0.2,0,0,0.4,0,0.2,0.1,0.4,0,0.1,1.8,-2.2,-5.1,-1,-1.8,-0.9,-0.4,3.5,0.4,-1.8,0.7,8.2,0.8,-2.9,-0.7,5,2.4,-5,1.1,0.1,1.5,1.6,7,-3,-3.8,-2.3,-3.5,-0.4,-2,-2.4,-2.7,-1.3,-0.4,-0.2,-0.5,-0.4,-0.2,0.2,-0.1,1.4,1.4,-1.9,-6,0.6,-1.5,-2.1,-2.9,2.7,-2.8,-3.9,-5.4,0.8,-4,-3.8,-0.1,2.9,-1.5,-4.6,-0.9,5,-1.7,-4.2,-1.9,6.5,-1.9,-7.7,-7.4,9.8,-2.4,-6.2,0.4,2.3,-2.4,-6.4,-1.9,7.3,-1.8,-6.2,-5.4,5.8,-0.1,-7.9,-2.5,4.6,-2.6,-4.2,-4.4,10.9
"47","37","        Net purchases of nonproduced assets","M318361",-0.5,-0.2,-0.2,0.1,0,0,0,0,0,-0.1,0,-0.1,-0.6,0,0.1,0,0.1,0.1,-0.1,-0.7,-1.3,-0.3,-1.2,-0.4,-0.9,-3.5,0.1,-1.3,-0.2,-0.1,-0.1,0,-0.2,-0.7,-1.1,-0.3,0,-0.2,-0.9,-0.4,0,-0.8,0.3,-0.1,-0.6,-0.1,-0.7,-1.5,-0.7,0.2,-0.5,-3.1,0.1,-1.3,-3.3,-1,-0.9,-0.2,-0.1,-2.4,0,-3.6,-1.3,0,-0.7,-1.5,-1.1,-0.6,0.1,0,-1.1,-0.1,0,-1.8,0,-1.1,0,0,-0.2,-0.2,0.1,0.6,-0.6,-0.2,0,-0.4,-0.2,-0.2,-0.1,-0.3,-0.3,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,-0.2,0.4,0,0.1,-0.6,-6.9,0,-0.2,0,0.1,-3.7,-0.2,-6.7,-0.4,-0.3,-0.9,-2.8,-1.3,-0.8,-0.5,-0.3,0,-0.1,0,-0.3,0.1,-0.1,-1,-0.3,0.6,0,0.1,0,0.2,0.1,-0.7,-0.2,0.9,-0.2,0,-0.2,0.4,-0.2
"48","38","          Outer Continental Shelf","M318371",-0.6,-0.3,-0.3,0,0,0,0,0,-0.1,-0.1,-0.1,-0.2,-0.6,0,0,0,0,0,-0.1,-0.8,-1.3,-0.3,-1.3,-0.5,-1,-3.6,0,-1.4,-0.3,-0.2,-0.2,-0.1,-0.3,-0.8,-1.1,-0.4,0,-0.3,-0.9,-0.4,0,-0.8,0,-0.3,-0.7,-0.2,-0.8,-1.6,-0.8,0.1,-0.6,-3.1,0,-1.4,-3.3,-1,-0.9,-0.3,-0.1,-2.5,0,-3.7,-1.3,0,-0.7,-1.6,-1.1,-0.7,0,-0.1,-1.2,-0.1,0,-1.9,0,-1.2,-0.1,-0.1,-0.2,-0.2,0,-0.4,-0.6,-0.2,0,-0.4,-0.2,-0.2,-0.1,-0.4,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.3,0.3,-0.1,0,0,0.1,-0.1,-0.1,-0.1,0.2,-0.1,-0.2,-0.1,0.3,-0.2,-0.4,-0.4,0.6,-0.6,-0.2,-0.1,0.8,-0.1,0,-0.3,0.2,-0.2,0,-0.4,0.5,0,0,-0.1,0.1,0,-0.7,-0.3,0.8,-0.2,0,-0.2,0.4,-0.2
"49","39","          Land and other \11\","M318381",0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0,0.1,0,0.1,1,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,-0.6,-7,0.1,-0.1,0.1,-0.1,-3.6,0,-6.6,-0.7,-0.1,-0.5,-2.4,-1.8,-0.2,-0.4,-0.2,-0.8,0,0,0,-0.1,0,-1,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,-0.1
"50","40","        Other \12\","M318391",-0.2,0.4,0.5,-0.1,0.6,-1.2,-0.2,0,0.2,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.1,0.1,-0.5,0,-0.3,0.6,-0.4,-0.2,-0.1,-0.5,-0.3,0,-0.1,0,-0.1,-0.1,0.2,-0.3,-0.1,0,0,0,-0.1,-0.2,0,-0.1,0,0,0.1,0.1,0.1,0,0,0,0.1,0.1,-0.2,-0.1,-0.2,0,-0.3,-0.3,-0.3,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","41","Less: Netting and grossing differences","M318401",-1.2,-1.1,-1.1,-1.3,-1.4,-0.9,-0.9,-1.3,-1.3,-1.1,-0.7,-1.2,-1.1,-1.1,-0.8,-1.6,-1.3,-1.5,-1.1,-1.3,-1.5,-1.4,-1,-1,-1.6,-0.9,-1.5,-1.5,-1.2,-0.9,-1.6,-1.7,-2.3,-0.9,-2.4,-2.4,-3,-2.7,-0.6,-2.6,-2.6,-2.9,-1.1,-3.8,-3.7,-3.6,-1.1,-4.2,-4,-3.9,-0.9,-5.1,-5.5,-5.6,-1.9,-8.4,-8.3,-8.3,-3.6,-8.6,-8.6,-8.9,-4.1,-9.4,-10.1,-10.1,-5.3,-10.7,-10.5,-12.5,-6.9,-12.1,-12.4,-12.3,-7.5,-12.4,-11.9,-11.5,-7,-12.2,-13.6,-13.4,-6.6,-12.6,-13.9,-13.6,-9.6,-12.8,-12.7,-13,-7.4,-16.3,-16.1,-16,-9.4,-15.6,-16.7,-16.4,-9.2,-18.5,-16.9,-17.6,-11.2,-16.6,-17.6,-17.3,-10.6,-17.2,-18,-17.4,-10.7,-16.2,-17.6,-17.3,-11.7,-21.6,-18.5,-17.7,-11.7,-17.4,-18.1,-17.6,-11.4,-18.8,-16.5,-18.1,-12.2,-18.5,-19.2,-19.6,-13.2,-18.4,-19.5,-19.8,-12.2,-19.4,-18.5,-20,-19.1,-19.6,-21.8,-22.6,-20.9,-21.1,-23.4,-23.5,-20.9,-23.2
"52","42","        Supplementary medical insurance premiums","M318411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,-0.7,-0.9,-1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.3,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.5,-1.7,-1.7,-1.7,-2.4,-1.7,-2.4,-2.4,-2.4,-3,-3.1,-3.1,-3.1,-2.8,-2.8,-2.9,-2.9,-3.1,-3.1,-3.1,-3.1,-3.3,-3.4,-3.4,-4.5,-2.8,-4,-4,-4.1,-4.5,-4.6,-4.6,-4.6,-5.2,-5.2,-5.3,-5,-5.1,-4.9,-5,-5,-5.2,-5.1,-5.2,-5.2,-5.2,-5.2,-5.2,-6.7,-4.1,-5.4,-5.4,-5.5,-5.4,-5.5,-5.5,-5.5,-6.1,-6,-6.1,-6.1,-6.6,-6.6,-6.6,-6.7,-7.2,-7.2,-7.3,-7.3,-8.2,-8.2,-8.4,-8.5
"53","43","        Interest receipts","W706MC1",-0.6,-0.6,-0.7,-0.7,-0.5,-0.6,-0.6,-0.7,-0.6,-0.7,-0.6,-0.7,-0.6,-0.7,-0.7,-0.9,-0.7,-0.7,-0.7,-0.9,-0.7,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.9,-0.8,-0.9,-0.9,-1.1,-1,-1,-1.1,-1.1,-1.1,-1.3,-1.3,-1.3,-1.3,-1.6,-1.6,-1.8,-1.7,-1.8,-1.9,-2.1,-1.9,-2.1,-2.3,-2.7,-2.6,-2.7,-3.1,-3.5,-3.6,-3.6,-3.8,-3.8,-3.8,-3.8,-3.9,-4,-4,-4.3,-4.2,-4.1,-4.2,-4.4,-4.9,-5.3,-5.6,-5.5,-5.9,-4.9,-4.4,-4.3,-4.1,-4,-6,-4.6,-4.4,-4.6,-4.1,-4,-4.6,-4.2,-4.3,-4.2,-4.3,-7.1,-5.7,-5.2,-5.3,-4.8,-4.7,-4.6,-4.4,-4.4,-4.1,-3.7,-3.9,-3.4,-3.2,-2.7,-2.9,-2.8,-3,-2.9,-3.1,-3.3,-3.8,-3.4,-4,-3.4,-3.4,-3.1,-3.3,-3,-3,-2.8,-3.1,-3.1,-3.3,-3.2,-3.4,-3.3,-3.8,-3.6,-3.5,-3.3,-3.4,-2.9,-3,-2.9,-2.8,-2.5,-2.8,-2.8,-2.7,-2.8,-2.9,-2.7,-2.2,-1.8,-2.2,-2.2
"54","44","        Current surplus of government enterprises","W707MC1",0.1,0.1,0.2,0,0.1,0.1,0.2,0,0.2,0.5,0.5,0.2,0.5,0.4,0.6,0.1,0.2,0.4,0.4,0.2,0.3,0.6,0.4,0.5,0.4,0.8,0.2,0.3,0.7,1.7,0.6,0.6,0.2,1.7,0.2,0.1,0.2,0.3,2.2,0.2,0.3,0.2,2.1,-0.4,-0.2,-0.1,2.7,-0.1,0,0.1,3.5,-0.1,0,-0.3,3.7,-0.9,-0.7,-0.4,4.2,-0.6,-0.4,-0.4,4.3,-0.5,-0.3,-0.3,4.4,-0.5,-0.4,-0.6,4.4,-1.1,-0.8,-0.9,4.5,-1.2,-0.7,-0.6,4,-0.8,-0.8,-1,4.9,-0.8,-0.9,-1,3.7,-0.3,0.1,-0.2,5.3,-0.1,-1.3,-1.6,5.6,-1.3,-1.6,-1.7,5.7,-2.3,-1.3,-1.4,5.5,-1,-1.1,-1.6,5.5,-2.4,-1.8,-1.8,5.8,-1.5,-1.1,-1.6,6.1,-2.2,-1.8,-2.2,5.9,-2.3,-1.7,-2.2,6.2,-2.4,-1.6,-2.2,5.9,-1.8,-1.1,-2,6.1,-0.8,0.3,-0.7,7.7,-1.8,-0.3,-0.3,3.5,-1.3,-1.4,-1.4,2,-1.2,-1.2,-1.1,3.2,-0.5
"55","45","        Other \5\","M318431",-0.7,-0.5,-0.6,-0.5,-1,-0.5,-0.5,-0.6,-0.9,-0.9,-0.6,-0.7,-0.9,-0.8,-0.8,-0.8,-0.8,-1.2,-0.8,-0.6,-1.1,-1.2,-0.8,-0.7,-1.2,-1,-1,-1,-1.1,-1.8,-1.3,-1.3,-1.4,-1.5,-1.5,-1.4,-2.1,-1.8,-1.6,-1.4,-1.6,-1.5,-1.6,-1.5,-1.9,-1.8,-1.9,-2,-2.1,-2,-2.1,-2.3,-2.9,-2.7,-2.5,-2.8,-3.3,-3.3,-3,-3.1,-3.4,-3.6,-3.4,-3.7,-4.6,-4.3,-4.2,-4.8,-4.5,-6.2,-5,-4.3,-4.5,-4.4,-4.6,-4.9,-5,-5,-5.2,-5.1,-5.1,-5.5,-4.7,-4.8,-5.9,-5.5,-5.5,-5.2,-5.7,-5.8,-5.5,-6.2,-6,-6.2,-6.6,-6.4,-7,-6.8,-7.1,-7.3,-8.6,-8.4,-8.8,-8.2,-8.7,-8.5,-8.6,-7.5,-8,-7.5,-8.2,-6.3,-7.6,-7.4,-8.9,-11.1,-8.2,-7.3,-9.1,-6.9,-8.3,-7.4,-9.4,-6.8,-7.6,-7.3,-9.3,-7.9,-8.9,-8.6,-10.4,-8.8,-10.4,-10.2,-10.7,-8.6,-8.7,-10.6,-13.2,-8.8,-10.5,-11.2,-12.7,-10,-11.9,-12.4,-13.5,-12.1
"56","46","Plus: Timing differences","M318441",-1.1,0.5,-0.3,0.4,-1.1,0.2,-0.9,-0.1,-1.1,1.8,-1.4,1.4,-0.6,0.6,-0.2,1.1,-0.6,-0.9,1,2,-1.3,0.7,0.4,-0.7,0.4,-0.3,1.5,-0.3,-1.2,-0.4,0.1,-0.9,1.8,0,1.6,2,-0.2,-0.1,0.2,-1.1,0.6,-0.3,2.2,0.6,0.6,0,2,-2.3,1.4,0.1,-0.9,-1.3,0.7,-1.1,0.4,-15.7,14.5,-0.2,-0.6,-2.1,1.7,0,0.5,-1.2,-0.3,0.4,4.4,-1.4,2.5,-1.3,-0.2,-3.1,1.2,-1.1,1,-1.2,3.2,1.1,6.5,-22.7,21.6,0.3,0.1,-4.5,0.3,2,-0.5,1.6,-2.1,3,6.8,-5.1,6.8,0.6,-1.2,-5.8,4.2,-0.9,-0.5,-28.5,32.9,-0.2,-6.2,-4.4,4.4,-0.4,-10.3,0.6,4.3,2.5,-4.2,5.2,6.5,-2,0.3,-3.3,5,-4.6,-2.5,0.7,5.7,-3.1,-3.9,-29,35.7,-3.4,-8,2.7,-2.2,-0.5,-5.6,6.2,0.2,1.5,6.4,-5.6,6.2,1.3,-8.6,-6,7.7,1.7,-6,-5.5,10.7,3.5,-4.8,-5.2
"57","47","        Purchases (increase in payables net of advances)","M318451",-0.6,-0.7,-0.2,0.3,-1,-0.4,-0.2,-0.2,-0.4,0.2,-0.4,0.6,0.2,-0.7,0.8,0.3,0.2,-2.4,1.9,0.4,0.1,-0.4,0.6,-0.7,-0.2,-0.7,0.9,-0.9,0.3,-0.7,0.2,-0.5,1.2,-0.1,1.2,0.7,0.5,0.4,-0.2,0.2,0.5,-0.3,0.3,1.2,-0.1,0.5,0.2,-0.8,-0.3,0.1,-0.9,0.8,-0.7,-0.7,0.2,-0.8,-0.1,-0.3,-0.7,-0.5,-0.5,-0.2,0.2,0.1,-0.1,-0.3,0.3,0.2,-0.5,-0.2,-0.7,-0.6,-0.3,-0.3,1,0.4,0.9,0.8,3.6,-2.4,3.2,0.7,2.4,-4.9,-0.3,0.2,0.9,0.1,-1.3,1.7,3.3,-0.8,4.4,-0.4,0.4,-3.9,0.9,0.6,0.4,-0.6,2.2,-0.9,0.6,-2,1.9,0.3,-0.5,-0.5,1.1,3,0.6,1.6,3.4,0.5,1.9,-2.5,2,-0.1,-0.3,-2.4,2.4,-0.2,0.1,-2.3,1.9,0.5,0.8,-2.5,0.3,-0.6,-0.4,-1,-0.9,-0.6,3,-3.2,1,0.2,0.4,-4.3,3.4,-0.4,-0.9,-4.9,3.7,1.5,0.8,-4.3
"58","48","        Interest payments","M318461",-0.6,1.2,-0.2,0.1,-0.2,0.5,-0.8,0.2,-0.7,1.4,-0.9,1,-1,1,-1.1,1,-1.1,1.1,-1.1,1.2,-1.2,1.2,0,0,-0.2,0.1,0,0,-0.1,0.1,0,0,-0.1,-0.1,-0.1,-0.2,0.2,-0.1,-0.1,-0.1,0,-0.2,0,-0.1,-0.3,-0.2,0.1,-0.2,-0.2,-0.1,-0.3,-0.2,0,-0.4,-0.3,-0.5,-0.3,-0.2,-0.2,0,-0.3,0,-0.4,0,-0.8,-0.5,-0.1,-0.2,-0.4,-0.3,-0.3,-0.3,-0.7,-0.3,-0.3,-0.2,0.2,0.6,0.3,-0.2,-0.5,0.1,-1.1,-0.1,-0.5,0.3,-0.4,-0.3,-0.5,0.2,-0.7,-2.6,-0.5,-0.2,-1.1,-0.2,-0.2,-0.9,-0.2,0.4,0.5,0.7,-0.8,1.4,0.1,0.6,-1.6,0.6,-0.3,0.8,-1.4,1.4,0.4,1,-2.1,0.5,-0.6,0.3,-1.7,0.5,0.1,0.5,-2.4,2.5,-0.3,0.9,-2.9,0.8,0.3,0.8,-3,2.4,-0.5,1.4,-3.5,0.9,-0.1,1.5,-3.3,0.3,0,0.9,-3,0.2,0.9,1.1,-3.8,0.4
"59","49","        Current transfer payments","M318471",0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.2,0.1,-0.1,0.2,0,0.1,0.3,0.3,0.3,0.2,0.2,0.1,0.1,-0.2,-0.4,-0.1,-0.1,0.2,0.2,0.1,0.2,0.3,0.1,0.1,-0.7,-0.2,0.4,1.3,-0.7,0.2,0.2,1.9,-1.2,1.7,0.1,0,-1.5,1.8,-0.1,0.2,-13.8,14.2,0.1,0.1,-2,2,0.2,0.4,-1.6,0.7,0.4,3.6,-2.4,2.3,-0.5,0.5,-2.1,2.1,0,0.1,-1.9,2.1,0.2,2,-19.4,19.5,-0.2,-1.1,-0.2,1,0.4,0.2,0.3,-0.4,0,3,-1.9,2.5,-0.2,-0.2,-2.4,3.4,0.2,0.6,-26.9,27.1,-0.3,-0.1,-3.5,2.8,-0.3,-3.8,0.1,-0.1,0,-0.2,0.7,3.4,-0.1,-0.3,-3.7,3.6,-0.3,-0.3,-3.6,3.9,-0.3,-0.6,-33.7,33.5,-0.4,-0.6,-4.3,-0.1,-0.5,-0.5,-0.2,0.7,-0.2,4.9,-3.1,4.8,-0.3,-0.6,-4.6,4.8,-0.4,0.5,-3.2,6.5,-0.9,0.3,-3
"60","50","        Subsidies","W708MC1",0,0,0,0,0.1,0.2,0,-0.2,0,0.2,-0.1,-0.2,0.1,0.3,0.1,-0.4,0.2,0.5,0.1,0.4,-0.4,-0.3,-0.5,-0.3,0.7,0.1,0.5,0.5,-1.2,0.6,-0.1,-0.3,0.5,-0.1,0.4,1.3,-1.2,-0.5,0.4,-0.4,0.4,-0.1,0.6,0.2,0.7,-0.5,0,-0.1,0.1,-0.1,0.3,-0.4,-0.4,0.1,0.2,-0.6,0.6,0.1,0.2,0.4,0.5,0.1,0.4,0.3,-0.1,0.8,0.7,1,1.1,-0.2,0.3,0,0.1,-0.5,0.2,0.4,-0.1,-0.4,0.5,-0.6,-0.6,-0.3,-0.1,0.7,0.2,1.2,-1.2,1.5,0,1.1,1.2,0.2,0.4,1.5,-0.3,0.7,0.2,-0.8,-1.5,-1.4,3,0.3,-6,-0.3,-0.4,-0.9,-4.4,0.5,3.6,-1.3,-3.2,1.5,-0.7,-3.3,0.8,2.3,0,-4.5,-0.2,6.2,-0.7,-3.1,-1.1,4.5,0.6,-4.3,-5.3,8.8,-2.7,-0.2,-1.8,5,0.8,0.9,1.9,-0.2,0.5,0,-5.1,2.6,-0.4,1.6,-2.7,2.4,-0.5,1.8,-2.1,1.7
"61","51","Equals: Federal Government current expenditures, national income and product accounts","M318491",40.7,44.1,43.9,44.7,42.9,46.4,47.9,46.6,45.7,52.1,52.3,51,51.7,56.7,55.7,56,58.1,62.2,60.7,63.4,63.6,67.1,65.7,65.3,68.5,74.6,73,77.1,81.4,90.6,84.9,89.3,91,95.2,91.9,96.1,96.9,99.7,105.5,105.4,107.2,110.5,115.9,116.4,117.2,121.6,128.9,129.7,135.9,142,153.4,154.5,160.2,163.7,174.4,174.4,176.1,181.6,193,197.7,195,203.2,209.5,207.8,207.4,213.2,220.6,236,224.5,233.5,238.5,251.8,235.2,252.2,255,263.7,249,257,257.9,277.8,261,271.1,265.9,294.7,278.2,292,286.2,311,297.9,313.6,310,332,298.6,330,326.5,359.9,343,359.2,355.7,386.7,357.5,374.1,367.5,396.9,367.5,377.9,377.9,409.9,387.2,407.3,394.6,414.4,402.4,412.5,409.6,441.3,412.4,423.4,416.5,456.7,418.5,429.5,421.8,465.1,429.7,441,432,484.9,451.9,465.3,450,497.2,480.1,492,480.1,517.3,507.7,524.7,515.2,553.6,540.1,570.5,551.8,588.9,585.5,590.2,583.8,621.7
"62",NA,"      Net Federal Government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","52","Budget surplus or deficit (-) (1-20)","M318501",-8.7,2.9,-3.2,-7.1,-2,15.5,-2.5,-5.6,-3.5,8.7,-7.8,-8.9,-8.2,1.8,-7.8,-10.6,-10.5,5.6,-2,-10.5,-9.5,7.7,-1.1,-5,-7.1,9.7,-1.6,-12,-18,-12,-18.5,-26.6,-22.7,2.2,-12.7,-22.8,-18.7,8.6,-12.2,-28.8,-25.8,14,-8.1,-23.8,-20.4,21.4,-4.5,-24.5,-26.9,8.1,-15.7,-33.6,-32.1,16.2,-8.6,-48.2,-23.7,-2.5,-36.2,-68.3,-61,-29.2,-37,-63.3,-55.3,-25.6,-34,-73.3,-54.8,-27.8,-47.3,-76,-60.4,-30.8,-53.9,-64.4,-57.6,2.1,-28.6,-80.4,-37.6,0.7,-36.9,-67.4,-61.1,22.7,-47.5,-69.8,-80.9,-12.5,-57.2,-83.2,-65,-26.1,-95.1,-83.6,-114.1,-30,-62.6,-120.4,-63.1,-17.8,-54.4,-90,-61.4,0.9,-52.7,-73.9,-71,23.3,-42.4,-55.7,-72.6,53.4,-32.5,-58.8,-52.4,100.5,-11.3,-39.6,-29.9,137.1,1.7,-54.8,5.4,144.6,30.4,-20.4,-15,211.1,60.4,-2.6,-22.1,194.1,-41.2,-35.1,-96.5,15.6,-41.7,-108.6,-145.1,-16.2,-107.7,-128.8,-171.1,-26,-86.2,-118.2
"64","53","Plus: Net investment (30)","M318511",0.5,0.4,0.3,0,0.4,-0.2,-0.1,-0.6,-0.2,-0.3,-0.5,-0.3,-1.2,-1.2,-1,-1.5,-1.3,-0.8,-1.4,-1.1,-0.5,-0.6,-1.2,-1.1,-0.7,-0.2,-0.4,-0.3,-0.3,-0.5,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.6,0.8,0,-0.1,0.5,1.1,1,0.6,0.8,2.2,1.1,1.6,1.4,1.8,1.4,1.3,1.9,2.8,2.1,1.6,2.6,2.9,2.7,3,3.4,4.8,4.4,4.4,4.6,4.9,5.9,5,6.1,8.2,7,5.7,6.4,9,7.6,6.5,7.7,8.8,7.5,4.9,5,5.5,5.2,4.5,4.7,6.1,4.2,4.6,5.5,6.3,4.3,3.4,5.1,5,2.5,2.7,3.5,4.6,3.2,1.5,1.5,1.9,0.5,-1.4,-0.9,1.7,-1.3,-0.4,-0.6,0.2,-2.2,0.5,0,0.8,-2.2,-3.9,-2.6,-0.5,-2.2,-3.6,-2.3,0.5,-1.5,-3,-1.1,0,0.1,-3,-1.7,-1.4,-1.6,-3.3,-1.7,-1.2,-1,-2.3,-0.1,1.9,-0.3,-1.7,1,2.9,0.4,1.3,1.3,3.2,2.3
"65","54","Less: Net capital transfers received (5-31)","M318521",-0.6,-0.2,-1.1,-1.1,-0.5,0,-0.8,-1,-0.3,0.1,-0.6,-0.7,-0.3,-0.1,-0.7,-0.2,0.6,0,-0.8,-0.4,0.2,-0.4,-0.2,-0.5,-0.4,-0.9,-0.5,-1.3,-1,-0.9,-1.2,-1.6,-0.8,-1,-1.4,-1.7,0.7,-1.2,-1.8,-1.7,-1.1,-1.4,-1.9,-2.3,-1.5,-1.7,-2.6,-3.1,-1.8,-2.2,-2.6,-3.4,-1.9,-2.2,-2.2,-2.4,-0.8,-1.7,-2.1,-2.5,-1.9,-2,-2.9,-2.9,-1.8,-2.6,-3.7,-3.6,-1.8,-3,-4.1,-4.1,-2.3,-3.1,-4.4,-3.2,-2.1,-2.7,-3.6,-3.3,-2.2,-2.6,-4,-3.1,-2.3,-2.1,-3.4,-3.2,-2.3,-0.6,-3.2,-3.1,-2.1,-2.1,-3.2,-2.9,-2,-2.3,-3.6,-3.2,-2,-1.5,-4.1,-3.3,-1.6,-0.9,-3.8,-3.4,-2.9,-2.4,-3.9,-3.1,-2.8,-1.4,-3.3,-3.2,-1.9,-0.8,-3.4,-2.3,-0.7,1.2,-2.5,-1.6,0.1,1.2,-3.4,-1.1,-1.3,0.1,-4,-3,-1.8,-1,-5.8,-4.2,-3.8,-3.6,-6.2,-5.8,-2.9,-6,-9.1,-5.7,-3.7,-4,-8.2,-5.8
"66","55","      Federal employee retirement plans (4-23)","M318531",-0.4,-0.1,-0.4,0,-0.5,-0.3,-0.4,-0.2,-0.6,0.3,-0.7,-0.3,-0.5,0.5,-0.4,-0.3,-0.8,0.5,-0.5,-0.5,-1.1,0.7,-1.4,-0.7,-1.5,1.7,-1.8,-1.1,-1.9,2.8,-2.3,-1.4,-2.4,3.5,-2.8,-1.5,-2.8,-1.5,4.5,-1.8,-3.3,-2.1,4.5,-2.1,-3.9,-2.2,5.4,-2.4,-4.6,-2.7,7,-3.1,-5.6,-3.4,8.4,-2.8,-6.2,-3.1,8.8,-2.6,-6.7,-2.5,9.3,-2.1,-7.4,-1.9,9.1,14.4,-3.6,3.7,14.3,15.4,-3.5,4.7,14.2,15.8,-2.5,5,13.3,16.7,-4.6,6.6,13.2,17.2,-5,7.6,13.2,18,-6.4,7.2,14.3,19.2,-7.2,9.1,14.3,20.4,-7,9,15,21.6,-8.6,9.2,14.5,21.2,-8.7,9,13.6,21.1,-10,9,13,19.3,-10.2,9,13.1,24.3,-10.9,8.5,14.1,24.5,-11.4,8.8,13.7,25.7,-11.4,8.8,13.4,24.8,-11.2,9.5,13.3,26.1,-12.4,9.7,12.8,27.1,-12.8,10.1,13.9,27.5,-12.1,10.8,10.9,26.8,-12.3,8.4,14.5,31.3
