"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"95","74","Personal income","A065RC1","800,258.0","864,598.0","932,137.0","1,023,574.0","1,138,525.0","1,249,341.0","1,366,884.0","1,498,451.0","1,654,571.0","1,859,721.0","2,078,195.0","2,317,464.0","2,596,506.0","2,779,472.0","2,970,275.0","3,281,770.0","3,516,329.0","3,725,688.0","3,955,860.0","4,276,349.0","4,619,874.0","4,906,423.0","5,073,390.0","5,413,049.0","5,648,990.0","5,937,283.0","6,280,973.0","6,667,027.0","7,080,668.0","7,593,685.0","7,988,413.0","8,637,061.0","8,991,584.0","9,153,855.0","9,491,109.0","10,052,896.0","10,614,037.0","11,393,944.0","12,000,178.0","12,502,228.0","12,094,789.0","12,477,120.0","13,254,522.0","13,915,118.0","14,068,385.0","14,694,185.0"
"96","75","  Imputations (164-159+171+182+189+196+197-198+199+200+204+205+206+207+212)","A2106C1","74,068.0","84,351.0","93,626.0","101,316.0","103,184.0","113,273.0","132,240.0","134,484.0","145,194.0","164,022.0","174,403.0","185,073.0","198,643.0","217,876.0","259,026.0","304,789.0","331,873.0","339,127.0","359,645.0","397,981.0","433,026.0","464,614.0","489,692.0","559,435.0","604,062.0","648,759.0","657,246.0","664,824.0","683,204.0","711,881.0","747,995.0","787,078.0","840,939.0","897,541.0","978,449.0","1,052,487.0","1,078,038.0","1,049,269.0","1,048,391.0","1,147,372.0","1,236,949.0","1,300,100.0","1,381,110.0","1,392,927.0","1,429,907.0","1,465,180.0"
"97","76","  Excluding imputations (74-75)","A2107C1","726,190.0","780,247.0","838,511.0","922,258.0","1,035,341.0","1,136,068.0","1,234,644.0","1,363,967.0","1,509,377.0","1,695,699.0","1,903,792.0","2,132,391.0","2,397,863.0","2,561,596.0","2,711,249.0","2,976,981.0","3,184,456.0","3,386,561.0","3,596,215.0","3,878,368.0","4,186,848.0","4,441,809.0","4,583,698.0","4,853,614.0","5,044,928.0","5,288,524.0","5,623,727.0","6,002,203.0","6,397,464.0","6,881,804.0","7,240,418.0","7,849,983.0","8,150,645.0","8,256,314.0","8,512,660.0","9,000,409.0","9,535,999.0","10,344,675.0","10,951,787.0","11,354,856.0","10,857,840.0","11,177,020.0","11,873,412.0","12,522,191.0","12,638,477.0","13,229,005.0"
"98","77","  Compensation of employees","A033RC1","586,016.0","625,117.0","667,030.0","733,641.0","815,039.0","890,320.0","950,175.0","1,051,234.0","1,168,985.0","1,320,225.0","1,481,035.0","1,626,229.0","1,795,268.0","1,894,319.0","2,013,907.0","2,217,404.0","2,388,965.0","2,543,844.0","2,724,310.0","2,950,040.0","3,142,566.0","3,342,670.0","3,451,998.0","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,364,463.0","6,739,534.0","7,086,801.0","7,502,337.0","7,898,261.0","8,078,256.0","7,786,973.0","7,961,448.0","8,269,030.0","8,609,898.0","8,839,675.0","9,248,931.0"
"99","78","    Imputations (189+203)","Y506RC1","23,586.0","25,469.0","27,357.0","30,305.0","27,817.0","27,754.0","34,309.0","32,329.0","35,832.0","40,088.0","45,526.0","50,931.0","59,414.0","70,018.0","82,831.0","85,309.0","100,872.0","117,634.0","129,002.0","153,167.0","185,543.0","210,112.0","223,101.0","263,921.0","278,483.0","286,448.0","283,780.0","297,965.0","313,730.0","341,341.0","382,193.0","422,551.0","450,021.0","443,293.0","447,387.0","519,658.0","555,824.0","569,344.0","596,576.0","569,827.0","565,789.0","567,069.0","571,148.0","577,940.0","602,105.0","618,633.0"
"100","79","    Excluding imputations (77-78)","W519RC1","562,430.0","599,648.0","639,673.0","703,336.0","787,222.0","862,566.0","915,866.0","1,018,905.0","1,133,153.0","1,280,137.0","1,435,509.0","1,575,298.0","1,735,854.0","1,824,301.0","1,931,076.0","2,132,095.0","2,288,093.0","2,426,210.0","2,595,308.0","2,796,873.0","2,957,023.0","3,132,558.0","3,228,897.0","3,407,211.0","3,542,188.0","3,723,681.0","3,918,869.0","4,124,145.0","4,400,963.0","4,736,482.0","5,028,116.0","5,434,030.0","5,596,525.0","5,698,618.0","5,917,076.0","6,219,876.0","6,530,977.0","6,932,993.0","7,301,685.0","7,508,429.0","7,221,184.0","7,394,379.0","7,697,882.0","8,031,958.0","8,237,570.0","8,630,299.0"
"101","80","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,241,371.0","1,285,096.0","1,346,675.0"
"102","81","    Imputations (200+212)","A2101C1","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,056.0","3,573.0","3,312.0","3,102.0","2,886.0","2,930.0","2,401.0","3,254.0","3,014.0","3,382.0","2,755.0","2,989.0","3,062.0","2,849.0","3,226.0","2,780.0","2,819.0","3,024.0","3,091.0","3,712.0","4,303.0","3,660.0","2,259.0","661.0","152.0","794.0","785.0","1,206.0","1,453.0","1,636.0"
"103","82","    Excluding imputations (80-81)","A2102C1","76,253.0","77,041.0","83,040.0","94,083.0","111,160.0","110,834.0","116,755.0","128,845.0","141,691.0","162,888.0","176,188.0","169,228.0","177,622.0","169,272.0","183,394.0","225,263.0","237,996.0","252,906.0","283,156.0","322,741.0","339,052.0","351,519.0","353,555.0","399,108.0","427,496.0","456,118.0","481,701.0","544,382.0","584,792.0","641,345.0","697,212.0","754,991.0","833,966.0","868,013.0","896,976.0","958,341.0","974,654.0","1,050,025.0","976,911.0","1,025,813.0","972,844.0","1,031,899.0","1,142,882.0","1,240,166.0","1,283,643.0","1,345,039.0"
"104","83","  Rental income of persons with capital consumption adjustment","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","485,295.0","525,324.0","563,392.0","610,834.0"
"105","84","    Imputations (164)","B1156C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","7,048.0","7,139.0","5,727.0","5,631.0","5,770.0","2,147.0","1,260.0","-1,181.0","-4,181.0","-9,459.0","-9,849.0","-3,586.0","-3,339.0","-68.0","5,803.0","19,815.0","42,601.0","62,165.0","68,533.0","82,712.0","84,954.0","101,291.0","115,189.0","120,852.0","134,778.0","146,301.0","165,348.0","180,194.0","158,055.0","124,340.0","96,397.0","147,234.0","216,751.0","268,070.0","326,959.0","355,385.0","393,907.0","433,143.0"
"106","85","    Excluding imputations (83-84)","A2103C1","5,960.0","6,216.0","6,449.0","7,515.0","8,713.0","8,488.0","8,629.0","8,623.0","9,146.0","9,772.0","10,841.0","14,103.0","19,645.0","23,991.0","26,228.0","29,067.0","33,686.0","31,363.0","30,057.0","28,701.0","27,750.0","31,425.0","36,203.0","44,511.0","51,038.0","55,305.0","60,654.0","64,239.0","67,093.0","68,573.0","67,916.0","66,870.0","72,764.0","71,001.0","72,675.0","75,224.0","80,386.0","83,181.0","93,013.0","114,872.0","116,949.0","134,685.0","158,336.0","169,939.0","169,485.0","177,691.0"
"107","86","  Personal income receipts on assets","W210RC1","98,686.0","112,650.0","122,341.0","133,297.0","150,636.0","175,357.0","195,274.0","212,617.0","243,420.0","277,982.0","318,344.0","385,990.0","472,859.0","541,250.0","584,287.0","665,067.0","712,807.0","755,344.0","779,851.0","839,369.0","951,948.0","991,186.0","985,467.0","982,147.0","988,603.0","1,029,402.0","1,114,029.0","1,176,471.0","1,258,453.0","1,342,541.0","1,329,669.0","1,453,513.0","1,441,314.0","1,390,424.0","1,420,488.0","1,503,739.0","1,666,452.0","1,938,402.0","2,166,648.0","2,167,053.0","1,817,994.0","1,739,645.0","1,913,866.0","2,123,762.0","2,060,393.0","2,117,531.0"
"108","87","    Imputations (171+182+196+197)","Y507RC1","28,734.0","36,425.0","40,981.0","45,673.0","49,422.0","57,030.0","70,097.0","72,810.0","81,100.0","95,349.0","104,609.0","115,681.0","129,451.0","155,526.0","194,548.0","211,183.0","241,763.0","261,720.0","280,437.0","293,627.0","311,399.0","325,785.0","338,039.0","358,980.0","369,914.0","391,573.0","409,128.0","416,348.0","433,073.0","434,859.0","441,009.0","451,268.0","460,536.0","485,611.0","504,344.0","529,245.0","553,999.0","574,532.0","611,019.0","664,225.0","678,139.0","675,271.0","691,301.0","710,414.0","741,544.0","767,310.0"
"109","88","    Excluding imputations (86-87)","Y508RC1","69,952.0","76,225.0","81,360.0","87,624.0","101,214.0","118,327.0","125,177.0","139,807.0","162,320.0","182,633.0","213,735.0","270,309.0","343,408.0","385,724.0","389,739.0","453,884.0","471,044.0","493,624.0","499,414.0","545,742.0","640,549.0","665,401.0","647,428.0","623,167.0","618,689.0","637,829.0","704,901.0","760,123.0","825,380.0","907,682.0","888,660.0","1,002,245.0","980,778.0","904,813.0","916,144.0","974,494.0","1,112,453.0","1,363,870.0","1,555,629.0","1,502,828.0","1,139,855.0","1,064,374.0","1,222,565.0","1,413,349.0","1,318,849.0","1,350,221.0"
"110","89","  Personal current transfer receipts","A577RC1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","184,337.0","194,572.0","209,890.0","235,559.0","280,128.0","318,984.0","355,465.0","384,295.0","400,636.0","425,372.0","451,555.0","468,141.0","497,460.0","544,241.0","596,867.0","668,143.0","748,037.0","792,989.0","828,963.0","883,455.0","929,203.0","954,864.0","983,910.0","1,026,174.0","1,087,310.0","1,192,598.0","1,284,680.0","1,347,323.0","1,421,329.0","1,516,731.0","1,614,590.0","1,728,087.0","1,956,576.0","2,147,534.0","2,324,690.0","2,360,461.0","2,366,338.0","2,426,637.0","2,529,172.0"
"111","90","    Imputations (-159-198+199)","A2111C1","6,993.0","7,792.0","9,771.0","9,915.0","10,821.0","13,170.0","13,805.0","16,734.0","19,806.0","19,560.0","16,605.0","11,984.0","3,530.0","-10,206.0","-20,747.0","8,236.0","-7,733.0","-32,262.0","-41,030.0","-45,827.0","-60,798.0","-71,151.0","-76,290.0","-82,350.0","-85,780.0","-91,321.0","-103,869.0","-132,234.0","-148,735.0","-165,566.0","-190,655.0","-207,186.0","-203,715.0","-176,853.0","-137,152.0","-175,208.0","-188,529.0","-216,276.0","-251,368.0","-227,576.0","-215,762.0","-201,977.0","-199,717.0","-242,589.0","-300,375.0","-347,102.0"
"112","91","    Excluding imputations (89-90)","A2112C1","55,311.0","66,871.0","78,337.0","88,005.0","101,747.0","120,124.0","156,173.0","167,603.0","174,766.0","190,330.0","218,954.0","268,144.0","315,454.0","365,671.0","405,042.0","392,400.0","433,105.0","483,817.0","509,171.0","543,287.0","605,039.0","668,018.0","744,433.0","830,387.0","878,769.0","920,284.0","987,324.0","1,061,437.0","1,103,599.0","1,149,476.0","1,216,829.0","1,294,496.0","1,396,313.0","1,461,533.0","1,484,475.0","1,596,537.0","1,705,260.0","1,830,866.0","1,979,455.0","2,184,152.0","2,363,296.0","2,526,667.0","2,560,178.0","2,608,926.0","2,727,013.0","2,876,275.0"
"113","92","  Less: Contributions for government social insurance, domestic","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","917,798.0","951,575.0","1,106,809.0","1,158,959.0"
"114","93","    Imputations (208)","A1676C1","411.0","605.0","828.0","899.0","781.0","910.0","1,354.0","1,516.0","1,393.0","1,200.0","1,314.0","1,495.0","1,580.0","1,528.0","1,722.0","1,742.0","1,904.0","2,079.0","2,227.0","2,502.0","2,665.0","2,994.0","3,362.0","4,185.0","4,170.0","3,488.0","3,081.0","2,956.0","2,880.0","2,893.0","2,967.0","3,187.0","3,500.0","3,835.0","4,569.0","5,114.0","5,614.0","6,331.0","6,492.0","6,999.0","8,120.0","9,127.0","9,366.0","9,428.0","8,727.0","8,438.0"
"115","94","    Excluding imputations (92-93)","W531RC1","43,716.0","45,754.0","50,348.0","58,305.0","74,715.0","84,271.0","87,956.0","99,818.0","111,701.0","130,060.0","151,435.0","164,693.0","194,121.0","207,366.0","224,231.0","255,728.0","279,466.0","301,359.0","320,886.0","358,980.0","382,566.0","407,114.0","426,820.0","450,766.0","473,255.0","504,692.0","529,719.0","552,122.0","584,361.0","621,758.0","658,318.0","702,653.0","729,696.0","747,662.0","774,687.0","824,064.0","867,731.0","916,260.0","954,906.0","981,238.0","956,287.0","974,981.0","908,432.0","942,147.0","1,098,083.0","1,150,521.0"
"116","95","Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,671.0","197,879.0","229,649.0","268,913.0","299,512.0","345,780.0","354,743.0","352,879.0","377,916.0","417,813.0","437,806.0","489,587.0","505,939.0","567,734.0","594,668.0","588,901.0","612,802.0","648,755.0","693,072.0","748,406.0","837,083.0","931,820.0","1,032,420.0","1,112,116.0","1,236,556.0","1,239,323.0","1,054,665.0","1,005,323.0","1,050,612.0","1,213,227.0","1,357,059.0","1,493,194.0","1,507,806.0","1,152,263.0","1,239,251.0","1,453,166.0","1,511,400.0","1,672,765.0","1,780,243.0"
"117","96","  Imputations (-158)","A2115C1","-12,702.0","-14,426.0","-15,842.0","-17,092.0","-18,471.0","-19,781.0","-21,758.0","-24,065.0","-26,596.0","-27,221.0","-28,055.0","-30,579.0","-33,868.0","-36,962.0","-39,404.0","-42,291.0","-44,867.0","-47,475.0","-51,785.0","-55,192.0","-59,757.0","-63,527.0","-68,192.0","-70,472.0","-70,348.0","-73,741.0","-73,846.0","-76,174.0","-78,866.0","-80,231.0","-82,987.0","-85,663.0","-90,487.0","-97,372.0","-103,148.0","-109,403.0","-117,548.0","-125,093.0","-134,393.0","-137,631.0","-144,655.0","-144,569.0","-145,952.0","-146,954.0","-149,250.0","-151,254.0"
"118","97","  Excluding imputations (95-96)","A2116C1","117,208.0","117,496.0","117,547.0","140,732.0","150,878.0","170,829.0","169,365.0","196,736.0","224,475.0","256,870.0","296,968.0","330,091.0","379,648.0","391,705.0","392,283.0","420,207.0","462,680.0","485,281.0","541,372.0","561,131.0","627,491.0","658,195.0","657,093.0","683,274.0","719,103.0","766,813.0","822,252.0","913,257.0","1,010,686.0","1,112,651.0","1,195,103.0","1,322,219.0","1,329,810.0","1,152,037.0","1,108,471.0","1,160,015.0","1,330,775.0","1,482,152.0","1,627,587.0","1,645,437.0","1,296,918.0","1,383,820.0","1,599,118.0","1,658,354.0","1,822,014.0","1,931,497.0"
"119","98","Disposable personal income","A067RC1","695,752.0","761,528.0","830,432.0","899,934.0","1,006,118.0","1,098,293.0","1,219,277.0","1,325,780.0","1,456,692.0","1,630,072.0","1,809,282.0","2,017,952.0","2,250,726.0","2,424,729.0","2,617,396.0","2,903,854.0","3,098,516.0","3,287,882.0","3,466,273.0","3,770,410.0","4,052,140.0","4,311,755.0","4,484,489.0","4,800,247.0","5,000,235.0","5,244,211.0","5,532,567.0","5,829,944.0","6,148,848.0","6,561,265.0","6,876,297.0","7,400,505.0","7,752,261.0","8,099,189.0","8,485,786.0","9,002,284.0","9,400,810.0","10,036,885.0","10,506,984.0","10,994,422.0","10,942,526.0","11,237,868.0","11,801,357.0","12,403,718.0","12,395,620.0","12,913,942.0"
"120","99","  Imputations (75-96)","A2117C1","86,770.0","98,777.0","109,468.0","118,408.0","121,655.0","133,054.0","153,998.0","158,549.0","171,790.0","191,243.0","202,458.0","215,652.0","232,511.0","254,838.0","298,430.0","347,080.0","376,740.0","386,602.0","411,430.0","453,173.0","492,783.0","528,141.0","557,884.0","629,907.0","674,410.0","722,500.0","731,092.0","740,998.0","762,070.0","792,112.0","830,982.0","872,741.0","931,426.0","994,913.0","1,081,597.0","1,161,890.0","1,195,586.0","1,174,362.0","1,182,784.0","1,285,003.0","1,381,604.0","1,444,669.0","1,527,062.0","1,539,882.0","1,579,157.0","1,616,434.0"
"121","100","  Excluding imputations (98-99)","A2118C1","608,982.0","662,751.0","720,964.0","781,526.0","884,463.0","965,239.0","1,065,279.0","1,167,231.0","1,284,902.0","1,438,829.0","1,606,824.0","1,802,300.0","2,018,215.0","2,169,891.0","2,318,966.0","2,556,774.0","2,721,776.0","2,901,280.0","3,054,843.0","3,317,237.0","3,559,357.0","3,783,614.0","3,926,605.0","4,170,340.0","4,325,825.0","4,521,711.0","4,801,475.0","5,088,946.0","5,386,778.0","5,769,153.0","6,045,315.0","6,527,764.0","6,820,835.0","7,104,276.0","7,404,189.0","7,840,394.0","8,205,224.0","8,862,523.0","9,324,200.0","9,709,419.0","9,560,922.0","9,793,199.0","10,274,295.0","10,863,836.0","10,816,463.0","11,297,507.0"
"122","101","Personal outlays","A068RC1","620,719.0","665,468.0","720,347.0","790,737.0","874,337.0","956,582.0","1,060,278.0","1,178,470.0","1,308,532.0","1,463,507.0","1,631,739.0","1,804,754.0","1,998,253.0","2,147,049.0","2,370,397.0","2,591,784.0","2,833,396.0","3,018,525.0","3,214,197.0","3,475,659.0","3,735,629.0","3,976,309.0","4,118,596.0","4,374,224.0","4,632,597.0","4,912,796.0","5,179,646.0","5,484,731.0","5,796,661.0","6,155,954.0","6,573,003.0","7,092,828.0","7,417,095.0","7,693,930.0","8,076,211.0","8,592,854.0","9,157,696.0","9,705,492.0","10,197,182.0","10,457,710.0","10,275,109.0","10,607,863.0","11,091,222.0","11,457,021.0","11,805,696.0","12,293,741.0"
"123","102","  Imputations (5-163+228)","A2119C1","28,873.0","37,119.0","33,148.0","28,953.0","29,422.0","46,237.0","61,525.0","52,506.0","39,413.0","42,719.0","53,725.0","85,036.0","104,124.0","133,387.0","132,056.0","119,779.0","152,250.0","142,040.0","146,591.0","170,582.0","198,977.0","240,388.0","283,186.0","310,199.0","349,291.0","368,506.0","391,539.0","391,598.0","395,133.0","406,259.0","436,312.0","484,273.0","491,987.0","510,391.0","526,187.0","516,460.0","489,766.0","521,993.0","673,352.0","909,137.0","1,085,793.0","1,169,831.0","1,265,589.0","1,261,903.0","1,317,445.0","1,387,695.0"
"124","103","  Excluding imputations (101-102)","A2120C1","591,846.0","628,349.0","687,199.0","761,784.0","844,915.0","910,345.0","998,753.0","1,125,964.0","1,269,119.0","1,420,788.0","1,578,014.0","1,719,718.0","1,894,129.0","2,013,662.0","2,238,341.0","2,472,005.0","2,681,146.0","2,876,485.0","3,067,606.0","3,305,077.0","3,536,652.0","3,735,921.0","3,835,410.0","4,064,025.0","4,283,306.0","4,544,290.0","4,788,107.0","5,093,133.0","5,401,528.0","5,749,695.0","6,136,691.0","6,608,555.0","6,925,108.0","7,183,539.0","7,550,024.0","8,076,394.0","8,667,930.0","9,183,499.0","9,523,830.0","9,548,573.0","9,189,316.0","9,438,032.0","9,825,633.0","10,195,118.0","10,488,251.0","10,906,046.0"
"125","104","Personal saving","A071RC1","75,033.0","96,060.0","110,085.0","109,197.0","131,781.0","141,711.0","158,999.0","147,309.0","148,158.0","166,566.0","177,545.0","213,197.0","252,478.0","277,682.0","246,999.0","312,070.0","265,117.0","269,362.0","252,076.0","294,750.0","316,510.0","335,449.0","365,889.0","426,021.0","367,641.0","331,416.0","352,922.0","345,214.0","352,188.0","405,315.0","303,294.0","307,677.0","335,167.0","405,259.0","409,575.0","409,430.0","243,114.0","331,393.0","309,802.0","536,712.0","667,417.0","630,006.0","710,135.0","946,697.0","589,924.0","620,201.0"
"126","105","  Imputations (199+209-165-168)","A2121C1","57,894.0","61,656.0","76,318.0","89,453.0","92,229.0","86,813.0","92,470.0","106,039.0","132,360.0","148,506.0","148,710.0","130,591.0","128,357.0","121,415.0","166,375.0","227,301.0","224,490.0","244,562.0","264,839.0","282,591.0","293,805.0","287,752.0","274,697.0","319,708.0","325,118.0","353,994.0","339,552.0","349,400.0","366,937.0","385,853.0","394,670.0","388,467.0","439,439.0","484,523.0","555,410.0","645,432.0","705,818.0","652,369.0","509,433.0","375,866.0","295,810.0","274,839.0","261,474.0","277,978.0","261,712.0","228,739.0"
"127","106","  Excluding imputations (104-105)","A2122C1","17,139.0","34,404.0","33,767.0","19,744.0","39,552.0","54,898.0","66,529.0","41,270.0","15,798.0","18,060.0","28,835.0","82,606.0","124,121.0","156,267.0","80,624.0","84,769.0","40,627.0","24,800.0","-12,763.0","12,159.0","22,705.0","47,697.0","91,192.0","106,313.0","42,523.0","-22,578.0","13,370.0","-4,186.0","-14,749.0","19,462.0","-91,376.0","-80,790.0","-104,272.0","-79,264.0","-145,835.0","-236,002.0","-462,704.0","-320,976.0","-199,631.0","160,846.0","371,607.0","355,167.0","448,661.0","668,719.0","328,212.0","391,461.0"
"128",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","107","Government current receipts","W021RC1","282,523.0","285,679.0","302,136.0","345,393.0","388,541.0","429,999.0","440,943.0","505,367.0","567,021.0","645,656.0","728,816.0","799,329.0","918,661.0","940,544.0","1,001,675.0","1,114,449.0","1,216,471.0","1,292,277.0","1,406,061.0","1,506,546.0","1,631,419.0","1,712,851.0","1,763,318.0","1,848,228.0","1,952,329.0","2,096,526.0","2,222,753.0","2,387,389.0","2,564,996.0","2,737,696.0","2,908,067.0","3,138,175.0","3,123,213.0","2,971,863.0","3,047,952.0","3,270,267.0","3,668,950.0","4,007,851.0","4,208,779.0","4,117,547.0","3,699,533.0","3,936,516.0","4,132,154.0","4,312,254.0","4,827,640.0","4,995,418.0"
"130","108","  Imputations (172+183+208-192)","W568RC1","925.0","1,368.0","1,756.0","1,783.0","1,450.0","1,809.0","3,622.0","3,830.0","4,240.0","3,360.0","3,062.0","3,148.0","3,156.0","4,818.0","6,260.0","5,442.0","8,511.0","9,490.0","9,220.0","9,615.0","9,040.0","8,935.0","10,326.0","10,384.0","10,907.0","10,684.0","10,869.0","10,943.0","11,161.0","10,838.0","11,011.0","10,860.0","9,422.0","9,731.0","7,547.0","8,125.0","8,945.0","10,512.0","10,551.0","10,472.0","11,512.0","10,454.0","2,254.0","12,558.0","12,154.0","13,297.0"
"131","109","  Excluding imputations (107-108)","W514RC1","281,598.0","284,311.0","300,380.0","343,610.0","387,091.0","428,190.0","437,321.0","501,537.0","562,781.0","642,296.0","725,754.0","796,181.0","915,505.0","935,726.0","995,415.0","1,109,007.0","1,207,960.0","1,282,787.0","1,396,841.0","1,496,931.0","1,622,379.0","1,703,916.0","1,752,992.0","1,837,844.0","1,941,422.0","2,085,842.0","2,211,884.0","2,376,446.0","2,553,835.0","2,726,858.0","2,897,056.0","3,127,315.0","3,113,791.0","2,962,132.0","3,040,405.0","3,262,142.0","3,660,005.0","3,997,339.0","4,198,228.0","4,107,075.0","3,688,021.0","3,926,062.0","4,129,900.0","4,299,696.0","4,815,486.0","4,982,121.0"
"132","110","Government current expenditures","W022RC1","283,525.0","317,479.0","352,376.0","385,861.0","416,587.0","468,327.0","543,484.0","582,423.0","630,485.0","692,037.0","765,134.0","880,202.0","1,000,341.0","1,110,273.0","1,205,407.0","1,285,863.0","1,391,824.0","1,484,508.0","1,557,152.0","1,646,903.0","1,780,635.0","1,920,222.0","2,034,622.0","2,218,393.0","2,301,356.0","2,377,176.0","2,495,139.0","2,578,347.0","2,654,483.0","2,719,573.0","2,832,201.0","2,971,757.0","3,174,048.0","3,363,273.0","3,572,239.0","3,777,851.0","4,040,285.0","4,274,288.0","4,547,156.0","4,916,593.0","5,220,294.0","5,502,530.0","5,592,219.0","5,623,086.0","5,655,682.0","5,794,599.0"
"133","111","  Imputations (172+183+191+195+208+213-214)","A2047C1","-2,051.0","5,659.0","13,535.0","16,625.0","14,582.0","11,045.0","10,043.0","5,639.0","7,236.0","5,568.0","-2,304.0","-10,167.0","-10,503.0","-8,248.0","-13,136.0","-35,061.0","-51,219.0","-59,114.0","-68,531.0","-58,197.0","-46,968.0","-55,920.0","-42,158.0","-20,831.0","-9,305.0","-4,710.0","-3,431.0","-20,844.0","-25,242.0","-35,737.0","-51,980.0","-63,996.0","-61,167.0","-65,626.0","-48,716.0","-44,611.0","-52,555.0","-68,623.0","-109,105.0","-134,081.0","-72,534.0","-52,147.0","-42,614.0","12,275.0","45,214.0","28,867.0"
"134","112","  Excluding imputations (110-111)","A2114C1","285,576.0","311,820.0","338,841.0","369,236.0","402,005.0","457,282.0","533,441.0","576,784.0","623,249.0","686,469.0","767,438.0","890,369.0","1,010,844.0","1,118,521.0","1,218,543.0","1,320,924.0","1,443,043.0","1,543,622.0","1,625,683.0","1,705,100.0","1,827,603.0","1,976,142.0","2,076,780.0","2,239,224.0","2,310,661.0","2,381,886.0","2,498,570.0","2,599,191.0","2,679,725.0","2,755,310.0","2,884,181.0","3,035,753.0","3,235,215.0","3,428,899.0","3,620,955.0","3,822,462.0","4,092,840.0","4,342,911.0","4,656,261.0","5,050,674.0","5,292,828.0","5,554,677.0","5,634,833.0","5,610,811.0","5,610,468.0","5,765,732.0"
"135","113","Net government saving","A922RC1","-1,002.0","-31,800.0","-50,240.0","-40,468.0","-28,046.0","-38,328.0","-102,541.0","-77,056.0","-63,464.0","-46,381.0","-36,318.0","-80,873.0","-81,680.0","-169,729.0","-203,732.0","-171,414.0","-175,353.0","-192,231.0","-151,091.0","-140,357.0","-149,216.0","-207,371.0","-271,304.0","-370,165.0","-349,027.0","-280,650.0","-272,386.0","-190,958.0","-89,487.0","18,123.0","75,867.0","166,418.0","-50,835.0","-391,410.0","-524,287.0","-507,585.0","-371,335.0","-266,437.0","-338,376.0","-799,047.0","-1,520,761.0","-1,566,014.0","-1,460,065.0","-1,310,831.0","-828,042.0","-799,181.0"
