"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"54","34","  Total receipts","W066RC1","281,647.0","287,364.0","287,899.0","291,680.0","288,570.0","291,749.0","290,336.0","291,115.0","299,156.0","305,157.0","309,239.0","318,179.0","342,005.0","347,637.0","353,566.0","365,581.0","384,915.0","390,051.0","396,817.0","408,784.0","418,126.0","432,877.0","448,576.0","445,608.0","441,083.0","412,668.0","461,977.0","473,831.0","495,677.0","506,631.0","518,300.0","529,813.0","556,694.0","569,755.0","581,413.0","597,326.0","610,236.0","647,704.0","664,416.0","689,024.0","711,153.0","725,855.0","746,061.0","762,357.0","785,438.0","782,930.0","812,742.0","851,314.0","905,391.0","920,148.0","946,121.0","940,030.0","941,451.0","953,620.0","950,716.0","956,804.0","969,467.0","1,009,185.0","1,017,379.0","1,043,828.0","1,092,606.0","1,115,842.0","1,128,661.0","1,154,128.0","1,218,818.0","1,191,160.0","1,238,846.0","1,252,800.0","1,280,286.0","1,281,697.0","1,305,494.0","1,341,708.0","1,349,148.0","1,436,255.0","1,429,300.0","1,451,837.0","1,479,301.0","1,497,372.0","1,530,543.0","1,563,431.0","1,624,115.0","1,636,725.0","1,651,373.0","1,663,195.0","1,692,978.0","1,718,385.0","1,742,285.0","1,760,775.0","1,753,949.0","1,765,066.0","1,787,737.0","1,808,906.0","1,826,128.0","1,853,743.0","1,867,029.0","1,909,191.0","1,899,308.0","1,956,835.0","1,976,102.0","2,047,621.0","2,054,834.0","2,109,918.0","2,135,048.0","2,167,216.0","2,204,816.0","2,229,346.0","2,255,114.0","2,281,893.0","2,333,425.0","2,401,609.0","2,423,127.0","2,483,836.0","2,522,197.0","2,566,064.0","2,623,720.0","2,655,903.0","2,704,711.0","2,744,132.0","2,790,508.0","2,841,000.0","2,876,518.0","2,909,959.0","2,961,141.0","3,031,475.0","3,135,979.0","3,168,636.0","3,183,599.0","3,207,055.0","3,245,440.0","3,240,440.0","3,030,972.0","3,125,684.0","2,985,241.0","2,985,239.0","3,018,090.0","3,029,474.0","3,042,991.0","3,060,710.0","3,038,166.0","3,161,805.0","3,189,045.0","3,253,544.0","3,348,124.0","3,411,394.0","3,604,056.0","3,651,827.0","3,730,944.0","3,818,390.0","3,963,312.0","4,022,775.0","4,069,333.0","4,107,688.0","4,217,341.0","4,250,751.0","4,236,647.0","4,256,415.0","4,219,451.0","4,228,712.0","4,153,604.0","4,003,871.0","3,706,524.0","3,687,316.0","3,713,320.0","3,790,648.0","3,853,045.0","3,910,159.0","4,004,384.0","4,057,382.0","4,122,432.0","4,142,858.0","4,143,015.0","4,177,825.0","4,274,588.0","4,302,037.0","4,320,575.0","4,438,407.0","4,684,083.0","4,973,136.0","4,793,271.0","4,963,997.0","4,939,827.0","5,011,189.0","5,054,756.0","5,071,063.0","5,137,148.0","5,221,363.0","....."
"55","35","    Current receipts","W021RC1","277,085.0","282,564.0","283,350.0","287,091.0","283,802.0","286,965.0","285,660.0","286,287.0","294,202.0","300,122.0","303,789.0","310,430.0","334,268.0","341,613.0","347,131.0","358,561.0","377,659.0","383,935.0","390,505.0","402,064.0","411,406.0","426,469.0","442,412.0","439,708.0","435,135.0","406,203.0","455,260.0","467,169.0","488,871.0","499,566.0","511,127.0","521,913.0","542,532.0","561,881.0","573,760.0","589,911.0","603,068.0","640,608.0","657,220.0","681,728.0","703,705.0","718,543.0","738,597.0","754,417.0","777,270.0","774,214.0","803,446.0","842,382.0","896,739.0","911,024.0","936,613.0","930,266.0","929,975.0","943,284.0","940,712.0","948,208.0","961,183.0","1,000,753.0","1,008,495.0","1,036,268.0","1,083,898.0","1,107,630.0","1,120,469.0","1,145,800.0","1,209,912.0","1,182,567.0","1,229,484.0","1,243,925.0","1,270,780.0","1,271,739.0","1,295,012.0","1,331,578.0","1,338,434.0","1,425,684.0","1,418,382.0","1,441,736.0","1,468,717.0","1,486,988.0","1,518,841.0","1,551,645.0","1,612,566.0","1,624,138.0","1,639,032.0","1,649,932.0","1,679,379.0","1,699,655.0","1,726,719.0","1,745,650.0","1,738,422.0","1,750,101.0","1,771,256.0","1,793,491.0","1,810,387.0","1,838,782.0","1,850,996.0","1,892,746.0","1,882,770.0","1,939,526.0","1,958,544.0","2,028,478.0","2,034,453.0","2,088,613.0","2,115,413.0","2,147,625.0","2,185,495.0","2,210,291.0","2,234,510.0","2,260,717.0","2,311,870.0","2,378,641.0","2,398,992.0","2,460,054.0","2,496,518.0","2,539,740.0","2,596,205.0","2,627,525.0","2,674,131.0","2,712,005.0","2,757,689.0","2,806,954.0","2,841,220.0","2,873,337.0","2,924,791.0","2,992,925.0","3,100,031.0","3,132,721.0","3,148,215.0","3,171,742.0","3,209,290.0","3,202,594.0","2,989,932.0","3,091,032.0","2,950,677.0","2,952,611.0","2,984,422.0","2,999,738.0","3,014,063.0","3,034,094.0","3,011,582.0","3,132,069.0","3,159,785.0","3,223,668.0","3,315,856.0","3,381,766.0","3,573,824.0","3,622,271.0","3,692,340.0","3,787,362.0","3,926,596.0","3,991,019.0","4,037,153.0","4,076,628.0","4,187,841.0","4,219,211.0","4,205,719.0","4,222,347.0","4,186,687.0","4,192,712.0","4,121,180.0","3,969,607.0","3,678,696.0","3,661,464.0","3,689,468.0","3,768,512.0","3,831,265.0","3,889,755.0","3,985,044.0","4,040,006.0","4,107,428.0","4,128,494.0","4,129,055.0","4,163,637.0","4,258,093.0","4,284,260.0","4,300,855.0","4,405,806.0","4,659,327.0","4,947,584.0","4,766,060.0","4,937,587.0","4,914,559.0","4,987,113.0","5,031,693.0","5,048,306.0","5,112,971.0","5,196,374.0","....."
"56","36","    Capital transfer receipts","W067RC1","4,562.0","4,800.0","4,549.0","4,589.0","4,768.0","4,784.0","4,676.0","4,828.0","4,954.0","5,035.0","5,450.0","7,749.0","7,737.0","6,024.0","6,435.0","7,020.0","7,256.0","6,116.0","6,312.0","6,720.0","6,720.0","6,408.0","6,164.0","5,900.0","5,948.0","6,465.0","6,717.0","6,662.0","6,806.0","7,065.0","7,173.0","7,900.0","14,162.0","7,874.0","7,653.0","7,415.0","7,168.0","7,096.0","7,196.0","7,296.0","7,448.0","7,312.0","7,464.0","7,940.0","8,168.0","8,716.0","9,296.0","8,932.0","8,652.0","9,124.0","9,508.0","9,764.0","11,476.0","10,336.0","10,004.0","8,596.0","8,284.0","8,432.0","8,884.0","7,560.0","8,708.0","8,212.0","8,192.0","8,328.0","8,906.0","8,593.0","9,362.0","8,875.0","9,506.0","9,958.0","10,482.0","10,130.0","10,714.0","10,571.0","10,918.0","10,101.0","10,584.0","10,384.0","11,702.0","11,786.0","11,549.0","12,587.0","12,341.0","13,263.0","13,599.0","18,730.0","15,566.0","15,125.0","15,527.0","14,965.0","16,481.0","15,415.0","15,741.0","14,961.0","16,033.0","16,445.0","16,538.0","17,309.0","17,558.0","19,143.0","20,381.0","21,305.0","19,635.0","19,591.0","19,321.0","19,055.0","20,604.0","21,176.0","21,555.0","22,968.0","24,135.0","23,782.0","25,679.0","26,324.0","27,515.0","28,378.0","30,580.0","32,127.0","32,819.0","34,046.0","35,298.0","36,622.0","36,350.0","38,550.0","35,948.0","35,915.0","35,384.0","35,313.0","36,150.0","37,846.0","41,040.0","34,652.0","34,564.0","32,628.0","33,668.0","29,736.0","28,928.0","26,616.0","26,584.0","29,736.0","29,260.0","29,876.0","32,268.0","29,628.0","30,232.0","29,556.0","38,604.0","31,028.0","36,716.0","31,756.0","32,180.0","31,060.0","29,500.0","31,540.0","30,928.0","34,068.0","32,764.0","36,000.0","32,424.0","34,264.0","27,828.0","25,852.0","23,852.0","22,136.0","21,780.0","20,404.0","19,340.0","17,376.0","15,004.0","14,364.0","13,960.0","14,188.0","16,495.0","17,776.0","19,720.0","32,601.0","24,756.0","25,552.0","27,210.0","26,410.0","25,267.0","24,076.0","23,063.0","22,757.0","24,177.0","24,990.0","24,535.0"
"57","37","  Total expenditures","W068RC1","299,514.0","305,995.0","312,747.0","316,943.0","324,421.0","337,433.0","344,636.0","352,332.0","356,662.0","371,214.0","375,046.0","381,070.0","396,982.0","401,846.0","402,328.0","416,094.0","423,009.0","435,218.0","433,044.0","446,127.0","460,761.0","472,916.0","502,034.0","516,056.0","544,971.0","567,096.0","577,816.0","593,891.0","602,811.0","599,823.0","611,410.0","621,856.0","637,310.0","649,503.0","660,330.0","680,042.0","694,380.0","713,025.0","738,679.0","758,111.0","767,182.0","789,911.0","817,629.0","842,607.0","883,048.0","908,287.0","942,010.0","961,190.0","1,010,713.0","1,022,760.0","1,045,535.0","1,087,440.0","1,105,724.0","1,131,806.0","1,166,322.0","1,204,674.0","1,226,829.0","1,236,770.0","1,268,727.0","1,276,572.0","1,300,617.0","1,329,386.0","1,358,057.0","1,399,677.0","1,429,416.0","1,460,615.0","1,490,132.0","1,513,690.0","1,532,472.0","1,558,249.0","1,601,000.0","1,599,325.0","1,620,226.0","1,645,438.0","1,659,770.0","1,690,618.0","1,706,738.0","1,722,118.0","1,734,051.0","1,779,220.0","1,817,118.0","1,855,016.0","1,887,186.0","1,918,815.0","1,971,249.0","2,001,276.0","2,027,106.0","2,100,628.0","2,039,486.0","2,113,004.0","2,170,761.0","2,201,697.0","2,260,470.0","2,295,786.0","2,322,247.0","2,342,348.0","2,347,650.0","2,362,675.0","2,388,458.0","2,407,131.0","2,391,822.0","2,424,256.0","2,469,109.0","2,505,316.0","2,543,224.0","2,571,076.0","2,557,407.0","2,575,903.0","2,627,131.0","2,654,497.0","2,659,610.0","2,677,764.0","2,709,295.0","2,703,841.0","2,741,505.0","2,771,669.0","2,759,079.0","2,789,013.0","2,817,043.0","2,864,666.0","2,885,713.0","2,915,409.0","2,954,789.0","3,034,523.0","3,025,076.0","3,082,026.0","3,108,053.0","3,155,567.0","3,226,956.0","3,308,983.0","3,326,531.0","3,378,930.0","3,450,879.0","3,500,472.0","3,542,011.0","3,618,146.0","3,683,079.0","3,760,664.0","3,784,821.0","3,812,523.0","3,905,701.0","3,944,467.0","4,014,480.0","4,039,555.0","4,148,441.0","4,194,536.0","4,331,531.0","4,355,958.0","4,399,651.0","4,469,694.0","4,528,433.0","4,484,528.0","4,691,032.0","4,756,804.0","4,802,798.0","4,851,038.0","4,930,539.0","5,315,159.0","5,218,391.0","5,361,381.0","5,414,273.0","5,636,245.0","5,606,829.0","5,628,683.0","5,729,314.0","5,808,734.0","5,778,353.0","5,784,418.0","5,766,743.0","5,870,838.0","5,802,554.0","5,812,911.0","5,765,667.0","5,771,169.0","5,745,445.0","5,841,373.0","5,744,294.0","5,751,305.0","5,777,096.0","5,773,743.0","5,814,475.0","5,879,020.0","5,940,868.0","5,935,378.0","5,932,037.0","5,935,246.0","6,132,592.0"
"58","38","    Current expenditures","W022RC1","271,170.0","280,157.0","287,428.0","295,344.0","301,755.0","315,869.0","322,206.0","330,085.0","339,750.0","352,006.0","355,295.0","362,453.0","377,559.0","381,800.0","385,226.0","398,858.0","405,266.0","414,939.0","418,378.0","427,768.0","441,327.0","460,500.0","475,778.0","495,706.0","517,786.0","544,555.0","549,523.0","562,071.0","569,776.0","573,923.0","588,276.0","597,722.0","609,422.0","621,000.0","636,048.0","655,475.0","669,347.0","681,405.0","699,626.0","717,770.0","734,663.0","749,997.0","774,151.0","801,728.0","833,913.0","859,653.0","899,540.0","927,695.0","960,150.0","982,008.0","1,014,903.0","1,044,297.0","1,066,635.0","1,086,758.0","1,122,130.0","1,165,567.0","1,178,899.0","1,202,359.0","1,219,615.0","1,220,754.0","1,244,537.0","1,272,969.0","1,297,573.0","1,328,370.0","1,355,087.0","1,377,898.0","1,406,065.0","1,428,251.0","1,446,679.0","1,476,481.0","1,502,679.0","1,512,190.0","1,526,104.0","1,547,719.0","1,560,209.0","1,594,576.0","1,618,153.0","1,629,394.0","1,648,818.0","1,691,248.0","1,730,371.0","1,768,726.0","1,795,356.0","1,828,084.0","1,872,152.0","1,904,749.0","1,931,370.0","1,972,617.0","1,943,412.0","2,019,202.0","2,063,579.0","2,112,291.0","2,166,517.0","2,206,189.0","2,238,042.0","2,262,829.0","2,271,363.0","2,285,982.0","2,314,972.0","2,333,110.0","2,330,460.0","2,355,030.0","2,390,285.0","2,432,929.0","2,468,971.0","2,496,370.0","2,511,673.0","2,503,543.0","2,550,783.0","2,575,406.0","2,578,925.0","2,608,280.0","2,622,041.0","2,644,799.0","2,658,453.0","2,692,636.0","2,682,813.0","2,709,778.0","2,721,787.0","2,763,913.0","2,781,591.0","2,806,661.0","2,844,524.0","2,896,023.0","2,901,833.0","2,964,148.0","2,987,973.0","3,033,073.0","3,103,992.0","3,163,344.0","3,196,629.0","3,232,229.0","3,296,004.0","3,342,406.0","3,377,411.0","3,437,269.0","3,502,313.0","3,572,649.0","3,591,088.0","3,622,904.0","3,716,007.0","3,748,432.0","3,798,115.0","3,848,858.0","3,953,326.0","4,002,972.0","4,070,080.0","4,134,767.0","4,195,613.0","4,256,640.0","4,320,850.0","4,324,046.0","4,467,689.0","4,526,530.0","4,567,497.0","4,626,916.0","4,712,978.0","5,094,089.0","4,968,043.0","4,891,263.0","4,985,930.0","5,262,863.0","5,315,991.0","5,316,393.0","5,443,496.0","5,491,071.0","5,525,839.0","5,549,711.0","5,558,948.0","5,642,124.0","5,587,145.0","5,580,658.0","5,589,869.0","5,616,698.0","5,602,706.0","5,683,067.0","5,630,378.0","5,645,506.0","5,671,751.0","5,675,094.0","5,723,050.0","5,777,327.0","5,847,767.0","5,830,253.0","5,842,689.0","5,944,701.0","6,017,828.0"
"59","39","    Gross government investment","A782RC1","61,517.0","59,714.0","59,910.0","57,022.0","58,997.0","58,846.0","60,239.0","61,088.0","58,046.0","58,331.0","59,181.0","58,477.0","60,024.0","60,971.0","59,138.0","62,631.0","66,180.0","65,595.0","64,555.0","66,232.0","70,968.0","76,106.0","78,123.0","79,452.0","83,062.0","79,220.0","85,446.0","89,861.0","92,938.0","89,004.0","88,687.0","87,932.0","91,465.0","94,242.0","93,637.0","93,287.0","93,606.0","104,996.0","109,720.0","113,944.0","109,819.0","116,994.0","125,358.0","128,228.0","135,780.0","134,739.0","134,356.0","138,932.0","146,427.0","145,369.0","145,727.0","151,859.0","150,194.0","156,556.0","157,493.0","163,553.0","164,549.0","167,293.0","174,662.0","178,155.0","183,808.0","189,755.0","194,069.0","205,082.0","207,854.0","218,677.0","226,736.0","226,220.0","228,585.0","234,668.0","246,319.0","242,764.0","247,430.0","253,705.0","259,011.0","258,416.0","253,533.0","258,509.0","258,717.0","262,821.0","263,439.0","267,517.0","275,009.0","275,758.0","286,629.0","288,438.0","290,711.0","295,690.0","290,745.0","295,137.0","295,562.0","294,922.0","300,311.0","297,732.0","294,276.0","292,151.0","288,440.0","293,329.0","291,441.0","294,333.0","283,288.0","290,345.0","302,354.0","300,699.0","305,521.0","310,081.0","306,686.0","308,432.0","314,735.0","317,911.0","321,693.0","325,466.0","330,362.0","330,025.0","331,285.0","326,459.0","324,577.0","336,888.0","351,763.0","352,379.0","356,301.0","364,248.0","370,557.0","382,760.0","387,708.0","385,956.0","391,615.0","395,738.0","401,680.0","421,709.0","406,706.0","424,443.0","434,387.0","439,447.0","447,968.0","452,487.0","455,349.0","461,043.0","472,240.0","472,394.0","475,266.0","487,555.0","494,413.0","496,608.0","498,174.0","509,585.0","519,379.0","527,428.0","534,251.0","553,727.0","555,759.0","565,653.0","575,574.0","590,708.0","597,231.0","605,312.0","611,363.0","632,755.0","645,756.0","648,629.0","642,749.0","651,900.0","651,397.0","642,072.0","635,405.0","655,321.0","660,509.0","656,030.0","637,677.0","639,099.0","637,455.0","637,296.0","623,585.0","622,846.0","612,912.0","598,402.0","591,359.0","590,287.0","594,706.0","592,760.0","583,524.0","597,216.0","598,713.0","603,906.0","593,321.0","613,539.0","619,162.0"
"60","40","    Capital transfer payments","W069RC1","84.0","76.0","76.0","80.0","104.0","132.0","112.0","172.0","176.0","132.0","140.0","172.0","196.0","236.0","304.0","160.0","192.0","184.0","188.0","212.0","232.0","268.0","248.0","288.0","304.0","296.0","296.0","296.0","296.0","252.0","228.0","220.0","164.0","284.0","252.0","200.0","228.0","252.0","264.0","260.0","296.0","336.0","376.0","396.0","412.0","412.0","336.0","456.0","316.0","276.0","304.0","400.0","384.0","356.0","272.0","236.0","172.0","144.0","132.0","108.0","108.0","96.0","104.0","116.0","136.0","164.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","180.0","388.0","172.0","172.0","2,596.0","160.0","400.0","156.0","140.0","3,588.0","1,048.0","200.0","204.0","208.0","1,972.0","180.0","208.0","196.0","196.0","204.0","220.0","500.0","600.0","292.0","228.0","212.0","288.0","252.0","288.0","280.0","316.0","17,032.0","404.0","400.0","468.0","208.0","260.0","240.0","276.0","356.0","404.0","420.0","704.0","15,084.0","15,219.0","20,190.0","17,381.0","15,701.0","16,384.0","16,489.0","36,651.0","16,973.0","24,765.0","16,446.0","87,133.0","40,992.0","21,795.0","18,860.0","16,923.0","15,920.0","27,038.0","27,255.0","27,308.0","18,930.0","18,985.0","19,074.0","30,717.0","284,176.0","241,549.0","155,980.0","71,543.0","104,877.0","90,272.0","109,407.0","43,323.0","34,295.0","32,201.0","58,362.0","53,278.0","73,747.0","35,696.0","19,133.0","20,644.0","54,410.0","17,129.0","13,797.0","12,025.0","7,876.0","12,409.0","11,808.0","9,287.0","12,803.0","7,707.0","9,133.0","8,394.0"
"61","41","    Net purchases of nonproduced assets","AD07RC1","1,132.0","1,168.0","1,050.0","990.0","861.0","710.0","1,013.0","732.0","-845.0","1,794.0","1,921.0","1,886.0","1,917.0","1,905.0","1,286.0","-1,337.0","-3,550.0","551.0","-3,068.0","139.0","-1,942.0","-12,079.0","2,113.0","-3,281.0","1,188.0","1,354.0","1,692.0","1,808.0","1,001.0","-1,219.0","-2,624.0","278.0","1,710.0","603.0","-1,920.0","155.0","1,756.0","-1,436.0","2,875.0","1,377.0","-619.0","1,718.0","-710.0","-3,795.0","-512.0","2,917.0","305.0","-10,269.0","2,452.0","-3,074.0","-10,812.0","-1,690.0","-1,304.0","1,193.0","1,707.0","-7,507.0","2,220.0","-12,441.0","-2,949.0","2,266.0","-431.0","-3,730.0","-1,701.0","278.0","3,040.0","2,795.0","-1,394.0","3,003.0","3,413.0","-3,829.0","3,745.0","-729.0","4,040.0","3,955.0","3,390.0","3,526.0","4,420.0","6,718.0","1,985.0","3,617.0","4,725.0","3,223.0","4,243.0","4,401.0","5,073.0","4,332.0","4,387.0","6,003.0","5,999.0","6,001.0","5,985.0","6,001.0","6,076.0","6,064.0","6,023.0","5,992.0","6,059.0","6,011.0","5,997.0","6,093.0","5,969.0","5,200.0","7,665.0","6,291.0","6,396.0","3,857.0","-21,739.0","6,066.0","5,122.0","5,404.0","4,284.0","-9,870.0","4,331.0","-22,007.0","1,761.0","4,088.0","3,895.0","-3,753.0","-652.0","6,754.0","8,234.0","7,852.0","5,275.0","8,284.0","8,081.0","7,917.0","7,410.0","8,452.0","4,808.0","9,246.0","9,926.0","10,692.0","10,909.0","11,092.0","11,121.0","10,610.0","10,553.0","10,030.0","10,522.0","10,916.0","11,202.0","10,711.0","10,722.0","9,417.0","9,265.0","8,860.0","5,071.0","8,856.0","8,853.0","8,456.0","8,682.0","-39,681.0","10,665.0","8,526.0","13,264.0","8,734.0","3,257.0","-8,074.0","3,973.0","-25,508.0","-14,754.0","7,622.0","10,433.0","10,401.0","10,306.0","8,937.0","9,213.0","9,918.0","9,497.0","8,655.0","7,418.0","7,800.0","7,546.0","7,765.0","7,782.0","5,517.0","7,519.0","6,677.0","5,919.0","8,495.0","8,636.0","8,129.0","3,480.0","8,625.0","9,106.0","-111,851.0","8,914.0"
"62","42","    Less: Consumption of fixed capital","A264RC1","34,389.0","35,120.0","35,717.0","36,493.0","37,296.0","38,124.0","38,934.0","39,745.0","40,465.0","41,049.0","41,491.0","41,918.0","42,714.0","43,066.0","43,626.0","44,218.0","45,079.0","46,051.0","47,009.0","48,224.0","49,824.0","51,879.0","54,228.0","56,109.0","57,369.0","58,329.0","59,141.0","60,145.0","61,200.0","62,136.0","63,158.0","64,296.0","65,451.0","66,626.0","67,688.0","69,075.0","70,558.0","72,192.0","73,805.0","75,239.0","76,977.0","79,134.0","81,545.0","83,950.0","86,545.0","89,434.0","92,528.0","95,624.0","98,632.0","101,818.0","104,587.0","107,425.0","110,184.0","113,057.0","115,280.0","117,175.0","119,011.0","120,585.0","122,732.0","124,711.0","127,405.0","129,704.0","131,988.0","134,169.0","136,702.0","138,920.0","141,427.0","143,920.0","146,325.0","149,179.0","151,850.0","155,008.0","157,476.0","160,077.0","162,984.0","166,044.0","169,505.0","172,636.0","175,605.0","178,598.0","181,549.0","184,594.0","187,566.0","190,400.0","193,437.0","196,395.0","199,517.0","202,034.0","205,110.0","207,904.0","210,377.0","211,694.0","212,615.0","214,587.0","216,266.0","218,798.0","220,806.0","222,808.0","224,352.0","226,560.0","228,035.0","229,907.0","232,243.0","234,804.0","237,868.0","239,440.0","241,185.0","242,318.0","243,717.0","244,420.0","245,487.0","246,315.0","247,658.0","249,475.0","250,594.0","251,806.0","252,434.0","254,112.0","256,144.0","258,630.0","260,701.0","263,631.0","265,881.0","269,576.0","272,950.0","276,396.0","279,414.0","281,903.0","283,784.0","285,555.0","287,006.0","288,791.0","290,826.0","292,893.0","295,193.0","297,304.0","300,354.0","303,248.0","306,410.0","309,392.0","313,158.0","318,721.0","325,422.0","332,301.0","337,089.0","343,326.0","350,133.0","356,085.0","360,861.0","367,988.0","373,780.0","381,410.0","389,933.0","396,215.0","402,503.0","408,854.0","416,044.0","422,684.0","430,097.0","437,180.0","441,200.0","442,120.0","442,535.0","445,060.0","450,166.0","456,002.0","460,530.0","465,535.0","471,581.0","477,400.0","482,743.0","486,591.0","491,029.0","495,274.0","498,599.0","500,023.0","502,090.0","504,962.0","507,305.0","510,482.0","513,144.0","515,461.0","518,379.0","520,209.0","520,786.0","520,276.0","521,707.0"
"63","43","  Net lending or net borrowing (-)","AD01RC1","-17,867.0","-18,631.0","-24,848.0","-25,263.0","-35,851.0","-45,684.0","-54,300.0","-61,217.0","-57,506.0","-66,057.0","-65,807.0","-62,891.0","-54,977.0","-54,209.0","-48,762.0","-50,513.0","-38,094.0","-45,167.0","-36,227.0","-37,343.0","-42,635.0","-40,039.0","-53,458.0","-70,448.0","-103,888.0","-154,428.0","-115,839.0","-120,060.0","-107,134.0","-93,193.0","-93,110.0","-92,043.0","-80,615.0","-79,748.0","-78,917.0","-82,716.0","-84,144.0","-65,321.0","-74,264.0","-69,087.0","-56,028.0","-64,055.0","-71,568.0","-80,250.0","-97,610.0","-125,358.0","-129,269.0","-109,876.0","-105,322.0","-102,612.0","-99,414.0","-147,411.0","-164,273.0","-178,187.0","-215,606.0","-247,870.0","-257,362.0","-227,584.0","-251,349.0","-232,744.0","-208,011.0","-213,544.0","-229,396.0","-245,549.0","-210,598.0","-269,456.0","-251,286.0","-260,890.0","-252,186.0","-276,552.0","-295,507.0","-257,616.0","-271,078.0","-209,183.0","-230,470.0","-238,781.0","-227,437.0","-224,746.0","-203,508.0","-215,789.0","-193,003.0","-218,291.0","-235,813.0","-255,620.0","-278,271.0","-282,891.0","-284,821.0","-339,853.0","-285,537.0","-347,937.0","-383,025.0","-392,791.0","-434,341.0","-442,043.0","-455,218.0","-433,156.0","-448,342.0","-405,840.0","-412,356.0","-359,510.0","-336,987.0","-314,338.0","-334,061.0","-338,100.0","-338,408.0","-341,730.0","-302,293.0","-294,010.0","-293,706.0","-252,888.0","-236,482.0","-193,928.0","-187,098.0","-137,777.0","-117,785.0","-115,766.0","-54,368.0","-44,881.0","-26,535.0","-23,666.0","-9,196.0","-5,450.0","6,352.0","-3,048.0","110,903.0","86,610.0","75,546.0","51,488.0","18,484.0","-68,544.0","-295,559.0","-253,246.0","-465,638.0","-515,234.0","-523,921.0","-588,672.0","-640,088.0","-699,954.0","-746,655.0","-650,718.0","-716,656.0","-690,923.0","-666,356.0","-628,160.0","-544,385.0","-542,709.0","-600,587.0","-537,567.0","-436,339.0","-446,919.0","-459,099.0","-376,840.0","-473,691.0","-506,052.0","-566,151.0","-594,622.0","-711,089.0","-1,086,447.0","-1,064,787.0","-1,357,509.0","-1,707,750.0","-1,948,929.0","-1,893,509.0","-1,838,034.0","-1,876,269.0","-1,898,575.0","-1,773,969.0","-1,727,036.0","-1,644,310.0","-1,727,980.0","-1,659,539.0","-1,635,086.0","-1,491,079.0","-1,469,132.0","-1,424,870.0","-1,402,966.0","-1,060,211.0","-778,169.0","-983,826.0","-809,746.0","-874,648.0","-867,831.0","-886,112.0","-864,315.0","-794,889.0","-713,883.0","....."
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
