"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"150","143","      Net expenditures abroad by U.S. residents (131)","DNFRRC0",959,918,856,905,881,983,1072,1291,1379,1496,1654,1763,1866,1700,1351,1208,1058,918,1008,1238,1414,1794,2052,2664,2705,2821,3160,2978,3075,2499,2700,2592,2349,960,1116,1335,1554,1704,2958,3241,3129,3219,3403,4034,4783,5043,5023,5282,6056,6458,7782,6517,8074,7833
"151","144","        Expenditures abroad by U.S. residents","DABDRC0",1068,1053,985,1022,1013,1130,1243,1461,1611,1730,1871,2029,2095,1930,1625,1494,1328,1177,1247,1464,1714,2172,2465,3062,3161,3333,3897,3697,3888,3473,3608,3641,3474,2570,2690,2775,2879,2874,4087,4379,4449,4585,4925,5552,6554,7003,7275,7952,9128,10042,10963,11567,11613,11134
"152","145","          Government employees' expenditures abroad","DARTRC0",1036,1020,951,987,977,1093,1205,1421,1570,1687,1826,1983,2047,1879,1576,1445,1277,1125,1198,1403,1647,2103,2396,3006,3105,3275,3839,3638,3828,3398,3505,3513,3326,2441,2563,2650,2755,2755,3925,4206,4273,4404,4730,5333,6295,6727,6988,7638,8768,9646,10530,11111,11155,10695
"153","146","          Private employees' expenditures abroad","DARSRC0",32,33,34,35,36,37,38,40,41,43,45,46,48,51,49,49,51,52,49,61,67,69,69,56,57,58,58,59,60,76,102,129,148,129,128,125,124,118,162,173,176,181,194,219,259,276,287,314,360,396,432,456,458,439
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRC0",109,135,129,117,132,147,171,170,232,234,217,266,229,230,274,286,270,259,239,226,300,378,413,398,457,512,737,719,813,975,907,1049,1125,1610,1574,1440,1325,1170,1129,1138,1320,1365,1522,1518,1771,1960,2252,2670,3072,3584,3181,5050,3539,3301
"155","148","Services","DSERRC0",145097,154780,163376,174367,184559,199200,214135,231273,248792,273386,300447,329507,359497,396415,435377,481393,542454,604949,677440,764054,853229,956034,1070133,1176203,1314796,1437383,1580002,1701117,1840664,2012748,2170687,2344151,2482638,2673622,2841247,3004252,3171748,3355935,3563862,3808467,4052790,4371239,4614801,4829234,5076075,5378457,5726798,6076266,6408325,6653847,6651535,6850855,7104223,7336451
"156","149","  Household consumption expenditures (for services)","DHCERC0",140037,149504,157911,168660,178559,192506,206943,223522,240371,264040,290365,318418,347168,382800,420748,464960,524404,584880,655649,739581,825430,924146,1033869,1136113,1271888,1389792,1529656,1645750,1782132,1945987,2098971,2264537,2398393,2581279,2746625,2901883,3064578,3240220,3451614,3677472,3907383,4205871,4428597,4624229,4864814,5169082,5515091,5836289,6154409,6369261,6372027,6571199,6812280,7035052
"157","150","    Housing and utilities","DHUTRC0",52849,56720,60301,64476,68208,72148,76618,81226,86344,92748,100982,109421,119981,131185,143486,158579,176527,194663,217806,244279,273403,311818,351952,386968,421162,458269,500668,535685,571808,614452,655601,696356,735540,771188,814503,866466,913779,961246,1009908,1065238,1125044,1198555,1287742,1334765,1393886,1462379,1582577,1686178,1756151,1831039,1871555,1891932,1929947,1965857
"158","151","      Housing","DHSGRC0",43954,46976,49955,53381,56469,59764,63627,67511,71866,77316,84207,91040,99725,108730,118990,130045,142420,156034,173353,194495,218026,245916,277830,302480,327163,358441,394682,429228,461750,497345,531470,570438,601788,634533,665948,712583,756172,794234,839282,893933,950490,1010486,1085759,1134517,1176116,1233890,1328897,1416275,1472855,1529912,1576174,1586593,1623289,1664889
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRC0",12532,13279,14150,15115,16045,17034,18156,19238,20390,22168,24042,25962,28395,30791,33696,35817,38983,42569,47016,51117,55676,61835,70950,78614,85536,94646,108307,119301,126824,133753,140127,150669,157633,163882,168752,176679,186233,191213,199384,208990,218730,227926,241929,249150,247106,253681,264687,283410,311112,330281,353137,360192,377566,394112
"160","153","          Tenant-occupied mobile homes","DTMHRC0",33,36,42,51,64,79,99,122,150,188,238,292,333,408,503,609,766,888,1003,1111,1340,1411,1538,1775,2033,2153,2311,2549,2769,2978,3183,3752,4204,4740,5032,5480,5961,6037,6075,5985,5809,6374,7548,8306,8693,8952,9068,8544,8007,7358,7143,7031,7032,7093
"161","154","          Tenant-occupied stationary homes","DTSPRC0",11971,12694,13547,14489,15391,16347,17429,18466,19566,21284,23084,24926,27294,29591,32338,34262,37129,40503,44714,48544,52682,58550,67304,74514,81047,89966,103352,113968,121085,127596,133403,143126,149435,154930,159342,166633,175440,180106,188046,197604,207393,215775,228335,234676,232233,238471,248896,267646,295536,315180,338303,345865,363290,379381
"162","155","          Tenant landlord durables","DTLDRC0",528,549,561,575,590,608,628,650,674,696,720,744,768,792,855,946,1088,1178,1299,1462,1654,1874,2108,2325,2455,2527,2644,2783,2970,3179,3541,3791,3994,4211,4378,4565,4832,5070,5263,5401,5528,5776,6045,6168,6180,6257,6723,7219,7570,7743,7692,7296,7245,7638
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC0",29047,31273,33285,35714,37787,39991,42668,45338,48329,51883,56627,61300,67344,73716,80980,89677,98778,108670,121336,138123,156871,178385,201023,218189,235996,258101,280785,304497,329438,357613,384868,412788,436687,462819,488461,526209,559814,592467,629459,674050,720267,768886,829759,870850,913823,962526,1044497,1111028,1141254,1179132,1202309,1205145,1222811,1247012
"164","157","          Owner-occupied mobile homes","DOMHRC0",400,438,472,523,592,693,815,943,1089,1294,1563,1821,2124,2634,3338,4072,4399,4500,5123,5950,6558,6992,8770,9564,10598,11606,12782,13741,14612,15625,16566,17591,19176,20205,20527,21164,21844,23038,24286,25275,26180,28113,33385,34271,33934,33686,33100,30329,27586,25967,25632,25226,25223,25349
"165","158","          Owner-occupied stationary homes","DOSTRC0",28647,30835,32813,35191,37195,39298,41853,44395,47240,50589,55064,59479,65220,71082,77642,85605,94379,104170,116213,132173,150313,171393,192252,208626,225398,246495,268003,290756,314827,341989,368302,395196,417511,442614,467935,505045,537970,569429,605173,648775,694087,740773,796374,836579,879890,928839,1011397,1080700,1113669,1153166,1176677,1179919,1197588,1221663
"166","159","        Rental value of farm dwellings (22)","DFARRC0",2031,2098,2202,2258,2360,2443,2481,2599,2747,2838,3046,3268,3475,3713,3784,3961,3998,4115,4369,4684,4924,5170,5345,5148,5171,5201,5114,4983,5041,5474,5907,6341,6774,7207,8067,9021,9404,9759,9636,10023,10591,12746,13142,13640,14286,16793,18829,20917,19496,19456,19643,20152,21716,22491
"167","160","        Group housing (23)","DGRHRC0",344,326,318,294,277,296,322,336,400,427,492,510,511,510,530,590,661,680,632,571,555,526,512,529,460,493,476,447,447,505,568,640,694,625,668,674,721,795,803,870,902,928,929,877,901,890,884,920,993,1043,1085,1104,1196,1274
"168","161","      Household utilities","DUTLRC0",8895,9744,10346,11095,11739,12384,12991,13715,14478,15432,16775,18381,20256,22455,24496,28534,34107,38629,44453,49784,55377,65902,74122,84488,93999,99828,105986,106457,110058,117107,124131,125918,133752,136655,148555,153883,157607,167012,170626,171305,174554,188069,201983,200248,217770,228489,253680,269903,283296,301127,295381,305339,306658,300968
"169","162","        Water supply and sanitation (25)","DWRSRC0",1214,1375,1478,1615,1821,1929,2062,2161,2225,2416,2758,3162,3559,4011,4438,4920,5460,6005,6669,7531,8409,9398,10476,11657,13107,14938,16978,19078,21074,22881,25260,27149,28819,30294,33498,36733,39337,42069,44058,46214,48740,50440,52379,54609,57375,60333,63724,69047,72919,77415,80018,83661,87220,91297
"170","163","          Water supply and sewage maintenance","DWSMRC0",1058,1199,1289,1408,1588,1682,1798,1884,1940,2107,2405,2757,3103,3497,3869,4290,4761,5236,5815,6555,7305,8137,9077,10082,11483,13064,14835,16545,18117,19688,21457,22721,24150,25239,27598,30102,32034,34032,35326,36606,38215,39483,41319,43556,45520,47565,50338,54054,57406,60830,63963,66832,69501,73544
"171","164","          Garbage and trash collection","DREFRC0",156,176,189,207,233,247,264,277,285,309,353,405,456,514,569,630,699,769,854,976,1104,1261,1399,1575,1624,1874,2143,2533,2957,3193,3803,4428,4669,5055,5901,6630,7304,8037,8732,9608,10525,10957,11060,11053,11854,12767,13386,14994,15513,16585,16055,16829,17719,17752
"172","165","        Electricity and gas","DELGRC0",7681,8369,8868,9480,9918,10455,10929,11554,12253,13016,14017,15219,16697,18444,20058,23614,28647,32624,37784,42253,46968,56504,63646,72831,80892,84890,89008,87379,88984,94226,98871,98769,104933,106361,115057,117150,118270,124943,126568,125091,125814,137629,149604,145639,160395,168156,189956,200856,210377,223712,215363,221678,219438,209671
"173","166","          Electricity (27)","DELCRC0",4714,5061,5327,5678,5950,6294,6607,7043,7527,8093,8772,9604,10622,11803,13303,16101,19388,21633,25174,28042,30741,37187,42472,47018,51576,55321,59254,60621,63253,66834,69681,71809,76636,76774,82749,84505,87581,90491,90704,93408,93578,98359,103368,107106,111532,115871,128720,140940,148673,155829,157408,167207,168358,165208
"174","167","          Natural gas (28)","DGHERC0",2967,3308,3541,3802,3968,4161,4322,4511,4726,4923,5245,5615,6075,6641,6755,7513,9259,10991,12610,14211,16227,19317,21174,25813,29316,29569,29754,26758,25731,27392,29190,26960,28297,29587,32308,32645,30689,34452,35864,31683,32236,39270,46236,38533,48863,52285,61236,59916,61704,67883,57955,54471,51080,44463
"175","168","    Health care","DHLCRC0",14831,16030,17120,19135,20978,24150,26038,28678,31929,36576,42059,47663,53725,59842,67175,76083,89000,101849,115691,131202,148840,171661,201914,225182,253125,276478,302195,330160,366011,410051,451209,506202,555759,612785,648809,680461,719886,752067,790949,832046,863590,918425,996565,1082873,1148152,1228489,1308890,1373655,1457692,1532617,1601588,1663026,1751620,1818098
"176","169","      Outpatient services","DOUTRC0",8653,9155,9618,10712,11506,13528,14450,15395,16279,17813,19946,22305,24093,26305,29855,33157,38494,43353,49497,54731,61534,70635,83585,90693,103303,115770,129444,143356,164431,186187,204641,232126,253768,282638,297450,314563,336597,351312,369147,390430,407136,436625,475797,514722,549636,590057,625938,652908,690328,728518,747369,770843,806413,825938
"177","170","        Physician services (44)","DPHYRC0",5533,5768,5945,6529,6954,8193,8559,9095,10067,10948,12431,14012,15344,16657,18452,20398,23571,25893,29728,32714,37171,43271,50993,55822,62858,69928,77489,85370,99137,112466,121895,134774,144894,158661,162051,168259,177849,183405,190873,202021,212102,229244,249300,269306,290448,312092,330549,343712,360218,377928,386893,396907,412594,420108
"178","171","        Dental services (45)","DDENRC0",1950,2028,2115,2272,2307,2685,2849,3002,3387,3719,4326,4872,5139,5644,6592,7253,8218,9250,10274,11335,12281,13730,16121,17370,18868,20601,22569,24217,26767,28414,30328,32421,34082,37636,39573,42224,45389,47800,50931,54627,58491,63573,69324,75568,78187,84073,89138,93269,99340,104436,104558,106981,113940,116482
"179","172","        Paramedical services (46)","DPMSRC0",1170,1359,1558,1911,2245,2650,3042,3298,2825,3146,3189,3421,3610,4004,4811,5506,6705,8210,9495,10682,12082,13634,16471,17501,21577,25241,29386,33769,38527,45307,52418,64931,74792,86341,95826,104080,113359,120107,127343,133782,136543,143808,157173,169848,181001,193892,206251,215927,230770,246154,255918,266955,279879,289348
"180","173","          Home health care","DHHCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10987,11999,14347,18399,22086,27026,31874,36662,41608,44450,45667,45303,43177,42801,45425,47032,49744,54057,57410,61064,66361,70727,75464,79057,82928,85628
"181","174","          Medical laboratories","DMLBRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3640,4596,5429,6407,7344,8256,8550,9129,9453,10127,11445,13247,14542,16910,19744,21024,23250,25340,27535,29195,30485,32611,33908,34287,35029,34800
"182","175","          Other professional medical services","DOMDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23900,28712,32642,40125,45362,51059,55402,58289,62298,65530,70231,75232,78824,84097,92004,101792,108007,114495,121306,125668,133924,142816,146546,153611,161922,168920
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19610,23284,25952,31249,34605,38472,41614,43557,46379,47879,47933,50435,51686,54169,58960,63795,67891,72394,76846,82094,88196,93938,97225,102454,107922,112566
"184","177","            All other professional medical services","DOMORC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4290,5428,6690,8876,10757,12586,13788,14732,15919,17651,22298,24797,27138,29929,33044,37997,40116,42101,44460,43574,45728,48878,49321,51157,54000,56354
"185","178","      Hospital and nursing home services","DHPNRC0",6178,6875,7502,8423,9472,10622,11588,13283,15650,18763,22113,25358,29632,33537,37320,42926,50506,58496,66194,76471,87306,101026,118329,134489,149822,160708,172751,186804,201580,223864,246568,274076,301991,330147,351359,365898,383289,400755,421802,441616,456454,481800,520768,568151,598516,638432,682952,720747,767364,804099,854219,892183,945207,992160
"186","179","        Hospitals (51)","DHSPRC0",5863,6303,6770,7545,8341,9080,9996,11330,13234,15736,18303,20901,24314,27580,30628,35260,41685,48625,55141,63623,72948,84662,100035,115176,127394,135803,145777,157413,170922,188785,207699,228784,253293,277619,295473,307246,318444,330073,345494,360080,373236,393892,427107,469536,494139,529257,567924,601942,640231,670208,715250,747263,793518,838586
"187","180","          Nonprofit hospitals' services to households","DNPHRC0",4404,4762,5144,5664,6304,6824,7424,8355,9691,11397,13393,15390,17763,19926,21971,25448,30329,35363,40396,46570,52764,61317,72107,82386,90397,95969,102109,109484,119014,131745,144714,159601,175876,192120,203075,208104,211946,218718,230865,241608,252256,264796,283610,312928,329540,357570,385887,408289,434910,449700,478256,501586,527781,558465
"188","181","          Proprietary hospitals","DFPHRC0",510,549,593,652,727,787,857,960,1116,1309,1540,1771,2044,2291,2539,2945,3510,4099,4652,5438,6370,7544,8967,10698,12089,13620,15371,17344,19235,21453,23776,26115,28511,30345,30941,32410,35334,38841,40766,42167,42038,43704,48296,56124,62012,64752,70358,75644,80045,88081,96459,98839,112251,119834
"189","182","          Government hospitals","DGVHRC0",949,992,1033,1229,1310,1469,1715,2015,2427,3030,3370,3740,4507,5363,6118,6867,7846,9163,10093,11615,13814,15801,18961,22092,24908,26214,28297,30585,32673,35587,39209,43068,48906,55154,61457,66732,71164,72514,73863,76306,78943,85392,95201,100484,102588,106935,111679,118008,125277,132428,140534,146839,153486,160287
"190","183","        Nursing homes (52)","DNRSRC0",315,572,732,878,1131,1542,1592,1953,2416,3027,3810,4457,5318,5957,6692,7666,8821,9871,11053,12848,14358,16364,18294,19313,22428,24905,26974,29391,30658,35079,38869,45292,48698,52528,55886,58652,64845,70682,76308,81536,83218,87908,93661,98615,104377,109175,115028,118805,127133,133891,138969,144920,151689,153574
"191","184","          Nonprofit nursing homes' services to households","DNPNRC0",93,169,216,259,334,455,470,577,714,894,1126,1317,1571,1760,1977,2265,2606,2916,3265,3796,4242,4834,5404,5705,6626,7357,7969,8683,10103,12378,13106,15081,15750,17654,19011,20018,21593,23398,25948,28199,29344,31058,33575,35438,37320,38625,41039,41990,44280,45327,47499,48668,49940,50005
"192","185","          Proprietary and government nursing homes","DFPNRC0",222,403,516,619,797,1086,1122,1376,1702,2133,2684,3140,3747,4197,4715,5401,6215,6955,7788,9053,10116,11530,12889,13607,15802,17547,19005,20708,20555,22701,25763,30211,32948,34874,36875,38635,43252,47284,50360,53337,53874,56850,60086,63177,67057,70550,73990,76814,82853,88564,91470,96251,101749,103569
"193","186","    Transportation services","DTRSRC0",8696,9180,9562,10133,10621,11350,12133,13067,14275,15872,17977,20043,22359,24544,26078,28472,32045,36155,41395,45200,50705,55366,59790,61729,68899,80016,90145,95009,103098,114150,121848,126372,123674,133622,146099,161896,177946,194955,214308,227160,243284,262252,262724,256730,263207,273708,285961,297494,307022,305911,284482,287631,302022,312755
"194","187","      Motor vehicle services","DMVSRC0",5467,5829,6169,6566,7023,7516,8029,8628,9351,10301,11487,12981,14565,15831,16645,17745,20624,23000,26637,29487,33200,35126,38409,39809,45019,52972,62038,65799,71804,79521,84778,87203,84378,93132,102619,115903,129137,142756,157235,165235,177651,189290,194784,191783,194209,199943,209616,217260,224339,221918,206476,207520,217219,226415
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRC0",4814,5136,5433,5779,6183,6602,7041,7568,8221,9055,10110,11449,12862,13975,14685,15710,18327,20468,23785,26438,29818,31190,33861,35109,39861,45869,53365,56247,61515,68261,72452,73905,69368,73722,78866,86470,93475,100134,106305,112771,119890,127418,133841,136837,143452,148449,155128,157148,162630,159213,149966,152407,160766,165936
"196","189","        Other motor vehicle services (61)","DOVSRC0",653,693,736,787,840,914,988,1060,1130,1246,1377,1532,1703,1856,1960,2035,2297,2532,2852,3049,3382,3936,4548,4700,5158,7103,8673,9552,10289,11260,12326,13298,15010,19410,23753,29433,35662,42622,50930,52464,57761,61872,60943,54946,50757,51494,54488,60112,61709,62705,56510,55113,56453,60479
"197","190","          Motor vehicle leasing","DMVLRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,67,129,201,268,336,487,697,960,1046,1237,1931,2537,2872,3184,3477,3955,4836,5960,9540,12797,17292,22903,28330,34844,34639,38412,41115,39909,33753,28814,27827,29550,34271,35396,35417,29957,27835,27108,28415
"198","191","            Auto leasing","DALERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059,3237,3575,4091,4757,8170,10509,12786,15860,18063,21731,20268,21358,22019,23016,19459,16731,13599,14256,18301,19983,21115,18911,18841,18816,19949
"199","192","            Truck leasing","DTLERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,240,380,745,1203,1370,2288,4506,7043,10267,13113,14371,17054,19096,16893,14294,12082,14228,15294,15970,15412,14302,11046,8994,8292,8466
"200","193","          Motor vehicle rental","DMVRRC0",118,126,133,142,151,162,173,185,201,230,273,327,389,434,447,460,515,552,626,637,662,710,750,713,896,1522,2133,2544,2866,3154,3164,3292,3504,3443,4092,4860,4993,5887,6604,7138,7887,8439,8175,8446,8550,9445,9902,10507,10657,10966,10212,10318,11326,12052
"201","194","          Parking fees and tolls","DPFTRC0",535,567,603,646,689,752,816,874,929,1016,1104,1205,1314,1423,1491,1508,1652,1779,1958,2076,2233,2529,2837,2941,3025,3650,4004,4135,4239,4629,5207,5171,5546,6427,6864,7281,7766,8405,9482,10687,11463,12318,12859,12747,13393,14221,15036,15334,15657,16322,16341,16960,18018,20013
"202","195","      Public transportation","DPUBRC0",3229,3351,3393,3567,3598,3834,4104,4439,4924,5571,6490,7062,7794,8713,9433,10727,11421,13155,14758,15713,17505,20240,21381,21920,23880,27044,28107,29210,31294,34629,37070,39169,39296,40490,43480,45993,48809,52199,57073,61925,65633,72962,67940,64947,68998,73765,76345,80234,82683,83993,78006,80111,84803,86340
"203","196","        Ground transportation (63)","DGRDRC0",2637,2672,2630,2682,2670,2749,2823,2962,3109,3331,3639,3982,4308,4578,4712,5173,5519,6013,6450,6598,7098,7445,7973,8405,8743,9349,9777,9874,9969,11191,11796,12938,14015,14764,15435,16135,16679,17436,18050,19655,20507,21578,22766,23133,23298,25125,26195,28293,28408,29682,29743,30490,32131,34098
"204","197","          Railway transportation","DIRRRC0",454,448,433,428,409,425,429,445,424,397,398,395,370,401,419,490,474,505,508,495,556,588,660,675,699,664,616,559,539,605,668,696,697,546,526,488,482,489,490,519,555,635,697,726,713,719,733,810,906,996,919,1033,1103,1179
"205","198","          Road transportation","DROTRC0",2183,2224,2197,2254,2262,2324,2394,2516,2685,2934,3242,3587,3939,4177,4292,4683,5045,5508,5942,6103,6542,6858,7313,7730,8044,8685,9161,9315,9430,10585,11127,12242,13317,14219,14909,15647,16197,16948,17559,19136,19952,20943,22069,22407,22585,24406,25463,27483,27502,28686,28824,29456,31028,32919
"206","199","            Intercity buses","DIBURC0",156,154,155,161,159,184,206,236,258,273,284,311,340,354,383,446,455,475,518,576,719,873,987,1029,928,847,754,603,667,832,717,615,674,682,724,776,836,895,1022,1118,1202,1360,1410,1412,1394,1353,1306,1303,1206,1302,1091,938,997,1138
"207","200","            Taxicabs","DTAXRC0",603,609,570,588,595,595,612,638,692,856,1013,1180,1403,1573,1581,1687,1968,2208,2397,2220,2043,1866,1689,1513,1851,2296,2572,2514,2359,2276,2299,2577,2625,2586,2713,2799,2989,3162,3258,3499,3269,3071,3367,3454,3209,3776,4029,4448,4383,4341,4361,4544,4491,4764
"208","201","            Intracity mass transit","DIMTRC0",1259,1295,1304,1327,1332,1340,1346,1381,1444,1491,1609,1726,1787,1815,1853,1994,2051,2218,2354,2556,2845,2998,3380,3864,3997,4265,4521,4941,5013,5669,6222,7124,7843,8567,8794,8962,8749,8796,8673,9411,10040,10876,11336,11298,11952,12769,13415,14624,14558,15493,16033,16218,17300,18079
"209","202","            Other road transportation service","DORTRC0",166,166,169,177,176,204,229,262,291,314,335,370,408,435,476,555,571,607,672,751,934,1120,1257,1324,1269,1278,1314,1257,1391,1808,1890,1926,2175,2384,2678,3109,3623,4094,4606,5108,5442,5636,5956,6243,6030,6508,6714,7108,7354,7550,7341,7756,8239,8938
"210","203","        Air transportation (64)","DAITRC0",591,678,762,884,927,1084,1279,1475,1812,2236,2846,3075,3480,4128,4712,5543,5890,7128,8291,9096,10384,12768,13377,13480,15066,17552,18088,18987,20935,22987,24840,25891,25069,25581,27742,29226,31072,33269,37216,40269,43042,49166,42873,39515,43348,46163,47654,49368,51596,51603,45811,46970,49823,49038
"211","204","        Water transportation (65)","DWATRC0",1,1,1,1,1,1,2,2,3,4,5,5,6,7,9,11,12,14,17,19,23,27,31,35,71,143,242,349,390,451,434,340,212,145,303,632,1058,1494,1807,2001,2084,2218,2301,2299,2352,2477,2496,2573,2679,2708,2452,2651,2849,3204
"212","205","    Recreation services","DRCARC0",5921,6480,6945,7455,7926,8480,8976,9768,10452,11703,12925,14001,15118,16329,18348,20948,23653,26535,29562,32850,36725,40837,47125,52473,59430,66117,73958,80369,87276,99233,110665,121766,127181,139799,153375,164661,181092,195583,208318,220587,238788,255475,263552,272833,290088,313293,328233,351447,375350,381909,370684,378506,394534,410228
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC0",3476,3799,4073,4333,4566,4808,5048,5443,5711,6346,6926,7575,8091,8628,9364,10775,12106,13211,14961,16623,18282,20149,22611,24641,27214,29383,31994,33921,35799,40016,45305,49733,52106,57425,61233,64206,69535,74607,78995,83320,87287,91929,94315,97513,102723,108552,115186,123139,131780,135045,131563,135143,141051,149455
"214","207","        Membership clubs and participant sports centers","DMDFRC0",990,1131,1262,1343,1402,1432,1439,1494,1546,1576,1585,1609,1610,1676,1901,2228,2640,3080,3528,3718,4049,4457,4905,5461,6351,7154,8648,9873,11002,12142,13385,14289,14973,16282,16840,17474,18599,20272,24329,24955,25890,26390,26619,27475,28316,29783,31119,32865,35044,35477,33713,34103,35005,37748
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRC0",795,892,991,1096,1203,1310,1336,1482,1605,1836,2163,2529,2828,3248,3763,4295,4840,5349,6009,6551,7334,8493,9949,10549,11471,11806,12844,12764,13118,14934,17314,19192,20047,23332,24597,25729,28352,29343,28362,29360,29964,31122,31335,30233,32167,33785,36381,39010,42448,44663,43157,45064,47953,53890
"216","209","        Admissions to specified spectator amusements","DADMRC0",1631,1707,1741,1806,1865,1959,2162,2343,2425,2779,2993,3219,3409,3431,3387,3868,4198,4297,4868,5720,6189,6390,6828,7654,8343,9300,9261,9967,10278,11392,12875,14402,15180,15739,17514,18628,20085,22443,23660,26060,28127,30616,32310,35018,37109,39526,41562,45169,48432,48965,48873,50130,51901,51347
"217","210","          Motion picture theaters","DMOVRC0",1043,1045,1044,1033,1029,1038,1163,1219,1227,1400,1507,1629,1733,1744,1647,2022,2197,2074,2368,2752,2823,2578,2721,3134,3188,3421,3244,3338,3443,3884,4572,5136,5231,4939,5056,5308,5612,6099,6608,7226,7948,8611,8993,9597,9883,10095,9859,10471,10964,11037,11581,11814,11610,12199
"218","211","          Live entertainment, excluding sports","DLIGRC0",277,298,285,304,309,334,339,380,418,420,433,454,454,489,533,597,668,800,918,1126,1296,1520,1746,1828,2093,2407,2738,3346,3470,3770,3799,4458,4656,5167,6102,6530,7040,7494,7851,8742,9504,10364,11104,11880,12963,14039,15269,16615,17423,17475,17425,17951,18984,17301
"219","212","          Spectator sports","DSPERC0",311,364,412,469,527,587,660,744,780,959,1053,1136,1222,1198,1207,1249,1333,1423,1582,1842,2070,2292,2361,2692,3062,3472,3279,3283,3365,3738,4504,4808,5293,5633,6357,6790,7433,8851,9202,10092,10675,11642,12213,13541,14264,15392,16434,18083,20045,20453,19867,20365,21307,21846
"220","213","        Museums and libraries","DMUSRC0",60,69,79,88,96,107,111,124,135,155,185,218,244,273,313,384,428,485,556,634,710,809,929,977,1049,1123,1241,1317,1401,1548,1731,1850,1906,2072,2281,2375,2499,2548,2643,2945,3306,3800,4051,4787,5130,5458,6124,6095,5856,5940,5820,5846,6192,6470
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC0",1562,1718,1832,1935,2059,2183,2315,2537,2803,3164,3538,3800,4116,4300,4981,5689,6464,7497,8051,8622,9653,10733,12350,14012,16608,18967,21928,24482,27161,31144,34656,37875,39388,42597,45979,46500,49994,52772,55540,60012,65508,70138,72652,73441,77165,83732,85449,89703,96277,99947,100516,102048,106904,109877
"222","215","        Cable and satellite television and radio services","DCTVRC0",63,80,96,118,139,155,167,196,237,302,381,456,520,613,746,914,1099,1308,1641,2015,2430,3145,4471,5632,7109,8338,9419,10533,11810,13687,15901,18032,19269,21408,23166,22343,24488,27400,30131,33461,37472,41555,44540,45812,49189,55332,59296,63722,69578,74173,76817,79296,83437,85813
"223","216","        Photo processing","DFDVRC0",201,222,241,262,295,331,385,471,534,591,652,682,724,806,1079,1323,1464,1836,1874,1983,2338,2643,2795,2710,3158,3493,3806,4110,4431,4955,5427,5368,5466,5499,5767,5944,6097,6377,6530,6612,6629,6409,6060,5946,5659,5087,3936,2912,2800,2577,2402,2383,2794,2992
"224","217","        Photo studios","DPICRC0",304,323,330,343,363,403,452,509,569,689,825,953,1064,922,1023,1167,1331,1627,1614,1806,1989,2074,2221,2459,2712,2779,2996,3381,3717,4115,4282,4679,4867,5318,5727,5994,6510,6455,6072,6381,6396,6529,6635,6546,6640,6768,6945,7050,7420,7498,7094,6930,6905,6929
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRC0",994,1092,1165,1211,1262,1294,1311,1361,1462,1581,1680,1709,1808,1959,2133,2285,2571,2726,2922,2818,2896,2872,2863,2841,2937,3033,3363,3437,3868,4188,4163,4160,3994,4082,4298,4265,4485,4472,4614,5241,5808,6627,6831,7218,7312,7868,7652,8262,8669,8562,7994,7898,8069,8156
