"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"332","325","Q1MUS1 D       Museums and libraries","Q1MUS10",4383,4358,4497,5018,5556,5960,6492,6910,7005,7282,7533,8078,8162,8585,8358,8421,8745
"333","326","Q1FOU1 D       Foundations to religion and welfare","Q1FOU10",9088,9894,9897,10015,9203,8886,8312,7471,8307,9149,9334,10789,11066,10918,10999,11017,11270
"334","327","Q1WEL1 D       Social welfare","Q1WEL10",66541,68017,72555,76387,79164,82869,85099,89441,92721,98764,105218,114557,118811,122419,122880,125064,127229
"335","328","Q1CHC1 D         Child care","Q1CHC10",20088,17965,18769,19878,20665,21699,21719,22843,23235,24448,25517,26878,27424,27859,28185,28370,28192
"336","329","Q1SCW1 D         Social welfare","Q1SCW10",46981,50142,53821,56561,58561,61239,63408,66628,69497,74319,79701,87695,91425,94628,94744,96777,99205
"337","330","Q1REL1 D       Religion","Q1REL10",38620,40114,41102,41664,44088,44129,46295,45025,46416,46108,45909,47091,47536,46684,47964,48387,48799
"338","331","Q1FOR1 C     Net foreign travel","Q1FOR10",-15507,-23484,-28260,-28458,-26142,-31391,-34270,-31195,-20605,-20382,-16243,-10850,-11705,-10033,-11108,-12573,-7553
"339","332","Q1FTR1 C       Foreign travel by U.S. residents (110)","Q1FTR10",53340,48901,51436,54373,57697,57537,59925,65527,73679,76117,84415,79654,74483,72099,77811,79613,84789
"340","333","Q1AFT1 D         Passenger fares for foreign travel","Q1AFT10",19234,17636,19209,20586,22929,22273,23323,25746,28636,30186,33237,30369,27575,28401,32348,34716,37298
"341","334","Q1UST1 D         U.S. travel outside the U.S.","Q1UST10",33096,30262,31316,32770,33828,34098,35361,38425,43410,44155,49144,47029,44360,40738,42360,41659,43871
"342","335","Q1USS1 D         U.S. student expenditures","Q1USS10",770,783,762,901,983,1119,1211,1354,1603,1782,2034,2305,2681,2914,2976,3120,3491
"343","336","Q1EXF1 C       Less: Expenditures in the United States by nonresidents (112)","Q1EXF10",68847,72385,79696,82831,83839,88928,94196,96722,94284,96499,100658,90504,86187,82132,88919,92186,92342
"344","337","Q1FTU1 D         Foreign travel in the U.S.","Q1FTU10",59428,62692,69753,72680,73576,78566,83666,86025,83174,85053,88809,77980,73593,69790,77674,81400,81885
"345","338","Q1MEF1 D         Medical expenditures of foreigners","Q1MEF10",1117,1083,1047,1024,1024,1053,1183,1269,1329,1432,1501,1568,1256,1260,1261,1416,1468
"346","339","Q1EFS1 D         Expenditures of foreign students in the U.S.","Q1EFS10",8651,8905,9008,9204,9315,9330,9333,9409,9780,10013,10348,10912,11248,10947,10239,9833,9540
"347",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","340","Q1TGD1 D   Goods","Q1TGD10",1917689,1884834,1941466,2019908,2117350,2176737,2265522,2365071,2511360,2680611,2810542,2887157,3000310,3120517,3256547,3385017,3509805
"349","341","Q1CGP1 D   Control Group","Q1CGP10",1683633,1677540,1719475,1787090,1871725,1936701,2014676,2095192,2209824,2349765,2466789,2521305,2612527,2722077,2853360,2982891,3117355
"350","342","Q1PXC1 D   PCE except computers, peripherals, and software","Q1PXC10",4830032,4832309,4986641,5145727,5331060,5464703,5636511,5832154,6109886,6406900,6695545,6856238,7032264,7216793,7471224,7700212,7927191
"351","343","Q1GXC1 D     Goods except computers, peripherals, and software","Q1GXC10",1974018,1934538,1989097,2062332,2155100,2205758,2281095,2364650,2495045,2648902,2766708,2832998,2932849,3040778,3164478,3278798,3388941
"352","344","Q1DXC1 D       Durables except computers, peripherals, and software","Q1DXC10",497514,463808,487950,519894,557787,573546,605768,643055,702469,772551,819492,846380,896426,939039,989455,1026209,1052916
"353","345","Q1FXC1 D         Furniture and household equipment except computers, peripherals, and software","Q1FXC10",151545,148687,154136,164845,178288,189947,200505,210934,226035,248500,269073,277363,295100,314081,344997,372526,408587
"354",NA,"         Market-based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","346","Q1MBP1   Market-based PCE","Q1MBP10",NA,NA,NA,NA,NA,NA,NA,5013289,5260696,5538132,5785944,5933775,6109147,6285618,6506005,6720200,6917848
"356","347","Q1MBF1     Market-based PCE food","Q1MBF10",NA,NA,NA,NA,NA,NA,NA,836057,856235,884085,915505,930455,944746,967506,999182,1039126,1079618
"357","348","Q1MBE1     Market-based PCE energy","Q1MBE10",NA,NA,NA,NA,NA,NA,NA,313747,323080,330472,334781,334132,342237,346087,350342,352186,347288
"358","349","Q1MBX1     Market-based PCE excluding food and energy","Q1MBX10",NA,NA,NA,NA,NA,NA,NA,3866921,4083725,4324296,4535658,4669324,4822448,4972306,5157587,5332029,5499485
"359","350","Q1MBV1       Market-based PCE motor vehicles and parts","Q1MBV10",NA,NA,NA,NA,NA,NA,NA,270295,303724,336075,349024,366374,393717,405514,413590,413461,399580
"360","351","Q1DXM1       Market-based PCE durables excluding motor vehicles and parts","Q1DXM10",NA,NA,NA,NA,NA,NA,NA,342854,381923,432360,476808,494774,536070,579908,637702,693369,756861
"361","352","Q1MPC1       Market-based PCE clothing and shoes","Q1MPC10",NA,NA,NA,NA,NA,NA,NA,245650,262792,282391,297401,303417,317889,333687,350356,372242,390734
"362","353","Q1MBN1       Market-based PCE other nondurables","Q1MBN10",NA,NA,NA,NA,NA,NA,NA,454069,478268,505889,529638,545818,563349,589699,614920,636387,663621
"363","354","Q1MBH1       Market-based PCE housing","Q1MBH10",NA,NA,NA,NA,NA,NA,NA,912428,938586,968040,995742,1022866,1031111,1040849,1072763,1107315,1137386
"364","355","Q1MBO1       Market-based PCE other household operation","Q1MBO10",NA,NA,NA,NA,NA,NA,NA,211253,224756,238239,251687,255691,255075,258973,268047,272371,275346
"365","356","Q1MBT1       Market-based PCE transportation services","Q1MBT10",NA,NA,NA,NA,NA,NA,NA,333683,344181,356593,364749,362830,355109,355576,360879,363447,366978
"366","357","Q1MBM1       Market-based PCE medical care services","Q1MBM10",NA,NA,NA,NA,NA,NA,NA,646593,661098,668586,694022,734178,782128,815629,841210,872115,899938
"367","358","Q1MBR1       Market-based PCE recreation services","Q1MBR10",NA,NA,NA,NA,NA,NA,NA,159511,166021,174553,180583,184998,186521,189498,197654,200929,207297
"368","359","Q1PER1       Market-based PCE personal care services","Q1PER10",NA,NA,NA,NA,NA,NA,NA,75000,79531,83464,87029,86912,88845,91205,96855,98579,102438
"369","360","Q1MBB1       Market-based PCE personal business","Q1MBB10",NA,NA,NA,NA,NA,NA,NA,144733,162220,188576,213131,210448,214612,220098,223263,231317,238683
"370","361","Q1GED1       Market-based PCE public higher education","Q1GED10",NA,NA,NA,NA,NA,NA,NA,36797,37955,39233,40794,43582,44046,44149,42485,42203,42638
"371","362","Q1VED1       Market-based PCE commercial and vocational schools","Q1VED10",NA,NA,NA,NA,NA,NA,NA,23728,25841,27223,29533,30342,29878,28918,27595,27300,27740
"372","363","Q1CHC1       Market-based PCE child care","Q1CHC10",NA,NA,NA,NA,NA,NA,NA,22843,23235,24448,25517,26878,27424,27859,28185,28370,28192
"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","  the Survey of Current Business monthly (NIPA table 2.8.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","  Business annually (NIPA table 2.5.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
