"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"87","80","    Other (94+100+101+102+103)","A491RC1",0.8,0.8,0.7,0.6,0.5,0.6,0.6,0.7,0.8,0.7,0.7,0.8,0.9,0.9,1,1.1,1.3,1.6,1.8,1.9,2,2.1,2.3,2.5,2.8,3,3.2,3.5,3.9,4.2,4.7,5.2,5.7,6.1,6.6,7.1,7.4,8,8.6,9.6,10.7,11.8,12.8,14.1,16.3,18.5,21.1,23.9,26.4,28.8,32.4,37,43.5,48.9,54.9,60,68,73.2,79.1,90.1,100.8,110.8,116.9,130,141.9,151.7,166.8,179,190.1,203,220.2,237.9,251.9,264.3,281.7,304.2,322.3
"88","81","  Other","A178RC1",8,7.6,6.7,5.6,5.1,5.2,5.6,6,6.5,6.3,6.3,6.5,7,7.5,8.7,9.4,9.9,11.3,12.5,13.6,14,15,16,17.1,18.5,20,21.7,23.8,25.4,27,29.4,31.3,33.3,35,36.9,40.4,44.2,48.4,53,57.7,62.9,68.8,74,81.4,88,97.1,109.7,120.1,132.8,151.8,166.2,183.8,196.7,218.8,261.6,282.1,319.8,349.9,381.2,409.4,432.8,461,490.6,535.5,569.8,596.7,622.5,667.6,722.4,790.5,860.7,945.9,980.7,1022.7,1064,1148.9,1208.4
"89","82","    Personal care","A488RC1",1.8,1.7,1.4,1.1,1,1.1,1.2,1.3,1.5,1.4,1.4,1.5,1.7,2,2.4,2.7,2.9,3.3,3.6,3.8,3.8,3.8,4.1,4.3,4.6,4.8,5.1,5.4,5.7,5.8,6.2,6.4,6.7,7.1,7.2,7.7,8.2,8.9,9.5,10.1,10.3,10.6,10.4,10.8,11.4,11.8,12.5,13.4,15,16.5,17.5,18.6,19.4,19.6,23.7,25.3,28.2,31.2,34.8,40.2,44.3,48.1,46.3,51.5,53.6,56.7,61.2,64.4,69.6,75,80.7,87,90.4,94.6,99.5,108.9,114.6
"90","83","      Cleaning, storage, and repair of clothing and shoes (17)","A478RC1",1.1,1,0.9,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.5,1.6,1.7,2.2,2.4,2.5,2.5,2.5,2.7,2.8,2.9,2.9,3,3.1,3.2,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.8,4,4.1,4.3,4.5,4.5,4.3,4.5,4.4,4.4,4.5,4.7,4.9,5.3,5.5,5.7,5.9,5.8,6.3,6.9,7.3,7.7,8.4,9.6,10.6,11.3,11,11.4,11.4,11.7,12.3,12.5,13.6,14.3,15.1,15.7,15.8,15.8,15.2,15.7,15.8
"91","84","      Barbershops, beauty parlors, and health clubs (22)","BBBBRC1",0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1,1,1.1,1.2,1.3,1.4,1.6,1.7,2,2.2,2.3,2.5,2.6,2.8,3.1,3.2,3.4,3.6,4,4.4,4.6,4.6,4.9,4.8,4.9,5.2,5.5,5.8,6.2,7.3,8,8.3,8.6,8.7,8.7,10.9,11.8,13.1,14.5,16.5,18.3,19.9,20.9,21.6,24.1,24.1,24.9,26.8,28.1,31.2,33.6,35.6,38.4,40.1,42.3,44.4,48.4,50.5
"92","85","      Other (19)","ACOTRC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.2,1.3,1.3,1.5,1.8,1.9,2.2,2.5,2.7,3.2,3.7,4.2,4.8,5.1,6.5,6.7,7.8,9,9.9,12.3,13.8,15.8,13.7,16,18.1,20.1,22.1,23.7,24.8,27.2,30.1,32.9,34.5,36.5,39.9,44.7,48.3
"93","86","    Personal business","A479RC1",3.8,3.4,2.9,2.5,2.5,2.5,2.7,2.9,3.1,3,3,3.1,3.2,3.3,3.7,3.9,4.1,4.7,5.2,5.6,5.8,6.4,6.9,7.2,8,8.8,9.8,10.7,11.4,12.2,13.1,14.1,15.3,15.9,16.7,18.4,20.1,22,23.7,26,28.9,31.8,34.3,37.7,41.3,46.6,54.9,60.5,67.2,78.9,85.9,95.2,102.3,115.1,143.6,151.8,177.5,198.3,213.6,224.2,236.3,250.9,279.7,306.7,330,336.1,349.6,376,412.9,446.1,491.6,539.1,536.5,547,559.7,612.4,647.9
"94","87","      Brokerage charges and investment counseling (61)","BBRORC1",0.8,0.5,0.3,0.2,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.6,0.7,0.7,0.7,0.9,1.2,1.2,1.6,1.5,1.7,1.9,2.2,2.6,3,3.5,3,2.3,3,3.4,2.5,2.1,2.9,3.6,3.6,4.4,4.9,6.9,6.9,8.8,12.7,12.3,15.2,20.3,23.4,19.8,23,23.2,26.8,31.6,38.2,37.9,43.5,51.5,60.8,69.1,84.4,100.6,77.8,76.5,77.4,86.6,90.5
"95","88","      Bank service charges, trust services, and safe deposit box rental (62)","BBNKRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.2,2.3,2.6,2.8,3.1,3.4,3.9,4.4,5.1,6.5,8.3,10.4,11.5,13.4,15.6,18.2,19.9,21.4,23.6,25.5,28.2,30.9,34,35.3,37.2,40.5,43.7,50.2,58.3,64.2,69.1,75.9,81.8,89.3,99.9
"96","89","      Services furnished without payment by financial intermediaries except life insurance carriers (63)","AIMPRC1",0.8,0.8,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,1,1.2,1.2,1.3,1.4,1.5,1.7,2.2,2.4,2.8,3.1,3.2,3.1,3.5,3.8,4.1,4.2,4.2,4.8,5.2,5.7,6.3,6.9,8.9,10.6,11.4,12.6,14.4,17.5,22.4,22.6,25.2,30.5,32.6,33,32.6,35.6,55,55.1,65.4,72.6,78.9,79,76.7,81.9,93.7,107.6,109.4,113.6,113.3,121.8,133.1,143.6,157.2,167.2,180,186.5,180.9,197.4,203.7
"97","90","      Expense of handling life insurance and pension plans (64)","BLIFRC1",0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.4,1.6,1.6,1.8,1.9,2,2.1,2.2,2.5,2.8,3.1,3.3,3.2,3.6,3.8,3.9,4.2,4.7,5.2,5.4,5.4,6,6.5,7.2,7.4,8,9.1,10.2,11.7,14.3,16.3,18.9,21.2,24.3,26.6,29.9,31.2,34.2,39.8,41.6,41.3,47.5,51.5,53.2,61.6,62,70.6,68.9,72.9,74.4,81.9,82.7,85.2,96.1,91.9,84.9,85.9,98.7,106.9
"98","91","      Legal services (65)","BGALRC1",0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.4,1.4,1.6,1.8,2,2,2.3,2.4,2.6,2.8,3,3.4,3.6,3.8,4.2,4.9,5.4,6,6.9,7.6,7.9,8.7,9.6,11,11.7,13.1,15.5,17.2,18.9,21.4,24.5,27.2,30.8,34.6,37.6,40.9,41.7,44.9,46.2,47,47.4,50.5,53.7,57.5,61,63.9,68,71.2,78.1,82,85.6
"99","92","      Funeral and burial expenses (66)","BFUNRC1",0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.5,2.6,2.7,2.8,2.9,3.3,3.5,3.8,4,4.5,4.8,5.1,5.4,6,6.8,7.1,7.5,8.3,8.8,9.5,10.1,11,11.5,11.6,12.4,12.7,13,13.8,14,14,14.6,14.8,15.9,15.6,16
"100","93","      Other (67)","APBORC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.5,2.8,3.1,3.6,4,4.5,5.1,5.8,6.3,7,7.6,8.2,8.9,9.5,10.3,11.1,11.8,13.5,15,16.6,17.6,18.6,20.2,21.8,23,24.6,26.7,29.1,31.6,33.1,35.2,37.2,39.7,42.8,45.3
"101","94","    Education and research","A482RC1",0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.1,1.1,1.1,1.2,1.5,1.7,1.8,1.9,2.1,2.2,2.3,2.5,2.7,3,3.4,3.7,4,4.4,4.7,5.1,5.6,6.2,7,8,8.9,10.1,11.3,12.7,13.9,15.3,16.9,18.5,20.6,22.5,24.2,26.8,29.8,33.5,37.6,41.3,45.4,49.4,53.9,58.1,63.2,70.2,77.7,83.7,89.3,96,101.5,107.3,114.3,122.6,129.7,140,150.5,163.8,178.1,190.2,203.1,213.6,226.5
"102","95","      Higher education (105)","BHEDRC1",0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.2,2.4,2.6,2.8,3.2,3.8,4.3,4.8,5.4,6.1,7,7.8,8.6,9.4,10,10.7,11.6,12.6,13.3,14.8,16.6,19.1,22,24.3,26.5,28.7,31.1,33.6,36.4,40,43.8,47.9,52.3,55.8,59.3,62.9,66.8,69.8,75,80,86.4,95.1,103.1,112.6,119.6,126.8
"103","96","      Nursery, elementary, and secondary schools (106)","BEEDRC1",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.7,1.9,2,2.2,2.4,2.6,2.8,3.2,3.5,3.8,4.3,5,5.7,6.1,6.3,7.5,8.3,9.5,10.4,10.9,12,13.2,14.3,15.1,16.5,17.7,19.8,21.2,21.9,23.1,24.1,25.4,27,28.4,29.4,31,32.7,34.6,36.5,38.4,40.5,42.5,44.8
"104","97","      Other (107)","BOEDRC1",0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,1.1,1.2,1.4,1.8,2.1,2.4,2.6,2.7,2.9,3.2,3.4,4.2,4.9,5.3,6.1,6.7,7.4,8.1,8.4,9.1,9.8,10.9,11.9,13,16.1,17.9,18.7,19.5,20.7,21.6,22.6,24.4,27.5,30.4,34.1,37.8,42.8,46.4,48.6,50.1,51.5,54.9
"105","98","    Religious and welfare activities (108)","BRAWRC1",1.2,1.2,1.1,1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.5,1.7,1.8,2,2.1,2.3,2.3,2.4,2.6,3,3.1,3.3,3.5,3.9,4.1,4.4,5.1,5.2,5.3,5.5,5.7,6.6,7.1,7.7,8.5,9.3,10,11,12.5,14,15,16.7,18.3,20.8,23.2,26.6,30.3,34.8,39.2,43,46.1,51.8,55.7,61.9,66.7,74.4,81,88.7,92.9,102.3,106.5,115.3,120.4,130.5,134.2,146,154.5,172.3,186.5,200.1,207.1,219,224.5
"106","99","    Net foreign travel","A492RC1",0.5,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0,0,0,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1.1,1.2,1.2,1.4,1.6,1.6,1.8,1.8,2.4,2.2,2.4,2.8,2.9,3.5,3.4,3.5,3.4,2.9,3.3,3,2.7,1.7,-1.6,-0.2,2.7,3.7,4.6,0.3,3,0.3,-6.4,-10.3,-17.6,-21,-21.7,-18.7,-22.9,-25.9,-24.1,-16.6,-16.6,-16.2,-10.8,-9.2,-5.3,-5,-5
"107","100","      Foreign travel by U.S. residents (110)","BFTRRC1",0.6,0.6,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.5,1.6,1.7,1.9,2.1,2.3,2.3,2.6,2.8,3,3.3,3.6,4.2,4.2,4.7,5.4,5.9,6.8,7.3,8.1,8.8,9.4,10.3,11.1,12.1,13.3,15,16.5,18.4,26.1,27.9,27.8,33.9,37.3,38.4,42.7,41.7,45.9,48.8,53.3,54.7,58.4,64.7,71.1,75.5,84.4,80.7,78.2,80.5,91.8,99.9
"108","101","      Less: Expenditures in the United States by nonresidents (112)","BEXFRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.2,1.4,1.6,1.8,1.8,2,2.3,2.7,2.9,3.3,4,4.6,5.4,6.5,7,8.1,9.4,11.6,16.6,16.7,15.7,22.4,23.3,27.5,30.9,37.1,44.8,53,59.2,66.9,70.5,72.1,77.6,84.4,88.8,87.7,92.1,100.7,91.5,87.4,85.8,96.7,104.9
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
