"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233"
"40","31","  Net lending or net borrowing (-)","AD02RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.4,-4.5,6.7,3.6,0.8,-2.6,-4.4,-5.5,-4.3,-2.5,-5.5,-5.3,-4.4,-4.9,-1.4,0.8,-1,-0.4,-3.7,-8,-4.6,-1.4,3.4,3.4,-4.2,-4.2,-0.6,-0.7,-4.6,-6.7,-15,-12.9,-14.5,-12,-8.5,-10.1,-1.5,-0.5,10.5,10.2,3.9,3.2,-3.1,-15.5,-18.7,-22.6,-18.2,-27.6,-27,-24.2,-16.3,-25.2,-12.5,-23.9,-7.2,-11.6,-0.8,-2.9,-4.1,2.3,-10.8,-23,-49.8,-103.8,-68.6,-69.8,-57.5,-49.2,-53.9,-59.7,-45.6,-45.7,-49.4,-50.6,-51.9,-30.5,-29.7,-25,-14.4,-16.2,-24.7,-29.1,-44.8,-71.1,-80.5,-64.3,-54.7,-55.5,-54.6,-91.6,-108,-123,-158.9,-186.1,-195.7,-177.9,-205,-192.1,-181.5,-186.2,-193.3,-214.2,-179,-237.4,-214.9,-225.3,-218.3,-235.6,-255,-209.8,-220.7,-171.9,-179.4,-183,-180.3,-169.9,-159.7,-165.6,-139.2,-154.5,-171.8,-170.7,-203.4,-195.9,-192.9,-241.9,-189.9,-243.4,-275.4,-275.6,-312,-318.5,-341.4,-317.5,-323.2,-284.4,-291.3,-268.5,-243.9,-200,-229,-219.8,-223.5,-200.8,-179.2,-179.1,-192.8,-152.3,-140,-93.5,-86.7,-45.6,-37.7,-24.7,24.8,43.1,65.2,58.3,95.6,106.7,107.5,104.5,215.2,188.8,205.7,187.1,169.8,131.7,-69.3,3.3,-169.5,-223.2,-233.5,-280.6,-290.4,-420.3
"41","32","    Current surplus or deficit (-), national income and product accounts","A923RC",-14,-6.6,-0.9,0.9,5.9,5.2,1.9,7.9,7.7,5,1.3,0.1,-3.5,-6.6,-6.5,-6.2,-8.4,2.7,13.5,14.1,17.2,10,5.3,5.9,6.9,3.4,1.1,3.5,4.3,2.6,3.4,-3.2,-3.4,-2,-1.4,0,3.5,6.7,4.8,7.7,8.5,6.6,7.7,7.2,6,4.3,4.3,-1.6,-3.3,-8.4,-6.5,-3.6,3.7,4.9,2.5,1.8,11.6,8.1,6.5,2.1,2.4,0.6,2.4,4.5,2.3,2,3,2.2,4,6.2,5.7,5,1.9,-2.7,1.1,3.1,7.4,6.6,-0.6,-0.7,5.3,4.3,1.6,-0.3,-8.8,-9.3,-7.5,-7.7,-4.8,-6.5,2.4,3.7,14.9,12.3,6.7,4.5,-1.8,-14.7,-18.5,-22.4,-21.6,-28.4,-28.6,-28.6,-19.2,-26,-14.4,-30.4,-14.6,-13.9,-9.5,-6.9,-9.1,-9.3,-11.1,-25.9,-47,-102.3,-63.7,-64.2,-53.8,-49.3,-53,-56.1,-46.3,-40.4,-46.2,-47.7,-47.2,-26,-19.8,-14.7,-6.5,-6.2,-12.1,-20.8,-30.4,-54.7,-69,-60.8,-39.4,-44.3,-51.8,-79.2,-101,-107.4,-144.7,-177.2,-173.9,-170.9,-185.8,-164.9,-157.1,-163.6,-170,-181.5,-147.8,-199.5,-177,-184.3,-182.3,-204.1,-208.2,-174,-182.5,-128.8,-136.7,-143.6,-147.4,-134.4,-130.7,-136.9,-108.9,-127.4,-140.5,-143.3,-172,-171,-164.8,-184.1,-160.1,-213.5,-234.6,-253.2,-288.3,-291.8,-316.5,-293.5,-300.8,-267.2,-275.5,-253.1,-237.5,-190.5,-212,-209.4,-208.3,-188.9,-197.6,-173.2,-176.5,-137,-130.1,-103.7,-86.5,-68,-33.7,-25,19.6,33,65.7,57,88.7,112.9,117.4,128.8,223.2,197.2,213.2,193.8,173.8,144.4,-51.7,21.3,-145.8,-195.6,-210.5,-256.6,-275.3,-383.4
"42","33","    Plus: Consumption of fixed capital","A918RC",9.9,9.6,9.3,8.9,9.4,8.8,8.8,8.4,8,7.7,7.6,7.3,7.2,6.8,6.4,6.2,5.9,5.8,5.8,5.9,6,6,6.1,6.3,6.5,6.7,7,7.2,7.4,7.7,7.7,7.9,8.1,8.2,8.4,8.6,8.6,8.6,8.8,8.9,9.2,9.3,9.4,9.5,9.7,9.8,9.9,10,9.9,9.9,10,10.2,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.8,10.9,11,11.1,11.2,11.4,11.4,11.7,12,12.1,12.3,12.3,12.4,12.4,12.5,12.5,12.6,12.7,12.8,12.9,13,13,13.2,13.4,13.6,13.8,14,14.3,14.5,14.8,15,15.2,15.4,15.6,15.8,16,16.2,16.4,16.6,16.8,17,17.2,17.4,17.4,17.4,18.2,18.1,19.1,19.3,19.2,19.4,19.6,19.6,19.7,19.9,20.5,20.7,21,21.3,21.8,22.1,22.7,22.9,23.3,23.7,24.2,24.5,24.6,25.1,25.8,26.1,26.6,26.8,27,27.7,28.3,29,29.5,30.7,31.4,32.2,33.3,34.3,35.2,36.1,38.2,39.1,40.1,40.5,41.1,41.8,43,43.9,45.3,46.1,46.7,47.7,48.3,48.5,49.5,50.8,51.4,52.5,53.5,54.3,55.4,55.9,56.6,57.4,58.6,59.7,60.7,61.9,63,63.9,64.9,66,67.1,68,69.1,70.6,71.7,72.6,73.6,74.2,74.4,75.1,75.6,76.4,77.5,78.2,79.3,79.8,80.4,81.2,81.5,82.5,83.3,83.9,84.1,84.8,85,85.1,85.5,85.7,86.2,86.6,86.8,87.5,87.4,87.8,88.5,89.1,89.9,90.9,92,93.2,94.5,95.5,96.5,97.2,97.7,98.6,99,99.7,100.6,101.3,102.2,103.6,104.7,105.8
"43","34","    Plus: Capital transfers received (net)","AD05RC",0.6,0.7,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.8,0.6,0.5,0.4,0.4,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.3,0.5,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.4,0.4,0.6,0.4,0.4,0,0.3,0.2,0,-0.6,-1,-0.9,-1.5,-1.9,-1.2,-2.3,-1.5,-0.8,-0.9,-1.2,-0.5,-1.1,-0.9,-0.8,-0.9,-1.1,-1,-0.8,-1.1,-1.2,-1.2,-1.3,-1.8,-1.4,-1.4,-1.7,-1.5,-1.3,-1.4,-1.1,-1.1,-1.2,-1.2,-1.5,-1.5,-1.2,-0.5,-1.3,-1.9,-3.1,-2.4,-3.1,-2.9,-2.4,-2.1,-2.1,-2.5,-1.9,-1.7,-1.4,-1.3,-1.8,-2.6,-1.7,0.8,0.6,-0.8,-2,-0.4,-0.2,-1.7,-0.7,-0.9,-2.7,-3.9,-2.1,-3.7,-4.4,-3.1,-5.9,-5.7,-5,-4.5,-5.3,-5.2,1.2,-5.4,-6.3,-5.4,-5.8,-6.6,-6.9,-7.4,-8.4,-7.9,-9.2,-10.2,-10.5,-10.3,-9.2,-10.4,-9.9,-9.1,-7.9,-7.9,-5.1,-7,-7.4,-8.7,-10.4,-8.4,-9.5,-10.5,-10.2,-11.3,-12.2,-13.1,-10.5,-13.3,-13.3,-15,-13.1,-13.6,-13.9,-11.4,-11.3,-12.3,-11.3,-12.1,-11.8,-12.9,-12.2,-11,-12.1,-10.8,-10,-11.7,-12.5,-5.5,-9.2,-38.6,-14.8,-11.6,-25,-9.8,-10.2,-12.6,-10.8,-11.1,-12.8,-9.5,-12.4,-11.4,-8.7,-10.9,-11.7,-11.7,-14,-13.8,-13,-10.3,-13.3,-10.2,-8.8,-10.3,-9.3,-9.2,-8.5,-6.7,-3.7,-2.3,-4.3,-4.2,-0.5,-3.7,-6.3,-18.9,-6.8,-7.9,-8,-9.3,-9.6,-12.8,-14.7,-14.3,-18.3,-21.8,-16.8,-19.5,-13.9,-28.2
"44","35","    Less: Gross investment","A787RC",4.8,1.4,0.6,0.9,1.6,1.6,1.8,2,2.8,2.8,2.9,3.5,3.8,4.2,4.7,4.7,3.5,3.7,4.3,4.3,6.5,9.2,11.8,15.2,14.6,14.7,15.2,15.5,16.2,17,16.4,14.7,14.9,14.1,12.3,12,11.3,11.9,10.6,10,10.8,11,12.5,12.2,11.9,11.4,12.1,12,12.1,12.1,13.6,14,16,15.3,15.5,14.7,14.3,13.8,14.7,14.6,16.2,15.7,16.4,16.9,17.4,17,17.7,17.5,16,15.8,17,15.7,15.9,15.5,15.5,15.7,14.8,14.4,14.9,14.7,16.7,16.5,17.5,18.3,18.7,17.7,19.1,18.4,17.5,17.1,16.9,16.5,17.6,15.6,16.5,14.8,16,16.1,15.7,16.4,14.3,13.8,13.9,13.6,15.6,16.3,15.6,15.3,16.8,16.6,15,16.3,15.7,18.3,17.9,19.3,20.2,20.4,21.1,22,22.2,21.3,23.3,23.5,24.5,25.3,25,24,24.6,27.1,28.4,30.2,29.1,30,34.5,33,35.9,35.9,35.5,37.8,38.5,41.6,43.1,44.5,43.5,48.7,47.3,50.5,52.4,54.8,57.9,60.5,62.2,63.5,62.1,69.7,68.8,73.2,78.6,77,74.3,77.8,86.3,83.3,82.4,86.8,88.7,85.4,79.4,79.8,79.8,80.4,81.1,81.7,86.7,82.4,86.5,88.7,89.4,89.5,86.6,90.7,89.2,86.6,87.6,88.9,89.5,89,86.8,85.7,82.5,83.6,78.1,80.6,85.3,81.3,84.2,84.2,80.4,80.5,88.8,90.2,86.2,80,77.8,81.9,83.9,81.7,81.9,86.4,89.6,86.6,84.5,94.5,95.7,98.9,95.7,97.2,95.6,95.2,96.1,99.8,99.5,103.4,105.7,107.1,107.9,108,108.6,115.5
"45","36","    Less: Net purchases of nonproduced assets","AD08RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.3,0.5,0.5,0.5,0.4,0.6,0.6,0.4,0.6,0.7,0.6,0.5,0.4,0.7,0.7,0.3,0.7,0.9,1,-0.1,0.6,0.2,0.5,0.6,1,0.6,0.7,0.3,0.1,-0.5,1,-1.4,-2.1,-0.9,-0.9,0.3,0,0.2,0.1,0.1,-0.1,-0.3,-0.1,-0.5,-2.3,0.2,0.2,0.2,0.3,0.3,-0.4,-3,-5.2,-1.1,-4.8,-1.6,-3.7,-13.9,0.2,-5.2,-0.8,-0.6,-0.2,-0.1,-0.8,-3,-4.3,-1.4,0.2,-0.9,-3.4,-1.4,0.1,-3.2,1.1,-0.5,-2.5,-0.2,-2.7,-5.8,-2.6,0.8,-1.9,-12.5,0.2,-5.3,-13,-3.9,-3.5,-1,-0.4,-9.7,0.1,-14.6,-5.1,0,-2.8,-6.2,-4.3,-2.4,0.2,-0.1,-4.5,-0.2,0,-7.4,0,-4.6,0,-0.1,-0.8,-0.7,0.2,2.5,-2.3,-0.8,0.2,-1.5,-0.7,-0.8,-0.4,-1.3,-1.4,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0,-0.9,1.5,0,0.4,-2.3,-27.6,-0.1,-0.8,0,0.4,-14.8,-0.8,-26.9,-1.5,-1.3,-3.4,-11.1,-5,-3.1,-2.1,-1.2,-0.1,-0.4,0.1,-1.2,0.4,-0.5,-3.9,-1.3,2.3,0.1,0.2,-0.1,0.6,0.1,-2.7,-1
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47"," 1. Includes the following taxes (in millions of dollars) not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48"," separately: dividends tax: 1933, 35; 1934, 15; automobile use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49"," tax: 1942, 121; 1943, 77; 1944, 74; 1945, 81; and 1946, 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50"," 2. Includes capital stock tax (in millions of dollars) not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51"," separately: 1933, 80; 1934, 92; 1935, 95; 1936, 138; 1937, 139;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52"," 1938, 127; 1939, 133; 1940, 167; 1941, 282; 1942, 329; 1943, 381;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53"," 1944, 372; and 1945, 353.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54"," 3. Prior to 1960, interest paid to persons and business (line 21)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55"," and interest received by government (line 23) are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
