"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"56","38","        Chain-type quantity index","B010RA",8.26,8.08,7.82,8.27,8.96,8.37,8.26,8.53,7.99,7.59,7.19,7.12,7.24,8.05,8.92,8.78,8.41,8.42,8.61,8.53,8.57,8.7,7.4,8.34,8.93,8.91,9.21,8.93,8.45,8.26,8.66,8.63,8.71,9.49,10.08,10.38,9.86,9.9,9.99,9.97,10.14,10.11,10.46,10.05,8.99,8.52,8.43,8.88,9.38,9.66,9.98,9.96,10.31,10.5,10.07,9.76,9.41,9.85,10,10.59,10.86,11.13,11.19,11.26,11.46,11.72,12.25,12.74,13.06,13.32,13.77,14.15,15.25,15.54,16.38,17.05,18.01,18.64,18.76,19.03,18.29,18.52,18.26,18.83,19.54,19.09,19.57,20.26,20.99,21.26,21.61,21.5,21.37,21.34,21.44,20.33,20.67,21.17,21.33,22.07,22.91,23.44,24.01,25.79,27.21,28.43,28.8,29.29,29.35,29.29,29.5,28.4,26.51,25.99,26.26,26.65,26.98,27.52,28.29,29.1,30.87,31.66,32.34,33.86,34.45,37.1,37.88,38.92,40.35,39.9,40.82,40.26,40.61,37.88,38.2,38.83,39.9,40.19,41.18,40.82,40.18,38.57,37.82,37.1,37.03,38.99,41.19,44.78,45.53,47.78,49.32,50.97,50.63,51.81,51.21,52.27,51.85,52.64,52.43,53.1,51.62,53.2,54.66,54.01,55.75,57.04,57.83,58.86,59.66,61.27,62.89,61.73,62.32,60.96,61.89,61.36,59.72,59.82,60.92,61.04,61.13,64.36,65.84,68.11,69.13,71.38,72.43,75.94,78.2,78.96,80.92,85.06,88.74,89.06,89.86,92.67,95.75,98.49,102.15,103.61,106.69,111.75,116.97,117.79,125.29,128.79,129.76,135.36,139.24,143.4,147.69,148.45,153.91,157.95,158.31,156.14,153.63,146.77,143.28,142.39,141.41,142.55,144.88,147.09,145.28,148.18
"57","39","        Chain-type price index","B010RG",26.78,27.91,28.53,28.8,28.65,29.5,30.72,31.27,31.22,31.4,31.29,30.95,31.03,31.57,32.25,33.14,34.18,34.62,34.79,35.18,35.31,35.47,35.39,35.35,35.3,35.47,35.6,35.57,36.1,36.67,36.2,36.26,36.02,36.18,36.8,37.56,38.23,38.84,39.79,40.45,41.22,41.26,41.58,42.19,42.14,42.38,42.43,42.52,42.79,43.07,43.31,43.41,43.38,43.57,43.63,43.46,43.51,43.39,43.13,43.08,43.12,43.13,43.13,42.93,42.95,42.85,42.82,42.8,42.82,42.86,42.86,42.83,42.9,42.87,43.01,42.85,42.8,42.94,43.07,43.38,43.63,43.87,44.15,44.47,44.64,45.03,45.41,45.88,46.05,46.28,46.68,47.06,47.59,48.03,48.4,48.98,49.46,49.78,49.85,49.82,50.2,50.4,50.5,50.4,50.6,51.13,51.56,51.7,52.33,53.65,55.83,58.51,61.15,63,63.93,64.9,65.86,66.5,67.34,68.37,69.46,70.44,71.52,72.66,73.44,74.35,75.31,76.27,77.64,79.05,80.31,81.69,83.76,85.86,87.69,89.02,90.76,92.46,93.55,94.67,95.2,96.46,97.13,97.59,97.35,97.06,96.67,96.55,96.44,96.44,96.23,96.05,96.05,96.07,96.35,96.64,96.73,97.54,98.51,98.9,98.78,98.48,98.08,98.78,99.37,99.69,99.87,100.88,101.14,101.18,101.52,101.95,102.29,102.39,103.07,103.95,104.86,104.59,104.25,104.22,104.24,103.82,103.67,103.29,103.5,103.37,103.14,102.93,103.08,103.26,103.12,102.46,102.25,102.45,102.14,101.64,100.91,100.16,99.74,99.19,98.44,97.69,97,96.14,94.84,93.8,93.07,92.44,92.04,91.46,90.8,90.44,90.27,90.1,90.15,89.91,89.25,88.93,88.6,88.26,87.93,87.46,87.04,87,86.61,86.21
"58","40","        Implicit price deflator","A010RD",26.79,27.91,28.53,28.81,28.67,29.52,30.74,31.29,31.24,31.41,31.28,30.93,30.98,31.51,32.19,33.09,34.16,34.62,34.8,35.19,35.31,35.47,35.39,35.34,35.3,35.47,35.6,35.57,36.12,36.68,36.21,36.26,35.99,36.15,36.76,37.53,38.22,38.83,39.79,40.45,41.22,41.26,41.58,42.19,42.14,42.39,42.44,42.52,42.79,43.07,43.3,43.41,43.38,43.57,43.63,43.46,43.51,43.39,43.14,43.09,43.12,43.13,43.13,42.93,42.94,42.85,42.83,42.81,42.83,42.87,42.86,42.82,42.89,42.86,43.01,42.86,42.8,42.94,43.06,43.37,43.63,43.86,44.15,44.46,44.63,45.02,45.4,45.88,46.04,46.27,46.68,47.07,47.6,48.04,48.41,49,49.47,49.79,49.84,49.8,50.18,50.39,50.5,50.41,50.59,51.12,51.54,51.69,52.34,53.67,55.86,58.55,61.17,63,63.92,64.88,65.83,66.47,67.31,68.34,69.44,70.41,71.47,72.6,73.37,74.29,75.27,76.25,77.62,79.04,80.31,81.7,83.8,85.89,87.72,89.04,90.74,92.44,93.53,94.67,95.23,96.48,97.16,97.62,97.37,97.09,96.69,96.56,96.46,96.45,96.23,96.04,96.05,96.07,96.35,96.64,96.72,97.53,98.51,98.9,98.78,98.48,98.08,98.78,99.36,99.68,99.86,100.87,101.13,101.18,101.51,101.95,102.29,102.39,103.07,103.95,104.86,104.58,104.25,104.23,104.26,103.83,103.68,103.29,103.5,103.37,103.15,102.95,103.09,103.27,103.12,102.47,102.26,102.46,102.14,101.64,100.92,100.17,99.76,99.22,98.47,97.72,97.03,96.16,94.86,93.82,93.09,92.47,92.06,91.47,90.82,90.45,90.28,90.1,90.15,89.91,89.24,88.92,88.59,88.25,87.92,87.44,87.03,86.99,86.6,86.2
"59",NA,"    Residential:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","41","      Current dollars","A011RT",3.32,3.33,3.93,4.81,4.85,5.19,5.14,4.79,4.46,4.38,4.64,5.21,5.79,6.51,7.13,6.79,6.65,5.82,5.48,5.58,5.75,5.91,5.9,6.18,6.28,6.31,6.12,6.04,6.07,6.48,6.96,7.4,7.98,8.17,8.05,7.72,7.57,7.64,7.5,7.35,7.23,7.07,7.02,6.99,6.68,6.7,7.19,7.96,8.88,9.21,9.03,8.77,9.05,8.34,8.09,8.09,8.09,8.15,8.59,8.87,9.05,9.33,9.32,9.3,9.63,10.29,10.36,10.75,11.3,10.91,10.76,10.79,10.82,10.91,10.95,11.02,11.11,10.6,10.19,9.32,9.05,10.1,10.67,11.5,11.77,12.19,12.41,13.07,13.8,13.85,13.79,12.98,12.99,12.58,12.89,14.36,15.52,17.42,18.62,19.64,21.26,21.78,22.2,23.71,24.85,24.18,23.95,23.22,22.01,21.55,21.5,19.17,18.41,19.12,20.64,21.92,24.31,25.75,25.73,29.53,31.15,35.65,36.72,37.32,38.64,41.67,43.35,44.39,44.24,44.96,45.8,45.07,42.95,35.5,37,41.93,42.13,41.13,38.36,34.97,33.44,32.82,32.67,36.01,41.78,47.31,51.89,53.79,56.06,57.91,57.73,57.88,58.55,58.35,59.91,61.89,65.29,69.69,71.53,72,71.92,73.17,72.59,72.9,73.29,74.46,75.24,76.11,75.66,74.16,73.49,72.71,74.73,71.57,67.71,62.87,59.05,59.57,62.1,63.84,67.61,71.48,72.34,76.51,77.47,77.93,80.74,85.34,88.24,92.06,92.35,92.52,91.8,88.41,90.94,93.58,95.93,100.99,101.83,101.26,102.13,103.98,105.28,107.73,110.84,114.15,118.27,122,125.54,128.45,129.77,131.67,136.63,136.88,134.64,135.86,140.46,141.81,142.81,142.83,147.67,149.63,150.01,155.3,161.94,163.51
"61","42","      Chain-type quantity index","B011RA",24.51,23.27,26.82,32,31.62,33.47,32.42,30.04,27.76,27.29,29.62,33.24,37.03,40.61,42.85,40.84,38.66,33.46,31.33,31.61,32.45,33.04,32.7,34.46,34.99,35.1,33.77,33.48,33.83,36.03,38.23,40.63,43.65,44.3,43.35,41.51,40.42,40.17,39.39,38.77,38.21,37.29,36.79,36.74,35.28,35.37,37.95,42,46.82,48.48,47.56,46.17,47.5,43.59,42.27,42.21,42.38,42.53,44.83,46.33,47.17,48.64,48.6,48.54,50.29,53.91,54.91,56.58,60.04,57.02,56.09,55.07,55.26,55.69,55.91,54.7,55.94,51.45,49.78,44.56,43.22,48.13,50.54,53.49,53.81,55.17,56.16,56.86,58.91,58.28,57.8,53.58,53.68,50.11,52.78,58.34,61.45,67.65,70.99,73.74,78.66,80.2,80.39,83.26,86.05,81.68,78.22,74.48,69.02,66,63.83,55.43,52,53.12,56.83,59.31,65.38,67.26,66.16,74.59,76.84,85.63,85.36,84.24,84.72,88.7,89.92,89.68,87.59,86.04,84.9,81.57,75.76,61.17,62.34,68.92,67.74,65.12,59.98,53.9,50.82,49.17,48.55,53.27,61.52,69.49,75.84,77.91,80.69,82.69,81.64,81.23,81.76,81.32,82.93,84.69,88.29,93.35,94.58,94.1,93,93.88,92.36,91.92,91.61,92.24,92.62,92.82,91.62,88.71,87.62,86.16,87.84,83.79,78.91,73.15,68.53,68.83,71.32,73.6,78.2,81.92,82.32,85.94,86.03,85.73,88.01,92.61,94.64,98.16,97.41,96.33,94.42,90.5,92.71,94.89,96.91,101.56,101.3,100.24,100.47,101.73,102.26,103.71,106.32,108.68,111.58,114.1,116.22,117.6,117.86,118.64,121.02,120.09,117.21,117.21,119.55,119.39,119.5,118.44,122.44,123.25,123.59,126.39,129.45,130.88
"62","43","      Chain-type price index","B011RG",13.62,14.38,14.7,15.07,15.34,15.5,15.85,15.93,16.07,16.04,15.67,15.67,15.65,16.06,16.67,16.64,17.18,17.38,17.48,17.64,17.73,17.88,18.05,17.94,17.95,17.97,18.13,18.05,17.96,18.01,18.22,18.21,18.29,18.45,18.57,18.58,18.74,19.02,19.05,18.97,18.91,18.96,19.09,19.02,18.93,18.95,18.95,18.96,18.98,18.99,18.99,19,19.06,19.13,19.13,19.15,19.09,19.17,19.17,19.16,19.19,19.19,19.18,19.15,19.16,19.08,18.87,18.99,18.82,19.12,19.18,19.59,19.58,19.6,19.58,20.13,19.84,20.57,20.44,20.89,20.93,21,21.12,21.53,21.89,22.1,22.11,22.98,23.42,23.76,23.85,24.21,24.19,25.09,24.42,24.62,25.28,25.79,26.27,26.68,27.05,27.18,27.63,28.47,28.85,29.56,30.57,31.11,31.81,32.56,33.61,34.52,35.4,36.02,36.36,37.02,37.23,38.32,38.94,39.63,40.57,41.68,43.05,44.35,45.66,47.02,48.24,49.51,50.48,52.22,53.89,55.2,56.65,57.98,59.31,60.77,62.1,63.08,63.88,64.82,65.77,66.75,67.31,67.63,67.96,68.12,68.46,69.07,69.48,70.03,70.71,71.25,71.61,71.77,72.26,73.09,73.97,74.68,75.65,76.53,77.34,77.93,78.59,79.3,80.01,80.73,81.23,81.99,82.58,83.58,83.86,84.36,85.05,85.4,85.79,85.93,86.17,86.54,87.08,86.75,86.48,87.29,87.91,89.06,90.08,90.93,91.76,92.17,93.25,93.8,94.81,96.05,97.23,97.69,98.09,98.62,99,99.44,100.53,101.03,101.66,102.22,102.96,103.89,104.28,105.06,106.02,106.95,108.04,109.23,110.11,110.98,112.88,113.97,114.85,115.9,117.49,118.78,119.5,120.6,120.61,121.4,121.38,122.88,125.1,124.93
"63","44","      Implicit price deflator","A011RD",13.55,14.32,14.65,15.04,15.32,15.5,15.86,15.95,16.08,16.06,15.68,15.68,15.64,16.03,16.64,16.62,17.19,17.4,17.49,17.65,17.73,17.88,18.05,17.94,17.95,17.97,18.13,18.05,17.95,18,18.21,18.21,18.29,18.45,18.57,18.59,18.74,19.02,19.05,18.97,18.92,18.96,19.09,19.02,18.93,18.95,18.95,18.96,18.98,18.99,18.99,19,19.06,19.13,19.13,19.15,19.09,19.17,19.17,19.15,19.19,19.19,19.18,19.15,19.16,19.08,18.87,19,18.83,19.13,19.18,19.6,19.57,19.6,19.58,20.14,19.87,20.6,20.47,20.92,20.93,20.99,21.1,21.5,21.88,22.09,22.1,22.98,23.42,23.77,23.86,24.22,24.2,25.1,24.42,24.61,25.25,25.75,26.23,26.64,27.03,27.16,27.62,28.48,28.88,29.61,30.63,31.18,31.89,32.64,33.69,34.58,35.41,36,36.32,36.96,37.19,38.28,38.9,39.59,40.54,41.64,43.01,44.31,45.61,46.98,48.21,49.5,50.51,52.26,53.95,55.26,56.69,58.03,59.36,60.83,62.19,63.17,63.96,64.88,65.8,66.75,67.3,67.6,67.92,68.08,68.42,69.04,69.47,70.03,70.71,71.25,71.61,71.76,72.25,73.08,73.95,74.66,75.62,76.51,77.34,77.93,78.6,79.31,80.01,80.73,81.23,81.99,82.58,83.59,83.87,84.39,85.08,85.42,85.81,85.94,86.17,86.54,87.07,86.73,86.46,87.25,87.88,89.03,90.05,90.91,91.74,92.16,93.24,93.79,94.81,96.05,97.23,97.69,98.08,98.62,98.99,99.44,100.52,101.02,101.66,102.22,102.95,103.87,104.25,105.03,105.99,106.92,108.02,109.22,110.11,110.98,112.89,113.98,114.87,115.91,117.49,118.78,119.51,120.6,120.61,121.4,121.38,122.88,125.1,124.93
"64",NA,"Exports of goods and services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","45","  Current dollars","A020RT",2.1,2.22,2.22,2.01,1.93,1.74,1.76,1.67,1.83,1.78,1.61,1.38,1.33,1.35,1.4,1.54,1.71,1.95,2.05,2.07,2.12,1.88,1.73,1.74,1.72,1.73,1.79,1.72,1.64,1.87,1.81,1.89,1.97,1.93,2.06,2.09,2.2,2.38,2.49,2.63,2.84,2.77,2.7,2.62,2.34,2.34,2.34,2.34,2.25,2.29,2.49,2.42,2.77,2.88,2.96,2.95,2.98,2.88,2.99,3.06,3.04,3.21,3.2,3.09,3.11,3.39,3.41,3.56,3.77,3.73,3.87,4,3.6,4.16,4.09,4.35,4.37,4.37,4.46,4.62,4.77,4.71,4.65,4.79,4.94,5.13,5.37,5.29,4.8,5.82,5.84,6.09,6.25,6.59,6.56,6.67,6.81,6.81,7.13,6.4,7.27,7.22,7.57,8.25,9.26,10.11,10.79,11.83,13.11,14.16,14.24,15.37,15.79,15.08,15.29,16.2,16.37,16.7,17.26,17.78,17.71,18.46,18.51,17.97,18.76,21.23,21.79,23.39,24.1,25.14,26.64,28.77,30.55,31.56,32.31,33.21,34.63,34.95,34.28,34.68,33.44,33.65,31.91,30.33,30.96,31.17,31.82,32.79,33.59,34.66,35.06,35.37,34.99,34.77,33.98,34.92,35.69,35.94,36.62,38.32,38.61,40.81,42.75,45.13,48.16,50.55,52.14,53.66,56.28,58.63,58.28,59.71,61.96,63.45,63.52,66.02,66.02,68.92,68.89,71.44,72.01,72.46,72.89,74.01,73.94,75.57,73.94,77.65,78.22,81.74,84.2,87.6,90.1,91.8,95.41,97.24,97.61,98.92,99.02,104.45,106.14,110.59,113.1,112.38,111.43,109.73,108.3,112.07,109.73,110.98,114.03,117.96,120.79,125.6,129.37,128.1,125.84,121.22,115.05,111.09,111.82,116.47,118.81,117.3,118.03,117.92
"66","46","  Chain-type quantity index","B020RA",9.23,9.13,8.68,7.7,7.35,6.65,6.8,6.56,7.35,7.29,6.68,5.78,5.68,5.75,5.9,6.37,6.7,7.36,7.54,7.47,7.84,6.97,6.43,6.48,6.36,6.41,6.66,6.44,6.15,7.04,6.81,7.12,7.39,7.21,7.69,7.72,8.09,8.64,8.93,9.33,9.94,9.65,9.37,9.07,8.16,8.2,8.24,8.23,7.91,8.07,8.74,8.4,9.59,9.99,10.22,10.22,10.29,9.8,10.21,10.38,10.31,11,10.97,10.59,10.62,11.59,11.68,12.21,12.88,12.77,13.16,13.43,11.81,13.69,13.44,14.37,14.18,14.09,14.18,14.42,14.63,14.48,14.34,14.68,15.02,15.27,16.22,15.86,14.2,17.22,17.02,17.32,17.73,18.32,18.29,18.55,18.39,18.37,19.38,17.27,19.31,19.03,19.88,21.16,23.08,24.08,24.29,25.29,26.15,27.27,25.93,26.61,26.57,25.48,25.91,27.3,27.21,27.47,28.23,28.57,28.14,28.88,29.12,28.14,28.81,31.83,32.16,33.43,33.44,33.51,34.68,36.75,37.9,38.6,38.45,38.24,38.92,39.13,38.3,38.61,37.04,37.29,35.61,34.03,34.59,34.7,35.22,35.94,36.77,37.68,38.5,39.24,39.21,39.04,38.46,39.6,40.71,41.19,42.17,43.77,43.88,45.68,47.67,49.44,52.18,53.63,54.6,56.26,58.4,60.72,60.72,62.4,64.73,66.07,65.53,67.09,66.87,70.15,70.57,73.01,73.66,74.02,74.45,75.75,75.66,77.15,75.59,79.42,79.7,82.95,84.93,87.76,89.29,90.25,94.02,96.25,96.8,98.39,99.18,105.64,107.57,112.02,114.87,114.63,114.78,113.61,112.98,117.32,115.25,116.46,119.44,123.05,125.35,129.71,133.32,131.97,129.93,125.7,119.89,116.89,117.89,121.89,123.28,121.44,121.04,120.68
"67","47","  Chain-type price index","B020RG",22.57,24.25,25.49,26.13,26.27,26.14,25.83,25.41,24.98,24.5,24.09,23.8,23.44,23.49,23.71,24.16,25.56,26.51,27.29,27.74,27.11,27,26.93,26.87,27.01,26.95,26.87,26.78,26.64,26.56,26.52,26.52,26.6,26.72,26.86,27.05,27.27,27.55,27.86,28.17,28.56,28.77,28.86,28.86,28.61,28.5,28.45,28.44,28.45,28.39,28.49,28.78,28.88,28.84,28.96,28.86,28.99,29.38,29.3,29.52,29.5,29.19,29.17,29.21,29.3,29.25,29.16,29.18,29.25,29.22,29.45,29.77,30.47,30.38,30.4,30.28,30.79,31.05,31.44,32.01,32.6,32.51,32.47,32.65,32.87,33.57,33.13,33.35,33.82,33.85,34.33,35.15,35.28,35.99,35.85,35.97,37.01,37.05,36.81,37.05,37.63,37.93,38.1,39.03,40.19,42.04,44.51,46.86,50.18,51.92,54.89,57.75,59.41,59.18,59.02,59.36,60.18,60.83,61.16,62.26,62.95,63.89,63.58,63.88,65.17,66.79,67.86,70.08,72.15,75.11,76.9,78.35,80.66,81.76,84.03,86.82,88.98,89.32,89.51,89.83,90.3,90.26,89.64,89.14,89.51,89.84,90.35,91.26,91.36,91.97,91.07,90.13,89.24,89.05,88.34,88.17,87.64,87.26,86.85,87.56,88.02,89.4,89.73,91.33,92.34,94.31,95.52,95.38,96.39,96.55,95.97,95.69,95.74,96.04,96.95,98.41,98.72,98.24,97.62,97.83,97.77,97.88,97.9,97.71,97.73,97.95,97.82,97.77,98.17,98.57,99.17,99.84,100.92,101.73,101.48,101.01,100.83,100.51,99.81,98.85,98.66,98.72,98.46,98.04,97.08,96.58,95.86,95.52,95.21,95.3,95.48,95.88,96.36,96.84,97.04,97.08,96.87,96.46,96,95.06,94.88,95.58,96.41,96.62,97.55,97.74
"68","48","  Implicit price deflator","A020RD",22.71,24.35,25.54,26.13,26.26,26.13,25.82,25.4,24.94,24.46,24.05,23.77,23.43,23.48,23.69,24.15,25.54,26.48,27.26,27.71,27.09,27,26.92,26.87,27.01,26.95,26.87,26.78,26.64,26.56,26.52,26.52,26.61,26.72,26.86,27.04,27.25,27.53,27.84,28.15,28.55,28.77,28.87,28.88,28.61,28.5,28.44,28.43,28.44,28.39,28.49,28.78,28.87,28.84,28.96,28.86,28.99,29.38,29.3,29.52,29.51,29.19,29.17,29.21,29.31,29.25,29.16,29.18,29.25,29.21,29.44,29.77,30.47,30.38,30.4,30.29,30.79,31.05,31.44,32,32.59,32.51,32.47,32.65,32.88,33.57,33.13,33.34,33.8,33.83,34.3,35.13,35.27,35.98,35.85,35.97,37.02,37.05,36.81,37.05,37.63,37.92,38.08,39,40.13,41.96,44.42,46.78,50.14,51.91,54.91,57.79,59.42,59.18,59.01,59.35,60.16,60.81,61.15,62.25,62.96,63.89,63.57,63.86,65.11,66.7,67.76,69.97,72.06,75.02,76.83,78.3,80.63,81.75,84.03,86.84,88.99,89.32,89.51,89.82,90.28,90.24,89.62,89.12,89.49,89.83,90.35,91.26,91.37,91.98,91.08,90.13,89.23,89.04,88.34,88.18,87.66,87.27,86.85,87.54,87.98,89.34,89.68,91.28,92.29,94.27,95.49,95.37,96.39,96.56,95.98,95.69,95.73,96.03,96.94,98.4,98.73,98.25,97.63,97.85,97.77,97.88,97.9,97.71,97.73,97.96,97.82,97.77,98.14,98.55,99.15,99.82,100.91,101.73,101.48,101.02,100.85,100.54,99.84,98.88,98.67,98.73,98.46,98.04,97.08,96.58,95.86,95.52,95.21,95.29,95.47,95.87,96.36,96.83,97.03,97.06,96.85,96.44,95.97,95.03,94.85,95.55,96.38,96.59,97.52,97.71
"69",NA,"  Exports of goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","49","    Current dollars","A253RT",2.54,2.71,2.72,2.45,2.36,2.1,2.12,2,2.21,2.13,1.92,1.64,1.56,1.58,1.65,1.82,2.02,2.31,2.44,2.44,2.49,2.17,2.01,2.03,1.96,1.99,2.08,2,1.87,2.2,2.09,2.2,2.29,2.23,2.39,2.42,2.57,2.78,2.92,3.08,3.34,3.25,3.14,2.93,2.68,2.64,2.66,2.64,2.51,2.57,2.83,2.73,3.16,3.31,3.38,3.38,3.43,3.24,3.4,3.48,3.43,3.6,3.6,3.42,3.44,3.79,3.84,4.02,4.22,4.2,4.35,4.5,3.94,4.66,4.51,4.86,4.91,4.87,4.95,5.16,5.25,5.22,5.12,5.23,5.43,5.64,5.92,5.81,5.12,6.46,6.38,6.79,6.96,7.28,7.24,7.34,7.42,7.39,7.83,6.82,8.04,7.9,8.38,9.18,10.41,11.47,12.23,13.71,15.05,16.27,16.37,17.63,18.12,17.13,17.33,18.34,18.36,18.8,19.24,19.78,19.62,20.4,20.4,19.56,20.22,23.63,24.14,26.07,27,28.42,30.41,33.22,35.22,36.25,36.69,37.87,39.16,39.13,37.87,38.49,36.36,36.54,34.22,31.95,32.46,32.79,33.54,35.3,35.3,36.32,36.93,37.39,36.49,36.14,35.15,35.96,35.66,36.07,36.3,38.15,37.89,40.21,42.72,45.77,49.25,51.98,53.63,55.87,58.11,61.09,59.86,61.35,63.33,64.65,63.81,66,67.07,69.34,68.54,70.85,71.48,72.11,72.4,74.22,72.97,74.74,72.42,77.25,76.94,80.78,83.89,88.02,91.14,92.87,95.89,97.74,98.28,98.86,99.52,103.34,106.44,111.34,114.28,113.56,112.16,108.82,107.81,111.9,108.88,110.02,113.7,118.46,120.78,125.87,131.71,129.41,127.31,121.38,114.57,111.2,109.93,114.71,116.85,113.61,115.11,114.98
