"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"40","31","    Services","B988RA",18.79,19.15,19.47,19.64,19.43,19.51,19.52,19.78,20.32,20.75,21.21,21.57,22.06,22.13,22.18,22.26,22.3,22.4,22.55,22.72,22.51,23.07,22.69,22.97,23.41,23.44,23.91,23.97,24.31,24.46,24.87,25.09,25.8,25.99,26.29,26.6,26.68,27.15,27.53,27.9,28.1,28.48,28.97,29.44,29.99,30.54,30.99,31.29,30.98,31.21,31.57,32,32.49,33.22,33.44,33.91,34.64,35.12,35.04,35.38,35.46,35.91,36.25,36.67,37.03,37.57,38.28,38.81,39.52,40.12,40.64,41.36,41.83,42.68,43.44,44.13,44.69,45.32,45.99,46.81,46.82,47.33,48.16,48.83,49.81,50.38,51.13,51.73,52.36,52.99,53.63,54.4,55.18,55.79,56.58,57.26,57.86,58.32,58.93,59.58,59.98,60.46,61.08,61.55,61.83,62.38,63.17,63.76,64.54,65.18,65.82,66.41,67.34,67.85,68.3,68.17,68.19,68.23,68.57,68.83,69,69.07,69.49,69.84,70.25,70.28,70.88,71.54,71.65,71.25,71.05,71.77,71.94,71.94,71.79,71.57,71.18,71.22,71.76,72.1,72.26,72.44,72.28,72.33,72.65,72.45,72.37,72.32,72.67,73.2,73.91,74.47,75.07,75.78,76.98,77.79,78.66,79.4,80.03,81.01,80.99,81.33,81.3,82.31,83.39,83.95,84.48,85.19,86,86.71,87.54,88.26,89.03,89.73,90.43,90.84,91.16,91.51,91.73,92.04,92.57,92.99,93.57,93.72,94.07,94.43,94.72,95.21,95.85,96.43,96.91,97.35,97.88,98.16,98.4,98.91,98.58,100.19,100.31,100.92,101.3,102.09,102.94,103.71,104.37,105.23,106.02,106.64,107.33,108.32,109.42,110.4,111.35,112.04,112.72,113.4,113.65,114.65,116.08,117.22,117.84,118.25,118.68,119.04,119.15,119.02
"41","32","      Compensation of general government employees, except own-account investment \3\","B987RA",20.93,21.32,21.64,21.87,21.83,21.79,21.97,22.3,22.79,23.29,23.77,24.13,24.21,24.25,24.28,24.36,24.51,24.68,24.91,25.17,25.24,25.41,25.66,25.94,26.24,26.55,26.9,27.2,27.47,27.71,27.99,28.35,28.58,28.86,29.35,29.84,30.09,30.77,31.31,31.78,32.01,32.38,32.91,33.46,33.8,34.45,35.01,35.45,35.44,35.65,36.01,36.44,37.03,37.56,38.15,38.65,39.31,39.6,40.04,40.24,40.38,40.97,41.38,41.87,42.31,42.86,43.62,44.15,44.93,45.57,46.08,46.9,47.32,48.29,49.16,49.92,50.41,51.12,51.89,52.78,52.65,53.15,54.02,54.74,55.9,56.52,57.25,57.86,58.53,59.13,59.73,60.45,61.09,61.76,62.42,63.12,63.71,64.22,64.98,65.72,66.03,66.63,67.3,67.91,68.38,68.99,69.64,70.3,71.01,71.5,72.05,72.67,73.6,73.99,74.24,74.31,74.56,74.64,75.06,75.57,75.72,75.74,76.23,76.69,77.24,77.24,78.03,78.93,79.24,78.82,78.63,79.7,80.08,80.16,80.03,79.8,79.46,79.44,80,80.24,80.39,80.45,80.02,79.86,79.93,79.77,79.58,79.28,79.25,79.56,80.13,80.49,81.03,81.51,82.62,83.11,83.46,83.99,84.43,85.41,85.33,85.62,85.48,86.58,87.81,88.33,88.82,89.49,90.13,90.72,91.46,91.97,92.74,93.34,93.91,94.06,94.05,94.18,94.17,94.29,94.74,95.09,95.57,95.56,95.82,96.18,96.22,96.54,96.71,97.22,97.56,97.92,98.6,98.8,98.94,99.36,98.73,100.37,100.25,100.65,100.85,101.36,101.87,102.29,102.57,103.09,103.54,103.79,103.72,104.07,104.71,105.28,105.9,106.27,106.71,107.16,107.23,108.06,109.39,110.19,110.53,110.79,111.13,111.4,111.4,111.1
"42","33","      Consumption of general government fixed capital \4\","B986RA",12.64,12.67,12.73,12.79,12.86,12.94,13.03,13.14,13.24,13.37,13.51,13.64,13.78,13.93,14.08,14.22,14.37,14.53,14.67,14.81,14.95,15.11,15.25,15.4,15.57,15.73,15.91,16.09,16.3,16.51,16.73,16.97,17.21,17.44,17.68,17.93,18.15,18.41,18.66,18.91,19.18,19.48,19.76,20.05,20.35,20.67,20.97,21.27,21.57,21.88,22.19,22.49,22.79,23.11,23.43,23.73,24.07,24.39,24.71,25.05,25.37,25.71,26.07,26.41,26.79,27.17,27.57,27.98,28.41,28.85,29.29,29.74,30.19,30.67,31.15,31.63,32.13,32.64,33.15,33.68,34.2,34.73,35.26,35.79,36.3,36.82,37.34,37.84,38.35,38.84,39.32,39.8,40.27,40.72,41.16,41.59,42.06,42.47,42.87,43.25,43.63,44,44.38,44.75,45.14,45.52,45.93,46.33,46.74,47.14,47.58,47.96,48.35,48.72,49.08,49.43,49.77,50.11,50.42,50.75,51.03,51.3,51.57,51.84,52.1,52.43,52.71,53,53.33,53.68,54.03,54.38,54.73,55.06,55.4,55.71,56.01,56.3,56.56,56.83,57.07,57.32,57.56,57.82,58.06,58.35,58.65,59,59.38,59.8,60.25,60.75,61.29,61.85,62.43,63.04,63.68,64.3,64.92,65.56,66.18,66.81,67.46,68.1,68.76,69.48,70.24,71.05,71.9,72.81,73.75,74.72,75.75,76.74,77.71,78.67,79.59,80.52,81.43,82.31,83.18,84.04,84.89,85.74,86.61,87.47,88.35,89.24,90.15,91.09,92.06,93.05,94.08,95.13,96.19,97.28,98.33,99.43,100.56,101.68,102.98,104.32,105.71,107.14,108.62,110.16,111.73,113.36,115,116.65,118.31,119.95,121.61,123.21,124.77,126.3,127.7,129.18,130.67,132.15,133.88,135.17,136.31,137.31,138.32,139.2
"43","34","      Other services","B575RA",5.78,6.07,6.34,6.33,5.74,6.02,5.6,5.62,6.22,6.41,6.73,7.01,8.3,8.35,8.34,8.32,8.01,7.84,7.72,7.61,6.66,8,6.12,6.3,6.92,6.22,6.84,6.27,6.61,6.44,7,6.76,8.44,8.27,7.95,7.67,7.24,7.04,6.87,6.85,6.84,7.03,7.24,7.35,8.23,8.34,8.32,8.11,6.98,7.1,7.25,7.47,7.52,8.49,7.66,7.88,8.56,9.31,7.79,8.28,8.02,7.94,7.86,7.9,7.86,8.15,8.49,8.79,9.1,9.35,9.67,9.86,10.22,10.5,10.72,10.96,11.43,11.6,11.71,12.07,12.17,12.48,12.93,13.2,13.43,13.55,14.2,14.54,14.83,15.37,15.96,16.79,17.93,18.14,19.3,19.8,20.2,20.28,20.21,20.45,21,20.87,21.2,20.95,20.26,20.42,21.78,21.93,22.93,24.07,24.92,25.26,26.18,27.05,28.19,26.89,25.76,25.38,25.25,24.32,24.39,24.49,24.54,24.33,24.12,24.02,23.82,23.52,22.58,21.89,21.34,20.58,19.74,19.21,18.66,18.2,17.32,17.36,17.77,18.4,18.44,19.03,19.74,20.6,22.07,21.29,21.54,22.45,24.71,26.34,27.8,29.35,30.22,32.28,34.29,37.12,41.36,43.52,45.26,46.38,46.09,46.45,46.48,46.95,47.15,47.67,48.1,48.95,51,52.43,53.77,56.28,56.43,57.7,59.41,61.95,65.44,67.6,69.63,71.42,72.59,73.22,74.96,76.36,76.79,76.01,79.85,82.74,92.56,93.81,95.99,96.64,92.46,92.24,92.35,93.29,95.92,98.13,100.9,105.05,106.88,112.55,119.63,126.44,133.55,140.21,146.85,153.08,169.04,183.31,193.68,202.64,209.37,215.12,219.24,223.06,224.4,227.87,231.64,240.18,245.08,246.56,247.35,247.89,248.47,249.83
"44","35","  Gross investment","B799RA",10.87,10.85,11.32,11.95,12.54,13.94,14.86,15.67,16.64,19.02,20.53,20.84,21.24,21.81,22.1,22.23,21.82,22.98,23.02,22.58,23.4,23.05,22.55,23.54,24.13,24.18,25.1,27.19,29.45,29.43,30.68,30.59,32.41,33.25,32.43,32.34,33.47,33.64,33.2,33.27,35.53,35.4,35.42,36.8,38.35,38.33,39.66,41.01,41.64,41.35,40.4,38.52,39.35,40.57,41.97,42.16,44.63,42.06,43.49,46.71,45.41,45.17,46.1,46.57,48.6,48.48,50.79,51.5,51.8,53.93,54.17,53.85,53.94,56.04,59.05,59.82,60.37,60.1,60.4,63.26,65.71,65.24,63.31,64.92,65.81,68.28,68.64,68.09,67.26,66.73,64.63,60.98,60.47,59.67,62.22,60.82,59.7,59.59,57.94,58.84,58.32,55.79,55.97,58.12,58.34,56.92,56.73,57.66,58.78,60.01,57.58,55.24,59.17,54.94,56.22,59.11,62.46,57.3,54.06,51.85,53.41,54.59,52.49,51.74,50.52,59.16,60.86,61.85,56.12,60.56,62.77,64.61,65.96,62.32,58.72,58.31,61.58,55.58,52.93,54.27,52.29,52.15,52.21,53.67,52.41,52.02,54.41,54.07,56.68,58.65,61.29,62.31,63.38,66.64,67.65,67.04,70.19,70.99,71.87,69.72,71.96,71.61,72.73,73.86,73.96,76.75,76.2,78.36,78.03,79.8,80.67,83.34,86.93,85.59,85.71,88.98,87.71,87.74,89.06,90.67,93.96,91,88.19,86.83,86.46,89.93,90.4,91.18,89.1,91.28,94.5,94.83,95.34,97.67,96.64,97.62,97.79,99.65,99.72,102.84,107.58,109.88,111.57,110.87,109.32,111.97,115.37,116.97,122.32,121.55,122.22,125.69,129.54,124.34,124.37,125.95,130.12,133.87,123.28,132.17,136.57,131.41,132.83,132.9,132.2,130.85
"45","36","    Structures","B842RA",14.45,14.35,14.98,15.88,16.21,18.42,19.9,21.13,22.72,25.97,27.98,28.29,29.04,29.94,30.48,30.82,29.92,31.67,31.7,31.09,32.13,31.57,30.79,32.24,33.03,33.06,34.42,37.52,40.62,40.62,42.43,42.24,45.14,46.32,45.15,45.17,46.48,46.57,45.8,45.85,48.75,48.36,48.26,50.21,52.8,52.72,54.65,56.6,57.42,56.93,55.45,52.53,53.45,55.16,57.18,57.36,61.12,57.17,59.27,64.04,61.87,61.46,62.8,63.43,65.94,65.6,68.85,69.75,69.88,72.86,73.03,72.35,72.55,75.47,79.72,80.7,81.36,80.7,80.9,84.94,88.66,87.83,84.96,87.35,88.58,92.13,92.4,91.39,90.02,89.06,85.8,80.4,79.38,78.31,81.88,79.95,78.35,78.15,75.57,76.66,75.54,71.63,71.6,74.51,74.54,72.23,71.63,72.54,73.87,75.45,72.04,68.87,74.52,68.48,70.33,74.52,79.44,72.03,67.39,64.23,66.66,68.39,65.34,64.19,62.23,74.51,76.7,77.85,69.31,75.47,78.39,80.76,82.43,77.05,71.82,71.25,76.07,67.56,63.76,65.52,62.44,62.05,61.9,63.73,61.4,60.35,63.17,62.12,65.23,67.4,70.46,71.22,72.05,76.05,76.98,75.58,79.53,80.27,81.32,78.13,81.13,80.38,81.67,83,82.91,86.25,84.73,86.87,85.2,86.49,86.68,89.49,93.91,91.79,91.93,96.36,95.06,95.2,97.02,98.95,103.1,98.47,94.16,92.01,91.41,95.88,95.72,96.13,91.99,94.25,98,97.7,97.91,100.21,98.14,98.53,98.12,99.94,99.28,102.66,108.3,110.38,111.52,109.75,105.8,108.01,111.43,112.27,118.07,115.94,115.87,119.66,124.31,116.83,115.97,117.06,122.4,126.42,112.62,123.86,130.1,123.97,125.67,126.16,125.53,123.76
"46","37","    Equipment and software","B881RA",2.6,2.71,2.8,2.87,3.71,3.5,3.33,3.29,3.07,3.53,3.88,4.09,3.88,3.8,3.66,3.46,3.84,3.82,3.88,3.82,4.08,4.13,4.17,4.22,4.34,4.4,4.43,4.44,4.87,4.82,4.91,4.98,4.76,4.87,4.79,4.59,5.1,5.3,5.46,5.53,6.22,6.49,6.68,6.83,6.44,6.52,6.59,6.69,6.85,6.95,7.05,7.2,7.67,7.84,7.95,8.09,7.98,8.15,8.21,8.24,8.6,8.67,8.74,8.85,9.6,9.85,10.12,10.38,10.86,11.15,11.44,11.76,11.65,11.96,12.28,12.55,12.78,13.21,13.58,13.89,13.73,13.96,13.98,13.95,14.11,14.26,14.69,15.01,15.24,15.56,15.84,15.92,16.39,16.2,16.52,16.29,16.21,16.31,16.59,17.03,17.73,18.17,18.71,19.12,19.7,20.2,20.87,21.76,22.34,22.72,22.63,22.26,22.15,22.12,22.1,22.02,21.8,21.79,21.73,21.65,21.29,21.22,21.26,21.4,21.77,22.21,22.76,23.32,23.83,24.37,24.92,25.5,26.02,26.33,26.48,26.43,26.12,25.98,26.07,26.4,27,27.43,27.95,28.51,29.75,30.85,32.17,33.46,34.82,36.26,37.8,39.37,40.95,42.38,43.52,44.75,45.96,46.87,47.31,47.68,48.04,48.68,49.36,49.97,50.54,51.95,53.77,55.92,58.89,61.83,64.36,66.65,68.12,68.73,68.83,69.11,67.94,67.7,67.72,68.49,69.56,70.86,71.89,72.59,72.83,73.69,75.77,77.57,80.92,82.89,84.67,86.7,88,90.4,92.29,94.98,96.82,98.79,101.02,103.37,105.31,108.28,111.68,114.44,120.79,124.85,128.2,132.4,136.1,140.13,143.43,145.68,146.44,149.88,153.31,156.71,156.25,158.88,161.43,160.55,157.3,156.32,156.51,154.83,153.91,154.36
"47",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","38","  Compensation of general government employees \3\","B194RA",34.42,33.09,33.21,32.93,33.41,33.26,34.24,35.17,35.45,35.79,35.92,35.49,35.19,36.18,37.37,41.46,43.01,47.06,49.89,50.24,51.09,51.7,51.86,51.41,51.57,51.56,51.55,51,50.59,50.44,50.5,50.57,50.4,50.01,50.37,50.66,50.72,50.97,51.61,52.03,52.16,52.48,52.91,52.35,52.13,52.53,53.32,53.6,53.11,53.21,53.46,53.77,54.34,55.38,55.47,55.79,56.41,56.7,57.48,58.63,59.05,59.48,59.81,59.84,60.28,60.94,61.69,61.91,62.43,63.11,63.68,64.22,64.25,65.06,66.06,67.19,68.15,69.41,71.01,72.55,73.41,73.72,74.7,75.14,76.27,77.23,77.81,77.72,78.39,79.09,79.77,80.08,79.48,79.49,79.58,79.67,79.82,79.69,79.82,80,79.6,79.52,79.98,80.57,80.32,80.27,80.36,80.89,81.85,82.2,82.51,82.99,83.64,83.75,83.91,83.95,84.12,84.2,84.55,84.89,84.92,84.98,85.43,85.68,86.27,86.48,87.21,87.79,87.84,87.51,87.41,88.11,88.57,89.08,88.98,88.57,88.56,88.64,89.18,89.39,89.5,89.66,89.49,89.48,89.7,89.68,89.69,89.35,89.45,89.87,90.45,90.71,91.24,91.77,92.75,92.97,93.23,93.54,93.89,94.56,94.7,94.93,95.15,96.11,96.85,96.92,97.3,97.97,98.36,98.83,99.51,99.93,100.76,101.14,101.61,101.63,102.22,101.9,101.42,101.2,101.35,101.32,101.41,101.11,101.24,101.21,100.94,100.65,100.64,100.62,100.58,100.3,100.55,100.59,100.44,99.42,99.03,100.58,100.27,100.13,100.22,100.47,100.75,100.64,100.84,101.18,101.55,101.69,101.7,101.57,101.88,102.09,102.96,103.92,103.55,103.7,104.31,104.95,105.89,106.48,106.98,107.3,107.79,108.26,108.61,108.8
"49","39","    Federal","B568RA",73.85,68.47,68.09,66.35,68.18,67.54,70.8,73.42,73.15,72.97,72.1,69.44,68.06,71.69,76.14,92.18,97.95,113.5,124.28,124.95,128.03,130.01,129.96,127.23,126.99,125.97,124.76,121.47,118.9,117.46,116.76,115.84,114.45,111.9,111.83,111.49,110.79,109.63,110.56,110.77,110.55,110.7,110.79,106.74,104.77,104.39,105.8,105.54,103.19,102.92,102.81,102.84,103.46,105.95,104.48,104.33,104.59,105.2,106.84,110.61,112,112.24,111.86,110.34,110.59,111.72,112.38,111.65,111.35,112.06,112.83,112.54,111.42,111.7,112.95,115.16,117.46,120.27,124.44,127.93,131.73,131.65,132.98,132.47,133.38,135.15,135.37,133.12,133.76,134.73,135.57,134.56,130.24,128.26,126.53,124.93,123.77,121.8,120.25,118.78,116.5,114.52,114.58,115.04,112.87,111.13,109.7,109.83,111.38,111.27,110.98,111.19,111.02,110.61,110.5,110.49,110.71,110.69,110.76,110.83,110.6,110.71,111.13,111.02,111.86,112.39,112.72,112.24,111.9,111.64,111.67,111.31,111.98,113.72,113.75,112.82,113.78,114.09,114.62,114.73,114.77,115.18,115.69,116.07,116.81,117.14,117.6,117.13,117.64,118.25,118.74,118.72,119.33,119.97,120.6,120.1,120.2,119.85,119.84,119.77,120.5,120.63,121.72,122.35,121.8,120.59,120.67,121.27,120.93,120.99,121.47,121.6,122.58,122.44,122.68,122.21,124.45,122.88,121.11,119.89,119.23,118.27,117.37,116.35,116.09,114.91,113.75,111.82,111.36,109.89,108.76,106.71,105.82,105.37,104.47,99.57,99.78,101.1,100.36,98.76,98.4,97.91,97.56,96.08,96.14,95.97,96.03,95.86,95.74,94.6,94.2,93.43,94.91,97.48,95.01,94.32,95.5,95.54,95.6,95.59,96.38,96.94,97.8,98.75,99.94,101.33
"50","40","    State and local \5\","B251RA",20.85,21.23,21.57,21.81,21.77,21.76,21.94,22.28,22.78,23.32,23.81,24.17,24.23,24.27,24.31,24.4,24.56,24.75,24.98,25.22,25.36,25.53,25.76,26.04,26.32,26.62,26.98,27.29,27.55,27.79,28.08,28.43,28.64,28.93,29.41,29.9,30.18,30.86,31.4,31.86,32.09,32.46,32.98,33.53,33.88,34.52,35.1,35.55,35.68,35.9,36.26,36.65,37.2,37.74,38.33,38.8,39.51,39.69,40.17,40.47,40.57,41.05,41.59,42.09,42.58,43.08,43.82,44.34,45.11,45.76,46.26,47.07,47.47,48.44,49.33,50.09,50.58,51.3,52.03,52.91,52.82,53.25,54.08,54.81,55.98,56.64,57.32,57.92,58.59,59.17,59.78,60.49,61.11,61.78,62.47,63.12,63.72,64.23,64.94,65.7,65.98,66.6,67.2,67.84,68.29,68.86,69.5,70.18,70.93,71.45,71.98,72.55,73.51,73.82,74.08,74.15,74.3,74.41,74.87,75.31,75.44,75.47,75.94,76.33,76.83,76.93,77.79,78.76,78.96,78.62,78.46,79.55,79.93,79.98,79.84,79.63,79.25,79.24,79.78,80.04,80.17,80.25,79.81,79.66,79.67,79.52,79.37,79.08,79.02,79.37,79.99,80.36,80.86,81.35,82.47,82.97,83.29,83.85,84.32,85.27,85.19,85.46,85.35,86.43,87.64,88.19,88.67,89.36,90.02,90.64,91.4,91.92,92.7,93.26,93.81,94,94,94.13,94.13,94.26,94.71,95.02,95.48,95.45,95.72,96.12,96.16,96.49,96.64,97.16,97.52,97.89,98.56,98.79,98.91,99.35,98.73,100.37,100.24,100.65,100.91,101.45,101.99,102.4,102.65,103.19,103.67,103.93,103.99,104.25,104.84,105.42,106.07,106.39,106.85,107.31,107.71,108.58,109.87,110.69,111.06,111.29,111.63,111.92,111.91,111.61
"51",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Government consumption expenditures and gross investment \1\","B822RG",11.9,11.89,11.76,11.87,12.1,12.21,12.51,12.58,12.85,12.75,12.59,12.72,12.64,12.6,12.8,12.98,13.65,13.52,13.63,13.8,13.57,13.78,13.94,14.11,14.02,14.03,13.97,14.05,14.16,14.26,14.39,14.51,14.61,14.88,15.06,15.24,15.51,15.76,15.92,15.99,16.3,16.44,16.55,16.65,16.77,16.95,17.07,17.16,17.07,17.02,16.92,16.96,17.02,17.08,17.26,17.41,17.4,17.49,17.52,17.64,17.84,17.91,17.99,18.14,18.3,18.35,18.31,18.61,18.74,18.81,19.01,19.04,19.18,19.27,19.45,19.76,19.87,20.02,20.41,20.53,20.67,20.9,21.16,21.48,21.78,22.05,22.35,22.72,22.88,23.3,23.84,24.22,24.84,25.24,25.67,26.04,26.76,27.26,27.66,28.08,28.89,29.2,29.64,30.23,30.84,31.39,31.93,32.53,33.26,34.19,35.35,36.5,37.27,37.93,38.55,39.36,39.89,40.4,40.91,41.66,42.52,43.19,43.73,44.75,45.33,45.97,46.67,47.52,48.47,49.47,50.86,52.34,53.6,55.03,56.27,58.31,59.76,60.83,61.56,63.04,64.13,65.02,65.82,66.76,67.22,67.83,68.43,68.85,70.71,71.35,71.91,72.47,73.2,73.58,73.82,74.53,74.62,74.79,75.13,75.76,76.48,77,77.55,77.82,78.5,79.18,79.61,79.92,81.12,81.67,82.15,82.61,83.88,84.61,85.41,86.74,87.47,87.7,88.27,88.72,89.33,90,90.43,90.67,91.63,92.21,92.7,93.22,93.9,94.66,95.11,95.7,96.67,97.23,97.69,98.63,99.84,99.48,100.1,100.58,101.72,102.01,102.26,102.93,103.14,103.46,103.91,104.36,105.2,106.13,106.96,107.78,109.46,110.26,111.07,111.8,112.96,113.47,113.37,113.27,114.27,115.06,115.47,115.92,118.15,118.01
"53","42","Federal","B823RG",13.63,13.49,13.07,13.02,13.11,13.14,13.34,13.34,13.92,13.9,13.62,13.93,13.89,13.73,13.79,13.83,14.68,14.33,14.36,14.55,14.19,14.43,14.55,14.81,14.61,14.64,14.56,14.68,14.87,14.87,15.04,15.18,15.4,15.83,15.96,16.15,16.38,16.67,16.77,16.78,17.21,17.29,17.42,17.61,17.86,18.07,18.21,18.33,18.01,17.9,17.72,17.77,17.75,17.81,18.06,18.29,18.22,18.26,18.21,18.32,18.51,18.58,18.68,18.87,19.05,19.07,18.95,19.4,19.56,19.62,19.92,19.91,20.01,20.08,20.29,20.75,20.72,20.71,21.21,21.21,21.19,21.44,21.69,22.08,22.36,22.65,23.04,23.36,23.37,23.75,24.42,24.77,25.46,25.73,26.16,26.45,27.38,27.95,28.42,29.06,30.22,30.46,30.9,31.65,32.14,32.62,33.28,33.88,34.37,35.08,36.21,37.56,38.41,38.92,39.62,40.7,41.12,41.55,42.25,43.34,44.4,44.97,45.25,46.69,47.21,47.68,48.36,49.54,50.24,51.1,52.11,54.26,55.24,56.59,57.52,60.44,61.46,62.38,63.06,65.32,66.4,67.15,67.72,68.83,69.26,69.76,70.29,70.51,73.38,73.93,74.4,74.87,75.52,75.56,75.43,76.17,76.02,76.1,76.08,76.21,76.82,76.96,77.15,77.19,78.22,78.87,79.05,79.14,80.68,80.96,81.43,81.41,82.57,83.28,83.87,85.41,86.56,86.76,87.41,87.99,89.07,89.76,90.35,90.12,91.26,91.79,92.61,93.07,93.63,94.63,94.55,95.23,96.18,96.52,97.11,99.04,100.27,99.45,99.93,100.35,101.42,101.6,101.49,102,102.14,102.43,102.78,103.15,104.35,104.82,105.37,105.78,107.87,108.05,108.48,108.51,109.73,110.15,110.3,110.18,112.42,113.07,113.44,113.53,116.23,116.46
