"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"54","34","  Total expenditures","W068RC1","299,514.0","305,995.0","312,747.0","316,943.0","324,421.0","337,433.0","344,636.0","352,332.0","356,662.0","371,214.0","375,046.0","381,070.0","396,982.0","401,846.0","402,328.0","416,094.0","423,009.0","435,218.0","433,044.0","446,127.0","460,761.0","472,916.0","502,034.0","516,056.0","544,971.0","567,096.0","577,816.0","593,891.0","602,448.0","599,461.0","611,046.0","621,493.0","636,950.0","649,143.0","659,969.0","679,682.0","694,127.0","712,773.0","738,428.0","757,860.0","766,935.0","789,664.0","817,383.0","842,360.0","882,391.0","907,630.0","941,352.0","960,533.0","1,010,098.0","1,022,146.0","1,044,920.0","1,086,826.0","1,105,092.0","1,131,173.0","1,165,689.0","1,204,041.0","1,226,275.0","1,236,216.0","1,268,174.0","1,276,018.0","1,300,113.0","1,328,882.0","1,357,553.0","1,399,173.0","1,428,941.0","1,460,140.0","1,489,658.0","1,513,216.0","1,531,883.0","1,557,660.0","1,600,412.0","1,598,736.0","1,619,697.0","1,644,909.0","1,659,241.0","1,690,089.0","1,705,736.0","1,721,116.0","1,733,050.0","1,778,219.0","1,815,479.0","1,853,377.0","1,885,547.0","1,917,176.0","1,969,289.0","1,999,316.0","2,025,147.0","2,098,668.0","2,037,210.0","2,110,728.0","2,168,485.0","2,199,420.0","2,258,198.0","2,293,515.0","2,319,976.0","2,340,075.0","2,345,430.0","2,360,452.0","2,386,236.0","2,404,910.0","2,389,254.0","2,421,688.0","2,466,541.0","2,502,747.0","2,538,716.0","2,566,568.0","2,552,899.0","2,571,395.0","2,622,004.0","2,649,370.0","2,654,484.0","2,672,638.0","2,703,628.0","2,698,174.0","2,735,837.0","2,766,001.0","2,753,086.0","2,783,020.0","2,811,049.0","2,858,675.0","2,881,121.0","2,910,822.0","2,949,774.0","3,029,936.0","3,018,899.0","3,077,681.0","3,102,939.0","3,151,056.0","3,221,731.0","3,304,108.0","3,321,378.0","3,374,048.0","3,446,308.0","3,495,510.0","3,536,709.0","3,613,642.0","3,678,027.0","3,755,137.0","3,779,785.0","3,807,644.0","3,900,632.0","3,939,080.0","4,008,849.0","4,034,872.0","4,142,876.0","4,188,745.0","4,326,009.0","4,351,178.0","4,393,668.0","4,463,054.0","4,522,114.0","4,479,415.0","4,684,593.0","4,750,412.0","4,795,793.0","4,845,380.0","4,923,349.0","5,104,199.0","5,151,805.0","5,342,940.0","5,400,484.0","5,625,993.0","5,598,740.0","5,618,528.0","5,678,571.0","5,755,221.0","5,726,543.0","5,734,342.0","5,713,481.0","5,813,861.0","5,748,972.0","5,758,384.0","5,741,863.0","5,786,698.0","5,761,333.0","5,810,314.0","5,728,004.0","5,791,089.0","5,803,622.0","5,766,518.0","5,810,767.0","5,883,023.0","5,968,961.0","5,940,219.0"
"55","35","    Current expenditures","W022RC1","271,170.0","280,157.0","287,428.0","295,344.0","301,755.0","315,869.0","322,206.0","330,085.0","339,750.0","352,006.0","355,295.0","362,453.0","377,559.0","381,800.0","385,226.0","398,858.0","405,266.0","414,939.0","418,378.0","427,768.0","441,327.0","460,500.0","475,778.0","495,706.0","517,786.0","544,555.0","549,523.0","562,071.0","569,413.0","573,560.0","587,913.0","597,359.0","609,062.0","620,640.0","635,688.0","655,115.0","669,095.0","681,153.0","699,374.0","717,518.0","734,416.0","749,750.0","773,904.0","801,481.0","833,256.0","858,996.0","898,883.0","927,038.0","959,535.0","981,393.0","1,014,288.0","1,043,682.0","1,066,002.0","1,086,125.0","1,121,497.0","1,164,934.0","1,178,345.0","1,201,805.0","1,219,061.0","1,220,200.0","1,244,033.0","1,272,465.0","1,297,069.0","1,327,866.0","1,354,613.0","1,377,424.0","1,405,591.0","1,427,777.0","1,446,090.0","1,475,892.0","1,502,090.0","1,511,601.0","1,525,575.0","1,547,190.0","1,559,680.0","1,594,047.0","1,617,152.0","1,628,393.0","1,647,817.0","1,690,247.0","1,728,732.0","1,767,087.0","1,793,717.0","1,826,445.0","1,870,192.0","1,902,789.0","1,929,410.0","1,970,657.0","1,941,136.0","2,016,926.0","2,061,303.0","2,110,015.0","2,164,246.0","2,203,918.0","2,235,771.0","2,260,558.0","2,269,141.0","2,283,760.0","2,312,750.0","2,330,888.0","2,327,892.0","2,352,462.0","2,387,717.0","2,430,361.0","2,464,463.0","2,491,862.0","2,507,165.0","2,499,035.0","2,545,656.0","2,570,279.0","2,573,798.0","2,603,153.0","2,616,373.0","2,639,131.0","2,652,785.0","2,686,968.0","2,676,820.0","2,703,785.0","2,715,794.0","2,757,920.0","2,776,999.0","2,802,073.0","2,839,507.0","2,891,436.0","2,895,656.0","2,959,804.0","2,982,860.0","3,028,561.0","3,098,767.0","3,158,468.0","3,191,476.0","3,227,348.0","3,291,434.0","3,337,444.0","3,372,109.0","3,432,765.0","3,497,260.0","3,567,122.0","3,586,052.0","3,618,025.0","3,710,938.0","3,743,046.0","3,792,485.0","3,844,175.0","3,947,761.0","3,997,180.0","4,064,559.0","4,129,987.0","4,189,630.0","4,249,999.0","4,314,530.0","4,318,933.0","4,461,249.0","4,520,138.0","4,560,493.0","4,621,258.0","4,705,788.0","4,883,128.0","4,901,456.0","4,872,823.0","4,972,140.0","5,252,611.0","5,307,902.0","5,306,238.0","5,392,754.0","5,437,558.0","5,474,028.0","5,499,634.0","5,505,687.0","5,585,145.0","5,533,564.0","5,526,132.0","5,567,534.0","5,628,058.0","5,611,479.0","5,643,533.0","5,612,942.0","5,678,354.0","5,695,298.0","5,664,970.0","5,730,497.0","5,791,270.0","5,885,592.0","5,844,988.0"
"56","36","    Gross government investment","A782RC1","61,517.0","59,714.0","59,910.0","57,022.0","58,997.0","58,846.0","60,239.0","61,088.0","58,046.0","58,331.0","59,181.0","58,477.0","60,024.0","60,971.0","59,138.0","62,631.0","66,180.0","65,595.0","64,555.0","66,232.0","70,968.0","76,106.0","78,123.0","79,452.0","83,062.0","79,220.0","85,446.0","89,861.0","92,938.0","89,004.0","88,687.0","87,932.0","91,465.0","94,242.0","93,637.0","93,287.0","93,606.0","104,996.0","109,720.0","113,944.0","109,819.0","116,994.0","125,358.0","128,228.0","135,780.0","134,739.0","134,356.0","138,932.0","146,427.0","145,369.0","145,727.0","151,859.0","150,194.0","156,556.0","157,493.0","163,553.0","164,549.0","167,293.0","174,662.0","178,155.0","183,808.0","189,755.0","194,069.0","205,082.0","207,854.0","218,677.0","226,736.0","226,220.0","228,585.0","234,668.0","246,319.0","242,764.0","247,430.0","253,705.0","259,011.0","258,416.0","253,533.0","258,509.0","258,717.0","262,821.0","263,439.0","267,517.0","275,009.0","275,758.0","286,629.0","288,438.0","290,711.0","295,690.0","290,745.0","295,137.0","295,562.0","294,922.0","300,311.0","297,732.0","294,276.0","292,151.0","288,440.0","293,329.0","291,441.0","294,333.0","283,288.0","290,345.0","302,354.0","300,699.0","305,521.0","310,081.0","306,686.0","308,432.0","314,735.0","317,911.0","321,693.0","325,466.0","330,362.0","330,025.0","331,285.0","326,459.0","324,577.0","336,888.0","351,763.0","352,379.0","356,301.0","364,248.0","370,557.0","382,760.0","387,708.0","385,956.0","391,615.0","395,738.0","401,680.0","421,709.0","406,706.0","424,443.0","434,387.0","439,447.0","447,968.0","452,487.0","455,349.0","461,043.0","472,240.0","472,394.0","475,266.0","487,555.0","494,413.0","496,608.0","498,174.0","509,585.0","519,379.0","527,428.0","534,251.0","553,727.0","555,759.0","565,653.0","575,574.0","590,708.0","597,231.0","605,312.0","611,363.0","632,755.0","645,756.0","648,629.0","642,749.0","651,900.0","651,397.0","642,072.0","635,405.0","655,321.0","660,509.0","656,030.0","637,677.0","639,099.0","637,455.0","637,296.0","623,266.0","627,707.0","620,127.0","606,598.0","592,363.0","597,420.0","598,744.0","596,746.0","574,591.0","591,049.0","593,038.0","598,277.0"
"57","37","    Capital transfer payments","W069RC1","84.0","76.0","76.0","80.0","104.0","132.0","112.0","172.0","176.0","132.0","140.0","172.0","196.0","236.0","304.0","160.0","192.0","184.0","188.0","212.0","232.0","268.0","248.0","288.0","304.0","296.0","296.0","296.0","296.0","252.0","228.0","220.0","164.0","284.0","252.0","200.0","228.0","252.0","264.0","260.0","296.0","336.0","376.0","396.0","412.0","412.0","336.0","456.0","316.0","276.0","304.0","400.0","384.0","356.0","272.0","236.0","172.0","144.0","132.0","108.0","108.0","96.0","104.0","116.0","136.0","164.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","180.0","388.0","172.0","172.0","2,596.0","160.0","400.0","156.0","140.0","3,588.0","1,048.0","200.0","204.0","208.0","1,972.0","180.0","208.0","196.0","196.0","204.0","220.0","500.0","600.0","292.0","228.0","212.0","288.0","252.0","288.0","280.0","316.0","17,032.0","404.0","400.0","468.0","208.0","260.0","240.0","276.0","356.0","404.0","420.0","704.0","15,084.0","15,219.0","20,190.0","17,381.0","15,701.0","16,384.0","16,489.0","36,651.0","16,973.0","24,765.0","16,446.0","87,133.0","40,992.0","21,795.0","18,860.0","16,923.0","15,920.0","27,038.0","27,255.0","27,308.0","18,930.0","18,985.0","19,074.0","30,717.0","284,176.0","241,549.0","155,980.0","71,543.0","104,877.0","90,272.0","109,407.0","43,323.0","34,295.0","32,201.0","58,362.0","53,278.0","73,747.0","35,262.0","18,670.0","20,430.0","54,332.0","17,116.0","13,632.0","12,031.0","9,100.0","13,545.0","12,732.0","10,510.0","14,227.0"
"58","38","    Net purchases of nonproduced assets","AD07RC1","1,132.0","1,168.0","1,050.0","990.0","861.0","710.0","1,013.0","732.0","-845.0","1,794.0","1,921.0","1,886.0","1,917.0","1,905.0","1,286.0","-1,337.0","-3,550.0","551.0","-3,068.0","139.0","-1,942.0","-12,079.0","2,113.0","-3,281.0","1,188.0","1,354.0","1,692.0","1,808.0","1,001.0","-1,219.0","-2,624.0","278.0","1,710.0","603.0","-1,920.0","155.0","1,756.0","-1,436.0","2,875.0","1,377.0","-619.0","1,718.0","-710.0","-3,795.0","-512.0","2,917.0","305.0","-10,269.0","2,452.0","-3,074.0","-10,812.0","-1,690.0","-1,304.0","1,193.0","1,707.0","-7,507.0","2,220.0","-12,441.0","-2,949.0","2,266.0","-431.0","-3,730.0","-1,701.0","278.0","3,040.0","2,795.0","-1,394.0","3,003.0","3,413.0","-3,829.0","3,745.0","-729.0","4,040.0","3,955.0","3,390.0","3,526.0","4,420.0","6,718.0","1,985.0","3,617.0","4,725.0","3,223.0","4,243.0","4,401.0","5,073.0","4,332.0","4,387.0","6,003.0","5,999.0","6,001.0","5,985.0","6,001.0","6,076.0","6,064.0","6,023.0","5,992.0","6,059.0","6,011.0","5,997.0","6,093.0","5,969.0","5,200.0","7,665.0","6,291.0","6,396.0","3,857.0","-21,739.0","6,066.0","5,122.0","5,404.0","4,284.0","-9,870.0","4,331.0","-22,007.0","1,761.0","4,088.0","3,895.0","-3,753.0","-652.0","6,754.0","8,234.0","7,852.0","5,275.0","8,284.0","8,081.0","7,917.0","7,410.0","8,452.0","4,808.0","9,246.0","9,926.0","10,692.0","10,909.0","11,092.0","11,121.0","10,610.0","10,553.0","10,030.0","10,522.0","10,916.0","11,202.0","10,711.0","10,722.0","9,417.0","9,265.0","8,860.0","5,071.0","8,856.0","8,853.0","8,456.0","8,682.0","-39,681.0","10,665.0","8,526.0","13,264.0","8,734.0","3,257.0","-8,074.0","3,973.0","-25,508.0","-14,754.0","7,622.0","10,433.0","10,401.0","10,306.0","8,937.0","9,213.0","9,918.0","9,497.0","8,655.0","7,418.0","7,800.0","7,316.0","7,382.0","7,306.0","5,048.0","7,120.0","6,224.0","5,312.0","7,513.0","7,302.0","6,424.0","1,625.0","6,755.0"
"59","39","    Less: Consumption of fixed capital","A264RC1","34,389.0","35,120.0","35,717.0","36,493.0","37,296.0","38,124.0","38,934.0","39,745.0","40,465.0","41,049.0","41,491.0","41,918.0","42,714.0","43,066.0","43,626.0","44,218.0","45,079.0","46,051.0","47,009.0","48,224.0","49,824.0","51,879.0","54,228.0","56,109.0","57,369.0","58,329.0","59,141.0","60,145.0","61,200.0","62,136.0","63,158.0","64,296.0","65,451.0","66,626.0","67,688.0","69,075.0","70,558.0","72,192.0","73,805.0","75,239.0","76,977.0","79,134.0","81,545.0","83,950.0","86,545.0","89,434.0","92,528.0","95,624.0","98,632.0","101,818.0","104,587.0","107,425.0","110,184.0","113,057.0","115,280.0","117,175.0","119,011.0","120,585.0","122,732.0","124,711.0","127,405.0","129,704.0","131,988.0","134,169.0","136,702.0","138,920.0","141,427.0","143,920.0","146,325.0","149,179.0","151,850.0","155,008.0","157,476.0","160,077.0","162,984.0","166,044.0","169,505.0","172,636.0","175,605.0","178,598.0","181,549.0","184,594.0","187,566.0","190,400.0","193,437.0","196,395.0","199,517.0","202,034.0","205,110.0","207,904.0","210,377.0","211,694.0","212,615.0","214,587.0","216,266.0","218,798.0","220,806.0","222,808.0","224,352.0","226,560.0","228,035.0","229,907.0","232,243.0","234,804.0","237,868.0","239,440.0","241,185.0","242,318.0","243,717.0","244,420.0","245,487.0","246,315.0","247,658.0","249,475.0","250,594.0","251,806.0","252,434.0","254,112.0","256,144.0","258,630.0","260,701.0","263,631.0","265,881.0","269,576.0","272,950.0","276,396.0","279,414.0","281,903.0","283,784.0","285,555.0","287,006.0","288,791.0","290,826.0","292,893.0","295,193.0","297,304.0","300,354.0","303,248.0","306,410.0","309,392.0","313,158.0","318,721.0","325,422.0","332,301.0","337,089.0","343,326.0","350,133.0","356,085.0","360,861.0","367,988.0","373,780.0","381,410.0","389,933.0","396,215.0","402,503.0","408,854.0","416,044.0","422,684.0","430,097.0","437,180.0","441,200.0","442,120.0","442,535.0","445,060.0","450,166.0","456,002.0","460,530.0","465,535.0","471,581.0","477,400.0","482,743.0","486,591.0","491,515.0","495,119.0","498,009.0","499,197.0","501,537.0","504,541.0","507,763.0","511,811.0","515,168.0","518,452.0","521,804.0","524,028.0"
"60","40","  Net lending or net borrowing (-)","AD01RC1","-17,867.0","-18,631.0","-24,848.0","-25,263.0","-35,851.0","-45,684.0","-54,300.0","-61,217.0","-57,506.0","-66,057.0","-65,807.0","-62,891.0","-54,977.0","-54,209.0","-48,762.0","-50,513.0","-38,094.0","-45,167.0","-36,227.0","-37,343.0","-42,635.0","-40,039.0","-53,458.0","-70,448.0","-103,888.0","-154,428.0","-115,839.0","-120,060.0","-107,134.0","-93,194.0","-93,110.0","-92,043.0","-80,616.0","-79,748.0","-78,916.0","-82,716.0","-84,143.0","-65,321.0","-74,264.0","-69,088.0","-56,029.0","-64,056.0","-71,569.0","-80,250.0","-97,611.0","-125,357.0","-129,268.0","-109,876.0","-105,322.0","-102,613.0","-99,414.0","-147,411.0","-164,274.0","-178,187.0","-215,606.0","-247,870.0","-257,362.0","-227,585.0","-251,349.0","-232,744.0","-208,012.0","-213,544.0","-229,396.0","-245,549.0","-210,597.0","-269,455.0","-251,286.0","-260,889.0","-252,185.0","-276,552.0","-295,507.0","-257,617.0","-271,078.0","-209,183.0","-230,469.0","-238,784.0","-227,439.0","-224,749.0","-203,502.0","-215,787.0","-192,997.0","-218,297.0","-235,814.0","-255,619.0","-278,270.0","-282,899.0","-284,818.0","-339,853.0","-285,534.0","-347,937.0","-383,030.0","-392,788.0","-434,344.0","-442,044.0","-455,215.0","-433,153.0","-448,333.0","-405,834.0","-412,360.0","-359,522.0","-336,999.0","-314,347.0","-334,063.0","-338,079.0","-338,404.0","-341,727.0","-302,289.0","-294,020.0","-293,705.0","-252,889.0","-236,487.0","-193,928.0","-187,104.0","-137,779.0","-117,784.0","-115,766.0","-54,369.0","-44,882.0","-26,533.0","-23,668.0","-9,195.0","-5,453.0","6,352.0","-3,051.0","110,901.0","86,612.0","75,544.0","51,488.0","18,485.0","-68,543.0","-295,555.0","-253,246.0","-465,634.0","-515,231.0","-523,924.0","-588,680.0","-640,085.0","-699,953.0","-746,655.0","-650,717.0","-716,655.0","-690,921.0","-666,355.0","-628,161.0","-544,386.0","-542,708.0","-600,584.0","-537,568.0","-436,337.0","-446,920.0","-459,102.0","-376,838.0","-473,688.0","-506,056.0","-566,149.0","-594,623.0","-711,090.0","-1,086,448.0","-1,064,785.0","-1,357,508.0","-1,707,749.0","-1,948,931.0","-1,893,509.0","-1,838,031.0","-1,876,269.0","-1,898,576.0","-1,773,969.0","-1,727,037.0","-1,644,309.0","-1,727,983.0","-1,659,533.0","-1,635,084.0","-1,466,110.0","-1,476,872.0","-1,466,312.0","-1,400,452.0","-1,054,694.0","-869,658.0","-1,060,583.0","-845,211.0","-854,327.0","-891,100.0","-896,395.0","....."
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Prior to 1960, interest payments to persons and business (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and interest receipts on line 10 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","included in interest payments (line 24), which is shown net of interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","receipts. Interest payments to persons and business includes interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","accrued on the actuarial liabilities of defined benefit pension plans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Prior to 1959, subsidies (line 27) and the current surplus of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
