"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"211","203","        Air transportation (64)","DAITRX0",30218,29773,29880,31274,33138,33678,34257,34983,36012,35874,35976,35650,36718,38113,38747,39473,39974,39770,41494,42149,43249,44440,45239,45269,45125,44042,41074,38470,42163,42149,43765,44812,45906,45036,46756,47577,49276,50417,48926,48621,47814,48333,48466,46004,44363,46301,45825,47468,47922,47499,47098,47326,46349,43945,42249,39618,40069,41634,41361,40911,39532,39010,39494,38818,38385,39164,39415,37303,36739,36749,35644,35945
"212","204","        Water transportation (65)","DWATRX0",677,765,848,927,992,1070,1145,1222,1266,1293,1310,1348,1363,1368,1378,1393,1415,1448,1496,1560,1638,1720,1801,1882,1956,2014,2047,2057,2051,2065,2107,2177,2250,2313,2374,2430,2476,2509,2523,2518,2498,2487,2490,2509,2537,2568,2598,2626,2653,2680,2710,2741,2770,2790,2802,2803,2772,2765,2781,2821,2884,2947,3009,3072,3127,3244,3230,3315,3444,3593,3755,3791
"213","205","    Recreation services","DRCARX0",237806,244014,247723,251620,252298,254960,258866,259392,261910,263769,264834,267560,270851,271092,274468,276912,279369,283859,290042,293396,293239,295830,296326,295685,298066,295025,293438,293227,295210,295678,296466,299791,299285,303607,308466,313221,318418,321890,323873,324211,326841,327915,327765,330413,334827,337318,339741,347881,349837,352671,355414,354842,354676,352852,346371,340503,337363,334153,331423,332853,335871,334020,337856,341890,340984,346162,347948,348462,347932,350399,351046,351382
"214","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",93931,96926,97812,99010,99020,100202,102010,100521,102040,102300,103244,104751,106182,105619,106577,105979,105129,105685,107234,106889,106214,107554,106855,106886,107217,106341,104454,104451,105960,106003,105895,107334,106762,107358,108227,109609,109728,111367,112460,112194,113811,114060,115573,117299,117408,118321,119360,120334,121690,122659,124737,123877,124347,124065,122422,121245,119174,118176,116824,118453,120053,118341,121157,124084,122493,126477,128329,127543,128283,131869,131179,132350
"215","207","        Membership clubs and participant sports centers","DMDFRX0",23171,23389,23852,23705,23790,23959,24688,26991,28233,28230,28975,29125,29097,28794,28310,28241,28444,28497,29118,28913,28698,28663,28196,28258,28160,28134,28108,27567,28297,28468,28797,28694,28587,28356,28543,29046,29344,29979,30572,29991,30727,31159,31144,31444,31455,31495,31722,32010,32817,33157,33548,33535,33234,33401,33257,32562,31574,31239,31050,31199,31963,32353,32429,32019,32312,32909,34072,34400,34251,34946,35564,36453
"216","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",38036,39337,39499,39693,40081,40431,39845,37546,36826,37041,37251,37438,37535,37552,37458,37234,36897,36628,36476,36422,36428,36413,36370,36285,36128,35815,35026,33958,33605,33029,32702,32611,33158,33602,33954,34164,34161,34341,34668,35139,35734,36232,36635,36923,37142,37449,37849,38330,38914,39470,40054,40578,40942,41058,40894,40363,39189,38571,38591,39057,40114,39881,40358,41392,41508,42662,43509,44262,44349,47724,48385,48441
"217","209","        Admissions to specified spectator amusements","DADMRX0",28852,30352,30593,31918,31444,32218,33904,32019,33009,33017,32878,34008,35384,35060,36661,36246,35381,36229,37286,37102,36452,37792,37657,37748,38376,37742,36470,38097,38925,39169,38923,40544,39501,39960,40347,40975,40795,41541,41471,41251,41337,40522,41674,42715,42707,43417,43956,44329,44439,44609,45689,44406,44795,44168,42905,43000,43129,43054,42033,43051,42834,41116,43300,45345,43380,45452,45381,43526,44293,43853,42001,42236
"218","210","          Motion picture theaters","DMOVRX0",7334,8981,8262,8905,8718,9306,7750,8909,9722,9196,8884,8763,10010,9236,10173,9725,9194,9981,11312,10051,9778,10609,10422,10486,10710,9866,10459,10561,11164,10906,10030,10934,9934,10446,10702,11032,10441,10736,10237,10284,10104,9074,10041,10217,9920,10192,10250,10105,9954,9979,11037,9806,10513,10289,9403,9933,10270,10504,9721,10978,11187,10096,10224,10166,9120,10544,11044,9829,11190,10482,9866,10353
"219","211","          Live entertainment, excluding sports","DLIGRX0",10407,10597,10311,10700,10633,10672,10797,10504,10442,10742,10648,11578,11380,11618,12148,12196,11976,12076,11744,12699,12158,12506,12498,12536,13005,13249,12473,12626,12740,13042,13465,13963,13889,13755,13747,13862,14091,14352,14626,14904,15130,15277,15344,15324,15570,15943,16234,16443,16335,16218,16142,16094,16085,16004,15847,15603,15512,15505,15598,15778,15334,15481,15833,16648,16492,16575,16593,16636,16196,15394,14385,14218
"220","212","          Spectator sports","DSPERX0",11105,10730,12024,12305,12085,12225,15443,12610,12842,13086,13367,13683,14000,14226,14340,14331,14225,14173,14216,14345,14532,14670,14736,14723,14646,14620,13522,14904,15014,15215,15424,15638,15679,15758,15896,16075,16267,16453,16614,16058,16099,16173,16292,17173,17217,17283,17472,17780,18148,18408,18510,18496,18200,17882,17646,17467,17357,17068,16733,16356,16369,15602,17258,18525,17762,18342,17777,17093,16963,17959,17701,17627
"221","213","        Museums and libraries","DMUSRX0",3689,3764,3759,3700,3663,3586,3602,3634,3576,3617,3654,3765,3858,3918,4037,4130,4192,4169,4199,4310,4486,4608,4584,4544,4534,4606,4760,4831,5129,5340,5457,5516,5526,5470,5416,5455,5444,5519,5751,5823,6016,6147,6118,6215,6104,5962,5834,5664,5525,5431,5447,5375,5384,5460,5411,5342,5269,5293,5152,5128,5169,5101,5100,5247,5311,5413,5406,5495,5491,5518,5531,5566
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",67025,67911,68435,69022,69082,69219,68989,69258,69009,69249,69284,70082,70760,71803,73064,74318,75750,76858,78127,78879,79718,80412,80801,81446,82319,80771,81267,81119,79494,78917,78659,78835,79244,79793,81101,82805,84350,85542,85514,86240,85986,85094,85150,85566,85449,87001,86351,88956,89900,92259,92314,93243,94741,94070,92984,91349,92338,92214,91667,91644,91699,92420,92014,93701,94439,95146,95267,94924,93937,93154,93029,93643
"223","215","        Cable and satellite television and radio services","DCTVRX0",39448,40239,40803,41639,42368,42775,42761,43350,43437,43813,43666,44139,44267,44799,45606,46460,47572,48381,49421,49976,50734,51418,51862,52700,53885,52511,52562,53450,52118,51604,51245,51229,51528,51951,53029,54423,55660,56784,57019,58358,58979,58802,59360,60044,59981,61486,60718,63107,63755,65947,66036,67185,69094,68907,68367,67371,68982,69385,69285,69636,69840,70588,70226,71889,72540,73273,73320,72993,72066,71325,71304,71944
"224","216","        Photo processing","DFDVRX0",6371,6415,6454,6487,6553,6563,6557,6540,6518,6527,6539,6549,6555,6566,6586,6612,6635,6634,6609,6553,6470,6382,6296,6210,6124,6052,5999,5962,5939,5912,5881,5846,5755,5642,5540,5442,5328,5177,4973,4715,4407,4092,3778,3464,3161,2939,2811,2778,2821,2846,2832,2780,2693,2600,2509,2421,2347,2286,2236,2195,2167,2171,2211,2289,2394,2482,2543,2576,2596,2617,2639,2661
"225","217","        Photo studios","DPICRX0",7724,7772,7782,7749,7630,7549,7453,7345,7055,6826,6750,6819,6998,7143,7220,7220,7155,7103,7081,7087,7110,7129,7142,7147,7135,7092,7014,6899,6763,6665,6623,6633,6626,6612,6624,6656,6691,6741,6796,6854,6908,6946,6965,6963,6942,6948,6989,7064,7161,7236,7284,7301,7287,7246,7182,7090,6924,6763,6652,6589,6563,6535,6499,6453,6399,6358,6335,6330,6314,6288,6263,6239
"226","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",4929,4988,5001,4982,4834,4797,4752,4699,4685,4728,4818,4961,5149,5330,5489,5620,5736,5885,6081,6320,6587,6806,6942,6993,6973,6971,7009,7099,7229,7319,7370,7349,7272,7264,7346,7516,7754,7908,7942,7855,7681,7597,7604,7726,7957,8159,8334,8469,8630,8756,8836,8863,8823,8773,8676,8510,8362,8272,8181,8073,8137,8278,8362,8425,8537,8499,8581,8549,8517,8531,8448,8442
"227","219","        Video media rental","DVIDRX0",7292,7324,7313,7258,7056,7005,6971,6954,6984,7058,7142,7233,7333,7473,7659,7892,8152,8354,8473,8501,8441,8362,8291,8213,8128,8019,8476,7699,7409,7358,7449,7669,7955,8220,8471,8698,8863,8893,8755,8447,8008,7658,7444,7367,7402,7450,7487,7511,7511,7442,7298,7076,6790,6495,6204,5914,5657,5433,5235,5062,4911,4782,4676,4592,4529,4483,4455,4445,4424,4394,4364,4335
"228","220","      Gambling (91)","DGAMRX0",55562,57002,58682,60389,60574,61352,63314,64499,65652,66674,66470,66262,66796,66127,66735,68072,69273,71692,74528,76707,76292,76629,77355,76143,77527,77038,76916,77292,78505,79549,81039,82448,82049,84929,87100,88338,91733,91939,92651,91851,92724,94189,92252,92569,97001,96231,97400,100902,99736,99111,99715,99207,96680,95642,92876,91162,90411,89296,88436,87651,88157,86864,88236,87716,87905,88167,87311,88822,88273,87673,88821,87166
"229","221","        Casino gambling","DCASRX0",34328,35561,37036,38550,38663,39300,41084,42097,43329,44506,44339,44067,44467,43691,44230,45546,46785,49287,52240,54582,54371,54866,55682,54499,55854,55259,54945,55047,55928,56693,57968,59235,58821,61624,63596,64541,67623,67584,68182,67408,68415,69863,67702,67592,71349,69962,70684,73917,72702,72256,73258,73371,71867,71703,69424,67806,66939,65729,64786,63951,64483,63333,64670,64029,64508,64808,63918,65560,64969,64390,65513,63823
"230","222","        Lotteries","DLOTRX0",16565,16736,16909,17075,17157,17278,17430,17581,17490,17319,17240,17241,17296,17330,17335,17304,17227,17113,16970,16786,16573,16424,16360,16378,16466,16608,16805,17054,17338,17576,17763,17891,17957,18054,18229,18459,18685,18854,18918,18871,18747,18779,19019,19466,20056,20563,20931,21155,21217,21083,20753,20216,19308,18546,18146,18111,18302,18454,18545,18569,18528,18469,18409,18345,18276,18227,18209,18219,18236,18252,18274,18296
"231","223","        Pari-mutuel net receipts","DPARRX0",4672,4708,4740,4766,4757,4776,4802,4824,4835,4851,4892,4956,5036,5109,5173,5225,5262,5293,5320,5340,5348,5339,5313,5267,5207,5171,5166,5191,5240,5280,5308,5322,5271,5251,5275,5339,5425,5501,5551,5573,5562,5547,5530,5510,5596,5706,5786,5830,5818,5773,5704,5619,5504,5392,5305,5244,5170,5113,5105,5130,5146,5061,5157,5341,5121,5131,5183,5042,5068,5029,5034,5048
"232","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",21584,22503,23064,23414,23842,24414,24733,25215,25305,25617,25961,26667,27358,27795,28346,28725,29346,29700,30187,30933,31025,31256,31321,31232,30994,30865,30784,30327,31238,31194,30844,31149,31205,31511,32033,32457,32607,33032,33242,33914,34316,34573,34791,34982,34965,35763,36626,37697,38503,38654,38647,38533,38951,39110,38157,36831,35600,34656,34668,35237,36059,36471,36522,36506,36280,36555,37226,37310,37577,37908,38184,38407
"233","225","        Veterinary and other services for pets","DVETRX0",12976,13395,13787,14115,14564,15033,15337,15729,16123,16328,16676,17068,17258,17389,17496,17597,17677,17762,18036,18275,18115,18113,18162,18165,18037,18051,17912,17755,18176,18107,17901,18336,18177,18198,18541,18900,18789,18993,19114,19339,19516,19679,19938,19917,20180,20607,20834,20939,21357,21364,21419,21479,21310,21624,21142,20777,20435,20036,20040,20215,20513,20426,20366,20344,20177,20007,20287,20075,20303,20742,20819,20943
"234","226","        Package tours","DHOLRX0",6736,7151,7307,7382,7435,7634,7680,7765,7446,7484,7394,7581,7897,8014,8273,8382,8753,8847,8884,9182,9196,9231,9094,8887,8684,8449,8379,7942,8296,8197,7959,7796,8004,8302,8492,8565,8816,9011,9053,9429,9574,9597,9496,9665,9351,9665,10213,11062,11318,11390,11319,11200,11912,11880,11576,10786,10162,9844,9959,10346,10763,11173,11181,11087,10950,11380,11731,12048,12045,11855,12037,12105
"235","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",2186,2271,2309,2298,2282,2252,2253,2285,2330,2393,2481,2598,2737,2880,3016,3144,3267,3401,3553,3721,3896,4052,4181,4281,4355,4438,4540,4659,4789,4896,4978,5030,5028,5010,5006,5007,5006,5031,5078,5145,5226,5297,5356,5401,5433,5490,5579,5699,5834,5912,5922,5862,5746,5601,5428,5226,4922,4676,4561,4578,4704,4838,4961,5071,5166,5241,5295,5328,5353,5382,5412,5443
"236","228","    Food services and accommodations","DFSARX0",415417,416110,416683,415878,415954,418038,418642,422431,426606,426476,431009,428027,432801,438148,439809,445960,444461,447152,448957,459507,466997,471108,472773,471252,474768,470157,467621,466955,473799,477484,478392,479185,482646,491840,500203,505236,510748,511559,516377,521629,525291,532551,536181,541601,550713,547058,550342,558427,556866,557501,558396,563523,556727,559212,553575,546053,536376,531172,529832,529366,537332,543485,547341,552158,558996,563024,566210,572767,579485,581002,582887,593672
"237","229","      Food services","DFSERX0",364129,365820,366264,364520,364138,365484,365251,368129,370559,369690,373476,370017,374771,380387,382356,388035,385515,388885,389701,399415,406198,408538,409376,407998,412853,410158,410571,411526,415594,417412,417944,418162,421255,429363,435441,440521,444143,445306,448611,453301,455709,461021,461632,466663,474681,470941,473779,481551,478648,480093,481475,484447,476835,477943,472935,467463,459401,453236,449902,449820,456006,460752,463350,467265,472632,475584,478582,483875,489480,490198,491041,499840
"238","230","        Purchased meals and beverages (102)","DPMBRX0",354343,356021,356435,354698,354304,355641,355411,358284,360713,359840,363638,360165,364908,370505,372439,378105,375553,378886,379678,389367,396118,398418,399220,397812,402625,399905,400279,401232,405286,407081,407561,407678,410653,418688,424745,429784,433356,434441,437645,442168,444355,449408,449713,454406,462053,458015,460621,468306,465400,466885,468303,471379,463892,465077,460067,454553,446429,440266,437008,437165,443635,448538,451167,454950,460067,462755,465591,470785,476380,477091,477921,486708
"239","231","          Meals and nonalcoholic beverages","DMABRX0",310339,311920,312233,311139,311505,313358,313145,315959,318889,318489,321688,318793,322552,326747,327960,332582,329949,332504,333453,341372,346442,348131,349168,347960,351976,349336,348300,348090,351231,352742,353335,353540,356100,363290,368463,373180,376017,377200,380000,383967,385910,390163,390346,394448,401083,397838,400351,406686,404108,405854,407162,409684,403392,404565,399837,395207,388086,382879,380148,380648,386526,390715,393098,396739,401222,403794,406425,410418,415233,415874,416631,424305
"240","232","            Meals at schools","DMSLRX0",14919,14901,15045,15317,15552,15665,15942,16230,16466,16658,16807,16905,16956,17041,17181,17371,17593,17802,17994,18159,18291,18412,18529,18637,18725,18785,18821,18826,18809,18806,18841,18907,18988,19044,19088,19095,19040,19033,19064,19127,19206,19276,19336,19376,19391,19445,19543,19684,19854,20028,20212,20398,20487,20496,20469,20396,20156,19944,19866,19919,20076,20241,20400,20550,20682,20792,20882,20949,21021,21107,21198,21291
"241","233","              Elementary and secondary school lunches","DESLRX0",5654,5692,5741,5814,5881,5935,6007,6079,6169,6249,6311,6351,6370,6394,6431,6479,6532,6586,6642,6697,6747,6794,6839,6881,6914,6929,6925,6899,6857,6819,6795,6782,6775,6771,6777,6785,6783,6792,6807,6825,6840,6852,6860,6861,6851,6836,6816,6787,6750,6715,6688,6665,6577,6474,6397,6345,6180,5998,5877,5816,5805,5795,5779,5755,5724,5701,5690,5690,5681,5664,5650,5635
"242","234","              Higher education school lunches","DHSLRX0",9265,9209,9304,9503,9671,9731,9936,10151,10297,10408,10496,10554,10586,10646,10750,10892,11061,11216,11352,11462,11544,11618,11690,11756,11810,11856,11896,11927,11952,11988,12046,12125,12213,12273,12311,12310,12257,12241,12257,12302,12365,12424,12476,12515,12540,12608,12728,12897,13104,13313,13524,13732,13910,14022,14071,14051,13976,13946,13989,14102,14271,14446,14621,14795,14958,15091,15192,15259,15340,15442,15548,15656
"243","235","            Other purchased meals","DOPMRX0",295466,297069,297234,295857,295982,297721,297222,299745,302436,301837,304888,301887,305599,309713,310785,315218,312354,314699,315451,323211,328151,329718,330637,329320,333248,330549,329479,329265,332421,333933,334491,334630,337107,344242,349371,354081,356976,358166,360937,364840,366705,370887,371010,375072,381692,378394,380808,387004,384255,385826,386949,389285,382905,384068,379368,374811,367930,362934,360282,360728,366451,370476,372699,376190,380543,383006,385548,389479,394228,394782,395446,403037
"244","236","              Meals at limited service eating places","DMLSRX0",157356,156552,156478,156721,156721,156453,154206,153557,152552,153786,153313,151534,154920,158084,159401,160948,159126,159086,159329,163647,165348,167004,167251,166457,169806,167363,166648,167505,168484,169835,171211,169524,171349,175617,178086,183061,183137,184652,185159,187597,188694,191599,191327,193359,197803,195266,196080,196988,195189,197346,199862,200772,198018,199154,197619,195586,191429,191163,189375,189520,194226,195590,198526,200588,201978,202057,202037,203661,205051,205027,205695,210219
"245","237","              Meals at other eating places","DMOERX0",136353,138727,138918,137300,137471,139508,141265,144439,148193,146356,149838,148644,148907,149808,149497,152348,151275,153603,154132,157465,160576,160462,161148,160666,161224,160960,160469,159296,161470,161591,160786,162609,163232,166045,168696,168422,171244,170972,173273,174737,175533,176778,177147,179142,181273,180495,182117,187377,186441,185855,184458,185937,182407,182386,179166,176718,174034,169248,168462,168766,169722,172432,171663,173055,176039,178460,181065,183363,186683,187207,187176,190295
"246","238","              Meals at drinking places","DMDPRX0",1774,1801,1847,1850,1803,1768,1752,1742,1675,1685,1718,1691,1760,1815,1886,1917,1946,1989,1968,2080,2201,2233,2217,2174,2210,2207,2340,2452,2451,2495,2490,2480,2514,2571,2579,2606,2593,2543,2504,2504,2476,2510,2536,2572,2616,2635,2612,2633,2619,2622,2630,2576,2479,2523,2572,2491,2464,2475,2407,2406,2435,2395,2425,2459,2451,2431,2407,2423,2479,2539,2558,2494
"247","239","          Alcohol in purchased meals","DAPMRX0",43979,44070,44174,43507,42704,42152,42135,42179,41638,41150,41754,41171,42170,43602,44344,45401,45496,46286,46120,47906,49613,50234,49990,49791,50595,50523,51963,53145,54063,54345,54229,54139,54556,55399,56283,56604,57340,57240,57644,58200,58445,59245,59367,59958,60969,60178,60274,61619,61291,61037,61149,61699,60509,60523,60235,59354,58350,57396,56870,56532,57128,57841,58090,58240,58875,58997,59207,60393,61171,61242,61317,62429
"248","240","        Food furnished to employees (including military) (103)","DFOORX0",9767,9781,9811,9801,9813,9823,9820,9827,9831,9834,9825,9836,9851,9873,9909,9925,9955,9993,10017,10047,10082,10122,10156,10187,10228,10253,10294,10296,10308,10331,10384,10484,10601,10675,10697,10738,10788,10866,10967,11134,11354,11613,11919,12257,12628,12925,13156,13244,13246,13207,13171,13067,12942,12864,12867,12910,12972,12970,12894,12655,12375,12221,12191,12323,12571,12833,12993,13093,13107,13114,13127,13145
"249","241","          Food supplied to civilians","DCFDRX0",9055,9074,9111,9111,9135,9156,9164,9182,9194,9204,9203,9221,9239,9268,9304,9323,9353,9387,9403,9429,9451,9476,9499,9513,9552,9573,9598,9569,9553,9544,9564,9634,9684,9701,9735,9805,9863,9927,9963,10009,10071,10139,10186,10204,10270,10339,10384,10450,10524,10577,10619,10667,10700,10705,10692,10649,10588,10536,10525,10490,10475,10505,10530,10575,10623,10706,10749,10809,10892,10984,11071,11166
"250","242","          Food supplied to military","DMFDRX0",713,707,700,691,679,667,656,645,637,630,623,615,612,605,605,602,602,607,614,619,631,646,657,674,676,680,696,727,755,787,820,850,917,974,961,934,925,939,1005,1126,1283,1475,1733,2053,2359,2587,2772,2795,2723,2630,2552,2400,2242,2159,2175,2261,2384,2435,2369,2164,1899,1715,1661,1747,1947,2126,2243,2284,2214,2130,2055,1978
"251","243","      Accommodations (104)","DACCRX0",51067,49992,50125,51122,51610,52373,53239,54165,55952,56711,57459,57952,57956,57668,57354,57826,58854,58170,59161,60000,60711,62465,63284,63144,61841,59942,56997,55340,58131,60009,60382,60969,61341,62426,64752,64686,66598,66237,67754,68320,69577,71523,74556,74942,76033,76108,76550,76866,78177,77389,76931,79057,79854,81228,80594,78508,76841,77901,80094,79673,81520,82977,84294,85215,86724,87838,88003,89292,90415,91260,92368,94391
"252","244","        Hotels and motels","DHOTRX0",39363,38302,38392,39288,39621,40288,41102,41987,43711,44435,45151,45632,45655,45387,45075,45504,46460,45767,46683,47453,48103,49736,50444,50207,48836,46902,43968,42292,44965,46732,46992,47430,47635,48558,50714,50515,52322,51848,53226,53653,54768,56567,59455,59691,60648,60596,60922,61139,62371,61490,60915,62909,63551,64761,63925,61596,59616,60412,62391,61635,63278,64557,65732,66540,68023,69110,69205,70503,71528,72196,73135,75048
"253","245","        Housing at schools","DSCHRX0",11832,11867,11913,11988,12154,12235,12254,12256,12245,12250,12251,12242,12218,12208,12221,12251,12291,12332,12378,12421,12461,12525,12624,12753,12898,13022,13119,13185,13228,13295,13405,13555,13729,13891,14050,14189,14283,14402,14533,14672,14811,14953,15102,15251,15387,15515,15629,15726,15805,15897,16015,16154,16315,16486,16670,16860,17088,17336,17588,17842,18085,18291,18460,18590,18677,18747,18809,18859,18989,19166,19350,19537
"254","246","    Financial services and insurance","DIFSRX0",482488,488090,492800,496094,504341,509095,507012,512443,517624,518746,531807,534642,540822,553535,565051,577165,583393,598491,610993,631821,662999,664794,667109,669048,659731,659458,657150,668997,662938,658502,659968,654327,650869,656083,662865,666822,671030,671534,673751,685586,687104,695313,704020,707279,712675,714325,714481,724210,730181,739143,743574,746383,746252,738256,732234,712487,693286,683091,675023,670931,682223,689985,682224,680291,680800,678298,685786,682249,688605,688428,680023,687263
"255","247","      Financial services","DFNLRX0",243072,248522,255333,260101,270226,277775,278520,284974,287511,288480,299703,299684,303864,313864,324688,335652,341410,354573,364289,381363,404428,404124,405381,405513,398192,397675,394797,406855,404679,399729,398939,393372,388401,390450,395379,400289,407697,409721,410708,419838,417789,421843,427659,428847,434725,440380,444251,455896,461783,470371,476708,480973,483738,479362,479336,465963,454862,451712,445657,438330,442955,446476,437877,436796,440273,438751,445677,441900,448905,451749,445753,454906
"256","248","        Financial services furnished without payment (107)","DIMPRX0",176772,177918,180418,184446,188626,195074,196595,199802,200037,199288,200547,199359,201482,198888,200420,206100,205161,208667,211142,215036,218256,219261,216837,213004,211507,215138,220484,226294,223155,215543,211048,206521,202265,199588,200945,205812,211209,218170,219606,221241,219181,217742,220324,222360,218866,218898,221640,228873,231370,235259,239266,245070,248992,249318,246445,238753,234064,232156,228269,224420,227534,227420,227015,226853,227451,229327,229614,230809,237233,241851,241540,247405
"257","249","          Commercial banks","DIMCRX0",75592,74245,75164,76555,79328,81233,81312,82588,81941,79668,78529,77451,77989,74593,74695,78420,76427,77294,76813,75876,75697,73031,67136,63721,65206,70624,75243,81142,81824,78696,76510,73828,70495,68112,67576,68690,70482,74066,73740,73509,70409,68164,68874,70380,69253,68581,68010,69462,69668,71152,74076,78546,84432,88471,87722,85943,85227,85083,82414,80349,82795,82319,79538,77793,78562,79234,81025,81736,84440,86477,85556,86387
"258","250","          Other depository institutions and regulated investment companies","DIMNRX0",74443,75105,75753,77120,77906,81659,82328,83119,82346,82737,84541,84627,86859,88225,90094,92390,93546,96009,98440,102326,104725,107702,110894,111021,109317,108796,110627,111627,108729,104945,103096,101506,100726,100469,102214,105682,109007,112176,113894,115872,117161,117983,119534,119434,116191,116159,118964,124554,126852,129219,130117,131125,129554,126302,124439,118502,114481,112739,111620,110029,110783,111403,114386,116385,116187,117430,115707,116121,119776,122348,122998,128055
"259","251","          Pension funds","DPENRX0",27977,30068,31134,32553,33326,34014,34835,36132,38074,39275,39767,39492,38565,37702,37053,36599,36341,36395,36799,37544,38487,39003,38930,38243,37045,35814,34672,33607,32635,31894,31419,31197,31122,31130,31275,31517,31762,31938,31966,31836,31596,31596,31918,32557,33413,34123,34596,34819,34830,34900,35106,35436,35021,34421,34119,34102,34206,34217,34139,33963,33691,33440,33246,33104,33003,32942,32928,32954,32948,32920,32901,32883
"260","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",74846,78527,82345,83426,88782,90444,89981,93023,94959,96302,104823,105669,107616,118477,126957,132125,138141,147251,154162,166831,185875,184657,188333,192276,186507,182370,174205,180425,181337,184009,187800,186798,186139,191009,194598,194565,196528,191536,191052,198555,198556,204103,207339,206533,215772,221367,222527,226980,230362,235049,237369,235830,234677,229946,232807,227130,220689,219485,217372,213932,215391,219369,210483,209515,212582,208869,215879,210546,210851,208818,202959,206184
"261","253","          Financial service charges and fees","DFEERX0",42240,42714,43497,42925,43164,43728,44006,44174,43084,42842,43894,45518,45703,47376,49149,51476,50917,52526,55747,57513,58246,58363,60411,64182,63675,65875,64384,66508,67854,70097,72780,74648,77415,78509,80279,80088,78550,77156,77142,78107,78845,83655,85105,85946,86883,87672,89704,89238,90873,91835,92281,92752,90904,88893,89459,89250,91532,91982,93283,92255,89961,87776,82488,82312,84425,83534,84680,84923,83957,82662,81837,81838
"262","254","          Securities commissions","DEQTRX0",11902,13387,14461,15099,17419,17652,16725,18026,18824,19038,22551,21858,21789,25940,29137,29836,33275,36561,37596,44650,55814,53607,53499,54402,50917,47180,43547,47160,46213,46635,46806,41970,36449,42829,44615,43041,46721,41909,39863,43790,41304,40481,42180,41826,45053,45287,41610,43508,46140,47664,50198,48464,49022,45325,46353,41746,37125,39770,40175,38280,37307,40262,35788,36953,37242,33990,37771,33517,34446,34060,27562,28045
"263","255","            Direct commissions","DDCTRX0",5193,6038,6811,7246,7953,8232,7868,8679,8968,8753,10608,10249,10300,13266,15465,16538,19102,21508,22990,28020,34842,34507,35728,36221,33265,30739,29065,31288,31535,31757,31440,27386,23101,27662,28017,26896,29175,25112,23258,25876,23168,22503,23893,22577,24509,23563,20823,20948,21741,21727,21705,21897,22410,21023,22288,21927,19280,20611,19903,17845,17037,18033,16533,17074,17300,15774,17136,15244,15695,15076,9074,8682
"264","256","              Exchange-listed equities","DDCERX0",NA,NA,NA,NA,NA,NA,NA,NA,4633,5139,5558,5575,5875,6887,8231,8521,9723,11565,10752,13327,15517,15515,16954,17662,16833,16352,16469,17761,16891,17100,16877,14092,11305,13716,12686,11516,13384,9921,8138,11204,9024,8445,8423,8003,8437,8787,7433,6828,7422,7262,8578,7902,7827,6248,7353,7275,6118,6521,5239,4734,3643,3682,2103,2408,2424,2074,2311,1837,1886,1726,1494,1480
"265","257","              Other direct commissions","DDCORX0",NA,NA,NA,NA,NA,NA,NA,NA,4333,3790,5055,4728,4533,6408,7287,8048,9403,10057,12160,14634,19190,18885,18716,18529,16405,14342,12541,13451,14615,14600,14512,13300,11828,13999,15381,15413,15850,15194,15096,14693,14143,14055,15471,14578,16084,14762,13393,14155,14329,14477,13130,13989,14582,14774,14934,14656,13156,14084,14647,13095,13360,14305,14310,14557,14766,13592,14712,13291,13690,13230,7534,7161
"266","258","            Indirect commissions","DICTRX0",3545,3624,3547,3594,4760,4434,4088,4142,4547,4900,5529,5122,4974,5096,5572,5156,5603,5937,5645,6435,8132,7670,6970,7599,7353,6588,5506,5754,5098,5189,5454,5168,4600,5091,5500,5346,5780,6020,5846,6264,6501,6915,7141,8352,8629,9663,9411,10172,10894,11372,13366,11194,11422,10054,10189,7366,6998,7808,8300,8719,8741,9772,8016,8084,8025,7360,8800,7622,7386,8213,7676,7554
"267","259","              Over-the-counter equity securities","DICVRX0",NA,NA,NA,NA,NA,NA,NA,NA,124,127,170,170,165,217,252,271,331,396,421,571,749,745,771,936,869,934,581,545,508,597,653,584,553,674,623,611,687,598,620,655,626,587,506,606,684,730,710,710,708,747,733,819,877,791,959,713,771,933,1089,1134,1136,1191,995,786,885,993,1041,856,888,876,908,908
