"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"45","26","    Business current transfer payments (net)","W327RC1","3,129.0","3,148.0","3,160.0","3,224.0","3,259.0","3,305.0","3,289.0","3,402.0","3,602.0","3,690.0","3,749.0","3,760.0","3,836.0","3,873.0","3,997.0","4,166.0","4,736.0","4,977.0","4,596.0","4,384.0","4,301.0","4,035.0","3,954.0","3,935.0","4,369.0","4,913.0","5,204.0","5,618.0","6,192.0","6,755.0","7,275.0","7,738.0","8,506.0","8,830.0","9,232.0","9,336.0","9,547.0","9,548.0","9,514.0","9,439.0","9,525.0","9,469.0","9,444.0","9,441.0","9,698.0","9,801.0","9,935.0","11,394.0","11,841.0","11,728.0","11,473.0","10,695.0","9,785.0","8,738.0","8,267.0","8,494.0","9,686.0","10,410.0","10,856.0","11,230.0","11,426.0","11,615.0","11,823.0","12,101.0","12,953.0","17,273.0","15,751.0","18,334.0","29,261.0","25,049.0","26,452.0","28,461.0","29,615.0","30,587.0","29,806.0","29,551.0","28,409.0","27,743.0","27,123.0","26,332.0","25,177.0","23,700.0","23,629.0","23,483.0","24,598.0","25,155.0","25,561.0","26,115.0","26,192.0","25,860.0","26,494.0","27,876.0","29,916.0","30,888.0","31,439.0","32,982.0","30,353.0","29,182.0","29,472.0","31,222.0","34,432.0","36,055.0","36,092.0","34,540.0","31,400.0","29,869.0","29,946.0","31,633.0","34,927.0","37,480.0","39,293.0","40,363.0","40,694.0","40,218.0","38,937.0","36,853.0","33,789.0","30,912.0","32,371.0","43,625.0","44,037.0","47,228.0","48,510.0","48,585.0","47,767.0","46,453.0","47,218.0","50,205.0","55,481.0","59,297.0","60,848.0","60,034.0","56,943.0","55,281.0","55,449.0","57,351.0","61,983.0","65,199.0","66,867.0","66,682.0","64,391.0","64,123.0","65,388.0","68,207.0","75,290.0","79,445.0","81,218.0","81,316.0","78,368.0","76,416.0","74,948.0","73,485.0","71,869.0","69,751.0","67,824.0","66,923.0","64,999.0","63,480.0","63,128.0","73,375.0","78,614.0","84,885.0","75,206.0","77,802.0","77,532.0","78,348.0","79,848.0","79,983.0"
"46","27","    Corporate profits with IVA and CCAdj","A463RC1","79,558.0","76,658.0","73,606.0","67,742.0","59,408.0","62,847.0","61,638.0","56,983.0","68,833.0","69,741.0","70,831.0","73,896.0","78,514.0","79,450.0","83,447.0","89,821.0","93,240.0","87,884.0","86,171.0","88,408.0","79,476.0","79,242.0","76,259.0","74,881.0","77,842.0","91,828.0","111,463.0","114,660.0","126,378.0","120,359.0","119,902.0","117,204.0","123,243.0","142,186.0","154,600.0","147,397.0","134,773.0","162,214.0","162,262.0","167,911.0","158,446.0","154,927.0","148,677.0","145,052.0","142,210.0","118,665.0","129,030.0","149,070.0","160,913.0","162,279.0","182,229.0","161,899.0","147,384.0","156,825.0","155,445.0","141,262.0","159,308.0","185,985.0","205,355.0","214,125.0","244,294.0","254,708.0","248,437.0","251,937.0","249,003.0","243,842.0","263,937.0","241,779.0","227,462.0","218,878.0","213,602.0","217,901.0","230,555.0","254,625.0","277,425.0","277,021.0","294,398.0","298,219.0","301,527.0","322,972.0","292,552.0","284,801.0","285,053.0","271,755.0","276,231.0","294,338.0","271,805.0","264,539.0","275,217.0","273,003.0","270,397.0","266,541.0","281,655.0","294,744.0","284,625.0","323,292.0","312,534.0","342,573.0","346,346.0","388,616.0","400,701.0","424,491.0","441,450.0","467,223.0","448,099.0","452,027.0","487,456.0","494,744.0","519,484.0","532,550.0","539,980.0","557,667.0","569,800.0","575,741.0","608,185.0","590,956.0","538,281.0","542,915.0","561,400.0","532,392.0","554,617.0","551,949.0","520,215.0","507,129.0","498,467.0","493,213.0","464,157.0","414,169.0","389,821.0","397,816.0","373,732.0","318,840.0","389,688.0","418,649.0","428,085.0","472,316.0","454,152.0","471,356.0","496,995.0","521,984.0","621,165.0","674,576.0","712,597.0","701,833.0","748,512.0","805,504.0","761,106.0","875,427.0","901,981.0","894,939.0","987,574.0","911,058.0","882,379.0","893,891.0","783,336.0","784,155.0","703,612.0","686,189.0","802,661.0","701,624.0","665,418.0","617,358.0","647,126.0","723,222.0","840,448.0","888,583.0","888,888.0","878,827.0"
"47","28","      Taxes on corporate income","B465RC1","34,980.0","33,920.0","32,556.0","31,920.0","27,492.0","27,512.0","28,024.0","26,116.0","29,812.0","30,560.0","29,544.0","30,064.0","31,936.0","32,040.0","33,504.0","37,700.0","40,656.0","40,584.0","38,908.0","41,488.0","40,280.0","42,384.0","46,968.0","41,764.0","33,848.0","37,316.0","47,720.0","48,748.0","55,396.0","53,688.0","52,940.0","51,956.0","55,852.0","60,712.0","62,632.0","63,116.0","56,724.0","69,724.0","69,528.0","74,248.0","71,276.0","71,552.0","71,064.0","68,584.0","76,712.0","57,912.0","65,544.0","72,644.0","71,908.0","64,588.0","68,016.0","59,464.0","49,792.0","51,220.0","50,288.0","43,752.0","45,472.0","60,000.0","69,452.0","71,960.0","82,220.0","81,080.0","70,544.0","69,916.0","71,352.0","67,928.0","73,844.0","71,208.0","73,200.0","71,864.0","74,456.0","85,432.0","85,636.0","96,356.0","99,482.0","95,445.0","97,980.0","102,652.0","104,602.0","110,577.0","112,683.0","101,884.0","94,440.0","95,825.0","94,538.0","99,308.0","102,020.0","97,946.0","95,428.0","87,416.0","85,423.0","86,125.0","88,687.0","94,986.0","94,451.0","99,593.0","97,405.0","110,957.0","100,948.0","122,854.0","117,070.0","124,673.0","137,969.0","149,712.0","141,058.0","136,361.0","142,808.0","141,064.0","145,858.0","154,159.0","153,990.0","157,705.0","153,886.0","157,763.0","170,241.0","163,547.0","161,347.0","158,616.0","161,837.0","152,872.0","170,077.0","169,635.0","169,850.0","175,923.0","181,284.0","180,805.0","158,838.0","159,844.0","123,143.0","118,806.0","112,839.0","90,194.0","86,287.0","93,764.0","98,951.0","109,423.0","127,574.0","118,824.0","132,414.0","152,745.0","164,633.0","185,481.0","199,020.0","198,823.0","264,128.0","265,249.0","257,645.0","300,442.0","294,146.0","308,786.0","329,281.0","298,343.0","311,221.0","302,385.0","278,881.0","282,640.0","250,578.0","251,976.0","247,053.0","155,999.0","160,848.0","155,108.0","163,653.0","201,779.0","265,192.0","287,439.0","293,566.0","282,320.0"
"48","29","      Profits after tax with IVA and CCAdj","W328RC1","44,578.0","42,738.0","41,050.0","35,822.0","31,916.0","35,335.0","33,614.0","30,867.0","39,021.0","39,181.0","41,287.0","43,832.0","46,578.0","47,410.0","49,943.0","52,121.0","52,584.0","47,300.0","47,263.0","46,920.0","39,196.0","36,858.0","29,291.0","33,117.0","43,994.0","54,512.0","63,743.0","65,912.0","70,982.0","66,671.0","66,962.0","65,248.0","67,391.0","81,474.0","91,968.0","84,281.0","78,049.0","92,490.0","92,734.0","93,663.0","87,170.0","83,375.0","77,613.0","76,468.0","65,498.0","60,753.0","63,486.0","76,426.0","89,005.0","97,691.0","114,213.0","102,435.0","97,592.0","105,605.0","105,157.0","97,510.0","113,836.0","125,985.0","135,903.0","142,165.0","162,074.0","173,628.0","177,893.0","182,021.0","177,651.0","175,914.0","190,093.0","170,571.0","154,262.0","147,014.0","139,146.0","132,469.0","144,919.0","158,269.0","177,943.0","181,576.0","196,418.0","195,567.0","196,925.0","212,395.0","179,869.0","182,917.0","190,613.0","175,930.0","181,693.0","195,030.0","169,785.0","166,593.0","179,789.0","185,587.0","184,974.0","180,416.0","192,968.0","199,758.0","190,174.0","223,699.0","215,129.0","231,616.0","245,398.0","265,762.0","283,631.0","299,818.0","303,481.0","317,511.0","307,041.0","315,666.0","344,648.0","353,680.0","373,626.0","378,391.0","385,990.0","399,962.0","415,914.0","417,978.0","437,944.0","427,409.0","376,934.0","384,299.0","399,563.0","379,520.0","384,540.0","382,314.0","350,365.0","331,206.0","317,183.0","312,408.0","305,319.0","254,325.0","266,678.0","279,010.0","260,893.0","228,646.0","303,401.0","324,885.0","329,134.0","362,893.0","326,578.0","352,532.0","364,581.0","369,239.0","456,532.0","489,095.0","513,577.0","503,010.0","484,384.0","540,255.0","503,461.0","574,985.0","607,835.0","586,153.0","658,293.0","612,715.0","571,158.0","591,506.0","504,455.0","501,515.0","453,034.0","434,213.0","555,608.0","545,625.0","504,570.0","462,250.0","483,473.0","521,443.0","575,256.0","601,144.0","595,322.0","596,507.0"
"49","30","        Net dividends","B467RC1","19,028.0","19,160.0","18,812.0","19,104.0","18,272.0","18,484.0","18,044.0","18,380.0","18,912.0","17,584.0","19,008.0","17,076.0","19,900.0","19,788.0","19,712.0","19,288.0","19,688.0","20,580.0","21,424.0","21,308.0","20,276.0","23,048.0","22,144.0","20,660.0","24,840.0","24,220.0","24,092.0","25,132.0","24,140.0","27,876.0","28,972.0","30,112.0","29,220.0","29,856.0","31,232.0","33,336.0","33,932.0","33,088.0","37,468.0","39,216.0","38,200.0","38,176.0","35,940.0","38,240.0","38,272.0","51,604.0","43,044.0","45,684.0","49,508.0","51,788.0","54,016.0","54,696.0","58,380.0","47,376.0","52,376.0","58,104.0","63,028.0","61,128.0","63,476.0","65,356.0","67,888.0","67,492.0","67,548.0","65,896.0","68,448.0","76,244.0","70,640.0","72,684.0","71,428.0","76,380.0","70,732.0","72,888.0","75,372.0","73,224.0","74,324.0","82,084.0","70,228.0","78,036.0","94,808.0","85,588.0","106,324.0","105,708.0","108,564.0","100,852.0","120,236.0","116,300.0","117,448.0","119,212.0","120,864.0","125,840.0","125,424.0","130,028.0","127,715.0","132,076.0","133,238.0","144,035.0","145,095.0","145,108.0","148,223.0","158,300.0","151,954.0","160,984.0","155,482.0","163,484.0","167,639.0","168,578.0","185,894.0","189,988.0","187,238.0","190,657.0","202,320.0","209,984.0","207,708.0","208,492.0","216,200.0","231,385.0","236,615.0","244,307.0","238,821.0","244,390.0","226,708.0","228,256.0","208,549.0","235,155.0","240,621.0","257,824.0","267,877.0","238,985.0","241,478.0","226,189.0","257,506.0","256,504.0","252,045.0","260,242.0","240,758.0","266,126.0","239,334.0","327,740.0","294,315.0","312,224.0","333,523.0","322,977.0","328,137.0","473,311.0","314,142.0","252,219.0","106,610.0","10,459.0","399,440.0","413,008.0","487,957.0","584,111.0","478,091.0","480,996.0","502,000.0","477,144.0","443,372.0","481,632.0","493,760.0","512,236.0","546,061.0","532,519.0","469,837.0","497,332.0","515,529.0","499,132.0","538,728.0","531,687.0"
"50","31","        Undistributed profits with IVA and CCAdj","W332RC1","25,550.0","23,578.0","22,238.0","16,718.0","13,644.0","16,851.0","15,570.0","12,487.0","20,109.0","21,597.0","22,279.0","26,756.0","26,678.0","27,622.0","30,231.0","32,833.0","32,896.0","26,720.0","25,839.0","25,612.0","18,920.0","13,810.0","7,147.0","12,457.0","19,154.0","30,292.0","39,651.0","40,780.0","46,842.0","38,795.0","37,990.0","35,136.0","38,171.0","51,618.0","60,736.0","50,945.0","44,117.0","59,402.0","55,266.0","54,447.0","48,970.0","45,199.0","41,673.0","38,228.0","27,226.0","9,149.0","20,442.0","30,742.0","39,497.0","45,903.0","60,197.0","47,739.0","39,212.0","58,229.0","52,781.0","39,406.0","50,808.0","64,857.0","72,427.0","76,809.0","94,186.0","106,136.0","110,345.0","116,125.0","109,203.0","99,670.0","119,453.0","97,887.0","82,834.0","70,634.0","68,414.0","59,581.0","69,547.0","85,045.0","103,619.0","99,492.0","126,190.0","117,531.0","102,117.0","126,807.0","73,545.0","77,209.0","82,049.0","75,078.0","61,457.0","78,730.0","52,337.0","47,381.0","58,925.0","59,747.0","59,550.0","50,388.0","65,253.0","67,682.0","56,936.0","79,664.0","70,034.0","86,508.0","97,175.0","107,462.0","131,677.0","138,834.0","147,999.0","154,027.0","139,402.0","147,088.0","158,754.0","163,692.0","186,388.0","187,734.0","183,670.0","189,978.0","208,206.0","209,486.0","221,744.0","196,024.0","140,319.0","139,992.0","160,742.0","135,130.0","157,832.0","154,058.0","141,816.0","96,051.0","76,562.0","54,584.0","37,442.0","15,340.0","25,200.0","52,821.0","3,387.0","-27,858.0","51,356.0","64,643.0","88,376.0","96,767.0","87,244.0","24,792.0","70,266.0","57,015.0","123,009.0","166,118.0","185,440.0","29,699.0","170,242.0","288,036.0","396,851.0","564,526.0","208,395.0","173,145.0","170,336.0","28,604.0","93,067.0","110,510.0","2,455.0","24,371.0","9,662.0","-47,419.0","61,848.0","33,389.0","-41,491.0","-70,269.0","13,636.0","24,111.0","59,727.0","102,012.0","56,594.0","64,820.0"
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","32","    Profits before tax (without IVA and CCAdj)","A446RC1","88,960.0","86,044.0","82,748.0","81,352.0","74,124.0","73,836.0","75,688.0","71,920.0","81,104.0","83,494.0","86,789.0","88,709.0","94,123.0","94,905.0","98,006.0","107,726.0","119,576.0","120,488.0","117,066.0","123,165.0","123,776.0","129,439.0","141,631.0","126,383.0","109,678.0","119,184.0","144,852.0","149,931.0","163,602.0","163,031.0","163,757.0","162,374.0","176,332.0","190,721.0","198,240.0","200,294.0","194,144.0","227,574.0","230,173.0","241,177.0","238,492.0","241,189.0","238,395.0","232,015.0","239,555.0","194,030.0","210,329.0","228,368.0","229,695.0","210,593.0","217,590.0","198,374.0","168,140.0","170,291.0","169,152.0","156,533.0","162,244.0","196,203.0","216,170.0","221,144.0","245,305.0","242,721.0","219,409.0","220,734.0","216,644.0","211,238.0","226,466.0","223,086.0","197,162.0","201,081.0","203,831.0","223,873.0","235,878.0","272,755.0","296,088.0","295,627.0","309,535.0","329,337.0","339,139.0","353,745.0","348,233.0","327,272.0","311,179.0","306,613.0","320,282.0","338,537.0","350,812.0","332,764.0","336,826.0","344,964.0","356,134.0","357,744.0","385,858.0","408,368.0","394,361.0","416,656.0","404,663.0","439,830.0","434,625.0","489,254.0","487,360.0","502,500.0","535,906.0","558,492.0","570,816.0","584,257.0","609,566.0","600,758.0","626,392.0","643,506.0","640,029.0","645,138.0","668,182.0","681,602.0","716,977.0","710,068.0","623,124.0","617,663.0","630,692.0","609,026.0","641,246.0","657,565.0","664,080.0","673,101.0","663,768.0","648,663.0","618,355.0","576,601.0","588,446.0","592,723.0","544,710.0","446,208.0","525,550.0","588,404.0","626,971.0","688,916.0","709,473.0","689,226.0","747,277.0","804,913.0","924,161.0","1,012,403.0","1,065,718.0","1,095,221.0","1,346,878.0","1,358,387.0","1,388,448.0","1,509,154.0","1,568,321.0","1,564,489.0","1,614,117.0","1,516,590.0","1,450,543.0","1,470,979.0","1,341,218.0","1,287,170.0","1,104,723.0","1,081,075.0","998,507.0","503,404.0","780,826.0","885,994.0","1,004,976.0","1,185,808.0","1,384,438.0","1,396,918.0","1,463,351.0","1,424,387.0"
"54","33","    Profits after tax (without IVA and CCAdj)","A448RC1","47,500.0","45,616.0","43,608.0","42,472.0","39,656.0","39,184.0","39,964.0","37,736.0","43,280.0","44,926.0","48,873.0","50,357.0","53,755.0","54,245.0","56,054.0","61,342.0","69,840.0","70,280.0","68,474.0","71,809.0","74,032.0","77,283.0","84,307.0","74,467.0","65,886.0","72,396.0","87,644.0","91,135.0","96,982.0","97,851.0","98,865.0","97,914.0","107,528.0","116,337.0","121,492.0","122,466.0","121,648.0","140,958.0","142,745.0","148,285.0","148,384.0","150,257.0","147,811.0","143,575.0","142,539.0","116,806.0","127,169.0","137,008.0","138,579.0","127,945.0","131,438.0","120,934.0","102,404.0","101,847.0","100,548.0","93,321.0","98,076.0","116,967.0","127,902.0","130,224.0","141,421.0","139,833.0","128,337.0","128,454.0","117,956.0","114,266.0","124,202.0","123,386.0","90,582.0","94,745.0","96,527.0","105,393.0","117,172.0","139,961.0","158,180.0","163,271.0","180,204.0","192,707.0","192,487.0","199,838.0","189,879.0","182,244.0","170,757.0","166,145.0","180,957.0","193,662.0","200,986.0","185,095.0","195,189.0","208,184.0","218,698.0","219,233.0","237,655.0","258,617.0","250,332.0","263,887.0","246,523.0","269,740.0","272,502.0","295,470.0","312,823.0","318,884.0","334,772.0","345,214.0","353,246.0","369,472.0","387,900.0","383,427.0","404,804.0","410,123.0","406,249.0","408,013.0","429,965.0","438,661.0","461,907.0","464,613.0","374,611.0","372,174.0","378,475.0","361,781.0","385,019.0","403,486.0","404,916.0","407,435.0","389,466.0","375,544.0","363,659.0","318,349.0","363,956.0","376,084.0","349,673.0","269,192.0","346,290.0","402,448.0","433,247.0","478,511.0","477,934.0","462,252.0","500,052.0","535,584.0","646,532.0","714,206.0","745,291.0","767,099.0","941,786.0","962,745.0","985,391.0","1,063,408.0","1,107,648.0","1,089,411.0","1,117,530.0","1,055,859.0","976,393.0","1,003,050.0","910,199.0","878,406.0","747,977.0","738,107.0","685,168.0","283,005.0","558,856.0","663,229.0","749,282.0","866,750.0","981,205.0","991,309.0","1,033,962.0","996,312.0"
"55","34","    Inventory valuation adjustment","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","28,956.0","3,392.0","-21,752.0","-20,860.0","-20,684.0","5,320.0","-7,304.0","-22,464.0","-16,852.0","-38,376.0","-34,936.0","-46,856.0","-38,168.0","-18,176.0","-28,436.0","-38,016.0","-33,368.0","-48,404.0","-42,348.0","-28,012.0","-50,252.0","-34,808.0","-29,060.0","-74,820.0","-128,732.0","-139,992.0","-66,728.0","159,096.0","93,016.0","30,592.0","-8,732.0","-67,184.0","-36,432.0","-3,496.0","-36,396.0","-103,244.0"
"56","35","    Capital consumption adjustment","A059RC1","9,090.0","9,101.0","9,051.0","8,638.0","8,038.0","7,783.0","7,881.0","8,562.0","7,776.0","7,771.0","7,814.0","7,755.0","9,069.0","9,706.0","10,007.0","10,462.0","9,772.0","9,348.0","8,403.0","8,885.0","7,575.0","6,503.0","5,440.0","2,766.0","570.0","-1,052.0","-2,678.0","-3,592.0","-4,011.0","-4,371.0","-4,070.0","-3,632.0","-3,772.0","-3,121.0","-2,370.0","-2,613.0","-3,292.0","-3,836.0","-4,248.0","-4,624.0","-5,113.0","-5,943.0","-7,045.0","-8,467.0","-9,843.0","-10,514.0","-10,304.0","-9,283.0","-1,428.0","3,376.0","8,456.0","6,204.0","10,408.0","12,443.0","16,215.0","19,370.0","27,796.0","32,654.0","37,313.0","35,345.0","38,205.0","53,839.0","59,063.0","64,805.0","72,853.0","75,859.0","76,589.0","74,939.0","65,637.0","61,631.0","58,903.0","58,245.0","60,015.0","61,073.0","61,589.0","61,251.0","61,169.0","59,771.0","58,175.0","56,361.0","52,931.0","51,504.0","51,252.0","50,141.0","37,168.0","36,679.0","35,378.0","33,391.0","29,960.0","27,565.0","25,703.0","24,620.0","24,418.0","25,301.0","18,255.0","30,614.0","27,950.0","27,185.0","28,319.0","31,354.0","36,287.0","40,399.0","43,686.0","46,152.0","47,792.0","49,401.0","50,977.0","52,522.0","54,035.0","56,104.0","58,727.0","61,906.0","65,640.0","68,470.0","70,394.0","71,416.0","71,528.0","72,479.0","74,264.0","76,889.0","80,351.0","81,480.0","80,278.0","76,743.0","70,882.0","65,608.0","60,922.0","56,828.0","52,635.0","49,623.0","56,923.0","94,415.0","117,077.0","114,222.0","107,984.0","98,361.0","79,559.0","96,571.0","89,593.0","76,650.0","66,732.0","55,583.0","46,208.0","38,609.0","-134,725.0","-144,514.0","-158,270.0","-175,987.0","-190,973.0","-173,653.0","-167,715.0","-173,161.0","-172,799.0","-183,341.0","-185,052.0","-180,728.0","-29,771.0","-24,318.0","-25,221.0","-26,080.0","-84,793.0","-71,793.0","-63,021.0","-62,962.0","-169,911.0","-170,676.0","-169,275.0","-15,837.0"
"57",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","36","    Profits before tax (without IVA and CCAdj)","A464RC1","75,316.0","72,688.0","69,388.0","67,352.0","59,972.0","59,436.0","59,804.0","54,848.0","64,448.0","66,392.0","68,379.0","70,378.0","75,109.0","75,493.0","79,217.0","88,329.0","99,377.0","99,740.0","96,625.0","102,433.0","103,838.0","109,584.0","120,837.0","106,347.0","89,350.0","99,443.0","125,327.0","128,713.0","140,395.0","138,808.0","138,288.0","135,444.0","147,415.0","159,565.0","165,357.0","165,553.0","157,926.0","188,468.0","189,137.0","199,345.0","197,753.0","199,690.0","198,299.0","192,924.0","203,065.0","160,423.0","178,688.0","194,163.0","197,249.0","180,917.0","189,718.0","171,952.0","146,704.0","145,853.0","142,437.0","124,930.0","127,119.0","158,454.0","181,332.0","186,700.0","210,374.0","208,358.0","186,874.0","184,950.0","174,227.0","166,563.0","179,233.0","173,834.0","140,786.0","141,786.0","147,568.0","168,771.0","182,895.0","211,293.0","229,965.0","229,957.0","248,868.0","260,747.0","265,774.0","281,171.0","269,196.0","247,449.0","228,635.0","227,277.0","233,281.0","245,258.0","255,426.0","239,168.0","222,233.0","224,667.0","230,423.0","229,887.0","239,502.0","264,036.0","253,832.0","277,038.0","275,995.0","307,447.0","303,667.0","347,588.0","359,024.0","381,169.0","401,328.0","426,024.0","424,032.0","423,316.0","439,506.0","438,112.0","456,200.0","471,511.0","471,471.0","486,031.0","486,464.0","494,906.0","527,617.0","518,115.0","457,711.0","460,707.0","474,464.0","449,118.0","459,577.0","477,448.0","465,909.0","471,292.0","464,080.0","459,941.0","424,047.0","381,782.0","369,276.0","363,867.0","316,285.0","210,776.0","267,351.0","323,993.0","363,415.0","414,323.0","411,000.0","385,726.0","428,527.0","478,278.0","577,902.0","660,738.0","701,748.0","707,859.0","898,898.0","943,928.0","922,370.0","1,063,397.0","1,101,845.0","1,096,662.0","1,179,327.0","1,093,823.0","1,086,535.0","1,091,101.0","974,873.0","1,015,396.0","851,207.0","838,599.0","882,022.0","556,095.0","639,271.0","642,621.0","704,763.0","839,126.0","1,021,754.0","1,037,523.0","1,069,698.0","988,612.0"
