"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"82","75","    Other professional services (49)","BOPSRG3",5.669,5.796,5.35,4.65,4.65,4.841,5.096,5.225,5.288,5.543,5.416,5.607,5.796,6.052,6.626,7.071,7.198,7.516,7.961,8.28,8.346,8.408,8.601,9.046,9.49,9.939,10.382,10.828,11.212,11.658,12.06,12.37,12.67,13.058,13.37,13.665,14.131,15.006,16.018,16.954,18.09,19.478,20.745,21.39,22.168,24.187,27.21,30.262,33.075,35.624,38.052,42.343,46.317,49.405,52.414,54.765,58.578,61.745,63.695,67.328,70.877,74.582,78.33,81.43,83.933,87.183,88.987,90.532,93.951,96.095,97.512,100,103.259,105.689,107.792,110.408,112.994,115.187,118.012
"83","76","    Hospitals and nursing homes (50)","BPHORG3",3.095,2.923,2.751,2.579,2.464,2.579,2.694,2.751,2.865,2.808,2.808,2.865,2.98,3.209,3.438,3.725,4.011,4.641,5.615,6.073,6.188,6.475,6.99,7.334,7.62,7.792,8.022,8.251,8.652,9.053,9.254,9.843,10.113,10.331,10.683,11.101,11.435,11.813,12.579,13.445,14.382,15.528,16.155,16.941,17.934,19.722,21.868,23.824,25.737,27.998,30.893,34.555,38.899,43.043,46.33,49.219,51.755,53.88,56.782,60.799,65.452,70.102,74.807,78.867,82.261,84.875,87.65,90.185,91.878,94.23,96.621,100,104.227,108.078,112.787,117.633,122.376,127.261,131.832
"84","77","    Health insurance (56)","BHINRG3",6.873,6.95,5.49,4.711,5.211,6.328,6.571,7.212,7.705,7.818,7.878,7.871,7.838,8.657,9.06,8.822,9.815,10.525,10.016,9.722,8.236,7.659,6.31,7.065,8.172,8.914,8.449,7.627,8.024,8.12,8.483,8.653,9.326,9.626,9.314,9.512,10.009,10.55,10.66,12.778,13.123,13.454,15.587,17.867,17.932,17.654,17.722,18.451,22.931,26.508,24.679,24.588,28.567,34.946,41.298,49.529,49.142,42.619,36.519,43.051,53.607,61.98,62.997,65.606,70.73,75.985,82.371,88.698,93.542,95.866,97.864,100,102.3,103.478,114.162,127.093,133.439,138.023,143.828
"85","78","  Recreation","B490RG3",9.112,8.931,8.506,8.074,7.621,7.703,7.811,7.982,8.299,8.441,8.384,8.432,8.726,9.193,9.897,11.098,11.663,12.462,13.46,13.977,14.206,14.364,14.87,15.392,16.101,16.787,17.359,17.898,18.568,19.272,19.725,20.364,20.828,21.274,21.731,22.409,23.013,23.797,24.653,26.093,27.321,28.686,30.006,30.761,31.855,33.957,36.312,37.875,39.509,41.667,44.427,47.682,50.87,53.389,55.586,57.992,60.207,62.46,64.663,67.173,70.171,73.804,77.446,79.687,82.079,83.688,85.735,88.557,91.264,93.598,96.422,100,103.362,106.35,109.245,112.067,115.101,118.532,120.418
"86","79","    Admissions to specified spectator amusements (96)","B481RG3",7.09,7.018,6.726,6.388,5.887,5.838,5.919,6.029,6.214,6.369,6.279,6.414,6.706,7.041,7.596,8.782,9.214,9.506,9.941,10.009,10.212,10.186,10.364,10.5,10.937,11.554,12.118,12.393,12.859,13.321,13.681,14.437,15.05,15.619,16.165,17.176,18.211,19.198,20.326,21.99,23.44,25.177,26.44,27.192,28.21,30.056,32.326,33.581,34.904,36.961,39.671,41.717,43.442,45.816,48.699,51.634,54.191,56.237,58.858,61.559,65.893,69.887,73.756,74.562,75.343,77.91,80.653,84.653,87.006,88.852,94.163,100,104.435,108.182,112.362,116.791,122.025,126.409,131.94
"87","80","    Other (94+100+101+102+103)","B491RG3",8.866,8.593,8.123,7.707,7.469,7.71,7.82,8.019,8.417,8.49,8.504,8.403,8.596,9.095,9.758,10.474,11.033,12.337,13.847,14.854,15.042,15.398,16.163,16.995,17.827,18.435,18.899,19.581,20.312,21.099,21.568,22.097,22.458,22.826,23.226,23.746,24.16,24.84,25.567,26.887,28.006,29.217,30.527,31.27,32.368,34.509,36.857,38.474,40.161,42.32,45.063,48.551,52.013,54.546,56.602,58.9,61.049,63.331,65.464,67.942,70.744,74.323,77.93,80.371,82.989,84.461,86.412,89.071,91.827,94.228,96.716,100,103.226,106.117,108.849,111.477,114.255,117.577,119.057
"88","81","  Other","B178RG3",6.588,6.402,5.892,5.347,5.069,5.235,5.321,5.486,5.733,5.687,5.708,5.769,6.007,6.441,6.951,7.446,7.767,8.37,9.11,9.696,9.962,10.278,10.918,11.171,11.757,12.14,12.642,13.362,13.846,14.147,14.709,15.142,15.437,15.87,16.129,16.593,17.007,17.735,18.268,19.166,20.531,21.577,22.62,23.737,25.14,28.413,30.985,32.435,34.408,37.668,41.063,45.698,49.618,51.955,55.233,57.313,59.619,63.72,66.027,69.207,71.21,74.13,77.711,81.978,83.689,85.704,88.37,91.37,94.475,96.175,98.073,100,102.124,105.806,109.097,113.388,117.224,121.376,125.365
"89","82","    Personal care","B488RG3",7.419,7.364,7.193,6.786,6.481,6.511,6.466,6.419,6.747,6.876,6.862,6.858,7.087,7.761,8.465,9.152,9.401,9.946,10.783,11.321,11.549,11.737,12.565,12.871,13.241,13.386,13.698,14.258,14.853,15.204,15.586,16.119,16.381,16.618,16.963,17.216,17.618,18.292,19.128,20.043,20.953,21.916,22.671,23.138,24.592,27.165,29.686,32.44,35.34,39.039,42.953,47.658,52.175,55.653,58.364,61.033,63.737,65.924,68.353,70.981,74.506,77.975,80.778,82.471,84.656,86.804,88.251,90.299,92.866,94.317,96.741,100,104.046,106.465,109.051,112.189,116.471,120.65,124.99
"90","83","      Cleaning, storage, and repair of clothing and shoes (17)","B478RG3",8.643,8.585,8.453,8.188,7.877,7.811,7.695,7.545,7.75,7.856,7.819,7.78,7.941,8.563,8.946,9.441,9.57,10.051,10.984,11.545,11.88,12.111,12.965,13.157,13.54,13.623,13.827,14.377,14.954,15.26,15.627,16.281,16.474,16.733,17.056,17.289,17.642,18.334,19.132,19.824,20.693,21.681,22.422,22.821,23.843,26.476,28.768,30.826,32.949,36.359,40.86,46.397,51.608,55.395,58.269,61.23,64.099,66.588,69.396,72.266,75.93,79.434,82.73,84.749,87.026,89.29,90.532,92.024,94.264,95.476,97.523,100,104.115,106.929,109.38,112.78,116.65,120.909,125.155
"91","84","      Barbershops, beauty parlors, and health clubs (22)","BBBBRG3",5.716,5.74,5.646,5.153,4.897,4.967,4.966,5.013,5.437,5.623,5.624,5.625,5.811,6.467,7.545,8.461,8.881,9.607,10.146,10.544,10.664,10.753,11.389,11.926,12.256,12.486,12.98,13.566,14.222,14.669,15.092,15.541,15.889,16.11,16.513,16.77,17.222,17.9,18.792,19.937,20.861,21.801,22.564,23.068,25.092,27.682,30.31,33.992,37.912,42.064,45.351,49.056,52.784,55.906,58.428,60.777,63.267,65.112,67.144,69.512,72.896,76.321,78.564,79.866,81.954,83.971,85.681,88.429,91.413,93.292,96.224,100,103.477,105.745,108.444,110.94,114.432,117.677,121.565
"92","85","      Other (19)","BCOTRG3",7.049,6.681,5.936,5.259,4.826,5.194,5.33,5.395,5.839,5.744,5.794,5.996,6.852,7.904,9.153,10.264,10.691,11.002,12.361,13.418,12.944,13.186,14.853,15.119,15.586,15.868,16.138,16.604,16.931,17.03,17.252,17.36,17.595,17.756,17.885,18.208,18.6,19.127,19.848,20.626,21.605,22.533,23.289,23.836,24.695,27.033,29.755,31.609,33.566,36.735,41.02,46.505,51.577,55.292,58.14,61.057,63.959,66.443,69.209,72.055,75.677,79.18,82.447,84.521,86.781,89.032,90.254,91.727,93.942,94.971,96.969,100,104.679,107.1,109.611,113.37,118.661,123.803,128.638
"93","86","    Personal business","B479RG3",5.447,5.29,4.787,4.214,3.94,4.089,4.228,4.455,4.655,4.55,4.541,4.658,4.865,5.172,5.546,5.993,6.316,6.9,7.42,7.928,8.265,8.64,9.189,9.583,10.424,10.937,11.677,12.549,13.003,13.302,13.975,14.575,14.961,15.566,15.727,16.422,16.757,17.603,18.094,19.079,20.898,22.108,23.021,24.298,25.375,28.239,30.716,31.675,33.311,37.37,40.358,44.625,48.207,50.697,55.297,57.786,61.065,66.276,69.097,71.952,73.128,76.016,80.129,85.443,86.609,87.846,90.335,93.465,96.852,98.267,99.247,100,100.683,103.865,105.908,109.477,112.013,115.169,118.147
"94","87","      Brokerage charges and investment counseling (61)","BBRORG3",4.917,4.917,4.524,3.934,3.737,4.327,3.934,4.524,4.524,4.524,4.72,4.721,4.917,4.917,6.884,7.08,8.064,10.03,9.243,11.211,11.603,12.588,13.964,14.555,15.145,19.47,23.603,26.551,26.948,31.078,31.919,35.269,36.827,43.935,52.586,51.802,47.86,52.786,49.831,60.471,65.196,63.823,78.198,89.623,83.123,85.482,99.861,107.151,107.551,133.55,138.876,171.765,190.29,200.712,190.202,177.472,184.004,196.744,185.343,183.849,188.985,188.965,187.728,188.425,178.26,157.429,154.636,150.682,147.21,130.093,114.17,100,89.983,87.04,90.07,92.05,93.043,95.806,98.484
"95","88","      Bank service charges, trust services, and safe deposit box rental (62)","BBNKRG3",2.2,2.872,3.189,3.758,3.54,3.573,3.971,4.217,4.597,5.145,5.093,5.289,5.292,5.325,5.212,5.244,5.116,5.778,6.825,7.653,8.196,7.767,7.903,8.193,8.468,8.995,9.32,10.537,11.439,12.142,12.466,12.867,13.117,13.318,13.512,13.76,13.759,13.863,14.209,14.659,14.811,15.262,15.71,15.31,15.109,14.911,16.913,18.11,18.895,20.155,21.836,24.779,28.951,33.352,37.815,41.312,44.017,46.919,46.538,48.354,52.133,55.643,59.108,62.781,67.615,72.068,76.307,82.193,88.117,92.28,94.597,100,102.671,104.891,106.95,111.786,112.253,115.482,116.933
"96","89","      Services furnished without payment by financial intermediaries except life insurance carriers (63)","BIMPRG3",5.598,5.189,4.281,3.427,3.121,3.068,3.551,3.855,4.071,3.809,3.747,4,4.145,4.429,4.797,5.276,5.511,6.637,7.182,7.489,7.862,8.518,8.971,9.307,11.441,11.926,13.31,14.711,14.914,14.242,15.68,16.449,16.905,17.346,15.968,17.482,18.248,19.791,20.767,20.826,24.919,26.571,26.095,27.113,28.482,34.018,37.108,36.169,37.144,43.756,47.446,50.979,52.594,50.734,56.376,57.994,60.119,66.71,70.286,73.431,69.975,70.762,76.389,84.566,83.441,85.286,87.313,89.538,92.945,95.524,98.875,100,102.179,106.874,106.122,107.915,110.224,111.828,112.989
"97","90","      Expense of handling life insurance and pension plans (64)","BLIFRG3",5.15,4.995,4.635,4.068,3.811,4.017,4.068,4.223,4.429,4.274,4.223,4.326,4.48,4.841,5.15,5.458,5.613,6.025,6.282,6.746,7.055,7.415,7.931,8.188,8.6,8.806,9.012,9.424,9.784,10.145,10.63,11.08,11.409,11.795,12.071,12.526,12.844,13.306,13.768,14.565,15.289,16.206,16.921,17.803,18.78,20.155,21.609,23.307,25.444,27.594,29.621,32.07,34.141,36.204,38.949,41.397,45.264,49.18,52.729,55.88,58.353,61.741,64.171,67.84,70.358,72.441,75.151,79.883,84.155,88.834,93.21,100,101.988,106.726,110.393,116.288,120.415,125.137,131.171
"98","91","      Legal services (65)","BGALRG3",2.594,2.623,2.504,2.368,2.204,2.189,2.189,2.264,2.31,2.264,2.249,2.309,2.384,2.489,2.668,3.103,3.494,3.299,3.704,3.928,4.138,4.333,4.648,5.128,5.517,5.832,6.253,6.808,7.241,7.496,7.693,7.92,8.081,8.198,8.367,8.807,9.313,9.592,10.091,10.479,11.374,12.599,13.662,14.996,16.39,17.732,18.957,20.24,21.647,23.151,25.123,28.467,32.281,36.586,41.654,45.512,48.495,51.707,55.816,57.982,61.33,65.732,69.325,72.827,75.716,78.045,80.524,83.347,86.735,90.687,95.052,100,105.327,111.469,116.486,122.182,127.16,131.538,136.884
"99","92","      Funeral and burial expenses (66)","BFUNRG3",5.803,5.448,4.877,4.27,4.052,4.171,4.423,4.555,4.892,4.926,5.045,5.094,5.564,5.87,6.171,6.757,7.167,7.422,7.996,8.26,8.595,8.687,9.036,9.375,9.632,9.883,10.095,10.29,10.741,11.258,11.579,11.912,12.246,12.573,12.908,13.184,13.348,13.625,14.017,14.571,15.182,15.786,16.397,16.952,17.669,18.891,20.058,20.939,21.856,23.291,25.247,28.657,32.438,36.819,41.807,45.67,48.639,51.836,55.383,57.488,59.99,63.677,67.606,70.669,73.928,77.555,82.136,86.197,90.674,94.054,97.222,100,103.579,108.623,112.972,117.855,121.781,128.047,134.441
"100","93","      Other (67)","BPBORG3",7.765,7.505,6.843,6.484,6.046,6.071,6.13,6.246,6.322,6.123,6.105,6.067,6.346,6.907,7.262,7.603,7.803,8.743,9.893,10.679,10.613,10.937,11.909,12.032,12.223,12.429,12.587,12.994,13.408,13.672,13.943,14.089,14.172,14.323,14.535,14.766,15.068,15.392,15.843,16.437,17.305,18.311,19.208,19.961,21.103,23.855,25.981,27.522,29.33,31.29,34.27,39.062,43.499,46.973,49.828,52.239,54.105,56.482,58.989,62.239,65.256,68.324,71.607,74.333,76.822,79.896,82.874,86.268,89.241,92.656,96.048,100,105.24,108.133,111.383,115.176,118.817,123.353,127.395
"101","94","    Education and research","B482RG3",5.645,5.668,5.417,5.263,4.774,4.865,4.828,4.868,4.981,5.01,5.025,5.016,5.25,5.542,6.069,6.492,6.722,7.216,7.862,8.427,8.57,8.757,9.263,9.363,9.511,9.707,9.924,10.43,10.811,11.098,11.51,11.768,11.998,12.304,12.608,12.92,13.365,13.962,14.538,15.21,16.126,17.208,18.117,19.034,20.453,23.136,25.176,27.01,28.761,30.425,33.435,37.244,41.267,44.351,46.891,49.573,51.923,54.172,56.867,60.182,63.418,66.644,70.213,73.586,76.558,79.595,82.586,85.931,89.02,92.184,95.679,100,104.734,109.609,115.367,122.347,129.048,135.529,141.23
"102","95","      Higher education (105)","BHEDRG3",5.291,5.29,5.084,4.828,4.47,4.572,4.521,4.572,4.674,4.726,4.726,4.675,4.828,5.086,5.497,5.857,6.164,6.576,6.986,7.345,7.447,7.602,7.964,8.014,8.064,8.27,8.476,8.786,8.992,9.093,9.554,9.803,10.045,10.43,10.816,11.218,11.707,12.29,12.919,13.703,14.628,15.65,16.626,17.549,18.508,20.113,21.6,23.087,24.599,26.119,28.341,31.169,34.651,38.16,41.044,43.936,46.849,49.616,52.336,55.486,58.957,62.933,67.436,71.805,75.788,79.504,82.812,86.393,89.784,93.149,96.067,100,104.98,110.724,117.038,124.859,132.058,139.275,145.47
"103","96","      Nursery, elementary, and secondary schools (106)","BEEDRG3",5.048,4.919,4.659,4.983,4.207,4.271,4.272,4.272,4.4,4.4,4.401,4.465,4.788,5.048,5.5,6.018,6.343,6.859,7.701,8.607,8.801,9.126,9.837,10.096,10.485,10.743,11.067,11.584,12.101,12.554,12.857,13.188,13.511,13.678,13.837,13.917,14.241,14.789,15.193,15.594,16.562,17.993,18.879,19.847,22.553,27.149,30.225,32.881,34.833,36.101,40.363,45.191,49.923,52.34,54.668,57.349,59.074,60.681,63.557,67.193,70.501,73.132,75.359,77.666,79.768,82.201,84.539,87.465,90.128,93.071,95.998,100,104.273,107.761,111.116,114.977,118.289,122.74,127.414
"104","97","      Other (107)","BOEDRG3",7.922,8.143,7.764,7.24,6.71,6.802,6.758,6.822,6.951,6.959,7.048,7.041,7.382,7.828,8.773,9.274,9.142,9.859,11.011,11.812,12.033,12.137,12.852,12.893,13.04,13.121,13.234,14.362,15.142,15.844,16.226,16.389,16.385,16.611,16.833,17.209,17.654,18.335,18.942,19.588,20.376,21.138,21.785,22.556,23.769,27.692,30.246,32.167,34.41,36.998,40.925,46.604,51.44,53.727,55.153,56.969,58.154,59.518,61.876,65.278,67.84,69.792,72.394,74.312,75.605,77.557,80.456,83.671,86.489,89.422,94.618,100,104.603,108.787,115.317,123.09,131.656,138.263,143.757
"105","98","    Religious and welfare activities (108)","BRAWRG3",8.065,7.671,6.95,6.425,6.294,6.688,6.754,6.951,7.343,7.081,7.081,7.081,7.409,8.064,8.523,8.785,9.048,9.966,11.672,12.524,12.589,13.114,14.231,14.164,14.359,14.687,15.016,15.608,16.264,16.59,17.087,17.295,17.429,17.581,17.842,17.974,18.361,18.808,19.279,20.044,21.295,22.097,23.24,24.294,25.809,29.599,32.305,34.108,36.415,38.949,42.748,48.393,52.666,55.213,57.022,59.053,60.312,62.053,64.339,67.821,70.8,73.126,75.689,77.877,79.795,81.91,84.503,87.028,89.839,92.514,95.303,100,102.893,105.888,109.337,112.64,116.253,121.062,125.072
"106","99","    Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","100","      Foreign travel by U.S. residents (110)","BFTRRG3",17.675,16.354,13.639,11.266,11.547,12.105,12.656,13.15,13.528,13.807,14.812,14.806,14.534,14.409,14.624,15.489,19.268,20.205,19.733,21.09,21.648,21.446,20.964,20.677,22.14,22.953,22.767,23.363,23.437,23.613,24.268,23.783,23.967,24.629,25.237,25.746,26.78,27.766,27.566,28.778,29.422,29.858,32.665,34.69,37.953,45.939,50.523,51.521,54.636,56.952,63.414,71.372,75.648,72.579,70.082,67.445,65.412,71.986,70.496,74.848,75.604,80.057,85.229,89.323,89.781,92.446,95.087,97.533,98.729,96.498,99.242,100,101.35,105.047,111.618,118.924,126.803,132.669,140.788
"108","101","      Less: Expenditures in the United States by nonresidents (112)","BEXFRG3",8.724,8.715,8.017,7.411,6.956,7.618,8.221,8.625,8.765,8.093,7.799,8.225,8.248,8.981,8.252,8.45,9.067,10.875,12.536,13.437,13.415,13.59,14.624,15.002,15.201,15.274,15.317,15.561,16.109,16.591,16.76,16.963,17.174,17.352,17.544,17.819,18.083,18.613,19.154,19.946,21.005,22.277,23.129,23.919,25.274,27.464,29.582,31.777,33.957,36.908,40.466,45.415,49.791,53.806,56.523,59.711,62.577,64.657,67.826,70.503,72.882,76.936,81.849,83.947,85.133,85.951,87.291,89.585,91.787,92.981,95.465,100,101.108,101.425,104.461,108.829,113.572,118.839,123.582
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
