"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"66","58","      Consumption expenditures","B542RA3",31.009,31.669,32.652,31.12,31.957,33.106,33.034,33.311,33.367,35.976,37.567,36.118,38.589,39.179,39.199,38.936,38.962,38.914,39.4,38.858,41.517,38.444,42.888,43.591,43.037,43.606,43.394,43.679,43.597,42.901,42.822,43.694,43.977,44.628,44.84,46.523,45.968,46.931,46.245,47.78,47.716,47.468,47.476,47.599,49.216,53.877,50.361,49.855,50.945,53.311,52.062,51.918,51.479,49.484,50.388,52.998,54.864,55.714,60.402,47.542,48.802,54.078,54.179,54.368,55.157,56.508,56.689,55.37,55.657,56.697,58.905,60.083,58.27,56.237,53.302,57.541,53.232,51.742,51.862,55.6,56.415,57.638,57.677,58.445,60.417,61.485,62.816,61.689,61.838,61.764,61.706,62.573,64.944,65.072,65.596,66.856,65.007,64.726,64.824,65.249,66.139,64.947,65.221,66.214,65.798,65.837,66.02,62.367,63.159,63.968,63.374,64.212,65.634,66.547,67.082,66.343,66.499,66.704,63.344,67.599,67.614,66.294,66.427,66.942,68.726,71.066,69.721,68.503,71.607,73.685,73.992,74.623,76.494,78.733,79.807,81.138,81.225,82.114,82.878,83.455,83.954,84.394,83.706,85.505,85.635,84.657,85.291,86.516,89.285,87.729,88.734,86.973,86.915,87.325,88.384,89.789,91.584,93.091,93.371,96.169,98.53,100.828,100.129,100.513,104.299,107.377,106.148,105.614,104.169,102.275,97.873,102.154,104.239,104.603,105.577,106.164,105.513,104.594
"67","59","      Gross investment","B798RA3",38.045,37.809,36.803,36.209,35.676,36.148,35.617,35.712,35.19,35.468,36.118,35.855,36.92,37.34,36.682,36.741,37.865,37.363,36.707,36.196,36.117,37.907,36.677,37.947,37.635,37.543,38.124,39.398,39.381,40.67,40.884,41.093,41.245,42.282,44.09,44.265,45.337,46.878,49.163,48.443,48.088,48.315,48.856,47.235,49.029,49.196,49.986,48.911,49.302,48.702,47.604,47.848,46.009,45.22,44.287,43.637,44.858,44.427,45.129,44.474,45.462,46.164,46.034,46.934,48.229,47.756,49.363,49.246,49.733,49.235,49.402,51.043,51.624,53.6,53.624,54.155,52.1,52.314,53.02,52.868,53.66,55.01,55.535,56.519,59.251,59.72,59.561,59.229,60.754,62.735,63.413,65.94,66.72,66.31,66.517,68.377,69.535,68.696,68.256,66.749,64.742,63.904,64.987,66.726,67.408,66.14,66.507,66.187,68.281,69.036,69.103,67.732,68.595,68.701,68.87,66.723,71.5,72.445,72.102,72.103,73.794,76.015,76.177,79.711,75.763,75.279,75.55,75.053,76.017,77.004,77.404,78.272,81.24,81.971,83.171,83.86,84.233,86.456,86.394,85.493,85.486,86.803,86.444,86.78,86.478,86.294,88.371,88.79,92.043,90.562,91.317,91.576,91.239,92.102,93.102,93.45,93.646,95.263,96.578,97.863,98.111,98.493,100.775,102.622,105.48,108.542,109.216,109.506,110.089,108.742,107.658,105.655,104.872,105.005,104.983,104.292,102.369,101.809
"68","60","  State and local","B829RA3",40.881,41.227,41.335,41.264,41.659,41.885,42.832,43.055,43.235,43.553,43.705,44.259,44.382,44.308,44.66,45.273,45.478,45.552,46.034,46.601,47.192,47.777,47.712,47.737,49.135,48.776,49.385,50.03,50.582,49.707,49.378,49.228,49.69,49.984,49.934,50.014,50.02,51.507,52.102,52.599,51.716,52.193,52.369,52.96,53.213,52.52,51.718,51.47,51.872,50.891,50.748,51.143,51,51.177,51.175,51.558,51.744,51.64,52.085,52.114,52.768,53.468,54.377,54.927,55.619,56.622,57.521,57.958,59.024,59.602,60.153,60.357,60.67,60.814,61.021,61.842,62.507,63.294,63.591,64.361,64.875,65.594,66.223,67.113,68.142,68.275,68.741,69.53,69.638,69.926,70.34,70.827,71.718,71.608,71.63,71.576,71.802,72.379,72.753,73.097,73.389,74.222,75.088,75.373,75.965,76.56,76.627,77.017,76.871,77.981,78.679,79.858,80.656,80.979,81.302,81.623,82.245,83.714,85.206,85.868,86.804,87.314,88.063,89.134,89.814,89.836,90.358,91.035,92.064,93.876,93.366,95.057,95.965,96.174,96.501,96.608,96.106,95.741,96.075,95.809,95.829,96.129,95.705,95.528,95.522,95.662,95.802,96.111,95.909,96.555,96.88,97.283,97.733,98.128,98.146,98.455,98.153,98.282,98.7,98.673,99.414,100.305,100.322,99.959,98.135,97.937,97.173,95.928,94.608,93.805,93.348,93.246,93.096,93.243,93.207,92.966,92.672,92.765
"69","61","    Consumption expenditures","B991RA3",38.271,38.832,39.414,40.08,40.695,41.158,41.828,42.414,42.882,43.305,43.845,44.356,44.621,45.057,45.485,45.81,46.025,46.422,47.088,47.617,48.139,48.617,49.085,49.662,50.631,51.183,51.606,51.625,51.693,51.769,52.102,52.417,52.646,52.763,53.151,53.416,53.722,53.765,54.168,54.599,54.7,54.345,54.089,54.446,54.47,54.366,54.121,53.888,53.672,53.738,54.142,54.346,54.608,54.863,54.838,55.008,55.519,55.465,55.514,55.617,55.903,56.389,57.002,57.487,58.148,58.759,59.697,60.366,61.076,61.64,62.154,62.842,62.788,63.028,63.065,63.878,64.71,65.152,65.633,66.186,66.895,67.468,68.091,68.699,69.316,69.729,70.287,70.667,71.027,71.375,71.662,71.983,72.515,72.903,73.427,73.601,73.971,74.116,74.523,74.846,75.588,76.248,76.754,77.054,77.683,78.063,78.391,78.8,78.782,79.667,79.927,80.375,80.791,81.397,82.125,82.912,83.861,84.791,85.629,86.272,87.073,87.687,88.357,88.955,89.164,89.602,90.062,90.634,91.532,92.451,93.429,94.204,94.934,95.457,95.717,95.638,95.191,94.915,94.652,94.549,94.691,94.906,94.939,95.141,95.238,95.303,95.633,95.69,95.57,95.805,96.289,97.051,97.46,97.74,97.75,97.966,97.705,97.572,98.025,98.478,99.4,100.079,100.172,100.349,98.755,97.933,96.956,96.107,95.302,94.669,94.25,94.151,94.404,94.488,94.799,94.772,94.8,94.894
"70","62","    Gross investment","B799RA3",48.182,47.81,46.346,43.832,43.483,42.917,44.749,43.768,42.99,42.948,41.805,42.487,42.133,40.351,40.44,42,42.17,41.163,41.011,41.674,42.456,43.343,41.647,40.023,42.612,39.555,40.703,43.238,45.267,41.498,39.132,37.536,38.697,39.531,38.076,37.555,36.588,42.681,43.872,44.56,40.563,43.677,45.222,46.527,47.483,44.951,42.427,42.141,44.462,40.249,38.416,39.384,37.999,37.93,37.999,39.03,38.186,37.926,39.628,39.41,41.256,42.646,44.532,45.293,46.082,48.426,49.176,48.802,51.087,51.704,52.374,50.9,52.484,52.287,53.09,53.928,53.998,55.991,55.633,57.166,56.974,58.213,58.86,60.776,63.325,62.417,62.54,64.855,64,64.061,64.963,66.105,68.417,66.355,64.386,63.422,63.059,65.36,65.598,66.024,64.516,66.041,68.353,68.575,69.02,70.47,69.498,69.804,69.151,71.153,73.6,77.728,80.098,79.276,77.95,76.369,75.652,79.318,83.484,84.225,85.726,85.812,86.895,89.953,92.631,90.886,91.67,92.799,94.385,100.063,93.103,98.762,100.445,99.296,99.911,100.829,100.077,99.317,102.306,101.313,100.784,101.475,99,97.147,96.688,97.162,96.468,97.874,97.306,99.744,99.379,98.244,98.87,99.755,99.809,100.51,100.029,101.279,101.543,99.489,99.49,101.252,100.952,98.307,95.499,97.957,98.112,95.167,91.641,90.111,89.494,89.378,87.51,87.921,86.426,85.289,83.644,83.734
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","5. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Software development expenditures are included in software investment on line 38.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
