"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"74","55","      Consumption expenditures","A997RC1","80,092.0","81,968.0","83,644.0","84,776.0","83,256.0","80,828.0","81,552.0","81,520.0","83,532.0","82,332.0","80,956.0","82,532.0","85,728.0","86,244.0","82,216.0","83,260.0","84,080.0","84,920.0","82,788.0","85,320.0","86,312.0","88,832.0","88,324.0","91,872.0","92,740.0","93,756.0","94,352.0","96,488.0","96,284.0","98,416.0","97,628.0","100,360.0","102,020.0","104,356.0","105,772.0","107,544.0","109,916.0","112,316.0","114,012.0","115,688.0","118,772.0","122,600.0","121,348.0","129,040.0","133,884.0","138,292.0","140,912.0","150,068.0","155,292.0","160,620.0","162,472.0","173,384.0","177,352.0","181,060.0","187,044.0","192,936.0","194,956.0","199,328.0","200,356.0","203,668.0","209,384.0","213,412.0","214,232.0","217,380.0","222,776.0","225,784.0","234,196.0","239,420.0","238,712.0","247,116.0","252,100.0","245,200.0","251,516.0","257,900.0","262,068.0","265,236.0","270,460.0","272,780.0","272,540.0","280,884.0","274,504.0","285,560.0","286,252.0","287,576.0","294,148.0","294,936.0","290,396.0","302,248.0","314,584.0","313,256.0","310,316.0","304,412.0","303,368.0","304,692.0","312,936.0","309,188.0","299,416.0","298,624.0","302,676.0","302,660.0","290,888.0","293,332.0","302,396.0","291,552.0","291,984.0","294,068.0","292,760.0","285,544.0","286,336.0","294,092.0","291,676.0","294,076.0","287,180.0","297,228.0","290,956.0","294,508.0","279,244.0","290,164.0","291,456.0","292,976.0","292,364.0","294,440.0","303,560.0","314,540.0","298,068.0","314,748.0","309,368.0","311,004.0","319,668.0","322,852.0","327,192.0","330,524.0","347,064.0","352,444.0","357,088.0","375,796.0","384,844.0","416,580.0","409,908.0","424,360.0","437,228.0","443,456.0","458,072.0","448,408.0","469,016.0","472,792.0","488,124.0","473,740.0","496,428.0","497,964.0","497,584.0","509,300.0","508,248.0","519,068.0","535,632.0","541,340.0","560,472.0","570,084.0","600,240.0","600,352.0","589,880.0","609,312.0","625,028.0","628,932.0","637,760.0","650,236.0","665,612.0","659,244.0","650,324.0","668,472.0","676,740.0","653,568.0","651,256.0","646,436.0","671,420.0","632,756.0","620,320.0","618,828.0","621,092.0","605,472.0","610,468.0","610,392.0","641,468.0"
"75","56","      Gross investment","A788RC1","21,184.0","18,884.0","19,812.0","17,920.0","19,588.0","18,780.0","18,376.0","18,952.0","15,924.0","15,496.0","16,480.0","14,712.0","15,664.0","17,452.0","15,228.0","16,760.0","18,932.0","18,432.0","16,860.0","16,832.0","19,048.0","19,864.0","21,120.0","21,424.0","21,156.0","20,028.0","24,392.0","24,972.0","25,260.0","24,348.0","26,236.0","26,612.0","27,916.0","28,572.0","27,884.0","27,316.0","27,448.0","29,620.0","30,352.0","32,740.0","32,280.0","33,360.0","37,096.0","36,644.0","39,396.0","39,320.0","39,420.0","42,560.0","43,620.0","47,452.0","49,676.0","52,228.0","52,768.0","58,264.0","58,740.0","62,972.0","64,348.0","67,812.0","71,384.0","75,532.0","76,788.0","79,224.0","79,776.0","88,444.0","88,136.0","94,668.0","99,624.0","99,236.0","96,396.0","100,652.0","109,916.0","106,660.0","107,196.0","111,364.0","114,020.0","110,472.0","105,816.0","105,712.0","105,028.0","105,236.0","104,700.0","103,892.0","108,500.0","103,572.0","105,700.0","107,568.0","108,148.0","107,892.0","102,692.0","104,276.0","101,632.0","96,640.0","96,836.0","98,144.0","98,208.0","95,500.0","90,232.0","89,768.0","87,364.0","89,528.0","82,396.0","85,868.0","90,136.0","84,696.0","85,640.0","86,528.0","83,708.0","83,964.0","88,964.0","86,824.0","84,356.0","79,868.0","76,588.0","77,164.0","81,120.0","80,992.0","76,240.0","78,524.0","82,336.0","79,868.0","77,664.0","81,504.0","83,976.0","82,816.0","82,616.0","82,676.0","84,116.0","84,212.0","83,748.0","87,440.0","89,336.0","90,144.0","91,624.0","97,608.0","102,420.0","103,332.0","105,340.0","110,216.0","112,796.0","115,492.0","117,608.0","121,232.0","127,504.0","127,412.0","127,756.0","132,236.0","135,252.0","134,100.0","137,024.0","143,472.0","141,164.0","146,624.0","146,256.0","153,536.0","155,048.0","155,776.0","159,272.0","171,136.0","176,404.0","178,548.0","170,352.0","176,104.0","177,780.0","175,716.0","174,164.0","179,100.0","180,712.0","184,236.0","173,060.0","176,408.0","174,724.0","174,456.0","167,340.0","170,696.0","169,492.0","162,664.0","154,808.0","153,388.0","153,820.0","152,044.0","139,428.0","144,232.0","142,820.0"
"76","57","    Nondefense","A825RC1","28,300.0","28,868.0","29,888.0","29,248.0","30,660.0","32,092.0","32,392.0","33,000.0","33,808.0","36,344.0","38,104.0","37,416.0","39,968.0","40,888.0","41,036.0","41,640.0","42,872.0","43,136.0","43,756.0","44,332.0","46,512.0","46,040.0","50,064.0","53,100.0","53,664.0","55,192.0","56,128.0","58,220.0","58,928.0","59,192.0","59,716.0","62,032.0","63,008.0","64,804.0","66,324.0","69,664.0","70,364.0","72,836.0","74,212.0","77,324.0","78,080.0","78,936.0","80,380.0","82,396.0","86,376.0","93,416.0","91,648.0","94,164.0","97,604.0","101,320.0","100,388.0","102,860.0","102,380.0","100,144.0","101,848.0","106,948.0","110,792.0","111,684.0","119,988.0","100,916.0","104,932.0","114,296.0","115,448.0","117,164.0","121,296.0","123,364.0","124,860.0","123,744.0","124,636.0","126,748.0","130,836.0","134,536.0","130,892.0","129,924.0","126,148.0","134,140.0","127,748.0","126,952.0","128,224.0","133,896.0","138,340.0","142,368.0","143,736.0","146,520.0","152,772.0","157,004.0","159,448.0","159,816.0","165,588.0","167,972.0","168,964.0","172,620.0","178,408.0","179,348.0","181,524.0","188,268.0","187,400.0","187,172.0","188,892.0","189,800.0","191,136.0","189,832.0","191,424.0","197,104.0","199,944.0","199,112.0","200,444.0","197,744.0","201,856.0","201,600.0","200,872.0","202,320.0","208,312.0","211,296.0","213,288.0","210,972.0","215,968.0","217,936.0","210,936.0","220,736.0","224,460.0","225,108.0","227,068.0","234,208.0","237,440.0","241,904.0","242,692.0","240,888.0","249,040.0","256,076.0","258,328.0","262,596.0","275,688.0","283,008.0","286,656.0","289,688.0","299,092.0","304,616.0","307,780.0","308,208.0","317,704.0","322,060.0","321,308.0","327,524.0","334,452.0","333,132.0","339,736.0","344,944.0","361,864.0","357,284.0","361,640.0","357,608.0","363,808.0","368,164.0","373,180.0","379,032.0","390,996.0","399,248.0","403,348.0","412,324.0","422,004.0","429,212.0","430,412.0","436,008.0","457,264.0","475,232.0","475,312.0","476,584.0","474,704.0","469,976.0","454,472.0","466,900.0","472,776.0","472,880.0","473,392.0","474,448.0","466,780.0","461,856.0","459,032.0","458,664.0","458,236.0","455,864.0","457,308.0"
"77","58","      Consumption expenditures","A542RC1","17,004.0","17,500.0","18,664.0","18,044.0","19,420.0","20,532.0","20,824.0","21,236.0","22,036.0","24,332.0","25,732.0","24,992.0","27,076.0","27,740.0","28,000.0","28,424.0","29,048.0","29,300.0","29,932.0","30,264.0","32,268.0","30,676.0","34,780.0","36,800.0","37,112.0","38,336.0","38,804.0","40,112.0","40,528.0","40,120.0","40,356.0","42,324.0","42,964.0","44,008.0","44,372.0","47,352.0","47,256.0","48,652.0","48,472.0","51,548.0","52,028.0","52,248.0","52,828.0","55,092.0","57,448.0","63,728.0","60,800.0","63,312.0","65,820.0","69,192.0","68,392.0","70,028.0","70,280.0","68,128.0","70,272.0","75,560.0","78,372.0","79,452.0","87,044.0","68,236.0","71,232.0","79,844.0","80,868.0","81,768.0","84,708.0","86,996.0","87,124.0","86,000.0","86,436.0","88,824.0","92,660.0","94,924.0","90,784.0","88,140.0","84,124.0","91,320.0","86,132.0","84,788.0","85,176.0","90,584.0","94,016.0","96,592.0","97,236.0","98,916.0","102,556.0","106,072.0","108,292.0","108,612.0","112,576.0","112,940.0","113,136.0","114,544.0","119,724.0","120,848.0","122,676.0","127,412.0","125,228.0","125,464.0","127,428.0","129,304.0","132,352.0","131,520.0","131,828.0","135,456.0","136,908.0","136,852.0","137,480.0","135,040.0","137,156.0","136,348.0","135,580.0","138,408.0","143,440.0","146,092.0","147,808.0","147,572.0","148,244.0","149,192.0","142,404.0","152,052.0","154,032.0","152,288.0","153,936.0","157,120.0","163,708.0","168,240.0","168,328.0","166,764.0","174,044.0","180,016.0","181,944.0","185,324.0","195,468.0","202,136.0","204,508.0","206,804.0","215,568.0","218,556.0","221,452.0","222,548.0","231,668.0","234,300.0","233,532.0","238,828.0","245,532.0","243,976.0","248,092.0","252,492.0","265,636.0","262,312.0","265,588.0","260,948.0","267,020.0","270,020.0","273,536.0","278,536.0","289,616.0","295,584.0","297,720.0","305,220.0","314,896.0","321,884.0","320,880.0","323,996.0","341,344.0","354,856.0","353,160.0","353,408.0","350,236.0","346,680.0","332,288.0","345,936.0","351,992.0","352,220.0","353,476.0","354,884.0","349,924.0","346,360.0","344,604.0","345,588.0","346,668.0","345,108.0","346,844.0"
"78","59","      Gross investment","A798RC1","11,296.0","11,368.0","11,224.0","11,204.0","11,240.0","11,560.0","11,568.0","11,764.0","11,772.0","12,012.0","12,372.0","12,424.0","12,892.0","13,148.0","13,036.0","13,216.0","13,824.0","13,836.0","13,824.0","14,068.0","14,244.0","15,364.0","15,284.0","16,300.0","16,552.0","16,856.0","17,324.0","18,108.0","18,400.0","19,072.0","19,360.0","19,708.0","20,044.0","20,796.0","21,952.0","22,312.0","23,108.0","24,184.0","25,740.0","25,776.0","26,052.0","26,688.0","27,552.0","27,304.0","28,928.0","29,688.0","30,848.0","30,852.0","31,784.0","32,128.0","31,996.0","32,832.0","32,100.0","32,016.0","31,576.0","31,388.0","32,420.0","32,232.0","32,944.0","32,680.0","33,700.0","34,452.0","34,580.0","35,396.0","36,588.0","36,368.0","37,736.0","37,744.0","38,200.0","37,924.0","38,176.0","39,612.0","40,108.0","41,784.0","42,024.0","42,820.0","41,616.0","42,164.0","43,048.0","43,312.0","44,324.0","45,776.0","46,500.0","47,604.0","50,216.0","50,932.0","51,156.0","51,204.0","53,012.0","55,032.0","55,828.0","58,076.0","58,684.0","58,500.0","58,848.0","60,856.0","62,172.0","61,708.0","61,464.0","60,496.0","58,784.0","58,312.0","59,596.0","61,648.0","63,036.0","62,260.0","62,964.0","62,704.0","64,700.0","65,252.0","65,292.0","63,912.0","64,872.0","65,204.0","65,480.0","63,400.0","67,724.0","68,744.0","68,532.0","68,684.0","70,428.0","72,820.0","73,132.0","77,088.0","73,732.0","73,664.0","74,364.0","74,124.0","74,996.0","76,060.0","76,384.0","77,272.0","80,220.0","80,872.0","82,148.0","82,884.0","83,524.0","86,060.0","86,328.0","85,660.0","86,036.0","87,760.0","87,776.0","88,696.0","88,920.0","89,156.0","91,644.0","92,452.0","96,228.0","94,972.0","96,052.0","96,660.0","96,788.0","98,144.0","99,644.0","100,496.0","101,380.0","103,664.0","105,628.0","107,104.0","107,108.0","107,328.0","109,532.0","112,012.0","115,920.0","120,376.0","122,152.0","123,176.0","124,468.0","123,296.0","122,184.0","120,964.0","120,784.0","120,660.0","119,916.0","119,564.0","116,856.0","115,496.0","114,428.0","113,076.0","111,568.0","110,756.0","110,464.0"
"79","60","  State and local","A829RC1","105,472.0","108,507.0","110,643.0","112,399.0","115,939.0","119,039.0","123,917.0","126,891.0","130,427.0","133,794.0","136,153.0","139,314.0","142,896.0","144,381.0","147,785.0","151,833.0","155,432.0","158,412.0","162,158.0","167,197.0","174,267.0","182,518.0","188,786.0","194,370.0","204,128.0","206,787.0","212,117.0","217,627.0","222,447.0","221,215.0","221,340.0","223,283.0","229,789.0","235,322.0","239,144.0","243,602.0","247,089.0","258,540.0","265,439.0","271,653.0","273,787.0","282,362.0","292,983.0","302,084.0","311,589.0","315,913.0","319,840.0","326,588.0","339,445.0","339,605.0","342,687.0","350,283.0","354,873.0","361,485.0","366,903.0","374,366.0","378,693.0","382,166.0","389,156.0","392,195.0","403,048.0","412,247.0","423,205.0","431,696.0","442,338.0","454,685.0","465,880.0","473,713.0","484,428.0","491,327.0","500,170.0","508,433.0","518,412.0","525,859.0","533,740.0","544,154.0","553,007.0","565,393.0","572,622.0","586,375.0","599,332.0","614,260.0","626,079.0","642,484.0","661,410.0","669,077.0","682,408.0","700,473.0","704,317.0","711,053.0","721,476.0","732,852.0","748,288.0","756,482.0","762,753.0","767,540.0","774,456.0","785,295.0","791,673.0","799,289.0","809,519.0","823,414.0","840,460.0","850,805.0","862,440.0","875,923.0","880,381.0","888,464.0","895,765.0","910,032.0","923,586.0","943,575.0","960,138.0","966,521.0","974,426.0","985,948.0","995,257.0","1,017,820.0","1,043,829.0","1,060,768.0","1,081,494.0","1,102,628.0","1,125,643.0","1,152,679.0","1,177,006.0","1,189,567.0","1,208,851.0","1,232,554.0","1,259,435.0","1,292,253.0","1,290,600.0","1,315,829.0","1,333,947.0","1,347,580.0","1,361,554.0","1,374,249.0","1,388,676.0","1,385,476.0","1,400,756.0","1,409,256.0","1,430,555.0","1,456,803.0","1,474,883.0","1,497,853.0","1,510,999.0","1,531,533.0","1,558,439.0","1,588,507.0","1,596,869.0","1,631,949.0","1,654,976.0","1,677,025.0","1,717,329.0","1,741,690.0","1,760,462.0","1,789,138.0","1,813,081.0","1,842,907.0","1,875,889.0","1,858,461.0","1,853,145.0","1,871,871.0","1,879,276.0","1,881,332.0","1,866,518.0","1,876,894.0","1,873,051.0","1,864,184.0","1,855,761.0","1,868,987.0","1,870,908.0","1,865,513.0","1,874,830.0","1,873,311.0","1,876,158.0","1,886,767.0","1,894,010.0","1,908,284.0","1,920,736.0","1,926,503.0","1,930,973.0","1,952,637.0","1,967,134.0"
"80","61","    Consumption expenditures","A991RC1","76,435.0","79,045.0","81,770.0","84,502.0","87,769.0","90,533.0","93,622.0","96,519.0","100,076.0","102,971.0","105,824.0","107,973.0","111,429.0","114,010.0","116,911.0","119,178.0","122,008.0","125,085.0","128,287.0","131,865.0","136,591.0","141,640.0","147,068.0","152,643.0","158,774.0","164,451.0","168,387.0","170,846.0","173,169.0","175,631.0","178,248.0","181,672.0","186,285.0","190,449.0","195,343.0","199,943.0","204,039.0","207,348.0","211,811.0","216,225.0","222,300.0","225,415.0","232,274.0","237,804.0","244,134.0","250,182.0","255,751.0","261,068.0","268,422.0","273,817.0","278,632.0","283,484.0","289,547.0","295,209.0","299,726.0","305,173.0","310,912.0","314,917.0","318,822.0","322,252.0","329,728.0","336,168.0","343,492.0","350,454.0","359,208.0","367,043.0","376,503.0","384,473.0","390,439.0","395,236.0","401,943.0","411,941.0","418,286.0","425,302.0","430,773.0","439,030.0","446,906.0","454,760.0","461,982.0","472,102.0","484,917.0","496,411.0","506,070.0","517,903.0","530,697.0","539,139.0","551,002.0","563,879.0","569,276.0","575,224.0","583,374.0","592,646.0","603,497.0","615,395.0","625,533.0","631,744.0","638,421.0","643,442.0","649,060.0","654,980.0","667,411.0","677,249.0","687,838.0","696,449.0","705,595.0","714,630.0","720,367.0","726,700.0","734,694.0","744,197.0","751,542.0","761,889.0","771,236.0","778,864.0","789,741.0","803,881.0","814,644.0","828,200.0","842,934.0","856,942.0","873,285.0","892,704.0","912,194.0","929,823.0","945,646.0","959,951.0","975,716.0","995,153.0","1,016,500.0","1,034,044.0","1,049,614.0","1,058,802.0","1,071,404.0","1,086,613.0","1,098,154.0","1,107,979.0","1,122,191.0","1,120,709.0","1,127,640.0","1,138,014.0","1,158,934.0","1,178,240.0","1,195,749.0","1,217,353.0","1,229,501.0","1,243,340.0","1,265,956.0","1,287,631.0","1,295,870.0","1,316,666.0","1,336,433.0","1,354,656.0","1,384,800.0","1,402,663.0","1,417,923.0","1,440,098.0","1,462,370.0","1,484,952.0","1,512,165.0","1,495,484.0","1,487,857.0","1,503,403.0","1,515,191.0","1,526,988.0","1,521,197.0","1,521,049.0","1,515,406.0","1,515,566.0","1,515,612.0","1,529,592.0","1,530,360.0","1,523,637.0","1,539,688.0","1,536,960.0","1,545,439.0","1,562,397.0","1,573,311.0","1,579,749.0","1,590,240.0","1,594,877.0","1,607,378.0","1,616,576.0","1,626,660.0"
"81","62","    Gross investment","A799RC1","29,037.0","29,462.0","28,874.0","27,898.0","28,169.0","28,506.0","30,295.0","30,372.0","30,350.0","30,823.0","30,329.0","31,341.0","31,468.0","30,371.0","30,874.0","32,655.0","33,424.0","33,327.0","33,871.0","35,332.0","37,676.0","40,878.0","41,719.0","41,728.0","45,354.0","42,336.0","43,730.0","46,781.0","49,278.0","45,584.0","43,091.0","41,612.0","43,505.0","44,874.0","43,801.0","43,659.0","43,050.0","51,192.0","53,628.0","55,428.0","51,487.0","56,946.0","60,710.0","64,280.0","67,456.0","65,731.0","64,088.0","65,520.0","71,023.0","65,789.0","64,055.0","66,799.0","65,326.0","66,276.0","67,177.0","69,193.0","67,781.0","67,249.0","70,334.0","69,943.0","73,320.0","76,079.0","79,713.0","81,242.0","83,130.0","87,641.0","89,376.0","89,240.0","93,989.0","96,092.0","98,227.0","96,492.0","100,126.0","100,557.0","102,967.0","105,124.0","106,101.0","110,633.0","110,641.0","114,273.0","114,415.0","117,849.0","120,009.0","124,582.0","130,713.0","129,938.0","131,407.0","136,594.0","135,041.0","135,829.0","138,102.0","140,206.0","144,791.0","141,088.0","137,220.0","135,795.0","136,036.0","141,853.0","142,613.0","144,309.0","142,108.0","146,165.0","152,622.0","154,355.0","156,845.0","161,293.0","160,014.0","161,764.0","161,071.0","165,835.0","172,045.0","181,686.0","188,902.0","187,657.0","184,685.0","182,067.0","180,613.0","189,620.0","200,895.0","203,827.0","208,209.0","209,924.0","213,449.0","222,856.0","231,360.0","229,616.0","233,135.0","237,402.0","242,936.0","258,209.0","240,986.0","257,027.0","262,543.0","260,967.0","263,400.0","266,271.0","266,485.0","264,767.0","273,116.0","271,242.0","271,622.0","278,563.0","279,133.0","280,500.0","281,498.0","288,193.0","292,483.0","300,876.0","300,999.0","315,283.0","318,543.0","322,369.0","332,530.0","339,028.0","342,539.0","349,040.0","350,711.0","357,955.0","363,724.0","362,977.0","365,289.0","368,468.0","364,085.0","354,344.0","345,321.0","355,845.0","357,645.0","348,618.0","340,149.0","339,395.0","340,547.0","341,876.0","335,142.0","336,351.0","330,719.0","324,370.0","320,699.0","328,536.0","330,496.0","331,626.0","323,595.0","336,061.0","340,474.0"
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
