"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"155","142","    Imputations (198+208-164-167)","A2121C1",2,1.3,0.9,0.4,0.2,0.3,0.7,1,1.2,1.3,1.9,2.5,3.8,4,4.1,4.1,4.7,9.8,12.6,16.1,15.7,22,21.7,22.5,23.3,25.2,28.8,27.9,27.7,27.7,33.1,32.3,32.4,34.2,37,39.4,41.4,41.5,42.9,52.9,57.9
"156","143","    Excluding imputations (141-142)","A2122C1",1.9,2,1.9,-0.5,-0.6,0.6,2.3,3.8,3.7,0.6,2,2.8,9.5,27.9,34.6,38.2,30.5,9.8,-1.6,1.2,-2.1,-1.9,4.3,5.4,6,3,-0.6,6.8,9.3,11.2,4.1,5.5,11.9,12.1,9.7,15.4,16.9,19.9,29.3,19.2,17.1
"157","144","  Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.9,0.8,1.4,3,3.7,5.1,6.4,7.4,5.2,3.6,6.6,11.9,11.6,9.3,10.1,11.7,11.1,12.6,17.6,16.4,16,13.3,19.2,18.5,19.2,24.9,27.9,31.4,38,41.6,39.5,38.6,34.2
"158","145","    Imputations (187-189+194-195-196+197-198)","Y677RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.6,-0.6,-0.5,-0.6,-0.8,-1,-1.2,-1.4,-1.5,-1.4,-1.4,-1.7,-2,-2.4,-2.6,-2.9,-3.2,-3.5,-3.6,-3.9,-4.4,-4.5,-5,-5.9,-11,-12.5
"159","146","    Excluding imputations (144-145)","Y509RC1",3.8,1.3,-1.5,-3,-2.6,-0.7,0.3,0.4,1.1,1,1.6,3.3,3.9,5.5,6.9,8,5.8,4.1,7.2,12.8,12.6,10.5,11.4,13.2,12.5,14,19.3,18.4,18.3,15.9,22.1,21.7,22.6,28.5,31.8,35.7,42.6,46.5,45.3,49.5,46.7
"160","147","  Net government saving","A922RC1",2.1,1.1,-1.6,-1.1,-0.9,-1.5,-1.3,-1.5,1.6,-0.1,-0.8,0.6,2.2,-10.3,-16,-28.3,-31,-7.4,2.5,1,-8,2.2,6,-0.3,-1.9,-6,1.6,4.4,0,-10.9,-1.7,2.8,-2.5,-1.9,1.6,-2.6,-1.4,-1.8,-14.8,-9.5,-1
"161","148","    Imputations (213-190-191-194-212)","A2010C1",1.6,1.9,1.7,1,0.7,1.2,1.3,2.5,2,2.3,2.5,2,7.1,22.2,29.7,25,10.7,-10.8,-9.3,-5.8,-2.4,-2.4,3.3,6.4,7,4.5,2.4,3.4,4.2,5.1,7,5.5,7.4,8.3,7.9,7.9,6.8,9.4,10.7,7.7,3
"162","149","    Excluding imputations (147-148)","A2011C1",0.5,-0.8,-3.3,-2.1,-1.7,-2.7,-2.6,-4,-0.4,-2.4,-3.3,-1.4,-4.9,-32.5,-45.7,-53.3,-41.6,3.4,11.8,6.7,-5.6,4.5,2.7,-6.7,-8.8,-10.5,-0.7,1,-4.1,-16,-8.7,-2.8,-9.9,-10.2,-6.3,-10.4,-8.2,-11.2,-25.4,-17.2,-4
"163","150","Consumption of fixed capital","A262RC1",10.4,10.2,9.5,8.3,8,8.4,8.5,8.8,9.7,10,10.1,10.6,12.1,14.9,18,21.4,23.2,25.8,29.2,31.4,32.3,33.4,37.8,40.6,43.5,46,48.9,54.1,58.9,62.4,65.4,67.9,70.6,74.1,78,82.4,88,95.3,103.5,113.3,124.9
"164","151","  Imputations (164+167+212)","A2092C1",2.1,2.1,1.9,1.6,1.7,1.9,2,2.1,2.3,2.4,2.5,2.6,3.2,4.9,7.8,10.8,12.3,13.4,13.9,13.4,12.8,12.4,13.8,15.2,16.6,17.7,19,20.9,22.6,23.7,25.2,26.6,27.9,29.7,31.6,33.3,35.3,37.7,40.5,44,48
"165","152","  Excluding imputations (150-151)","A2093C1",8.3,8.1,7.6,6.7,6.3,6.5,6.5,6.7,7.4,7.6,7.6,8,8.8,10,10.2,10.6,10.9,12.4,15.3,18,19.6,21,23.9,25.4,26.9,28.3,29.9,33.2,36.3,38.7,40.3,41.3,42.7,44.4,46.4,49.1,52.7,57.6,63,69.3,76.8
"166",NA,"          Specific imputations and associated reclassifications"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","153","  Imputed rental of owner-occupied housing","A2013C1",6.6,6.2,5.7,4.9,4.3,4.1,4.2,4.3,4.5,4.7,4.7,4.9,5.3,5.8,6.3,6.8,7.3,8.3,9.5,10.9,12,13.5,15.3,17.2,19.2,21,22.7,24.5,26.4,28.4,30.6,32.9,35,37.4,39.6,41.9,44.6,47.3,50.4,54,59
"169",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","154","  Intermediate inputs","A2014C1",0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.8,0.8,1.5,2.1,2.5,2.7,2.9,3.2,3.2,3.3,3.3,3.4,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.9,4.1,4.1,4.3,5.1,5.8
"171","155","    Imputed services (178+184)","Y680RC1",0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9
"172","156","    Intermediate inputs excluding imputations (154-155)","Y681RC1",0.7,0.6,0.6,0.5,0.4,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,1.4,2,2.3,2.5,2.7,2.9,3,3.1,3,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.2,3.3,3.5,3.4,3.6,4.3,4.9
"173","157","  Taxes on production and imports","A2016C1",1.1,1.1,1.1,1,0.9,0.9,0.9,0.9,0.9,1,0.9,1,1,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.8,2,2.2,2.5,2.7,3.1,3.6,4,4.5,4.8,5.3,5.9,6.4,7,7.7,8.3,9,10.1,11.4,12.7
"174","158","  Subsidies","B1154C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","159","  Net interest (225-178-184)","A2015C1",0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.9,2.2,2.5,2.9,3.3,3.9,4.6,5.2,5.9,6.6,7.2,8.1,8.8,9.8,10.7,11.5,12.2,13.1,14.5
"176","160","    Imputations (-178-184)","Y682RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.7,-0.8,-0.9
"177","161","    Monetary interest (225)","W498RC1",1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.4,1.6,1.8,2.1,2.5,2.8,3.2,3.6,4.3,5,5.7,6.3,7.1,7.7,8.6,9.4,10.3,11.3,12.2,12.9,13.9,15.4
"178","162","  Current transfer payments","W536RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0
"179","163","  Rental income of persons with capital consumption adjustment (153-154-157+158-159-162-164)","B1156C1",2.8,2.4,2.1,1.7,1.3,1.1,1.1,1.2,1.3,1.5,1.5,1.6,1.7,2.1,2.4,2.7,2.9,2.9,2.8,3,3.4,4,4.6,5.6,6.7,7.6,8,8.2,8.6,9.2,10.1,11,11.7,12.5,12.9,13.1,13.4,13.9,14.4,14.1,14.4
"180","164","  Consumption of fixed capital","B2607C1",1,1,0.9,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.6,1.8,2.3,2.7,2.9,3.2,3.6,4,4.2,4.5,4.9,5.3,5.6,5.9,6.2,6.5,6.7,6.9,7.2,7.6,8.2,8.8,9.5,10.4,11.6
"181","165","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \1\","A2050C1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2,2.2,2.4,2.7,3.1,3.4,3.8
"182","166","  Monetary interest (226)","W319RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6
"183","167","  Consumption of fixed capital","B1157C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2,2.2,2.4,2.6,2.9,3.2
"184","168","Financial services furnished without payment (169+174)","W537RC1",2.1,1.8,1.5,1.3,1,1,1.1,1.3,1.4,1.3,1.4,1.4,1.5,1.6,1.7,1.9,2.2,2.9,3.1,3.4,3.6,3.9,4.3,4.8,5.5,5.8,6.5,7.3,7.7,7.7,8.6,9.5,9.8,10.3,10.4,11.6,12.4,13.9,15.3,17.2,21.6
"185","169","  Depositor services","Y521RC1",2,1.7,1.5,1.2,1,1,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.5,1.6,1.8,2,2.3,2.3,2.4,2.4,2.6,2.7,3,3.6,3.8,4.4,4.8,5,5,5.6,6.2,6.4,6.6,6.5,7.5,7.7,8.3,9.4,10.2,13.8
"186","170","    Persons","B1611C1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,1,1.1,1.1,1.1,1.2,1.2,1.3,1.8,1.9,2.3,2.6,2.6,2.5,2.8,3.1,3.2,3.4,3.2,3.8,4,4.4,4.9,5.2,7.2
"187","171","    Government","W538RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.3,0.4,0.5,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,1,1.1,1.4
"188","172","    Private enterprises","W539RC1",0.9,0.8,0.7,0.6,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1.2,1.3,1.3,1.5,1.7,1.8,1.7,2,2.3,2.3,2.3,2.4,2.6,2.6,2.9,3.3,3.6,4.8
"189","173","    Rest of the world \2\","W540RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"190","174","  Borrower services","W541RC1",0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.6,0.8,1,1.1,1.3,1.6,1.7,1.9,2,2.1,2.5,2.7,2.8,3.1,3.4,3.4,3.7,3.9,4.2,4.8,5.6,5.9,7,7.8
"191","175","    Persons","W542RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.2,1.4,1.4,1.7,1.7
"192","176","    Government","W543RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5
"193","177","    Private enterprises","W544RC1",0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.8,0.9,1,1.3,1.4,1.5,1.5,1.6,1.9,2,2.1,2.3,2.5,2.5,2.7,2.9,3,3.4,4.1,4.3,5.1,5.4
"194","178","      Of which: Owner-occupied housing","W546RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8
"195","179","    Rest of the world \3\","W548RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
"196","180","Premium supplements for property and casualty insurance (181+182+183+185-186)","Y524RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9
"197","181","  Persons and nonprofit institutions serving households","W549RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5
"198","182","  Government","W550RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","183","  Private enterprises","W551RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4
"200","184","    Of which: Owner-occupied housing","W553RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
"201","185","  To the rest of the world (exports)","W554RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","186","  From the rest of the world (imports)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",NA,"Defined benefit and defined contribution pension plans:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","187","  Output","Y204RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.5,0.6
"205","188","  Imputed employer contributions","Y604RC1",0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,1.4,2.8,3.2,3.1,3.1,3,2.4,2.5,2.6,3.1,4.4,5.1,5.2,5.2,5.1,5.1,5.4,5.5,5.3,5.4,5.8,5.7,5.9,6.1,6.8,7.6,7.8,7.8,8.4
"206","189","    Corporate business","Y240RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,-1.2
"207","190","    General government","Y670RC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,1.3,2.7,3,3,3,2.8,2.2,2.2,2.4,2.9,4.2,4.8,4.9,4.8,4.8,4.7,5,5.1,4.9,5,5.3,5.2,5.4,5.6,6.2,6.9,7.1,8.1,8.6
"208","191","    Government enterprises","Y671RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9
"209","192","  Imputed interest on plans' claims on employers","Y609RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,1,1.1,1.3,1.5,1.7,1.9,2.1,2.4,2.6,3,3.4,3.7,4.2,5,5.5,6,6.5,7,7.5,8.1,8.7,9.4,10.1,10.8,12.1,14.6
"210","193","    Corporate business","Y245RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.7
"211","194","    Government","Y672RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,1,1.1,1.3,1.5,1.7,1.9,2.1,2.4,2.6,3,3.4,3.7,4.2,5,5.5,6,6.5,7,7.5,8.1,8.7,9.4,10.1,10.8,11.8,13.8
"212","195","  Imputed interest payments to persons","Y233RC1",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.3,2.5,2.8,3.2,3.7,4.1,4.5,5.2,6,6.7,7.5,8.2,9,9.8,10.6,11.5,12.5,13.8,15.1,16.5,19.1
"213","196","  Imputed dividend payments to persons","Y234RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2
"214","197","  Imputed household contributions and contribution supplements (-187+188+195+196)","Y673RC1",0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.9,1,1.2,2.1,3.6,4.2,4.4,4.5,4.5,4.2,4.5,4.8,5.6,7.3,8.3,8.9,9.3,9.7,10.2,11.4,12.2,12.8,13.6,14.8,15.5,16.5,17.6,19.2,21.3,22.8,25.5,28.9
"215","198","  Net change in benefit entitlements for defined benefit pension plans","Y632RC1",0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1,1.3,2.2,3.8,4.5,4.7,4.9,4.8,4.5,5,5.5,6.4,8.2,9.3,9.7,10,10.5,11.3,12.7,13.6,14.2,15.1,16.2,16.9,17.9,19.2,20.7,22.6,24.4,31.7,35.9
"216","199","Farm products consumed on farms","A2051C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.7,1.4,1.2,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"217","200","  Output","B1008C1",1.7,1.6,1.3,1,1,1.1,1.3,1.4,1.4,1.2,1.2,1.2,1.4,1.8,2.3,2.2,2.4,2.7,2.8,2.7,2.2,2.1,2.3,2.2,2,1.8,1.7,1.6,1.5,1.5,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7
"218","201","  Less: Intermediate inputs","B1161C1",0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
"219","202","Employment-related imputations","A2099C1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,1.1,1.9,2.7,3.1,3.1,2.1,2.5,2.5,2.5,3.3,3.6,3.8,3.8,4,4.4,4.9,5.3,5.9,6.3,6.8,7.3,7.8,8.6,9.6,10.6,11.6,13.5,15.2
"220","203","  Food furnished to employees, including military and domestic service \4\","DFOORC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.9,1.7,2.4,2.8,1.3,1,1,1,1.1,1.6,1.8,1.7,1.5,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.8,1.9,2,2.1
"221","204","  Standard clothing issued to military personnel \4\","DMICRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"222","205","  Employees' lodging \4\","A2641C1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
"223","206","  Employer contributions for health and life insurance \5\","B4922C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,1.1,1.4,1.5,1.8,2,2.3,2.8,3.3,3.7,4,4.5,4.9,5.4,5.9,6.7,7.6,8.3,8.9,10.7,12.3
"224","207","  Contributions for government social insurance for federal government employees for certain programs \6\","A1676C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5,0.8,0.4,0.4,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.4,0.4
"225","208","Private investment-related imputations and reclassifications","A2087C1",2.7,1.9,1.4,0.7,0.5,0.7,1,1.3,1.5,1.6,2.1,2.4,3,1.7,1.2,1.2,1.7,7.2,10.9,14.4,13.7,19.3,17.9,18,18.7,20.6,24.1,23,21.8,21.3,26.5,25.2,24.5,25.9,28.1,29.8,31,30,30.6,34.4,36.8
"226",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","209","  Owner-occupied residential structures \7\","B1166C1",2,1.3,1,0.5,0.4,0.6,0.8,1,1.2,1.3,1.8,2.1,2.7,1.5,1,1.1,1.4,6.6,10.2,13.1,12.1,17.3,15.8,15.9,16.5,18,21.4,20.1,18.6,17.8,22.7,21.2,20.1,21,23.1,24.3,24.8,23.5,24,27.6,29
"228","210","  Nonresidential fixed investment by nonprofit institutions serving households \8\","B1167C1",0.6,0.6,0.4,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.2,0.2,0.2,0.4,0.6,0.8,1.1,1.4,1.7,1.9,1.8,2,2.3,2.5,2.8,3.1,3.3,3.5,3.8,4.1,4.6,4.6,5.1,5.9,6.2,6.2,6.4,7.4
"229",NA,"    Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","211","  Margins on owner-built housing","B1173C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4
"231",NA,"Government investment-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","212","  General government consumption of fixed capital \9\","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.8,3.4,6.2,9,10.4,11.2,11.1,10.1,9.3,8.6,9.4,10.4,11.4,12.3,13.1,14.5,15.7,16.5,17.6,18.6,19.7,21.1,22.5,23.7,24.9,26.5,28.4,30.8,33.2
"233",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","213","  Gross government investment \10\","A782RC1",2.9,3.3,3.1,2.3,2,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29,39.9,38.1,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5
"235",NA,"Net interest-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","214","  Net interest, domestic (215-220+224)","A2104C1",2.2,2.1,2,1.8,1.7,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.9,2.1,2.3,2.5,2.7,3,3.2,3.5,3.8,4.2,4.8,5.4,6.3,7.1,8,9.2,10.2,11.1,12.4,13.9,15.1,16.5,17.5,19.7,21.4,23.5,25.7,28.1,33
