"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41"
"126","108","  Elementary and secondary","W674RC1","36,865.0","41,083.0","45,454.0","49,442.0","54,320.0","60,504.0","69,208.0","75,132.0","80,405.0","86,565.0","95,442.0","104,112.0","111,188.0","118,743.0","126,227.0","137,630.0","149,601.0","163,109.0","175,263.0","188,440.0","204,235.0","221,968.0","235,664.0","246,607.0","255,663.0","269,123.0","289,409.0","305,882.0","325,118.0","342,144.0","367,419.0","394,460.0","417,931.0","437,685.0","466,973.0","486,921.0","512,695.0","547,474.0"
"127","109","  Higher","W675RC1","8,902.0","10,328.0","11,394.0","12,619.0","14,493.0","16,250.0","17,904.0","19,794.0","21,115.0","22,652.0","24,924.0","27,821.0","31,033.0","33,335.0","34,536.0","37,029.0","40,917.0","43,877.0","45,510.0","49,092.0","52,963.0","56,647.0","58,971.0","59,926.0","64,108.0","68,454.0","71,541.0","73,274.0","76,777.0","80,652.0","85,591.0","92,977.0","102,013.0","100,917.0","102,741.0","108,810.0","114,422.0","121,289.0"
"128","110","  Libraries and other","W677RC1","2,112.0","2,507.0","2,823.0","3,119.0","3,347.0","3,898.0","4,593.0","4,875.0","5,048.0","5,398.0","5,779.0","6,275.0","6,612.0","6,885.0","7,049.0","7,618.0","8,272.0","8,820.0","9,493.0","10,310.0","11,239.0","11,956.0","12,209.0","12,527.0","13,090.0","13,875.0","14,800.0","15,619.0","16,267.0","17,048.0","18,216.0","19,918.0","21,422.0","22,236.0","23,162.0","23,859.0","25,212.0","26,491.0"
"129","111","    Libraries","W676RC1","671.0","741.0","798.0","862.0","954.0","1,066.0","1,222.0","1,295.0","1,355.0","1,524.0","1,677.0","1,858.0","2,024.0","2,225.0","2,369.0","2,613.0","2,903.0","3,195.0","3,418.0","3,733.0","3,994.0","4,360.0","4,671.0","4,789.0","4,877.0","5,169.0","5,508.0","5,947.0","6,322.0","6,533.0","6,891.0","7,327.0","7,917.0","8,455.0","8,889.0","9,380.0","10,140.0","10,582.0"
"130","112","    Other","W683RC1","1,441.0","1,766.0","2,025.0","2,257.0","2,393.0","2,832.0","3,371.0","3,579.0","3,693.0","3,873.0","4,101.0","4,417.0","4,588.0","4,661.0","4,680.0","5,005.0","5,369.0","5,625.0","6,075.0","6,577.0","7,245.0","7,596.0","7,538.0","7,738.0","8,213.0","8,706.0","9,292.0","9,672.0","9,945.0","10,515.0","11,325.0","12,591.0","13,505.0","13,781.0","14,273.0","14,479.0","15,072.0","15,908.0"
"131","113","Income security","W678RC1","2,494.0","3,027.0","3,612.0","4,283.0","5,083.0","5,889.0","6,705.0","7,590.0","8,489.0","9,305.0","10,232.0","11,166.0","12,282.0","13,061.0","14,972.0","16,188.0","17,654.0","18,873.0","20,036.0","21,774.0","24,086.0","27,044.0","29,565.0","32,002.0","34,109.0","37,387.0","39,360.0","40,537.0","43,319.0","46,813.0","50,782.0","54,938.0","60,588.0","65,912.0","66,644.0","66,090.0","67,451.0","69,490.0"
"132","114","  Disability","W679RC1","97.0","106.0","115.0","125.0","140.0","155.0","169.0","185.0","219.0","237.0","268.0","313.0","366.0","416.0","451.0","474.0","506.0","570.0","663.0","760.0","928.0","1,147.0","1,362.0","1,553.0","1,745.0","2,032.0","2,312.0","2,386.0","2,612.0","2,821.0","2,783.0","2,722.0","2,986.0","4,107.0","4,800.0","4,693.0","4,791.0","5,036.0"
"133","115","  Welfare and social services","W680RC1","2,397.0","2,922.0","3,497.0","4,159.0","4,943.0","5,735.0","6,536.0","7,405.0","8,270.0","9,067.0","9,964.0","10,853.0","11,916.0","12,645.0","14,521.0","15,714.0","17,148.0","18,303.0","19,373.0","21,014.0","23,158.0","25,897.0","28,203.0","30,449.0","32,364.0","35,355.0","37,048.0","38,151.0","40,707.0","43,992.0","47,999.0","52,216.0","57,602.0","61,805.0","61,844.0","61,397.0","62,660.0","64,454.0"
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","1. Consists of consumption expenditures to administer social insurance funds, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","old age and survivors insurance (social security) and railroad retirement. Excludes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","2. Consists of consumption expenditures to administer federal revenue sharing grants to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","state and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","3. Consists primarily of unallocable state and local government consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
