"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"64","45","    Services","A646RC1","12,334.0","13,967.0","13,856.0","14,487.0","13,889.0","15,561.0","15,510.0","15,694.0","17,206.0","17,379.0","16,945.0","18,094.0","18,943.0","18,284.0","19,629.0","19,341.0","19,599.0","20,987.0","21,960.0","22,836.0","23,657.0","26,056.0","25,390.0","27,573.0","29,333.0","30,883.0","26,950.0","29,143.0","30,072.0","30,353.0","32,791.0","33,764.0","34,026.0","35,730.0","36,193.0","36,837.0","39,572.0","40,113.0","42,031.0","44,221.0","44,678.0","45,183.0","46,240.0","48,252.0","50,685.0","53,197.0","57,776.0","58,310.0","63,269.0","66,447.0","68,155.0","66,670.0","68,344.0","68,770.0","68,030.0","67,664.0","69,986.0","69,715.0","70,777.0","68,303.0","74,698.0","77,562.0","77,371.0","77,363.0","79,740.0","79,627.0","78,166.0","81,578.0","91,453.0","91,156.0","95,653.0","99,066.0","102,342.0","106,339.0","107,412.0","108,776.0","113,766.0","117,500.0","121,014.0","120,116.0","129,204.0","131,071.0","135,787.0","139,092.0","146,899.0","151,810.0","157,537.0","165,699.0","160,245.0","171,055.0","176,240.0","184,546.0","186,391.0","186,330.0","188,664.0","186,651.0","192,797.0","195,818.0","197,019.0","196,974.0","203,574.0","209,857.0","213,038.0","216,075.0","218,471.0","222,122.0","234,878.0","238,937.0","239,456.0","247,047.0","244,266.0","266,571.0","260,862.0","267,954.0","270,005.0","268,087.0","269,305.0","274,999.0","269,248.0","278,459.0","285,156.0","290,714.0","294,934.0","297,681.0","303,310.0","312,152.0","308,226.0","311,896.0","308,142.0","306,777.0","292,696.0","278,374.0","293,955.0","299,662.0","304,965.0","312,272.0","303,497.0","300,969.0","317,867.0","334,463.0","351,696.0","359,492.0","361,288.0","380,497.0","390,729.0","392,443.0","400,804.0","411,912.0","428,911.0","439,550.0","445,328.0","472,779.0","470,162.0","480,791.0","510,993.0","536,708.0","540,499.0","560,408.0","559,637.0","532,639.0","506,749.0","508,494.0","513,590.0","532,301.0","544,789.0","553,265.0"
"65","46","  Imports","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,634.0","1,222,164.0","1,281,731.0","1,331,030.0","1,410,729.0","1,453,618.0","1,515,028.0","1,521,788.0","1,492,477.0","1,420,306.0","1,364,177.0","1,317,886.0","1,348,315.0","1,424,011.0","1,456,411.0","1,492,062.0","1,516,098.0","1,515,854.0","1,540,848.0","1,607,778.0","1,685,063.0","1,776,886.0","1,821,318.0","1,912,397.0","1,939,792.0","1,988,650.0","2,042,133.0","2,140,587.0","2,189,806.0","2,237,425.0","2,281,680.0","2,252,470.0","2,300,602.0","2,349,823.0","2,394,709.0","2,457,522.0","2,558,402.0","2,677,165.0","2,690,370.0","2,289,285.0","1,896,893.0","1,855,304.0","1,990,461.0","2,116,333.0","2,237,623.0","2,341,869.0"
"66","47","    Goods","A255RC1","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","975,465.0","1,020,788.0","1,073,898.0","1,120,600.0","1,188,886.0","1,227,631.0","1,280,514.0","1,288,969.0","1,261,591.0","1,184,758.0","1,139,469.0","1,100,895.0","1,119,147.0","1,192,432.0","1,219,243.0","1,244,677.0","1,268,003.0","1,271,007.0","1,281,611.0","1,336,409.0","1,401,087.0","1,483,001.0","1,521,380.0","1,601,183.0","1,628,851.0","1,671,680.0","1,719,991.0","1,811,398.0","1,842,891.0","1,884,311.0","1,925,044.0","1,887,467.0","1,938,986.0","1,978,918.0","2,013,741.0","2,074,925.0","2,161,104.0","2,273,417.0","2,276,861.0","1,883,768.0","1,519,897.0","1,485,653.0","1,613,827.0","1,731,849.0","1,843,478.0","1,941,940.0"
"67","48","    Services","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","195,169.0","201,376.0","207,833.0","210,430.0","221,843.0","225,987.0","234,514.0","232,819.0","230,886.0","235,548.0","224,708.0","216,991.0","229,168.0","231,579.0","237,168.0","247,385.0","248,095.0","244,847.0","259,237.0","271,369.0","283,976.0","293,885.0","299,938.0","311,214.0","310,941.0","316,970.0","322,142.0","329,189.0","346,915.0","353,114.0","356,636.0","365,003.0","361,616.0","370,905.0","380,968.0","382,597.0","397,298.0","403,748.0","413,509.0","405,517.0","376,996.0","369,651.0","376,634.0","384,484.0","394,145.0","399,929.0"
"68","49","Government consumption expenditures and gross investment","A822RC1","216,549.0","219,386.0","224,860.0","224,931.0","229,840.0","230,622.0","235,492.0","238,835.0","241,570.0","245,267.0","248,512.0","250,312.0","259,631.0","263,865.0","261,613.0","268,566.0","276,682.0","280,049.0","281,136.0","288,759.0","301,387.0","312,039.0","323,189.0","335,052.0","346,218.0","349,789.0","361,963.0","372,891.0","379,092.0","380,127.0","382,805.0","389,978.0","401,336.0","411,785.0","417,303.0","425,816.0","431,894.0","449,745.0","459,880.0","472,695.0","477,770.0","492,467.0","507,218.0","525,474.0","546,743.0","562,747.0","567,514.0","587,479.0","610,101.0","622,435.0","628,399.0","648,974.0","658,521.0","671,860.0","684,663.0","706,744.0","716,686.0","729,070.0","748,087.0","739,677.0","767,229.0","791,359.0","803,601.0","825,491.0","845,635.0","868,377.0","893,870.0","907,679.0","918,808.0","940,867.0","967,429.0","970,239.0","982,406.0","994,597.0","1,002,500.0","1,018,066.0","1,021,897.0","1,032,999.0","1,036,914.0","1,063,803.0","1,070,696.0","1,094,970.0","1,112,136.0","1,124,586.0","1,158,599.0","1,171,389.0","1,183,014.0","1,213,845.0","1,228,128.0","1,236,244.0","1,239,226.0","1,240,763.0","1,258,849.0","1,267,323.0","1,281,655.0","1,286,015.0","1,282,601.0","1,290,307.0","1,296,563.0","1,309,723.0","1,302,944.0","1,318,776.0","1,349,302.0","1,348,140.0","1,364,629.0","1,376,282.0","1,378,780.0","1,376,392.0","1,400,705.0","1,417,101.0","1,422,564.0","1,443,463.0","1,457,375.0","1,472,449.0","1,477,923.0","1,489,989.0","1,482,604.0","1,518,709.0","1,540,381.0","1,562,507.0","1,585,770.0","1,608,797.0","1,644,635.0","1,685,878.0","1,695,623.0","1,726,926.0","1,739,959.0","1,761,297.0","1,801,054.0","1,846,908.0","1,850,562.0","1,887,157.0","1,936,636.0","1,968,469.0","1,995,968.0","2,032,298.0","2,073,563.0","2,109,976.0","2,127,540.0","2,139,122.0","2,184,514.0","2,219,048.0","2,254,449.0","2,273,262.0","2,316,531.0","2,344,550.0","2,400,120.0","2,418,329.0","2,474,510.0","2,510,496.0","2,533,337.0","2,555,243.0","2,604,373.0","2,655,990.0","2,698,441.0","2,738,168.0","2,802,323.0","2,869,808.0","2,934,689.0","2,906,517.0","2,872,014.0","2,919,268.0","2,933,794.0","2,934,547.0","2,955,676.0","2,993,545.0"
"69","50","  Federal","A823RC1","112,144.0","111,988.0","115,356.0","113,636.0","114,968.0","112,664.0","112,748.0","113,272.0","112,840.0","113,464.0","114,668.0","113,556.0","119,692.0","122,584.0","116,848.0","119,388.0","123,332.0","123,284.0","120,340.0","122,848.0","128,560.0","131,088.0","136,072.0","142,452.0","143,992.0","144,860.0","151,312.0","155,964.0","156,332.0","157,820.0","159,832.0","164,828.0","169,792.0","174,764.0","176,512.0","180,540.0","182,916.0","189,188.0","192,432.0","199,076.0","202,232.0","207,852.0","211,728.0","220,428.0","231,628.0","242,952.0","243,556.0","256,732.0","266,508.0","278,656.0","281,400.0","294,148.0","298,660.0","305,096.0","312,292.0","327,012.0","332,836.0","342,064.0","354,112.0","342,392.0","359,184.0","373,912.0","375,236.0","388,768.0","398,044.0","407,628.0","420,680.0","424,648.0","421,344.0","434,692.0","451,900.0","445,840.0","451,556.0","458,612.0","460,524.0","467,456.0","460,132.0","458,952.0","456,124.0","471,100.0","469,296.0","481,388.0","488,972.0","486,092.0","500,752.0","505,988.0","504,976.0","518,244.0","529,236.0","531,712.0","526,048.0","519,248.0","525,736.0","528,948.0","538,604.0","538,352.0","526,760.0","522,900.0","522,380.0","527,868.0","511,956.0","515,048.0","529,072.0","518,240.0","523,088.0","521,724.0","520,080.0","510,180.0","527,912.0","530,940.0","523,616.0","525,484.0","523,628.0","533,480.0","532,364.0","534,364.0","519,540.0","534,780.0","531,816.0","537,936.0","541,204.0","544,312.0","558,900.0","575,288.0","562,420.0","583,196.0","579,360.0","579,332.0","594,316.0","608,724.0","616,316.0","627,400.0","657,760.0","674,396.0","685,360.0","705,032.0","725,168.0","762,140.0","765,204.0","773,404.0","805,104.0","819,876.0","839,136.0","834,456.0","861,968.0","867,212.0","894,100.0","881,920.0","928,456.0","930,252.0","932,184.0","935,872.0","944,024.0","968,720.0","992,068.0","1,000,552.0","1,033,424.0","1,065,216.0","1,105,500.0","1,115,360.0","1,103,248.0","1,139,756.0","1,155,376.0","1,159,872.0","1,178,092.0","1,206,556.0"
"70","51","    National defense","A824RC1","88,892.0","88,336.0","90,792.0","89,944.0","90,004.0","86,576.0","86,732.0","87,104.0","86,076.0","84,408.0","84,024.0","83,720.0","87,660.0","89,760.0","84,048.0","86,260.0","89,236.0","89,240.0","85,944.0","88,116.0","91,748.0","94,908.0","96,048.0","99,552.0","100,692.0","100,260.0","105,980.0","108,664.0","108,656.0","109,976.0","111,520.0","114,196.0","117,936.0","121,204.0","121,688.0","122,728.0","125,144.0","129,424.0","131,752.0","135,624.0","138,320.0","143,364.0","146,092.0","152,952.0","160,468.0","165,016.0","167,728.0","178,624.0","184,828.0","193,792.0","197,772.0","208,528.0","213,784.0","222,712.0","228,528.0","238,540.0","241,256.0","248,740.0","252,380.0","259,980.0","273,864.0","279,392.0","280,180.0","292,676.0","298,228.0","306,008.0","318,028.0","322,460.0","318,356.0","329,316.0","342,332.0","333,212.0","340,724.0","349,316.0","355,388.0","354,488.0","354,420.0","353,784.0","350,808.0","359,900.0","353,868.0","362,116.0","368,716.0","363,656.0","370,948.0","372,548.0","369,544.0","382,492.0","389,196.0","388,528.0","382,000.0","372,732.0","372,100.0","375,160.0","382,900.0","376,984.0","364,704.0","361,936.0","360,068.0","365,312.0","348,500.0","352,572.0","364,580.0","349,452.0","351,728.0","352,052.0","349,344.0","342,072.0","355,400.0","358,856.0","352,628.0","352,408.0","343,884.0","351,908.0","350,196.0","353,376.0","333,992.0","347,308.0","352,292.0","350,708.0","350,976.0","352,924.0","365,012.0","375,636.0","360,552.0","376,920.0","372,712.0","374,004.0","383,700.0","389,700.0","395,604.0","402,812.0","420,292.0","431,936.0","440,408.0","458,180.0","466,356.0","507,244.0","503,052.0","515,108.0","535,904.0","545,632.0","565,400.0","556,204.0","578,488.0","586,064.0","606,112.0","585,524.0","615,484.0","624,060.0","623,304.0","636,576.0","637,616.0","656,996.0","674,692.0","679,892.0","702,104.0","724,884.0","762,104.0","760,216.0","743,864.0","769,916.0","787,272.0","785,376.0","796,324.0","812,852.0"
"71","52","      Consumption expenditures","A997RC1","75,748.0","77,588.0","79,136.0","80,104.0","78,348.0","75,632.0","76,156.0","75,988.0","78,076.0","76,956.0","75,756.0","77,424.0","80,644.0","81,152.0","77,644.0","78,416.0","79,328.0","79,924.0","78,264.0","80,080.0","81,956.0","84,224.0","84,352.0","87,460.0","88,956.0","89,864.0","91,216.0","93,436.0","93,416.0","96,040.0","95,584.0","98,120.0","100,808.0","103,640.0","105,180.0","106,980.0","109,360.0","111,848.0","113,864.0","115,668.0","119,140.0","123,512.0","122,432.0","130,056.0","136,036.0","141,012.0","144,572.0","153,056.0","159,184.0","165,016.0","167,736.0","177,244.0","182,976.0","186,964.0","193,872.0","200,768.0","203,256.0","208,152.0","209,436.0","214,020.0","227,016.0","231,644.0","233,716.0","238,968.0","246,232.0","249,048.0","256,744.0","262,676.0","261,576.0","268,644.0","273,124.0","268,192.0","276,784.0","282,232.0","286,224.0","289,020.0","293,320.0","292,420.0","289,844.0","298,220.0","292,140.0","300,756.0","302,468.0","302,204.0","307,380.0","306,832.0","302,668.0","314,992.0","325,712.0","322,460.0","317,772.0","312,868.0","311,600.0","312,884.0","320,076.0","316,360.0","308,824.0","306,060.0","306,204.0","308,964.0","299,028.0","299,480.0","307,184.0","297,564.0","299,064.0","298,640.0","298,836.0","291,368.0","299,708.0","305,336.0","301,652.0","306,000.0","300,868.0","308,388.0","302,748.0","306,044.0","291,348.0","302,316.0","303,416.0","304,208.0","306,584.0","304,672.0","314,336.0","326,252.0","311,572.0","328,184.0","322,948.0","324,652.0","335,432.0","338,484.0","343,368.0","350,776.0","368,244.0","375,156.0","380,344.0","398,900.0","406,992.0","444,932.0","439,092.0","449,712.0","470,152.0","477,724.0","492,524.0","484,436.0","507,500.0","511,724.0","529,416.0","510,708.0","538,320.0","541,248.0","543,660.0","552,304.0","555,784.0","568,996.0","585,840.0","590,856.0","612,236.0","622,764.0","655,084.0","652,520.0","642,848.0","663,368.0","676,892.0","673,464.0","683,952.0","695,096.0"
"72","53","      Gross investment","A788RC1","13,144.0","10,748.0","11,656.0","9,840.0","11,656.0","10,944.0","10,576.0","11,116.0","8,000.0","7,452.0","8,268.0","6,296.0","7,016.0","8,608.0","6,404.0","7,844.0","9,908.0","9,316.0","7,680.0","8,036.0","9,792.0","10,684.0","11,696.0","12,092.0","11,736.0","10,396.0","14,764.0","15,228.0","15,240.0","13,936.0","15,936.0","16,076.0","17,128.0","17,564.0","16,508.0","15,748.0","15,784.0","17,576.0","17,888.0","19,956.0","19,180.0","19,852.0","23,660.0","22,896.0","24,432.0","24,004.0","23,156.0","25,568.0","25,644.0","28,776.0","30,036.0","31,284.0","30,808.0","35,748.0","34,656.0","37,772.0","38,000.0","40,588.0","42,944.0","45,960.0","46,848.0","47,748.0","46,464.0","53,708.0","51,996.0","56,960.0","61,284.0","59,784.0","56,780.0","60,672.0","69,208.0","65,020.0","63,940.0","67,084.0","69,164.0","65,468.0","61,100.0","61,364.0","60,964.0","61,680.0","61,728.0","61,360.0","66,248.0","61,452.0","63,568.0","65,716.0","66,876.0","67,500.0","63,484.0","66,068.0","64,228.0","59,864.0","60,500.0","62,276.0","62,824.0","60,624.0","55,880.0","55,876.0","53,864.0","56,348.0","49,472.0","53,092.0","57,396.0","51,888.0","52,664.0","53,412.0","50,508.0","50,704.0","55,692.0","53,520.0","50,976.0","46,408.0","43,016.0","43,520.0","47,448.0","47,332.0","42,644.0","44,992.0","48,876.0","46,500.0","44,392.0","48,252.0","50,676.0","49,384.0","48,980.0","48,736.0","49,764.0","49,352.0","48,268.0","51,216.0","52,236.0","52,036.0","52,048.0","56,780.0","60,064.0","59,280.0","59,364.0","62,312.0","63,960.0","65,396.0","65,752.0","67,908.0","72,876.0","71,768.0","70,988.0","74,340.0","76,696.0","74,816.0","77,164.0","82,812.0","79,644.0","84,272.0","81,832.0","88,000.0","88,852.0","89,036.0","89,868.0","102,120.0","107,020.0","107,696.0","101,016.0","106,548.0","110,380.0","111,912.0","112,372.0","117,756.0"
"73","54","    Nondefense","A825RC1","23,252.0","23,652.0","24,564.0","23,692.0","24,964.0","26,088.0","26,016.0","26,168.0","26,764.0","29,056.0","30,644.0","29,836.0","32,032.0","32,824.0","32,800.0","33,128.0","34,096.0","34,044.0","34,396.0","34,732.0","36,812.0","36,180.0","40,024.0","42,900.0","43,300.0","44,600.0","45,332.0","47,300.0","47,676.0","47,844.0","48,312.0","50,632.0","51,856.0","53,560.0","54,824.0","57,812.0","57,772.0","59,764.0","60,680.0","63,452.0","63,912.0","64,488.0","65,636.0","67,476.0","71,160.0","77,936.0","75,828.0","78,108.0","81,680.0","84,864.0","83,628.0","85,620.0","84,876.0","82,384.0","83,764.0","88,472.0","91,580.0","93,324.0","101,732.0","82,412.0","85,320.0","94,520.0","95,056.0","96,092.0","99,816.0","101,620.0","102,652.0","102,188.0","102,988.0","105,376.0","109,568.0","112,628.0","110,832.0","109,296.0","105,136.0","112,968.0","105,712.0","105,168.0","105,316.0","111,200.0","115,428.0","119,272.0","120,256.0","122,436.0","129,804.0","133,440.0","135,432.0","135,752.0","140,040.0","143,184.0","144,048.0","146,516.0","153,636.0","153,788.0","155,704.0","161,368.0","162,056.0","160,964.0","162,312.0","162,556.0","163,456.0","162,476.0","164,492.0","168,788.0","171,360.0","169,672.0","170,736.0","168,108.0","172,512.0","172,084.0","170,988.0","173,076.0","179,744.0","181,572.0","182,168.0","180,988.0","185,548.0","187,472.0","179,524.0","187,228.0","190,228.0","191,388.0","193,888.0","199,652.0","201,868.0","206,276.0","206,648.0","205,328.0","210,616.0","219,024.0","220,712.0","224,588.0","237,468.0","242,460.0","244,952.0","246,852.0","258,812.0","254,896.0","262,152.0","258,296.0","269,200.0","274,244.0","273,736.0","278,252.0","283,480.0","281,148.0","287,988.0","296,396.0","312,972.0","306,192.0","308,880.0","299,296.0","306,408.0","311,724.0","317,376.0","320,660.0","331,320.0","340,332.0","343,396.0","355,144.0","359,384.0","369,840.0","368,104.0","374,496.0","381,768.0","393,704.0"
"74","55","      Consumption expenditures","A542RC1","19,584.0","19,964.0","20,968.0","20,168.0","21,432.0","22,340.0","22,212.0","22,232.0","22,824.0","24,920.0","26,256.0","25,536.0","27,548.0","28,212.0","28,276.0","28,620.0","29,176.0","29,216.0","29,536.0","29,764.0","31,972.0","30,368.0","34,584.0","36,776.0","36,824.0","38,324.0","38,964.0","40,496.0","40,728.0","40,476.0","40,968.0","43,256.0","44,492.0","45,780.0","46,348.0","49,516.0","48,912.0","50,200.0","50,156.0","53,256.0","54,016.0","54,376.0","54,772.0","57,372.0","59,660.0","66,068.0","63,448.0","65,888.0","68,872.0","72,032.0","70,524.0","72,392.0","72,172.0","69,448.0","71,132.0","75,780.0","77,184.0","79,076.0","86,804.0","67,868.0","70,012.0","78,724.0","79,460.0","80,052.0","82,980.0","85,368.0","85,292.0","84,988.0","85,468.0","88,288.0","92,452.0","94,372.0","92,392.0","89,576.0","85,572.0","93,024.0","87,440.0","86,776.0","86,448.0","92,460.0","96,104.0","98,952.0","99,776.0","101,500.0","106,868.0","110,484.0","112,912.0","113,772.0","116,968.0","118,588.0","119,124.0","119,764.0","126,488.0","127,168.0","129,040.0","132,964.0","132,568.0","132,288.0","134,204.0","135,760.0","138,792.0","138,648.0","139,756.0","142,380.0","144,000.0","143,348.0","143,828.0","141,468.0","143,768.0","142,752.0","141,660.0","145,284.0","151,176.0","152,896.0","153,444.0","154,560.0","155,048.0","156,244.0","148,896.0","156,920.0","158,680.0","158,096.0","160,988.0","163,600.0","170,448.0","175,244.0","175,552.0","175,436.0","180,352.0","188,396.0","190,328.0","193,488.0","204,464.0","209,568.0","211,576.0","213,708.0","226,072.0","220,904.0","228,252.0","225,072.0","236,240.0","239,984.0","239,944.0","244,516.0","249,416.0","247,052.0","251,148.0","256,388.0","272,060.0","267,208.0","269,436.0","259,776.0","266,984.0","271,400.0","276,204.0","279,592.0","289,656.0","297,292.0","299,156.0","309,784.0","315,252.0","325,592.0","322,816.0","328,320.0","333,348.0","343,604.0"
"75","56","      Gross investment","A798RC1","3,668.0","3,688.0","3,596.0","3,524.0","3,532.0","3,748.0","3,804.0","3,936.0","3,940.0","4,136.0","4,388.0","4,300.0","4,484.0","4,612.0","4,524.0","4,508.0","4,920.0","4,828.0","4,860.0","4,968.0","4,840.0","5,812.0","5,440.0","6,124.0","6,476.0","6,276.0","6,368.0","6,804.0","6,948.0","7,368.0","7,344.0","7,376.0","7,364.0","7,780.0","8,476.0","8,296.0","8,860.0","9,564.0","10,524.0","10,196.0","9,896.0","10,112.0","10,864.0","10,104.0","11,500.0","11,868.0","12,380.0","12,220.0","12,808.0","12,832.0","13,104.0","13,228.0","12,704.0","12,936.0","12,632.0","12,692.0","14,396.0","14,248.0","14,928.0","14,544.0","15,308.0","15,796.0","15,596.0","16,040.0","16,836.0","16,252.0","17,360.0","17,200.0","17,520.0","17,088.0","17,116.0","18,256.0","18,440.0","19,720.0","19,564.0","19,944.0","18,272.0","18,392.0","18,868.0","18,740.0","19,324.0","20,320.0","20,480.0","20,936.0","22,936.0","22,956.0","22,520.0","21,980.0","23,072.0","24,596.0","24,924.0","26,752.0","27,148.0","26,620.0","26,664.0","28,404.0","29,488.0","28,676.0","28,108.0","26,796.0","24,664.0","23,828.0","24,736.0","26,408.0","27,360.0","26,324.0","26,908.0","26,640.0","28,744.0","29,332.0","29,328.0","27,792.0","28,568.0","28,676.0","28,724.0","26,428.0","30,500.0","31,228.0","30,628.0","30,308.0","31,548.0","33,292.0","32,900.0","36,052.0","31,420.0","31,032.0","31,096.0","29,892.0","30,264.0","30,628.0","30,384.0","31,100.0","33,004.0","32,892.0","33,376.0","33,144.0","32,740.0","33,992.0","33,900.0","33,224.0","32,960.0","34,260.0","33,792.0","33,736.0","34,064.0","34,096.0","36,840.0","40,008.0","40,912.0","38,984.0","39,444.0","39,520.0","39,424.0","40,324.0","41,172.0","41,068.0","41,664.0","43,040.0","44,240.0","45,360.0","44,132.0","44,248.0","45,288.0","46,176.0","48,420.0","50,100.0"
