"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"98","80","      Other recreational services (81, 94, and part of 92)","DOTRRC1","943.0","959.0","1,042.0","1,224.0","1,349.0","1,447.0","1,636.0","1,897.0","2,139.0","2,423.0","2,925.0","3,253.0","3,737.0","4,142.0","4,555.0","5,203.0","5,783.0","6,450.0","7,378.0","8,387.0","9,449.0","10,498.0","11,023.0","11,697.0","12,886.0","14,347.0","16,145.0","17,913.0","19,270.0","20,993.0","22,920.0","24,768.0","25,333.0","26,393.0","28,021.0","30,383.0","32,987.0","35,650.0","39,289.0","41,214.0","39,511.0","41,682.0","43,150.0","45,836.0","48,101.0","52,415.0"
"99","81","    Food services and accommodations","DFSARC1","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,407.0","308,298.0","316,137.0","326,558.0","343,428.0","361,836.0","380,330.0","408,782.0","419,663.0","436,311.0","461,897.0","496,424.0","530,642.0","566,252.0","595,634.0","612,466.0","600,334.0","617,711.0","649,504.0","685,129.0","710,233.0","750,880.0"
"100","82","      Food services","DFSERC1","34,736.0","38,589.0","40,728.0","45,014.0","50,509.0","55,905.0","63,531.0","71,615.0","78,783.0","89,238.0","101,668.0","111,466.0","122,022.0","129,826.0","139,699.0","148,776.0","156,206.0","167,450.0","182,348.0","201,641.0","216,670.0","235,116.0","244,186.0","254,140.0","265,709.0","273,396.0","279,587.0","286,661.0","298,533.0","314,619.0","330,526.0","353,822.0","367,569.0","383,060.0","404,589.0","432,059.0","458,108.0","486,255.0","509,596.0","523,673.0","517,914.0","532,208.0","558,655.0","587,303.0","608,126.0","641,719.0"
"101","83","        Purchased meals and beverages (102)","DPMBRC1","32,683.0","36,524.0","38,740.0","43,004.0","48,337.0","53,183.0","60,363.0","68,006.0","75,034.0","84,967.0","96,740.0","105,929.0","115,851.0","123,279.0","133,273.0","142,393.0","149,978.0","161,472.0","176,606.0","195,568.0","210,214.0","228,346.0","237,257.0","247,054.0","258,399.0","265,877.0","271,808.0","278,675.0","290,322.0","306,196.0","321,821.0","344,894.0","358,434.0","373,590.0","394,363.0","421,183.0","445,973.0","472,333.0","494,869.0","508,661.0","502,315.0","516,903.0","541,877.0","570,169.0","590,731.0","623,826.0"
"102","84","        Food furnished to employees (including military) (103)","DFOORC1","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,470.0","10,226.0","10,876.0","12,135.0","13,922.0","14,727.0","15,012.0","15,599.0","15,305.0","16,778.0","17,134.0","17,394.0","17,893.0"
"103","85","      Accommodations (104)","DACCRC1","2,725.0","3,035.0","3,069.0","3,872.0","4,323.0","4,709.0","5,290.0","6,186.0","6,882.0","7,866.0","9,253.0","10,255.0","11,893.0","12,682.0","13,851.0","16,140.0","18,094.0","19,237.0","22,031.0","24,206.0","25,927.0","27,619.0","29,208.0","32,173.0","32,698.0","34,902.0","36,550.0","39,897.0","44,895.0","47,217.0","49,804.0","54,960.0","52,094.0","53,251.0","57,308.0","64,365.0","72,534.0","79,997.0","86,038.0","88,793.0","82,420.0","85,503.0","90,849.0","97,826.0","102,107.0","109,161.0"
"104","86","    Financial services and insurance","DIFSRC1","28,502.0","31,073.0","34,139.0","38,339.0","41,501.0","45,906.0","54,018.0","59,262.0","67,792.0","80,634.0","87,631.0","95,609.0","102,006.0","116,335.0","145,888.0","156,571.0","188,094.0","199,804.0","205,301.0","219,809.0","238,375.0","247,390.0","266,788.0","295,090.0","332,586.0","346,875.0","366,379.0","392,349.0","429,244.0","467,277.0","509,124.0","566,284.0","552,822.0","562,584.0","588,472.0","635,347.0","689,633.0","724,208.0","768,491.0","771,483.0","718,956.0","763,238.0","795,799.0","789,303.0","837,741.0","882,745.0"
"105","87","      Financial services","DFNLRC1","14,128.0","15,343.0","17,068.0","18,940.0","20,321.0","23,662.0","30,130.0","32,214.0","35,763.0","43,140.0","47,198.0","51,749.0","54,145.0","62,068.0","87,174.0","90,037.0","115,048.0","127,008.0","133,214.0","134,415.0","138,620.0","135,653.0","142,950.0","161,829.0","184,657.0","197,739.0","212,882.0","233,805.0","259,823.0","286,798.0","319,633.0","360,027.0","341,159.0","347,295.0","357,424.0","387,385.0","417,448.0","446,170.0","480,341.0","486,591.0","452,240.0","473,277.0","487,507.0","497,252.0","530,914.0","565,068.0"
"106","88","        Financial services furnished without payment (107)","DIMPRC1","9,113.0","10,924.0","11,813.0","13,176.0","15,131.0","18,613.0","24,074.0","25,054.0","28,170.0","34,171.0","36,984.0","38,258.0","38,667.0","42,690.0","62,746.0","64,275.0","84,303.0","88,525.0","90,562.0","93,515.0","92,347.0","87,170.0","88,441.0","99,548.0","112,212.0","123,942.0","130,988.0","139,769.0","152,471.0","161,821.0","170,701.0","185,403.0","178,086.0","179,140.0","183,461.0","200,884.0","216,057.0","221,834.0","236,571.0","241,158.0","229,379.0","248,903.0","258,230.0","258,783.0","280,567.0","306,272.0"
"107","89","        Financial service charges, fees, and commissions (108)","DOFIRC1","5,015.0","4,419.0","5,255.0","5,764.0","5,190.0","5,049.0","6,056.0","7,160.0","7,593.0","8,969.0","10,214.0","13,491.0","15,478.0","19,378.0","24,428.0","25,762.0","30,745.0","38,483.0","42,652.0","40,900.0","46,273.0","48,483.0","54,509.0","62,281.0","72,445.0","73,797.0","81,894.0","94,036.0","107,352.0","124,977.0","148,932.0","174,624.0","163,073.0","168,155.0","173,963.0","186,501.0","201,391.0","224,336.0","243,770.0","245,433.0","222,861.0","224,374.0","229,277.0","238,469.0","250,347.0","258,795.0"
"108","90","      Insurance","DINSRC1","14,374.0","15,730.0","17,071.0","19,399.0","21,180.0","22,244.0","23,888.0","27,048.0","32,029.0","37,494.0","40,433.0","43,860.0","47,861.0","54,267.0","58,714.0","66,534.0","73,046.0","72,796.0","72,087.0","85,394.0","99,755.0","111,737.0","123,838.0","133,261.0","147,929.0","149,136.0","153,497.0","158,544.0","169,421.0","180,479.0","189,491.0","206,257.0","211,663.0","215,289.0","231,048.0","247,962.0","272,185.0","278,038.0","288,150.0","284,892.0","266,716.0","289,961.0","308,292.0","292,051.0","306,827.0","317,678.0"
"109","91","        Life insurance (110)","DLIFRC1","6,258.0","6,885.0","6,933.0","7,501.0","8,398.0","9,055.0","10,037.0","11,883.0","13,302.0","15,312.0","16,912.0","19,054.0","20,470.0","22,808.0","23,498.0","25,026.0","28,304.0","28,751.0","28,091.0","33,483.0","38,578.0","42,312.0","51,781.0","53,610.0","59,192.0","54,612.0","54,340.0","52,030.0","55,171.0","55,982.0","56,936.0","64,975.0","61,949.0","58,796.0","60,397.0","72,143.0","79,035.0","84,092.0","87,475.0","87,455.0","80,020.0","87,555.0","93,248.0","84,573.0","93,262.0","92,858.0"
"110","92","        Net household insurance (111)","DFINRC1","300.0","341.0","389.0","444.0","501.0","570.0","617.0","696.0","844.0","1,021.0","1,174.0","1,284.0","1,338.0","1,421.0","1,508.0","1,623.0","1,706.0","1,861.0","2,124.0","2,421.0","2,552.0","2,478.0","2,441.0","2,296.0","2,310.0","2,502.0","2,633.0","2,895.0","2,903.0","3,358.0","3,588.0","3,835.0","4,188.0","4,267.0","4,928.0","5,758.0","6,171.0","6,107.0","7,435.0","8,093.0","7,340.0","7,619.0","8,430.0","8,563.0","9,339.0","10,191.0"
"111","93","        Net health insurance (112)","DHINRC1","4,105.0","4,431.0","5,181.0","6,323.0","6,695.0","6,910.0","7,307.0","8,068.0","10,547.0","12,856.0","13,047.0","13,571.0","15,512.0","18,863.0","21,521.0","26,487.0","28,365.0","25,629.0","23,571.0","29,082.0","36,575.0","43,437.0","45,186.0","50,051.0","56,049.0","59,272.0","62,028.0","66,917.0","73,540.0","80,757.0","85,733.0","94,377.0","101,092.0","106,528.0","116,652.0","116,545.0","129,363.0","130,646.0","131,261.0","127,392.0","119,390.0","135,846.0","146,661.0","139,068.0","143,134.0","151,045.0"
"112","94","        Net motor vehicle and other transportation insurance (116)","DTINRC1","3,711.0","4,073.0","4,568.0","5,131.0","5,586.0","5,709.0","5,927.0","6,401.0","7,336.0","8,305.0","9,300.0","9,951.0","10,541.0","11,175.0","12,187.0","13,398.0","14,671.0","16,555.0","18,301.0","20,408.0","22,050.0","23,510.0","24,430.0","27,304.0","30,378.0","32,750.0","34,496.0","36,702.0","37,807.0","40,382.0","43,234.0","43,070.0","44,434.0","45,698.0","49,071.0","53,516.0","57,616.0","57,193.0","61,979.0","61,952.0","59,966.0","58,941.0","59,953.0","59,848.0","61,092.0","63,584.0"
"113","95","    Other services","DOTSRC1","50,460.0","54,595.0","58,051.0","63,677.0","69,332.0","74,361.0","80,344.0","88,620.0","97,744.0","108,319.0","117,213.0","127,144.0","137,178.0","150,931.0","169,864.0","187,464.0","207,860.0","221,167.0","242,433.0","262,761.0","281,112.0","297,463.0","300,546.0","325,730.0","344,374.0","371,168.0","391,199.0","416,403.0","452,299.0","496,040.0","523,700.0","571,514.0","615,250.0","642,215.0","684,683.0","723,757.0","759,098.0","807,949.0","847,995.0","880,088.0","879,151.0","905,415.0","939,287.0","973,752.0","997,011.0","1,054,953.0"
"114","96","      Communication","DCOMRC1","10,709.0","11,585.0","12,741.0","14,328.0","16,103.0","17,657.0","19,922.0","22,386.0","24,260.0","26,862.0","29,048.0","31,144.0","34,984.0","39,857.0","43,614.0","47,177.0","51,884.0","55,600.0","58,679.0","61,703.0","65,651.0","68,311.0","71,996.0","79,093.0","83,465.0","90,587.0","95,932.0","104,928.0","116,370.0","125,317.0","137,493.0","152,741.0","159,088.0","162,686.0","166,848.0","172,477.0","177,797.0","189,973.0","203,303.0","217,288.0","217,855.0","226,844.0","240,054.0","250,122.0","255,662.0","270,753.0"
"115","97","        Telecommunication services (71)","DTCSRC1","9,285.0","10,095.0","11,048.0","12,444.0","14,153.0","15,546.0","17,741.0","19,829.0","21,565.0","23,874.0","25,717.0","27,574.0","30,889.0","35,140.0","38,639.0","41,786.0","45,978.0","49,261.0","51,879.0","54,390.0","58,135.0","60,702.0","64,003.0","70,998.0","75,008.0","81,291.0","85,168.0","92,770.0","103,149.0","109,981.0","117,573.0","126,414.0","131,187.0","131,301.0","130,446.0","132,828.0","137,689.0","144,838.0","149,042.0","154,032.0","149,587.0","152,123.0","157,057.0","158,025.0","156,643.0","164,113.0"
"116","98","        Postal and delivery services (68)","DPSSRC1","1,424.0","1,490.0","1,693.0","1,884.0","1,950.0","2,111.0","2,181.0","2,557.0","2,695.0","2,988.0","3,331.0","3,570.0","4,095.0","4,717.0","4,975.0","5,391.0","5,906.0","6,339.0","6,800.0","7,288.0","7,466.0","7,509.0","7,793.0","7,790.0","8,045.0","8,491.0","9,153.0","9,483.0","9,646.0","9,787.0","9,865.0","9,890.0","9,658.0","9,456.0","9,795.0","10,155.0","10,406.0","11,627.0","11,918.0","12,902.0","12,008.0","11,738.0","10,806.0","10,342.0","10,343.0","10,644.0"
"117","99","        Internet access (72)","DINTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","25.0","50.0","100.0","200.0","305.0","412.0","805.0","1,611.0","2,675.0","3,575.0","5,549.0","10,055.0","16,437.0","18,243.0","21,929.0","26,607.0","29,494.0","29,702.0","33,508.0","42,343.0","50,354.0","56,260.0","62,983.0","72,191.0","81,756.0","88,676.0","95,996.0"
"118","100","      Education services","DTEDRC1","8,069.0","9,176.0","10,102.0","11,005.0","12,226.0","13,375.0","14,946.0","16,476.0","17,709.0","19,531.0","21,323.0","23,698.0","26,272.0","28,793.0","31,841.0","34,786.0","37,936.0","40,839.0","44,543.0","49,791.0","55,648.0","60,660.0","65,157.0","70,801.0","75,032.0","79,880.0","85,502.0","92,619.0","99,785.0","107,390.0","115,367.0","125,248.0","134,385.0","139,825.0","149,662.0","159,120.0","170,733.0","183,406.0","196,576.0","208,923.0","219,859.0","235,502.0","246,868.0","253,027.0","259,448.0","267,389.0"
"119","101","        Higher education (97)","DHEDRC1","4,457.0","5,188.0","5,889.0","6,487.0","7,107.0","7,637.0","8,170.0","8,861.0","9,640.0","10,258.0","11,409.0","12,862.0","14,767.0","17,007.0","18,806.0","20,533.0","22,260.0","24,130.0","26,097.0","28,465.0","31,516.0","34,742.0","38,400.0","42,334.0","45,449.0","48,628.0","51,912.0","56,361.0","61,261.0","66,027.0","70,774.0","76,776.0","82,917.0","86,986.0","94,981.0","102,481.0","110,853.0","119,676.0","128,285.0","136,912.0","146,658.0","158,260.0","165,838.0","170,499.0","175,069.0","179,382.0"
"120","102","        Nursery, elementary, and secondary schools (98)","DNEHRC1","2,193.0","2,439.0","2,656.0","2,929.0","3,327.0","3,868.0","4,356.0","4,638.0","4,808.0","5,620.0","6,014.0","6,652.0","7,021.0","7,182.0","7,949.0","8,705.0","9,450.0","9,969.0","10,904.0","11,864.0","13,570.0","14,849.0","15,620.0","16,679.0","17,297.0","18,112.0","19,170.0","20,086.0","20,706.0","21,487.0","22,770.0","24,124.0","25,687.0","26,856.0","27,696.0","28,564.0","29,559.0","31,003.0","32,758.0","34,139.0","34,815.0","35,273.0","36,902.0","37,671.0","38,476.0","39,277.0"
"121","103","        Commercial and vocational schools (99)","DVEDRC1","1,419.0","1,549.0","1,557.0","1,589.0","1,792.0","1,870.0","2,420.0","2,977.0","3,261.0","3,653.0","3,900.0","4,184.0","4,484.0","4,604.0","5,086.0","5,548.0","6,226.0","6,740.0","7,542.0","9,461.0","10,562.0","11,068.0","11,137.0","11,788.0","12,287.0","13,140.0","14,420.0","16,172.0","17,818.0","19,876.0","21,823.0","24,347.0","25,781.0","25,984.0","26,985.0","28,075.0","30,321.0","32,728.0","35,533.0","37,872.0","38,386.0","41,969.0","44,129.0","44,858.0","45,904.0","48,730.0"
"122","104","      Professional and other services (121)","DPRSRC1","8,620.0","9,653.0","10,408.0","11,389.0","12,746.0","14,038.0","14,894.0","16,546.0","18,303.0","20,741.0","22,146.0","24,847.0","28,162.0","30,755.0","33,565.0","37,482.0","42,370.0","46,404.0","51,151.0","57,332.0","62,207.0","67,743.0","70,190.0","75,293.0","78,376.0","80,877.0","82,829.0","87,635.0","92,767.0","100,054.0","107,189.0","113,015.0","120,915.0","126,620.0","137,134.0","142,975.0","148,402.0","155,313.0","163,631.0","167,498.0","161,542.0","163,305.0","167,800.0","170,546.0","173,367.0","179,548.0"
"123","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC1","10,301.0","10,589.0","10,335.0","10,755.0","11,294.0","11,666.0","12,296.0","13,109.0","14,622.0","16,035.0","17,004.0","17,947.0","18,651.0","18,837.0","22,689.0","24,143.0","26,707.0","29,433.0","32,685.0","37,743.0","41,271.0","44,450.0","42,494.0","47,452.0","49,723.0","52,866.0","57,106.0","60,233.0","64,274.0","69,050.0","74,196.0","80,392.0","83,198.0","86,467.0","91,149.0","97,740.0","103,315.0","108,066.0","111,547.0","114,269.0","109,887.0","114,931.0","120,937.0","126,360.0","132,352.0","142,145.0"
"124","106","      Social services and religious activities (120)","DSOCRC1","3,602.0","3,871.0","4,384.0","5,053.0","5,459.0","5,854.0","6,499.0","7,494.0","8,598.0","10,020.0","11,881.0","13,993.0","16,138.0","17,944.0","19,618.0","21,833.0","25,060.0","28,034.0","31,435.0","33,873.0","38,580.0","41,177.0","43,546.0","47,510.0","51,123.0","54,381.0","58,127.0","61,111.0","64,627.0","69,261.0","74,416.0","81,144.0","88,365.0","93,357.0","98,615.0","104,061.0","110,230.0","116,774.0","124,599.0","130,060.0","133,185.0","138,863.0","143,163.0","147,150.0","153,540.0","161,151.0"
"125","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRC1","6,769.0","6,970.0","7,169.0","7,610.0","8,134.0","8,271.0","8,400.0","9,737.0","10,949.0","12,118.0","13,150.0","13,769.0","14,607.0","14,900.0","15,807.0","18,299.0","19,322.0","20,539.0","20,952.0","22,037.0","24,151.0","25,387.0","24,732.0","26,575.0","28,445.0","31,329.0","34,548.0","35,817.0","38,914.0","43,854.0","45,152.0","48,617.0","48,506.0","48,660.0","51,208.0","55,223.0","57,877.0","60,448.0","63,781.0","65,533.0","60,332.0","58,608.0","61,334.0","64,892.0","68,192.0","73,046.0"
"126","108","      Net foreign travel","DFORRC1","2,390.0","2,751.0","2,912.0","3,537.0","3,370.0","3,500.0","3,387.0","2,872.0","3,303.0","3,012.0","2,661.0","1,746.0","-1,636.0","-155.0","2,730.0","3,744.0","4,581.0","318.0","2,988.0","282.0","-6,396.0","-10,265.0","-17,569.0","-20,994.0","-21,790.0","-18,752.0","-22,845.0","-25,940.0","-24,438.0","-18,886.0","-30,113.0","-29,643.0","-19,207.0","-15,400.0","-9,933.0","-7,839.0","-9,256.0","-6,031.0","-15,442.0","-23,483.0","-23,509.0","-32,638.0","-40,869.0","-38,346.0","-45,551.0","-39,078.0"
"127","109","        Foreign travel by U.S. residents (129)","DFTRRC1","4,717.0","5,414.0","5,853.0","6,832.0","7,324.0","8,127.0","8,759.0","9,380.0","10,285.0","11,107.0","12,063.0","13,304.0","15,001.0","16,522.0","18,394.0","26,109.0","27,904.0","27,795.0","33,932.0","37,336.0","38,434.0","42,702.0","41,678.0","45,907.0","48,806.0","53,419.0","54,881.0","58,721.0","64,603.0","69,067.0","63,593.0","72,017.0","68,942.0","67,916.0","72,037.0","86,447.0","94,247.0","101,478.0","106,249.0","113,023.0","98,779.0","107,115.0","112,756.0","125,741.0","129,932.0","140,801.0"
"128","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC1","2,327.0","2,663.0","2,941.0","3,295.0","3,954.0","4,627.0","5,372.0","6,508.0","6,982.0","8,095.0","9,402.0","11,558.0","16,637.0","16,677.0","15,664.0","22,365.0","23,323.0","27,477.0","30,944.0","37,054.0","44,830.0","52,967.0","59,247.0","66,901.0","70,596.0","72,171.0","77,726.0","84,661.0","89,041.0","87,953.0","93,706.0","101,660.0","88,149.0","83,316.0","81,970.0","94,286.0","103,503.0","107,509.0","121,691.0","136,506.0","122,288.0","139,753.0","153,625.0","164,087.0","175,483.0","179,879.0"
"129","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","9,443.0","10,474.0","11,704.0","12,814.0","13,755.0","15,497.0","17,013.0","18,982.0","20,635.0","23,018.0","26,120.0","30,033.0","34,140.0","37,964.0","40,756.0","45,383.0","47,907.0","52,610.0","55,697.0","63,293.0","68,037.0","75,861.0","80,127.0","87,934.0","90,065.0","97,762.0","102,328.0","110,044.0","105,588.0","123,807.0","138,229.0","158,041.0","179,082.0","198,342.0","205,512.0","206,372.0","210,268.0","239,185.0","248,780.0","282,144.0","276,017.0","275,350.0","274,999.0","292,870.0","303,913.0","322,346.0"
"130","112","    Gross output of nonprofit institutions (133) \2\","DNPERC1","34,009.0","38,091.0","42,770.0","47,353.0","51,832.0","58,803.0","67,193.0","76,310.0","85,160.0","96,659.0","109,356.0","126,100.0","145,650.0","163,805.0","179,216.0","194,432.0","209,278.0","227,298.0","246,863.0","275,519.0","301,238.0","334,437.0","362,892.0","396,390.0","418,746.0","440,076.0","458,544.0","483,135.0","502,624.0","542,521.0","576,319.0","621,641.0","676,441.0","737,060.0","774,643.0","818,994.0","868,456.0","932,226.0","983,141.0","1,040,912.0","1,072,564.0","1,105,893.0","1,139,563.0","1,192,997.0","1,233,214.0","1,278,344.0"
"131","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRC1","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,314.0","356,216.0","373,091.0","397,036.0","418,714.0","438,090.0","463,600.0","497,359.0","538,718.0","569,131.0","612,622.0","658,188.0","693,041.0","734,361.0","758,768.0","796,547.0","830,543.0","864,564.0","900,127.0","929,301.0","955,998.0"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","2. Gross output is net of unrelated sales, secondary sales, and sales to business, government, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","3. Excludes unrelated sales, secondary sales, and sales to business, government, and the rest of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Note.The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
