"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"61","42","            Commodity Credit Corporation inventory change","B826RC1","264.0","676.0","1,724.0","176.0","-180.0","-228.0","-376.0","-840.0","-1,344.0","-584.0","412.0","132.0","-20.0","-140.0","-772.0","-572.0","-824.0","-1,284.0","-408.0","-140.0","-152.0","-2,208.0","96.0","88.0","424.0","708.0","132.0","-172.0","660.0","332.0","-300.0","-12.0","208.0","364.0","600.0","596.0","-228.0","-200.0","-72.0","644.0","0.0","-348.0","-80.0","368.0","220.0","4,096.0","856.0","720.0","932.0","1,404.0","360.0","872.0","1,680.0","1,772.0","1,528.0","1,664.0","2,396.0","3,620.0","11,104.0","-7,092.0","-7,212.0","-28.0","1,032.0","-1,176.0","676.0","1,932.0","2,052.0","4,320.0","3,044.0","5,144.0","7,884.0","9,488.0","3,524.0","248.0","-6,228.0","1,648.0","-6,844.0","-8,632.0","-8,148.0","-4,652.0","-2,800.0","340.0","136.0","-912.0","-2,192.0","-2,900.0","-740.0","-168.0","2,216.0","1,100.0","-524.0","-1,972.0","-1,524.0","-540.0","-460.0","-4.0","-36.0","-256.0","-44.0","-496.0","-368.0","-200.0","-968.0","-304.0","352.0","-884.0","-112.0","-136.0","-84.0","-424.0","-404.0","-216.0","8.0","-128.0","-120.0","24.0","80.0","196.0","292.0","64.0","76.0","300.0","212.0","-88.0","652.0","628.0","812.0","1,132.0","724.0","2,668.0","-52.0","-32.0","-32.0","628.0","164.0","-200.0","-320.0","284.0","-248.0","-240.0","-1,252.0","-620.0","-1,764.0","-340.0","1,416.0","-2,848.0","-780.0","80.0","-296.0","56.0","-4.0","12.0","-60.0","-128.0","0.0","-48.0","-24.0","-1,452.0","32.0","420.0","240.0","136.0","52.0","84.0","-348.0","-244.0","-56.0","-48.0","24.0","100.0","-60.0","-40.0","92.0","-152.0","88.0","140.0","60.0","60.0","-40.0","-4.0","-4.0","-512.0","-512.0"
"62","43","            Other nondurable goods","B828RC1","892.0","688.0","572.0","692.0","924.0","916.0","880.0","1,048.0","1,128.0","1,352.0","1,240.0","1,132.0","1,440.0","1,504.0","1,660.0","1,580.0","1,640.0","1,736.0","1,620.0","1,544.0","1,828.0","1,776.0","1,996.0","2,144.0","1,800.0","1,756.0","1,828.0","2,084.0","1,820.0","2,036.0","2,140.0","1,824.0","1,896.0","1,908.0","1,956.0","2,440.0","2,612.0","3,132.0","3,276.0","3,472.0","3,520.0","3,352.0","3,108.0","3,416.0","3,428.0","3,564.0","3,524.0","5,512.0","6,180.0","8,864.0","8,520.0","7,856.0","6,236.0","5,408.0","5,484.0","6,396.0","7,072.0","7,612.0","8,480.0","7,056.0","7,108.0","7,896.0","6,924.0","8,776.0","7,172.0","7,848.0","6,748.0","4,840.0","5,620.0","5,452.0","5,260.0","4,880.0","6,136.0","7,092.0","6,648.0","5,572.0","7,416.0","7,264.0","5,188.0","5,324.0","6,340.0","5,612.0","6,032.0","5,840.0","6,412.0","7,116.0","6,360.0","6,144.0","5,804.0","5,204.0","5,840.0","6,012.0","6,660.0","7,116.0","7,396.0","7,288.0","8,120.0","7,872.0","7,692.0","7,528.0","6,704.0","6,772.0","6,208.0","6,720.0","7,816.0","7,732.0","7,724.0","7,456.0","6,776.0","6,752.0","6,896.0","7,164.0","8,248.0","8,576.0","8,748.0","8,688.0","9,356.0","9,200.0","9,088.0","9,260.0","6,836.0","6,992.0","7,140.0","7,268.0","7,920.0","8,068.0","8,844.0","9,320.0","10,460.0","10,988.0","11,768.0","12,276.0","11,660.0","12,668.0","12,744.0","13,188.0","14,112.0","15,236.0","16,544.0","16,876.0","18,060.0","17,808.0","17,912.0","19,152.0","19,680.0","19,320.0","19,380.0","20,008.0","21,332.0","20,224.0","20,204.0","19,100.0","18,752.0","19,756.0","20,280.0","21,592.0","22,700.0","25,104.0","24,204.0","23,916.0","26,084.0","27,328.0","25,760.0","25,968.0","28,024.0","28,800.0","29,060.0","28,440.0","25,124.0","24,404.0","24,124.0","24,364.0","23,668.0","24,256.0","23,864.0","25,172.0","23,408.0","22,300.0","21,728.0","21,700.0","21,416.0","21,396.0","21,584.0"
"63","44","          Services","A544RC1","2,548.0","2,724.0","2,300.0","2,724.0","2,984.0","3,692.0","3,716.0","4,096.0","3,856.0","4,648.0","4,756.0","4,196.0","5,360.0","5,700.0","6,148.0","5,936.0","6,016.0","6,336.0","5,628.0","5,052.0","6,072.0","6,132.0","6,884.0","7,716.0","7,072.0","7,440.0","7,824.0","8,100.0","7,000.0","7,064.0","7,452.0","6,832.0","7,368.0","7,668.0","7,936.0","8,336.0","8,100.0","8,692.0","8,164.0","8,604.0","9,132.0","9,616.0","9,832.0","11,268.0","10,904.0","11,908.0","11,768.0","10,272.0","10,652.0","10,468.0","10,684.0","10,372.0","10,456.0","8,884.0","10,364.0","12,956.0","14,388.0","12,848.0","12,372.0","12,836.0","13,656.0","13,660.0","13,588.0","14,500.0","15,596.0","15,348.0","16,536.0","15,140.0","15,704.0","15,516.0","15,980.0","17,056.0","17,752.0","17,416.0","19,684.0","18,424.0","17,524.0","17,620.0","18,028.0","17,744.0","17,036.0","17,968.0","18,144.0","19,532.0","21,288.0","22,332.0","22,912.0","22,112.0","21,324.0","20,764.0","23,312.0","23,820.0","26,440.0","24,540.0","26,040.0","26,696.0","22,428.0","22,528.0","22,536.0","24,136.0","26,664.0","27,168.0","27,432.0","29,340.0","27,480.0","27,516.0","27,372.0","26,636.0","25,828.0","25,444.0","25,764.0","26,800.0","27,432.0","28,448.0","28,920.0","28,756.0","26,924.0","26,368.0","25,908.0","25,480.0","26,452.0","26,476.0","26,900.0","27,680.0","27,764.0","28,560.0","29,492.0","30,320.0","31,220.0","33,352.0","35,596.0","38,160.0","41,688.0","44,044.0","45,976.0","47,620.0","46,900.0","47,888.0","48,960.0","50,284.0","52,072.0","53,232.0","54,424.0","56,468.0","56,216.0","56,796.0","59,648.0","62,428.0","67,136.0","63,276.0","65,664.0","61,256.0","60,296.0","61,832.0","63,084.0","65,388.0","68,632.0","71,684.0","74,312.0","76,828.0","78,888.0","80,624.0","82,284.0","83,924.0","91,688.0","94,996.0","95,260.0","92,792.0","88,908.0","85,636.0","84,248.0","84,164.0","87,736.0","88,612.0","88,428.0","87,228.0","83,236.0","80,884.0","79,116.0","78,788.0","78,016.0","78,268.0","77,120.0"
"64","45","      Less: Own-account investment \4\","W136RC1","2,024.0","2,084.0","2,132.0","2,152.0","2,196.0","2,248.0","2,296.0","2,332.0","2,396.0","2,420.0","2,472.0","2,488.0","2,580.0","2,528.0","2,528.0","2,596.0","2,608.0","2,612.0","2,672.0","2,728.0","2,656.0","2,828.0","2,880.0","2,984.0","2,960.0","3,032.0","3,136.0","3,204.0","3,164.0","3,256.0","3,288.0","3,312.0","3,256.0","3,296.0","3,412.0","3,432.0","3,524.0","3,640.0","3,788.0","3,824.0","3,856.0","3,968.0","4,124.0","4,236.0","4,336.0","4,476.0","4,584.0","4,656.0","4,708.0","4,792.0","4,840.0","4,900.0","4,908.0","4,944.0","4,996.0","4,996.0","5,060.0","5,088.0","5,172.0","5,172.0","5,216.0","5,268.0","5,376.0","5,480.0","5,568.0","5,656.0","5,700.0","5,748.0","5,800.0","5,920.0","6,004.0","6,100.0","6,212.0","6,340.0","6,412.0","6,540.0","6,604.0","6,760.0","6,948.0","7,040.0","7,156.0","7,328.0","7,644.0","7,820.0","8,024.0","8,352.0","8,328.0","8,448.0","8,684.0","8,956.0","9,120.0","9,268.0","9,428.0","9,412.0","9,504.0","9,512.0","9,800.0","10,036.0","10,252.0","10,252.0","10,224.0","10,280.0","10,540.0","10,448.0","10,672.0","10,576.0","10,796.0","10,448.0","10,464.0","10,548.0","10,748.0","10,548.0","10,880.0","10,732.0","10,544.0","10,288.0","10,852.0","11,200.0","11,088.0","10,492.0","10,052.0","11,404.0","11,480.0","11,256.0","10,860.0","11,100.0","11,380.0","11,516.0","12,068.0","12,472.0","12,396.0","12,292.0","12,424.0","12,564.0","12,888.0","12,892.0","13,048.0","13,280.0","13,316.0","13,588.0","13,496.0","13,620.0","13,816.0","13,772.0","14,044.0","14,196.0","14,340.0","14,312.0","14,296.0","14,316.0","14,388.0","14,312.0","14,212.0","14,208.0","14,288.0","14,208.0","14,420.0","14,532.0","14,796.0","15,036.0","15,148.0","15,200.0","15,496.0","15,640.0","15,660.0","15,612.0","15,792.0","15,684.0","15,668.0","15,624.0","15,496.0","15,372.0","15,324.0","15,328.0","15,304.0","15,112.0","14,896.0","14,692.0","14,488.0","14,184.0","13,864.0","13,724.0","13,676.0"
"65","46","      Less: Sales to other sectors","W137RC1","720.0","800.0","788.0","768.0","752.0","692.0","608.0","740.0","684.0","776.0","776.0","868.0","1,084.0","1,116.0","1,144.0","1,344.0","1,312.0","1,392.0","1,092.0","1,288.0","1,520.0","1,488.0","1,180.0","1,272.0","1,204.0","1,376.0","1,284.0","1,420.0","1,324.0","2,152.0","2,464.0","1,224.0","2,252.0","2,320.0","3,052.0","2,376.0","2,580.0","3,056.0","3,528.0","3,244.0","3,364.0","3,592.0","3,708.0","5,200.0","3,704.0","4,324.0","4,408.0","3,852.0","3,608.0","3,824.0","4,352.0","3,332.0","3,352.0","3,248.0","3,664.0","3,136.0","3,300.0","3,212.0","4,352.0","4,156.0","3,664.0","3,892.0","3,864.0","3,736.0","3,912.0","3,668.0","3,768.0","3,972.0","3,824.0","3,660.0","3,340.0","3,828.0","4,000.0","3,992.0","4,276.0","4,520.0","4,560.0","4,924.0","4,880.0","4,404.0","4,720.0","5,384.0","5,396.0","4,632.0","4,796.0","4,132.0","4,788.0","5,592.0","6,324.0","4,068.0","6,400.0","5,616.0","5,676.0","4,476.0","5,392.0","3,608.0","4,588.0","4,792.0","3,824.0","3,512.0","4,280.0","6,184.0","3,860.0","3,932.0","4,448.0","3,828.0","3,928.0","5,332.0","4,008.0","4,248.0","5,352.0","4,608.0","3,456.0","3,172.0","2,636.0","3,128.0","2,780.0","2,484.0","9,484.0","2,344.0","2,792.0","3,580.0","2,816.0","2,768.0","3,616.0","4,012.0","3,720.0","7,104.0","2,532.0","2,792.0","2,788.0","3,860.0","3,644.0","2,380.0","2,296.0","2,400.0","2,456.0","3,676.0","3,084.0","3,012.0","2,788.0","2,840.0","4,012.0","4,656.0","5,816.0","3,912.0","6,168.0","7,248.0","4,584.0","4,564.0","4,640.0","3,884.0","3,536.0","4,408.0","4,244.0","4,132.0","4,252.0","4,368.0","7,048.0","4,384.0","5,132.0","5,716.0","5,940.0","6,144.0","6,456.0","7,788.0","8,308.0","5,652.0","4,552.0","5,964.0","19,368.0","6,484.0","5,380.0","6,636.0","4,836.0","4,408.0","4,740.0","4,860.0","4,828.0","4,580.0","4,704.0","7,340.0","6,012.0"
"66","47","State and local consumption expenditures \1\","A991RC1","76,435.0","79,045.0","81,770.0","84,502.0","87,769.0","90,533.0","93,622.0","96,519.0","100,076.0","102,971.0","105,824.0","107,973.0","111,429.0","114,010.0","116,911.0","119,178.0","122,008.0","125,085.0","128,287.0","131,865.0","136,591.0","141,640.0","147,068.0","152,643.0","158,774.0","164,451.0","168,387.0","170,846.0","173,169.0","175,631.0","178,248.0","181,672.0","186,285.0","190,449.0","195,343.0","199,943.0","204,039.0","207,348.0","211,811.0","216,225.0","222,300.0","225,415.0","232,274.0","237,804.0","244,134.0","250,182.0","255,751.0","261,068.0","268,422.0","273,817.0","278,632.0","283,484.0","289,547.0","295,209.0","299,726.0","305,173.0","310,912.0","314,917.0","318,822.0","322,252.0","329,728.0","336,168.0","343,492.0","350,454.0","359,208.0","367,043.0","376,503.0","384,473.0","390,439.0","395,236.0","401,943.0","411,941.0","418,286.0","425,302.0","430,773.0","439,030.0","446,906.0","454,760.0","461,982.0","472,102.0","484,917.0","496,411.0","506,070.0","517,903.0","530,697.0","539,139.0","551,002.0","563,879.0","569,276.0","575,224.0","583,374.0","592,646.0","603,497.0","615,395.0","625,533.0","631,744.0","638,421.0","643,442.0","649,060.0","654,980.0","667,411.0","677,249.0","687,838.0","696,449.0","705,595.0","714,630.0","720,367.0","726,700.0","734,694.0","744,197.0","751,542.0","761,889.0","771,236.0","778,864.0","789,741.0","803,881.0","814,644.0","828,200.0","842,934.0","856,942.0","873,285.0","892,704.0","912,194.0","929,823.0","945,646.0","959,951.0","975,716.0","995,153.0","1,016,500.0","1,034,044.0","1,049,614.0","1,058,802.0","1,071,404.0","1,086,613.0","1,098,154.0","1,107,979.0","1,122,191.0","1,120,709.0","1,127,640.0","1,138,014.0","1,158,934.0","1,178,240.0","1,195,749.0","1,217,353.0","1,229,501.0","1,243,340.0","1,265,956.0","1,287,631.0","1,295,870.0","1,316,666.0","1,336,433.0","1,354,656.0","1,384,800.0","1,402,663.0","1,417,923.0","1,440,098.0","1,462,370.0","1,484,952.0","1,512,165.0","1,495,484.0","1,487,857.0","1,503,403.0","1,515,191.0","1,526,988.0","1,521,197.0","1,521,049.0","1,515,406.0","1,515,566.0","1,515,612.0","1,529,592.0","1,530,360.0","1,523,637.0","1,539,688.0","1,536,960.0","1,545,439.0","1,562,397.0","1,573,311.0","1,579,749.0","1,590,240.0","1,594,877.0","1,607,378.0","1,616,576.0","1,628,636.0"
"67","48","      Gross output of general government","W138RC1","89,686.0","92,593.0","95,669.0","98,720.0","102,327.0","105,475.0","109,095.0","112,379.0","116,517.0","119,923.0","123,158.0","125,849.0","129,701.0","132,836.0","136,134.0","139,035.0","142,357.0","145,898.0","149,604.0","153,769.0","159,067.0","164,726.0","170,679.0","176,663.0","183,494.0","189,607.0","194,328.0","197,567.0","200,410.0","203,845.0","207,365.0","211,280.0","216,435.0","221,449.0","227,135.0","232,433.0","237,302.0","242,128.0","248,067.0","254,108.0","261,109.0","265,699.0","273,806.0","280,652.0","288,115.0","295,212.0","302,424.0","309,722.0","318,779.0","325,659.0","332,290.0","339,143.0","346,655.0","353,880.0","359,997.0","367,134.0","374,545.0","380,353.0","386,062.0","390,837.0","399,182.0","406,948.0","415,903.0","424,598.0","435,151.0","444,954.0","455,950.0","465,963.0","473,699.0","480,492.0","489,183.0","500,871.0","508,574.0","517,370.0","524,612.0","534,490.0","544,632.0","555,163.0","564,756.0","577,568.0","593,731.0","608,244.0","620,804.0","635,590.0","651,044.0","661,956.0","677,022.0","693,349.0","702,383.0","711,469.0","723,147.0","736,387.0","751,089.0","766,429.0","780,020.0","790,054.0","801,097.0","809,365.0","817,938.0","826,740.0","841,742.0","854,178.0","868,358.0","880,225.0","893,352.0","905,248.0","913,242.0","922,376.0","932,252.0","943,705.0","953,177.0","966,530.0","980,066.0","990,295.0","1,003,740.0","1,020,861.0","1,033,552.0","1,050,002.0","1,067,242.0","1,083,848.0","1,103,507.0","1,125,879.0","1,148,258.0","1,170,931.0","1,193,086.0","1,211,124.0","1,232,822.0","1,257,692.0","1,286,330.0","1,308,995.0","1,328,408.0","1,341,456.0","1,357,077.0","1,375,258.0","1,390,642.0","1,404,158.0","1,421,796.0","1,423,653.0","1,434,953.0","1,449,747.0","1,475,455.0","1,499,515.0","1,520,108.0","1,545,132.0","1,561,596.0","1,579,166.0","1,604,792.0","1,631,036.0","1,648,217.0","1,674,294.0","1,698,949.0","1,718,664.0","1,754,360.0","1,777,253.0","1,797,005.0","1,823,351.0","1,848,059.0","1,873,981.0","1,905,275.0","1,891,588.0","1,886,702.0","1,906,472.0","1,922,787.0","1,939,648.0","1,937,887.0","1,943,304.0","1,941,900.0","1,946,130.0","1,946,946.0","1,964,575.0","1,969,761.0","1,965,973.0","1,984,738.0","1,986,223.0","1,999,108.0","2,020,220.0","2,037,122.0","2,047,047.0","2,060,467.0","2,067,775.0","2,082,721.0","2,096,840.0","2,111,560.0"
"68","49","        Value added","W139RC1","69,134.0","71,238.0","73,472.0","75,682.0","78,332.0","80,874.0","83,263.0","85,493.0","88,658.0","91,132.0","93,582.0","95,503.0","98,573.0","101,103.0","103,797.0","106,063.0","108,769.0","111,435.0","113,877.0","116,367.0","119,677.0","123,224.0","127,066.0","130,955.0","135,356.0","139,708.0","142,876.0","144,940.0","147,275.0","149,582.0","151,787.0","154,366.0","157,824.0","161,262.0","165,499.0","169,508.0","173,258.0","176,306.0","180,725.0","184,899.0","190,400.0","192,930.0","198,723.0","203,703.0","208,893.0","214,505.0","220,127.0","225,603.0","231,318.0","235,612.0","239,778.0","244,604.0","250,123.0","254,916.0","258,825.0","263,723.0","268,351.0","272,603.0","275,927.0","278,847.0","284,464.0","289,840.0","296,360.0","302,511.0","309,306.0","315,273.0","323,269.0","328,676.0","333,900.0","340,284.0","347,047.0","356,415.0","362,295.0","368,607.0","372,991.0","380,976.0","389,321.0","396,548.0","403,330.0","413,831.0","423,426.0","433,218.0","444,076.0","454,631.0","465,897.0","475,642.0","485,891.0","493,867.0","501,551.0","509,279.0","517,016.0","526,761.0","538,740.0","549,458.0","558,535.0","565,143.0","571,046.0","576,714.0","583,336.0","589,011.0","597,343.0","606,144.0","614,327.0","621,601.0","629,058.0","635,537.0","640,978.0","647,318.0","653,095.0","659,833.0","666,496.0","674,116.0","682,036.0","689,978.0","698,597.0","708,133.0","716,692.0","726,673.0","737,619.0","748,183.0","759,810.0","772,739.0","786,821.0","800,823.0","813,052.0","825,216.0","837,651.0","851,314.0","867,513.0","883,961.0","900,352.0","913,314.0","921,805.0","932,243.0","943,824.0","953,321.0","965,263.0","976,285.0","986,402.0","998,862.0","1,015,379.0","1,032,075.0","1,045,241.0","1,058,908.0","1,069,499.0","1,080,312.0","1,093,038.0","1,104,417.0","1,117,579.0","1,133,064.0","1,151,308.0","1,169,362.0","1,189,902.0","1,201,333.0","1,216,027.0","1,233,512.0","1,252,444.0","1,264,856.0","1,280,955.0","1,294,403.0","1,294,222.0","1,302,740.0","1,306,833.0","1,312,165.0","1,321,029.0","1,333,703.0","1,336,685.0","1,337,872.0","1,338,367.0","1,345,953.0","1,346,839.0","1,340,875.0","1,353,005.0","1,353,985.0","1,360,109.0","1,371,278.0","1,379,572.0","1,387,552.0","1,394,233.0","1,398,723.0","1,406,018.0","1,414,589.0","1,423,044.0"
"69","50","          Compensation of general government employees","B251RC1","61,729.0","63,553.0","65,630.0","67,562.0","69,959.0","72,198.0","74,304.0","76,187.0","79,114.0","81,366.0","83,649.0","85,346.0","88,215.0","90,581.0","93,032.0","95,013.0","97,415.0","99,745.0","101,852.0","103,876.0","106,409.0","108,933.0","111,771.0","114,906.0","118,907.0","123,102.0","126,137.0","127,998.0","130,104.0","132,201.0","134,298.0","136,699.0","139,808.0","142,979.0","146,932.0","150,624.0","154,034.0","156,657.0","160,631.0","164,346.0","169,263.0","171,085.0","176,132.0","180,325.0","184,647.0","189,331.0","193,955.0","198,452.0","203,185.0","206,594.0","210,018.0","214,025.0","218,835.0","222,994.0","226,444.0","231,067.0","235,506.0","239,671.0","242,819.0","245,525.0","250,871.0","255,938.0","262,103.0","267,909.0","274,180.0","279,647.0","287,080.0","291,875.0","296,503.0","302,126.0","308,111.0","316,578.0","321,744.0","327,301.0","330,952.0","338,286.0","345,847.0","352,465.0","358,529.0","368,280.0","377,052.0","385,956.0","395,962.0","405,549.0","415,794.0","424,540.0","433,666.0","440,732.0","447,582.0","454,443.0","461,510.0","470,655.0","482,146.0","492,106.0","500,593.0","506,440.0","511,410.0","516,243.0","522,130.0","527,067.0","534,481.0","542,434.0","549,478.0","555,724.0","561,946.0","567,383.0","571,916.0","577,323.0","582,221.0","588,328.0","594,083.0","600,863.0","607,726.0","614,720.0","622,581.0","630,866.0","638,596.0","647,660.0","657,256.0","666,577.0","677,075.0","688,471.0","701,268.0","713,640.0","724,232.0","734,486.0","745,317.0","757,566.0","772,331.0","787,618.0","802,958.0","814,708.0","822,067.0","831,289.0","841,816.0","850,395.0","861,240.0","871,520.0","880,814.0","892,512.0","907,889.0","922,333.0","932,190.0","942,771.0","951,762.0","959,941.0","969,501.0","978,675.0","990,483.0","1,002,665.0","1,018,457.0","1,032,792.0","1,048,970.0","1,057,871.0","1,070,194.0","1,084,955.0","1,101,252.0","1,111,202.0","1,124,280.0","1,133,968.0","1,131,750.0","1,140,439.0","1,145,156.0","1,150,152.0","1,157,857.0","1,169,262.0","1,171,261.0","1,171,257.0","1,170,116.0","1,175,487.0","1,174,013.0","1,166,039.0","1,176,329.0","1,175,491.0","1,180,324.0","1,190,812.0","1,198,029.0","1,204,799.0","1,209,965.0","1,212,778.0","1,218,809.0","1,226,215.0","1,233,413.0"
"70","51","          Consumption of general government fixed capital \2\","B986RC1","7,405.0","7,685.0","7,842.0","8,120.0","8,374.0","8,676.0","8,959.0","9,306.0","9,545.0","9,766.0","9,933.0","10,157.0","10,358.0","10,522.0","10,765.0","11,050.0","11,354.0","11,690.0","12,025.0","12,491.0","13,268.0","14,291.0","15,296.0","16,049.0","16,449.0","16,606.0","16,739.0","16,942.0","17,171.0","17,381.0","17,490.0","17,667.0","18,016.0","18,283.0","18,567.0","18,883.0","19,224.0","19,649.0","20,094.0","20,552.0","21,137.0","21,845.0","22,590.0","23,378.0","24,246.0","25,174.0","26,173.0","27,151.0","28,133.0","29,018.0","29,760.0","30,579.0","31,287.0","31,922.0","32,381.0","32,655.0","32,845.0","32,932.0","33,107.0","33,321.0","33,593.0","33,902.0","34,257.0","34,602.0","35,127.0","35,626.0","36,190.0","36,801.0","37,396.0","38,158.0","38,936.0","39,837.0","40,551.0","41,307.0","42,039.0","42,691.0","43,474.0","44,083.0","44,801.0","45,551.0","46,374.0","47,261.0","48,114.0","49,083.0","50,104.0","51,102.0","52,225.0","53,135.0","53,969.0","54,836.0","55,506.0","56,107.0","56,594.0","57,353.0","57,941.0","58,704.0","59,635.0","60,471.0","61,206.0","61,944.0","62,862.0","63,710.0","64,848.0","65,877.0","67,112.0","68,153.0","69,062.0","69,995.0","70,874.0","71,505.0","72,412.0","73,253.0","74,310.0","75,258.0","76,016.0","77,266.0","78,097.0","79,013.0","80,364.0","81,606.0","82,736.0","84,268.0","85,553.0","87,183.0","88,819.0","90,730.0","92,334.0","93,748.0","95,182.0","96,343.0","97,394.0","98,606.0","99,739.0","100,954.0","102,008.0","102,925.0","104,022.0","104,765.0","105,588.0","106,350.0","107,490.0","109,742.0","113,052.0","116,137.0","117,738.0","120,371.0","123,538.0","125,742.0","127,096.0","130,399.0","132,850.0","136,570.0","140,932.0","143,462.0","145,834.0","148,557.0","151,193.0","153,654.0","156,675.0","160,434.0","162,472.0","162,301.0","161,677.0","162,013.0","163,172.0","164,441.0","165,424.0","166,615.0","168,251.0","170,466.0","172,826.0","174,836.0","176,676.0","178,493.0","179,785.0","180,466.0","181,543.0","182,754.0","184,268.0","185,945.0","187,209.0","188,374.0","189,631.0"
"71","52","        Intermediate goods and services purchased \3\","W140RC1","20,552.0","21,355.0","22,197.0","23,038.0","23,994.0","24,602.0","25,832.0","26,886.0","27,858.0","28,791.0","29,575.0","30,346.0","31,128.0","31,733.0","32,336.0","32,972.0","33,588.0","34,463.0","35,727.0","37,402.0","39,391.0","41,502.0","43,613.0","45,708.0","48,138.0","49,899.0","51,452.0","52,627.0","53,135.0","54,264.0","55,578.0","56,914.0","58,612.0","60,187.0","61,636.0","62,926.0","64,044.0","65,822.0","67,342.0","69,209.0","70,709.0","72,769.0","75,083.0","76,949.0","79,222.0","80,707.0","82,297.0","84,118.0","87,461.0","90,047.0","92,512.0","94,539.0","96,533.0","98,964.0","101,173.0","103,412.0","106,194.0","107,750.0","110,135.0","111,991.0","114,717.0","117,108.0","119,543.0","122,086.0","125,845.0","129,681.0","132,681.0","137,287.0","139,799.0","140,208.0","142,136.0","144,456.0","146,280.0","148,763.0","151,622.0","153,514.0","155,311.0","158,615.0","161,426.0","163,737.0","170,305.0","175,026.0","176,729.0","180,959.0","185,147.0","186,314.0","191,130.0","199,482.0","200,832.0","202,190.0","206,131.0","209,626.0","212,349.0","216,971.0","221,485.0","224,911.0","230,051.0","232,651.0","234,602.0","237,729.0","244,399.0","248,033.0","254,031.0","258,624.0","264,294.0","269,711.0","272,264.0","275,058.0","279,157.0","283,873.0","286,681.0","292,413.0","298,029.0","300,317.0","305,143.0","312,728.0","316,860.0","323,329.0","329,623.0","335,665.0","343,696.0","353,140.0","361,437.0","370,108.0","380,034.0","385,908.0","395,171.0","406,378.0","418,818.0","425,034.0","428,056.0","428,142.0","435,272.0","443,015.0","446,818.0","450,837.0","456,533.0","447,369.0","448,551.0","450,884.0","460,076.0","467,440.0","474,866.0","486,224.0","492,097.0","498,854.0","511,753.0","526,618.0","530,638.0","541,229.0","547,642.0","549,302.0","564,458.0","575,920.0","580,978.0","589,839.0","595,615.0","609,124.0","624,320.0","597,185.0","592,480.0","603,732.0","615,954.0","627,483.0","616,859.0","609,601.0","605,215.0","608,258.0","608,579.0","618,622.0","622,922.0","625,099.0","631,733.0","632,239.0","638,998.0","648,942.0","657,549.0","659,495.0","666,234.0","669,052.0","676,703.0","682,250.0","688,517.0"
