"","Table 2#5#5# Personal Consumption Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"128","110","      Life insurance \18\","DLIFRC1","870.0","897.0","879.0","849.0","843.0","870.0","969.0","976.0","1,019.0","996.0","1,008.0","1,023.0","1,034.0","1,019.0","1,069.0","1,101.0","1,087.0","1,174.0","1,410.0","1,532.0","1,596.0","1,753.0","1,907.0","1,958.0","2,099.0","2,208.0","2,430.0","2,788.0","3,032.0","3,222.0","3,153.0","3,553.0","3,712.0","3,887.0","4,128.0","4,631.0","5,145.0","5,318.0","5,362.0","5,885.0","6,258.0"
"129","111","      Net household insurance \19\","DFINRC1","20.0","19.0","18.0","16.0","15.0","16.0","17.0","19.0","21.0","21.0","22.0","23.0","26.0","30.0","36.0","43.0","49.0","51.0","57.0","62.0","63.0","68.0","76.0","82.0","89.0","94.0","101.0","109.0","115.0","121.0","142.0","166.0","185.0","201.0","212.0","222.0","227.0","227.0","252.0","274.0","300.0"
"130","112","      Net health insurance","DHINRC1","175.0","177.0","147.0","112.0","107.0","132.0","150.0","178.0","214.0","225.0","249.0","268.0","326.0","396.0","464.0","497.0","547.0","601.0","707.0","778.0","783.0","847.0","871.0","984.0","1,199.0","1,312.0","1,366.0","1,348.0","1,526.0","1,525.0","1,654.0","1,764.0","1,963.0","2,143.0","2,171.0","2,372.0","2,621.0","2,897.0","2,939.0","3,821.0","4,105.0"
"131","113","        Medical care and hospitalization \20\","DMINRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","699.0","793.0","924.0","1,032.0","1,069.0","1,174.0","1,306.0","1,383.0","1,296.0","1,953.0","1,918.0"
"132","114","        Income loss \21\","DIINRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","536.0","531.0","579.0","606.0","580.0","623.0","687.0","792.0","860.0","986.0","1,181.0"
"133","115","        Workers' compensation \22\","DPWCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","419.0","440.0","460.0","505.0","522.0","575.0","628.0","722.0","783.0","882.0","1,006.0"
"134","116","      Net motor vehicle and other transportation insurance \23\","DTINRC1","113.0","116.0","116.0","110.0","115.0","118.0","129.0","138.0","153.0","155.0","174.0","188.0","209.0","204.0","180.0","188.0","208.0","272.0","325.0","408.0","499.0","586.0","996.0","1,131.0","1,287.0","1,390.0","1,495.0","1,578.0","1,649.0","1,727.0","1,882.0","2,013.0","2,095.0","2,185.0","2,317.0","2,467.0","2,619.0","2,908.0","3,201.0","3,453.0","3,711.0"
"135","117","  Other goods and services","DOISRC1","5,449.0","4,926.0","4,522.0","3,799.0","3,365.0","3,772.0","3,997.0","4,315.0","4,790.0","4,765.0","4,995.0","5,276.0","5,965.0","6,822.0","7,951.0","8,500.0","9,278.0","10,334.0","11,112.0","11,678.0","11,768.0","12,217.0","13,258.0","14,260.0","15,017.0","15,430.0","16,310.0","17,471.0","18,782.0","19,877.0","21,394.0","22,434.0","23,721.0","24,859.0","26,165.0","27,833.0","30,158.0","33,313.0","35,768.0","38,609.0","41,000.0"
"136","118","    Personal care \24\","DPCRRC1","1,306.0","1,211.0","1,113.0","919.0","743.0","860.0","906.0","976.0","1,089.0","1,072.0","1,135.0","1,181.0","1,338.0","1,568.0","1,885.0","2,128.0","2,310.0","2,356.0","2,538.0","2,612.0","2,622.0","2,775.0","3,031.0","3,271.0","3,534.0","3,802.0","4,162.0","4,670.0","5,147.0","5,514.0","5,857.0","6,314.0","6,916.0","7,512.0","7,895.0","8,496.0","9,182.0","10,238.0","11,150.0","12,055.0","12,539.0"
"137","119","    Personal items \25\","DPEORC1","926.0","828.0","586.0","434.0","332.0","388.0","442.0","500.0","585.0","574.0","619.0","686.0","878.0","1,126.0","1,444.0","1,572.0","1,828.0","2,184.0","2,177.0","2,211.0","2,090.0","2,126.0","2,304.0","2,487.0","2,558.0","2,631.0","2,795.0","2,910.0","2,925.0","2,961.0","3,090.0","3,097.0","3,127.0","3,319.0","3,491.0","3,889.0","4,304.0","5,006.0","5,368.0","5,997.0","6,445.0"
"138","120","    Social services and religious activities \26\","DSOCRC1","356.0","356.0","327.0","278.0","250.0","258.0","263.0","284.0","299.0","296.0","303.0","326.0","348.0","394.0","455.0","523.0","548.0","617.0","649.0","699.0","700.0","739.0","798.0","901.0","965.0","1,039.0","1,097.0","1,231.0","1,310.0","1,411.0","1,570.0","1,617.0","1,683.0","1,676.0","1,796.0","2,099.0","2,350.0","2,685.0","3,048.0","3,292.0","3,602.0"
"139","121","    Professional and other services","DPRSRC1","1,166.0","1,081.0","1,007.0","846.0","807.0","899.0","952.0","1,020.0","1,144.0","1,126.0","1,171.0","1,213.0","1,321.0","1,397.0","1,552.0","1,641.0","1,721.0","1,824.0","2,004.0","2,147.0","2,247.0","2,326.0","2,588.0","2,687.0","2,859.0","3,012.0","3,201.0","3,350.0","3,705.0","4,001.0","4,323.0","4,535.0","4,854.0","5,131.0","5,483.0","5,785.0","6,230.0","6,855.0","7,274.0","7,842.0","8,620.0"
"140","122","      Legal services","DGALRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,971.0","2,024.0","2,292.0","2,419.0","2,642.0","2,797.0","3,039.0","3,429.0","3,614.0","3,804.0","4,195.0"
"141","123","      Accounting and other business services \27\","DPRORC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","254.0","277.0","280.0","310.0","321.0","375.0","447.0","514.0","581.0","675.0","829.0"
"142","124","      Labor organization dues","DUNSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","650.0","695.0","710.0","735.0","757.0","809.0","852.0","912.0","989.0","1,063.0","1,177.0"
"143","125","      Professional association dues","DAXSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","37.0","43.0","44.0","49.0","53.0","63.0","83.0","98.0","124.0","151.0","178.0"
"144","126","      Funeral and burial services","DFUNRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,411.0","1,496.0","1,528.0","1,618.0","1,710.0","1,741.0","1,809.0","1,902.0","1,966.0","2,149.0","2,241.0"
"145","127","    Tobacco","DTOBRC1","1,695.0","1,450.0","1,489.0","1,322.0","1,233.0","1,367.0","1,434.0","1,535.0","1,673.0","1,697.0","1,767.0","1,870.0","2,080.0","2,337.0","2,615.0","2,636.0","2,871.0","3,353.0","3,744.0","4,009.0","4,109.0","4,251.0","4,537.0","4,914.0","5,101.0","4,946.0","5,055.0","5,310.0","5,695.0","5,990.0","6,554.0","6,871.0","7,141.0","7,221.0","7,500.0","7,564.0","8,092.0","8,529.0","8,928.0","9,423.0","9,794.0"
"146","128","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC1","511.0","499.0","367.0","285.0","206.0","207.0","217.0","264.0","310.0","261.0","209.0","87.0","120.0","159.0","276.0","638.0","1,192.0","-54.0","28.0","316.0","625.0","655.0","857.0","1,132.0","1,476.0","1,509.0","1,619.0","1,708.0","1,738.0","1,855.0","2,019.0","2,121.0","2,047.0","2,342.0","2,517.0","2,568.0","2,858.0","3,132.0","3,788.0","3,684.0","4,044.0"
"147","129","    Foreign travel by U.S. residents","DFTRRC1","632.0","611.0","445.0","334.0","258.0","276.0","303.0","368.0","433.0","379.0","333.0","172.0","189.0","128.0","143.0","175.0","267.0","450.0","597.0","727.0","850.0","920.0","924.0","1,044.0","1,174.0","1,263.0","1,456.0","1,624.0","1,738.0","1,900.0","2,111.0","2,313.0","2,340.0","2,583.0","2,840.0","2,988.0","3,346.0","3,606.0","4,249.0","4,200.0","4,717.0"
"148","130","    Less: Expenditures in the United States by nonresidents","DEXFRC1","142.0","132.0","98.0","69.0","70.0","85.0","106.0","122.0","140.0","135.0","144.0","105.0","94.0","122.0","140.0","169.0","203.0","360.0","418.0","399.0","451.0","481.0","568.0","637.0","703.0","735.0","830.0","920.0","997.0","1,046.0","1,051.0","1,110.0","1,149.0","1,146.0","1,204.0","1,403.0","1,560.0","1,765.0","1,840.0","2,012.0","2,327.0"
"149","131","    Net expenditures abroad by U.S. residents","DNFRRC1","21.0","20.0","20.0","20.0","18.0","16.0","20.0","18.0","17.0","17.0","20.0","20.0","25.0","153.0","273.0","632.0","1,128.0","-144.0","-151.0","-12.0","226.0","216.0","501.0","725.0","1,005.0","981.0","993.0","1,004.0","997.0","1,001.0","959.0","918.0","856.0","905.0","881.0","983.0","1,072.0","1,291.0","1,379.0","1,496.0","1,654.0"
"150","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRC1","1,279.0","1,290.0","1,207.0","1,037.0","912.0","907.0","903.0","942.0","960.0","982.0","995.0","1,060.0","1,118.0","1,264.0","1,479.0","1,665.0","1,732.0","1,971.0","2,113.0","2,302.0","2,329.0","2,438.0","2,598.0","2,892.0","3,026.0","3,231.0","3,379.0","3,795.0","4,027.0","4,333.0","4,864.0","5,059.0","5,246.0","5,479.0","5,769.0","6,433.0","6,962.0","7,455.0","8,049.0","8,793.0","9,443.0"
"151","133","  Gross output of nonprofit institutions \29\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,908.0","14,834.0","15,783.0","16,932.0","18,339.0","20,250.0","22,079.0","24,339.0","26,978.0","30,348.0","34,009.0"
"152","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,044.0","9,775.0","10,537.0","11,453.0","12,570.0","13,817.0","15,117.0","16,884.0","18,929.0","21,555.0","24,566.0"
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","7. Consists of dishes, flatware, and non-electric cookware and tableware.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","8. Consists of household supplies; domestic services; moving, storage and freight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","service; and other household service.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","9. Excludes drug preparations and related products dispensed by physicians, hospitals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","and other medical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","10. Consists of offices of physicians, health maintenance organization medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","centers, and freestanding ambulatory surgical and emergency centers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","11. Includes podiatrists, chiropractors, mental health practitioners (except physicians),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","physical, occupational and speech therapists, audiologists, all other health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","practitioners, ambulance services, kidney dialysis centers, and blood and organ bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","12. Consists of nonprofit hospitals, proprietary hospitals, and government hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Consists of primary sales of these hospitals for personal consumption.  Expenses of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","nonprofit hospitals are included in the expenditures of nonprofit institutions serving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","households (NPISHs).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","13. Includes railway transportation, taxicab services, school and employee services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","limousine services, and airport bus fares.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","14. Consists of tour operators' and travel agents' margins. Purchases of travel and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","accommodations included in tours are accounted for separately in other personal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","consumption expenditures categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","15. Consists of fees paid to business schools and computer and management training,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","technical and trade schools, other schools and instruction, and educational support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","16. Consists of purchases (including tips) of meals and beverages from retail, service,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","and amusement establishments, hotels, dining and buffet cars, schools, school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","fraternities, institutions, clubs, and industrial lunchrooms.  Includes meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","beverages consumed both on- and off-premises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","17. Consists of transient hotels, motels, other traveler accommodations, clubs, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","housing at schools.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","18. Consists of operating expenses of commercial life insurance carriers and fraternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","benefit life insurance.  For commercial life insurance carriers, excludes expenses for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","accident and health insurance and includes profits of stock companies and services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","furnished without payment by banks, credit agencies, and investment companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","19. Consists of premiums plus premium supplements less normal losses and dividends paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","to policyholders for insurance on personal property (except motor vehicles).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","20. Consists of premiums less benefits for health, hospitalization, and accidental death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","and dismemberment insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","21. Consists of premiums less benefits for income loss insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","22. Consists of premiums plus premium supplements less normal losses and dividends paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","to policyholders for privately administered workers' compensation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","23. Consists of premiums plus premium supplements less normal losses and dividends paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
