"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"217","209","        Admissions to specified spectator amusements","DADMRX0",28695,27938,29958,28387,31615,31091,30097,30569,31150,31264,32068,32460,31489,31160,31721,31254,31852,33588,38166,32439,31147,31559,31852,32685,31940,33505,33622,33035,33287,32770,33106,32361,33207,34066,33531,34469,36174,35202,34820,35068,34269,35886,36008,37427,36592,36813,36123,35845,35166,35214,35808,36407,35602,36723,36148,37196,38561,37204,37259,36889,35517,36790,37091,38283,38051,37089,40019,36722,36275,36657,37547,39088,40110,38667,36399,37772,37504,37995,38270,38273,32911,37148,38976,38215,39122,38180,39521,38879,39801,38875,38284,38855,39678,40166,40994,40522,39689,40107,39290,39681,40654,40058,39888,39995,40925,40946,39739,41067,39321,39085,42164,40986,40061,41538,40812,40252,39800,39560,40132,38722,39366,39600,39611,38075,38323,38765,38394,38969,39571,39580,40258,40059,40321,40329,39595,41619,40364,40405,41143,40663,40779,41168,40667,40533,40028,40017,41368,40361,41426,39697,41077,42363,41051,39989,39800,41606,41707,41311,40367,39542,41507,41970,41720,38922,39889,41013,40410,39747,41054,40986,38895,40606,39890,40056,38934,39308,39429,39497,39719,40008,39054,38174,39155,38955,37875,39273,39286,39089,39100
"218","210","          Motion picture theaters","DMOVRX0",8227,6551,7217,8436,9347,9153,8133,8101,8545,8517,8940,9252,8911,8452,8784,8321,8999,10591,8061,7207,7978,8391,8865,9464,8652,10152,10355,9497,9486,8599,8963,8366,9316,9293,8258,8731,10433,9671,9918,9469,8400,9834,9766,10663,10084,10309,9564,9295,9429,9000,9146,9955,9457,10524,10211,11233,12482,10644,10230,9273,9143,10120,10063,10903,11005,9911,12247,9643,9368,9606,9904,11941,12445,11003,8676,9960,9506,10125,10770,10991,9609,9722,11390,10564,11555,10493,11436,10676,11633,10399,9782,9789,10512,10953,11066,10773,10001,10461,9690,10101,11076,10486,10307,10389,11270,11250,10021,11266,9502,9205,12182,10952,9972,11364,10584,9968,9456,9821,10332,8911,9537,9762,9757,8210,8429,8831,8437,8985,9557,8803,9459,9224,9360,9243,8390,10297,8947,8886,9525,8953,8984,9296,8726,8524,8128,8189,9573,8558,9624,7884,9271,10558,9217,8119,7885,9649,9675,9231,8263,7444,9478,9989,9782,6987,8054,9300,8804,8273,9784,9884,7912,9824,9240,9552,8538,8990,9118,9131,9492,10116,9670,9100,10263,9378,7902,9140,9129,8901,8886
"219","211","          Live entertainment, excluding sports","DLIGRX0",10166,10016,11038,10318,10953,10518,10167,10358,10406,10439,10781,10879,10448,10617,10832,10743,10603,10669,11031,10666,10694,10634,10373,10504,10516,10486,10324,10526,10703,10996,10874,10643,10426,11193,11597,11943,11808,11519,10813,11434,11656,11764,11915,12389,12137,12131,12213,12241,11478,11991,12459,12256,11967,12002,11735,11720,11775,12241,12656,13198,11918,12127,12428,12706,12342,12468,12988,12337,12167,12308,12898,12401,12935,12984,13095,13171,13357,13217,12829,12587,12001,12596,12659,12622,12592,12648,12978,13031,12926,13167,13129,13619,13644,13618,14256,14012,13890,13782,13687,13603,13534,13477,13431,13399,13378,13369,13371,13384,13414,13442,13471,13502,13535,13566,13598,13631,13665,13700,13734,13743,13758,13767,13776,13784,13792,13796,13799,13800,13799,13796,13788,13780,13943,14088,14215,14324,14415,14487,14541,14576,14592,14588,14564,14523,14310,14143,14023,13953,13895,13851,13820,13807,13811,13833,13877,13943,14031,14095,14137,14156,14159,14146,14117,14072,14012,13934,13825,13685,13513,13361,13233,13126,13026,12935,12851,12795,12768,12769,12715,12604,12436,12330,12281,12290,12316,12335,12344,12354,12364
"220","212","          Spectator sports","DSPERX0",10250,11375,11687,9558,11256,11373,11784,12101,12184,12295,12322,12297,12107,12072,12075,12172,12224,12277,19226,14627,12472,12525,12604,12697,12767,12840,12917,12998,13084,13173,13266,13364,13468,13573,13682,13791,13905,14004,14090,14166,14229,14281,14318,14344,14355,14353,14336,14303,14260,14222,14193,14176,14169,14173,14187,14212,14246,14289,14343,14401,14472,14534,14587,14635,14672,14702,14724,14738,14743,14739,14726,14702,14669,14642,14625,14617,14616,14624,14641,14667,11257,14808,14897,15005,14947,15014,15078,15145,15213,15283,15352,15423,15495,15566,15638,15707,15777,15841,15903,15963,16020,16082,16142,16200,16253,16305,16352,16396,16412,16448,16483,16520,16556,16589,16622,16654,16687,16033,16058,16066,16068,16066,16073,16084,16104,16140,16159,16187,16219,16978,17013,17054,17019,16998,16988,16990,17006,17035,17078,17133,17203,17283,17376,17484,17588,17682,17767,17845,17906,17951,17982,18003,18016,18019,18019,18015,18007,17986,17955,17913,17880,17855,17839,17823,17806,17787,17774,17768,17767,17748,17714,17663,17613,17565,17518,17505,17526,17580,17504,17298,16954,16739,16639,17269,17589,17761,17774,17788,17803
"221","213","        Museums and libraries","DMUSRX0",3620,3717,3730,3780,3745,3767,3770,3773,3735,3730,3705,3664,3708,3654,3627,3602,3587,3568,3604,3598,3603,3643,3637,3624,3572,3566,3590,3592,3624,3633,3648,3622,3693,3713,3782,3800,3853,3857,3864,3878,3902,3975,4013,4037,4061,4081,4130,4179,4193,4187,4197,4199,4161,4146,4172,4209,4215,4258,4309,4365,4430,4498,4529,4575,4629,4619,4612,4579,4562,4553,4545,4534,4522,4526,4553,4540,4619,4660,4760,4757,4761,4781,4795,4915,5001,5160,5226,5265,5369,5387,5422,5443,5507,5511,5510,5527,5520,5542,5550,5599,5495,5497,5493,5503,5502,5567,5596,5593,5602,5579,5615,5575,5683,5730,5783,5836,5846,5804,5785,5773,5762,5801,5899,5939,5891,5814,5799,5825,5890,5964,6025,6053,6063,6088,6113,6145,6182,6188,6257,6285,6315,6330,6358,6367,6182,6076,5957,5832,5747,5724,5687,5720,5666,5619,5609,5661,5705,5779,5827,5924,5965,6014,6012,5981,5980,5978,5929,5903,5855,5794,5756,5879,5821,5670,5637,5561,5614,5587,5542,5529,5539,5533,5564,5635,5619,5606,5604,5622,5642
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",66338,67059,67571,67661,67853,68110,68324,68392,68479,68753,69088,69113,69024,69006,69104,69105,69193,69249,68833,68998,69024,69154,69252,69256,68990,68867,69059,69114,69204,69319,69156,69273,69312,69772,69938,70423,70499,70701,70965,71355,71752,72186,72557,73015,73500,73835,74283,74716,75281,75717,76130,76455,76788,77207,77618,78095,78542,79022,78610,78879,79351,79669,80005,80183,80409,80515,80546,80747,80979,81163,81275,81769,82207,82644,81973,81273,80519,80391,80212,80516,82942,81114,81249,80863,79893,79284,79172,79021,78962,78637,78340,78701,78810,78689,78782,78912,79208,79418,79542,79697,80103,80625,81063,81588,82093,82730,83455,83840,84353,84962,85318,85973,86284,86272,86108,86341,86699,87159,87546,87810,87946,87697,87812,87606,87437,86367,86430,87463,87247,87181,86938,86675,86485,86544,86839,87389,87911,88401,88858,89470,90241,91177,91952,92567,92302,92511,93204,94389,95087,95287,94982,94895,95030,95391,95829,96343,96933,97214,97183,96833,96566,96379,96277,95964,95435,94681,94555,95064,96220,96852,96950,96504,96020,95499,94938,94541,94312,94251,94120,93919,93543,93367,93372,93346,93445,93588,93775,93964,94156
"223","215","        Cable and satellite television and radio services","DCTVRX0",38939,39523,39880,40036,40216,40464,40706,40797,40905,41227,41722,41965,42188,42347,42567,42602,42794,42926,42526,42817,42938,43124,43371,43553,43372,43324,43614,43708,43813,43916,43664,43705,43627,44009,44026,44380,44232,44242,44326,44549,44781,45064,45277,45593,45947,46139,46462,46778,47245,47576,47894,48114,48344,48682,49016,49427,49817,50254,49719,49952,50416,50724,51058,51225,51459,51567,51609,51846,52129,52378,52558,53162,53720,54281,53653,52999,52287,52244,52146,52562,52976,53371,53630,53345,52525,51947,51880,51755,51703,51352,51005,51335,51392,51201,51220,51265,51470,51581,51601,51646,51942,52335,52643,53038,53407,53906,54493,54726,55116,55610,55879,56481,56770,56771,56651,56965,57440,58049,58615,59089,59462,59432,59753,59738,59740,58837,59059,60235,60143,60190,60053,59883,59701,59753,60035,60551,61025,61452,61831,62355,63028,63852,64507,64991,64578,64665,65258,66362,67002,67168,66851,66773,66936,67347,67853,68456,69158,69567,69680,69490,69393,69391,69484,69383,69086,68587,68712,69471,70874,71730,72028,71759,71429,71038,70583,70279,70126,70128,69995,69727,69303,69111,69139,69094,69205,69383,69627,69872,70118
"224","216","        Photo processing","DFDVRX0",6340,6370,6401,6401,6415,6428,6441,6453,6466,6471,6486,6504,6539,6554,6565,6561,6563,6563,6560,6557,6552,6564,6545,6512,6515,6517,6520,6524,6527,6530,6534,6538,6542,6546,6549,6551,6553,6555,6557,6561,6566,6571,6578,6586,6594,6602,6611,6620,6630,6635,6638,6638,6635,6629,6621,6609,6594,6576,6554,6528,6499,6469,6439,6411,6382,6353,6325,6296,6268,6239,6210,6181,6151,6123,6097,6073,6051,6031,6013,5998,5984,5972,5962,5953,5947,5939,5930,5921,5912,5902,5892,5881,5870,5859,5846,5832,5817,5800,5780,5759,5737,5715,5692,5667,5641,5612,5582,5549,5508,5467,5423,5374,5320,5263,5200,5133,5062,4988,4911,4830,4747,4659,4567,4471,4373,4270,4166,4060,3952,3841,3728,3612,3503,3413,3336,3273,3221,3180,3152,3133,3124,3125,3136,3156,3179,3197,3209,3215,3215,3210,3199,3183,3161,3133,3099,3059,3012,2969,2928,2891,2856,2824,2796,2770,2747,2728,2711,2697,2686,2676,2667,2658,2652,2646,2641,2638,2636,2635,2635,2635,2630,2625,2620,2614,2609,2604,2599,2595,2590
"225","217","        Photo studios","DPICRX0",7648,7728,7795,7763,7774,7780,7785,7783,7776,7773,7752,7722,7664,7627,7597,7577,7549,7520,7487,7453,7419,7390,7347,7296,7162,7048,6954,6878,6820,6778,6753,6745,6752,6775,6814,6867,6937,7000,7055,7104,7146,7179,7205,7222,7231,7231,7222,7204,7179,7154,7132,7116,7102,7091,7084,7080,7079,7081,7086,7092,7102,7110,7117,7124,7129,7134,7139,7142,7145,7147,7147,7146,7143,7136,7126,7111,7093,7070,7045,7015,6982,6942,6900,6855,6805,6761,6722,6689,6663,6643,6629,6620,6618,6622,6631,6644,6665,6682,6698,6713,6726,6741,6755,6767,6777,6786,6792,6797,6790,6797,6808,6825,6847,6873,6905,6941,6983,7029,7081,7137,7200,7253,7294,7327,7351,7364,7367,7360,7344,7317,7278,7229,7253,7277,7301,7327,7353,7381,7411,7440,7471,7503,7534,7567,7616,7661,7701,7737,7769,7797,7822,7843,7859,7870,7877,7880,7877,7871,7863,7851,7837,7820,7801,7779,7754,7726,7695,7660,7622,7588,7556,7528,7504,7484,7468,7456,7448,7443,7441,7443,7424,7406,7387,7368,7350,7332,7315,7297,7281
"226","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",4903,4927,4957,4979,4981,5005,5002,4997,5005,5015,5000,4929,4862,4825,4814,4808,4792,4790,4771,4752,4731,4718,4701,4678,4678,4684,4692,4707,4727,4750,4781,4816,4857,4905,4957,5019,5086,5150,5212,5273,5331,5386,5441,5491,5537,5580,5622,5659,5695,5735,5778,5828,5884,5944,6009,6080,6155,6234,6320,6407,6502,6589,6670,6745,6807,6865,6910,6946,6971,6989,6996,6993,6980,6971,6969,6966,6970,6977,6990,7006,7031,7061,7095,7140,7187,7231,7267,7295,7321,7341,7362,7373,7374,7366,7351,7330,7298,7282,7275,7278,7292,7324,7360,7407,7467,7538,7620,7717,7829,7923,8006,8078,8134,8175,8204,8219,8217,8202,8174,8131,8072,8027,7993,7969,7955,7944,7938,7944,7963,7992,8030,8074,8140,8200,8250,8304,8357,8412,8465,8517,8564,8612,8660,8707,8792,8864,8925,8975,9021,9062,9099,9128,9149,9163,9171,9174,9172,9164,9150,9130,9102,9065,9019,8962,8895,8815,8739,8667,8598,8543,8502,8475,8453,8439,8432,8419,8400,8374,8406,8495,8639,8741,8794,8898,8962,8997,9004,9011,9019
"227","219","        Video media rental","DVIDRX0",7244,7296,7338,7320,7327,7328,7324,7316,7302,7298,7264,7215,7103,7050,7017,7020,7005,6992,6980,6971,6965,6969,6956,6939,6962,6984,7008,7033,7059,7086,7113,7143,7173,7204,7234,7265,7298,7333,7372,7419,7473,7529,7592,7659,7731,7809,7892,7980,8071,8157,8231,8299,8359,8409,8448,8478,8498,8508,8506,8492,8468,8442,8416,8388,8364,8339,8315,8292,8269,8240,8215,8189,8162,8131,8097,8060,8021,7978,7932,7884,9615,7781,7706,7613,7453,7405,7372,7355,7354,7368,7399,7446,7506,7579,7666,7767,7884,7997,8105,8213,8319,8425,8529,8629,8724,8818,8907,8990,9056,9115,9155,9176,9178,9158,9118,9057,8977,8877,8756,8617,8460,8323,8204,8102,8019,7952,7902,7866,7847,7842,7851,7875,7886,7897,7910,7925,7942,7961,7981,8004,8029,8054,8081,8111,8109,8101,8088,8069,8046,8017,7984,7945,7900,7850,7794,7732,7664,7589,7508,7421,7327,7228,7123,7012,6895,6771,6640,6503,6359,6226,6106,5997,5902,5819,5748,5691,5645,5612,5591,5583,5537,5492,5448,5404,5360,5317,5274,5232,5191
"228","220","      Gambling (91)","DGAMRX0",55670,55379,55652,55870,56935,58217,57627,59429,59009,59689,61110,60386,59668,60260,61813,61172,61007,61895,62833,63090,64037,64503,64120,64894,64842,66892,65242,66580,67417,66046,66295,67662,65472,66415,66118,66272,67790,66118,66501,66353,66304,65744,67067,66842,66317,67557,68126,68554,68105,69348,70388,71764,71387,71947,73503,73866,76237,75802,77880,76463,74789,76180,77931,77209,76243,76458,77617,77404,77067,77495,77385,73573,78122,75647,78836,76790,78335,76012,77232,78019,75521,76235,76965,78698,78352,79351,77837,81140,79772,77759,80486,80713,81943,82075,80837,84458,82923,80445,83291,83792,85452,86340,87140,87644,87520,88409,88714,89028,90679,93027,93127,92349,92384,91866,91625,93504,94278,93683,93481,93749,92963,95640,96934,94903,97261,95809,96434,96015,94350,96510,96800,94022,100938,99170,99897,99400,99460,97794,98907,100859,100351,101225,105752,103694,102133,102394,104249,102769,103654,104166,107224,104218,104453,106851,103514,105818,101833,104316,102809,102677,101270,102654,100762,102114,98431,99476,100745,99950,101355,99995,100121,100411,100695,98286,99456,99092,99108,98438,99154,96909,98254,100752,97990,97935,96172,94397,96435,98418,100427
"229","221","        Casino gambling","DCASRX0",34524,34137,34340,34502,35496,36703,36049,37775,37301,37894,39284,38492,37801,38345,39864,39178,38940,39802,40669,40861,41741,42173,41718,42419,42451,44576,42981,44369,45255,43917,44165,45530,43344,44253,43932,44037,45503,43787,44132,43948,43867,43280,44580,44335,43797,45030,45598,46033,45595,46859,47924,49328,48982,49576,51171,51577,53996,53615,55754,54405,52804,54262,56074,55403,54484,54737,55925,55735,55413,55850,55744,51928,56469,53979,57142,55060,56561,54184,55340,56052,53471,54094,54724,56349,55881,56772,55159,58370,56915,54822,57478,57641,58814,58897,57621,61215,59662,57160,59975,60435,62045,62864,63584,64002,63783,64567,64761,64956,66513,68749,68748,67875,67825,67235,66933,68761,69497,68874,68660,68929,68158,70845,72140,70098,72435,70956,71545,71081,69362,71461,71685,68829,75378,73266,73683,72906,72719,70839,71774,73587,72974,73783,78288,76244,74740,75056,76961,75523,76447,76991,80075,77090,77336,79740,76407,78715,74734,77213,75690,75535,74089,75419,73459,74725,70937,71863,73010,72094,73377,71905,71928,72122,72320,69833,70934,70506,70463,69741,70435,68199,69516,71968,69141,69006,67163,65302,67250,69142,71057
"230","222","        Lotteries","DLOTRX0",16489,16570,16630,16674,16733,16795,16849,16913,16961,17032,17064,17124,17115,17159,17191,17227,17289,17313,17372,17427,17486,17518,17579,17642,17559,17483,17424,17368,17313,17271,17255,17240,17220,17231,17233,17255,17279,17296,17309,17321,17329,17334,17336,17335,17329,17319,17304,17283,17259,17227,17191,17154,17112,17068,17021,16969,16914,16853,16786,16714,16638,16568,16509,16460,16419,16388,16367,16355,16353,16359,16373,16396,16428,16462,16504,16552,16605,16664,16730,16801,16880,16963,17051,17144,17247,17338,17422,17502,17576,17645,17707,17763,17814,17857,17893,17919,17939,17960,17986,18019,18057,18108,18165,18227,18293,18364,18439,18519,18576,18649,18713,18771,18822,18863,18896,18920,18936,18943,18939,18924,18901,18883,18876,18882,18899,18925,18962,19008,19065,19133,19207,19294,19613,19912,20178,20417,20624,20800,20942,21049,21122,21157,21153,21116,21048,20984,20925,20874,20828,20790,20759,20734,20715,20701,20693,20690,20692,20709,20741,20789,20855,20937,21038,21155,21290,21440,21606,21789,21986,22167,22333,22485,22622,22745,22855,22951,23032,23097,23145,23177,23259,23340,23421,23503,23586,23671,23756,23843,23932
"231","223","        Pari-mutuel net receipts","DPARRX0",4659,4674,4683,4695,4708,4721,4731,4742,4749,4764,4764,4772,4754,4757,4760,4768,4779,4782,4793,4803,4811,4814,4824,4834,4833,4834,4839,4844,4850,4860,4876,4893,4908,4933,4954,4982,5010,5036,5061,5086,5109,5132,5153,5173,5192,5210,5225,5239,5252,5263,5273,5284,5294,5303,5312,5321,5328,5335,5340,5345,5348,5349,5348,5345,5340,5333,5325,5313,5301,5285,5268,5248,5226,5206,5191,5179,5170,5165,5163,5165,5170,5179,5190,5205,5225,5241,5255,5269,5281,5292,5301,5309,5316,5320,5323,5324,5323,5324,5329,5338,5350,5368,5390,5416,5445,5478,5514,5553,5589,5629,5667,5703,5737,5768,5796,5822,5845,5865,5882,5895,5905,5912,5918,5923,5926,5928,5928,5926,5922,5917,5908,5899,5946,5992,6036,6077,6117,6154,6190,6224,6255,6284,6310,6335,6344,6354,6362,6371,6378,6384,6389,6395,6402,6410,6414,6413,6407,6395,6377,6353,6327,6298,6266,6234,6204,6173,6128,6067,5992,5923,5860,5805,5753,5707,5667,5635,5613,5600,5573,5533,5479,5444,5428,5426,5424,5425,5429,5433,5438
"232","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",21385,21572,21812,22193,22357,22978,23012,23076,23121,23330,23519,23410,23586,23880,24076,24257,24388,24615,24608,24760,24850,25038,25212,25415,25244,25206,25483,25653,25658,25559,25895,25796,26212,26553,26703,26766,27182,27413,27500,27720,27793,27891,28225,28434,28401,28595,28634,28969,29126,29304,29630,29745,29799,29580,30024,30207,30355,30747,31002,31073,31029,30904,31166,31180,31286,31326,31229,31386,31372,31148,31330,31241,31090,31002,30912,30713,30798,31108,30995,30783,30596,30456,30261,30286,31090,31295,31351,31274,31223,31107,30781,30865,30908,31096,31226,31149,31098,30946,31037,30994,31154,31346,31501,31574,31535,31630,31811,31902,31774,31847,31912,32219,32318,32397,32415,32359,32417,32430,32646,32636,32800,32852,33020,33270,33424,33428,33392,33470,33554,33717,33709,33707,33370,33377,33381,33608,33762,33931,34159,34357,34526,34739,34918,35170,35553,35848,35926,35836,35814,35812,35942,35804,35823,35554,35589,35547,35547,35348,35327,35397,35285,35188,35051,34704,34514,34134,34026,33874,33732,33465,33238,33208,33174,33026,32907,33011,33160,33358,33490,33710,33806,33744,33733,33490,33530,33362,33166,33310,33349
"233","225","        Veterinary and other services for pets","DVETRX0",12877,12991,13061,13276,13318,13592,13669,13808,13884,13966,14134,14245,14410,14518,14766,14968,14973,15159,15227,15376,15408,15528,15731,15928,16012,16129,16227,16301,16359,16325,16503,16639,16888,16899,17135,17171,17276,17259,17239,17358,17359,17450,17521,17505,17464,17572,17582,17638,17600,17691,17741,17727,17777,17784,17884,18042,18184,18224,18285,18318,18302,17963,18081,18119,18104,18116,18126,18145,18215,18164,18209,18123,18036,17993,18084,17997,18064,18092,18053,17919,17764,17758,17734,17773,18142,18187,18199,18215,18071,18036,17839,17895,17969,18284,18397,18327,18237,18092,18109,18023,18113,18254,18359,18473,18510,18626,18844,18914,18724,18710,18676,18873,18892,18928,18938,18876,18936,18954,19153,19102,19202,19174,19245,19379,19490,19529,19606,19693,19687,19662,19619,19740,19789,20006,20073,20227,20300,20380,20512,20575,20565,20560,20585,20750,20949,21123,21143,21058,21039,21038,21165,21082,21203,21096,21213,21181,21115,20950,21045,21320,21333,21277,21097,20793,20715,20535,20581,20551,20498,20270,20025,19913,19840,19698,19625,19713,19793,19870,19894,20012,20056,19969,19955,19707,19748,19601,19436,19591,19645
"234","226","        Package tours","DHOLRX0",6676,6703,6829,6975,7065,7413,7361,7292,7268,7408,7461,7279,7291,7510,7506,7523,7657,7722,7654,7669,7718,7783,7755,7758,7500,7339,7498,7570,7492,7389,7520,7261,7401,7669,7553,7521,7769,7942,7979,8025,8031,7986,8187,8343,8289,8325,8299,8522,8654,8694,8910,8974,8923,8642,8919,8891,8843,9113,9234,9200,9097,9204,9287,9203,9259,9232,9076,9163,9044,8832,8934,8894,8800,8726,8525,8378,8366,8603,8490,8364,8281,8105,7891,7830,8221,8333,8334,8204,8251,8137,7974,7977,7928,7798,7805,7785,7812,7794,7862,7896,7962,8009,8055,8012,7934,7911,7877,7896,7956,8036,8126,8229,8297,8328,8322,8310,8291,8266,8262,8280,8320,8376,8450,8542,8560,8501,8363,8330,8396,8561,8574,8426,8019,7786,7698,7744,7795,7850,7909,8004,8139,8314,8420,8454,8575,8644,8661,8626,8601,8587,8585,8537,8445,8307,8256,8291,8412,8439,8372,8209,8136,8153,8260,8287,8231,8092,7990,7924,7896,7922,8004,8142,8228,8265,8249,8284,8370,8506,8626,8729,8812,8875,8909,8962,8987,9003,9010,9017,9025
"235","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",2149,2188,2222,2250,2273,2291,2304,2311,2313,2309,2300,2285,2298,2280,2267,2257,2250,2247,2248,2252,2259,2270,2284,2301,2314,2329,2347,2368,2392,2418,2448,2480,2516,2555,2597,2641,2690,2738,2785,2833,2880,2926,2971,3016,3060,3104,3145,3185,3226,3266,3309,3354,3400,3450,3500,3552,3606,3663,3720,3779,3839,3897,3951,4003,4052,4099,4142,4183,4219,4252,4282,4308,4330,4354,4380,4408,4437,4469,4503,4539,4578,4617,4659,4702,4748,4790,4828,4864,4897,4928,4955,4979,5000,5018,5032,5042,5049,5055,5060,5065,5070,5077,5083,5089,5094,5099,5103,5106,5102,5105,5111,5119,5129,5141,5155,5172,5189,5210,5230,5253,5278,5301,5325,5349,5374,5398,5422,5446,5471,5495,5518,5541,5561,5584,5609,5636,5667,5701,5738,5778,5823,5868,5917,5971,6035,6088,6131,6165,6188,6202,6207,6201,6186,6160,6124,6078,6020,5962,5903,5844,5783,5723,5662,5600,5538,5474,5409,5344,5277,5216,5161,5111,5068,5030,4999,4973,4954,4940,4932,4930,4897,4864,4831,4798,4766,4734,4703,4672,4641
"236","228","    Food services and accommodations","DFSARX0",418851,412472,414964,416956,416491,414920,415712,417367,417005,415650,415521,416498,413608,415113,419178,417745,418730,417674,418653,417998,419312,420874,423792,422664,426880,426879,426096,426659,425680,427128,430149,432111,430805,428034,425765,430319,431924,432723,433795,436545,437537,440399,438247,438908,442311,444552,444728,448640,442531,446306,444585,447039,447185,447272,447069,447389,452452,458347,460297,459916,462903,465647,472483,470688,470750,471927,472017,470027,476314,474657,473329,465810,478667,473822,471854,468847,470828,470837,470078,474400,458426,463038,464204,473664,473477,475768,472195,478769,475823,477903,477928,478555,478734,476426,479444,481722,482981,480251,484654,483533,492324,493893,497077,503229,497257,503582,504634,499334,505072,505083,508061,505449,506350,506690,509777,506154,511035,513062,511733,516543,514581,520162,514793,525833,522210,525367,525125,526398,530083,529940,535768,533438,548566,541439,543979,540511,539480,536091,534316,539200,542463,542167,542839,548158,542626,540451,549339,545499,550129,551772,551869,552847,554641,558116,555508,561662,555345,549065,548438,553584,553107,552062,550559,548017,545579,541891,537778,535201,534186,534217,528310,528598,527121,526004,526891,524960,524216,523388,526406,528488,526435,538031,540430,539093,537790,538061,540056,543547,545135
"237","229","      Food services","DFSERX0",367249,361318,363833,366648,366202,364623,365654,367258,365893,364928,363619,365025,362553,364040,365833,365427,366353,364683,365645,364408,365713,366776,369522,368101,371040,370434,370215,369633,368830,370622,373194,373944,373303,370720,367767,371576,373110,374691,376525,378735,379810,382629,380729,381773,384580,386308,387293,390516,383520,387442,385595,388138,389187,389343,387869,388967,392280,398046,399918,400294,403259,404950,410399,408967,407973,408690,409874,407197,411069,411536,409383,403090,416142,412371,410059,408967,410904,410615,411760,414267,405701,408906,408377,417310,416453,416689,413654,418455,416065,417730,417979,416721,419147,415744,418544,420211,421934,419125,424409,423195,430247,431760,433338,437804,434437,439621,441032,435160,440763,440901,442681,440465,441359,441459,443554,440677,444300,445725,445779,449498,446985,452310,446413,456009,453336,455807,454873,456486,458175,459862,463058,460492,475977,469454,471578,468438,467427,463894,462867,467987,470315,470569,470660,476306,470273,467775,474871,473147,476666,478545,480191,479123,481409,483126,480022,487338,479697,473001,473530,475899,476269,476207,474965,471106,470385,467210,465664,461735,462538,462959,458565,457543,456913,455376,453849,453487,452764,452244,456146,455187,454138,464672,466199,464338,463884,464096,464054,468618,469333
"238","230","        Purchased meals and beverages (102)","DPMBRX0",357469,351532,354040,356861,356414,354802,355829,357429,356059,355112,353798,355198,352727,354210,355989,355592,356504,354840,355803,354563,355882,356933,359678,358255,361195,360588,360368,359783,358978,360773,363354,364109,363465,360873,357912,361724,363251,364828,366657,368866,369928,372735,370818,371856,374658,376382,377365,380583,373571,377480,375622,378153,379193,379327,377846,378945,382258,388014,389873,390228,393185,394872,400312,398858,397850,398559,399738,397041,400896,401363,399195,392891,405925,402142,399824,398725,400652,400352,401480,403972,395399,398608,398083,407019,406154,406382,403339,408135,405734,407389,407620,406343,408736,405299,408058,409693,411367,408531,413790,412564,419604,421099,422664,427110,423720,428857,430255,424379,429972,430098,431856,429626,430487,430554,432622,429717,433303,434664,434663,438335,435764,441009,435024,444523,441743,444102,443042,444518,446089,447697,450768,448066,463328,456677,458699,455504,454448,450886,449822,454909,457217,457447,457511,463131,457079,454571,461673,459953,463470,465336,466984,465929,468238,469988,466910,474268,466673,460014,460578,462973,463374,463323,462093,458250,457535,454365,452831,448913,449715,450134,445740,444714,444067,442511,440966,440599,439880,439367,443275,442322,441290,451846,453394,451554,451124,451358,451340,455935,456665
