"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"131","123","Q1TOB1 C     Tobacco products (7)","Q1TOB10",89270,88446,86995,86106,81644,80860,80869,82113,85070,85706,85134,83845,83621,83172,82947,82990,83700,84049,84404,84743,84952,85281,85619,85958,86304,86586,86807,86947,87040,86934,86669,86235,85768,84928,83877,82662,80853,79780,79002,78539,78821,78661,78469,78219,78405,78241,77980,77616,77087,76570,76018,75449,74778,74302,73925,73650,73594,73422,73248
"132","124","Q1TLG1 C     Toilet articles and preparations (21)","Q1TLG10",41469,40786,41252,40993,40943,40909,40674,40734,40901,40623,40836,41497,42244,42648,43087,43930,44291,44987,45971,46500,47139,47789,48328,48480,49226,50683,51038,52699,53295,53287,54555,53862,53413,53566,54356,54804,54727,54404,53989,55369,54762,55035,55051,55215,53999,54103,53303,54002,54572,54328,53261,52719,53192,52931,53839,53378,54248,53242,53963
"133","125","Q1SOA1 D       Soap","Q1SOA10",4517,4478,4591,4539,4510,4580,4599,4629,4844,4774,4806,4834,4750,4746,4691,4683,4656,4624,4653,4692,4698,4673,4628,4560,4562,4551,4543,4486,4409,4370,4433,4367,4360,4400,4446,4491,4518,4518,4511,4519,4540,4608,4651,4721,4681,4801,4817,4871,4907,4932,4930,4956,5009,4961,5041,5089,5158,5151,5222
"134","126","Q1CSM1 D       Cosmetics and perfumes","Q1CSM10",17901,17066,16792,16308,15917,15546,15172,14866,14794,14381,14428,14569,14568,14560,14446,14446,14454,14593,14911,15067,15082,15010,15129,14964,15121,15451,15319,15546,15260,15275,15642,15269,15102,15178,15429,15473,15397,15337,15090,15318,15594,15418,15581,15698,15326,15196,14795,14856,15273,15243,14984,14767,14660,14597,14899,14905,15281,14844,15183
"135","127","Q1OPH1 D       Other personal hygiene goods","Q1OPH10",19657,19784,20377,20610,20945,21187,21284,21594,21625,21791,21924,22407,23201,23601,24177,25002,25370,25949,26586,26919,27521,28239,28695,29058,29634,30757,31233,32697,33635,33649,34487,34225,33952,33991,34483,34842,34812,34549,34388,35537,34628,35010,34820,34798,33993,34106,33691,34276,34392,34153,33349,32999,33526,33376,33902,33382,33806,33245,33552
"136","128","Q1SDH1 C     Semidurable house furnishings (33)","Q1SDH10",19710,19995,20298,20255,20524,20633,21041,20985,21832,22266,22835,23722,23404,23689,23869,24178,24538,25103,25192,26154,25863,26325,26617,27143,27259,27804,28249,29055,28861,29079,29582,30666,31171,31319,31535,32407,33318,33406,34425,35461,36333,36198,36417,36912,37174,37304,37598,37434,39208,38970,38810,40762,42435,42442,42866,45047,46620,46422,48126
"137","129","Q1CLP1 C     Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","Q1CLP10",46322,46159,46382,45900,45483,46110,45995,45852,47293,46924,47234,47864,48800,49517,50839,51335,52027,53114,54033,54550,54546,54540,54430,54501,54695,55786,56540,57030,57709,57773,58506,58594,58705,59087,59530,60381,61225,61693,61565,62636,62085,61700,61259,61305,61547,62173,62098,63006,63168,63697,63796,64586,65538,66364,67962,68814,69737,70870,71309
"138","130","Q1CLE1 D       Cleaning preparations","Q1CLE10",23650,23604,23673,23222,22787,22835,22595,22401,22965,22723,22730,22945,23568,24062,24764,25266,25600,26023,26477,26712,26868,27178,27564,27756,27951,28532,28712,28967,29368,29389,29691,29782,29896,30237,30459,30603,31076,31139,31201,31714,31310,31591,31533,31669,31334,31558,31834,32128,31980,32223,32032,32502,32667,32990,34004,34256,34705,35009,35599
"139","131","Q1LIG1 D       Lighting supplies","Q1LIG10",5112,5012,4996,4897,4783,4916,4934,4928,5259,5250,5303,5384,5472,5511,5624,5687,5806,5970,6029,6186,6092,5920,5958,6086,6096,6249,6324,6368,6428,6455,6521,6564,6631,6685,6792,6940,7114,7216,7320,7538,7669,7483,7495,7500,7691,7856,7673,7651,7877,8051,8063,8086,8179,8549,8763,8897,9195,9778,9914
"140","132","Q1PAP1 D       Paper products","Q1PAP10",17562,17553,17734,17832,18002,18477,18608,18683,19232,19118,19387,19736,19940,20110,20617,20511,20747,21259,21674,21784,21707,21546,20959,20688,20675,21030,21544,21737,21952,21967,22339,22286,22207,22187,22296,22868,23054,23365,23056,23394,23110,22624,22230,22137,22523,22762,22592,23224,23313,23427,23704,23999,24695,24830,25201,25666,25845,26099,25830
"141","133","Q1DRG1 C     Drug preparations and sundries (45)","Q1DRG10",89023,89411,90859,91025,91467,91806,91479,91911,92455,92064,92075,92496,93905,94618,95354,96727,97173,98417,99763,101429,102919,104981,106370,108163,109447,111676,113647,116168,117872,120435,124396,128499,132301,136177,139833,144120,149081,152434,152005,163581,156840,169222,172876,178709,176693,180437,187729,192045,195401,193931,194969,197233,203283,204902,210415,215827,215163,220420,222983
"142","134","Q1RXD1 D       Prescription drugs","Q1RXD10",58135,58896,60157,60824,61003,61332,61568,62367,63380,63554,63652,63570,65426,66253,67105,67987,68774,69836,71045,72401,74089,75607,77145,78709,80261,82000,83891,85977,87742,90643,94262,98657,101859,105771,109150,113260,117512,120728,120488,131002,124392,136267,139341,144893,143277,146836,154155,157609,160175,158197,159890,162038,167369,169051,173972,179053,177348,182640,184718
"143","135","Q1NRX1 D       Nonprescription drugs","Q1NRX10",21057,20862,21038,20693,20956,21035,20673,20468,20179,19727,19691,20097,19728,19697,19551,19906,19639,19734,19953,20269,20126,20589,20453,20757,20536,20882,21006,21252,21210,21053,21346,21244,21882,21872,22052,22260,22997,23160,23058,23890,23951,24354,24938,25212,24971,25148,25106,25889,26599,27218,26670,26877,27476,27410,27862,28256,29316,29280,29763
"144","136","Q1MDS1 D       Medical supplies","Q1MDS10",4950,4872,4839,4771,4709,4631,4508,4381,4284,4240,4222,4241,4256,4223,4284,4349,4351,4442,4359,4387,4387,4434,4490,4456,4459,4539,4552,4660,4682,4646,4688,4656,4629,4663,4736,4712,4711,4738,4671,4806,4703,4778,4795,4798,4725,4700,4697,4709,4779,4757,4652,4563,4584,4560,4594,4501,4588,4501,4471
"145","137","Q1GYN1 D       Gynecological goods","Q1GYN10",3422,3417,3492,3504,3531,3546,3539,3568,3562,3558,3539,3564,3568,3555,3568,3615,3595,3604,3620,3593,3602,3624,3613,3589,3599,3662,3643,3736,3742,3687,3743,3700,3701,3714,3775,3819,3807,3778,3760,3886,3786,3828,3807,3805,3717,3729,3684,3748,3761,3734,3647,3608,3666,3649,3707,3650,3696,3635,3669
"146","138","Q1TOY1 C     Nondurable toys and sport supplies (89)","Q1TOY10",29008,27895,28067,28158,28992,29090,29869,30346,30364,30647,30859,31488,31544,32533,33132,33314,33974,34530,35284,36243,36217,37207,37914,38446,38115,38036,39407,40710,40175,40839,41307,41811,43431,45111,46105,47559,49890,50794,51899,53946,55023,56032,57497,57892,58815,59392,59886,62097,61781,64047,65954,68362,67733,69273,71165,72498,75280,75742,78574
"147","139","Q1DOL1 D       Toys, dolls, and games","Q1DOL10",18494,17769,18089,18242,19270,19409,20195,20985,20898,21293,21292,21765,21744,22598,23098,23156,23756,24194,24811,25424,25689,26517,27060,27667,27354,26995,28299,29632,29185,29772,30050,30449,31902,33076,33772,34837,36809,37383,38164,39397,40112,41150,42303,42474,43459,43710,44262,45990,45513,47417,49336,51821,51237,52435,53955,55083,57311,57250,59723
"148","140","Q1AMM1 D       Sport supplies, including ammo","Q1AMM10",7074,6743,6627,6577,6382,6373,6397,6140,6249,6174,6360,6480,6712,6856,6944,7106,7197,7303,7449,7796,7559,7763,7995,7945,7973,8301,8379,8379,8356,8500,8671,8824,8873,9314,9508,9745,10062,10344,10692,11289,11762,11631,11895,11884,12001,12395,12360,12816,12908,13151,13151,13139,13075,13350,13594,13729,14173,14569,14970
"149","141","Q1FLM1 D       Film and photo supplies","Q1FLM10",3754,3689,3635,3614,3578,3539,3489,3406,3405,3353,3391,3426,3268,3246,3251,3218,3173,3181,3162,3163,3083,3026,2951,2908,2866,2840,2798,2724,2664,2582,2608,2555,2657,2724,2830,2985,3014,3067,3041,3265,3152,3251,3298,3531,3361,3288,3271,3301,3354,3478,3500,3504,3516,3593,3735,3825,3957,4025,4035
"150","142","Q1STY1 C     Stationery and writing supplies (35)","Q1STY10",17456,16977,17042,17186,17585,17564,17583,17283,17451,17620,17858,18322,18029,18109,18113,17957,18055,18271,18708,18414,17824,17896,17747,17888,16919,17296,17498,17478,17339,16764,16713,16798,17117,17162,17329,17427,18013,18052,18014,18673,18780,18963,19071,19113,18572,18538,18113,17988,18215,18073,18068,17741,17696,17912,18263,18349,18918,18784,18719
"151","143","Q1STS1 D       Stationery and school supplies","Q1STS10",7560,7288,7157,7135,7131,7152,7098,6868,6823,6782,6824,6897,6905,6982,6968,7092,7053,7112,7191,7105,6919,6876,6821,6733,6471,6488,6463,6450,6344,6171,6124,6151,6333,6446,6586,6743,6960,7086,7131,7370,7601,7798,7853,7836,7540,7508,7446,7435,7551,7557,7564,7542,7484,7617,7837,7959,8239,8290,8330
"152","144","Q1GRE1 D       Greeting cards","Q1GRE10",9890,9684,9880,10048,10452,10409,10483,10414,10627,10838,11035,11427,11125,11127,11145,10864,11001,11159,11517,11309,10905,11019,10926,11155,10448,10808,11035,11028,10995,10593,10589,10647,10783,10715,10742,10684,11053,10965,10882,11302,11179,11165,11218,11276,11032,11030,10667,10552,10663,10515,10504,10199,10212,10295,10426,10390,10679,10494,10388
"153","145","Q1NFR1 C     Net foreign remittances (111 less 113)","Q1NFR10",2926,2841,1920,1808,2646,2042,1684,1759,972,713,114,161,726,749,833,667,1084,931,876,870,1172,894,757,810,1079,1112,1255,1110,1950,2484,2987,2887,3132,2695,2906,2726,2753,2480,2946,2731,2977,3501,3365,3037,3229,3453,3475,3544,3996,3941,3722,3264,3818,3694,3410,2989,2814,2911,3312
"154","146","Q1ABD1 C       Expenditures abroad by U S  residents","Q1ABD10",4154,3882,3198,3042,3848,3268,2956,3080,2634,2435,1939,2063,2492,2472,2480,2407,2818,2522,2522,2132,2512,2253,2219,2299,2430,2391,2403,2226,3169,3603,4197,4027,4197,3923,4054,4047,4003,4100,4210,4049,4371,4705,4850,4414,4736,5108,4966,4917,5529,5305,5173,4963,5274,5392,5349,4886,4670,4815,5136
"155","147","Q1ART1 D         Government expenditures abroad","Q1ART10",4018,3748,3082,2926,3696,3131,2826,2938,2505,2312,1840,1957,2371,2354,2364,2295,2689,2408,2409,2037,2402,2156,2124,2202,2328,2292,2305,2136,3042,3460,4032,3869,4032,3769,3894,3887,3845,3938,4044,3889,4198,4519,4658,4240,4549,4907,4769,4723,5311,5096,4969,4767,5065,5179,5138,4693,4486,4625,4933
"156","148","Q1ARS1 D         Other private services","Q1ARS10",136,134,116,116,152,136,130,142,129,122,99,105,121,118,117,111,129,114,113,94,110,97,95,97,102,99,98,90,127,143,165,158,165,155,160,160,158,162,166,160,173,186,192,174,187,202,196,194,219,210,204,196,208,213,211,193,185,190,203
"157","149","Q1REM1 C       Less: Personal remittances in kind to nonresidents","Q1REM10",1228,1042,1278,1234,1203,1225,1272,1321,1662,1722,1824,1901,1765,1723,1647,1739,1734,1591,1646,1262,1340,1359,1462,1488,1351,1278,1148,1116,1218,1119,1210,1140,1065,1229,1148,1321,1251,1620,1265,1318,1394,1204,1485,1377,1506,1655,1490,1373,1534,1364,1451,1699,1456,1698,1939,1897,1856,1903,1825
"158","150","Q1MAG1 C     Magazines, newspapers, and sheet music (88)","Q1MAG10",28519,29024,29543,29936,28902,28516,28162,27313,27271,26692,27239,26992,27601,27789,28023,28526,28965,29450,30024,30331,30757,31113,30325,30971,30697,31654,31941,32427,32920,32850,33078,33759,33220,33227,33671,33424,33548,34170,33842,34708,34465,35255,35031,35441,34891,34860,34012,33378,33691,34040,33939,34219,34759,34334,34706,34442,35381,35859,36188
"159","151","Q1MGZ1 D       Magazines and sheet music","Q1MGZ10",13749,13981,14271,14585,14252,14186,14060,13772,13864,13576,13890,13802,14003,14176,14294,14553,14780,15053,15343,15608,15856,16157,15754,16130,15983,16434,16494,16736,16973,16951,16969,17313,17052,17058,17289,17164,17224,17544,17376,17820,17695,18101,17986,18197,17914,17898,17463,17137,17298,17477,17425,17569,17847,17628,17819,17684,18166,18411,18580
"160","152","Q1NWP1 D       Newspapers","Q1NWP10",14871,15148,15372,15433,14706,14370,14137,13561,13416,13126,13357,13194,13610,13619,13736,13980,14191,14402,14687,14724,14903,14957,14572,14843,14716,15220,15448,15692,15948,15899,16109,16446,16168,16168,16381,16260,16323,16626,16466,16888,16769,17154,17045,17244,16977,16962,16549,16240,16393,16562,16513,16650,16913,16706,16887,16758,17215,17448,17608
"161","153","Q1FLO1 C     Flowers, seeds, and potted plants (95)","Q1FLO10",11311,11710,11571,11368,11435,10952,10976,11137,11085,10930,11465,13269,12496,12286,12765,12857,13157,13503,13342,13304,13271,13658,13539,13696,14446,14752,15048,15701,15735,15677,16696,16878,16127,16374,16939,17434,17535,17451,18235,18380,18263,17319,18024,18288,17515,17570,17466,17272,17278,17423,17439,17414,17631,17894,18563,18933,17848,18232,18615
"162","154","Q1TSS1 A Services","Q1TSS10",2813518,2849506,2872372,2871272,2868325,2896809,2908832,2925804,2960574,2987880,3016089,3038680,3053884,3065435,3099930,3123464,3151948,3167860,3185815,3200901,3221331,3251190,3273624,3293425,3326231,3345365,3366541,3385871,3417773,3446886,3485545,3521612,3562001,3601957,3642070,3653739,3696367,3738484,3782251,3815018,3871082,3908170,3949305,3986786,3997905,4015978,4027843,4051180,4084064,4119738,4143822,4166923,4188729,4207744,4227938,4256737,4291743,4319952,4351029
"163","155","Q1HOS1 B   Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024441,1031235,1036479,1042789,1052833,1060835,1065545,1068725,1071604,1074281,1078065,1080269,1086026,1091451,1097923
"164","156","Q1OWN1 C     Owner-occupied nonfarm dwellings--space rent (24)","Q1OWN10",547047,549768,553179,556427,561171,565359,570216,572716,573208,574304,576163,578150,579212,581028,585173,590201,597993,602502,607530,611042,612409,614937,616910,619211,621981,624816,628107,631981,635948,640329,644502,648847,654994,660884,666717,672102,680385,685577,690912,696033,703141,708661,715042,722100,730370,737492,743703,749073,752798,757620,761672,765504,770020,774236,778524,782933,788260,794264,800382
"165","157","Q1OMH1 D       Owner occupied mobile homes","Q1OMH10",23416,23442,23516,23670,24401,24992,25447,25621,25699,25743,25740,25690,25448,25310,25247,25231,25443,25462,25529,25555,25490,25533,25582,25684,25903,26089,26264,26441,26559,26749,26926,27090,27163,27175,27201,27242,27151,27191,27273,27398,27387,27814,28542,29524,31127,32119,32896,33400,33266,33299,33226,33069,32832,32604,32394,32205,32679,33474,34285
"166","158","Q1OST1 D       Owner occupied stationary homes","Q1OST10",523631,526326,529666,532755,536772,540364,544771,547098,547507,548563,550423,552461,553764,555721,559927,564970,572549,577042,581999,585486,586920,589405,591330,593524,596080,598726,601844,605538,609391,613578,617577,621757,627834,633706,639517,644858,653231,658386,663638,668638,675753,680845,686501,692577,699238,705372,710807,715670,719534,724323,728443,732431,737187,741629,746127,750729,755577,760787,766096
"167","159","Q1TEN1 C     Tenant-occupied nonfarm dwellings--rent (25)","Q1TEN10",198029,199465,200723,201344,200983,201497,202043,202325,203165,203436,203802,204642,204043,204387,205006,206091,207554,208860,210801,212476,214799,216213,217211,217603,217009,216886,216995,217346,217801,218304,219011,219978,221508,222516,223364,223963,225549,226580,227103,227374,226807,227212,227745,228432,228559,229752,231315,233276,237049,238915,239721,239529,237218,236057,234958,234041,233638,233367,233115
"168","160","Q1TMH1 D       Tenant occupied mobile homes","Q1TMH10",4785,4979,5105,5153,5317,5409,5476,5493,5497,5488,5480,5503,5497,5538,5598,5685,5836,5947,6069,6169,6248,6307,6338,6339,6307,6262,6202,6135,5987,5979,5991,6031,5804,5692,5578,5466,5233,5172,5107,5047,4978,4959,4953,4962,4862,4935,5086,5311,5769,5997,6142,6191,6006,5946,5892,5852,5870,5901,5932
"169","161","Q1TSP1 D       Tenant occupied stationary homes","Q1TSP10",189322,190590,191752,192321,191750,192178,192577,192833,193626,193914,194198,195023,194426,194704,195270,196235,197580,198743,200523,202038,204147,205423,206318,206644,206029,205891,205998,206351,206882,207332,207972,208847,210525,211612,212532,213194,214931,215962,216487,216750,216150,216512,216984,217592,217743,218788,220134,221806,225064,226636,227238,226939,224755,223597,222498,221569,221101,220756,220429
"170","162","Q1TLD1 D       Tenant landlord durables","Q1TLD10",4054,4041,4022,4029,4065,4061,4129,4137,4175,4169,4243,4240,4242,4262,4259,4291,4272,4303,4344,4400,4517,4588,4651,4707,4748,4798,4851,4906,4969,5023,5074,5123,5197,5230,5269,5315,5393,5452,5513,5580,5679,5739,5807,5879,5958,6032,6100,6164,6219,6286,6349,6413,6485,6553,6620,6688,6745,6800,6855
"171","163","Q1FAR1 C     Rental value of farm dwellings (26)","Q1FAR10",9610,9619,9621,9614,9581,9619,9648,9629,9607,9609,9607,9601,9582,9565,9570,9572,9598,9595,9624,9644,9625,9625,9624,9629,9616,9643,9685,9750,9869,9968,10045,10094,10132,10178,10229,10279,10392,10430,10479,10526,10593,10638,10679,10714,10686,10751,10843,10947,11091,11188,11255,11278,11317,11292,11291,11296,11256,11213,11173
"172","164","Q1OHO1 C     Other (27)","Q1OHO10",41269,41083,40658,40646,39564,41224,41587,42307,43660,43994,44029,43714,44090,42809,43238,43048,44624,44418,45161,45648,45914,44989,45139,46054,46527,47231,48018,48850,50342,50792,51937,52379,52798,52227,52135,51480,53066,52582,53295,53953,55200,56796,56429,55638,54842,53236,50553,49363,51815,53059,52810,52282,52968,52593,53234,51859,52774,52497,53155
"173","165","Q1HOT1 D       Hotels and motels","Q1HOT10",32046,31870,31435,31398,30246,31811,32137,32831,34223,34573,34643,34348,34399,33030,33385,33191,34835,34652,35406,35896,36144,35181,35280,36120,36441,37072,37836,38665,40228,40663,41774,42151,42541,41949,41821,41124,42646,42100,42735,43312,44403,45975,45622,44883,43839,42141,39366,38107,40616,41867,41597,41039,41728,41326,41969,40523,41444,41128,41776
"174","166","Q1HFR1 D       Clubs and fraternity housing","Q1HFR10",397,398,402,409,422,430,436,438,433,432,429,431,437,439,441,442,443,443,445,447,446,451,459,469,492,500,503,502,480,480,487,500,516,524,536,549,568,583,600,619,657,667,672,672,674,670,664,656,638,629,623,621,628,630,633,635,635,635,635
"175","167","Q1HHE1 D       Higher education housing","Q1HHE10",8205,8212,8239,8256,8321,8369,8412,8444,8460,8473,8467,8456,8742,8826,8890,8895,8838,8819,8802,8794,8799,8824,8858,8913,9037,9097,9113,9115,9071,9085,9113,9166,9187,9196,9214,9233,9251,9290,9346,9403,9524,9538,9519,9465,9714,9803,9881,9940,9939,9961,9980,9996,10005,10014,10028,10044,10065,10088,10113
"176","168","Q1HES1 D       Elementary and secondary education housing","Q1HES10",156,155,159,159,156,155,154,152,155,158,157,155,156,156,157,157,157,158,159,159,160,161,163,164,166,167,167,166,165,164,164,164,165,165,165,165,165,165,165,166,165,166,166,166,165,164,164,164,163,163,163,162,162,161,161,161,161,161,161
"177","169","Q1TGR1 D       Tenant group room and board","Q1TGR10",431,415,406,409,425,435,429,415,351,320,296,291,328,337,343,342,324,319,319,320,332,339,346,352,356,359,361,361,353,352,351,348,338,341,347,357,381,389,394,397,392,392,394,396,396,395,392,388,376,371,368,366,370,372,373,374,375,376,377
"178","170","Q1TGL1 D       Tenant group employee lodging","Q1TGL10",37,42,36,35,35,40,35,34,37,39,38,37,38,39,40,40,40,40,41,41,42,42,43,43,43,44,45,46,48,48,49,49,51,51,52,53,54,54,55,55,56,57,58,58,58,58,59,60,62,63,64,66,67,68,69,70,71,72,73
"179","171","Q1HOP1 B   Household operation","Q1HOP10",258725,267670,271029,268048,263593,273389,272562,269866,269941,276686,279104,283895,285416,286169,295590,297100,300541,305499,303818,303408,302628,310945,319348,318607,326971,328051,323616,330447,331160,336372,341120,352792,350229,358538,363489,356089,362787,371092,379932,373702,376339,388561,392540,402995,397596,389462,390250,386564,388464,394507,394678,398923,399469,396757,398712,406026,409280,408355,408387
"180","172","Q1GEL1 B     Electricity and gas","Q1GEL10",111294,118519,120481,119310,117267,125481,122610,118981,116742,120554,120285,124112,125052,123171,129512,129398,129880,132591,127745,124870,123602,129801,135201,132009,138593,136480,129820,134057,130912,132808,132014,139184,133822,140242,141100,131549,135476,138515,143167,135416,133910,141959,143767,153563,148508,138841,138937,137287,139634,144240,145123,149865,149039,144515,144660,150625,151928,148774,147655
"181","173","Q1ELC1 C       Electricity (37)","Q1ELC10",77499,81568,83227,82213,81237,87485,83182,81967,80784,81120,81248,84949,85125,85613,89333,87340,88317,92395,87613,86914,85988,89711,94183,90770,93429,93116,89104,91521,90613,88944,90485,96647,94778,100608,101828,94613,96776,98531,102813,97066,97361,103683,102362,105984,104673,100362,96987,98132,101254,105161,106121,105654,108501,104692,104400,107106,110183,108388,105611
"182","174","Q1NGS1 C       Gas (38)","Q1NGS10",34010,37414,37641,37530,36346,38177,40255,37452,36266,40435,39944,39806,40702,37883,40678,42963,42326,40546,40745,38254,37921,40561,41264,41850,46373,44203,41359,43324,40841,45032,42233,43045,39208,39579,39102,36823,38638,40019,40294,38398,36633,38352,41492,47334,43681,38738,41869,39018,38331,39057,39001,44347,40714,39899,40258,43304,41816,40531,41855
"183","175","Q1HLU1 B     Other household operation","Q1HLU10",147910,149574,150966,149152,146750,148300,150361,151306,153629,156578,159273,160233,160811,163474,166537,168181,171167,173433,176555,178971,179420,181612,184670,187039,188910,192045,194167,196788,200614,203931,209435,213986,216683,218722,222770,224512,227343,232622,236929,238232,242440,246750,248855,249191,248793,251002,251558,249435,248936,250252,249472,248867,250227,252303,254159,255186,257128,259655,260946
"184","176","Q1WAT1 C       Water and other sanitary services (39)","Q1WAT10",41192,41173,41064,40957,40738,40563,40412,40300,39782,39653,39627,39905,40848,41380,41930,42427,42723,43213,43763,44403,44714,45027,45301,45579,45975,46473,46815,47232,47385,47524,47723,47975,48041,48270,48488,48741,49524,49903,50193,50450,50699,50804,50870,50891,51049,51209,51394,51582,51667,51853,52077,52323,52657,52826,52930,52950,52978,53088,53213
"185","177","Q1WSM1 D         Water and sewerage maintenance","Q1WSM10",34542,34453,34335,34260,34196,34143,34036,33905,33440,33314,33245,33405,34035,34403,34778,35125,35315,35675,36101,36604,36862,37045,37167,37267,37473,37800,37971,38211,38262,38252,38274,38322,38216,38315,38436,38624,39075,39280,39417,39543,39642,39703,39744,39762,40008,40228,40487,40758,41006,41243,41464,41650,41795,41850,41844,41766,41692,41681,41681
"186","178","Q1REF1 D         Refuse collection","Q1REF10",6698,6769,6778,6744,6590,6468,6424,6443,6389,6385,6427,6542,6850,7012,7184,7331,7435,7565,7688,7823,7878,8004,8152,8325,8511,8681,8852,9025,9127,9273,9449,9653,9826,9955,10053,10116,10449,10623,10776,10907,11056,11100,11126,11130,11041,10980,10906,10821,10655,10602,10605,10665,10856,10971,11084,11184,11288,11414,11544
"187","179","Q1TEL1 C       Telephone and telegraph (41)","Q1TEL10",57297,58077,59422,58506,58459,60280,62099,63031,64715,66895,69029,69449,68847,70458,72377,72777,74135,74848,76189,76946,76934,78271,80371,82248,83714,85802,87189,89285,91996,94279,98272,101059,101847,102442,105316,106206,108459,113473,117385,118072,120372,124720,127220,127960,128820,131433,132595,131231,130516,131321,130907,129949,130994,132997,134584,135210,136538,139278,140913
"188","180","Q1LOC1 D         Local and cellular telephone","Q1LOC10",29927,30604,31247,30880,30628,31592,32091,32337,32961,34272,35086,35423,35200,36674,37850,38400,38904,39943,41122,41757,41760,43158,44656,45540,46805,48964,49726,50814,51283,52251,53737,55044,56643,58333,60031,61977,64132,67617,69771,72338,74921,78448,80110,82841,86127,88166,89527,91560,92668,94913,94527,94576,95314,96100,96150,96642,98618,100912,101778
"189","181","Q1CEL1 D           Cellular telephone","Q1CEL10",1143,1270,1411,1517,1582,1714,1866,2108,2466,2783,3086,3316,3372,3811,4310,4401,4633,5093,5657,6057,6237,6834,7642,8201,8768,9468,10155,10607,10793,11106,11678,12546,13541,14322,15492,16982,18806,20515,22522,24735,26635,28849,31441,33823,36933,39562,42211,44518,45736,47347,48128,49731,51425,53239,55127,57077,58982,61709,63262
"190","182","Q1OLC1 D           Local telephone","Q1OLC10",33925,34493,34991,34337,33906,34814,35121,34951,35019,35998,36406,36381,36010,36973,37473,37968,38151,38568,38974,39021,38712,39333,39719,39825,40389,41793,41618,42186,42441,43079,43927,44146,44533,45345,45665,45859,45896,47557,47513,47718,48323,49579,48633,49035,49346,48968,47973,47930,47969,48723,47741,46509,45825,45108,43699,42655,42968,42940,42535
"191","183","Q1LDT1 D         Long distance telephone","Q1LDT10",27223,27333,28030,27482,27684,28533,29857,30545,31612,32471,33797,33875,33494,33605,34338,34180,35029,34711,34879,35007,34995,34919,35510,36500,36697,36652,37274,38275,40459,41755,44221,45691,44919,43884,45060,44076,44210,45755,47491,45708,45461,46291,47124,45076,42632,43213,42998,39488,37564,35990,35943,34819,35092,36398,38163,38279,37331,37669,38541
"192","184","Q1INC1 D           Intrastate toll calls","Q1INC10",9965,10098,10287,10104,10155,10701,11406,11856,11659,11802,11822,12139,11908,12172,12421,12644,12945,12916,13185,13798,13677,13660,14036,14520,14895,14933,14360,14234,14685,14399,14879,15285,15307,14624,15064,14532,14854,14475,14521,13798,14100,13930,14506,13975,13810,13268,13330,12456,12584,11147,11136,10077,10665,11229,12195,12291,11935,12653,13582
"193","185","Q1ITC1 D           Interstate toll calls","Q1ITC10",17388,17358,17875,17504,17656,17948,18561,18795,20092,20820,22147,21899,21746,21591,22076,21697,22246,21963,21881,21448,21548,21492,21730,22255,22112,22038,23133,24207,25913,27419,29379,30444,29669,29298,30037,29574,29392,31285,32963,31897,31362,32360,32617,31099,28818,29947,29668,27027,24963,24846,24809,24756,24433,25171,25962,25981,25390,24990,24908
"194","186","Q1DMS1 C       Domestic service (42)","Q1DMS10",14084,14775,14314,14089,13162,13299,13321,13435,13870,14312,14425,14709,14911,14900,14897,14955,15103,15297,15500,15772,15934,16078,16116,16069,15999,15829,15545,15249,15639,15966,16395,16902,17732,18429,18651,18469,17587,16754,16404,16414,17603,17524,17315,16958,16842,16667,16142,15346,15248,15526,15681,15818,16271,16573,16915,17257,17959,18531,19059
"195","187","Q1DMC1 D         Domestic service, cash","Q1DMC10",12961,13637,13241,13023,12102,12203,12190,12274,12679,13080,13192,13461,13705,13707,13694,13730,13805,13957,14142,14388,14562,14696,14721,14659,14567,14402,14147,13886,14241,14562,14995,15494,16288,16919,17107,16924,16073,15302,14989,15012,16154,16071,15868,15514,15372,15204,14705,13959,13824,14055,14185,14324,14785,15094,15446,15805,16484,17069,17596
"196","188","Q1DMI1 D         Domestic service, in kind","Q1DMI10",1131,1151,1089,1081,1065,1098,1131,1158,1190,1231,1232,1248,1209,1197,1207,1227,1297,1337,1354,1381,1371,1380,1393,1407,1428,1422,1393,1359,1394,1401,1399,1409,1445,1511,1545,1545,1514,1451,1414,1401,1449,1452,1447,1444,1470,1463,1437,1387,1425,1472,1498,1497,1486,1477,1466,1448,1470,1456,1456
