"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"116","95","Personal current taxes","W055RC1","1,729.0","1,571.0","1,003.0","728.0","812.0","900.0","1,067.0","1,295.0","1,922.0","1,858.0","1,487.0","1,686.0","2,310.0","4,888.0","16,737.0","17,663.0","19,442.0","17,210.0","19,790.0","19,205.0","16,733.0","18,912.0","27,055.0","32,005.0","33,242.0","30,160.0","32,859.0","36,591.0","38,886.0","38,548.0","42,289.0","46,068.0","47,250.0","51,555.0","54,552.0","52,069.0","57,664.0","66,378.0","72,961.0","86,987.0","104,506.0"
"117","96","  Imputations (-158)","A2115C1","-1,085.0","-1,117.0","-1,104.0","-1,041.0","-921.0","-930.0","-947.0","-930.0","-938.0","-953.0","-929.0","-955.0","-962.0","-1,008.0","-1,057.0","-1,126.0","-1,197.0","-1,181.0","-1,293.0","-1,426.0","-1,633.0","-1,758.0","-1,972.0","-2,221.0","-2,456.0","-2,714.0","-3,112.0","-3,563.0","-4,020.0","-4,494.0","-4,837.0","-5,303.0","-5,868.0","-6,373.0","-7,019.0","-7,660.0","-8,344.0","-8,999.0","-10,071.0","-11,363.0","-12,702.0"
"118","97","  Excluding imputations (95-96)","A2116C1","2,814.0","2,688.0","2,107.0","1,769.0","1,733.0","1,830.0","2,014.0","2,225.0","2,860.0","2,811.0","2,416.0","2,641.0","3,272.0","5,896.0","17,794.0","18,789.0","20,639.0","18,391.0","21,083.0","20,631.0","18,366.0","20,670.0","29,027.0","34,226.0","35,698.0","32,874.0","35,971.0","40,154.0","42,906.0","43,042.0","47,126.0","51,371.0","53,118.0","57,928.0","61,571.0","59,729.0","66,008.0","75,377.0","83,032.0","98,350.0","117,208.0"
"119","98","Disposable personal income","A067RC1","83,532.0","74,936.0","64,639.0","49,536.0","46,392.0","53,161.0","59,769.0","67,918.0","72,777.0","67,224.0","72,139.0","77,714.0","95,560.0","121,825.0","139,440.0","152,046.0","156,336.0","165,458.0","174,826.0","194,456.0","194,511.0","214,992.0","237,400.0","250,650.0","266,323.0","272,432.0","291,724.0","311,820.0","329,600.0","340,926.0","360,904.0","376,464.0","393,832.0","417,532.0","438,287.0","476,287.0","513,183.0","554,194.0","592,787.0","643,756.0","695,752.0"
"120","99","  Imputations (75-96)","A2117C1","6,911.0","6,432.0","5,709.0","4,829.0","4,223.0","4,029.0","4,507.0","4,705.0","5,074.0","5,126.0","5,206.0","5,537.0","7,033.0","9,824.0","12,062.0","13,295.0","14,271.0","13,245.0","12,750.0","14,415.0","15,422.0","17,430.0","21,009.0","23,645.0","25,786.0","27,405.0","29,039.0","31,057.0","33,768.0","36,057.0","38,563.0","41,546.0","44,659.0","47,255.0","49,787.0","53,215.0","56,909.0","61,507.0","66,314.0","77,252.0","86,770.0"
"121","100","  Excluding imputations (98-99)","A2118C1","76,621.0","68,504.0","58,930.0","44,707.0","42,169.0","49,132.0","55,262.0","63,213.0","67,703.0","62,098.0","66,933.0","72,177.0","88,527.0","112,001.0","127,378.0","138,751.0","142,065.0","152,213.0","162,076.0","180,041.0","179,089.0","197,562.0","216,391.0","227,005.0","240,537.0","245,027.0","262,685.0","280,763.0","295,832.0","304,869.0","322,341.0","334,918.0","349,173.0","370,277.0","388,500.0","423,072.0","456,274.0","492,687.0","526,473.0","566,504.0","608,982.0"
"122","101","Personal outlays","A068RC1","79,594.0","71,618.0","61,842.0","49,651.0","46,763.0","52,264.0","56,750.0","63,132.0","67,882.0","65,252.0","68,215.0","72,417.0","82,310.0","89,966.0","100,804.0","109,673.0","121,158.0","145,883.0","163,804.0","177,239.0","180,862.0","194,982.0","211,452.0","222,807.0","237,083.0","244,248.0","263,513.0","277,124.0","292,674.0","302,027.0","323,757.0","338,641.0","349,460.0","371,168.0","391,603.0","421,447.0","454,903.0","492,838.0","520,564.0","571,671.0","620,719.0"
"123","102","  Imputations (5-163+228)","A2119C1","4,912.0","5,120.0","4,763.0","4,437.0","4,026.0","3,698.0","3,821.0","3,687.0","3,855.0","3,788.0","3,297.0","3,076.0","3,262.0","5,852.0","7,990.0","9,163.0","9,563.0","3,436.0","120.0","-1,644.0","-325.0","-4,525.0","-672.0","1,172.0","2,513.0","2,217.0","269.0","3,138.0","6,096.0","8,359.0","5,511.0","9,251.0","12,221.0","13,030.0","12,772.0","13,808.0","15,516.0","20,055.0","23,421.0","24,376.0","28,873.0"
"124","103","  Excluding imputations (101-102)","A2120C1","74,682.0","66,498.0","57,079.0","45,214.0","42,737.0","48,566.0","52,929.0","59,445.0","64,027.0","61,464.0","64,918.0","69,341.0","79,048.0","84,114.0","92,814.0","100,510.0","111,595.0","142,447.0","163,684.0","178,883.0","181,187.0","199,507.0","212,124.0","221,635.0","234,570.0","242,031.0","263,244.0","273,986.0","286,578.0","293,668.0","318,246.0","329,390.0","337,239.0","358,138.0","378,831.0","407,639.0","439,387.0","472,783.0","497,143.0","547,295.0","591,846.0"
"125","104","Personal saving","A071RC1","3,938.0","3,318.0","2,797.0","-115.0","-371.0","897.0","3,019.0","4,786.0","4,895.0","1,972.0","3,924.0","5,297.0","13,250.0","31,859.0","38,636.0","42,373.0","35,178.0","19,575.0","11,022.0","17,217.0","13,649.0","20,010.0","25,948.0","27,843.0","29,240.0","28,184.0","28,211.0","34,696.0","36,926.0","38,899.0","37,147.0","37,823.0","44,372.0","46,364.0","46,684.0","54,840.0","58,280.0","61,356.0","72,223.0","72,085.0","75,033.0"
"126","105","  Imputations (199+209-165-168)","A2121C1","1,995.0","1,310.0","943.0","391.0","195.0","329.0","683.0","1,015.0","1,218.0","1,337.0","1,908.0","2,460.0","3,769.0","3,969.0","4,071.0","4,130.0","4,707.0","9,807.0","12,628.0","16,058.0","15,743.0","21,955.0","21,680.0","22,470.0","23,271.0","25,187.0","28,769.0","27,917.0","27,669.0","27,695.0","33,055.0","32,293.0","32,437.0","34,223.0","37,013.0","39,403.0","41,392.0","41,451.0","42,891.0","52,874.0","57,894.0"
"127","106","  Excluding imputations (104-105)","A2122C1","1,943.0","2,008.0","1,854.0","-506.0","-566.0","568.0","2,336.0","3,771.0","3,677.0","635.0","2,016.0","2,837.0","9,481.0","27,890.0","34,565.0","38,243.0","30,471.0","9,768.0","-1,606.0","1,159.0","-2,094.0","-1,945.0","4,268.0","5,373.0","5,969.0","2,997.0","-558.0","6,779.0","9,257.0","11,204.0","4,092.0","5,530.0","11,935.0","12,141.0","9,671.0","15,437.0","16,888.0","19,905.0","29,332.0","19,211.0","17,139.0"
"128",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","107","Government current receipts","W021RC1","10,544.0","9,975.0","8,685.0","8,171.0","8,628.0","9,700.0","10,462.0","11,886.0","14,266.0","13,873.0","14,249.0","16,622.0","23,764.0","31,224.0","47,619.0","49,432.0","51,366.0","50,387.0","55,395.0","56,757.0","53,588.0","66,091.0","81,919.0","86,444.0","90,800.0","85,933.0","96,655.0","104,147.0","109,797.0","108,166.0","122,548.0","133,922.0","138,527.0","150,049.0","161,613.0","166,011.0","179,655.0","202,101.0","216,922.0","251,209.0","282,523.0"
"130","108","  Imputations (172+183+208-192)","W568RC1","119.0","99.0","94.0","101.0","97.0","132.0","111.0","129.0","70.0","118.0","155.0","41.0","16.0","49.0","120.0","271.0","429.0","1,664.0","824.0","511.0","467.0","98.0","51.0","42.0","79.0","142.0","194.0","226.0","216.0","307.0","335.0","372.0","377.0","363.0","441.0","523.0","398.0","311.0","564.0","650.0","925.0"
"131","109","  Excluding imputations (107-108)","W514RC1","10,425.0","9,876.0","8,591.0","8,070.0","8,531.0","9,568.0","10,351.0","11,757.0","14,196.0","13,755.0","14,094.0","16,581.0","23,748.0","31,175.0","47,499.0","49,161.0","50,937.0","48,723.0","54,571.0","56,246.0","53,121.0","65,993.0","81,868.0","86,402.0","90,721.0","85,791.0","96,461.0","103,921.0","109,581.0","107,859.0","122,213.0","133,550.0","138,150.0","149,686.0","161,172.0","165,488.0","179,257.0","201,790.0","216,358.0","250,559.0","281,598.0"
"132","110","Government current expenditures","W022RC1","8,414.0","8,849.0","10,264.0","9,274.0","9,575.0","11,185.0","11,763.0","13,408.0","12,673.0","13,961.0","15,083.0","16,016.0","21,583.0","41,493.0","63,625.0","77,752.0","82,341.0","57,767.0","52,942.0","55,783.0","61,629.0","63,935.0","75,913.0","86,704.0","92,660.0","91,902.0","95,023.0","99,773.0","109,768.0","119,059.0","124,248.0","131,166.0","140,990.0","151,980.0","160,015.0","168,567.0","181,042.0","203,882.0","231,687.0","260,685.0","283,525.0"
"133","111","  Imputations (172+183+191+195+208+213-214)","A2047C1","-1,462.0","-1,800.0","-1,652.0","-926.0","-640.0","-1,100.0","-1,183.0","-2,350.0","-1,956.0","-2,187.0","-2,352.0","-2,005.0","-7,066.0","-22,190.0","-29,612.0","-24,745.0","-10,234.0","12,420.0","10,123.0","6,278.0","2,904.0","2,466.0","-3,294.0","-6,376.0","-6,876.0","-4,366.0","-2,162.0","-3,131.0","-3,957.0","-4,815.0","-6,643.0","-5,155.0","-7,071.0","-7,887.0","-7,431.0","-7,336.0","-6,385.0","-9,088.0","-10,120.0","-7,097.0","-2,051.0"
"134","112","  Excluding imputations (110-111)","A2114C1","9,876.0","10,649.0","11,916.0","10,200.0","10,215.0","12,285.0","12,946.0","15,758.0","14,629.0","16,148.0","17,435.0","18,021.0","28,649.0","63,683.0","93,237.0","102,497.0","92,575.0","45,347.0","42,819.0","49,505.0","58,725.0","61,469.0","79,207.0","93,080.0","99,536.0","96,268.0","97,185.0","102,904.0","113,725.0","123,874.0","130,891.0","136,321.0","148,061.0","159,867.0","167,446.0","175,903.0","187,427.0","212,970.0","241,807.0","267,782.0","285,576.0"
"135","113","Net government saving","A922RC1","2,130.0","1,126.0","-1,579.0","-1,103.0","-947.0","-1,485.0","-1,301.0","-1,522.0","1,593.0","-88.0","-834.0","606.0","2,181.0","-10,269.0","-16,006.0","-28,320.0","-30,975.0","-7,380.0","2,453.0","974.0","-8,041.0","2,156.0","6,006.0","-260.0","-1,860.0","-5,969.0","1,632.0","4,374.0","29.0","-10,893.0","-1,700.0","2,756.0","-2,463.0","-1,931.0","1,598.0","-2,556.0","-1,387.0","-1,781.0","-14,765.0","-9,476.0","-1,002.0"
"136","114","  Imputations (214-191-192-195-213)","A2010C1","1,581.0","1,899.0","1,746.0","1,027.0","737.0","1,232.0","1,294.0","2,479.0","2,026.0","2,305.0","2,507.0","2,046.0","7,082.0","22,239.0","29,732.0","25,016.0","10,663.0","-10,756.0","-9,299.0","-5,767.0","-2,437.0","-2,368.0","3,345.0","6,418.0","6,955.0","4,508.0","2,356.0","3,357.0","4,173.0","5,122.0","6,978.0","5,527.0","7,448.0","8,250.0","7,872.0","7,859.0","6,783.0","9,399.0","10,684.0","7,747.0","2,976.0"
"137","115","  Excluding imputations (113-114)","A2011C1","549.0","-773.0","-3,325.0","-2,130.0","-1,684.0","-2,717.0","-2,595.0","-4,001.0","-433.0","-2,393.0","-3,341.0","-1,440.0","-4,901.0","-32,508.0","-45,738.0","-53,336.0","-41,638.0","3,376.0","11,752.0","6,741.0","-5,604.0","4,524.0","2,661.0","-6,678.0","-8,815.0","-10,477.0","-724.0","1,017.0","-4,144.0","-16,015.0","-8,678.0","-2,771.0","-9,911.0","-10,181.0","-6,274.0","-10,415.0","-8,170.0","-11,180.0","-25,449.0","-17,223.0","-3,978.0"
"138",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","116","Current receipts from the rest of the world","A1073C1","7,079.0","5,485.0","3,673.0","2,503.0","2,425.0","2,999.0","3,291.0","3,577.0","4,767.0","4,451.0","4,652.0","5,507.0","6,213.0","5,083.0","4,733.0","5,638.0","7,537.0","15,248.0","20,337.0","17,578.0","16,428.0","14,536.0","19,855.0","19,316.0","18,156.0","18,875.0","21,184.0","25,217.0","28,285.0","24,429.0","26,994.0","31,933.0","32,909.0","35,005.0","37,605.0","42,258.0","45,028.0","48,992.0","52,148.0","58,009.0","63,701.0"
"140","117","  Imputations (174+186+187)","Q522RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0"
"141","118","  Excluding imputations (116-117)","W523RC1","7,035.0","5,448.0","3,641.0","2,474.0","2,402.0","2,975.0","3,265.0","3,539.0","4,703.0","4,390.0","4,572.0","5,398.0","6,106.0","4,975.0","4,592.0","5,471.0","7,394.0","15,114.0","20,224.0","17,463.0","16,295.0","14,389.0","19,683.0","19,127.0","17,971.0","18,703.0","21,007.0","25,035.0","28,087.0","24,231.0","26,786.0","31,734.0","32,711.0","34,799.0","37,413.0","42,040.0","44,805.0","48,759.0","51,903.0","57,734.0","63,317.0"
"142","119","  Exports of goods and services","B020RC1","5,939.0","4,444.0","2,906.0","1,975.0","1,987.0","2,561.0","2,769.0","3,007.0","4,039.0","3,811.0","3,969.0","4,897.0","5,482.0","4,375.0","4,034.0","4,880.0","6,781.0","14,156.0","18,740.0","15,547.0","14,484.0","12,350.0","17,099.0","16,459.0","15,313.0","15,836.0","17,677.0","21,284.0","24,017.0","20,560.0","22,725.0","27,045.0","27,602.0","29,065.0","31,075.0","35,019.0","37,147.0","40,921.0","43,466.0","47,907.0","51,922.0"
"143","120","    Imputations (174+180+186)","W512RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","213.0","206.0","195.0","211.0","224.0","251.0","265.0","284.0","280.0","288.0","319.0","303.0","356.0","402.0","416.0","419.0","454.0","543.0"
"144","121","    Excluding imputations (119-120)","W513RC1","5,895.0","4,407.0","2,874.0","1,946.0","1,964.0","2,537.0","2,743.0","2,969.0","3,975.0","3,750.0","3,889.0","4,788.0","5,375.0","4,267.0","3,893.0","4,713.0","6,638.0","14,022.0","18,627.0","15,432.0","14,351.0","12,203.0","16,927.0","16,246.0","15,107.0","15,641.0","17,466.0","21,060.0","23,766.0","20,295.0","22,441.0","26,765.0","27,314.0","28,746.0","30,772.0","34,663.0","36,745.0","40,505.0","43,047.0","47,453.0","51,379.0"
"145","122","  Income receipts from the rest of the world","B645RC1","1,140.0","1,041.0","767.0","528.0","438.0","438.0","522.0","570.0","728.0","640.0","683.0","610.0","731.0","708.0","699.0","758.0","756.0","1,092.0","1,597.0","2,031.0","1,944.0","2,186.0","2,756.0","2,857.0","2,843.0","3,039.0","3,507.0","3,933.0","4,268.0","3,869.0","4,269.0","4,888.0","5,307.0","5,940.0","6,530.0","7,239.0","7,881.0","8,071.0","8,682.0","10,102.0","11,779.0"
"146","123","    Imputations (-180+187)","W526RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-24.0","-21.0","-23.0","-34.0","-42.0","-53.0","-67.0","-76.0","-81.0","-90.0","-113.0","-111.0","-138.0","-179.0","-183.0","-174.0","-179.0","-159.0"
"147","124","    Excluding imputations (122-123)","W527RC1","1,140.0","1,041.0","767.0","528.0","438.0","438.0","522.0","570.0","728.0","640.0","683.0","610.0","731.0","708.0","699.0","758.0","756.0","1,092.0","1,597.0","2,031.0","1,944.0","2,186.0","2,756.0","2,881.0","2,864.0","3,062.0","3,541.0","3,975.0","4,321.0","3,936.0","4,345.0","4,969.0","5,397.0","6,053.0","6,641.0","7,377.0","8,060.0","8,254.0","8,856.0","10,281.0","11,938.0"
"148","125","  Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world \1\","LA0000351",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"149","126","Current payments to the rest of the world","W163RC1","6,307.0","4,795.0","3,476.0","2,334.0","2,275.0","2,569.0","3,344.0","3,669.0","4,553.0","3,286.0","3,622.0","3,964.0","4,927.0","5,136.0","6,842.0","7,605.0","8,860.0","10,331.0","11,048.0","15,161.0","15,549.0","16,379.0","18,978.0","18,726.0","19,477.0","18,705.0","20,812.0","22,535.0","23,568.0","23,627.0","28,267.0","28,761.0","28,695.0","31,207.0","32,657.0","34,791.0","38,870.0","45,182.0","48,666.0","56,475.0","62,097.0"
"150","127","  Imputations (174+186+187)","W522RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0"
"151","128","  Excluding imputations (126-127)","W529RC1","6,263.0","4,758.0","3,444.0","2,305.0","2,252.0","2,545.0","3,318.0","3,631.0","4,489.0","3,225.0","3,542.0","3,855.0","4,820.0","5,028.0","6,701.0","7,438.0","8,717.0","10,197.0","10,935.0","15,046.0","15,416.0","16,232.0","18,806.0","18,537.0","19,292.0","18,533.0","20,635.0","22,353.0","23,370.0","23,429.0","28,059.0","28,562.0","28,497.0","31,001.0","32,465.0","34,573.0","38,647.0","44,949.0","48,421.0","56,200.0","61,713.0"
"152","129","  Imports of goods and services","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"153","130","    Imputations (187)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"154","131","    Excluding imputations (129-130)","W515RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"155","132","  Income payments to the rest of the world","A655RC1","374.0","332.0","252.0","164.0","138.0","159.0","181.0","308.0","359.0","261.0","310.0","330.0","315.0","297.0","368.0","434.0","491.0","440.0","487.0","575.0","664.0","746.0","864.0","872.0","944.0","944.0","1,058.0","1,137.0","1,213.0","1,241.0","1,508.0","1,775.0","1,788.0","1,847.0","2,053.0","2,319.0","2,602.0","3,001.0","3,289.0","4,017.0","5,664.0"
"156","133","    Imputations (174+186)","W532RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0"
"157","134","    Excluding imputations (132-133)","W533RC1","330.0","295.0","220.0","135.0","115.0","135.0","155.0","270.0","295.0","200.0","230.0","221.0","208.0","189.0","227.0","267.0","348.0","306.0","374.0","460.0","531.0","599.0","692.0","683.0","759.0","772.0","881.0","955.0","1,015.0","1,043.0","1,300.0","1,576.0","1,590.0","1,641.0","1,861.0","2,101.0","2,379.0","2,768.0","3,044.0","3,742.0","5,280.0"
"158","135","  Current taxes and transfer payments to the rest of the world \1\","A123RC1","377.0","342.0","319.0","238.0","208.0","171.0","181.0","207.0","233.0","180.0","176.0","208.0","163.0","212.0","194.0","267.0","822.0","2,917.0","2,628.0","4,526.0","5,636.0","4,021.0","3,528.0","2,559.0","2,519.0","2,329.0","2,555.0","2,475.0","2,413.0","2,364.0","4,430.0","4,145.0","4,219.0","4,395.0","4,469.0","4,367.0","4,739.0","5,124.0","5,465.0","5,902.0","5,942.0"
"159",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","136","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1","20,842.0","15,371.0","9,831.0","4,247.0","4,452.0","7,396.0","10,168.0","13,525.0","17,076.0","13,401.0","15,852.0","20,557.0","31,452.0","40,695.0","45,183.0","45,362.0","36,385.0","42,754.0","52,102.0","61,250.0","51,283.0","66,141.0","83,201.0","82,476.0","85,749.0","83,629.0","98,488.0","107,500.0","111,453.0","104,372.0","120,249.0","125,648.0","130,692.0","143,373.0","152,668.0","166,009.0","183,664.0","201,563.0","203,842.0","217,690.0","234,705.0"
"161","137","  Imputations (209+214)","W558RC1","5,556.0","5,164.0","4,506.0","2,949.0","2,536.0","3,393.0","3,819.0","5,486.0","5,399.0","5,858.0","6,667.0","6,879.0","13,814.0","30,699.0","41,103.0","39,369.0","27,043.0","11,938.0","16,621.0","22,858.0","25,051.0","30,801.0","37,486.0","42,597.0","45,371.0","45,976.0","48,476.0","50,179.0","52,069.0","53,931.0","62,343.0","61,164.0","64,358.0","68,531.0","72,545.0","76,187.0","78,897.0","83,575.0","88,219.0","93,673.0","96,346.0"
"162","138","  Excluding imputations (136-137)","W559RC1","15,286.0","10,207.0","5,325.0","1,298.0","1,916.0","4,003.0","6,349.0","8,039.0","11,677.0","7,543.0","9,185.0","13,678.0","17,638.0","9,996.0","4,080.0","5,993.0","9,342.0","30,816.0","35,481.0","38,392.0","26,232.0","35,340.0","45,715.0","39,879.0","40,378.0","37,653.0","50,012.0","57,321.0","59,384.0","50,441.0","57,906.0","64,484.0","66,334.0","74,842.0","80,123.0","89,822.0","104,767.0","117,988.0","115,623.0","124,017.0","138,359.0"
"163","139","Net saving","W201RC1","9,731.0","5,632.0","-395.0","-4,337.0","-4,052.0","-1,382.0","1,941.0","3,562.0","7,378.0","2,698.0","4,475.0","8,925.0","19,083.0","26,710.0","29,010.0","21,459.0","9,366.0","15,760.0","20,050.0","30,127.0","17,225.0","31,462.0","42,023.0","39,289.0","38,501.0","34,769.0","47,492.0","55,443.0","52,930.0","41,333.0","54,664.0","59,111.0","61,063.0","69,354.0","76,183.0","83,643.0","94,912.0","101,146.0","96,915.0","101,193.0","108,231.0"
"164","140","  Imputations (209+214-165-168-213)","W534RC1","3,486.0","3,113.0","2,588.0","1,314.0","834.0","1,467.0","1,868.0","3,370.0","3,084.0","3,448.0","4,197.0","4,267.0","10,581.0","25,824.0","33,274.0","28,552.0","14,748.0","-1,439.0","2,713.0","9,467.0","12,278.0","18,391.0","23,659.0","27,377.0","28,819.0","28,258.0","29,469.0","29,262.0","29,481.0","30,220.0","37,165.0","34,614.0","36,423.0","38,859.0","40,985.0","42,877.0","43,628.0","45,889.0","47,718.0","49,671.0","48,332.0"
"165","141","  Excluding imputations (139-140)","W535RC1","6,245.0","2,519.0","-2,983.0","-5,651.0","-4,886.0","-2,849.0","73.0","192.0","4,294.0","-750.0","278.0","4,658.0","8,502.0","886.0","-4,264.0","-7,093.0","-5,382.0","17,199.0","17,337.0","20,660.0","4,947.0","13,071.0","18,364.0","11,912.0","9,682.0","6,511.0","18,023.0","26,181.0","23,449.0","11,113.0","17,499.0","24,497.0","24,640.0","30,495.0","35,198.0","40,766.0","51,284.0","55,257.0","49,197.0","51,522.0","59,899.0"
"166","142","  Personal saving","A071RC1","3,938.0","3,318.0","2,797.0","-115.0","-371.0","897.0","3,019.0","4,786.0","4,895.0","1,972.0","3,924.0","5,297.0","13,250.0","31,859.0","38,636.0","42,373.0","35,178.0","19,575.0","11,022.0","17,217.0","13,649.0","20,010.0","25,948.0","27,843.0","29,240.0","28,184.0","28,211.0","34,696.0","36,926.0","38,899.0","37,147.0","37,823.0","44,372.0","46,364.0","46,684.0","54,840.0","58,280.0","61,356.0","72,223.0","72,085.0","75,033.0"
"167","143","    Imputations (199+209-165-168)","A2121C1","1,995.0","1,310.0","943.0","391.0","195.0","329.0","683.0","1,015.0","1,218.0","1,337.0","1,908.0","2,460.0","3,769.0","3,969.0","4,071.0","4,130.0","4,707.0","9,807.0","12,628.0","16,058.0","15,743.0","21,955.0","21,680.0","22,470.0","23,271.0","25,187.0","28,769.0","27,917.0","27,669.0","27,695.0","33,055.0","32,293.0","32,437.0","34,223.0","37,013.0","39,403.0","41,392.0","41,451.0","42,891.0","52,874.0","57,894.0"
"168","144","    Excluding imputations (142-143)","A2122C1","1,943.0","2,008.0","1,854.0","-506.0","-566.0","568.0","2,336.0","3,771.0","3,677.0","635.0","2,016.0","2,837.0","9,481.0","27,890.0","34,565.0","38,243.0","30,471.0","9,768.0","-1,606.0","1,159.0","-2,094.0","-1,945.0","4,268.0","5,373.0","5,969.0","2,997.0","-558.0","6,779.0","9,257.0","11,204.0","4,092.0","5,530.0","11,935.0","12,141.0","9,671.0","15,437.0","16,888.0","19,905.0","29,332.0","19,211.0","17,139.0"
"169","145","  Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1","3,663.0","1,188.0","-1,613.0","-3,119.0","-2,734.0","-794.0","223.0","298.0","890.0","814.0","1,385.0","3,022.0","3,652.0","5,120.0","6,380.0","7,406.0","5,163.0","3,565.0","6,575.0","11,936.0","11,617.0","9,296.0","10,069.0","11,706.0","11,121.0","12,554.0","17,649.0","16,373.0","15,975.0","13,327.0","19,217.0","18,532.0","19,154.0","24,921.0","27,901.0","31,359.0","38,019.0","41,571.0","39,457.0","38,584.0","34,200.0"
"170","146","    Imputations (188-190+195-196-197+198-199)","Y677RC1","-90.0","-95.0","-101.0","-105.0","-98.0","-94.0","-109.0","-124.0","-161.0","-194.0","-219.0","-241.0","-271.0","-384.0","-529.0","-594.0","-622.0","-490.0","-616.0","-824.0","-1,028.0","-1,196.0","-1,366.0","-1,511.0","-1,407.0","-1,437.0","-1,656.0","-2,012.0","-2,361.0","-2,597.0","-2,868.0","-3,206.0","-3,462.0","-3,613.0","-3,900.0","-4,387.0","-4,547.0","-4,962.0","-5,857.0","-10,951.0","-12,538.0"
