"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"41","22","    Supplements to wages and salaries","B462RC1","35,949.0","36,774.0","37,664.0","38,492.0","38,954.0","39,479.0","39,827.0","39,927.0","41,559.0","42,169.0","42,903.0","44,188.0","48,502.0","49,799.0","50,523.0","51,358.0","56,869.0","57,349.0","57,911.0","58,998.0","61,429.0","63,063.0","65,339.0","67,770.0","70,389.0","72,853.0","75,305.0","77,296.0","81,984.0","83,739.0","86,335.0","89,614.0","96,324.0","100,442.0","103,674.0","106,586.0","115,316.0","118,944.0","122,047.0","125,842.0","133,969.0","137,677.0","141,893.0","146,036.0","151,114.0","154,159.0","157,344.0","161,452.0","171,206.0","174,010.0","177,274.0","179,879.0","183,938.0","186,778.0","189,868.0","192,645.0","199,183.0","203,315.0","207,286.0","211,680.0","222,061.0","226,117.0","230,150.0","234,136.0","238,961.0","243,917.0","249,410.0","256,030.0","262,811.0","268,104.0","273,646.0","278,885.0","282,075.0","286,077.0","290,329.0","295,310.0","301,012.0","306,926.0","313,178.0","320,652.0","325,205.0","331,779.0","337,815.0","344,083.0","350,378.0","353,655.0","356,529.0","358,023.0","359,750.0","365,073.0","372,101.0","380,655.0","393,054.0","402,285.0","409,530.0","414,336.0","417,739.0","423,468.0","427,759.0","433,296.0","440,844.0","445,618.0","447,612.0","449,345.0","445,519.0","446,052.0","448,096.0","451,035.0","454,666.0","459,389.0","463,068.0","466,132.0","468,455.0","473,166.0","480,493.0","491,134.0","498,578.0","508,260.0","516,080.0","521,919.0","528,004.0","532,786.0","540,822.0","553,890.0","576,249.0","584,853.0","595,202.0","599,472.0","596,094.0","592,630.0","588,005.0","586,538.0","599,153.0","603,848.0","604,122.0","604,863.0","621,482.0","629,164.0","636,689.0","646,426.0","647,153.0","658,531.0","671,004.0","674,898.0","679,977.0","686,528.0","697,365.0","705,319.0","701,109.0","704,505.0","708,204.0","720,106.0","729,415.0","731,342.0","732,724.0","739,655.0","741,134.0","739,083.0","738,972.0","734,633.0","709,599.0","711,365.0","709,186.0","713,410.0","697,994.0","710,672.0","718,005.0","723,680.0","735,425.0","738,115.0","746,119.0","742,126.0","758,821.0","761,040.0","763,579.0","782,173.0","783,895.0","791,764.0","795,767.0","801,929.0","811,716.0","817,288.0","824,983.0","833,451.0","842,746.0"
"42","23","  Taxes on production and imports less subsidies","W325RC1","48,752.0","49,772.0","50,676.0","51,524.0","52,644.0","53,628.0","54,772.0","55,952.0","57,464.0","58,852.0","60,368.0","61,380.0","61,908.0","62,744.0","64,120.0","65,888.0","67,720.0","69,372.0","71,088.0","72,120.0","72,704.0","73,744.0","74,840.0","76,432.0","77,876.0","79,332.0","80,968.0","82,600.0","83,976.0","85,760.0","87,488.0","89,448.0","91,032.0","92,932.0","95,676.0","98,884.0","102,244.0","105,896.0","99,584.0","103,180.0","105,092.0","107,172.0","109,972.0","112,792.0","114,836.0","118,108.0","123,312.0","129,888.0","137,952.0","145,820.0","150,168.0","152,664.0","152,344.0","151,780.0","152,496.0","155,040.0","159,728.0","165,260.0","170,980.0","176,104.0","179,992.0","183,580.0","186,776.0","189,664.0","192,456.0","195,816.0","198,224.0","199,820.0","201,044.0","203,184.0","205,420.0","208,612.0","211,580.0","215,068.0","218,192.0","222,520.0","227,880.0","233,168.0","234,996.0","239,312.0","242,852.0","246,844.0","249,888.0","253,040.0","255,772.0","260,612.0","266,100.0","271,628.0","278,336.0","283,152.0","288,168.0","293,260.0","296,848.0","300,336.0","304,380.0","308,440.0","310,857.0","315,894.0","320,681.0","329,855.0","342,123.0","349,963.0","354,019.0","356,882.0","356,179.0","355,884.0","359,512.0","363,095.0","364,500.0","369,499.0","372,815.0","379,912.0","378,894.0","387,600.0","392,025.0","397,077.0","396,243.0","400,516.0","405,245.0","409,611.0","414,850.0","420,534.0","427,885.0","435,276.0","443,565.0","449,103.0","451,606.0","455,198.0","447,244.0","440,838.0","431,306.0","460,452.0","460,996.0","469,616.0","477,996.0","483,137.0","486,241.0","483,713.0","503,364.0","509,748.0","518,324.0","525,890.0","533,792.0","545,563.0","557,455.0","569,787.0","579,079.0","586,384.0","599,365.0","607,680.0","613,363.0","619,873.0","624,721.0","630,839.0","635,180.0","639,375.0","630,541.0","636,487.0","637,126.0","626,551.0","601,567.0","604,493.0","600,826.0","616,599.0","624,555.0","631,103.0","636,279.0","640,057.0","661,484.0","671,469.0","671,462.0","677,998.0","690,457.0","692,220.0","689,908.0","696,342.0","710,246.0","708,614.0","718,109.0","723,939.0","725,362.0","733,636.0","742,285.0","744,970.0","742,659.0"
"43","24","  Net operating surplus","W326RC1","98,556.0","96,527.0","94,422.0","89,911.0","83,160.0","87,589.0","86,767.0","81,839.0","94,726.0","96,025.0","97,759.0","101,862.0","106,607.0","108,209.0","113,273.0","120,598.0","126,645.0","123,478.0","124,135.0","127,705.0","122,350.0","123,489.0","120,414.0","118,975.0","120,256.0","133,505.0","153,637.0","158,204.0","172,438.0","168,756.0","169,819.0","168,321.0","176,332.0","196,372.0","210,101.0","205,193.0","195,739.0","225,999.0","228,611.0","236,597.0","230,175.0","228,897.0","224,814.0","223,360.0","223,701.0","203,580.0","218,841.0","246,422.0","260,944.0","266,117.0","288,302.0","275,865.0","260,941.0","271,627.0","269,441.0","254,832.0","268,250.0","294,447.0","315,025.0","333,306.0","369,503.0","373,521.0","371,483.0","378,954.0","378,545.0","379,776.0","399,131.0","378,092.0","376,214.0","362,257.0","357,530.0","362,879.0","375,636.0","400,363.0","422,685.0","423,214.0","441,236.0","448,386.0","456,618.0","484,469.0","463,629.0","459,728.0","461,025.0","446,646.0","458,716.0","474,101.0","451,768.0","444,388.0","458,860.0","455,396.0","449,077.0","438,622.0","443,915.0","447,287.0","438,591.0","463,079.0","451,341.0","481,226.0","485,730.0","529,673.0","544,197.0","571,104.0","591,902.0","622,130.0","608,657.0","616,075.0","653,315.0","659,747.0","682,110.0","693,647.0","701,435.0","720,312.0","735,679.0","745,238.0","782,583.0","770,710.0","723,973.0","732,528.0","757,202.0","741,248.0","762,431.0","766,078.0","741,594.0","737,574.0","739,583.0","744,067.0","725,699.0","686,368.0","621,545.0","681,938.0","692,579.0","629,258.0","698,023.0","706,256.0","711,230.0","761,729.0","771,233.0","802,518.0","833,333.0","853,128.0","915,954.0","957,789.0","995,469.0","986,989.0","1,058,207.0","1,123,120.0","1,084,998.0","1,208,628.0","1,238,670.0","1,241,724.0","1,332,820.0","1,263,788.0","1,247,573.0","1,282,207.0","1,182,115.0","1,191,200.0","1,138,911.0","1,151,086.0","1,268,678.0","1,129,999.0","1,052,201.0","1,016,216.0","1,047,132.0","1,178,556.0","1,279,755.0","1,318,341.0","1,423,168.0","1,388,606.0","1,296,811.0","1,421,533.0","1,457,470.0","1,500,747.0","1,534,151.0","1,581,648.0","1,551,884.0","1,577,690.0","1,573,462.0","1,610,452.0","1,597,294.0","1,589,168.0","1,501,602.0","1,614,620.0","1,658,531.0","1,682,107.0","....."
"44","25","    Net interest and miscellaneous payments","B471RC1","11,918.0","12,887.0","13,988.0","15,211.0","16,616.0","17,624.0","18,299.0","18,635.0","18,725.0","18,774.0","18,871.0","19,026.0","19,299.0","19,649.0","20,146.0","20,807.0","21,778.0","22,898.0","24,306.0","25,982.0","28,057.0","29,670.0","30,963.0","31,932.0","32,651.0","32,810.0","32,499.0","31,700.0","30,437.0","29,789.0","29,763.0","30,363.0","31,588.0","32,732.0","33,730.0","34,574.0","35,347.0","36,199.0","37,208.0","38,372.0","40,315.0","42,224.0","44,706.0","47,761.0","52,537.0","56,098.0","59,620.0","63,112.0","66,865.0","70,427.0","74,020.0","77,641.0","81,286.0","83,292.0","83,821.0","82,873.0","81,120.0","80,769.0","82,084.0","85,058.0","89,737.0","93,070.0","95,185.0","96,077.0","95,617.0","96,210.0","97,752.0","100,246.0","103,826.0","106,698.0","109,031.0","110,829.0","112,245.0","114,443.0","117,564.0","121,602.0","127,355.0","132,932.0","138,969.0","145,435.0","152,362.0","158,221.0","163,075.0","166,904.0","169,638.0","170,903.0","171,716.0","168,656.0","165,190.0","160,580.0","154,936.0","148,267.0","141,233.0","133,945.0","128,509.0","124,181.0","121,011.0","118,462.0","116,587.0","115,443.0","114,856.0","115,444.0","117,243.0","120,154.0","124,747.0","127,130.0","127,784.0","125,723.0","122,094.0","119,396.0","118,662.0","118,845.0","121,146.0","124,135.0","128,707.0","134,038.0","140,873.0","145,651.0","149,506.0","151,059.0","151,029.0","154,671.0","161,794.0","172,006.0","185,690.0","195,817.0","203,862.0","208,178.0","168,660.0","218,931.0","244,649.0","244,067.0","221,445.0","203,097.0","189,661.0","180,217.0","175,278.0","172,151.0","167,731.0","163,968.0","159,380.0","158,141.0","158,693.0","163,291.0","173,512.0","173,843.0","174,012.0","173,046.0","173,164.0","177,875.0","185,169.0","199,279.0","219,123.0","238,073.0","259,119.0","279,507.0","299,247.0","312,196.0","313,533.0","305,134.0","292,531.0","284,123.0","278,664.0","279,401.0","282,729.0","286,084.0","287,641.0","288,269.0","287,448.0","287,960.0","290,414.0","292,964.0","297,232.0","299,974.0","300,679.0","299,963.0","295,914.0","293,849.0","293,225.0","292,202.0","292,927.0","271,608.0","279,714.0","287,896.0","....."
"45","26","    Business current transfer payments (net)","W327RC1","3,015.0","3,032.0","3,041.0","3,099.0","3,124.0","3,166.0","3,160.0","3,278.0","3,478.0","3,576.0","3,646.0","3,669.0","3,754.0","3,797.0","3,917.0","4,073.0","4,603.0","4,807.0","4,428.0","4,177.0","4,020.0","3,715.0","3,617.0","3,602.0","4,036.0","4,598.0","4,903.0","5,327.0","5,888.0","6,459.0","6,990.0","7,464.0","8,232.0","8,566.0","8,958.0","9,069.0","9,259.0","9,252.0","9,201.0","9,099.0","9,125.0","9,036.0","8,985.0","8,965.0","9,187.0","9,273.0","9,399.0","10,685.0","11,090.0","10,969.0","10,679.0","9,897.0","8,951.0","8,000.0","7,617.0","7,909.0","9,116.0","9,844.0","10,273.0","10,579.0","10,660.0","10,789.0","10,989.0","11,301.0","12,190.0","16,239.0","15,164.0","17,855.0","28,473.0","24,744.0","26,223.0","28,237.0","29,401.0","30,359.0","29,578.0","29,283.0","28,116.0","27,407.0","26,730.0","25,890.0","24,696.0","23,193.0","23,081.0","22,955.0","24,092.0","24,676.0","25,082.0","25,617.0","25,680.0","25,366.0","25,987.0","27,336.0","29,338.0","30,300.0","30,837.0","32,297.0","29,771.0","28,658.0","28,964.0","30,689.0","33,829.0","35,412.0","35,443.0","33,919.0","30,842.0","29,338.0","29,411.0","31,059.0","34,277.0","36,780.0","38,570.0","39,644.0","40,009.0","39,546.0","38,256.0","36,139.0","32,573.0","29,911.0","31,303.0","42,730.0","42,508.0","46,032.0","47,072.0","46,898.0","44,923.0","44,120.0","44,899.0","47,927.0","52,367.0","55,589.0","56,985.0","56,249.0","52,384.0","50,717.0","51,487.0","54,681.0","58,977.0","62,052.0","63,451.0","62,887.0","60,955.0","60,453.0","61,832.0","64,736.0","70,589.0","74,450.0","75,881.0","75,944.0","72,654.0","70,827.0","69,452.0","68,502.0","66,473.0","64,091.0","60,795.0","57,382.0","51,108.0","47,748.0","46,638.0","55,882.0","65,196.0","76,772.0","70,842.0","74,221.0","80,578.0","81,277.0","85,128.0","86,102.0","88,745.0","89,085.0","91,803.0","92,159.0","99,447.0","95,430.0","88,639.0","86,249.0","87,184.0","88,281.0","83,014.0","81,513.0","82,805.0","82,798.0","86,591.0","83,887.0","81,976.0"
"46","27","    Corporate profits with IVA and CCAdj","A463RC1","83,623.0","80,608.0","77,393.0","71,601.0","63,420.0","66,799.0","65,308.0","59,926.0","72,523.0","73,675.0","75,242.0","79,167.0","83,554.0","84,763.0","89,210.0","95,718.0","100,264.0","95,773.0","95,401.0","97,546.0","90,273.0","90,104.0","85,834.0","83,441.0","83,569.0","96,097.0","116,235.0","121,177.0","136,113.0","132,508.0","133,066.0","130,494.0","136,512.0","155,074.0","167,413.0","161,550.0","151,133.0","180,548.0","182,202.0","189,126.0","180,735.0","177,637.0","171,123.0","166,634.0","161,977.0","138,209.0","149,822.0","172,625.0","182,989.0","184,721.0","203,603.0","188,327.0","170,704.0","180,335.0","178,003.0","164,050.0","178,014.0","203,834.0","222,668.0","237,669.0","269,106.0","269,662.0","265,309.0","271,576.0","270,738.0","267,327.0","286,215.0","259,991.0","243,915.0","230,815.0","222,276.0","223,813.0","233,990.0","255,561.0","275,543.0","272,329.0","285,765.0","288,047.0","290,919.0","313,144.0","286,571.0","278,314.0","274,869.0","256,787.0","264,986.0","278,522.0","254,970.0","250,115.0","267,990.0","269,450.0","268,154.0","263,019.0","273,344.0","283,042.0","279,245.0","306,601.0","300,559.0","334,106.0","340,179.0","383,541.0","395,512.0","420,248.0","439,216.0","468,057.0","453,068.0","459,607.0","496,120.0","502,965.0","525,739.0","537,471.0","544,203.0","561,823.0","574,524.0","581,557.0","615,620.0","600,533.0","550,527.0","556,966.0","576,393.0","547,459.0","568,894.0","565,375.0","532,728.0","518,670.0","508,970.0","504,130.0","476,938.0","430,263.0","400,518.0","407,418.0","390,945.0","328,942.0","424,194.0","452,442.0","470,082.0","526,831.0","536,978.0","568,315.0","602,151.0","626,273.0","695,619.0","739,195.0","774,944.0","758,962.0","814,106.0","874,827.0","835,105.0","959,638.0","992,852.0","993,022.0","1,078,199.0","996,007.0","961,977.0","980,043.0","862,201.0","854,311.0","788,556.0","791,142.0","908,507.0","768,983.0","694,474.0","655,321.0","697,626.0","824,934.0","916,448.0","950,980.0","1,050,399.0","1,014,235.0","920,618.0","1,044,488.0","1,075,253.0","1,115,624.0","1,137,472.0","1,186,244.0","1,162,566.0","1,191,478.0","1,190,364.0","1,228,322.0","1,221,055.0","1,215,453.0","1,125,870.0","1,260,214.0","1,292,226.0","1,310,324.0","....."
"47","28","      Taxes on corporate income","B465RC1","34,980.0","33,920.0","32,556.0","31,920.0","27,492.0","27,512.0","28,024.0","26,116.0","29,812.0","30,560.0","29,544.0","30,064.0","31,936.0","32,040.0","33,504.0","37,700.0","40,656.0","40,584.0","38,908.0","41,488.0","40,280.0","42,384.0","46,968.0","41,764.0","33,848.0","37,316.0","47,720.0","48,748.0","55,396.0","53,688.0","52,940.0","51,956.0","55,852.0","60,712.0","62,632.0","63,116.0","56,724.0","69,724.0","69,528.0","74,248.0","71,276.0","71,552.0","71,064.0","68,584.0","76,712.0","57,912.0","65,544.0","72,644.0","71,908.0","64,588.0","68,016.0","59,464.0","49,792.0","51,220.0","50,288.0","43,752.0","45,472.0","60,000.0","69,452.0","71,960.0","82,220.0","81,080.0","70,544.0","69,916.0","71,352.0","67,928.0","73,844.0","71,208.0","73,200.0","71,864.0","74,456.0","85,432.0","85,636.0","96,356.0","99,482.0","95,445.0","97,980.0","102,652.0","104,602.0","110,577.0","112,683.0","101,884.0","94,440.0","95,825.0","94,538.0","99,308.0","102,020.0","97,946.0","95,428.0","87,416.0","85,423.0","86,125.0","88,687.0","94,986.0","94,451.0","99,593.0","97,405.0","110,957.0","100,948.0","122,854.0","117,070.0","124,673.0","137,969.0","149,712.0","141,058.0","136,361.0","142,808.0","141,064.0","145,858.0","154,159.0","153,990.0","157,705.0","153,886.0","157,763.0","170,241.0","163,547.0","161,347.0","158,616.0","161,837.0","152,872.0","170,077.0","169,635.0","169,850.0","175,923.0","181,284.0","180,805.0","158,838.0","159,844.0","123,143.0","118,806.0","112,839.0","90,194.0","86,287.0","93,764.0","98,951.0","109,423.0","127,574.0","118,824.0","132,414.0","152,745.0","164,633.0","185,481.0","199,020.0","198,823.0","264,128.0","265,249.0","257,645.0","300,442.0","294,181.0","308,851.0","329,363.0","298,415.0","311,229.0","302,489.0","278,926.0","282,634.0","248,031.0","252,832.0","255,395.0","153,481.0","167,689.0","161,772.0","169,963.0","211,955.0","208,840.0","220,218.0","229,344.0","223,935.0","219,766.0","225,775.0","235,619.0","234,033.0","268,338.0","266,178.0","269,128.0","281,841.0","330,291.0","326,023.0","319,258.0","341,809.0","366,215.0","394,756.0","400,025.0","395,385.0","....."
"48","29","      Profits after tax with IVA and CCAdj","W328RC1","48,643.0","46,688.0","44,837.0","39,681.0","35,928.0","39,287.0","37,284.0","33,810.0","42,711.0","43,115.0","45,698.0","49,103.0","51,618.0","52,723.0","55,706.0","58,018.0","59,608.0","55,189.0","56,493.0","56,058.0","49,993.0","47,720.0","38,866.0","41,677.0","49,721.0","58,781.0","68,515.0","72,429.0","80,717.0","78,820.0","80,126.0","78,538.0","80,660.0","94,362.0","104,781.0","98,434.0","94,409.0","110,824.0","112,674.0","114,878.0","109,459.0","106,085.0","100,059.0","98,050.0","85,265.0","80,297.0","84,278.0","99,981.0","111,081.0","120,133.0","135,587.0","128,863.0","120,912.0","129,115.0","127,715.0","120,298.0","132,542.0","143,834.0","153,216.0","165,709.0","186,886.0","188,582.0","194,765.0","201,660.0","199,386.0","199,399.0","212,371.0","188,783.0","170,715.0","158,951.0","147,820.0","138,381.0","148,354.0","159,205.0","176,061.0","176,884.0","187,785.0","185,395.0","186,317.0","202,567.0","173,888.0","176,430.0","180,429.0","160,962.0","170,448.0","179,214.0","152,950.0","152,169.0","172,562.0","182,034.0","182,731.0","176,894.0","184,657.0","188,056.0","184,794.0","207,008.0","203,154.0","223,149.0","239,231.0","260,687.0","278,442.0","295,575.0","301,247.0","318,345.0","312,010.0","323,246.0","353,312.0","361,901.0","379,881.0","383,312.0","390,213.0","404,118.0","420,638.0","423,794.0","445,379.0","436,986.0","389,180.0","398,350.0","414,556.0","394,587.0","398,817.0","395,740.0","362,878.0","342,747.0","327,686.0","323,325.0","318,100.0","270,419.0","277,375.0","288,612.0","278,106.0","238,748.0","337,907.0","358,678.0","371,131.0","417,408.0","409,404.0","449,491.0","469,737.0","473,528.0","530,986.0","553,714.0","575,924.0","560,139.0","549,978.0","609,578.0","577,460.0","659,196.0","698,671.0","684,171.0","748,836.0","697,592.0","650,748.0","677,554.0","583,275.0","571,677.0","540,525.0","538,310.0","653,112.0","615,502.0","526,785.0","493,549.0","527,663.0","612,979.0","707,608.0","730,762.0","821,055.0","790,300.0","700,852.0","818,713.0","839,634.0","881,591.0","869,134.0","920,066.0","893,438.0","909,637.0","860,073.0","902,299.0","901,797.0","873,644.0","759,655.0","865,458.0","892,201.0","914,939.0","....."
"49","30","        Net dividends","B467RC1","19,028.0","19,160.0","18,812.0","19,104.0","18,272.0","18,484.0","18,044.0","18,380.0","18,912.0","17,584.0","19,008.0","17,076.0","19,900.0","19,788.0","19,712.0","19,288.0","19,688.0","20,580.0","21,424.0","21,308.0","20,276.0","23,048.0","22,144.0","20,660.0","24,840.0","24,220.0","24,092.0","25,132.0","24,140.0","27,876.0","28,972.0","30,112.0","29,220.0","29,856.0","31,232.0","33,336.0","33,932.0","33,088.0","37,468.0","39,216.0","38,200.0","38,176.0","35,940.0","38,240.0","38,272.0","51,604.0","43,044.0","45,684.0","49,508.0","51,788.0","54,016.0","54,696.0","58,396.0","47,414.0","52,386.0","58,033.0","62,963.0","60,834.0","63,381.0","65,818.0","66,764.0","67,189.0","68,006.0","66,857.0","68,187.0","76,025.0","70,696.0","73,116.0","70,746.0","75,956.0","70,911.0","73,805.0","74,886.0","73,657.0","74,778.0","81,682.0","71,908.0","78,285.0","93,946.0","84,522.0","105,165.0","105,349.0","109,028.0","101,904.0","119,708.0","115,947.0","117,565.0","119,976.0","120,257.0","126,333.0","125,889.0","129,491.0","127,754.0","132,112.0","133,777.0","143,422.0","144,926.0","145,600.0","148,754.0","157,446.0","151,882.0","159,726.0","156,279.0","164,018.0","167,248.0","169,709.0","185,098.0","190,044.0","186,950.0","191,379.0","202,059.0","209,810.0","207,951.0","210,185.0","216,979.0","228,670.0","237,718.0","243,441.0","239,266.0","243,708.0","224,933.0","226,498.0","213,080.0","234,157.0","243,318.0","256,606.0","263,553.0","241,830.0","241,477.0","226,187.0","257,505.0","256,506.0","252,050.0","260,246.0","240,754.0","266,110.0","239,300.0","327,697.0","294,274.0","312,193.0","333,514.0","322,977.0","328,136.0","473,298.0","314,107.0","252,167.0","106,546.0","10,388.0","399,369.0","412,943.0","487,905.0","584,081.0","478,089.0","481,016.0","502,035.0","477,187.0","468,875.0","484,532.0","478,077.0","465,193.0","448,927.0","374,349.0","275,690.0","306,609.0","356,840.0","346,344.0","394,261.0","404,447.0","414,443.0","432,211.0","447,857.0","469,676.0","459,824.0","465,014.0","499,819.0","657,696.0","517,307.0","515,900.0","597,833.0","516,519.0","574,983.0","554,271.0","534,964.0","570,088.0","....."
"50","31","        Undistributed profits with IVA and CCAdj","W332RC1","29,615.0","27,528.0","26,025.0","20,577.0","17,656.0","20,803.0","19,240.0","15,430.0","23,799.0","25,531.0","26,690.0","32,027.0","31,718.0","32,935.0","35,994.0","38,730.0","39,920.0","34,609.0","35,069.0","34,750.0","29,717.0","24,672.0","16,722.0","21,017.0","24,881.0","34,561.0","44,423.0","47,297.0","56,577.0","50,944.0","51,154.0","48,426.0","51,440.0","64,506.0","73,549.0","65,098.0","60,477.0","77,736.0","75,206.0","75,662.0","71,259.0","67,909.0","64,119.0","59,810.0","46,993.0","28,693.0","41,234.0","54,297.0","61,573.0","68,345.0","81,571.0","74,167.0","62,516.0","81,701.0","75,329.0","62,265.0","69,579.0","83,000.0","89,835.0","99,891.0","120,122.0","121,393.0","126,759.0","134,803.0","131,199.0","123,374.0","141,675.0","115,667.0","99,969.0","82,995.0","76,909.0","64,576.0","73,468.0","85,548.0","101,283.0","95,202.0","115,877.0","107,110.0","92,371.0","118,045.0","68,723.0","71,081.0","71,401.0","59,058.0","50,740.0","63,267.0","35,385.0","32,193.0","52,305.0","55,701.0","56,842.0","47,403.0","56,903.0","55,944.0","51,017.0","63,586.0","58,228.0","77,549.0","90,477.0","103,241.0","126,560.0","135,849.0","144,968.0","154,327.0","144,762.0","153,537.0","168,214.0","171,857.0","192,931.0","191,933.0","188,154.0","194,308.0","212,687.0","213,609.0","228,400.0","208,316.0","151,462.0","154,909.0","175,290.0","150,879.0","173,884.0","169,242.0","149,798.0","108,590.0","84,368.0","66,719.0","54,547.0","28,589.0","35,898.0","62,425.0","20,601.0","-17,758.0","85,857.0","98,432.0","130,377.0","151,298.0","170,104.0","121,794.0","175,463.0","161,335.0","197,472.0","230,737.0","247,788.0","86,841.0","235,871.0","357,411.0","470,914.0","648,808.0","299,302.0","271,228.0","260,931.0","113,511.0","172,659.0","196,538.0","81,240.0","94,490.0","71,650.0","53,778.0","175,035.0","150,309.0","77,858.0","119,200.0","251,973.0","306,370.0","350,768.0","384,418.0","426,794.0","385,853.0","286,409.0","386,502.0","391,777.0","411,915.0","409,310.0","455,052.0","393,619.0","251,941.0","342,766.0","386,399.0","303,964.0","357,125.0","184,672.0","311,187.0","357,237.0","344,851.0","....."
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
