"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"97","76","  Excluding imputations (74-75)","A2107C1","726,190.0","780,247.0","838,511.0","922,258.0","1,035,341.0","1,136,068.0","1,234,644.0","1,363,602.0","1,509,015.0","1,695,448.0","1,903,545.0","2,131,732.0","2,397,247.0","2,560,960.0","2,710,694.0","2,976,477.0","3,183,984.0","3,385,972.0","3,595,691.0","3,877,363.0","4,185,208.0","4,439,847.0","4,581,420.0","4,851,347.0","5,042,703.0","5,285,957.0","5,619,222.0","5,997,077.0","6,391,798.0","6,875,807.0","7,235,825.0","7,845,682.0","8,146,158.0","8,251,983.0","8,508,197.0","8,995,763.0","9,531,274.0","10,339,730.0","10,946,472.0","11,282,251.0","10,850,513.0","11,129,241.0","11,820,869.0","12,495,952.0","12,718,827.0"
"98","77","  Compensation of employees","W209RC1","586,016.0","625,117.0","667,030.0","733,641.0","815,039.0","890,320.0","950,175.0","1,051,234.0","1,168,985.0","1,320,225.0","1,481,035.0","1,626,229.0","1,795,268.0","1,894,319.0","2,013,907.0","2,217,404.0","2,388,965.0","2,543,844.0","2,724,310.0","2,950,040.0","3,142,566.0","3,342,670.0","3,451,998.0","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,364,463.0","6,739,534.0","7,086,801.0","7,502,337.0","7,898,261.0","8,078,256.0","7,786,973.0","7,961,448.0","8,269,030.0","8,606,492.0","8,844,757.0"
"99","78","    Imputations (188+202)","Y506RC1","23,586.0","25,469.0","27,357.0","30,305.0","27,817.0","27,754.0","34,309.0","32,329.0","35,832.0","40,088.0","45,526.0","50,931.0","59,414.0","70,018.0","82,831.0","85,309.0","100,872.0","117,634.0","129,002.0","153,167.0","185,543.0","210,112.0","223,101.0","263,921.0","278,483.0","286,448.0","283,780.0","297,965.0","313,730.0","341,341.0","382,193.0","422,551.0","450,021.0","443,293.0","447,387.0","519,658.0","555,824.0","569,344.0","596,576.0","569,827.0","565,789.0","567,069.0","571,148.0","583,612.0","612,468.0"
"100","79","    Excluding imputations (77-78)","W519RC1","562,430.0","599,648.0","639,673.0","703,336.0","787,222.0","862,566.0","915,866.0","1,018,905.0","1,133,153.0","1,280,137.0","1,435,509.0","1,575,298.0","1,735,854.0","1,824,301.0","1,931,076.0","2,132,095.0","2,288,093.0","2,426,210.0","2,595,308.0","2,796,873.0","2,957,023.0","3,132,558.0","3,228,897.0","3,407,211.0","3,542,188.0","3,723,681.0","3,918,869.0","4,124,145.0","4,400,963.0","4,736,482.0","5,028,116.0","5,434,030.0","5,596,525.0","5,698,618.0","5,917,076.0","6,219,876.0","6,530,977.0","6,932,993.0","7,301,685.0","7,508,429.0","7,221,184.0","7,394,379.0","7,697,882.0","8,022,880.0","8,232,289.0"
"101","80","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,260,187.0","1,336,625.0"
"102","81","    Imputations (199+211)","A2101C1","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,056.0","3,573.0","3,312.0","3,102.0","2,886.0","2,930.0","2,401.0","3,254.0","3,014.0","3,382.0","2,755.0","2,989.0","3,062.0","2,849.0","3,226.0","2,780.0","2,819.0","3,024.0","3,091.0","3,712.0","4,303.0","3,660.0","2,259.0","661.0","152.0","794.0","785.0","1,215.0","1,290.0"
"103","82","    Excluding imputations (80-81)","A2102C1","76,253.0","77,041.0","83,040.0","94,083.0","111,160.0","110,834.0","116,755.0","128,845.0","141,691.0","162,888.0","176,188.0","169,228.0","177,622.0","169,272.0","183,394.0","225,263.0","237,996.0","252,906.0","283,156.0","322,741.0","339,052.0","351,519.0","353,555.0","399,108.0","427,496.0","456,118.0","481,701.0","544,382.0","584,792.0","641,345.0","697,212.0","754,991.0","833,966.0","868,013.0","896,976.0","958,341.0","974,654.0","1,050,025.0","976,911.0","1,025,813.0","972,844.0","1,031,899.0","1,142,882.0","1,258,972.0","1,335,335.0"
"104","83","  Rental income of persons with capital consumption adjustment","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","485,295.0","532,971.0","595,826.0"
"105","84","    Imputations (163)","B1156C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","7,048.0","7,139.0","5,727.0","5,631.0","5,770.0","2,147.0","1,260.0","-1,181.0","-4,181.0","-9,459.0","-9,849.0","-3,586.0","-3,339.0","-68.0","5,803.0","19,815.0","42,601.0","62,165.0","68,533.0","82,712.0","84,954.0","101,291.0","115,189.0","120,852.0","134,778.0","146,301.0","165,348.0","180,194.0","158,055.0","124,340.0","96,397.0","147,234.0","216,751.0","268,070.0","326,959.0","356,147.0","410,909.0"
"106","85","    Excluding imputations (83-84)","A2103C1","5,960.0","6,216.0","6,449.0","7,515.0","8,713.0","8,488.0","8,629.0","8,623.0","9,146.0","9,772.0","10,841.0","14,103.0","19,645.0","23,991.0","26,228.0","29,067.0","33,686.0","31,363.0","30,057.0","28,701.0","27,750.0","31,425.0","36,203.0","44,511.0","51,038.0","55,305.0","60,654.0","64,239.0","67,093.0","68,573.0","67,916.0","66,870.0","72,764.0","71,001.0","72,675.0","75,224.0","80,386.0","83,181.0","93,013.0","114,872.0","116,949.0","134,685.0","158,336.0","176,824.0","184,917.0"
"107","86","  Personal income receipts on assets","W210RC1","98,686.0","112,650.0","122,341.0","133,297.0","150,636.0","175,357.0","195,274.0","212,617.0","243,420.0","277,982.0","318,344.0","385,990.0","472,859.0","541,250.0","584,287.0","665,067.0","712,807.0","755,344.0","779,851.0","839,369.0","951,948.0","991,186.0","985,467.0","982,147.0","988,603.0","1,029,402.0","1,114,029.0","1,176,471.0","1,258,453.0","1,342,541.0","1,329,669.0","1,453,513.0","1,441,314.0","1,390,424.0","1,420,488.0","1,503,739.0","1,666,452.0","1,938,402.0","2,166,648.0","2,167,053.0","1,817,994.0","1,739,645.0","1,913,866.0","2,088,551.0","2,079,706.0"
"108","87","    Imputations (170+181+195+196)","Y507RC1","28,734.0","36,425.0","40,981.0","45,673.0","49,422.0","57,030.0","70,097.0","72,810.0","81,100.0","95,349.0","104,609.0","115,681.0","129,451.0","155,526.0","194,548.0","211,183.0","241,763.0","261,720.0","280,437.0","293,627.0","311,399.0","325,785.0","338,039.0","358,980.0","369,914.0","391,573.0","409,128.0","416,348.0","433,073.0","434,859.0","441,009.0","451,268.0","460,536.0","485,611.0","504,344.0","529,245.0","553,999.0","574,532.0","611,019.0","664,225.0","678,139.0","675,271.0","691,301.0","708,267.0","715,918.0"
"109","88","    Excluding imputations (86-87)","Y508RC1","69,952.0","76,225.0","81,360.0","87,624.0","101,214.0","118,327.0","125,177.0","139,807.0","162,320.0","182,633.0","213,735.0","270,309.0","343,408.0","385,724.0","389,739.0","453,884.0","471,044.0","493,624.0","499,414.0","545,742.0","640,549.0","665,401.0","647,428.0","623,167.0","618,689.0","637,829.0","704,901.0","760,123.0","825,380.0","907,682.0","888,660.0","1,002,245.0","980,778.0","904,813.0","916,144.0","974,494.0","1,112,453.0","1,363,870.0","1,555,629.0","1,502,828.0","1,139,855.0","1,064,374.0","1,222,565.0","1,380,284.0","1,363,788.0"
"110","89","  Personal current transfer receipts","A577RC1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,212.0","209,638.0","235,312.0","279,471.0","318,369.0","354,832.0","383,741.0","400,132.0","424,898.0","450,966.0","467,612.0","496,459.0","542,602.0","594,907.0","665,867.0","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,013.0","1,188,106.0","1,280,347.0","1,342,861.0","1,416,684.0","1,512,006.0","1,609,645.0","1,722,772.0","1,883,971.0","2,140,206.0","2,276,908.0","2,307,919.0","2,350,719.0","2,414,532.0"
"111","90","    Imputations (-158-197+198)","A2111C1","6,993.0","7,792.0","9,771.0","9,915.0","10,821.0","13,170.0","13,805.0","16,734.0","19,806.0","19,560.0","16,605.0","11,984.0","3,530.0","-10,206.0","-20,747.0","8,236.0","-7,733.0","-32,262.0","-41,030.0","-45,827.0","-60,798.0","-71,151.0","-76,290.0","-82,350.0","-85,780.0","-91,321.0","-103,869.0","-132,234.0","-148,735.0","-165,566.0","-190,655.0","-207,186.0","-203,715.0","-176,853.0","-137,152.0","-175,208.0","-188,529.0","-216,276.0","-251,368.0","-227,576.0","-215,762.0","-201,977.0","-199,717.0","-248,046.0","-283,889.0"
"112","91","    Excluding imputations (89-90)","A2112C1","55,311.0","66,871.0","78,337.0","88,005.0","101,747.0","120,124.0","156,173.0","167,240.0","174,406.0","190,078.0","218,707.0","267,487.0","314,839.0","365,038.0","404,488.0","391,896.0","432,631.0","483,228.0","508,642.0","542,286.0","603,400.0","666,058.0","742,157.0","828,116.0","876,547.0","917,716.0","982,816.0","1,056,310.0","1,097,931.0","1,143,483.0","1,212,239.0","1,290,199.0","1,391,821.0","1,457,200.0","1,480,013.0","1,591,892.0","1,700,535.0","1,825,921.0","1,974,140.0","2,111,547.0","2,355,968.0","2,478,885.0","2,507,636.0","2,598,765.0","2,698,421.0"
"113","92","  Less: Contributions for government social insurance, domestic","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","917,798.0","951,200.0","1,104,536.0"
"114","93","    Imputations (207)","A1676C1","411.0","605.0","828.0","899.0","781.0","910.0","1,354.0","1,516.0","1,393.0","1,200.0","1,314.0","1,495.0","1,580.0","1,528.0","1,722.0","1,742.0","1,904.0","2,079.0","2,227.0","2,502.0","2,665.0","2,994.0","3,362.0","4,185.0","4,170.0","3,488.0","3,081.0","2,956.0","2,880.0","2,893.0","2,967.0","3,187.0","3,500.0","3,835.0","4,569.0","5,114.0","5,614.0","6,331.0","6,492.0","6,999.0","8,120.0","9,127.0","9,366.0","9,427.0","8,613.0"
"115","94","    Excluding imputations (92-93)","W531RC1","43,716.0","45,754.0","50,348.0","58,305.0","74,715.0","84,271.0","87,956.0","99,818.0","111,701.0","130,060.0","151,435.0","164,693.0","194,121.0","207,366.0","224,231.0","255,728.0","279,466.0","301,359.0","320,886.0","358,980.0","382,566.0","407,114.0","426,820.0","450,766.0","473,255.0","504,692.0","529,719.0","552,122.0","584,361.0","621,758.0","658,318.0","702,653.0","729,696.0","747,662.0","774,687.0","824,064.0","867,731.0","916,260.0","954,906.0","981,238.0","956,287.0","974,981.0","908,432.0","941,773.0","1,095,923.0"
"116","95","Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,332.0","1,000,861.0","1,045,967.0","1,208,502.0","1,352,114.0","1,487,879.0","1,435,201.0","1,144,935.0","1,191,469.0","1,400,625.0","1,503,692.0","1,661,766.0"
"117","96","  Imputations (-157)","A2115C1","-12,702.0","-14,426.0","-15,842.0","-17,092.0","-18,471.0","-19,781.0","-21,758.0","-24,065.0","-26,596.0","-27,221.0","-28,055.0","-30,579.0","-33,868.0","-36,962.0","-39,404.0","-42,291.0","-44,867.0","-47,475.0","-51,785.0","-55,192.0","-59,757.0","-63,527.0","-68,192.0","-70,472.0","-70,348.0","-73,741.0","-73,846.0","-76,174.0","-78,866.0","-80,231.0","-82,987.0","-85,663.0","-90,487.0","-97,372.0","-103,148.0","-109,403.0","-117,548.0","-125,093.0","-134,393.0","-137,631.0","-144,655.0","-144,569.0","-145,952.0","-147,517.0","-148,369.0"
"118","97","  Excluding imputations (95-96)","A2116C1","117,208.0","117,496.0","117,547.0","140,732.0","150,878.0","170,829.0","169,365.0","196,373.0","224,115.0","256,618.0","296,721.0","329,434.0","379,033.0","391,072.0","391,729.0","419,703.0","462,206.0","484,692.0","540,843.0","560,130.0","625,852.0","656,235.0","654,817.0","681,003.0","716,881.0","764,245.0","817,744.0","908,129.0","1,005,017.0","1,106,658.0","1,190,513.0","1,317,922.0","1,325,319.0","1,147,704.0","1,104,009.0","1,155,370.0","1,326,050.0","1,477,207.0","1,622,272.0","1,572,832.0","1,289,590.0","1,336,038.0","1,546,577.0","1,651,209.0","1,810,135.0"
"119","98","Disposable personal income","A067RC1","695,752.0","761,528.0","830,432.0","899,934.0","1,006,118.0","1,098,293.0","1,219,277.0","1,325,778.0","1,456,690.0","1,630,073.0","1,809,282.0","2,017,950.0","2,250,725.0","2,424,726.0","2,617,395.0","2,903,854.0","3,098,518.0","3,287,882.0","3,466,278.0","3,770,406.0","4,052,139.0","4,311,753.0","4,484,487.0","4,800,251.0","5,000,232.0","5,244,212.0","5,532,570.0","5,829,946.0","6,148,851.0","6,561,261.0","6,876,294.0","7,400,501.0","7,752,265.0","8,099,192.0","8,485,785.0","9,002,283.0","9,400,810.0","10,036,885.0","10,506,984.0","10,994,422.0","10,942,527.0","11,237,872.0","11,801,354.0","12,384,028.0","12,505,144.0"
"120","99","  Imputations (75-96)","A2117C1","86,770.0","98,777.0","109,468.0","118,408.0","121,655.0","133,054.0","153,998.0","158,549.0","171,790.0","191,243.0","202,458.0","215,652.0","232,511.0","254,838.0","298,430.0","347,080.0","376,740.0","386,602.0","411,430.0","453,173.0","492,783.0","528,141.0","557,884.0","629,907.0","674,410.0","722,500.0","731,092.0","740,998.0","762,070.0","792,112.0","830,982.0","872,741.0","931,426.0","994,913.0","1,081,597.0","1,161,890.0","1,195,586.0","1,174,362.0","1,182,784.0","1,285,003.0","1,381,604.0","1,444,669.0","1,527,062.0","1,539,285.0","1,596,452.0"
"121","100","  Excluding imputations (98-99)","A2118C1","608,982.0","662,751.0","720,964.0","781,526.0","884,463.0","965,239.0","1,065,279.0","1,167,229.0","1,284,900.0","1,438,830.0","1,606,824.0","1,802,298.0","2,018,214.0","2,169,888.0","2,318,965.0","2,556,774.0","2,721,778.0","2,901,280.0","3,054,848.0","3,317,233.0","3,559,356.0","3,783,612.0","3,926,603.0","4,170,344.0","4,325,822.0","4,521,712.0","4,801,478.0","5,088,948.0","5,386,781.0","5,769,149.0","6,045,312.0","6,527,760.0","6,820,839.0","7,104,279.0","7,404,188.0","7,840,393.0","8,205,224.0","8,862,523.0","9,324,200.0","9,709,419.0","9,560,923.0","9,793,203.0","10,274,292.0","10,844,743.0","10,908,692.0"
"122","101","Personal outlays","A068RC1","620,719.0","665,468.0","720,347.0","790,737.0","874,337.0","956,582.0","1,060,278.0","1,178,470.0","1,308,532.0","1,463,507.0","1,631,739.0","1,804,754.0","1,998,253.0","2,147,049.0","2,370,397.0","2,591,784.0","2,833,396.0","3,018,525.0","3,214,197.0","3,475,659.0","3,735,629.0","3,976,309.0","4,118,596.0","4,374,224.0","4,632,597.0","4,912,796.0","5,179,646.0","5,484,731.0","5,796,661.0","6,155,954.0","6,573,425.0","7,093,339.0","7,417,301.0","7,694,073.0","8,077,070.0","8,592,277.0","9,162,875.0","9,707,352.0","10,196,674.0","10,452,183.0","10,270,511.0","10,609,829.0","11,090,210.0","11,487,854.0","11,897,081.0"
"123","102","  Imputations (5-162+227)","A2119C1","28,873.0","37,119.0","33,148.0","28,953.0","29,422.0","46,237.0","61,525.0","52,506.0","39,413.0","42,719.0","53,725.0","85,036.0","104,124.0","133,387.0","132,056.0","119,779.0","152,250.0","142,040.0","146,591.0","170,582.0","198,977.0","240,388.0","283,186.0","310,199.0","349,291.0","368,506.0","391,539.0","391,598.0","395,133.0","406,259.0","436,312.0","484,273.0","491,987.0","510,391.0","526,187.0","516,460.0","489,766.0","521,993.0","673,352.0","909,137.0","1,085,793.0","1,169,831.0","1,265,589.0","1,264,276.0","1,314,286.0"
"124","103","  Excluding imputations (101-102)","A2120C1","591,846.0","628,349.0","687,199.0","761,784.0","844,915.0","910,345.0","998,753.0","1,125,964.0","1,269,119.0","1,420,788.0","1,578,014.0","1,719,718.0","1,894,129.0","2,013,662.0","2,238,341.0","2,472,005.0","2,681,146.0","2,876,485.0","3,067,606.0","3,305,077.0","3,536,652.0","3,735,921.0","3,835,410.0","4,064,025.0","4,283,306.0","4,544,290.0","4,788,107.0","5,093,133.0","5,401,528.0","5,749,695.0","6,137,113.0","6,609,066.0","6,925,314.0","7,183,682.0","7,550,883.0","8,075,817.0","8,673,109.0","9,185,359.0","9,523,322.0","9,543,046.0","9,184,718.0","9,439,998.0","9,824,621.0","10,223,578.0","10,582,795.0"
"125","104","Personal saving","A071RC1","75,033.0","96,060.0","110,085.0","109,197.0","131,781.0","141,711.0","158,999.0","147,308.0","148,158.0","166,566.0","177,543.0","213,196.0","252,472.0","277,677.0","246,998.0","312,070.0","265,122.0","269,357.0","252,081.0","294,747.0","316,510.0","335,444.0","365,891.0","426,027.0","367,635.0","331,416.0","352,924.0","345,215.0","352,190.0","405,307.0","302,869.0","307,162.0","334,964.0","405,119.0","408,715.0","410,006.0","237,935.0","329,533.0","310,310.0","542,239.0","672,016.0","628,043.0","711,144.0","896,174.0","608,063.0"
"126","105","  Imputations (198+208-164-167)","A2121C1","57,894.0","61,656.0","76,318.0","89,453.0","92,229.0","86,813.0","92,470.0","106,039.0","132,360.0","148,506.0","148,710.0","130,591.0","128,357.0","121,415.0","166,375.0","227,301.0","224,490.0","244,562.0","264,839.0","282,591.0","293,805.0","287,752.0","274,697.0","319,708.0","325,118.0","353,994.0","339,552.0","349,400.0","366,937.0","385,853.0","394,670.0","388,467.0","439,439.0","484,523.0","555,410.0","645,432.0","705,818.0","652,369.0","509,433.0","375,866.0","295,810.0","274,839.0","261,474.0","275,009.0","282,166.0"
"127","106","  Excluding imputations (104-105)","A2122C1","17,139.0","34,404.0","33,767.0","19,744.0","39,552.0","54,898.0","66,529.0","41,269.0","15,798.0","18,060.0","28,833.0","82,605.0","124,115.0","156,262.0","80,623.0","84,769.0","40,632.0","24,795.0","-12,758.0","12,156.0","22,705.0","47,692.0","91,194.0","106,319.0","42,517.0","-22,578.0","13,372.0","-4,185.0","-14,747.0","19,454.0","-91,801.0","-81,305.0","-104,475.0","-79,404.0","-146,695.0","-235,426.0","-467,883.0","-322,836.0","-199,123.0","166,373.0","376,206.0","353,204.0","449,670.0","621,165.0","325,897.0"
"128",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","107","Government current receipts","W021RC1","282,523.0","285,679.0","302,136.0","345,393.0","388,541.0","429,999.0","440,943.0","505,006.0","566,661.0","645,404.0","728,568.0","798,671.0","918,046.0","939,912.0","1,001,121.0","1,113,945.0","1,215,998.0","1,291,688.0","1,405,530.0","1,505,547.0","1,629,778.0","1,710,889.0","1,761,042.0","1,845,958.0","1,950,107.0","2,093,957.0","2,218,245.0","2,382,262.0","2,559,328.0","2,731,702.0","2,903,370.0","3,133,140.0","3,118,180.0","2,967,027.0","3,042,829.0","3,265,077.0","3,663,536.0","4,001,836.0","4,202,408.0","4,041,751.0","3,688,963.0","3,884,982.0","4,077,567.0","4,300,956.0","4,788,622.0"
"130","108","  Imputations (171+182+207-191)","W568RC1","925.0","1,368.0","1,756.0","1,783.0","1,450.0","1,809.0","3,622.0","3,830.0","4,240.0","3,360.0","3,062.0","3,148.0","3,156.0","4,818.0","6,260.0","5,442.0","8,511.0","9,490.0","9,220.0","9,615.0","9,040.0","8,935.0","10,326.0","10,384.0","10,907.0","10,684.0","10,869.0","10,943.0","11,161.0","10,838.0","11,011.0","10,860.0","9,422.0","9,731.0","7,547.0","8,125.0","8,945.0","10,512.0","10,551.0","10,472.0","11,512.0","10,454.0","2,254.0","2,235.0","1,416.0"
"131","109","  Excluding imputations (107-108)","W514RC1","281,598.0","284,311.0","300,380.0","343,610.0","387,091.0","428,190.0","437,321.0","501,176.0","562,421.0","642,044.0","725,506.0","795,523.0","914,890.0","935,094.0","994,861.0","1,108,503.0","1,207,487.0","1,282,198.0","1,396,310.0","1,495,932.0","1,620,738.0","1,701,954.0","1,750,716.0","1,835,574.0","1,939,200.0","2,083,273.0","2,207,376.0","2,371,319.0","2,548,167.0","2,720,864.0","2,892,359.0","3,122,280.0","3,108,758.0","2,957,296.0","3,035,282.0","3,256,952.0","3,654,591.0","3,991,324.0","4,191,857.0","4,031,279.0","3,677,451.0","3,874,528.0","4,075,313.0","4,298,721.0","4,787,206.0"
"132","110","Government current expenditures","W022RC1","283,525.0","317,479.0","352,376.0","385,861.0","416,587.0","468,327.0","543,484.0","582,061.0","630,126.0","691,785.0","764,887.0","879,544.0","999,725.0","1,109,640.0","1,204,853.0","1,285,359.0","1,391,351.0","1,483,918.0","1,556,622.0","1,645,902.0","1,778,995.0","1,918,262.0","2,032,345.0","2,216,123.0","2,299,135.0","2,374,608.0","2,490,631.0","2,573,221.0","2,648,815.0","2,713,580.0","2,827,504.0","2,966,720.0","3,169,015.0","3,358,437.0","3,567,113.0","3,772,661.0","4,034,871.0","4,268,273.0","4,540,784.0","4,840,799.0","5,209,724.0","5,450,993.0","5,537,631.0","5,612,652.0","5,662,892.0"
"133","111","  Imputations (171+182+190+194+207+212-213)","A2047C1","-2,051.0","5,659.0","13,535.0","16,625.0","14,582.0","11,045.0","10,043.0","5,639.0","7,236.0","5,568.0","-2,304.0","-10,167.0","-10,503.0","-8,248.0","-13,136.0","-35,061.0","-51,219.0","-59,114.0","-68,531.0","-58,197.0","-46,968.0","-55,920.0","-42,158.0","-20,831.0","-9,305.0","-4,710.0","-3,431.0","-20,844.0","-25,242.0","-35,737.0","-51,980.0","-63,996.0","-61,167.0","-65,626.0","-48,716.0","-44,611.0","-52,555.0","-68,623.0","-109,105.0","-134,081.0","-72,534.0","-52,147.0","-42,614.0","1,638.0","23,006.0"
"134","112","  Excluding imputations (110-111)","A2114C1","285,576.0","311,820.0","338,841.0","369,236.0","402,005.0","457,282.0","533,441.0","576,422.0","622,890.0","686,217.0","767,191.0","889,711.0","1,010,228.0","1,117,888.0","1,217,989.0","1,320,420.0","1,442,570.0","1,543,032.0","1,625,153.0","1,704,099.0","1,825,963.0","1,974,182.0","2,074,503.0","2,236,954.0","2,308,440.0","2,379,318.0","2,494,062.0","2,594,065.0","2,674,057.0","2,749,317.0","2,879,484.0","3,030,716.0","3,230,182.0","3,424,063.0","3,615,829.0","3,817,272.0","4,087,426.0","4,336,896.0","4,649,889.0","4,974,880.0","5,282,258.0","5,503,140.0","5,580,245.0","5,611,014.0","5,639,886.0"
"135","113","Net government saving","A922RC1","-1,002.0","-31,800.0","-50,240.0","-40,468.0","-28,046.0","-38,328.0","-102,541.0","-77,055.0","-63,465.0","-46,381.0","-36,319.0","-80,873.0","-81,679.0","-169,728.0","-203,732.0","-171,414.0","-175,353.0","-192,230.0","-151,092.0","-140,355.0","-149,217.0","-207,373.0","-271,303.0","-370,165.0","-349,028.0","-280,651.0","-272,386.0","-190,959.0","-89,487.0","18,122.0","75,866.0","166,420.0","-50,835.0","-391,410.0","-524,284.0","-507,584.0","-371,335.0","-266,437.0","-338,376.0","-799,048.0","-1,520,761.0","-1,566,011.0","-1,460,064.0","-1,311,696.0","-874,270.0"
"136","114","  Imputations (213-190-191-194-212)","A2010C1","2,976.0","-4,291.0","-11,779.0","-14,842.0","-13,132.0","-9,236.0","-6,421.0","-1,809.0","-2,996.0","-2,208.0","5,366.0","13,315.0","13,659.0","13,066.0","19,396.0","40,503.0","59,730.0","68,604.0","77,751.0","67,812.0","56,008.0","64,855.0","52,484.0","31,215.0","20,212.0","15,394.0","14,300.0","31,787.0","36,403.0","46,575.0","62,991.0","74,856.0","70,589.0","75,357.0","56,263.0","52,736.0","61,500.0","79,135.0","119,656.0","144,553.0","84,046.0","62,601.0","44,868.0","597.0","-21,590.0"
"137","115","  Excluding imputations (113-114)","A2011C1","-3,978.0","-27,509.0","-38,461.0","-25,626.0","-14,914.0","-29,092.0","-96,120.0","-75,246.0","-60,469.0","-44,173.0","-41,685.0","-94,188.0","-95,338.0","-182,794.0","-223,128.0","-211,917.0","-235,083.0","-260,834.0","-228,843.0","-208,167.0","-205,225.0","-272,228.0","-323,787.0","-401,380.0","-369,240.0","-296,045.0","-286,686.0","-222,746.0","-125,890.0","-28,453.0","12,875.0","91,564.0","-121,424.0","-466,767.0","-580,547.0","-560,320.0","-432,835.0","-345,572.0","-458,032.0","-943,601.0","-1,604,807.0","-1,628,612.0","-1,504,932.0","-1,312,293.0","-852,680.0"
"138",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","116","Current receipts from the rest of the world","A120RC1","63,701.0","72,543.0","76,975.0","87,122.0","118,811.0","156,471.0","166,731.0","181,878.0","196,550.0","233,137.0","298,450.0","359,865.0","397,263.0","384,202.0","378,878.0","424,248.0","415,871.0","432,324.0","487,230.0","596,717.0","681,990.0","740,721.0","763,295.0","785,105.0","810,400.0","905,482.0","1,042,646.0","1,113,994.0","1,233,877.0","1,239,760.0","1,313,400.0","1,479,525.0","1,352,021.0","1,318,314.0","1,396,393.0","1,632,951.0","1,884,688.0","2,200,555.0","2,540,280.0","2,698,871.0","2,236,639.0","2,572,354.0","2,899,014.0","2,987,982.0","3,072,614.0"
