"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"83","76","      Information processing equipment","DIPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.01,0.01,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.01,0.013,0.03,0.077,0.09,0.092,0.199,0.257,0.362,0.394,0.494,0.76,1.002,1.612,2.348,3.565,6.009,10.107,15.889,23.418,31.004,38.487,50.619,64.361,80.124,100,123.663,147.231,165.568
"84","77","      Services related to video and audio goods and computers","DSVCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.818,6.358,6.802,7.155,7.519,7.778,8.068,8.631,9.283,10.075,11.024,11.78,12.419,13.623,14.933,16.092,17.744,18.994,20.843,21.084,21.973,23.131,26.532,29.111,34.137,38.55,43.73,47.526,50.811,55.916,59.938,62.577,60.773,63.529,65.512,65.852,70.319,71.946,73.317,77.011,83.673,88.357,90.003,87.522,90.614,97.854,100,103.45,110.378,113.046
"85","78","    Sports and recreational goods and related services","DODRRA3",1.427,1.24,1.156,0.998,0.898,0.948,1.003,1.245,1.272,1.35,1.586,1.634,1.956,1.683,1.564,1.577,1.806,2.778,2.876,2.864,2.882,3.302,3.464,3.573,3.776,3.908,4.317,4.659,4.831,4.881,5.462,5.558,5.698,6.102,6.573,7.397,8.329,9.755,10.299,11.33,11.863,12.069,12.337,14.522,15.892,15.699,16.687,18.557,19.804,21.224,22.15,20.299,20.682,20.549,21.503,24.775,26.071,28.207,30.915,32.472,34.425,35.085,35.361,36.671,39.819,42.99,45.685,48.451,51.652,57.184,64.728,71.959,75.359,80.478,86.415,93.071,100,106.742,113.818,114.681
"86","79","      Sports and recreational vehicles","DWHLRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.402,5.692,5.2,5.785,6.612,8.328,9.9,12.233,13.491,17.63,20.969,23.164,24.803,31.399,35.145,30.543,33.285,36.506,39.979,40.915,41.357,31.723,31.661,30.224,31.007,38.366,39.646,42.619,44.353,44.525,43.95,41.179,38.772,37.739,42.323,46.877,50.327,53.425,58.169,63.9,69.36,74.703,74.626,77.465,86.82,95.805,100,101.631,105.419,99.977
"87","80","      Other sporting and recreational goods","DORIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.994,5.24,5.497,5.848,6.228,6.843,7.613,8.793,9.164,9.568,9.549,9.396,9.42,10.648,11.534,12.292,12.898,14.452,15.189,16.69,17.599,17.615,18.055,18.201,19.198,21.383,22.74,24.604,27.47,29.317,31.783,33.274,34.257,36.275,39.071,42,44.413,47.172,49.95,55.286,63.316,70.955,75.287,81.033,85.962,92.036,100,108.612,116.967,120.716
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,3.173,2.786,2.984,3.349,3.996,4.373,5.387,6.297,7.105,8.306,8.628,8.251,11.171,10.909,8.335,8.768,9.737,10.744,12.338,17.009,14.209,15.944,16.654,17.209,23.323,22.66,26.549,31.456,34.186,38.883,39.477,37.902,34.673,37.311,36.858,41.889,41.917,45.294,54.427,64.427,75.835,83.147,91.008,93.889,95.379,100,106.061,111.597,100.05
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRA3",18.989,18.836,18.496,14.806,14.334,15.447,16.274,17.899,18.914,17.979,18.462,19.821,20.86,23.103,24.934,23.661,24.844,28.7,26.983,26.039,25.284,24.526,24.037,23.793,23.35,23.635,24.572,25.57,23.559,22.763,24.125,25.039,25.803,26.562,27.122,27.411,27.882,28.926,29.057,30.435,31.394,32.106,32.621,33.693,35.191,37.678,39.232,40.399,43.269,45.036,46.537,48.033,51.011,52.639,55.349,57.119,59.451,60.144,60.887,65.641,70.49,73.503,73.305,78.68,81.679,82.842,87.664,90.846,93.239,95.958,96.089,96.67,95.529,96.146,96.858,98.932,100,102.88,105.832,105.701
"90","83","      Membership clubs and participant sports centers","DMDFRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.476,25.192,26.771,27.31,27.455,27.128,27.269,27.854,27.932,27.463,26.817,26.163,25.002,25.364,27.673,30.684,34.269,37.877,41.167,40.147,40.773,41.134,41.425,42.47,46.447,49.663,56.888,61.491,64.712,67.721,70.67,71.63,70.992,74.125,73.194,72.304,77.064,81.412,93.805,93.706,94.139,93.193,91.68,93.553,93.198,96.988,100,100.714,103.64,103.557
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.525,15.838,17.242,18.796,20.232,21.658,21.582,23.133,24.23,26.382,29.161,31.474,33.401,36.897,41.102,42.927,44.391,45.443,47.547,48.61,51.745,56.01,62.421,63.487,66.815,66.736,69.988,66.183,66.31,74.39,82.999,87.978,88.237,99.787,102.489,104.844,112.085,113.043,106.351,107.226,104.823,104.16,100.889,94.461,94.42,96.964,100,103.473,107.9,109.15
"92","85","      Admissions to specified spectator amusements","DADMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.548,37.157,36.293,36.304,36.233,35.817,37.338,38.324,37.51,39.769,40.147,40.269,40.574,39.676,37.737,40.435,40.741,40.047,43.551,48.241,48.641,47.756,48.998,52.082,53.408,56.149,53.273,55.249,54.434,57.69,60.912,64.241,64.162,65.804,72.465,74.534,77.628,82.647,84.769,91.427,93.116,95.444,96.104,100.49,102.437,102.521,100,103.616,104.935,103.615
"93","86","        Motion picture theaters","DMOVRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.679,112.566,106.971,101.424,97.444,90.922,94.423,91.913,86.063,89.547,89.116,87.741,88.173,86.414,78.502,90.059,90.427,82.003,89.867,98.662,94.287,81.909,82.991,90.649,86.749,87.773,79.302,78.621,77.402,83.57,91.932,97.274,94.058,87.769,88.896,90.206,92.136,95.441,100.62,107.72,111.553,113.637,114.469,118.421,115.897,112.164,100,100.13,98.441,95.519
"94","87","        Live entertainment, excluding sports","DLIGRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.934,21.178,19.232,19.684,19.247,19.204,18.187,18.849,19.33,17.696,16.853,16.136,15.215,15.95,16.7,17.567,18.111,20.801,22.951,26.564,28.515,31.778,35.063,34.824,37.493,40.679,44.072,51.912,51.477,53.448,50.286,55.697,55.038,60.456,70.656,73.135,76.187,77.259,78.718,85.847,87.938,90.12,93.121,96.486,98.108,98.529,100,104.487,103.453,102.377
"95","88","        Spectator sports","DSPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.241,13.916,15.463,17.285,18.905,20.69,22.872,25.559,26.213,30.704,32.435,34.045,35.325,33.511,32.646,31.873,31.938,32.748,34.92,38.187,39.988,42.103,41.646,45.006,48.176,51.524,46.372,44.738,43.823,46.525,52.386,52.727,54.972,57.881,64.643,66.794,70.602,80.084,81.023,87.019,87.113,89.717,88.234,93.738,98.516,100.501,100,104.818,109.766,109.112
"96","89","      Museums and libraries","DMUSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.579,11.439,12.449,13.281,13.977,14.434,13.845,14.479,14.566,15.313,16.864,18.075,19.18,20.845,22.996,26.449,27.127,29.562,32.56,35.029,36.57,39.586,43.677,43.568,43.987,44.469,46.79,47.848,48.589,51.385,53.695,54.104,52.782,56.758,61.841,62.264,63.31,61.495,62.033,67.689,71.624,77.362,79.519,91.035,94.049,97.097,100,105.7,110.978,110.486
"97","90","    Magazines, newspapers, books, and stationery","DNBSRA3",13.669,12.819,12.167,9.855,10.084,10.873,11.661,12.65,13.478,12.779,13.644,14.364,15.963,16.751,18.777,20.068,22.323,24.757,24.372,24.117,24.146,24.646,25.644,25.972,26.714,27.069,27.662,28.093,27.832,27.706,28.959,29.559,28.617,31.178,32.423,33.299,34.296,38.744,38.154,38.879,41.237,43.286,41.637,43.165,45.316,43.264,41.373,41.728,43.506,49.308,53.846,54.501,54.941,54.251,55.002,58.408,58.053,59.071,62.935,66.922,68.957,71.187,69.509,68.446,70.957,75.064,76.82,78.22,80.925,82.282,86.833,91.076,88.655,88.109,91.063,95.865,100,104.727,108.995,109.086
"98","91","    Gambling","DGAMRA3",0.705,0.679,0.618,0.476,0.478,0.773,0.918,1.062,1.255,1.213,1.246,1.594,1.641,1.593,1.696,2.381,2.657,3.277,2.96,2.583,2.448,2.508,2.73,3.088,3.302,3.235,3.366,3.586,3.677,3.753,4.086,4.381,4.645,5.253,5.623,6.236,6.473,6.709,7.038,7.341,7.666,7.951,8.551,9.645,11.061,11.409,11.864,12.78,13.474,14.816,15.332,15.803,18.18,19.724,21.637,23.629,25.93,27.718,29.287,32.825,33.994,36.027,36.228,40.192,46.429,54.099,60.557,65.29,69.295,69.993,76.391,80.108,80.723,84.061,89.81,97.047,100,105.211,107.924,107.823
"99","92","    Pets, pet products, and related services","DPETRA3",3.106,3.001,2.883,2.573,2.581,2.62,2.725,3.087,3.277,3.266,3.337,3.506,3.715,3.723,3.647,3.829,4.026,4.551,4.567,4.599,4.636,4.748,4.84,5.032,5.312,5.548,5.931,6.209,6.495,6.625,7.18,8.206,8.773,9.155,9.853,12.064,13.355,14.654,15.035,16.168,17.044,18.541,19.215,19.842,22.992,25.373,26.065,28.859,30.844,31.529,32.595,34.403,36.298,36.581,38.771,40.144,43.074,42.532,44.815,46.805,47.968,50.49,50.654,53.096,57.293,62.273,67.316,70.858,74.771,78.429,82.577,86.281,88.225,91.239,93.676,96.165,100,103.177,107.169,104.886
"100","93","    Photographic goods and services","DPHORA3",3.719,3.303,3.085,2.531,2.342,2.666,2.936,3.431,3.879,3.59,3.837,4.033,4.678,4.604,4.559,4.665,5.085,6.934,7.194,7.289,7.174,7.879,8.212,8.657,9.156,9.533,10.736,11.469,12.165,12.639,13.891,14.212,14.353,14.965,16.617,17.33,19.647,22.749,25.135,28.858,32.551,35.129,38.753,43.103,50.156,53.086,54.357,61.68,62.821,66.748,71.177,71.047,71.573,72.059,79.157,84.601,87.472,90.91,94.568,97.617,97.308,94.093,90.81,89.895,91.788,93.428,94.749,94.05,90.983,94.063,96.718,97.548,95.627,94.479,96.992,99.285,100,100.362,108.979,111.408
"101","94","    Package tours \14\","DXHLRA3",4.539,3.048,2.481,2.703,2.025,2.325,2.292,2.592,2.592,2.292,2.325,2.203,2.403,1.747,2.025,1.947,2.325,2.136,2.203,2.025,1.914,1.747,1.747,1.747,1.914,1.836,1.914,2.025,2.025,2.025,2.141,2.067,2.271,2.526,2.477,2.657,2.906,3.811,5.405,6.157,7.084,7.581,7.985,9.239,10.891,11.911,11.88,13.302,14.908,15.697,18.275,20.103,21.401,23.621,25.638,26.565,31.397,32.068,34.855,44.603,52.022,61.072,61.217,69.014,73.385,80.92,84.547,90.282,88.475,96.35,105.523,107.717,98.974,95.412,93.71,97.342,100,94.808,97.559,93.353
"102","95","  Education","DEDURA3",11.927,12.192,12.592,10.813,10.21,10.168,10.666,11.336,12.212,12.379,12.491,12.809,13.319,14.428,15.268,14.943,14.828,15.243,16.428,17.234,18.24,19.026,19.669,20.48,21.413,22.195,23.825,25.263,26.865,28.532,29.937,31.698,33.417,35.834,38.562,41.888,45.802,49.804,52.98,56.854,60.058,64.504,66.985,68.891,71.039,68.948,70.989,72.629,73.579,77.464,78.135,78.357,77.872,76.609,78.193,79.026,80.193,80.979,82.931,86.142,89.53,91.093,90.172,90.241,89.356,89.904,91.104,93.36,95.76,98.524,100.975,104.174,105.726,103.361,102.567,100.489,100,100.286,101.744,102.626
"103","96","    Educational books","DEBKRA3",16.185,14.326,14.406,9.074,9.504,10.418,11.553,13.007,14.958,13.394,13.572,14.099,15.173,17.259,20.192,24.149,26.88,29.371,24.499,24.634,24.806,26.291,29.567,28.26,28.548,27.438,28.96,31.371,30.248,29.561,30.96,32.225,34.28,37.157,40.81,46.599,45.467,48.417,47.119,48.697,52.831,64.417,61.495,57.073,57.86,59.427,63.431,60.491,65.375,74.138,80.045,83.375,84.543,81.962,85.791,92.163,94.398,98.346,106.547,108.919,108.454,107.916,104.647,103.532,107.371,110.978,112.137,109.3,109.105,111.595,116.907,115.419,111.417,109.178,108.064,105.517,100,93.913,88.513,81.811
"104","97","    Higher education","DHEDRA3",8.398,9.259,9.899,9.315,9.007,9.096,9.561,9.857,9.993,10.108,10.369,10.873,10.852,11.041,11.358,11.445,11.099,12.035,14.551,15.425,16.556,16.892,16.931,17.611,18.478,19.206,20.518,21.955,24.031,26.261,27.223,28.859,30.871,32.865,35.09,38.761,44.099,48.101,50.769,54.3,57.676,62.74,67.024,69.965,72.657,71.878,71.585,72.636,74.135,74.772,77.001,79.263,80.972,82.186,82.314,81.528,81.007,81.252,81.71,82.829,84.981,86.678,86.975,86.574,84.971,84.965,85.562,87.9,90.921,94.02,96.945,100.988,103.785,101.922,102.007,99.961,100,100.4,101.267,102.955
"105","98","    Nursery, elementary, and secondary schools","DNEHRA3",18.622,20.275,23.639,18.941,17.234,16.793,16.9,19.22,23.012,25.598,26.018,26.302,25.994,26.385,26.286,26.816,28.692,24.448,26.408,27.871,29.159,30.643,32.033,34.074,35.76,37.904,40.465,43.127,46.362,49.582,54.075,58.813,64.91,71.219,76.655,81.684,86.229,89.791,93.999,100.274,103.874,106.339,110.387,115.789,115.603,111.55,112.79,110.428,108.038,122.229,120.102,118.499,112.297,103.4,105.654,106.587,107.48,105.525,106.782,107.109,113.721,115.515,112.788,112.306,109.197,108.072,107.72,107.572,105.473,102.862,102.82,102.242,102.594,100.739,100.212,100.234,100,100.652,103.664,103.213
"106","99","    Commercial and vocational schools \15\","DVEDRA3",10.709,9.976,8.842,7.701,6.925,6.567,6.964,7.207,7.634,7.367,7.061,6.941,8.366,10.723,12.028,9.762,8.526,9.457,9.311,9.695,10.364,11.189,11.64,12.439,13.104,13.662,15.064,15.384,15.878,16.291,16.61,16.932,15.674,16.275,17.744,18.462,20.203,23.899,27.912,31.021,32.851,34.493,33.738,33.183,35.583,31.561,37.507,43.467,44.458,46.293,44.631,41.806,40.673,40.061,43.246,45.782,50.405,53.49,57.614,68.429,73.446,75.113,73.176,75.583,77.537,80.595,85.569,91.905,97.775,105.254,107.657,113.695,114.194,109.42,105.274,100.937,100,101.672,106.081,108.105
"107","100","  Food services and accommodations","DFSARA3",9.04,9.214,9.64,9.429,8.503,9.662,10.382,11.801,13.387,13.499,14.695,15.549,17.284,19.023,22.539,25.736,28.952,26.089,22.965,22.212,22.447,22.666,24.76,25.944,26.903,26.824,27.497,28.303,28.63,28.204,28.793,29.095,29.189,30.238,30.993,32.578,34.906,36.642,36.265,38.517,39.353,40.717,40.673,43.779,45.963,45.541,47.435,50.297,51.641,53.83,55.499,55.524,56.078,56.448,58.304,59.918,60.716,62.471,65.718,69.627,71.551,74.098,74.145,76.033,77.772,79.006,79.198,79.721,81.484,83.607,85.67,89.575,89.45,90.847,93.957,96.848,100,103.102,104.253,103.825
"108","101","    Food services","DFSERA3",9.45,9.674,10.202,10.041,8.994,10.215,10.973,12.509,14.258,14.391,15.719,16.629,18.527,20.503,24.324,27.827,31.33,28.056,24.335,23.615,23.936,24.175,26.47,27.754,28.786,28.657,29.361,30.189,30.458,30.013,30.574,30.788,30.84,31.837,32.479,34.116,36.479,38.255,37.632,39.944,40.765,42.174,42.226,44.959,47.119,46.577,48.494,51.314,52.675,55.026,56.704,56.844,57.227,57.851,59.715,61.028,61.611,63.452,66.567,70.702,72.691,75.418,75.417,76.931,79.055,80.094,80.205,80.33,81.468,83.764,85.849,89.615,90.329,91.647,94.66,97.316,100,103.142,104.261,103.282
"109","102","      Purchased meals and beverages \16\","DPMBRA3",9.02,9.251,9.825,9.686,8.6,9.807,10.544,12.066,13.781,13.943,15.271,16.129,17.691,18.799,21.091,23.035,26.138,26.02,23.131,22.562,22.896,23.145,24.884,26.024,27.115,27.088,27.898,28.778,29.053,28.649,29.349,29.617,29.597,30.582,31.273,32.951,35.258,36.778,36.024,38.489,39.381,40.985,41.235,44.099,46.314,45.525,47.344,50.075,51.562,53.852,55.471,55.547,55.87,56.486,58.576,60.055,60.815,62.897,66.272,70.484,72.491,75.286,75.304,76.851,79.002,80.04,80.125,80.246,81.414,83.759,85.874,89.712,90.415,91.743,94.769,97.436,100,102.954,104.084,103.254
"110","103","      Food furnished to employees (including military)","DFOORA3",28.38,28.433,27.524,26.537,26.536,28.683,30.487,33.147,36.808,35.979,37.823,40.931,54.737,82.77,130.341,177.766,194.879,100.63,69.579,63.889,63.929,63.943,82.439,88.183,88.156,84.995,82.412,81.476,81.515,79.566,74.965,73.203,75.919,77.309,76.158,76.228,80.576,91.707,95.91,92.549,90.72,84.939,77.776,75.603,75.726,84.149,89.599,95.605,92.43,96.941,100.762,103.143,105.667,106.58,100.402,95.833,90.093,83.356,77.128,78.509,79.875,80.12,79.447,79.773,80.939,82.002,83.05,83.31,83.399,83.891,84.854,85.99,87.099,88.024,90.577,92.8,100,110.193,110.91,104.302
"111","104","    Accommodations \17\","DACCRA3",5.126,4.944,4.685,4.23,4.15,4.753,5.126,5.571,5.835,5.796,5.966,6.341,6.763,6.618,7.579,8.213,9.01,9.737,12.136,10.953,10.375,10.43,10.822,11.172,11.525,11.875,12.302,12.918,13.709,13.437,14.247,15.26,15.698,17.182,18.905,20.075,22.155,23.593,25.368,27.16,28.161,29.165,28.267,34.826,37.315,38.022,39.789,43.22,44.481,45.243,46.9,45.91,47.962,46.221,48.049,52.089,54.572,55.684,59.962,62.23,63.689,64.944,65.336,69.934,68.93,71.54,72.297,75.542,81.506,82.481,84.404,89.2,83.666,85.585,89.336,93.792,100,102.841,104.203,107.32
"112","105","  Financial services and insurance","DIFSRA3",7.213,6.591,6.157,5.894,6.322,5.802,6.3,6.544,6.649,6.439,6.614,6.636,6.774,6.558,6.946,6.981,7.209,7.725,8.33,8.737,8.972,10.032,11.208,11.235,11.678,12.487,13.501,14.191,14.601,15.053,15.358,15.972,16.835,16.809,17.4,18.626,19.856,20.54,21.561,22.672,22.993,23.842,24.714,26.151,27.654,28.321,31.029,32.72,34.759,36.524,37.643,38.12,37.813,40.771,46.634,47.072,52.061,53.708,53.952,53.877,55.931,57.218,61.03,62.744,67.875,68.344,68.679,71.253,73.704,78.392,84.985,93.371,92.719,92.382,92.307,97.075,100,103.202,108.372,106.615
"113","106","    Financial services","DFNLRA3",6.878,5.662,4.722,4.018,4.524,3.728,3.954,4.371,4.367,3.919,3.907,3.838,3.83,3.772,4.273,4.213,4.668,5.294,5.094,5.297,5.215,5.946,6.058,6.108,6.396,7.168,7.719,7.727,7.817,8.39,8.899,9.016,9.847,9.451,9.7,10.452,11.332,11.892,13.077,13.717,13.799,14.345,15.553,16.457,17.26,17.598,20.341,21.726,23.39,24.249,24.596,24.505,24.108,27.194,35.25,35.528,40.824,43.093,43.397,41.582,43.039,43.887,46.655,48.601,54.546,57.056,58.948,65.063,68.802,74.813,84.388,94.796,93.513,93.466,92.032,97.042,100,104.88,113.544,110.916
"114","107","      Financial services furnished without payment","DIMPRA3",7.962,7.784,7.455,7.045,6.617,6.385,6.644,6.939,7.142,7.008,7.113,7.246,7.332,7.411,7.405,7.039,7.119,8.373,8.611,8.691,8.617,8.881,9.066,9.445,9.996,10.473,10.976,11.173,11.301,11.704,11.818,12.562,12.949,13.143,13.991,14.862,15.229,15.547,16.28,17.846,19.424,21.84,23.999,25.75,28.139,29.156,34.61,36.649,39.881,41.429,41.398,39.814,38.822,43.756,58.165,57.668,66.422,66.88,67.307,65.124,65.892,67.042,69.976,70.466,78.359,81.019,81.756,88.635,90.809,91.68,95.442,98.55,99.239,97.29,91.942,99.046,100,101.009,109.738,111.94
"115","108","      Financial service charges, fees, and commissions","DOFIRA3",5.085,3.456,2.392,1.752,2.423,1.693,1.839,2.185,2.1,1.66,1.61,1.488,1.446,1.351,1.947,2.04,2.595,2.783,2.358,2.602,2.526,3.453,3.507,3.332,3.411,4.421,5.02,4.855,4.914,5.65,6.514,6.079,7.312,6.425,6.232,6.862,8.106,8.853,10.416,10.303,9.18,8.081,8.49,8.703,8.21,7.942,8.289,9.142,9.469,9.745,10.45,11.656,11.741,13.276,16.207,17.03,19.452,22.945,23.139,21.694,23.553,24.119,26.551,29.476,33.631,35.869,38.53,43.732,48.503,58.575,73.208,90.684,87.348,89.333,92.162,94.905,100,108.949,117.547,109.82
"116","109","    Insurance","DINSRA3",9.4,9.839,10.315,10.866,11.239,11.107,12.236,12.19,12.533,12.755,13.335,13.546,14.005,13.429,13.672,13.904,13.713,14.09,16.545,17.455,18.444,20.346,24.19,24.16,24.996,25.873,28.061,30.64,31.935,31.946,31.605,33.58,34.367,35.472,36.976,39.367,41.383,42.287,42.554,44.849,45.834,47.411,47.005,49.743,53.02,54.544,56.168,58.312,61.004,65.081,68.327,70.536,70.636,72.379,70.253,71.061,74.47,74.085,74.092,79.422,82.809,85.077,91.131,92.09,94.886,90.82,87.856,83.272,83.192,85.288,86.23,90.943,91.39,90.561,92.736,97.124,100,100.695,100.676,100.214
"117","110","      Life insurance \18\","DLIFRA3",27.114,28.809,30.435,33.468,35.479,34.761,38.208,37.072,36.921,37.365,38.31,37.946,37.025,33.778,33.317,32.36,31.072,31.259,36.019,36.426,36.289,37.915,38.583,38.354,39.166,40.224,43.252,47.472,49.713,50.954,47.588,51.446,52.198,52.863,54.862,59.321,64.267,64.126,62.478,64.826,65.673,68.161,65.735,67.593,71.75,72.09,74.529,81.809,83.869,89.031,91.608,95.322,96.198,101.069,96.801,96.997,100.34,93.802,85.465,96.101,106.038,109.911,129.428,126.777,134.984,120.963,116.029,104.527,105.173,101.101,97.995,104.231,99.018,87.292,85.18,95.96,100,102.863,103.323,101.284
"118","111","      Net household insurance \19\","DFINRA3",17.446,17.612,17.575,15.603,14.413,14.893,15.621,17.169,18.091,19.105,19.852,20.083,21.632,23.734,26.372,29.738,32.569,32.839,32.698,33.612,32.907,34.904,36.49,37.347,39.474,39.878,42.206,44.413,45.904,46.908,52.604,62.091,68.385,72.823,72.244,68.775,60.762,54.055,53.96,54.925,56.871,61.116,62.961,69.209,78.212,98.667,105.024,100.304,108.539,128.434,138.271,135.053,128.047,122.295,118.732,122.326,121.256,120.002,129.707,138.816,138.965,131.971,125.738,114.273,106.796,107.406,101.045,102.531,92.849,105.887,106.558,106.154,105.68,96.654,89.654,98.121,100,97.186,112.087,118.698
"119","112","      Net health insurance","DHINRA3",2.489,2.49,2.621,2.331,2.01,2.045,2.236,2.411,2.718,2.82,3.091,3.34,4.074,4.481,5.014,5.517,5.459,5.589,6.909,7.836,9.31,10.824,13.519,13.641,14.367,14.417,15.827,17.306,18.628,18.388,19.099,19.871,20.523,21.71,22.726,24.318,25.53,26.77,26.881,29.16,30.5,32.112,32.41,34.505,36.4,38.163,40.201,42.631,44.843,47.285,51.546,53.812,52.942,52.628,50.81,52.141,56.278,58.631,62.932,65.866,66.524,68.331,69.971,73.779,75.041,74.146,70.658,67.45,66.49,71.323,74.255,80.012,83.169,88.631,94.509,96.294,100,100.094,99.329,100.119
"120","113","        Medical care and hospitalization \20\","DMINRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.421,16.864,17.407,18.406,19.216,20.57,21.676,22.236,21.835,22.684,24.213,25.373,26.144,27.857,29.543,31.352,35.286,37.101,37.965,39.29,41.765,44.755,47.071,48.136,48.412,49.471,52.34,54.146,57.567,59.725,60.52,61.983,63.928,67.44,69.084,68.901,66.73,65.419,64.723,71.196,74.961,81.206,83.571,89.049,94.921,96.638,100,99.747,100.761,102.885
"121","114","        Income loss \21\","DIINRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.463,30.296,31.255,33.02,34.498,36.934,38.961,39.92,39.234,46.714,48.085,52.374,51.215,53.185,52.931,54.219,51.81,51.688,50.495,51.552,58.865,58.88,48.335,41.42,32.463,33.312,36.116,32.369,32.308,31.531,31.924,31.937,29.912,35.049,44.477,41.933,43.024,45.968,55.329,64.026,70.173,74.895,79.283,84.364,89.406,94.553,100,106.341,110.702,112.18
"122","115","        Workers' compensation \22\","DPWCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.542,17.859,18.493,19.611,20.686,22.108,22.911,25.745,27.542,29.265,29.905,30.628,30.665,33.519,37.441,39.161,40.456,46.414,54.855,62.001,68.384,69.486,65.02,65.025,62.008,64.49,74.551,83.844,94.147,102.646,102.66,107.286,109.392,112.62,106.931,102.356,90.046,76.733,73.589,72.114,71.619,75.609,81.662,87.079,93.067,94.805,100,101.085,91.712,86.496
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRA3",4.614,4.638,4.599,4.341,4.526,4.601,5.235,5.66,6.379,6.519,7.179,7.696,8.351,7.93,7.649,8.129,8.991,10.342,12.131,13.155,14.056,17.022,28.09,27.994,29.088,31.445,34.246,37.114,37.295,36.041,37.481,39.046,39.992,41.583,43.708,45.479,45.871,48.335,51.609,54.408,54.939,55.252,55.953,61.164,66.08,67.6,67.031,61.95,66.533,71.996,73.942,74.578,75.986,78.422,78.875,78.882,80.504,82.883,86.567,88.87,88.821,90.653,88.763,89.25,89.02,90.226,91.071,91.493,93.356,95.732,97.123,97.572,99.24,99.015,99.072,100.73,100,99.689,99.349,97
