"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"81","74","        Air transportation (64)","DAITRA3",0.02,0.02,0.02,0.032,0.032,0.049,0.069,0.092,0.092,0.104,0.144,0.229,0.288,0.264,0.263,0.343,0.61,0.969,0.989,0.959,1.083,1.337,1.765,2.095,2.468,2.807,3.333,3.766,4.253,4.283,5.06,5.428,5.73,6.322,7.139,8.388,9.855,11.341,13.91,16.806,19.88,19.951,21.012,24.338,26.681,28.99,28.286,31.568,34.647,36.566,38.903,35.358,31.395,32.379,35.646,39.822,41.801,49.179,51.463,52.408,53.314,53.842,53.216,53.609,54.656,60.646,63.564,71.388,75.3,80.305,85.729,93.5,88.523,90.715,97.193,103.488,100,96.518,100.036,91.633
"82","75","        Water transportation (65)","DWATRA3",0.294,0.198,0.161,0.175,0.131,0.151,0.149,0.168,0.168,0.149,0.151,0.143,0.156,0.113,0.131,0.126,0.151,0.139,0.143,0.131,0.124,0.113,0.113,0.113,0.124,0.119,0.124,0.131,0.131,0.131,0.139,0.132,0.146,0.162,0.158,0.17,0.185,0.242,0.344,0.393,0.452,0.485,0.511,0.588,0.691,0.762,0.758,0.851,0.954,0.995,1.16,1.275,1.356,1.498,2.934,5.712,9.34,12.806,13.924,15.899,14.708,11.042,6.612,4.373,8.926,18.202,29.54,40.654,47.904,50.513,54.333,64.644,74.13,77.116,87.982,96.123,100,103.472,111.322,114.404
"83","76","    Recreation services","DRCARA3",6.322,6.222,6.054,4.924,4.719,5.18,5.508,6.095,6.512,6.168,6.36,6.86,7.266,7.901,8.52,8.398,8.902,10.283,9.741,9.45,9.241,9.258,9.364,9.521,9.631,9.827,10.279,10.779,10.422,10.338,11.076,11.688,12.188,12.779,13.299,13.84,14.357,15.224,15.738,16.728,17.722,18.352,18.979,19.988,21.689,23.157,24.351,26.03,27.676,29.019,30.432,31.461,34.13,35.785,38.841,41.422,44.417,46.472,48.583,53.197,56.516,58.966,58.544,62.416,66.352,69.744,75.05,78.442,80.933,83.629,87.709,90.342,90.24,90.806,93.478,98.141,100,103.264,107.094,107.045
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",18.989,18.836,18.496,14.806,14.334,15.447,16.274,17.899,18.914,17.979,18.462,19.821,20.86,23.103,24.934,23.661,24.844,28.7,26.983,26.039,25.284,24.526,24.037,23.793,23.35,23.635,24.572,25.57,23.559,22.763,24.125,25.039,25.803,26.562,27.122,27.411,27.882,28.926,29.057,30.435,31.394,32.106,32.621,33.693,35.191,37.678,39.232,40.399,43.269,45.036,46.537,48.033,51.011,52.639,55.349,57.119,59.451,60.144,60.887,65.641,70.49,73.503,73.305,78.68,81.679,82.842,87.664,90.846,93.239,95.958,96.089,96.67,95.529,96.146,96.858,98.932,100,102.88,105.832,105.701
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",1.35,1.415,1.365,1.206,1.121,1.258,1.401,1.571,1.753,1.646,1.75,1.859,2.051,2.192,2.376,2.569,2.798,3.126,3.168,3.421,3.562,4.104,4.549,4.807,5.146,5.452,5.768,6.119,6.45,6.676,7.205,7.814,8.253,8.637,9.15,9.652,10.287,11.339,12.305,13.355,14.855,15.988,16.92,17.547,20.034,22.083,23.817,26.917,28.325,29.113,30.911,32.082,34.877,36.734,42.086,46.167,51.017,54.821,58.469,64.286,68.134,70.102,68.376,70.978,73.261,73.84,78.023,79.213,79.521,83.05,88.684,92.34,93.227,90.486,92.985,98.856,100,102.009,108.356,110.367
"86","79","      Gambling (91)","DGAMRA3",0.705,0.679,0.618,0.476,0.478,0.773,0.918,1.062,1.255,1.213,1.246,1.594,1.641,1.593,1.696,2.381,2.657,3.277,2.96,2.583,2.448,2.508,2.73,3.088,3.302,3.235,3.366,3.586,3.677,3.753,4.086,4.381,4.645,5.253,5.623,6.236,6.473,6.709,7.038,7.341,7.666,7.951,8.551,9.645,11.061,11.409,11.864,12.78,13.474,14.816,15.332,15.803,18.18,19.724,21.637,23.629,25.93,27.718,29.287,32.825,33.994,36.027,36.228,40.192,46.429,54.099,60.557,65.29,69.295,69.993,76.391,80.108,80.723,84.061,89.81,97.047,100,105.211,107.924,107.823
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRA3",2.646,2.03,1.726,1.656,1.371,1.584,1.646,1.899,2.038,1.808,1.871,1.885,2.109,1.897,2,2.024,2.229,2.464,2.517,2.431,2.333,2.356,2.379,2.496,2.736,2.879,3.192,3.419,3.631,3.786,4.349,4.677,5.097,5.702,6.347,7.399,8.27,9.526,10.046,11.446,12.619,12.352,12.502,14.242,15.153,15.06,15.794,17.431,18.646,20.026,22.791,23.636,25.558,26.86,28.41,31.23,33.431,35.968,40.03,44.082,47.583,50.567,50.912,52.759,56.875,61.757,67.883,73.609,77.616,84.117,90.071,93.569,92.171,93.262,94.051,96.76,100,102.237,105.668,100.855
"88","81","    Food services and accommodations","DFSARA3",9.04,9.214,9.64,9.429,8.503,9.662,10.382,11.801,13.387,13.499,14.695,15.549,17.284,19.023,22.539,25.736,28.952,26.089,22.965,22.212,22.447,22.666,24.76,25.944,26.903,26.824,27.497,28.303,28.63,28.204,28.793,29.095,29.189,30.238,30.993,32.578,34.906,36.642,36.265,38.517,39.353,40.717,40.673,43.779,45.963,45.541,47.435,50.297,51.641,53.83,55.499,55.524,56.078,56.448,58.304,59.918,60.716,62.471,65.718,69.627,71.551,74.098,74.145,76.033,77.772,79.006,79.198,79.721,81.484,83.607,85.67,89.575,89.45,90.847,93.957,96.848,100,103.102,104.253,103.825
"89","82","      Food services","DFSERA3",9.45,9.674,10.202,10.041,8.994,10.215,10.973,12.509,14.258,14.391,15.719,16.629,18.527,20.503,24.324,27.827,31.33,28.056,24.335,23.615,23.936,24.175,26.47,27.754,28.786,28.657,29.361,30.189,30.458,30.013,30.574,30.788,30.84,31.837,32.479,34.116,36.479,38.255,37.632,39.944,40.765,42.174,42.226,44.959,47.119,46.577,48.494,51.314,52.675,55.026,56.704,56.844,57.227,57.851,59.715,61.028,61.611,63.452,66.567,70.702,72.691,75.418,75.417,76.931,79.055,80.094,80.205,80.33,81.468,83.764,85.849,89.615,90.329,91.647,94.66,97.316,100,103.142,104.261,103.282
"90","83","        Purchased meals and beverages (102)","DPMBRA3",9.02,9.251,9.825,9.686,8.6,9.807,10.544,12.066,13.781,13.943,15.271,16.129,17.691,18.799,21.091,23.035,26.138,26.02,23.131,22.562,22.896,23.145,24.884,26.024,27.115,27.088,27.898,28.778,29.053,28.649,29.349,29.617,29.597,30.582,31.273,32.951,35.258,36.778,36.024,38.489,39.381,40.985,41.235,44.099,46.314,45.525,47.344,50.075,51.562,53.852,55.471,55.547,55.87,56.486,58.576,60.055,60.815,62.897,66.272,70.484,72.491,75.286,75.304,76.851,79.002,80.04,80.125,80.246,81.414,83.759,85.874,89.712,90.415,91.743,94.769,97.436,100,102.954,104.084,103.254
"91","84","        Food furnished to employees (including military) (103)","DFOORA3",28.38,28.433,27.524,26.537,26.536,28.683,30.487,33.147,36.808,35.979,37.823,40.931,54.737,82.77,130.341,177.766,194.879,100.63,69.579,63.889,63.929,63.943,82.439,88.183,88.156,84.995,82.412,81.476,81.515,79.566,74.965,73.203,75.919,77.309,76.158,76.228,80.576,91.707,95.91,92.549,90.72,84.939,77.776,75.603,75.726,84.149,89.599,95.605,92.43,96.941,100.762,103.143,105.667,106.58,100.402,95.833,90.093,83.356,77.128,78.509,79.875,80.12,79.447,79.773,80.939,82.002,83.05,83.31,83.399,83.891,84.854,85.99,87.099,88.024,90.577,92.8,100,110.193,110.91,104.302
"92","85","      Accommodations (104)","DACCRA3",5.126,4.944,4.685,4.23,4.15,4.753,5.126,5.571,5.835,5.796,5.966,6.341,6.763,6.618,7.579,8.213,9.01,9.737,12.136,10.953,10.375,10.43,10.822,11.172,11.525,11.875,12.302,12.918,13.709,13.437,14.247,15.26,15.698,17.182,18.905,20.075,22.155,23.593,25.368,27.16,28.161,29.165,28.267,34.826,37.315,38.022,39.789,43.22,44.481,45.243,46.9,45.91,47.962,46.221,48.049,52.089,54.572,55.684,59.962,62.23,63.689,64.944,65.336,69.934,68.93,71.54,72.297,75.542,81.506,82.481,84.404,89.2,83.666,85.585,89.336,93.792,100,102.841,104.203,107.32
"93","86","    Financial services and insurance","DIFSRA3",7.213,6.591,6.157,5.894,6.322,5.802,6.3,6.544,6.649,6.439,6.614,6.636,6.774,6.558,6.946,6.981,7.209,7.725,8.33,8.737,8.972,10.032,11.208,11.235,11.678,12.487,13.501,14.191,14.601,15.053,15.358,15.972,16.835,16.809,17.4,18.626,19.856,20.54,21.561,22.672,22.993,23.842,24.714,26.151,27.654,28.321,31.029,32.72,34.759,36.524,37.643,38.12,37.813,40.771,46.634,47.072,52.061,53.708,53.952,53.877,55.931,57.218,61.03,62.744,67.875,68.344,68.679,71.253,73.704,78.392,84.985,93.371,92.719,92.382,92.307,97.075,100,103.202,108.372,106.615
"94","87","      Financial services","DFNLRA3",6.878,5.662,4.722,4.018,4.524,3.728,3.954,4.371,4.367,3.919,3.907,3.838,3.83,3.772,4.273,4.213,4.668,5.294,5.094,5.297,5.215,5.946,6.058,6.108,6.396,7.168,7.719,7.727,7.817,8.39,8.899,9.016,9.847,9.451,9.7,10.452,11.332,11.892,13.077,13.717,13.799,14.345,15.553,16.457,17.26,17.598,20.341,21.726,23.39,24.249,24.596,24.505,24.108,27.194,35.25,35.528,40.824,43.093,43.397,41.582,43.039,43.887,46.655,48.601,54.546,57.056,58.948,65.063,68.802,74.813,84.388,94.796,93.513,93.466,92.032,97.042,100,104.88,113.544,110.916
"95","88","        Financial services furnished without payment (107)","DIMPRA3",7.962,7.784,7.455,7.045,6.617,6.385,6.644,6.939,7.142,7.008,7.113,7.246,7.332,7.411,7.405,7.039,7.119,8.373,8.611,8.691,8.617,8.881,9.066,9.445,9.996,10.473,10.976,11.173,11.301,11.704,11.818,12.562,12.949,13.143,13.991,14.862,15.229,15.547,16.28,17.846,19.424,21.84,23.999,25.75,28.139,29.156,34.61,36.649,39.881,41.429,41.398,39.814,38.822,43.756,58.165,57.668,66.422,66.88,67.307,65.124,65.892,67.042,69.976,70.466,78.359,81.019,81.756,88.635,90.809,91.68,95.442,98.55,99.239,97.29,91.942,99.046,100,101.009,109.738,111.94
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRA3",5.085,3.456,2.392,1.752,2.423,1.693,1.839,2.185,2.1,1.66,1.61,1.488,1.446,1.351,1.947,2.04,2.595,2.783,2.358,2.602,2.526,3.453,3.507,3.332,3.411,4.421,5.02,4.855,4.914,5.65,6.514,6.079,7.312,6.425,6.232,6.862,8.106,8.853,10.416,10.303,9.18,8.081,8.49,8.703,8.21,7.942,8.289,9.142,9.469,9.745,10.45,11.656,11.741,13.276,16.207,17.03,19.452,22.945,23.139,21.694,23.553,24.119,26.551,29.476,33.631,35.869,38.53,43.732,48.503,58.575,73.208,90.684,87.348,89.333,92.162,94.905,100,108.949,117.547,109.82
"97","90","      Insurance","DINSRA3",9.4,9.839,10.315,10.866,11.239,11.107,12.236,12.19,12.533,12.755,13.335,13.546,14.005,13.429,13.672,13.904,13.713,14.09,16.545,17.455,18.444,20.346,24.19,24.16,24.996,25.873,28.061,30.64,31.935,31.946,31.605,33.58,34.367,35.472,36.976,39.367,41.383,42.287,42.554,44.849,45.834,47.411,47.005,49.743,53.02,54.544,56.168,58.312,61.004,65.081,68.327,70.536,70.636,72.379,70.253,71.061,74.47,74.085,74.092,79.422,82.809,85.077,91.131,92.09,94.886,90.82,87.856,83.272,83.192,85.288,86.23,90.943,91.39,90.561,92.736,97.124,100,100.695,100.676,100.214
"98","91","        Life insurance (110)","DLIFRA3",27.114,28.809,30.435,33.468,35.479,34.761,38.208,37.072,36.921,37.365,38.31,37.946,37.025,33.778,33.317,32.36,31.072,31.259,36.019,36.426,36.289,37.915,38.583,38.354,39.166,40.224,43.252,47.472,49.713,50.954,47.588,51.446,52.198,52.863,54.862,59.321,64.267,64.126,62.478,64.826,65.673,68.161,65.735,67.593,71.75,72.09,74.529,81.809,83.869,89.031,91.608,95.322,96.198,101.069,96.801,96.997,100.34,93.802,85.465,96.101,106.038,109.911,129.428,126.777,134.984,120.963,116.029,104.527,105.173,101.101,97.995,104.231,99.018,87.292,85.18,95.96,100,102.863,103.323,101.284
"99","92","        Net household insurance (111)","DFINRA3",17.446,17.612,17.575,15.603,14.413,14.893,15.621,17.169,18.091,19.105,19.852,20.083,21.632,23.734,26.372,29.738,32.569,32.839,32.698,33.612,32.907,34.904,36.49,37.347,39.474,39.878,42.206,44.413,45.904,46.908,52.604,62.091,68.385,72.823,72.244,68.775,60.762,54.055,53.96,54.925,56.871,61.116,62.961,69.209,78.212,98.667,105.024,100.304,108.539,128.434,138.271,135.053,128.047,122.295,118.732,122.326,121.256,120.002,129.707,138.816,138.965,131.971,125.738,114.273,106.796,107.406,101.045,102.531,92.849,105.887,106.558,106.154,105.68,96.654,89.654,98.121,100,97.186,112.087,118.698
"100","93","        Net health insurance (112)","DHINRA3",2.489,2.49,2.621,2.331,2.01,2.045,2.236,2.411,2.718,2.82,3.091,3.34,4.074,4.481,5.014,5.517,5.459,5.589,6.909,7.836,9.31,10.824,13.519,13.641,14.367,14.417,15.827,17.306,18.628,18.388,19.099,19.871,20.523,21.71,22.726,24.318,25.53,26.77,26.881,29.16,30.5,32.112,32.41,34.505,36.4,38.163,40.201,42.631,44.843,47.285,51.546,53.812,52.942,52.628,50.81,52.141,56.278,58.631,62.932,65.866,66.524,68.331,69.971,73.779,75.041,74.146,70.658,67.45,66.49,71.323,74.255,80.012,83.169,88.631,94.509,96.294,100,100.094,99.329,100.119
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRA3",4.614,4.638,4.599,4.341,4.526,4.601,5.235,5.66,6.379,6.519,7.179,7.696,8.351,7.93,7.649,8.129,8.991,10.342,12.131,13.155,14.056,17.022,28.09,27.994,29.088,31.445,34.246,37.114,37.295,36.041,37.481,39.046,39.992,41.583,43.708,45.479,45.871,48.335,51.609,54.408,54.939,55.252,55.953,61.164,66.08,67.6,67.031,61.95,66.533,71.996,73.942,74.578,75.986,78.422,78.875,78.882,80.504,82.883,86.567,88.87,88.821,90.653,88.763,89.25,89.02,90.226,91.071,91.493,93.356,95.732,97.123,97.572,99.24,99.015,99.072,100.73,100,99.689,99.349,97
"102","95","    Other services","DOTSRA3",13.107,12.768,11.946,10.481,9.687,10.381,10.941,11.814,12.586,12.112,12.356,12.65,13.226,13.675,14.121,14.202,14.604,15.115,15.64,16.014,16.188,16.768,17.091,17.454,17.997,18.424,19.755,20.606,21.34,22.046,23.008,23.734,24.504,25.474,26.404,27.584,29.158,30.873,32.69,33.59,34.58,35.693,35.839,37.398,38.456,37.221,37.526,38.957,40.869,43.032,43.413,43.17,42.955,43.849,46.708,49.051,52.454,53.034,56.761,59.068,60.919,61.983,59.749,62.071,63.377,65.789,67.076,69.338,73.446,79.537,84.024,90.091,93.733,94.298,96.685,98.958,100,103.416,106.326,105.64
"103","96","      Communication","DCOMRA3",1.273,1.281,1.233,1.074,0.979,1.009,1.078,1.176,1.259,1.271,1.348,1.425,1.591,1.781,2.025,2.195,2.387,2.554,2.661,2.858,2.986,3.122,3.393,3.621,3.871,4.061,4.474,4.806,5.122,5.296,5.505,5.822,6.189,6.571,7.017,7.53,8.27,9.075,9.769,10.476,11.438,12.238,12.649,13.458,14.769,15.345,16.775,17.804,19.068,20.721,22.338,23.589,24.002,24.774,25.675,26.088,27.646,28.753,30.997,32.592,34.596,36.08,37.247,40.842,42.911,45.744,48.244,52.637,58.053,63.555,71.734,82.602,88.124,90.421,92.57,96.866,100,107.698,116.197,119.472
"104","97","        Telecommunication services (71)","DTCSRA3",1.06,1.067,1.021,0.887,0.806,0.831,0.89,0.969,1.042,1.042,1.109,1.182,1.329,1.495,1.708,1.837,1.995,2.161,2.274,2.467,2.609,2.72,2.977,3.202,3.429,3.621,4.018,4.331,4.64,4.807,5.05,5.363,5.716,6.05,6.538,7.035,7.784,8.596,9.284,10.093,11.086,11.914,12.429,13.253,14.697,15.49,17.123,18.481,19.873,21.756,23.516,24.796,25.359,26.186,27.086,27.303,29.12,30.227,32.62,34.61,37.053,38.809,40.591,45,47.311,50.228,52.833,57.448,63.571,69.301,76.627,85.815,92.189,93.207,93.842,97.299,100,107.345,108.271,110.424
"105","98","        Postal and delivery services (68)","DPSSRA3",24.049,24.211,24.11,21.445,19.814,20.436,21.403,23.604,24.775,26.256,27.388,27.682,29.866,32.589,36.101,40.665,44.557,44.966,44.723,45.853,44.98,47.71,49.897,51.02,53.977,54.571,57.665,60.734,62.764,64.084,62.245,64.029,66.979,72.489,71.819,75.787,79.527,83.778,88.263,86.724,91.1,94.689,92.012,96.443,98.438,92.186,92.455,85.923,89.134,91.303,96.442,103.033,100.813,103.712,109.111,117.93,118.88,125.542,134.241,131.414,130.252,130.415,119.368,117.489,120.816,126.986,125.415,129.474,131.303,132.334,129.117,128.247,119.847,111.312,101.262,100.705,100,96.837,96.092,88.819
"106","99","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.052,0.11,0.232,0.501,0.828,1.228,2.736,5.75,9.281,11.937,17.315,32.371,54.635,59.53,70.953,83.828,93.585,100,113.009,168.771,183.958
"107","100","      Education services","DTEDRA3",11.536,12.017,12.45,11.014,10.307,10.169,10.604,11.197,11.969,12.308,12.415,12.713,13.168,14.186,14.834,14.127,13.763,13.997,15.691,16.551,17.628,18.35,18.76,19.758,20.75,21.709,23.348,24.698,26.545,28.434,29.84,31.646,33.335,35.71,38.359,41.479,45.808,49.896,53.442,57.505,60.631,64.492,67.41,69.834,72.092,69.723,71.626,73.592,74.266,77.808,78.105,78.11,77.51,76.337,77.765,78.204,79.297,79.856,81.357,84.635,88.307,90.025,89.27,89.422,88.217,88.565,89.768,92.349,94.915,97.697,99.966,103.466,105.378,103.004,102.231,100.182,100,100.668,102.544,103.894
"108","101","        Higher education (97)","DHEDRA3",8.398,9.259,9.899,9.315,9.007,9.096,9.561,9.857,9.993,10.108,10.369,10.873,10.852,11.041,11.358,11.445,11.099,12.035,14.551,15.425,16.556,16.892,16.931,17.611,18.478,19.206,20.518,21.955,24.031,26.261,27.223,28.859,30.871,32.865,35.09,38.761,44.099,48.101,50.769,54.3,57.676,62.74,67.024,69.965,72.657,71.878,71.585,72.636,74.135,74.772,77.001,79.263,80.972,82.186,82.314,81.528,81.007,81.252,81.71,82.829,84.981,86.678,86.975,86.574,84.971,84.965,85.562,87.9,90.921,94.02,96.945,100.988,103.785,101.922,102.007,99.961,100,100.4,101.267,102.955
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRA3",18.622,20.275,23.639,18.941,17.234,16.793,16.9,19.22,23.012,25.598,26.018,26.302,25.994,26.385,26.286,26.816,28.692,24.448,26.408,27.871,29.159,30.643,32.033,34.074,35.76,37.904,40.465,43.127,46.362,49.582,54.075,58.813,64.91,71.219,76.655,81.684,86.229,89.791,93.999,100.274,103.874,106.339,110.387,115.789,115.603,111.55,112.79,110.428,108.038,122.229,120.102,118.499,112.297,103.4,105.654,106.587,107.48,105.525,106.782,107.109,113.721,115.515,112.788,112.306,109.197,108.072,107.72,107.572,105.473,102.862,102.82,102.242,102.594,100.739,100.212,100.234,100,100.652,103.664,103.213
"110","103","        Commercial and vocational schools (99)","DVEDRA3",10.709,9.976,8.842,7.701,6.925,6.567,6.964,7.207,7.634,7.367,7.061,6.941,8.366,10.723,12.028,9.762,8.526,9.457,9.311,9.695,10.364,11.189,11.64,12.439,13.104,13.662,15.064,15.384,15.878,16.291,16.61,16.932,15.674,16.275,17.744,18.462,20.203,23.899,27.912,31.021,32.851,34.493,33.738,33.183,35.583,31.561,37.507,43.467,44.458,46.293,44.631,41.806,40.673,40.061,43.246,45.782,50.405,53.49,57.614,68.429,73.446,75.113,73.176,75.583,77.537,80.595,85.569,91.905,97.775,105.254,107.657,113.695,114.194,109.42,105.274,100.937,100,101.672,106.081,108.105
"111","104","      Professional and other services (121)","DPRSRA3",23.02,22.063,22.339,20.579,20.898,23.014,23.698,24.635,26.501,26.351,27.202,27.851,28.612,28.553,29.995,28.727,28.055,29.071,28.871,29.343,29.701,29.876,31.252,30.733,31.327,31.842,32.514,32.381,34.124,35.561,37.454,38.319,40.229,41.786,43.731,44.533,46.263,49.643,50.604,52.472,54.121,56.185,56.852,58.145,60.606,61.217,60.551,63.366,65.871,69.839,68.517,67.74,68.148,66.623,64.996,67.119,71.683,74.005,76.283,82.07,84.542,86.483,84.951,87.015,87.114,86.631,85.49,86.979,88.373,91.075,93.214,93.767,95.678,95.566,99.299,99.835,100,100.361,102.21,99.566
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",25.771,24.366,21.321,17.844,16.11,17.775,19.554,21.728,23.032,21.931,22.334,23.718,25.893,27.239,30.44,31.04,32.958,35.988,35.82,35.467,34.757,34.856,34.61,35.838,36.998,38.667,39.44,40.604,41.243,41.045,42.518,42.465,44.138,45.546,45.559,47.325,48.975,50.749,51.648,52.322,50.677,49.614,46.92,47.951,47.968,44.994,43.824,43.836,45.883,46.266,44.321,42.04,39.821,37.739,43.489,44.1,46.735,49.698,53.221,59.088,61.777,64.294,59.157,63.881,64.842,67.016,70.628,72.663,76.211,80.504,84.203,88.229,87.644,89.334,92.19,98.087,100,102.411,105.444,105.168
"113","106","      Social services and religious activities (120)","DSOCRA3",4.39,4.573,4.555,4.141,3.811,3.735,3.751,3.935,3.938,3.976,4.064,4.367,4.521,4.744,5.18,5.744,5.839,6.002,5.474,5.504,5.48,5.584,5.598,6.283,6.601,6.959,7.195,7.778,7.99,8.435,9.139,9.275,9.571,9.434,9.945,11.483,12.57,14.004,15.504,16.079,16.571,17.163,18.491,20.354,20.823,19.578,19.946,21.737,23.427,25.588,27.636,28.818,30.37,32.333,34.454,37.113,41.659,45.351,49.071,50.052,54.403,55.674,56.448,59.608,62.36,64.524,66.828,68.263,70.284,74.157,78.499,83.186,89.458,93.167,96.235,99.185,100,102.631,107.318,110.719
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",72.561,68.202,61.395,52.88,50.022,55.923,58.529,62.58,66.082,61.5,65.659,68.539,65.97,67.959,58.973,57.827,58.135,54.404,57.483,56.956,56.598,61.334,61.048,57.367,57.228,54.83,63.291,66.281,65.741,67.259,67.073,67.694,65.949,65.607,64.88,65.55,65.622,65.435,66.63,65.473,64.141,61.354,59.643,60.497,60.922,56.447,53.037,55.598,58.326,60.068,59.534,57.484,56.046,53.731,55.314,61.864,62.971,65.178,65.077,66.285,70.827,72.544,67.039,69.552,72.322,78.185,83.461,84.038,89.027,97.015,96.256,98.737,93.667,90.075,92.449,97.591,100,102.048,106.574,105.287
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRA3",4.677,4.886,4.267,3.878,2.922,2.982,3.131,3.66,4.186,3.59,2.94,1.519,1.701,1.162,1.279,1.478,1.812,2.913,3.957,4.508,5.135,5.611,5.765,6.604,6.935,7.197,8.364,9.091,9.699,10.524,11.29,12.622,12.672,13.611,14.605,15.062,16.216,16.855,20.005,18.941,20.807,23.533,23.255,25.561,25.046,22.96,22.501,23.629,24.432,25.312,24.689,24.193,25.201,28.93,33.355,49.197,54.213,49.071,61.199,63.455,64.635,67.678,62.118,65.466,69.107,73.305,73.021,76.03,83.008,93.383,96.513,107.048,101.267,94.861,91.985,98.803,100,104.355,102.932,99.218
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",2.236,2.081,1.68,1.279,1.383,1.533,1.772,1.943,2.195,2.292,2.537,1.754,1.566,1.866,2.331,2.748,3.076,4.549,4.581,4.08,4.619,4.863,5.337,5.834,6.354,6.612,7.445,8.123,8.504,8.663,8.143,8.497,8.688,8.576,8.912,10.224,11.202,12.313,12.474,13.099,14.386,15.522,16.511,17.888,20.315,21.877,23.581,26.594,26.7,28.48,30.17,33.047,36.342,33.711,30.142,40.74,40.538,46.222,49.622,57.163,66.902,74.881,78.73,86.68,90.194,91.33,96.85,102.79,105.517,102.886,105.202,109.637,98.569,93.952,89.625,96.859,100,100.218,107.931,115.671
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",2.712,2.84,2.904,2.68,2.447,2.304,2.272,2.306,2.233,2.349,2.377,2.536,2.554,2.666,2.913,3.14,3.159,3.261,3.01,3.051,3.072,3.105,3.062,3.404,3.508,3.66,3.738,4.018,4.1,4.32,4.779,5.325,5.46,5.623,5.818,6.462,6.754,7.021,7.389,7.897,8.021,8.454,8.911,9.454,9.545,9.369,9.419,9.946,10.107,10.648,11.011,11.536,12.457,14.438,16.607,19.178,20.697,23.461,25.214,28.998,33.139,39.906,45.4,54.418,58.683,63.546,66.469,70.503,65.658,71.902,77.072,83.075,89.411,97.652,102.462,101.98,100,109.96,114.383,124.554
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.915,15.528,16.207,17.06,18.027,19.441,20.548,21.929,23.278,24.986,26.301,27.582,29.507,31.268,32.164,32.544,33.773,35.549,36.891,38.971,40.08,41.257,42.955,44.75,46.413,48.003,49.69,52.172,54.248,57.239,59.301,62.8,65.128,68.634,70.323,71.81,72.766,74.708,75.894,79.659,82.431,85.635,89.787,95.024,96.499,98.396,100,103.016,105.709,109.383
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.085,21.155,22.288,23.722,25.327,26.929,28.615,30.915,32.947,35.429,37.861,39.624,42.64,45.165,46.799,47.901,50.296,52.883,55.277,58.447,60,61.402,63.168,63.604,63.877,63.824,65.206,66.838,68.788,70.671,71.032,72.334,72.955,74.008,74.704,74.983,75.262,76.504,79.747,82.653,84.566,86.752,90.099,94.24,94.547,97.235,100,100.789,102.937,104.611
