"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"50","31","        Software","Y068RC1","216.0","244.0","276.0","304.0","336.0","360.0","388.0","400.0","408.0","420.0","428.0","440.0","448.0","476.0","492.0","516.0","556.0","584.0","620.0","664.0","708.0","748.0","804.0","848.0","896.0","936.0","980.0","1,016.0","1,012.0","1,020.0","1,044.0","1,064.0","1,068.0","1,096.0","1,132.0","1,180.0","1,228.0","1,284.0","1,352.0","1,404.0","1,492.0","1,592.0","1,692.0","1,792.0","1,896.0","2,012.0","2,120.0","2,208.0","2,320.0","2,448.0","2,560.0","2,684.0","2,724.0","2,780.0","2,828.0","2,880.0","3,084.0","3,192.0","3,344.0","3,440.0","3,504.0","3,584.0","3,704.0","3,844.0","4,012.0","4,108.0","4,116.0","4,200.0","4,200.0","4,260.0","4,308.0","4,396.0","4,544.0","4,668.0","4,800.0","5,020.0","5,064.0","5,164.0","5,292.0","5,388.0","5,564.0","5,716.0","5,964.0","6,092.0","6,140.0","6,328.0","6,132.0","6,180.0","6,384.0","6,556.0","6,620.0","6,688.0","6,748.0","6,636.0","6,676.0","6,628.0","6,824.0","6,852.0","6,868.0","6,780.0","6,744.0","6,756.0","6,936.0","6,820.0","7,076.0","6,960.0","7,100.0","6,916.0","7,100.0","7,196.0","7,340.0","7,380.0","7,992.0","7,820.0","7,556.0","7,556.0","8,872.0","9,476.0","9,464.0","9,052.0","9,080.0","10,852.0","10,948.0","10,876.0","11,188.0","11,532.0","11,672.0","11,868.0","12,660.0","12,716.0","12,192.0","11,528.0","11,452.0","11,068.0","10,960.0","10,592.0","10,780.0","11,040.0","10,984.0","11,316.0","11,108.0","11,100.0","11,612.0","11,660.0","11,824.0","12,296.0","12,580.0","12,608.0","12,724.0","12,908.0","13,132.0","13,616.0","13,896.0","14,124.0","14,320.0","14,364.0","15,096.0","15,260.0","15,392.0","15,120.0","14,824.0","14,864.0","14,964.0","15,332.0","15,796.0","15,668.0","16,164.0","16,380.0","16,592.0","16,788.0","17,060.0","17,408.0","17,292.0","17,556.0","17,472.0","17,424.0","17,732.0","17,428.0","17,656.0","17,668.0","17,676.0","17,660.0","18,128.0"
"51","32","        Research and development","Y069RC1","8,612.0","8,588.0","8,548.0","8,504.0","8,444.0","8,392.0","8,368.0","8,372.0","8,368.0","8,396.0","8,436.0","8,524.0","8,612.0","8,724.0","8,784.0","8,864.0","8,904.0","8,968.0","9,068.0","9,172.0","9,312.0","9,480.0","9,656.0","9,888.0","10,124.0","10,384.0","10,672.0","10,956.0","11,264.0","11,556.0","11,836.0","12,108.0","12,356.0","12,656.0","13,036.0","13,436.0","13,904.0","14,352.0","14,808.0","15,244.0","15,668.0","16,084.0","16,484.0","16,876.0","17,228.0","17,576.0","17,900.0","18,212.0","18,504.0","18,680.0","18,736.0","18,668.0","18,488.0","18,352.0","18,252.0","18,196.0","18,188.0","18,236.0","18,332.0","18,492.0","18,716.0","18,976.0","19,292.0","19,648.0","20,056.0","20,412.0","20,692.0","20,900.0","21,048.0","21,240.0","21,476.0","21,760.0","22,096.0","22,464.0","22,848.0","23,264.0","23,712.0","24,140.0","24,556.0","24,944.0","25,328.0","25,784.0","26,336.0","26,956.0","27,652.0","28,324.0","28,976.0","29,592.0","30,184.0","30,696.0","31,140.0","31,500.0","31,792.0","32,084.0","32,380.0","32,696.0","33,016.0","33,352.0","33,704.0","34,076.0","34,472.0","34,860.0","35,264.0","35,648.0","36,040.0","36,308.0","36,472.0","36,532.0","36,480.0","36,492.0","36,544.0","36,660.0","36,832.0","37,016.0","37,232.0","37,460.0","37,724.0","38,032.0","38,408.0","38,856.0","39,356.0","39,944.0","40,588.0","41,324.0","42,124.0","42,896.0","43,592.0","44,264.0","44,872.0","45,496.0","46,124.0","46,772.0","47,432.0","48,156.0","48,940.0","49,784.0","50,688.0","51,424.0","52,000.0","52,412.0","52,648.0","52,956.0","53,352.0","53,792.0","54,320.0","54,760.0","55,148.0","55,484.0","55,740.0","55,964.0","56,184.0","56,348.0","56,492.0","56,828.0","57,328.0","57,996.0","58,852.0","59,740.0","60,708.0","61,728.0","62,796.0","63,816.0","64,812.0","65,744.0","66,928.0","68,492.0","70,220.0","71,496.0","71,184.0","70,884.0","70,568.0","70,252.0","69,932.0","69,796.0","69,884.0","70,144.0","70,604.0","70,492.0","69,796.0","68,544.0","66,688.0","65,588.0","65,160.0"
"52","33","State and local","A829RC1","105,472.0","108,507.0","110,643.0","112,399.0","115,939.0","119,039.0","123,917.0","126,891.0","130,427.0","133,794.0","136,153.0","139,314.0","142,896.0","144,381.0","147,785.0","151,833.0","155,432.0","158,412.0","162,158.0","167,197.0","174,267.0","182,518.0","188,786.0","194,370.0","204,128.0","206,787.0","212,117.0","217,627.0","222,447.0","221,215.0","221,340.0","223,283.0","229,789.0","235,322.0","239,144.0","243,602.0","247,089.0","258,540.0","265,439.0","271,653.0","273,787.0","282,362.0","292,983.0","302,084.0","311,589.0","315,913.0","319,840.0","326,588.0","339,445.0","339,605.0","342,687.0","350,283.0","354,873.0","361,485.0","366,903.0","374,366.0","378,693.0","382,166.0","389,156.0","392,195.0","403,048.0","412,247.0","423,205.0","431,696.0","442,338.0","454,685.0","465,880.0","473,713.0","484,428.0","491,327.0","500,170.0","508,433.0","518,412.0","525,859.0","533,740.0","544,154.0","553,007.0","565,393.0","572,622.0","586,375.0","599,332.0","614,260.0","626,079.0","642,484.0","661,410.0","669,077.0","682,408.0","700,473.0","704,317.0","711,053.0","721,476.0","732,852.0","748,288.0","756,482.0","762,753.0","767,540.0","774,456.0","785,295.0","791,673.0","799,289.0","809,519.0","823,414.0","840,460.0","850,805.0","862,440.0","875,923.0","880,381.0","888,464.0","895,765.0","910,032.0","923,586.0","943,575.0","960,138.0","966,521.0","974,426.0","985,948.0","995,257.0","1,017,820.0","1,043,829.0","1,060,768.0","1,081,494.0","1,102,628.0","1,125,643.0","1,152,679.0","1,177,006.0","1,189,567.0","1,208,851.0","1,232,554.0","1,259,435.0","1,292,253.0","1,290,600.0","1,315,829.0","1,333,947.0","1,347,580.0","1,361,554.0","1,374,249.0","1,388,676.0","1,385,476.0","1,400,756.0","1,409,256.0","1,430,555.0","1,456,803.0","1,474,883.0","1,497,853.0","1,510,999.0","1,531,533.0","1,558,439.0","1,588,507.0","1,596,869.0","1,631,949.0","1,654,976.0","1,677,025.0","1,717,329.0","1,741,690.0","1,760,462.0","1,789,138.0","1,813,081.0","1,842,907.0","1,875,889.0","1,858,461.0","1,853,145.0","1,871,871.0","1,879,276.0","1,881,332.0","1,866,518.0","1,876,894.0","1,873,051.0","1,864,184.0","1,855,761.0","1,868,987.0","1,870,908.0","1,865,513.0","1,874,830.0","1,873,311.0","1,876,158.0","1,886,767.0","1,894,010.0","1,908,284.0","1,920,736.0","1,926,503.0","1,930,973.0","1,952,637.0","1,967,977.0"
"53","34","  Consumption expenditures","A991RC1","76,435.0","79,045.0","81,770.0","84,502.0","87,769.0","90,533.0","93,622.0","96,519.0","100,076.0","102,971.0","105,824.0","107,973.0","111,429.0","114,010.0","116,911.0","119,178.0","122,008.0","125,085.0","128,287.0","131,865.0","136,591.0","141,640.0","147,068.0","152,643.0","158,774.0","164,451.0","168,387.0","170,846.0","173,169.0","175,631.0","178,248.0","181,672.0","186,285.0","190,449.0","195,343.0","199,943.0","204,039.0","207,348.0","211,811.0","216,225.0","222,300.0","225,415.0","232,274.0","237,804.0","244,134.0","250,182.0","255,751.0","261,068.0","268,422.0","273,817.0","278,632.0","283,484.0","289,547.0","295,209.0","299,726.0","305,173.0","310,912.0","314,917.0","318,822.0","322,252.0","329,728.0","336,168.0","343,492.0","350,454.0","359,208.0","367,043.0","376,503.0","384,473.0","390,439.0","395,236.0","401,943.0","411,941.0","418,286.0","425,302.0","430,773.0","439,030.0","446,906.0","454,760.0","461,982.0","472,102.0","484,917.0","496,411.0","506,070.0","517,903.0","530,697.0","539,139.0","551,002.0","563,879.0","569,276.0","575,224.0","583,374.0","592,646.0","603,497.0","615,395.0","625,533.0","631,744.0","638,421.0","643,442.0","649,060.0","654,980.0","667,411.0","677,249.0","687,838.0","696,449.0","705,595.0","714,630.0","720,367.0","726,700.0","734,694.0","744,197.0","751,542.0","761,889.0","771,236.0","778,864.0","789,741.0","803,881.0","814,644.0","828,200.0","842,934.0","856,942.0","873,285.0","892,704.0","912,194.0","929,823.0","945,646.0","959,951.0","975,716.0","995,153.0","1,016,500.0","1,034,044.0","1,049,614.0","1,058,802.0","1,071,404.0","1,086,613.0","1,098,154.0","1,107,979.0","1,122,191.0","1,120,709.0","1,127,640.0","1,138,014.0","1,158,934.0","1,178,240.0","1,195,749.0","1,217,353.0","1,229,501.0","1,243,340.0","1,265,956.0","1,287,631.0","1,295,870.0","1,316,666.0","1,336,433.0","1,354,656.0","1,384,800.0","1,402,663.0","1,417,923.0","1,440,098.0","1,462,370.0","1,484,952.0","1,512,165.0","1,495,484.0","1,487,857.0","1,503,403.0","1,515,191.0","1,526,988.0","1,521,197.0","1,521,049.0","1,515,406.0","1,515,566.0","1,515,612.0","1,529,592.0","1,530,360.0","1,523,637.0","1,539,688.0","1,536,960.0","1,545,439.0","1,562,397.0","1,573,311.0","1,579,749.0","1,590,240.0","1,594,877.0","1,607,378.0","1,616,576.0","1,628,544.0"
"54","35","  Gross investment","A799RC1","29,037.0","29,462.0","28,874.0","27,898.0","28,169.0","28,506.0","30,295.0","30,372.0","30,350.0","30,823.0","30,329.0","31,341.0","31,468.0","30,371.0","30,874.0","32,655.0","33,424.0","33,327.0","33,871.0","35,332.0","37,676.0","40,878.0","41,719.0","41,728.0","45,354.0","42,336.0","43,730.0","46,781.0","49,278.0","45,584.0","43,091.0","41,612.0","43,505.0","44,874.0","43,801.0","43,659.0","43,050.0","51,192.0","53,628.0","55,428.0","51,487.0","56,946.0","60,710.0","64,280.0","67,456.0","65,731.0","64,088.0","65,520.0","71,023.0","65,789.0","64,055.0","66,799.0","65,326.0","66,276.0","67,177.0","69,193.0","67,781.0","67,249.0","70,334.0","69,943.0","73,320.0","76,079.0","79,713.0","81,242.0","83,130.0","87,641.0","89,376.0","89,240.0","93,989.0","96,092.0","98,227.0","96,492.0","100,126.0","100,557.0","102,967.0","105,124.0","106,101.0","110,633.0","110,641.0","114,273.0","114,415.0","117,849.0","120,009.0","124,582.0","130,713.0","129,938.0","131,407.0","136,594.0","135,041.0","135,829.0","138,102.0","140,206.0","144,791.0","141,088.0","137,220.0","135,795.0","136,036.0","141,853.0","142,613.0","144,309.0","142,108.0","146,165.0","152,622.0","154,355.0","156,845.0","161,293.0","160,014.0","161,764.0","161,071.0","165,835.0","172,045.0","181,686.0","188,902.0","187,657.0","184,685.0","182,067.0","180,613.0","189,620.0","200,895.0","203,827.0","208,209.0","209,924.0","213,449.0","222,856.0","231,360.0","229,616.0","233,135.0","237,402.0","242,936.0","258,209.0","240,986.0","257,027.0","262,543.0","260,967.0","263,400.0","266,271.0","266,485.0","264,767.0","273,116.0","271,242.0","271,622.0","278,563.0","279,133.0","280,500.0","281,498.0","288,193.0","292,483.0","300,876.0","300,999.0","315,283.0","318,543.0","322,369.0","332,530.0","339,028.0","342,539.0","349,040.0","350,711.0","357,955.0","363,724.0","362,977.0","365,289.0","368,468.0","364,085.0","354,344.0","345,321.0","355,845.0","357,645.0","348,618.0","340,149.0","339,395.0","340,547.0","341,876.0","335,142.0","336,351.0","330,719.0","324,370.0","320,699.0","328,536.0","330,496.0","331,626.0","323,595.0","336,061.0","339,434.0"
"55","36","    Structures","A842RC1","25,927.0","26,267.0","25,591.0","24,531.0","24,684.0","25,018.0","26,713.0","26,741.0","26,692.0","27,120.0","26,549.0","27,451.0","27,410.0","26,197.0","26,571.0","28,246.0","28,859.0","28,593.0","28,936.0","30,160.0","32,255.0","35,222.0","35,839.0","35,644.0","39,110.0","35,963.0","37,256.0","40,215.0","42,676.0","38,880.0","36,299.0","34,737.0","36,641.0","37,915.0","36,708.0","36,380.0","35,516.0","43,368.0","45,493.0","47,007.0","42,664.0","47,768.0","51,246.0","54,482.0","57,267.0","55,195.0","53,264.0","54,506.0","59,873.0","54,418.0","52,498.0","54,895.0","53,083.0","53,706.0","54,252.0","55,939.0","53,983.0","52,958.0","55,448.0","54,499.0","57,229.0","59,381.0","62,323.0","63,211.0","64,286.0","68,108.0","69,296.0","68,522.0","72,734.0","74,257.0","76,045.0","73,792.0","77,269.0","77,363.0","79,424.0","81,228.0","81,804.0","85,573.0","84,609.0","87,186.0","85,849.0","87,930.0","88,853.0","92,276.0","97,722.0","96,472.0","97,575.0","102,387.0","100,990.0","101,865.0","104,116.0","105,749.0","109,965.0","105,720.0","101,501.0","99,742.0","99,915.0","105,551.0","105,609.0","106,873.0","103,207.0","106,378.0","112,048.0","113,207.0","114,975.0","118,623.0","117,076.0","118,350.0","117,938.0","122,746.0","128,707.0","137,961.0","144,032.0","141,863.0","137,836.0","134,388.0","131,881.0","139,851.0","150,293.0","152,223.0","155,659.0","156,164.0","158,961.0","167,928.0","175,727.0","172,862.0","175,842.0","179,470.0","184,893.0","200,442.0","183,689.0","200,216.0","204,898.0","203,465.0","205,786.0","209,227.0","209,315.0","207,608.0","215,072.0","212,553.0","213,215.0","220,305.0","221,116.0","221,929.0","222,724.0","228,902.0","232,999.0","241,509.0","240,669.0","253,516.0","254,908.0","255,891.0","265,958.0","269,984.0","272,207.0","276,466.0","277,801.0","284,110.0","288,965.0","290,280.0","292,378.0","295,458.0","291,150.0","280,115.0","272,437.0","284,611.0","287,275.0","277,826.0","270,955.0","269,795.0","270,571.0","272,890.0","265,906.0","266,162.0","260,598.0","253,557.0","249,703.0","256,811.0","257,792.0","257,667.0","250,504.0","262,069.0","264,527.0"
"56","37","    Equipment","Y070RC1","2,495.0","2,555.0","2,610.0","2,663.0","2,752.0","2,728.0","2,808.0","2,851.0","2,866.0","2,890.0","2,945.0","3,031.0","3,183.0","3,280.0","3,388.0","3,479.0","3,604.0","3,740.0","3,907.0","4,106.0","4,327.0","4,531.0","4,705.0","4,851.0","4,948.0","5,051.0","5,138.0","5,211.0","5,215.0","5,262.0","5,302.0","5,334.0","5,308.0","5,370.0","5,472.0","5,614.0","5,787.0","5,993.0","6,217.0","6,408.0","6,735.0","7,007.0","7,208.0","7,455.0","7,765.0","8,027.0","8,214.0","8,296.0","8,335.0","8,467.0","8,555.0","8,784.0","8,976.0","9,219.0","9,523.0","9,815.0","10,227.0","10,566.0","10,977.0","11,399.0","11,947.0","12,421.0","12,942.0","13,384.0","14,023.0","14,551.0","14,997.0","15,466.0","15,845.0","16,246.0","16,488.0","16,892.0","16,948.0","17,132.0","17,307.0","17,482.0","17,670.0","18,177.0","18,857.0","19,589.0","20,648.0","21,566.0","22,353.0","23,124.0","23,614.0","23,871.0","24,061.0","24,181.0","23,717.0","23,395.0","23,260.0","23,488.0","23,720.0","24,028.0","24,171.0","24,263.0","24,279.0","24,469.0","25,124.0","25,554.0","26,914.0","27,764.0","28,504.0","29,061.0","29,784.0","30,466.0","30,621.0","30,965.0","30,535.0","30,358.0","30,462.0","30,596.0","31,165.0","31,750.0","32,414.0","32,853.0","33,630.0","34,429.0","35,003.0","35,786.0","36,592.0","37,380.0","37,722.0","37,893.0","38,146.0","38,789.0","39,055.0","39,129.0","38,875.0","38,566.0","38,174.0","37,864.0","38,558.0","38,167.0","37,897.0","37,534.0","37,459.0","37,277.0","37,581.0","37,929.0","37,560.0","37,325.0","36,721.0","37,045.0","37,134.0","37,259.0","37,188.0","36,752.0","37,193.0","38,063.0","39,342.0","41,639.0","41,210.0","43,502.0","44,487.0","46,289.0","45,718.0","46,089.0","46,589.0","44,478.0","44,574.0","44,411.0","44,131.0","45,065.0","43,631.0","41,892.0","40,728.0","40,865.0","39,321.0","39,650.0","39,804.0","38,549.0","38,606.0","39,193.0","38,927.0","39,331.0","38,911.0","39,767.0","40,394.0","41,464.0","40,508.0","40,992.0","41,393.0"
"57","38","    Intellectual property products","Y071RC1","615.0","640.0","672.0","704.0","734.0","760.0","774.0","780.0","792.0","813.0","835.0","859.0","874.0","894.0","915.0","930.0","961.0","994.0","1,028.0","1,065.0","1,094.0","1,125.0","1,174.0","1,232.0","1,296.0","1,322.0","1,335.0","1,356.0","1,387.0","1,441.0","1,490.0","1,541.0","1,556.0","1,588.0","1,621.0","1,665.0","1,747.0","1,831.0","1,918.0","2,014.0","2,088.0","2,171.0","2,255.0","2,343.0","2,424.0","2,510.0","2,610.0","2,718.0","2,814.0","2,903.0","3,002.0","3,120.0","3,266.0","3,351.0","3,401.0","3,439.0","3,571.0","3,725.0","3,909.0","4,046.0","4,143.0","4,277.0","4,448.0","4,647.0","4,821.0","4,982.0","5,084.0","5,253.0","5,410.0","5,589.0","5,694.0","5,808.0","5,909.0","6,062.0","6,236.0","6,414.0","6,627.0","6,882.0","7,175.0","7,499.0","7,918.0","8,353.0","8,803.0","9,182.0","9,378.0","9,595.0","9,771.0","10,026.0","10,334.0","10,569.0","10,726.0","10,969.0","11,106.0","11,339.0","11,548.0","11,790.0","11,841.0","11,833.0","11,880.0","11,882.0","11,987.0","12,023.0","12,070.0","12,087.0","12,086.0","12,205.0","12,317.0","12,449.0","12,598.0","12,731.0","12,875.0","13,129.0","13,704.0","14,043.0","14,434.0","14,825.0","15,102.0","15,340.0","15,599.0","15,818.0","15,958.0","16,380.0","16,766.0","17,035.0","17,487.0","17,966.0","18,239.0","18,803.0","19,169.0","19,201.0","19,123.0","18,947.0","19,087.0","19,335.0","19,716.0","19,510.0","19,711.0","19,881.0","20,463.0","20,759.0","20,848.0","20,933.0","21,296.0","21,525.0","21,640.0","22,031.0","22,296.0","22,615.0","23,137.0","23,703.0","24,293.0","24,840.0","25,362.0","25,541.0","25,845.0","26,286.0","27,191.0","27,756.0","28,171.0","28,220.0","28,336.0","28,599.0","28,803.0","29,164.0","29,253.0","29,342.0","29,643.0","29,927.0","29,872.0","29,949.0","30,172.0","30,437.0","30,630.0","30,996.0","31,194.0","31,483.0","32,085.0","31,957.0","32,309.0","32,494.0","32,583.0","33,000.0","33,514.0"
"58","39","      Software","Y072RC1","122.0","132.0","148.0","162.0","173.0","181.0","178.0","168.0","165.0","171.0","180.0","192.0","196.0","203.0","209.0","208.0","221.0","234.0","247.0","262.0","266.0","273.0","298.0","331.0","370.0","372.0","362.0","360.0","370.0","401.0","426.0","451.0","439.0","439.0","434.0","436.0","470.0","507.0","549.0","602.0","635.0","674.0","712.0","751.0","781.0","813.0","857.0","905.0","939.0","969.0","1,013.0","1,079.0","1,177.0","1,212.0","1,211.0","1,196.0","1,273.0","1,373.0","1,503.0","1,587.0","1,632.0","1,704.0","1,804.0","1,924.0","2,009.0","2,074.0","2,073.0","2,132.0","2,173.0","2,244.0","2,250.0","2,273.0","2,292.0","2,361.0","2,449.0","2,538.0","2,660.0","2,823.0","3,021.0","3,248.0","3,569.0","3,902.0","4,247.0","4,518.0","4,602.0","4,714.0","4,792.0","4,956.0","5,179.0","5,345.0","5,448.0","5,652.0","5,765.0","5,972.0","6,152.0","6,363.0","6,381.0","6,331.0","6,328.0","6,272.0","6,310.0","6,283.0","6,271.0","6,232.0","6,178.0","6,235.0","6,276.0","6,327.0","6,386.0","6,416.0","6,442.0","6,564.0","6,993.0","7,202.0","7,477.0","7,768.0","7,960.0","8,099.0","8,245.0","8,336.0","8,335.0","8,600.0","8,814.0","8,895.0","9,144.0","9,431.0","9,522.0","9,915.0","10,121.0","9,988.0","9,739.0","9,388.0","9,347.0","9,430.0","9,663.0","9,324.0","9,410.0","9,464.0","9,930.0","10,110.0","10,082.0","10,052.0","10,300.0","10,416.0","10,419.0","10,633.0","10,657.0","10,671.0","10,823.0","11,039.0","11,297.0","11,532.0","11,761.0","11,622.0","11,583.0","11,656.0","12,180.0","12,382.0","12,466.0","12,217.0","12,067.0","12,131.0","12,202.0","12,496.0","12,275.0","12,103.0","12,191.0","12,312.0","12,524.0","12,764.0","13,043.0","13,259.0","13,297.0","13,498.0","13,523.0","13,629.0","14,039.0","13,768.0","14,024.0","14,161.0","14,211.0","14,407.0","14,685.0"
"59","40","      Research and development","Y073RC1","493.0","508.0","524.0","542.0","561.0","579.0","596.0","612.0","627.0","642.0","655.0","667.0","678.0","691.0","706.0","722.0","740.0","760.0","781.0","803.0","828.0","852.0","876.0","901.0","926.0","950.0","973.0","996.0","1,017.0","1,040.0","1,064.0","1,090.0","1,117.0","1,149.0","1,187.0","1,229.0","1,277.0","1,324.0","1,369.0","1,412.0","1,453.0","1,497.0","1,543.0","1,592.0","1,643.0","1,697.0","1,753.0","1,813.0","1,875.0","1,934.0","1,989.0","2,041.0","2,089.0","2,139.0","2,190.0","2,243.0","2,298.0","2,352.0","2,406.0","2,459.0","2,511.0","2,573.0","2,644.0","2,723.0","2,812.0","2,908.0","3,011.0","3,121.0","3,237.0","3,345.0","3,444.0","3,535.0","3,617.0","3,701.0","3,787.0","3,876.0","3,967.0","4,059.0","4,154.0","4,251.0","4,349.0","4,451.0","4,556.0","4,664.0","4,776.0","4,881.0","4,979.0","5,070.0","5,155.0","5,224.0","5,278.0","5,317.0","5,341.0","5,367.0","5,396.0","5,427.0","5,460.0","5,502.0","5,552.0","5,610.0","5,677.0","5,740.0","5,799.0","5,855.0","5,908.0","5,970.0","6,041.0","6,122.0","6,212.0","6,315.0","6,433.0","6,565.0","6,711.0","6,841.0","6,957.0","7,057.0","7,142.0","7,241.0","7,354.0","7,482.0","7,623.0","7,780.0","7,952.0","8,140.0","8,343.0","8,535.0","8,717.0","8,888.0","9,048.0","9,213.0","9,384.0","9,559.0","9,740.0","9,905.0","10,053.0","10,186.0","10,301.0","10,417.0","10,533.0","10,649.0","10,766.0","10,881.0","10,996.0","11,109.0","11,221.0","11,398.0","11,639.0","11,944.0","12,314.0","12,664.0","12,996.0","13,308.0","13,601.0","13,919.0","14,262.0","14,630.0","15,011.0","15,374.0","15,705.0","16,003.0","16,269.0","16,468.0","16,601.0","16,668.0","16,978.0","17,239.0","17,452.0","17,615.0","17,348.0","17,185.0","17,129.0","17,178.0","17,333.0","17,498.0","17,671.0","17,854.0","18,046.0","18,189.0","18,285.0","18,333.0","18,372.0","18,593.0","18,829.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
