"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"144","131","  Imputations (140+144+181)","A2092C1",34.6,37.3,39.9,42.3,46.1,52.7,58.8,63.4,69.4,77.3,86.7,98.6,110.8,120.5,126.7,134.6,142.9,153,164.2,175.8,188.2,201.3,212.7,221.5,233.5,245.1,257.6,266.4,277,288.9,306.4,326.7,344.8,359.9,380.2,412.3,450.2,488.9,524.7,550.2,559,569.8
"145","132","  Excluding imputations (130-131)","A2093C1",64.5,71.1,77.9,84.8,94.7,111,131.6,144.8,162.4,184.1,212.2,245.4,282.6,313,324.4,339.7,362.6,385.4,406.9,435.2,463.2,489.9,511.6,522.9,544.5,574,611.8,646.1,686.8,731.6,788,857.7,911.5,945.1,973.9,1020.5,1091.2,1171.8,1242.8,1303.9,1307.2,1305.1
"146",NA,"          Specific imputations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","133","  Imputed rental of owner-occupied housing","A2013C1",59,63.8,70,76.7,84,92.8,101.9,111.9,124.7,141.8,160.7,182.5,205.3,222.3,240.1,262.2,284.7,308.3,333.2,361.7,389.3,417.6,441.8,468.2,494.4,532.8,566.6,599.5,636.3,681.1,727.7,777.7,838.8,880.1,923.4,973.7,1057,1124.8,1152.8,1190.6,1212.6,1215.1
"149","134","  Intermediate inputs","A2014C1",7.4,8.5,9,10.5,12.3,14.4,15.8,18.6,22.7,27,31.1,32,33.6,31.9,33.8,38.5,41.8,48.1,52.9,57,61.1,63.6,67.3,73.2,77,82.8,86.5,91.9,97.6,111.4,112.2,118,132.3,146.9,175,182.8,208,216.5,202.8,167,183.3,197
"150","135","  Taxes on production and imports","A2016C1",12.7,14.4,15.8,17.1,18.5,19.8,21.8,24.1,26.6,27.2,28.1,30.6,33.9,37,39.5,42.5,45.2,47.9,52.4,55.8,60.3,64,68.6,70.9,70.9,74.3,74.4,76.8,79.5,81.1,83.9,86.6,91.5,98.7,104.7,111.6,118.7,126,134,137.3,140.6,144.1
"151","136","  Subsidies","B1154C1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.3,0.6,1.4,4,2.1,7.9,3.6,2,1.5
"152","137","  Net interest (186-156-164)","A2015C1",14.5,15.9,18.2,21,24,27.5,32.1,36.1,42.6,50.3,60.2,71.5,83.3,99.3,112.7,125.6,142.2,156.6,165.9,176.2,190.2,205,211.9,213.6,204.7,204.9,221.9,231.3,246.2,257.7,276.1,303.2,324.9,341.2,348.2,371.9,423.9,491.2,538.9,547.2,489.1,435.1
"153","138","  Current transfer payments","W536RC1",0,0,0.1,0.2,0.1,-0.3,-0.2,0.1,0.4,0.5,-0.1,-0.3,0.2,0,-0.1,-0.1,-0.3,1,1.6,0.7,-0.9,-0.8,-0.6,-1.4,1.5,1.8,1.7,-0.7,4.6,1.8,2,0.8,-1,2.6,4.4,5.8,11.3,10.7,8.9,3.2,5.5,5.1
"154","139","  Rental income of persons with capital consumption adjustment (133-134-135+136-137-138-140)","B1156C1",14.9,14.8,15.8,15.7,15.1,15.5,14.6,13.3,9.9,10.5,11,13.8,15.7,13,11.4,10.6,8.2,3.7,5.7,13.4,16,19.4,25.9,40.9,64.8,88.8,95.9,109.2,112.1,127.3,144,151,163.9,156,145.5,139.5,117.9,83.4,68.1,130,191.9,230
"155","140","  Consumption of fixed capital","B2607C1",9.5,10.1,11.1,12.3,13.9,16,17.9,19.7,22.5,26.3,30.5,35,38.8,41.4,43,45.5,47.9,51.2,54.9,58.9,62.9,66.4,68.9,71.3,75.8,80.9,86.6,91.2,96.6,102.3,110,118.5,127.7,135,146.2,163.5,181.4,199.2,208,209.5,204.4,205.3
"156","141","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \1\","A2050C1",4,4.5,5,5.6,6.3,7.3,8.6,9.3,10.1,11.4,12.9,14.9,17.1,19.3,21.3,24.1,24.8,27,28.5,31,33.6,36,38.7,41.1,44.6,45,47.1,49.2,51.7,54.9,58.4,62,65.5,68.5,71.3,75,79,83.4,92.7,101.1,102.5,103
"157","142","  Taxes on production and imports","B1320C1",0.7,0.8,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.5,1.7,1.8,2,2.1,2.2,2.5,2.6,2.9,3.1,3.4,3.6,3.6,3.9,3.9,4,4.3,4.4,4.7,4.9,5.1,5.6,5.9,6.3,6.6,7.1,7.8,8.3,8.6,8.9
"158","143","  Net interest (187+190)","B1131C1",0.6,0.7,0.8,0.8,0.9,1.1,1.4,1.4,1.5,1.9,2.3,3,3.7,4.8,5.9,7.7,7.5,8.6,8.7,9.7,10.4,10.8,11.4,11.9,13.8,12.7,13.4,14.5,15.2,15.6,15.9,15.8,15.8,15.2,14.2,13.4,12.3,11.2,11.4,11.8,9.8,8.1
"159","144","  Consumption of fixed capital","B1157C1",2.7,3,3.3,3.7,4.3,5.1,6,6.6,7.3,8.2,9.3,10.6,11.8,12.9,13.6,14.4,15.2,16.2,17.3,18.6,20.2,22.1,23.8,25.5,27.2,28.5,29.8,30.7,32.2,34.8,37.8,41.3,44.6,47.7,51.2,55.4,60.1,65,73.5,81.1,84.1,86
"160","145","Financial services furnished without payment (146+151)","W537RC1",21.6,24.7,25.6,27.9,32.6,39.5,44.2,46.8,52.4,63.5,73.4,81.3,89.6,94.3,105.4,112,121.9,142.1,150.2,157.1,154.1,159,169.6,184.8,191.9,203.3,209.5,221.2,241.6,256.9,275.7,300.2,302.2,317.2,326.2,351.5,370.9,390.6,426.1,451,442.7,500.6
"161","146","  Depositor services","B1310C1",13.8,17.5,20,21.6,21.5,25.9,40.5,35.6,37.7,41,38.7,37.7,36,56.8,89.8,80.3,95.9,103.5,101.2,95.9,83.7,98.6,122.7,137.9,130.6,131.3,126.5,143,160.8,172.6,189.7,195,203,213.4,197.1,215.7,206.8,190.3,241.9,296.6,236.9,244.9
"162","147","    Persons \2\","B1611C1",7.2,9,10.1,11.1,11.8,14.4,21.6,19.9,21.5,25,24.3,22.9,21,27.7,51.7,48.4,60.2,66,70.1,68,63.7,71.4,85.6,100.1,99.2,99.6,96.3,106.1,117.8,128.8,140.9,148.2,150.3,155.7,147.8,162.6,166,163.3,188.9,216.5,192,203.7
"163","148","    Government","W538RC1",1.4,1.8,2.3,2.4,2.3,2.4,3.2,3,3.2,2.5,1.8,1.3,0.8,2.3,3.3,2.7,4.7,5.1,3.9,3.3,3.1,3.6,4.9,4.7,4,3.9,3.8,4.3,4.8,5,6.1,6.1,5.4,5.9,5.3,5.5,5.1,5.2,6.6,8.6,7.6,8
"164","149","    Private enterprises","W539RC1",4.8,6.2,7.1,7.5,6.8,8.1,14.1,11.5,11.8,12.4,11.6,12.8,13.7,25.3,31.3,26,26.5,27.9,23.1,21,13.9,19.5,26.8,26.4,20.7,21.2,20.8,26.8,32.1,33.1,37.1,35.3,42.2,46.9,40.1,43.3,31.7,18,41,62.8,30.3,26.3
"165","150","    Rest of the world \3\","W540RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,4.5,4.1,3.6,3,4,5.4,6.6,6.6,6.6,5.6,5.8,6.2,5.7,5.6,5.4,5.1,4.9,4,4.3,4,3.9,5.4,8.7,7,6.9
"166","151","  Borrower services","W541RC1",7.8,7.1,5.5,6.4,11.2,13.6,3.7,11.2,14.6,22.4,34.6,43.6,53.6,37.4,15.6,31.6,26.1,38.6,49,61.1,70.5,60.3,47,46.9,61.3,72,83,78.2,80.7,84.3,86.1,105.3,99.2,103.7,129.1,135.8,164.1,200.3,184.2,154.3,205.8,255.7
"167","152","    Persons","W542RC1",1.7,1.6,1.3,1.5,2.6,3,0.8,2.7,3.6,5.6,8.3,10.1,11.6,7.9,3.3,6.7,5.2,6.5,9.1,11.1,13.1,10.7,8.2,7.7,10.1,12.9,15.8,15.4,15.2,14.4,13.6,15.8,14.8,14.8,18,19.7,22,25.6,23.4,19.3,26.6,46.3
"168","153","    Government","W543RC1",0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,9.8,5.7,6,4.4,3.6,2.9,4,5.4,4.3,4.4,3.5,3.1,3.7,4.1,4.3,2.9,4.9,6.8,6.7,7.8,7.5,6.7,5.8,12.3,14.3
"169","154","    Private enterprises","W544RC1",5.4,5.1,4.2,4.7,8.3,10.1,2.7,8,10.3,15.7,24.2,30.8,38.4,28.1,11.8,24.1,17.6,21.7,33.6,43.4,52.2,45.5,35.5,34.8,45.2,54,61.9,58.3,61.2,64.8,66.9,83.4,79.8,82.3,102.4,107.5,132.2,164.1,151.7,126.9,164.1,191.5
"170","155","      Domestic business","W545RC1",4.6,4.4,3.5,3.9,7,8.6,2.3,6.6,8.4,12.7,19.3,24.5,30.6,22.7,9.6,19.7,14.5,17.8,27.7,35.4,41.8,35.7,27.1,26.1,33.5,39.7,44.7,41.8,43.8,46.8,48.5,59.7,57,57,67.9,69.8,84.3,104.7,96.4,83.7,106.5,120
"171","156","      Owner-occupied housing","W546RC1",0.8,0.7,0.6,0.7,1.2,1.4,0.4,1.2,1.7,2.8,4.5,5.9,7.1,5,2,3.9,2.8,3.4,5.1,7,9.1,8.7,7.5,7.8,10.6,13.2,15.9,15.3,16.1,16.7,17,21.9,21,23.3,32.1,35.1,44.6,55.3,51.5,40,53.2,66.3
"172","157","      Nonprofit institutions serving households","W547RC1",0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.5,0.2,0.4,0.3,0.5,0.8,1,1.3,1.1,0.9,0.9,1.1,1.2,1.3,1.2,1.3,1.3,1.4,1.8,1.8,2,2.4,2.6,3.3,4.2,3.8,3.1,4.4,5.2
"173","158","    Rest of the world \4\","W548RC1",0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.5,0.7,1.2,2.1,2.7,3.6,1.4,0.5,0.9,0.5,0.5,0.7,0.7,0.7,0.5,0.4,0.5,0.7,0.7,0.9,1.1,1.2,1.4,1.4,1.8,1.7,1.7,1.9,1.8,2.2,3,2.5,2.3,2.8,3.6
"174","159","Premium supplements for property and casualty insurance (160+161+162+165-166)","W354RC1",0.9,1.1,1.4,1.5,1.6,1.8,2.2,2.7,3.4,4,4.5,5.1,5.8,6.5,7.6,9.1,12.2,17.2,19.2,19.7,20.6,21.8,22.7,23.2,25.9,27.3,26.6,27.1,27.6,28.2,28.6,30.1,31.1,33,34.2,34.2,32.5,33.6,32.7,33.5,27.8,23
"175","160","  Persons and nonprofit institutions serving households","W549RC1",0.5,0.5,0.7,0.7,0.8,0.9,1.1,1.3,1.7,1.9,2.2,2.6,3,3.4,4,4.8,6,7.5,8.7,9.4,10.2,10.8,11.3,11.6,12.6,12.8,12.2,12.4,12.6,12.9,12.6,13.7,14.3,13.4,13.3,13.3,13.4,13.3,13,11.9,10.1,7
"176","161","  Government","W550RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
"177","162","  Private enterprises","W551RC1",0.4,0.5,0.7,0.8,0.8,0.9,1.1,1.3,1.7,2,2.2,2.5,2.7,3.1,3.5,4.2,6.1,9.8,10.7,10.5,10.9,11.5,12.1,12.4,14.1,15.5,15.4,15.6,16,16.8,17.9,18.6,20.5,23.5,25,25.6,21.9,24.9,25.8,29.5,25.8,22.4
"178","163","    Domestic business","W552RC1",0.4,0.4,0.6,0.7,0.7,0.8,0.9,1.2,1.6,1.8,2,2.2,2.5,2.7,3.1,3.8,5.6,9.3,10.1,9.9,10.2,10.8,11.3,11.6,13.2,14.5,14.4,14.5,15,15.7,16.7,17.5,19.3,22.3,23.7,24.3,20.6,23.5,24.4,28.1,24.5,21.2
"179","164","    Owner-occupied housing","W553RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.2,1.2
"180","165","  To the rest of the world (exports)","W554RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1,1.4,1.7,2,1.4,2.1,2,2.2,2.1,1.9
"181","166","  From the rest of the world (imports)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7,8.3,10.4,10.3,8.5
"182","167","Farm products consumed on farms","A2051C1",0.3,0.4,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
"183","168","  Output","B1008C1",0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3
"184","169","  Less: Intermediate inputs","B1161C1",0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2
"185","170","Employment-related imputations","A2099C1",15.2,17.6,19.3,21.9,24.1,27.8,33.5,40.7,47.6,55.6,63.2,72.7,84.3,95.8,105,113.8,124.2,132,141,158,175.1,194.6,210.9,235.7,255.1,266.9,264,267.3,271.5,292.5,324.4,361.6,392.2,418.6,457.5,492.5,529.1,543.1,564.9,580.5,592.8,594.2
"186","171","  Food furnished to employees, including military and domestic service \5\","DFOORC1",2.1,2.1,2,2,2.2,2.7,3.2,3.6,3.7,4.3,4.9,5.5,6.2,6.5,6.4,6.4,6.2,6,5.7,6.1,6.5,6.8,6.9,7.1,7.3,7.5,7.8,8,8.2,8.4,8.7,8.9,9.1,9.5,10.1,10.7,11.8,13.4,14.1,14.3,14.9,14.3
"187","172","  Standard clothing issued to military personnel \5\","DMICRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"188","173","  Employees' lodging \5\","A2641C1",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.8,0.7,0.6,0.6,0.5,0.6,0.5,0.4,0.7,0.7,0.7
"189","174","  Employer contributions for health and life insurance \6\","B4922C1",12.3,14.5,16.1,18.7,20.8,23.8,28.6,35.1,42.1,49.7,56.4,65.1,76,87.3,96.3,105.2,115.6,123.5,132.3,148.7,165.3,184.1,199.8,223.7,242.9,255.1,252.3,255.4,259.5,280.3,311.8,348.4,378.5,404.4,442.1,476.5,511.7,523.8,544.9,559.7,570.3,571.5
"190","175","  Contributions for government social insurance for federal government employees for certain programs \7\","A1676C1",0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.5,3.1,3,2.9,2.9,3,3.2,3.5,3.8,4.2,4.5,4.6,5,5,5.4,6.5,7.3
"191","176","Private investment-related imputations","A2087C1",36.1,34.9,45.8,56.9,63.3,57.9,59.7,78.6,104,120.2,123.3,109.4,109.3,102.6,143.3,167.5,172.7,200.1,218.4,230.5,232.2,221.1,212.7,245.6,268.8,303.4,295.2,328.5,352.2,397.3,428.9,453.5,481.9,517.4,581.4,683.7,773.9,767.3,657.7,523,414.8,402.9
"192","177","  Owner-occupied residential structures \8\","B1166C1",29,27.5,37.5,46.5,52.3,47.1,49.3,66.8,89.5,104.5,106.7,92.7,91.4,81.6,119.3,141.8,146.5,171.7,186.2,196.3,194.8,180.8,171.2,201.5,226.4,259.7,249.8,280.4,291,329,359.3,378.3,402.6,435.1,494.1,589.4,676.8,664.5,535.4,390.5,291.2,284.1
"193","178","  Nonresidential fixed investment by nonprofit institutions serving households \9\","B1167C1",6.7,7,7.7,9.8,10.3,9.9,9.4,10.3,12.2,13.2,14,14.8,16.3,19.6,21.5,23.1,23.5,25.2,29.2,31.3,34.8,37.6,39.3,41,39.6,40.5,42.9,45.3,58.3,65.6,66.5,72.6,76.6,79.3,84.3,90.8,93,99.3,120.2,132,123.6,118.8
"194","179","  Margins on owner-built housing","B1173C1",0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.6,2.3,2.6,2.7,1.9,1.5,1.5,2.5,2.6,2.7,3.2,3,2.8,2.6,2.7,2.2,3,2.8,3.2,2.6,2.8,2.9,2.7,3.1,2.7,2.7,2.9,3,3.6,4.1,3.5,2.1,0.5,0,0
"195","180","Government investment-related imputations","A2018C1",65.8,67.7,67.2,69,74.7,87.8,98,103.5,107.1,119.9,135.3,153.3,167,178.6,192.9,214.1,238.5,258.9,276.3,284.4,302.8,328.7,340.4,347.8,349.9,356.7,373.8,388.8,400.5,414.7,445.9,471.1,494.5,520.8,538.5,565.8,600.7,649.7,699.7,756.8,775.9,783.9
"196","181","  General government consumption of fixed capital \10\","A265RC1",22.5,24.1,25.5,26.3,27.8,31.6,34.9,37.1,39.6,42.8,46.9,53,60.1,66.2,70.1,74.7,79.7,85.6,92,98.3,105.1,112.9,120.1,124.7,130.5,135.8,141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,243.2,259.6,270.5,278.6
"197","182","  Gross government investment \11\","A782RC1",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,497.2,505.4,505.3
"198",NA,"Interest-related imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","183","  Net interest, domestic (184-191+192-195)","A2104C1",26.8,30.5,33.9,38.4,43.4,50.8,61.9,66.2,76.1,89.6,102.4,114.9,127.6,148.3,185.1,200.1,233.7,265,276.7,287.8,298.3,320.1,341.3,360,356.3,357.4,373.4,393.5,421.3,443.8,474.5,512,531.5,553.8,555.3,594.5,653.8,719.5,790.7,824.2,749.3,726.6
"200","184","    Interest paid by persons","W562RC1",15.1,16.7,19,21.9,25.1,28.7,33.6,37.7,44.3,52.4,62.7,74.7,87.3,104.4,119,133.7,150.2,165.7,175.2,186.5,201.2,216.5,224.1,226.4,219.4,218.5,236.3,246.8,262.4,274.4,293.1,320.2,341.9,357.6,363.7,386.6,437.5,503.7,551.7,560.4,500.1,444.4
"201","185","      Monetary interest paid by persons","A2129C1",16,17.5,19.7,22.7,26.4,30.3,34,39,46.2,55.4,67.7,81.1,95,109.8,121.2,138,153.3,169.6,181.1,194.5,211.6,226.3,232.5,235,231.1,232.9,253.5,263.3,279.8,292.4,311.4,343.9,364.7,382.9,398.2,424.4,485.4,563.2,607,603.6,557.7,515.9
"202","186","        Owner-occupied housing","W498RC1",15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.4,160.5,171.6,183.8,199.9,214.5,220.1,222.2,216.2,219,238.8,247.6,263.4,275.5,294.1,326.3,347.1,365.7,381.6,408.4,469.9,547.9,591.7,588.7,543.5,502.6
"203","187","        Interest paid by nonprofit institutions serving households","W319RC1",0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,17.2,16.6,16,15.5,15.3,15.2,14.9,14.2,13.4
"204","188","      Imputed interest paid by persons","W556RC1",-0.9,-0.8,-0.6,-0.7,-1.3,-1.6,-0.4,-1.4,-1.9,-3,-4.9,-6.4,-7.7,-5.4,-2.2,-4.3,-3.1,-3.9,-5.9,-8,-10.4,-9.8,-8.4,-8.6,-11.7,-14.4,-17.2,-16.5,-17.4,-18,-18.4,-23.7,-22.8,-25.3,-34.5,-37.8,-47.9,-59.5,-55.3,-43.2,-57.6,-71.5
"205","189","        Owner-occupied housing (-156)","W307RC1",-0.8,-0.7,-0.6,-0.7,-1.2,-1.4,-0.4,-1.2,-1.7,-2.8,-4.5,-5.9,-7.1,-5,-2,-3.9,-2.8,-3.4,-5.1,-7,-9.1,-8.7,-7.5,-7.8,-10.6,-13.2,-15.9,-15.3,-16.1,-16.7,-17,-21.9,-21,-23.3,-32.1,-35.1,-44.6,-55.3,-51.5,-40,-53.2,-66.3
"206","190","        Nonprofit institutions serving households (-157)","W309RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.5,-0.2,-0.4,-0.3,-0.5,-0.8,-1,-1.3,-1.1,-0.9,-0.9,-1.1,-1.2,-1.3,-1.2,-1.3,-1.3,-1.4,-1.8,-1.8,-2,-2.4,-2.6,-3.3,-4.2,-3.8,-3.1,-4.4,-5.2
"207","191","    Less:  Imputed interest received by persons (164)","W553RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.2,1.2
"208","192","    Imputed interest paid by private enterprises","W566RC1",9.3,13.5,17.2,18.4,14.8,17.6,40,30.3,30.9,29.3,19,12,3.4,35.3,85.7,65.4,90.5,99,86.8,72.3,52,74.9,109.9,126.3,111.3,104.6,91.3,111.8,127.3,135.9,151.4,141.6,154.3,164.2,129,142.4,107.1,59.8,122.9,203.2,100.7,76.4
"209","193","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (146+159)","W560RC1",14.7,18.6,21.4,23.1,23.1,27.7,42.7,38.3,41.2,45,43.2,42.8,41.8,63.3,97.5,89.5,108.1,120.7,120.4,115.7,104.2,120.4,145.4,161.1,156.5,158.6,153.2,170.1,188.5,200.8,218.3,225,234.1,246.4,231.3,249.9,239.3,223.9,274.6,330.1,264.8,268
"210","194","      By private enterprises for borrower services (-154)","W561RC1",-5.4,-5.1,-4.2,-4.7,-8.3,-10.1,-2.7,-8,-10.3,-15.7,-24.2,-30.8,-38.4,-28.1,-11.8,-24.1,-17.6,-21.7,-33.6,-43.4,-52.2,-45.5,-35.5,-34.8,-45.2,-54,-61.9,-58.3,-61.2,-64.8,-66.9,-83.4,-79.8,-82.3,-102.4,-107.5,-132.2,-164.1,-151.7,-126.9,-164.1,-191.5
"211","195","    Less:  Imputed interest received","W563RC1",-2.5,-0.4,2.3,1.9,-3.6,-4.6,11.6,1.6,-1.1,-8.1,-20.8,-28.4,-37.1,-9,19.2,-1.4,6.6,-0.9,-15.2,-29.6,-45.7,-29.3,-8.1,-8.1,-26.5,-35.3,-46.8,-35.9,-32.6,-34.5,-31.1,-51.3,-36.5,-33.3,-64,-66.8,-110.5,-157.5,-117.5,-62,-149.7,-206.9
"212","196","      By banks for borrower services (-151)","W358RC1",-7.8,-7.1,-5.5,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.4,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-26.1,-38.6,-49,-61.1,-70.5,-60.3,-47,-46.9,-61.3,-72,-83,-78.2,-80.7,-84.3,-86.1,-105.3,-99.2,-103.7,-129.1,-135.8,-164.1,-200.3,-184.2,-154.3,-205.8,-255.7
"213","197","      By other private enterprises (149+162)","W565RC1",5.3,6.7,7.8,8.2,7.6,9,15.2,12.8,13.5,14.3,13.8,15.2,16.5,28.4,34.8,30.2,32.6,37.7,33.8,31.5,24.7,31,38.9,38.8,34.8,36.7,36.2,42.3,48.1,49.8,54.9,53.9,62.7,70.5,65.1,69,53.6,42.9,66.7,92.3,56.1,48.7
"214","198","  Personal interest payments","A2109C1",-16.9,-18.3,-20.3,-23.4,-27.7,-31.8,-34.4,-40.4,-47.9,-58,-71.1,-84.8,-98.9,-112.3,-122.3,-140.3,-155.4,-172.2,-184.3,-197.6,-214.3,-227.2,-232.3,-234,-229.5,-231.4,-252,-262.2,-277.6,-288.8,-306.7,-336,-356.7,-372.5,-381.7,-406.3,-459.5,-529.3,-575.1,-579.7,-526.7,-490.7
"215","199","    Owner-occupied housing (-186+156)","A2020C1",-14.6,-16,-18.3,-21.1,-24.1,-27.6,-32.2,-36.2,-42.8,-50.5,-60.4,-71.8,-83.5,-99.6,-113.1,-126,-142.7,-157.1,-166.5,-176.8,-190.8,-205.7,-212.7,-214.4,-205.6,-205.9,-222.9,-232.3,-247.3,-258.8,-277.2,-304.4,-326.1,-342.4,-349.5,-373.2,-425.2,-492.5,-540.3,-548.6,-490.3,-436.3
"216","200","    Interest paid by nonprofit institutions serving households (-143)","A2021C1",-0.6,-0.7,-0.8,-0.8,-0.9,-1.1,-1.4,-1.4,-1.5,-1.9,-2.3,-3,-3.7,-4.8,-5.9,-7.7,-7.5,-8.6,-8.7,-9.7,-10.4,-10.8,-11.4,-11.9,-13.8,-12.7,-13.4,-14.5,-15.2,-15.6,-15.9,-15.8,-15.8,-15.2,-14.2,-13.4,-12.3,-11.2,-11.4,-11.8,-9.8,-8.1
