"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"58","39","      Domestic","AB73RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-590.0","845.0","565.0","-618.0","1,225.0","-496.0","168.0","2,597.0","206.0","-395.0","-852.0","-1,377.0","-207.0","812.0","367.0","-300.0","15.0","355.0","3,512.0","934.0","-1,400.0","-1,571.0","985.0","2,411.0","5,450.0","2,827.0","-2,724.0","-4,471.0","-2,159.0","-3,183.0","-4,130.0","1,193.0","-413.0","-185.0","-1,890.0","1,529.0","-1,906.0","2,252.0","1,543.0","-2,821.0","-497.0","39.0","340.0","1,854.0","3,070.0","630.0","3,327.0","3,090.0","-2,337.0","1,136.0","929.0","1,156.0","3,352.0","907.0","-5,379.0","240.0","4,380.0","-187.0","-47.0","2,966.0","-409.0","-1,271.0","-108.0","3,523.0","5,274.0","1,822.0","-3,135.0","1,571.0","-6,323.0","3,775.0","2,145.0","-2,949.0","-10,133.0","609.0","1,869.0","1,821.0","3,298.0","-766.0","-1,653.0","1,763.0","7,192.0","-3,545.0","-2,426.0","-1,118.0","2,159.0","2,752.0","5,418.0","1,527.0","1,184.0","4,161.0","4,147.0","3,482.0","-5,624.0","4,240.0","3,654.0","-5,344.0","2,473.0","1,933.0","2,325.0","4,232.0","6,083.0","-13,631.0","-6,431.0","4,722.0","9,100.0","7,046.0","9,307.0","6,319.0","4,101.0","9,858.0","-2,167.0","2,701.0","-18,457.0","629.0","3,022.0","-28,105.0","-5,330.0","9,982.0","6,710.0","6,115.0","18,424.0","10,906.0","-1,379.0","7,699.0","14,441.0","3,902.0","1,185.0","92.0","-2,057.0","-9,201.0","-2,484.0","11,322.0","-930.0","2,735.0","-1,229.0","-14,348.0","-4,881.0","2,887.0","1,554.0","-7,739.0","-10,798.0","64.0","-31,840.0","-14,145.0","-23,964.0","-27,693.0","-353.0","1,012.0","7,236.0","9,529.0","19,144.0","90.0","8,538.0","6,946.0","-492.0","-1,150.0","9,527.0","15,271.0","8,114.0","-553.0"
"59","40","      Foreign","AB74RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","290.0","-376.0","3.0","317.0","-199.0","-61.0","94.0","-10.0","-97.0","-28.0","-54.0","34.0","110.0","159.0","86.0","-58.0","-39.0","-125.0","-70.0","112.0","216.0","99.0","129.0","81.0","-286.0","-145.0","71.0","144.0","-146.0","269.0","76.0","59.0","-137.0","-22.0","-102.0","64.0","639.0","456.0","-604.0","-735.0","-142.0","-132.0","-1,015.0","473.0","-449.0","484.0","-376.0","1,085.0","-720.0","253.0","-385.0","912.0","706.0","1,262.0","545.0","-41.0","1,086.0","123.0","-1,674.0","-123.0","-156.0","401.0","-828.0","299.0","329.0","-572.0","-581.0","537.0","-1,985.0","-405.0","70.0","896.0","511.0","-968.0","-1,176.0","534.0","640.0","-526.0","-434.0","388.0","-593.0","-501.0","-755.0","-211.0","88.0","-347.0","434.0","949.0","592.0","449.0","-640.0","-1,496.0","88.0","126.0","-456.0","738.0","1,192.0","111.0","-600.0","1,402.0","311.0","921.0","-1,690.0","65.0","1,082.0","-455.0","-987.0","2,112.0","-182.0","1,756.0","-1,371.0","3,346.0","-1,533.0","-845.0","-78.0","327.0","-51.0","89.0","1,451.0","4,228.0","1,274.0","1,070.0","-2,020.0","-109.0","1,653.0","1,697.0","-243.0","-3,391.0","321.0","625.0","-459.0","2,092.0","789.0","356.0","462.0","1,487.0","-1,301.0","-446.0","-245.0","-771.0","1,804.0","4,825.0","4,198.0","-6,684.0","-7,519.0","-6,037.0","-3,130.0","1,984.0","1,571.0","2,400.0","553.0","617.0","1,052.0","-4,304.0","2,176.0","-547.0","3,843.0","2,105.0","1,023.0","-2,510.0"
"60","41","    Used \1\","W245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","157.0","167.0","127.0","97.0","28.0","44.0","65.0","125.0","248.0","251.0","269.0","121.0","-294.0","-454.0","-561.0","-416.0","-61.0","243.0","449.0","518.0","311.0","239.0","157.0","100.0","50.0","26.0","78.0","106.0","331.0","286.0","212.0","96.0","-84.0","-146.0","-159.0","-148.0","9.0","140.0","286.0","421.0","450.0","627.0","736.0","956.0","1,037.0","1,066.0","949.0","862.0","177.0","33.0","78.0","339.0","1,633.0","1,821.0","1,780.0","1,521.0","-3,161.0","-2,046.0","-730.0","3,251.0","3,967.0","6,602.0","-4,492.0","-7,522.0","2,009.0","-3,953.0","62.0","5,208.0","1,367.0","4,213.0","3,884.0","-1,744.0","2,140.0","3,825.0","-147.0","955.0","1,030.0","-1,286.0","-2,230.0","1,639.0","-1,527.0","-3,349.0","1,262.0","3,955.0","182.0","1,008.0","2,358.0","-1,721.0","-4,455.0","-179.0","590.0","-1,806.0","1,203.0","-3,429.0","-3,085.0","-2,615.0","149.0","-1,993.0","645.0","136.0","-1,073.0","-515.0","1,293.0","-1,637.0","-3,848.0","-1,460.0","2,745.0","8,071.0","1,221.0","-1,420.0","-1,395.0","-4,255.0","-6,448.0","-8,374.0","-4,991.0","-4,780.0","-7,260.0","-5,211.0","-5,097.0","1,043.0"
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","42","  Final sales of motor vehicles to domestic purchasers","AB75RC1","46,879.0","46,469.0","47,110.0","46,447.0","42,539.0","43,581.0","43,542.0","35,069.0","48,901.0","50,861.0","52,870.0","55,715.0","56,984.0","59,160.0","59,754.0","64,388.0","70,357.0","69,042.0","67,218.0","62,780.0","59,526.0","60,929.0","65,561.0","56,995.0","56,568.0","57,168.0","66,036.0","70,188.0","78,398.0","80,560.0","84,268.0","86,816.0","98,073.0","99,546.0","100,201.0","104,879.0","103,523.0","119,566.0","117,028.0","120,262.0","120,976.0","112,620.0","118,154.0","111,815.0","112,436.0","89,850.0","102,457.0","105,244.0","116,732.0","110,597.0","120,402.0","105,521.0","117,724.0","115,754.0","116,704.0","125,358.0","125,742.0","144,527.0","155,008.0","171,277.0","179,429.0","187,590.0","185,033.0","191,768.0","204,470.0","209,011.0","230,529.0","208,711.0","210,581.0","224,097.0","253,917.0","231,951.0","207,469.0","227,268.0","245,985.0","225,813.0","245,933.0","241,402.0","235,873.0","245,964.0","245,022.0","248,762.0","256,103.0","231,458.0","253,400.0","239,026.0","239,645.0","228,221.0","218,790.0","214,276.0","227,102.0","222,976.0","233,515.0","240,243.0","242,407.0","256,605.0","252,114.0","275,819.0","274,511.0","293,808.0","310,498.0","309,082.0","317,682.0","332,807.0","320,461.0","319,176.0","326,965.0","336,317.0","338,871.0","344,696.0","350,855.0","357,805.0","373,155.0","360,221.0","380,959.0","388,473.0","373,746.0","402,667.0","404,734.0","452,609.0","432,587.0","458,133.0","469,768.0","458,147.0","487,784.0","454,314.0","453,667.0","446,448.0","459,598.0","448,861.0","444,672.0","501,482.0","470,539.0","472,435.0","501,838.0","469,098.0","459,316.0","474,244.0","491,252.0","480,343.0","485,143.0","491,783.0","506,001.0","521,775.0","515,440.0","535,920.0","548,823.0","498,453.0","530,459.0","523,726.0","527,718.0","526,927.0","519,655.0","514,636.0","512,887.0","509,167.0","481,947.0","434,888.0","398,181.0","321,229.0","305,463.0","312,781.0","351,896.0","339,090.0","359,886.0","388,770.0","407,404.0","433,730.0","453,392.0","446,281.0","466,614.0","490,113.0","509,536.0","507,841.0","516,155.0","533,447.0"
"63","43","  Private fixed investment in new autos and new light trucks","AB76RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53,201.0","57,751.0","61,553.0","58,973.0","64,323.0","64,587.0","65,539.0","66,324.0","60,236.0","65,157.0","63,322.0","57,371.0","63,267.0","63,069.0","67,526.0","66,807.0","66,885.0","69,666.0","74,103.0","71,256.0","71,144.0","76,008.0","74,162.0","80,242.0","77,753.0","90,264.0","84,419.0","93,374.0","104,979.0","104,499.0","108,735.0","116,627.0","111,339.0","108,481.0","114,540.0","116,314.0","121,474.0","128,862.0","136,927.0","137,815.0","143,441.0","140,577.0","144,946.0","147,077.0","144,366.0","156,520.0","142,075.0","164,805.0","164,933.0","166,958.0","177,663.0","175,710.0","182,555.0","172,345.0","171,733.0","160,932.0","168,327.0","163,896.0","157,397.0","153,494.0","151,418.0","158,343.0","161,491.0","152,284.0","145,174.0","141,891.0","153,050.0","153,691.0","148,868.0","156,462.0","167,011.0","173,211.0","165,778.0","172,990.0","185,791.0","181,639.0","198,267.0","185,594.0","184,794.0","188,538.0","189,508.0","185,044.0","191,277.0","188,141.0","181,900.0","161,225.0","146,333.0","106,489.0","83,615.0","94,984.0","101,056.0","119,609.0","130,642.0","138,475.0","144,054.0","146,328.0","153,564.0","150,654.0","165,960.0","165,598.0","176,423.0","178,259.0","183,060.0","196,541.0"
"64","44","  Domestic output of new autos \2\","B148RC1","32,051.0","28,659.0","31,883.0","28,130.0","24,371.0","28,503.0","27,373.0","15,921.0","36,073.0","32,701.0","30,633.0","33,282.0","35,671.0","34,747.0","32,031.0","38,866.0","44,642.0","40,573.0","38,576.0","36,241.0","30,174.0","31,557.0","37,281.0","34,145.0","26,580.0","32,256.0","38,870.0","38,409.0","46,321.0","46,351.0","44,570.0","49,223.0","54,734.0","54,597.0","54,962.0","54,975.0","54,267.0","60,997.0","58,165.0","62,619.0","66,489.0","61,311.0","56,051.0","52,840.0","53,951.0","43,272.0","48,143.0","58,110.0","57,775.0","62,503.0","61,236.0","49,168.0","41,539.0","54,811.0","60,331.0","49,272.0","62,382.0","64,324.0","76,001.0","84,441.0","88,183.0","81,996.0","83,574.0","93,388.0","93,014.0","92,536.0","99,007.0","95,405.0","96,190.0","95,974.0","100,345.0","95,620.0","100,402.0","91,639.0","86,676.0","96,153.0","88,364.0","100,614.0","96,230.0","104,353.0","106,762.0","101,181.0","89,810.0","92,127.0","87,217.0","95,599.0","98,713.0","84,487.0","83,470.0","83,759.0","94,001.0","89,377.0","85,888.0","94,138.0","95,149.0","97,973.0","97,566.0","100,211.0","91,737.0","107,145.0","117,261.0","112,691.0","113,380.0","119,190.0","114,704.0","109,245.0","106,737.0","110,045.0","106,783.0","118,780.0","118,400.0","104,159.0","110,191.0","109,995.0","111,816.0","109,744.0","105,810.0","101,530.0","112,508.0","117,738.0","113,055.0","112,073.0","113,601.0","115,386.0","120,785.0","118,807.0","115,575.0","107,859.0","105,260.0","108,818.0","106,457.0","108,096.0","113,750.0","113,272.0","110,997.0","104,333.0","95,367.0","97,455.0","95,284.0","97,527.0","94,462.0","94,487.0","95,527.0","100,708.0","106,729.0","104,748.0","107,251.0","112,430.0","115,487.0","108,663.0","106,748.0","105,973.0","105,389.0","106,992.0","103,901.0","105,820.0","109,518.0","100,849.0","108,958.0","85,273.0","41,976.0","49,982.0","70,065.0","80,939.0","78,759.0","79,499.0","77,661.0","73,940.0","79,213.0","82,017.0","86,255.0","97,735.0","113,788.0","112,571.0","120,887.0","126,071.0"
"65","45","  Sales of imported new autos \3\","B149RC1","4,277.0","4,878.0","5,196.0","5,900.0","5,657.0","5,793.0","5,387.0","6,352.0","6,561.0","7,032.0","7,634.0","6,939.0","7,184.0","7,620.0","8,184.0","8,877.0","9,007.0","9,381.0","8,655.0","9,154.0","9,406.0","8,069.0","9,459.0","8,719.0","10,218.0","9,783.0","10,959.0","10,495.0","10,340.0","10,975.0","11,869.0","12,513.0","13,655.0","16,031.0","14,915.0","15,026.0","14,800.0","16,561.0","16,954.0","17,135.0","18,505.0","19,406.0","19,269.0","19,962.0","23,127.0","18,792.0","21,795.0","23,487.0","24,654.0","24,252.0","24,773.0","25,249.0","27,487.0","26,599.0","28,470.0","31,121.0","29,690.0","32,696.0","32,559.0","37,596.0","37,110.0","38,746.0","37,557.0","40,103.0","39,948.0","43,560.0","48,906.0","46,630.0","47,709.0","51,708.0","57,675.0","59,427.0","48,123.0","52,114.0","57,628.0","54,887.0","60,021.0","58,960.0","56,360.0","55,258.0","52,387.0","54,947.0","56,375.0","50,874.0","56,654.0","54,441.0","53,978.0","52,699.0","45,145.0","49,682.0","51,117.0","47,342.0","50,273.0","52,088.0","50,186.0","52,573.0","50,020.0","55,512.0","57,515.0","55,095.0","53,321.0","57,656.0","58,032.0","58,676.0","54,824.0","55,077.0","55,578.0","58,531.0","55,037.0","54,409.0","55,962.0","55,898.0","59,935.0","56,617.0","61,682.0","62,621.0","63,628.0","68,712.0","64,515.0","71,860.0","72,226.0","76,203.0","77,548.0","83,599.0","85,566.0","82,315.0","81,240.0","80,941.0","79,452.0","80,537.0","77,566.0","84,144.0","84,555.0","85,394.0","87,832.0","85,140.0","85,066.0","82,487.0","82,659.0","79,172.0","82,658.0","86,020.0","81,530.0","87,392.0","83,145.0","84,754.0","88,373.0","89,155.0","94,569.0","94,380.0","97,264.0","98,509.0","100,317.0","101,288.0","98,407.0","98,343.0","93,965.0","103,402.0","87,958.0","70,631.0","66,924.0","70,024.0","83,422.0","77,298.0","78,895.0","81,761.0","87,366.0","88,438.0","96,857.0","94,203.0","90,579.0","95,010.0","107,041.0","102,609.0","100,454.0","112,329.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
