"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"46","26","  Private fixed investment in new structures \6\","W040RC1","76,347.0","77,344.0","79,440.0","77,294.0","77,596.0","76,971.0","77,976.0","82,649.0","86,719.0","93,304.0","97,795.0","101,318.0","108,154.0","110,506.0","112,082.0","118,086.0","123,578.0","124,336.0","126,555.0","125,103.0","121,986.0","122,634.0","122,655.0","117,497.0","113,076.0","113,013.0","118,189.0","122,302.0","131,471.0","136,666.0","137,687.0","150,024.0","156,176.0","173,293.0","178,758.0","182,049.0","187,144.0","205,998.0","219,335.0","228,441.0","230,230.0","236,578.0","248,153.0","253,468.0","251,334.0","231,334.0","236,091.0","258,954.0","267,013.0","275,609.0","276,906.0","285,943.0","279,687.0","273,817.0","264,494.0","266,209.0","274,063.0","279,988.0","297,325.0","309,165.0","322,976.0","337,516.0","345,009.0","348,940.0","357,067.0","359,005.0","357,804.0","367,603.0","374,035.0","368,574.0","369,599.0","372,383.0","369,659.0","374,714.0","384,925.0","393,246.0","384,873.0","391,507.0","391,584.0","397,285.0","404,040.0","401,201.0","405,619.0","402,393.0","413,167.0","406,593.0","395,804.0","378,194.0","362,511.0","359,805.0","358,652.0","358,032.0","362,693.0","374,548.0","380,031.0","392,566.0","395,746.0","401,010.0","412,403.0","430,313.0","433,266.0","453,796.0","457,291.0","462,554.0","467,016.0","463,789.0","473,478.0","482,519.0","495,001.0","513,183.0","521,431.0","533,482.0","539,728.0","544,512.0","558,235.0","566,072.0","575,836.0","602,559.0","619,194.0","633,130.0","641,318.0","643,972.0","651,742.0","667,824.0","686,359.0","700,771.0","709,856.0","717,567.0","721,385.0","737,434.0","742,289.0","725,221.0","716,902.0","717,286.0","714,098.0","725,543.0","743,470.0","757,544.0","781,736.0","815,405.0","836,176.0","871,838.0","902,879.0","924,277.0","962,121.0","989,302.0","1,018,635.0","1,058,853.0","1,096,368.0","1,099,771.0","1,082,352.0","1,064,308.0","1,056,638.0","1,069,782.0","1,069,997.0","1,045,191.0","1,010,845.0","1,008,241.0","985,401.0","942,104.0","842,310.0","749,417.0","708,387.0","669,767.0","645,192.0","668,670.0","655,274.0","665,706.0","637,661.0","675,120.0","700,630.0","727,741.0","757,021.0","764,232.0","777,140.0","813,940.0"
"47","27","    Nonresidential structures","A771RC1","35,609.0","36,489.0","38,747.0","39,235.0","39,355.0","40,202.0","40,503.0","40,728.0","41,484.0","42,334.0","43,130.0","43,780.0","45,803.0","46,628.0","47,334.0","49,003.0","51,297.0","54,003.0","56,750.0","57,618.0","58,876.0","61,200.0","61,282.0","63,046.0","61,533.0","60,284.0","61,159.0","61,928.0","64,005.0","64,995.0","66,614.0","67,730.0","69,581.0","73,399.0","76,131.0","78,265.0","79,724.0","89,908.0","98,195.0","105,167.0","107,601.0","112,579.0","121,552.0","127,993.0","132,267.0","132,048.0","135,580.0","143,910.0","149,890.0","160,914.0","169,634.0","188,357.0","186,445.0","182,232.0","172,706.0","168,048.0","158,489.0","149,465.0","152,598.0","156,608.0","165,649.0","175,658.0","182,332.0","185,254.0","194,495.0","194,824.0","192,087.0","195,357.0","191,358.0","174,260.0","168,804.0","170,686.0","166,699.0","169,342.0","177,308.0","182,448.0","178,329.0","183,765.0","183,044.0","184,177.0","189,004.0","189,182.0","197,401.0","197,789.0","203,944.0","204,426.0","205,390.0","197,415.0","194,877.0","189,907.0","177,597.0","172,328.0","170,081.0","170,755.0","173,118.0","176,683.0","173,710.0","175,069.0","177,398.0","182,274.0","176,126.0","187,124.0","189,186.0","193,793.0","201,041.0","206,383.0","210,134.0","210,044.0","213,872.0","219,262.0","224,706.0","237,618.0","241,996.0","242,094.0","254,042.0","255,746.0","259,845.0","276,837.0","279,286.0","281,085.0","281,949.0","280,429.0","282,209.0","288,045.0","296,979.0","312,054.0","327,226.0","332,512.0","328,150.0","334,440.0","329,140.0","311,396.0","297,266.0","284,509.0","274,662.0","274,080.0","274,510.0","282,697.0","284,032.0","286,362.0","290,479.0","300,391.0","311,687.0","321,479.0","337,122.0","345,073.0","350,851.0","368,308.0","395,487.0","427,471.0","446,771.0","461,205.0","479,234.0","512,125.0","545,278.0","561,725.0","570,346.0","589,071.0","594,214.0","589,558.0","530,064.0","466,624.0","420,673.0","385,503.0","362,936.0","376,827.0","377,414.0","389,294.0","362,962.0","397,382.0","422,036.0","438,326.0","454,682.0","458,896.0","460,089.0","479,679.0"
"48","28","    Residential structures","A756RC1","40,738.0","40,855.0","40,693.0","38,059.0","38,241.0","36,769.0","37,473.0","41,921.0","45,235.0","50,970.0","54,665.0","57,538.0","62,351.0","63,878.0","64,748.0","69,083.0","72,281.0","70,333.0","69,805.0","67,485.0","63,110.0","61,434.0","61,373.0","54,451.0","51,543.0","52,729.0","57,030.0","60,374.0","67,466.0","71,671.0","71,073.0","82,294.0","86,595.0","99,894.0","102,627.0","103,784.0","107,420.0","116,090.0","121,140.0","123,274.0","122,629.0","123,999.0","126,601.0","125,475.0","119,067.0","99,286.0","100,511.0","115,044.0","117,123.0","114,695.0","107,272.0","97,586.0","93,242.0","91,585.0","91,788.0","98,161.0","115,574.0","130,523.0","144,727.0","152,557.0","157,327.0","161,858.0","162,677.0","163,686.0","162,572.0","164,181.0","165,717.0","172,246.0","182,677.0","194,314.0","200,795.0","201,697.0","202,960.0","205,372.0","207,617.0","210,798.0","206,544.0","207,742.0","208,540.0","213,108.0","215,036.0","212,019.0","208,218.0","204,604.0","209,223.0","202,167.0","190,414.0","180,779.0","167,634.0","169,898.0","181,055.0","185,704.0","192,612.0","203,793.0","206,913.0","215,883.0","222,036.0","225,941.0","235,005.0","248,039.0","257,140.0","266,672.0","268,105.0","268,761.0","265,975.0","257,406.0","263,344.0","272,475.0","281,129.0","293,921.0","296,725.0","295,864.0","297,732.0","302,418.0","304,193.0","310,326.0","315,991.0","325,722.0","339,908.0","352,045.0","359,369.0","363,543.0","369,533.0","379,779.0","389,380.0","388,717.0","382,630.0","385,055.0","393,235.0","402,994.0","413,149.0","413,825.0","419,636.0","432,777.0","439,436.0","451,463.0","468,960.0","474,847.0","497,704.0","529,043.0","545,697.0","571,447.0","591,192.0","602,798.0","624,999.0","644,229.0","667,784.0","690,545.0","700,881.0","672,300.0","635,581.0","603,103.0","577,404.0","557,657.0","524,719.0","483,466.0","440,499.0","419,170.0","391,187.0","352,546.0","312,246.0","282,793.0","287,714.0","284,264.0","282,256.0","291,843.0","277,860.0","276,412.0","274,699.0","277,738.0","278,594.0","289,415.0","302,339.0","305,336.0","317,051.0","334,261.0"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
