"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"101","80","  Imputations (-135-142)","A2115C1","-13,407.0","-15,231.0","-16,747.0","-18,061.0","-19,499.0","-20,840.0","-22,898.0","-25,285.0","-27,900.0","-28,508.0","-29,332.0","-31,924.0","-35,350.0","-38,613.0","-41,321.0","-44,478.0","-47,301.0","-50,172.0","-54,834.0","-58,429.0","-63,224.0","-67,163.0","-72,039.0","-74,526.0","-74,520.0","-78,118.0","-78,245.0","-80,814.0","-83,744.0","-85,520.0","-88,574.0","-91,458.0","-96,636.0","-104,303.0","-110,606.0","-117,831.0","-125,354.0","-133,141.0","-141,792.0","-145,576.0","-153,123.0","-153,946.0","-156,290.0"
"102","81","  Excluding imputations (79-80)","A2116C1","117,913.0","118,301.0","118,452.0","141,701.0","151,906.0","171,888.0","170,505.0","197,593.0","225,419.0","257,905.0","297,998.0","330,779.0","380,515.0","392,723.0","393,646.0","421,890.0","464,640.0","487,389.0","543,892.0","563,367.0","629,319.0","659,871.0","658,664.0","685,057.0","721,053.0","768,622.0","822,143.0","912,769.0","1,009,895.0","1,111,947.0","1,196,100.0","1,323,717.0","1,331,468.0","1,154,721.0","1,110,953.0","1,165,652.0","1,333,943.0","1,485,543.0","1,630,449.0","1,581,229.0","1,297,689.0","1,348,781.0","1,554,267.0"
"103","82","Disposable personal income","A067RC1","673,821.0","735,509.0","801,392.0","868,998.0","978,138.0","1,071,696.0","1,187,254.0","1,302,347.0","1,434,984.0","1,607,330.0","1,790,861.0","2,002,661.0","2,237,111.0","2,412,707.0","2,599,844.0","2,891,456.0","3,079,348.0","3,258,809.0","3,435,308.0","3,726,305.0","3,991,377.0","4,254,015.0","4,444,876.0","4,736,731.0","4,921,615.0","5,184,312.0","5,457,013.0","5,759,623.0","6,074,591.0","6,498,949.0","6,803,307.0","7,327,174.0","7,648,460.0","8,009,679.0","8,377,778.0","8,889,416.0","9,277,293.0","9,915,675.0","10,423,601.0","11,024,504.0","10,722,429.0","11,127,052.0","11,549,297.0"
"104","83","  Imputations (59-80)","A2117C1","51,400.0","57,325.0","62,534.0","67,509.0","71,782.0","79,809.0","93,617.0","100,874.0","109,772.0","123,167.0","131,645.0","144,322.0","159,293.0","178,366.0","213,989.0","222,667.0","246,275.0","260,214.0","280,626.0","307,091.0","327,598.0","362,485.0","403,806.0","460,919.0","503,926.0","544,526.0","545,094.0","574,662.0","596,558.0","645,549.0","709,152.0","764,038.0","814,926.0","845,704.0","871,737.0","922,264.0","945,867.0","931,440.0","964,560.0","1,074,801.0","1,125,009.0","1,189,462.0","1,261,397.0"
"105","84","  Excluding imputations (82-83)","A2118C1","622,421.0","678,184.0","738,858.0","801,489.0","906,356.0","991,887.0","1,093,637.0","1,201,473.0","1,325,212.0","1,484,163.0","1,659,216.0","1,858,339.0","2,077,818.0","2,234,341.0","2,385,855.0","2,668,789.0","2,833,073.0","2,998,595.0","3,154,682.0","3,419,214.0","3,663,779.0","3,891,530.0","4,041,070.0","4,275,812.0","4,417,689.0","4,639,786.0","4,911,919.0","5,184,961.0","5,478,033.0","5,853,400.0","6,094,155.0","6,563,136.0","6,833,534.0","7,163,975.0","7,506,041.0","7,967,152.0","8,331,426.0","8,984,235.0","9,459,041.0","9,949,703.0","9,597,420.0","9,937,590.0","10,287,900.0"
"106","85","Personal outlays","A068RC1","621,357.0","666,081.0","720,970.0","791,536.0","875,207.0","957,515.0","1,061,311.0","1,179,552.0","1,309,682.0","1,464,955.0","1,633,410.0","1,806,352.0","2,000,371.0","2,148,794.0","2,372,918.0","2,595,192.0","2,825,749.0","3,012,356.0","3,211,870.0","3,469,688.0","3,726,396.0","3,977,323.0","4,131,682.0","4,388,664.0","4,636,229.0","4,913,629.0","5,170,756.0","5,478,482.0","5,794,167.0","6,157,471.0","6,595,527.0","7,114,078.0","7,443,544.0","7,727,479.0","8,088,130.0","8,571,180.0","9,134,125.0","9,659,060.0","10,174,872.0","10,432,162.0","10,214,264.0","10,560,353.0","11,059,939.0"
"107","86","  Imputations (5-138+198)","A2119C1","27,477.0","35,526.0","31,221.0","26,662.0","26,706.0","43,008.0","57,851.0","48,536.0","35,606.0","37,512.0","48,154.0","80,519.0","100,696.0","130,008.0","127,232.0","115,051.0","136,735.0","127,539.0","134,475.0","154,120.0","178,508.0","229,844.0","283,794.0","312,175.0","338,125.0","350,448.0","366,286.0","368,036.0","373,237.0","385,307.0","428,071.0","470,345.0","505,285.0","510,974.0","487,811.0","457,386.0","413,505.0","428,368.0","588,304.0","842,399.0","999,084.0","1,084,563.0","1,164,333.0"
"108","87","  Excluding imputations (85-86)","A2120C1","593,880.0","630,555.0","689,749.0","764,874.0","848,501.0","914,507.0","1,003,460.0","1,131,016.0","1,274,076.0","1,427,443.0","1,585,256.0","1,725,833.0","1,899,675.0","2,018,786.0","2,245,686.0","2,480,141.0","2,689,014.0","2,884,817.0","3,077,395.0","3,315,568.0","3,547,888.0","3,747,479.0","3,847,888.0","4,076,489.0","4,298,104.0","4,563,181.0","4,804,470.0","5,110,446.0","5,420,930.0","5,772,164.0","6,167,456.0","6,643,733.0","6,938,259.0","7,216,505.0","7,600,319.0","8,113,794.0","8,720,620.0","9,230,692.0","9,586,568.0","9,589,763.0","9,215,180.0","9,475,790.0","9,895,606.0"
"109","88","Personal saving","A071RC1","52,464.0","69,428.0","80,422.0","77,462.0","102,931.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,648.0","318,236.0","143,168.0","256,615.0","248,729.0","592,342.0","508,165.0","566,699.0","489,358.0"
"110","89","  Imputations (177+178+179-140-144)","A2121C1","23,923.0","21,799.0","31,313.0","40,847.0","45,076.0","36,801.0","35,766.0","52,338.0","74,166.0","85,655.0","83,491.0","63,803.0","58,597.0","48,358.0","86,757.0","107,616.0","109,540.0","132,675.0","146,151.0","152,971.0","149,090.0","132,641.0","120,012.0","148,744.0","165,801.0","194,078.0","178,808.0","206,626.0","223,321.0","260,242.0","281,081.0","293,693.0","309,641.0","334,730.0","383,926.0","464,878.0","532,362.0","503,072.0","376,256.0","232,402.0","125,925.0","104,899.0","97,064.0"
"111","90","  Excluding imputations (88-89)","A2122C1","28,541.0","47,629.0","49,109.0","36,615.0","57,855.0","77,380.0","90,177.0","70,457.0","51,136.0","56,720.0","73,960.0","132,506.0","178,143.0","215,555.0","140,169.0","188,648.0","144,059.0","113,778.0","77,287.0","103,646.0","115,891.0","144,051.0","193,182.0","199,323.0","119,585.0","76,605.0","107,449.0","74,515.0","57,103.0","81,236.0","-73,301.0","-80,597.0","-104,725.0","-52,530.0","-94,278.0","-146,642.0","-389,194.0","-246,457.0","-127,527.0","359,940.0","382,240.0","461,800.0","392,294.0"
"112",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","91","Government current receipts","W021RC1","283,544.0","286,853.0","303,602.0","347,033.0","390,387.0","431,769.0","442,075.0","505,932.0","567,325.0","646,072.0","728,923.0","798,661.0","917,686.0","939,286.0","1,000,301.0","1,113,464.0","1,214,620.0","1,290,079.0","1,403,178.0","1,502,442.0","1,627,184.0","1,709,269.0","1,759,709.0","1,845,120.0","1,948,233.0","2,091,882.0","2,215,503.0","2,380,425.0","2,557,217.0","2,729,766.0","2,902,480.0","3,132,442.0","3,118,188.0","2,967,867.0","3,043,390.0","3,265,721.0","3,659,271.0","3,995,154.0","4,197,034.0","4,051,559.0","3,705,338.0","3,906,758.0","4,086,148.0"
"114","92","  Imputations (148+161+175)","W568RC1","1,825.0","2,465.0","3,129.0","3,323.0","3,095.0","3,361.0","4,605.0","4,585.0","4,669.0","3,791.0","3,159.0","2,811.0","2,470.0","3,881.0","5,085.0","4,559.0","6,732.0","7,463.0","6,394.0","6,089.0","5,969.0","6,823.0","8,419.0","9,000.0","8,385.0","7,593.0","7,140.0","7,450.0","7,879.0","8,091.0","9,288.0","9,480.0","9,107.0","10,008.0","9,728.0","10,240.0","10,032.0","10,412.0","11,920.0","14,229.0","14,097.0","15,350.0","15,865.0"
"115","93","  Excluding imputations (91-92)","W514RC1","281,719.0","284,388.0","300,473.0","343,710.0","387,292.0","428,408.0","437,470.0","501,347.0","562,656.0","642,281.0","725,764.0","795,850.0","915,216.0","935,405.0","995,216.0","1,108,905.0","1,207,888.0","1,282,616.0","1,396,784.0","1,496,353.0","1,621,215.0","1,702,446.0","1,751,290.0","1,836,120.0","1,939,848.0","2,084,289.0","2,208,363.0","2,372,975.0","2,549,338.0","2,721,675.0","2,893,192.0","3,122,962.0","3,109,081.0","2,957,859.0","3,033,662.0","3,255,481.0","3,649,239.0","3,984,742.0","4,185,114.0","4,037,330.0","3,691,241.0","3,891,408.0","4,070,283.0"
"116","94","Government current expenditures","W022RC1","267,009.0","295,233.0","325,828.0","356,304.0","386,504.0","436,927.0","510,248.0","552,221.0","600,319.0","656,299.0","729,884.0","846,494.0","966,888.0","1,076,754.0","1,171,655.0","1,260,991.0","1,370,882.0","1,463,961.0","1,540,545.0","1,623,624.0","1,740,990.0","1,879,525.0","1,983,951.0","2,148,999.0","2,229,402.0","2,304,045.0","2,412,496.0","2,505,688.0","2,581,055.0","2,649,277.0","2,761,862.0","2,905,970.0","3,093,607.0","3,274,722.0","3,458,603.0","3,653,548.0","3,916,353.0","4,147,899.0","4,430,032.0","4,737,278.0","5,047,892.0","5,304,429.0","5,425,503.0"
"117","95","  Imputations (148+161+175+181-182)","A2047C1","-18,942.0","-16,972.0","-13,171.0","-12,995.0","-15,933.0","-21,306.0","-23,635.0","-24,707.0","-23,213.0","-30,481.0","-38,456.0","-44,433.0","-44,299.0","-42,197.0","-47,683.0","-60,080.0","-72,331.0","-80,121.0","-85,896.0","-81,782.0","-86,576.0","-96,009.0","-91,787.0","-89,440.0","-80,533.0","-77,496.0","-84,235.0","-92,252.0","-96,344.0","-102,878.0","-119,566.0","-128,027.0","-140,431.0","-156,169.0","-163,303.0","-168,710.0","-173,293.0","-189,964.0","-201,321.0","-223,322.0","-222,435.0","-211,977.0","-173,374.0"
"118","96","  Excluding imputations (94-95)","A2114C1","285,951.0","312,205.0","338,999.0","369,299.0","402,437.0","458,233.0","533,883.0","576,928.0","623,532.0","686,780.0","768,340.0","890,927.0","1,011,187.0","1,118,951.0","1,219,338.0","1,321,071.0","1,443,213.0","1,544,082.0","1,626,441.0","1,705,406.0","1,827,566.0","1,975,534.0","2,075,738.0","2,238,439.0","2,309,935.0","2,381,541.0","2,496,731.0","2,597,940.0","2,677,399.0","2,752,155.0","2,881,428.0","3,033,997.0","3,234,038.0","3,430,891.0","3,621,906.0","3,822,258.0","4,089,646.0","4,337,863.0","4,631,353.0","4,960,600.0","5,270,327.0","5,516,406.0","5,598,877.0"
"119","97","Net government saving","A922RC1","16,535.0","-8,380.0","-22,226.0","-9,271.0","3,883.0","-5,158.0","-68,173.0","-46,289.0","-32,994.0","-10,227.0","-961.0","-47,833.0","-49,202.0","-137,468.0","-171,354.0","-147,527.0","-156,262.0","-173,882.0","-137,367.0","-121,182.0","-113,806.0","-170,256.0","-224,242.0","-303,879.0","-281,169.0","-212,163.0","-196,993.0","-125,263.0","-23,838.0","80,489.0","140,618.0","226,472.0","24,581.0","-306,855.0","-415,213.0","-387,827.0","-257,082.0","-152,745.0","-232,998.0","-685,719.0","-1,342,554.0","-1,397,671.0","-1,339,355.0"
"120","98","  Imputations (182-181)","A2010C1","20,767.0","19,437.0","16,300.0","16,318.0","19,028.0","24,667.0","28,240.0","29,292.0","27,882.0","34,272.0","41,615.0","47,244.0","46,769.0","46,078.0","52,768.0","64,639.0","79,063.0","87,584.0","92,290.0","87,871.0","92,545.0","102,832.0","100,206.0","98,440.0","88,918.0","85,089.0","91,375.0","99,702.0","104,223.0","110,969.0","128,854.0","137,507.0","149,538.0","166,177.0","173,031.0","178,950.0","183,325.0","200,376.0","213,241.0","237,551.0","236,532.0","227,327.0","189,239.0"
"121","99","  Excluding imputations (97-98)","A2011C1","-4,232.0","-27,817.0","-38,526.0","-25,589.0","-15,145.0","-29,825.0","-96,413.0","-75,581.0","-60,876.0","-44,499.0","-42,576.0","-95,077.0","-95,971.0","-183,546.0","-224,122.0","-212,166.0","-235,325.0","-261,466.0","-229,657.0","-209,053.0","-206,351.0","-273,088.0","-324,448.0","-402,319.0","-370,087.0","-297,252.0","-288,368.0","-224,965.0","-128,061.0","-30,480.0","11,764.0","88,965.0","-124,957.0","-473,032.0","-588,244.0","-566,777.0","-440,407.0","-353,121.0","-446,239.0","-923,270.0","-1,579,086.0","-1,624,998.0","-1,528,594.0"
"122",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","100","Current receipts from the rest of the world","A120RC1","63,702.0","72,543.0","76,974.0","87,122.0","118,810.0","156,470.0","166,730.0","181,878.0","196,550.0","233,137.0","298,450.0","359,865.0","397,256.0","384,196.0","378,870.0","424,241.0","414,460.0","431,331.0","486,578.0","595,506.0","680,313.0","740,633.0","764,728.0","786,758.0","810,800.0","904,796.0","1,041,148.0","1,113,496.0","1,233,923.0","1,240,089.0","1,308,781.0","1,473,742.0","1,350,750.0","1,316,532.0","1,394,350.0","1,628,792.0","1,878,097.0","2,192,084.0","2,532,651.0","2,702,871.0","2,229,861.0","2,560,934.0","2,877,883.0"
"124","101","  Imputations (150+165+166)","W522RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","4,515.0","5,464.0","5,273.0","4,663.0","4,323.0","5,442.0","7,014.0","8,391.0","8,598.0","9,046.0","8,145.0","8,285.0","8,824.0","9,319.0","9,569.0","10,206.0","11,042.0","11,843.0","11,754.0","13,327.0","9,815.0","12,898.0","15,648.0","21,320.0","20,563.0","17,246.0","17,483.0"
"125","102","  Excluding imputations (100-101)","W523RC1","63,318.0","72,057.0","76,464.0","86,551.0","118,170.0","155,517.0","165,144.0","180,677.0","195,333.0","231,980.0","297,490.0","359,089.0","396,778.0","382,705.0","375,360.0","421,086.0","409,945.0","425,867.0","481,305.0","590,843.0","675,990.0","735,191.0","757,714.0","778,367.0","802,202.0","895,750.0","1,033,003.0","1,105,211.0","1,225,099.0","1,230,770.0","1,299,212.0","1,463,536.0","1,339,708.0","1,304,689.0","1,382,596.0","1,615,465.0","1,868,282.0","2,179,186.0","2,517,003.0","2,681,551.0","2,209,298.0","2,543,688.0","2,860,400.0"
"126","103","  Exports of goods and services","B020RC1","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","302,019.0","320,334.0","363,764.0","443,884.0","503,143.0","552,123.0","596,587.0","634,961.0","655,586.0","720,700.0","811,881.0","867,665.0","954,421.0","953,863.0","989,314.0","1,093,241.0","1,027,725.0","1,003,026.0","1,041,033.0","1,180,224.0","1,305,060.0","1,471,032.0","1,661,699.0","1,846,774.0","1,587,437.0","1,844,411.0","2,094,203.0"
"127","104","    Imputations (150+158+165)","W512RC1","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","5,012.0","5,320.0","5,084.0","4,554.0","4,057.0","4,911.0","6,200.0","7,555.0","7,732.0","7,964.0","7,197.0","7,568.0","8,143.0","8,052.0","7,985.0","8,279.0","7,812.0","7,963.0","7,601.0","8,180.0","7,618.0","8,967.0","9,802.0","13,243.0","13,038.0","12,199.0","13,652.0"
"128","105","    Excluding imputations (103-104)","W513RC1","51,380.0","59,088.0","62,346.0","70,126.0","94,330.0","125,263.0","136,989.0","147,819.0","157,467.0","184,568.0","227,044.0","277,288.0","301,136.0","280,284.0","272,940.0","298,308.0","297,007.0","315,014.0","358,680.0","439,330.0","499,086.0","547,212.0","590,387.0","627,406.0","647,854.0","712,736.0","804,684.0","860,097.0","946,278.0","945,811.0","981,329.0","1,084,962.0","1,019,913.0","995,063.0","1,033,432.0","1,172,044.0","1,297,442.0","1,462,065.0","1,651,897.0","1,833,531.0","1,574,399.0","1,832,212.0","2,080,551.0"
"129","106","  Income receipts from the rest of the world","B645RC1","11,779.0","12,833.0","14,011.0","16,278.0","23,541.0","29,820.0","28,024.0","32,363.0","37,200.0","46,252.0","68,321.0","79,092.0","92,024.0","100,993.0","101,882.0","121,865.0","112,441.0","110,997.0","122,814.0","151,622.0","177,170.0","188,510.0","168,141.0","151,797.0","155,214.0","184,096.0","229,267.0","245,831.0","279,502.0","286,226.0","319,467.0","380,501.0","323,025.0","313,506.0","353,317.0","448,568.0","573,037.0","721,052.0","870,952.0","856,097.0","642,424.0","716,523.0","783,680.0"
"130","107","    Imputations (-158+166)","W526RC1","-159.0","-136.0","-107.0","-147.0","-299.0","-434.0","-131.0","-495.0","-666.0","-1,160.0","-2,125.0","-2,709.0","-3,618.0","-1,428.0","-538.0","-913.0","-497.0","144.0","189.0","109.0","266.0","531.0","814.0","836.0","866.0","1,082.0","948.0","717.0","681.0","1,267.0","1,584.0","1,927.0","3,230.0","3,880.0","4,153.0","5,147.0","2,197.0","3,931.0","5,846.0","8,077.0","7,525.0","5,047.0","3,831.0"
"131","108","    Excluding imputations (106-107)","W527RC1","11,938.0","12,969.0","14,118.0","16,425.0","23,840.0","30,254.0","28,155.0","32,858.0","37,866.0","47,412.0","70,446.0","81,801.0","95,642.0","102,421.0","102,420.0","122,778.0","112,938.0","110,853.0","122,625.0","151,513.0","176,904.0","187,979.0","167,327.0","150,961.0","154,348.0","183,014.0","228,319.0","245,114.0","278,821.0","284,959.0","317,883.0","378,574.0","319,795.0","309,626.0","349,164.0","443,421.0","570,840.0","717,121.0","865,106.0","848,020.0","634,899.0","711,476.0","779,849.0"
"132","109","Current payments to the rest of the world","W163RC1","62,097.0","68,818.0","76,663.0","91,163.0","109,949.0","150,500.0","146,891.0","174,784.0","207,463.0","245,764.0","299,617.0","351,354.0","393,887.0","387,502.0","413,931.0","514,325.0","528,774.0","574,016.0","640,684.0","711,242.0","772,678.0","815,551.0","756,870.0","832,362.0","889,361.0","1,019,523.0","1,146,232.0","1,227,640.0","1,363,252.0","1,444,632.0","1,600,687.0","1,884,108.0","1,742,396.0","1,768,108.0","1,910,470.0","2,253,390.0","2,618,635.0","2,990,485.0","3,248,663.0","3,381,863.0","2,612,016.0","3,009,781.0","3,343,657.0"
"133","110","  Imputations (150+165+166)","W522RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","4,515.0","5,464.0","5,273.0","4,663.0","4,323.0","5,442.0","7,014.0","8,391.0","8,598.0","9,046.0","8,145.0","8,285.0","8,824.0","9,319.0","9,569.0","10,206.0","11,042.0","11,843.0","11,754.0","13,327.0","9,815.0","12,898.0","15,648.0","21,320.0","20,563.0","17,246.0","17,483.0"
"134","111","  Excluding imputations (109-110)","W529RC1","61,713.0","68,332.0","76,153.0","90,592.0","109,309.0","149,547.0","145,305.0","173,583.0","206,246.0","244,607.0","298,657.0","350,578.0","393,409.0","386,011.0","410,421.0","511,170.0","524,259.0","568,552.0","635,411.0","706,579.0","768,355.0","810,109.0","749,856.0","823,971.0","880,763.0","1,010,477.0","1,138,087.0","1,219,355.0","1,354,428.0","1,435,313.0","1,591,118.0","1,873,902.0","1,731,354.0","1,756,265.0","1,898,716.0","2,240,063.0","2,608,820.0","2,977,587.0","3,233,015.0","3,360,543.0","2,591,453.0","2,992,535.0","3,326,174.0"
"135","112","  Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,374,770.0","2,556,486.0","1,976,164.0","2,356,054.0","2,662,273.0"
"136","113","    Imputations (166)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,049.0","6,970.0","4,436.0","6,950.0","8,302.0","10,373.0","10,309.0","8,618.0","8,647.0"
"137","114","    Excluding imputations (112-113)","W515RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,185.0","507,872.0","553,210.0","590,033.0","628,668.0","622,304.0","666,458.0","718,458.0","811,606.0","900,717.0","962,171.0","1,053,868.0","1,113,030.0","1,248,369.0","1,471,604.0","1,393,802.0","1,424,636.0","1,539,098.0","1,791,949.0","2,023,355.0","2,233,397.0","2,366,468.0","2,546,113.0","1,965,855.0","2,347,436.0","2,653,626.0"
"138","115","  Income payments to the rest of the world","A655RC1","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","85,895.0","93,385.0","105,159.0","128,260.0","151,246.0","154,087.0","138,231.0","122,657.0","124,032.0","160,020.0","199,611.0","214,161.0","256,052.0","268,909.0","291,665.0","342,756.0","271,116.0","264,396.0","284,627.0","357,359.0","475,889.0","648,636.0","747,681.0","686,933.0","498,878.0","507,218.0","531,798.0"
"139","116","    Imputations(150+165)","W532RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","4,515.0","4,782.0","4,431.0","3,881.0","3,324.0","4,381.0","5,771.0","7,056.0","7,082.0","7,227.0","6,291.0","6,490.0","6,916.0","6,659.0","6,546.0","6,519.0","6,131.0","6,278.0","5,705.0","6,357.0","5,379.0","5,948.0","7,346.0","10,947.0","10,254.0","8,628.0","8,836.0"
"140","117","    Excluding imputations (115-116)","W533RC1","5,280.0","5,954.0","5,907.0","7,149.0","10,282.0","13,347.0","13,434.0","14,315.0","15,691.0","23,514.0","35,430.0","44,131.0","58,611.0","62,992.0","61,287.0","82,420.0","81,380.0","88,603.0","100,728.0","124,379.0","147,922.0","149,706.0","132,460.0","115,601.0","116,950.0","152,793.0","193,320.0","207,671.0","249,136.0","262,250.0","285,119.0","336,237.0","264,985.0","258,118.0","278,922.0","351,002.0","470,510.0","642,688.0","740,335.0","675,986.0","488,624.0","498,590.0","522,962.0"
"141",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","118","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1","201,317.0","199,680.0","220,238.0","246,208.0","300,196.0","311,645.0","313,159.0","365,449.0","417,930.0","502,393.0","580,183.0","588,016.0","682,635.0","626,240.0","652,090.0","784,891.0","780,669.0","777,060.0","815,125.0","891,984.0","980,252.0","1,001,799.0","1,031,049.0","1,042,287.0","1,094,214.0","1,203,477.0","1,271,558.0","1,370,273.0","1,511,691.0","1,569,094.0","1,636,962.0","1,666,170.0","1,592,317.0","1,538,852.0","1,569,323.0","1,716,329.0","1,823,759.0","1,953,789.0","2,035,681.0","1,905,766.0","1,674,065.0","1,794,008.0","1,869,369.0"
"143","119","  Imputations (176+182)","W558RC1","79,337.0","78,488.0","87,523.0","99,506.0","110,177.0","114,122.0","122,813.0","145,014.0","171,470.0","197,257.0","211,782.0","209,684.0","216,146.0","214,943.0","266,191.0","306,871.0","331,455.0","373,287.0","402,672.0","416,615.0","429,870.0","436,822.0","432,966.0","468,655.0","488,257.0","524,309.0","527,809.0","572,756.0","604,576.0","660,144.0","716,307.0","757,873.0","803,933.0","860,830.0","937,153.0","1,056,099.0","1,165,880.0","1,192,356.0","1,114,183.0","1,020,136.0","921,586.0","901,304.0","874,953.0"
"144","120","  Excluding imputations (118-119)","W559RC1","121,980.0","121,192.0","132,715.0","146,702.0","190,019.0","197,523.0","190,346.0","220,435.0","246,460.0","305,136.0","368,401.0","378,332.0","466,489.0","411,297.0","385,899.0","478,020.0","449,214.0","403,773.0","412,453.0","475,369.0","550,382.0","564,977.0","598,083.0","573,632.0","605,957.0","679,168.0","743,749.0","797,517.0","907,115.0","908,950.0","920,655.0","908,297.0","788,384.0","678,022.0","632,170.0","660,230.0","657,879.0","761,433.0","921,498.0","885,630.0","752,479.0","892,704.0","994,416.0"
"145","121","Net saving","W201RC1","99,254.0","84,490.0","91,451.0","110,111.0","151,395.0","138,145.0","106,474.0","133,809.0","164,941.0","214,924.0","234,308.0","198,639.0","252,711.0","187,948.0","151,291.0","279,006.0","232,924.0","170,842.0","211,160.0","290,504.0","272,695.0","226,399.0","226,953.0","187,944.0","180,404.0","275,501.0","349,576.0","431,836.0","561,860.0","633,863.0","613,640.0","615,825.0","439,449.0","255,945.0","198,591.0","305,912.0","377,467.0","535,387.0","280,159.0","54,123.0","-310,540.0","-102,779.0","-99,294.0"
"146","122","  Imputations (176+182-140-144-181)","W534RC1","44,690.0","41,236.0","47,613.0","57,165.0","64,104.0","61,468.0","64,006.0","81,630.0","102,048.0","119,927.0","125,106.0","111,047.0","105,366.0","94,436.0","139,525.0","172,255.0","188,603.0","220,259.0","238,441.0","240,842.0","241,635.0","235,473.0","220,218.0","247,184.0","254,719.0","279,167.0","270,183.0","306,328.0","327,544.0","371,211.0","409,935.0","431,200.0","459,179.0","500,907.0","556,957.0","643,828.0","715,687.0","703,448.0","589,497.0","469,953.0","362,457.0","332,226.0","286,303.0"
"147","123","  Excluding imputations (121-122)","W535RC1","54,564.0","43,254.0","43,838.0","52,946.0","87,291.0","76,677.0","42,468.0","52,179.0","62,893.0","94,997.0","109,202.0","87,592.0","147,345.0","93,512.0","11,766.0","106,751.0","44,321.0","-49,417.0","-27,281.0","49,662.0","31,060.0","-9,074.0","6,735.0","-59,240.0","-74,315.0","-3,666.0","79,393.0","125,508.0","234,316.0","262,652.0","203,705.0","184,625.0","-19,730.0","-244,962.0","-358,366.0","-337,916.0","-338,220.0","-168,061.0","-309,338.0","-415,830.0","-672,997.0","-435,005.0","-385,597.0"
