"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"46","27","  Industrial supplies and materials, except petroleum and products","A649RC1","9,892.0","12,872.0","11,928.0","11,940.0","11,784.0","12,008.0","12,172.0","12,980.0","12,880.0","14,416.0","14,344.0","12,684.0","15,048.0","15,428.0","15,964.0","17,476.0","18,512.0","18,776.0","18,864.0","20,600.0","21,612.0","25,740.0","29,404.0","31,320.0","27,864.0","22,564.0","21,216.0","22,620.0","25,364.0","28,072.0","29,508.0","30,988.0","30,112.0","33,572.0","34,788.0","35,268.0","37,259.0","39,345.0","39,955.0","40,714.0","40,956.0","44,826.0","45,234.0","49,049.0","51,774.0","48,115.0","43,361.0","46,098.0","49,933.0","53,200.0","52,551.0","52,471.0","47,843.0","45,158.0","44,926.0","43,560.0","46,683.0","49,289.0","52,806.0","55,540.0","61,589.0","63,917.0","61,907.0","63,080.0","58,450.0","60,702.0","58,604.0","59,159.0","61,584.0","62,133.0","61,434.0","64,723.0","63,569.0","63,316.0","65,606.0","71,843.0","75,044.0","75,352.0","76,120.0","80,065.0","80,830.0","79,455.0","77,109.0","77,661.0","77,990.0","76,612.0","79,129.0","79,036.0","74,277.0","75,042.0","75,145.0","78,158.0","80,264.0","81,471.0","82,858.0","85,026.0","85,733.0","86,844.0","89,094.0","93,154.0","96,648.0","101,189.0","106,890.0","115,085.0","118,623.0","121,989.0","118,711.0","118,982.0","121,029.0","122,248.0","125,435.0","129,624.0","131,247.0","132,777.0","135,875.0","138,959.0","141,351.0","144,442.0","142,134.0","140,956.0","138,878.0","143,634.0","151,005.0","159,728.0","165,656.0","170,670.0","177,540.0","180,375.0","187,057.0","168,606.0","158,056.0","149,540.0","149,479.0","158,121.0","162,284.0","168,643.0","171,922.0","172,175.0","178,379.0","180,191.0","197,456.0","223,090.0","238,380.0","246,656.0","254,122.0","256,500.0","258,776.0","294,728.0","287,971.0","288,470.0","299,953.0","289,147.0","286,948.0","302,652.0","300,658.0","292,366.0","309,517.0","334,647.0","347,645.0","283,732.0","210,395.0","176,008.0","188,571.0","213,361.0","239,790.0","252,631.0","255,144.0","254,181.0","283,926.0","308,728.0"
"47","28","    Durable goods","A820RC1","6,024.0","8,052.0","7,244.0","7,268.0","7,052.0","7,340.0","7,480.0","7,976.0","7,832.0","8,888.0","8,780.0","7,816.0","9,064.0","9,520.0","9,976.0","11,112.0","11,716.0","11,836.0","12,028.0","13,016.0","13,476.0","16,204.0","18,488.0","20,124.0","17,544.0","13,572.0","12,328.0","12,828.0","14,280.0","16,036.0","17,188.0","17,528.0","17,296.0","20,048.0","20,716.0","21,540.0","22,531.0","22,979.0","24,239.0","24,844.0","24,904.0","26,280.0","26,792.0","28,808.0","30,427.0","26,240.0","23,418.0","25,888.0","26,721.0","29,683.0","28,894.0","28,156.0","24,904.0","22,340.0","21,406.0","20,491.0","23,041.0","25,109.0","28,237.0","28,782.0","32,407.0","33,916.0","32,473.0","32,421.0","29,989.0","31,396.0","30,448.0","30,213.0","32,646.0","33,782.0","32,396.0","34,700.0","32,681.0","32,762.0","33,576.0","36,963.0","38,836.0","38,734.0","38,751.0","42,251.0","41,650.0","40,715.0","39,342.0","38,903.0","38,251.0","37,421.0","39,533.0","38,702.0","35,400.0","35,167.0","35,653.0","36,277.0","38,633.0","38,957.0","39,102.0","39,990.0","41,154.0","40,866.0","43,151.0","47,084.0","48,317.0","51,718.0","54,536.0","59,246.0","61,386.0","60,896.0","58,041.0","58,395.0","59,967.0","62,212.0","64,042.0","65,800.0","66,210.0","68,588.0","69,669.0","71,801.0","74,451.0","76,976.0","76,335.0","76,116.0","75,261.0","77,170.0","79,503.0","84,807.0","90,057.0","89,932.0","89,081.0","87,733.0","86,682.0","81,687.0","79,713.0","76,019.0","79,452.0","80,999.0","82,994.0","85,126.0","82,837.0","81,110.0","84,767.0","91,642.0","100,210.0","117,733.0","128,752.0","135,111.0","136,833.0","136,499.0","129,384.0","141,345.0","156,560.0","162,173.0","170,693.0","162,836.0","158,100.0","163,390.0","160,431.0","152,129.0","160,083.0","169,961.0","174,418.0","142,121.0","102,180.0","84,342.0","91,595.0","104,963.0","117,614.0","129,156.0","126,447.0","127,927.0","149,119.0","157,596.0"
"48","29","    Nondurable goods","B696RC1","3,868.0","4,820.0","4,684.0","4,672.0","4,732.0","4,668.0","4,692.0","5,004.0","5,048.0","5,528.0","5,564.0","4,868.0","5,984.0","5,908.0","5,988.0","6,364.0","6,796.0","6,940.0","6,836.0","7,584.0","8,136.0","9,536.0","10,916.0","11,196.0","10,320.0","8,992.0","8,888.0","9,792.0","11,084.0","12,036.0","12,320.0","13,460.0","12,816.0","13,524.0","14,072.0","13,728.0","14,728.0","16,366.0","15,716.0","15,870.0","16,052.0","18,546.0","18,442.0","20,241.0","21,347.0","21,875.0","19,943.0","20,210.0","23,212.0","23,517.0","23,657.0","24,315.0","22,939.0","22,818.0","23,520.0","23,069.0","23,642.0","24,180.0","24,569.0","26,758.0","29,182.0","30,001.0","29,434.0","30,659.0","28,461.0","29,306.0","28,156.0","28,946.0","28,938.0","28,351.0","29,038.0","30,023.0","30,888.0","30,554.0","32,030.0","34,880.0","36,208.0","36,618.0","37,369.0","37,814.0","39,180.0","38,740.0","37,767.0","38,758.0","39,739.0","39,191.0","39,596.0","40,334.0","38,877.0","39,875.0","39,492.0","41,881.0","41,631.0","42,514.0","43,756.0","45,036.0","44,579.0","45,978.0","45,943.0","46,070.0","48,331.0","49,471.0","52,354.0","55,839.0","57,237.0","61,093.0","60,670.0","60,587.0","61,062.0","60,036.0","61,393.0","63,824.0","65,037.0","64,189.0","66,206.0","67,158.0","66,900.0","67,466.0","65,799.0","64,840.0","63,617.0","66,464.0","71,502.0","74,921.0","75,599.0","80,738.0","88,459.0","92,642.0","100,375.0","86,919.0","78,343.0","73,521.0","70,027.0","77,122.0","79,290.0","83,517.0","89,085.0","91,065.0","93,612.0","88,549.0","97,246.0","105,357.0","109,628.0","111,545.0","117,289.0","120,001.0","129,392.0","153,383.0","131,411.0","126,297.0","129,260.0","126,311.0","128,848.0","139,262.0","140,227.0","140,237.0","149,434.0","164,686.0","173,227.0","141,611.0","108,215.0","91,666.0","96,976.0","108,398.0","122,176.0","123,475.0","128,697.0","126,254.0","134,807.0","151,132.0"
"49","30","  Petroleum and products","B648RC1","2,476.0","2,704.0","2,608.0","2,808.0","2,960.0","2,852.0","2,760.0","3,136.0","2,832.0","3,492.0","3,972.0","4,304.0","4,276.0","4,344.0","4,808.0","5,172.0","6,136.0","7,400.0","8,348.0","11,776.0","18,632.0","29,132.0","28,880.0","29,788.0","26,900.0","24,720.0","27,296.0","29,156.0","30,692.0","33,384.0","35,576.0","38,636.0","47,984.0","45,140.0","44,172.0","42,632.0","43,406.0","40,294.0","43,391.0","43,122.0","47,460.0","52,402.0","66,517.0","75,339.0","87,678.0","81,615.0","71,402.0","77,360.0","87,454.0","82,187.0","73,101.0","70,750.0","66,912.0","53,004.0","66,444.0","61,446.0","43,722.0","54,519.0","65,100.0","57,010.0","58,077.0","59,707.0","56,565.0","57,853.0","44,085.0","54,657.0","49,502.0","57,293.0","41,774.0","31,275.0","31,675.0","32,390.0","35,551.0","40,402.0","50,444.0","45,378.0","40,216.0","41,309.0","39,284.0","37,718.0","48,364.0","52,729.0","49,447.0","53,109.0","69,327.0","49,489.0","58,252.0","72,115.0","57,288.0","50,313.0","50,088.0","49,270.0","46,715.0","50,349.0","54,511.0","54,742.0","56,060.0","54,790.0","47,742.0","47,336.0","45,803.0","49,169.0","58,529.0","51,601.0","57,056.0","56,852.0","55,227.0","54,980.0","63,690.0","71,011.0","73,204.0","83,080.0","83,456.0","67,940.0","67,030.0","68,657.0","58,402.0","51,408.0","47,282.0","46,522.0","45,694.0","61,528.0","75,899.0","88,105.0","117,080.0","112,576.0","120,669.0","130,791.0","125,274.0","108,572.0","97,144.0","83,358.0","81,414.0","104,044.0","106,862.0","121,646.0","142,105.0","125,942.0","131,195.0","133,075.0","160,786.0","166,541.0","177,919.0","216,593.0","214,176.0","230,104.0","266,748.0","296,394.0","291,440.0","312,857.0","331,772.0","273,652.0","296,823.0","326,496.0","344,958.0","418,475.0","468,999.0","520,194.0","554,203.0","361,116.0","220,116.0","240,224.0","292,273.0","318,213.0","352,956.0","356,280.0","347,625.0","357,966.0","445,476.0","476,108.0"
"50","31","  Capital goods, except automotive","A650RC1","2,800.0","3,624.0","3,652.0","3,612.0","3,816.0","3,912.0","4,016.0","4,168.0","4,244.0","4,432.0","4,492.0","4,168.0","5,676.0","5,512.0","5,968.0","6,520.0","7,332.0","8,036.0","8,536.0","9,148.0","8,684.0","9,532.0","10,616.0","10,444.0","10,156.0","9,736.0","9,936.0","10,836.0","11,496.0","11,960.0","12,504.0","13,168.0","12,692.0","13,500.0","14,372.0","15,376.0","17,473.0","19,111.0","19,621.0","20,951.0","22,538.0","24,404.0","24,556.0","26,944.0","30,452.0","31,750.0","30,727.0","33,378.0","34,585.0","36,130.0","37,108.0","40,715.0","40,115.0","40,676.0","38,171.0","34,825.0","39,402.0","40,115.0","44,679.0","50,741.0","55,152.0","60,158.0","63,317.0","62,843.0","59,953.0","60,553.0","60,175.0","64,466.0","65,949.0","72,189.0","74,488.0","75,336.0","76,062.0","83,140.0","87,796.0","93,517.0","95,834.0","101,671.0","103,647.0","107,658.0","107,154.0","113,455.0","112,826.0","115,742.0","113,724.0","115,733.0","116,511.0","119,506.0","120,331.0","120,908.0","121,325.0","121,865.0","126,170.0","132,666.0","138,733.0","141,687.0","143,502.0","152,010.0","154,526.0","162,573.0","171,206.0","180,211.0","188,613.0","200,034.0","206,232.0","220,279.0","229,029.0","233,047.0","231,449.0","225,629.0","226,265.0","230,315.0","238,771.0","250,870.0","261,317.0","263,358.0","268,668.0","269,297.0","267,418.0","273,937.0","278,949.0","291,611.0","300,819.0","311,490.0","320,422.0","346,216.0","362,171.0","359,286.0","339,616.0","300,347.0","280,207.0","273,314.0","278,074.0","286,180.0","286,043.0","285,488.0","286,127.0","292,689.0","294,721.0","312,151.0","324,852.0","341,132.0","350,958.0","360,994.0","364,295.0","382,736.0","382,872.0","393,054.0","407,682.0","416,169.0","426,017.0","429,937.0","439,053.0","443,304.0","450,418.0","451,336.0","464,951.0","476,596.0","466,524.0","426,719.0","371,055.0","351,448.0","369,669.0","398,473.0","409,444.0","446,132.0","464,788.0","479,506.0","493,578.0","514,671.0"
"51","32","    Civilian aircraft, engines, and parts","B932RC1","184.0","168.0","172.0","184.0","168.0","208.0","168.0","220.0","232.0","260.0","252.0","160.0","360.0","472.0","464.0","612.0","592.0","552.0","656.0","672.0","604.0","724.0","704.0","512.0","576.0","660.0","436.0","516.0","448.0","384.0","388.0","404.0","412.0","572.0","528.0","856.0","808.0","911.0","810.0","865.0","1,243.0","1,228.0","1,163.0","1,896.0","2,706.0","3,232.0","2,824.0","3,780.0","3,853.0","3,696.0","3,370.0","4,529.0","3,830.0","3,678.0","3,006.0","3,568.0","3,342.0","2,817.0","2,674.0","4,028.0","3,492.0","3,180.0","4,204.0","3,894.0","4,700.0","5,648.0","4,896.0","5,909.0","5,107.0","7,405.0","5,729.0","6,027.0","5,208.0","6,631.0","6,842.0","7,626.0","6,318.0","8,494.0","8,392.0","8,349.0","8,033.0","9,987.0","9,022.0","10,702.0","9,058.0","10,372.0","9,816.0","12,650.0","10,945.0","12,047.0","12,417.0","11,538.0","11,838.0","13,156.0","12,286.0","13,043.0","10,631.0","11,594.0","10,440.0","12,509.0","11,417.0","12,080.0","9,810.0","11,886.0","10,687.0","11,085.0","10,385.0","10,680.0","10,960.0","12,607.0","13,138.0","13,978.0","13,946.0","15,322.0","18,977.0","18,147.0","18,033.0","22,574.0","22,424.0","24,225.0","22,413.0","23,047.0","25,586.0","24,047.0","23,273.0","24,924.0","26,754.0","30,550.0","31,043.0","31,082.0","30,818.0","32,490.0","28,491.0","24,663.0","22,415.0","26,261.0","23,320.0","23,876.0","22,960.0","26,188.0","21,011.0","24,443.0","24,028.0","27,713.0","25,673.0","28,119.0","24,058.0","25,153.0","28,224.0","27,528.0","27,212.0","30,575.0","32,893.0","34,406.0","35,027.0","35,301.0","37,053.0","38,293.0","34,411.0","32,247.0","30,128.0","31,702.0","29,862.0","31,038.0","29,811.0","30,487.0","31,994.0","32,695.0","33,040.0","33,858.0"
"52","33","    Computers, peripherals, and parts","B852RC1","96.0","136.0","160.0","148.0","168.0","196.0","196.0","200.0","204.0","208.0","228.0","240.0","296.0","268.0","244.0","252.0","308.0","344.0","384.0","364.0","360.0","380.0","404.0","416.0","416.0","380.0","400.0","424.0","496.0","532.0","576.0","656.0","592.0","636.0","676.0","736.0","848.0","992.0","960.0","1,060.0","1,140.0","1,320.0","1,212.0","1,284.0","1,344.0","1,340.0","1,576.0","1,632.0","1,684.0","1,916.0","2,000.0","2,180.0","2,319.0","2,542.0","2,882.0","3,034.0","4,440.0","5,248.0","5,744.0","6,679.0","7,361.0","8,246.0","8,779.0","8,806.0","8,267.0","8,010.0","8,241.0","8,940.0","9,685.0","10,596.0","11,526.0","12,149.0","12,966.0","14,059.0","15,406.0","16,925.0","17,506.0","18,304.0","18,846.0","18,775.0","19,626.0","20,679.0","21,835.0","23,680.0","23,202.0","22,708.0","22,511.0","23,254.0","24,968.0","25,787.0","26,571.0","26,571.0","28,100.0","30,988.0","33,502.0","34,157.0","35,833.0","37,665.0","39,120.0","39,530.0","41,998.0","45,050.0","46,974.0","50,621.0","50,488.0","53,766.0","58,368.0","62,486.0","61,785.0","60,881.0","61,043.0","62,347.0","66,922.0","70,575.0","72,548.0","70,659.0","72,712.0","71,798.0","70,886.0","74,499.0","78,362.0","81,818.0","81,722.0","83,928.0","83,247.0","89,484.0","95,897.0","90,421.0","83,269.0","75,012.0","69,475.0","68,247.0","75,319.0","76,084.0","75,481.0","73,720.0","74,452.0","75,187.0","75,878.0","80,530.0","84,041.0","87,757.0","90,513.0","92,228.0","91,350.0","92,554.0","94,020.0","95,315.0","99,143.0","100,263.0","102,995.0","102,986.0","108,806.0","104,006.0","103,327.0","104,494.0","106,339.0","108,839.0","103,147.0","86,562.0","81,130.0","85,568.0","97,549.0","112,460.0","113,278.0","123,030.0","117,694.0","115,027.0","112,933.0","124,321.0"
"53","34","    Other","B853RC1","2,520.0","3,320.0","3,320.0","3,280.0","3,480.0","3,508.0","3,652.0","3,748.0","3,808.0","3,964.0","4,012.0","3,768.0","5,020.0","4,772.0","5,260.0","5,656.0","6,432.0","7,140.0","7,496.0","8,112.0","7,720.0","8,428.0","9,508.0","9,516.0","9,164.0","8,696.0","9,100.0","9,896.0","10,552.0","11,044.0","11,540.0","12,108.0","11,688.0","12,292.0","13,168.0","13,784.0","15,817.0","17,208.0","17,851.0","19,026.0","20,155.0","21,856.0","22,181.0","23,764.0","26,402.0","27,178.0","26,327.0","27,966.0","29,048.0","30,518.0","31,738.0","34,006.0","33,966.0","34,456.0","32,283.0","28,223.0","31,620.0","32,050.0","36,261.0","40,034.0","44,299.0","48,732.0","50,334.0","50,143.0","46,986.0","46,895.0","47,038.0","49,617.0","51,157.0","54,188.0","57,233.0","57,160.0","57,888.0","62,450.0","65,548.0","68,966.0","72,010.0","74,873.0","76,409.0","80,534.0","79,495.0","82,789.0","81,969.0","81,360.0","81,464.0","82,653.0","84,184.0","83,602.0","84,418.0","83,074.0","82,337.0","83,756.0","86,232.0","88,522.0","92,945.0","94,487.0","97,038.0","102,751.0","104,966.0","110,534.0","117,791.0","123,081.0","131,829.0","137,527.0","145,057.0","155,428.0","160,276.0","159,881.0","158,704.0","152,141.0","152,084.0","153,990.0","157,903.0","164,973.0","169,792.0","174,552.0","177,923.0","174,925.0","174,108.0","175,213.0","178,174.0","186,746.0","193,511.0","203,515.0","213,902.0","231,808.0","239,520.0","238,315.0","225,304.0","194,253.0","179,914.0","172,577.0","174,264.0","185,433.0","188,147.0","185,507.0","188,355.0","193,626.0","195,883.0","205,433.0","219,800.0","228,932.0","236,417.0","241,053.0","247,272.0","262,063.0","264,794.0","272,586.0","280,315.0","288,378.0","295,810.0","296,376.0","297,354.0","304,892.0","312,064.0","311,541.0","321,559.0","329,464.0","328,966.0","307,910.0","259,797.0","234,178.0","242,258.0","254,975.0","266,355.0","292,615.0","315,100.0","331,784.0","347,605.0","356,492.0"
"54","35","  Automotive vehicles, engines, and parts","B651RC1","4,040.0","5,168.0","5,552.0","5,468.0","5,296.0","5,724.0","5,820.0","5,888.0","6,892.0","7,248.0","8,184.0","7,900.0","8,812.0","8,780.0","8,692.0","9,680.0","10,296.0","10,756.0","10,652.0","11,128.0","11,724.0","12,756.0","13,268.0","11,952.0","10,460.0","10,928.0","13,144.0","13,808.0","15,860.0","16,860.0","17,392.0","17,016.0","17,472.0","18,744.0","19,932.0","21,288.0","22,804.0","25,537.0","25,306.0","26,506.0","26,337.0","27,179.0","25,971.0","27,027.0","28,374.0","26,414.0","28,103.0","30,138.0","29,555.0","31,058.0","30,407.0","32,941.0","33,201.0","35,895.0","36,550.0","31,531.0","37,395.0","41,696.0","42,623.0","50,465.0","54,266.0","55,798.0","57,226.0","58,797.0","59,540.0","63,140.0","66,666.0","70,278.0","71,546.0","77,667.0","82,153.0","80,875.0","83,391.0","86,008.0","83,650.0","87,647.0","86,634.0","86,471.0","86,425.0","92,262.0","93,775.0","89,305.0","82,364.0","84,155.0","85,712.0","90,574.0","89,238.0","87,275.0","83,739.0","80,602.0","88,231.0","89,262.0","90,025.0","90,191.0","90,488.0","95,143.0","100,444.0","101,268.0","99,958.0","106,548.0","107,544.0","115,883.0","121,182.0","127,908.0","129,093.0","127,140.0","120,296.0","118,368.0","123,397.0","130,164.0","133,602.0","127,804.0","138,790.0","138,846.0","140,583.0","139,495.0","144,364.0","145,613.0","142,716.0","161,851.0","170,284.0","175,159.0","183,514.0","186,899.0","197,277.0","195,413.0","197,359.0","193,456.0","189,120.0","190,375.0","191,631.0","187,998.0","193,489.0","203,461.0","208,956.0","209,067.0","205,389.0","211,713.0","205,049.0","218,403.0","221,125.0","229,578.0","230,186.0","231,758.0","231,722.0","234,531.0","240,152.0","251,391.0","256,632.0","256,479.0","251,631.0","261,768.0","253,119.0","255,848.0","263,998.0","253,641.0","257,901.0","252,500.0","229,188.0","193,226.0","131,280.0","128,801.0","174,937.0","201,641.0","206,818.0","224,937.0","236,281.0","234,338.0","256,145.0","235,961.0"
"55","36","  Consumer goods, except automotive","A652RC1","5,496.0","6,796.0","6,796.0","6,860.0","7,072.0","7,148.0","7,564.0","7,828.0","8,016.0","8,696.0","7,912.0","8,928.0","11,144.0","10,644.0","11,112.0","11,516.0","12,632.0","12,780.0","12,952.0","13,204.0","13,008.0","14,584.0","15,276.0","14,652.0","13,072.0","12,344.0","13,036.0","14,392.0","15,616.0","16,444.0","17,816.0","18,784.0","20,560.0","21,728.0","21,736.0","23,160.0","27,550.0","29,588.0","29,844.0","30,507.0","29,898.0","31,092.0","31,301.0","32,756.0","33,877.0","34,431.0","33,579.0","35,183.0","37,109.0","37,618.0","37,641.0","41,125.0","40,688.0","38,566.0","40,209.0","39,224.0","44,230.0","44,512.0","47,622.0","52,741.0","57,563.0","61,323.0","62,655.0","62,834.0","64,037.0","64,615.0","66,181.0","70,509.0","73,878.0","77,975.0","81,381.0","84,183.0","85,619.0","89,611.0","88,767.0","91,300.0","94,942.0","93,614.0","96,423.0","100,717.0","101,404.0","105,238.0","103,404.0","104,485.0","105,353.0","106,280.0","104,499.0","103,712.0","104,053.0","103,073.0","106,732.0","116,746.0","117,944.0","120,877.0","124,619.0","126,251.0","129,041.0","132,278.0","136,609.0","136,864.0","138,226.0","143,508.0","147,909.0","153,967.0","158,642.0","160,797.0","161,593.0","157,850.0","165,875.0","167,934.0","175,624.0","180,693.0","184,164.0","192,331.0","199,032.0","205,320.0","212,074.0","218,384.0","220,826.0","222,625.0","231,218.0","235,794.0","248,127.0","259,005.0","268,526.0","282,461.0","289,066.0","296,547.0","293,402.0","288,417.0","284,642.0","279,732.0","289,448.0","308,593.0","320,682.0","324,131.0","329,471.0","331,050.0","337,810.0","352,427.0","359,089.0","379,793.0","376,455.0","393,244.0","408,920.0","413,157.0","409,042.0","415,013.0","430,595.0","437,333.0","449,745.0","466,913.0","482,937.0","474,168.0","472,673.0","483,027.0","490,948.0","499,674.0","498,341.0","457,923.0","428,834.0","423,120.0","426,873.0","450,984.0","459,175.0","484,695.0","501,730.0","500,641.0","514,947.0","525,686.0"
"56","37","    Durable goods","B697RC1","3,396.0","4,132.0","4,156.0","4,232.0","4,268.0","4,244.0","4,484.0","4,652.0","4,788.0","5,272.0","4,592.0","5,524.0","6,976.0","6,736.0","6,872.0","7,196.0","7,888.0","8,028.0","8,176.0","8,124.0","8,368.0","9,268.0","9,764.0","9,212.0","7,920.0","7,292.0","7,512.0","7,932.0","8,580.0","8,940.0","9,936.0","10,908.0","12,892.0","13,176.0","13,152.0","14,396.0","16,949.0","18,092.0","18,526.0","18,607.0","17,914.0","18,939.0","19,340.0","20,232.0","20,782.0","21,320.0","20,610.0","21,601.0","22,748.0","22,965.0","22,977.0","24,857.0","25,160.0","22,808.0","23,015.0","22,772.0","26,344.0","25,427.0","27,280.0","30,695.0","32,564.0","34,330.0","35,903.0","36,626.0","37,677.0","37,485.0","38,157.0","39,916.0","42,108.0","45,539.0","46,735.0","48,112.0","47,667.0","48,908.0","48,989.0","50,364.0","51,582.0","50,962.0","52,849.0","55,855.0","57,151.0","58,327.0","56,620.0","55,859.0","56,179.0","56,200.0","55,232.0","55,004.0","54,595.0","54,552.0","56,624.0","61,743.0","61,906.0","63,525.0","65,311.0","64,987.0","68,236.0","68,306.0","71,827.0","72,523.0","73,127.0","76,191.0","77,689.0","81,614.0","83,357.0","84,051.0","84,238.0","83,059.0","87,691.0","88,845.0","93,208.0","93,796.0","95,964.0","99,228.0","102,208.0","105,920.0","110,116.0","113,344.0","114,155.0","116,694.0","118,717.0","125,189.0","131,365.0","136,370.0","145,078.0","150,291.0","153,033.0","158,323.0","153,821.0","148,061.0","147,049.0","145,760.0","152,727.0","164,892.0","168,491.0","167,427.0","166,487.0","168,662.0","176,810.0","187,112.0","188,850.0","201,923.0","201,984.0","214,210.0","220,509.0","221,227.0","226,465.0","227,854.0","236,852.0","236,202.0","244,539.0","257,804.0","263,373.0","257,014.0","262,788.0","270,540.0","269,085.0","275,900.0","277,197.0","247,234.0","224,871.0","225,113.0","223,654.0","236,951.0","244,813.0","260,687.0","268,403.0","268,559.0","276,082.0","277,224.0"
"57","38","    Nondurable goods","B698RC1","2,100.0","2,664.0","2,640.0","2,628.0","2,804.0","2,904.0","3,080.0","3,176.0","3,228.0","3,424.0","3,320.0","3,404.0","4,168.0","3,908.0","4,240.0","4,320.0","4,744.0","4,752.0","4,776.0","5,080.0","4,640.0","5,316.0","5,512.0","5,440.0","5,152.0","5,052.0","5,524.0","6,460.0","7,036.0","7,504.0","7,880.0","7,876.0","7,668.0","8,552.0","8,584.0","8,764.0","10,601.0","11,496.0","11,318.0","11,900.0","11,984.0","12,153.0","11,961.0","12,524.0","13,095.0","13,111.0","12,969.0","13,582.0","14,361.0","14,653.0","14,664.0","16,268.0","15,528.0","15,758.0","17,194.0","16,452.0","17,886.0","19,085.0","20,342.0","22,046.0","24,999.0","26,993.0","26,752.0","26,208.0","26,360.0","27,130.0","28,024.0","30,593.0","31,770.0","32,436.0","34,646.0","36,071.0","37,952.0","40,703.0","39,778.0","40,936.0","43,360.0","42,652.0","43,574.0","44,862.0","44,253.0","46,911.0","46,784.0","48,626.0","49,174.0","50,080.0","49,267.0","48,708.0","49,458.0","48,521.0","50,108.0","55,003.0","56,038.0","57,352.0","59,308.0","61,264.0","60,805.0","63,972.0","64,782.0","64,341.0","65,099.0","67,317.0","70,220.0","72,353.0","75,285.0","76,746.0","77,355.0","74,791.0","78,184.0","79,089.0","82,416.0","86,897.0","88,200.0","93,103.0","96,824.0","99,400.0","101,958.0","105,040.0","106,671.0","105,931.0","112,501.0","110,605.0","116,762.0","122,635.0","123,448.0","132,170.0","136,033.0","138,224.0","139,581.0","140,356.0","137,593.0","133,972.0","136,721.0","143,701.0","152,191.0","156,704.0","162,984.0","162,388.0","161,000.0","165,315.0","170,239.0","177,870.0","174,471.0","179,034.0","188,411.0","191,930.0","182,577.0","187,159.0","193,743.0","201,131.0","205,206.0","209,109.0","219,564.0","217,154.0","209,885.0","212,487.0","221,863.0","223,774.0","221,144.0","210,689.0","203,963.0","198,007.0","203,219.0","214,033.0","214,362.0","224,008.0","233,327.0","232,082.0","238,865.0","248,462.0"
"58","39","  Other","A653RC1","2,008.0","2,384.0","2,428.0","2,396.0","2,452.0","2,396.0","2,576.0","2,504.0","2,584.0","2,720.0","2,760.0","2,644.0","2,972.0","2,780.0","3,176.0","3,204.0","3,388.0","3,576.0","3,556.0","2,512.0","4,412.0","4,296.0","2,872.0","3,224.0","3,336.0","3,152.0","3,836.0","2,924.0","4,176.0","3,680.0","3,744.0","3,608.0","5,092.0","5,218.0","4,858.0","5,196.0","5,778.0","5,570.0","6,250.0","6,456.0","7,750.0","5,964.0","6,102.0","7,432.0","8,810.0","7,938.0","9,148.0","10,318.0","11,172.0","12,890.0","12,232.0","13,096.0","13,170.0","14,910.0","12,462.0","12,774.0","13,272.0","13,954.0","13,646.0","13,650.0","14,370.0","15,702.0","15,778.0","17,268.0","17,060.0","19,074.0","18,240.0","18,842.0","18,536.0","19,812.0","19,110.0","20,454.0","20,980.0","21,472.0","21,636.0","23,136.0","22,792.0","23,392.0","24,254.0","26,940.0","25,432.0","26,222.0","27,018.0","28,908.0","30,428.0","31,094.0","32,682.0","32,402.0","31,604.0","34,236.0","32,734.0","33,070.0","35,808.0","33,922.0","34,698.0","34,146.0","34,078.0","35,616.0","35,926.0","37,604.0","38,568.0","41,670.0","40,284.0","41,798.0","42,092.0","44,554.0","41,534.0","44,068.0","45,120.0","45,718.0","43,952.0","43,996.0","47,342.0","49,640.0","53,450.0","54,552.0","54,700.0","56,380.0","61,116.0","65,498.0","68,126.0","69,172.0","70,856.0","70,846.0","74,996.0","74,424.0","86,944.0","82,162.0","81,390.0","82,702.0","79,808.0","79,844.0","80,050.0","82,998.0","83,672.0","83,928.0","79,068.0","82,498.0","78,078.0","82,072.0","77,962.0","80,376.0","85,642.0","87,512.0","90,518.0","87,196.0","93,502.0","89,894.0","94,956.0","99,902.0","90,656.0","88,286.0","99,552.0","95,226.0","97,296.0","91,278.0","82,116.0","87,024.0","81,258.0","78,692.0","77,074.0","76,272.0","73,752.0","74,230.0","87,650.0","83,144.0","82,966.0","100,508.0","78,574.0","86,888.0"
