"","Table 2#5#3# Real Personal Consumption Expenditures by Type of E","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"83","76","    Bridge, tunnel, ferry, and road tolls (s.)","BTOLRA3",3.185,3.41,3.603,3.41,3.314,3.41,3.314,3.507,3.507,3.282,3.636,3.957,4.633,3.41,2.477,2.799,3.314,5.18,5.566,6.21,6.917,7.722,8.816,10.875,12.001,12.805,13.577,15.604,17.889,19.883,23.388,24.594,26.231,28.242,30.146,33.472,36.717,39.265,41.009,45.005,48.438,51.844,55.814,60.668,62.09,58.174,57.986,58.952,59.595,61.124,57.396,56.994,56.431,56.618,52.702,54.365,57.128,62.17,64.799,58.287,66.656,64.904,67.232,76.113,79.607,82.63,86.779,94.415,98.616,92.392,98.455,100,96.518,95.848,97.49,96.74,94.629
"84","77","    Insurance (s.) \20\","BAINRA3",4.725,4.725,4.659,4.397,4.614,4.685,5.399,5.846,6.642,6.826,7.515,8.048,8.692,8.373,8.175,8.668,9.56,10.832,12.769,13.827,14.741,17.932,30.071,29.715,30.791,33.307,36.319,39.252,39.176,37.544,38.252,39.85,40.802,42.424,44.598,46.403,46.806,49.323,52.664,55.519,56.062,56.381,57.095,62.414,67.43,68.982,68.403,63.219,67.9,73.48,75.469,76.126,77.569,80.052,80.517,80.525,82.184,84.621,88.411,90.81,90.837,92.811,90.954,91.543,91.36,92.617,93.478,93.901,95.802,98.238,99.625,100,101.814,101.634,101.687,103.394,103.565
"85","78","  Purchased local transportation","B477RA3",166.478,155.368,142.444,127.622,118.258,120.569,123.422,130.831,131.756,127.066,130.226,137.044,147.194,190.823,237.883,257.368,254.614,266.947,252.448,241.11,209.345,189.894,176.179,168.817,161.59,146.788,139.009,136.532,132.744,123.66,123.019,122.763,115.977,113.247,111.028,107.591,106.342,104.591,103.26,106.259,110.695,108.406,110.002,110.703,110.355,113.606,114.761,116.363,118.303,113.389,107.713,91.755,81.127,78.614,82.768,86.924,89.75,87.511,82.905,83.666,83.996,89.222,88.41,87.225,88.129,91.835,91.887,89.633,89.587,96.665,98.907,100,99.022,95.828,94.39,94.582,96.28
"86","79","    Mass transit systems (s.)","BSTRRA3",192.28,177.823,161.573,142.24,131.023,136.451,140.729,151.175,152.937,147.053,152.008,157.451,167.456,212.557,266.687,279.697,284.699,281.349,269,254.826,227.281,202.867,182.857,172.081,161.982,144.363,135.428,130.064,123.583,114.128,114.035,113.452,108.839,106.405,104.06,101.893,100.194,97.849,95.086,91.791,90.916,82.881,79.788,76.885,78.115,84.63,82.095,79.585,81.284,85.759,89.297,80.756,74.128,76.231,75.677,73.873,73.935,73.243,72.086,77.089,77.955,82.252,83.405,83.321,83.858,88.194,86.547,85.191,85.44,91.237,96.046,100,98.748,94.064,92.853,93.646,95.323
"87","80","    Taxicab (s.)","BTAXRA3",98.625,95.514,91.188,90.07,86.668,77.578,76.071,74.807,73.543,71.988,70.773,80.397,90.459,128.227,155.982,189.084,168.474,213.096,195.695,191.174,152.92,145.775,147.087,148.351,148.837,142.615,138.532,143.879,147.524,140.185,138.05,138.734,126.308,122.964,121.292,114.605,114.681,114.681,117.379,137.518,156.555,171.945,188.056,199.836,194.744,188.588,199.38,211.768,214.314,185.483,157.044,122.54,101.453,86.092,103.924,125.922,137.169,130.142,114.793,102.772,101.529,109.492,102.897,98.504,100.49,102.333,107.402,102.506,101.604,112.376,107.189,100,99.813,100.931,98.839,97.288,99.049
"88","81","  Purchased intercity transportation","B480RA3",6.19,5.07,4.117,3.468,3.476,3.963,4.229,5.368,6.379,5.864,6.35,6.723,7.859,10.743,16.356,16.619,17.069,15.51,13.819,13.022,11.603,10.711,11.974,12.694,12.802,12.344,12.836,13.307,13.38,12.475,12.929,13.015,13.205,13.955,14.754,16.906,19.123,21.666,25.04,28.352,31.888,31.82,32.681,37.056,40.512,44.024,42.248,46.345,50.061,52.463,56.476,52.276,47.053,47.944,51.008,54.988,57.002,63.909,67.062,69.099,69.029,68.612,67.166,67.402,68.311,74.904,78.224,86.056,89.694,93.162,97.026,100,93.014,94.531,101.349,108.195,108.002
"89","82","    Railway (s.)","BIRRRA3",663.892,539.942,425.06,329.528,340.713,399.666,407.224,527.849,597.987,507.896,535.407,558.383,607.963,847.4,1514.316,1497.991,1489.223,1195.672,1022.745,935.375,757.611,628.521,700.775,730.403,693.217,631.847,614.312,605.545,552.034,486.129,445.694,424.396,391.691,378.5,362.407,383.264,387.967,406.034,367.297,319.202,287.056,248.168,197.296,234.009,254.396,289.454,239.886,230.973,205.132,168.444,176.697,160.224,150.105,118.716,130.695,135.021,139.529,137.2,138.316,150.179,153.991,156.328,155,117.099,110.119,99.084,92.408,87.011,88.96,90.407,91.582,100,102.908,101.724,101.001,111.363,112.477
"90","83","    Bus (s.)","BIBURA3",16.866,17.662,16.866,15.912,17.662,17.662,22.435,28.376,42.802,48.159,55.213,58.873,79.24,122.997,150.047,158.48,159.435,162.14,146.971,144.902,137.742,130.688,135.992,138.325,134.347,120.716,118.595,117.587,113.98,100.349,93.994,87.859,88.316,89.827,85.936,98.237,107.34,119.511,124.86,123.782,119.091,120.247,116.091,111.808,115.394,122.105,106.241,103.58,98.581,100.64,116.664,126.431,126.682,120.904,101.945,89.275,77.435,59.766,72.319,89.108,75.911,64.329,72.197,72.779,78.796,82.49,88.762,90.802,105.617,101.035,98.631,100,96.426,92.93,88.443,82.646,77.01
"91","84","    Airline (s.)","BIAIRA3",0.025,0.025,0.025,0.042,0.042,0.067,0.095,0.127,0.127,0.145,0.201,0.322,0.406,0.371,0.371,0.484,0.866,1.378,1.407,1.364,1.541,1.905,2.516,2.99,3.523,4.008,4.76,5.379,6.075,6.117,7.225,7.749,8.179,9.027,10.192,11.977,14.076,16.199,19.871,23.999,28.377,28.447,29.944,34.677,38.06,41.394,40.416,45.142,49.571,52.305,55.635,50.564,44.893,46.298,50.483,55.849,58.07,67.679,70.173,69.447,68.697,67.545,65.029,63.843,64.609,71.155,74.037,82.542,86.43,90.694,95.054,100,92.687,93.063,100.215,108.104,108.583
"92","85","    Other (s.) \21\","BTRORA3",7.512,5.045,4.106,4.474,3.351,3.848,3.793,4.29,4.29,3.793,3.848,3.646,3.977,2.891,3.351,3.222,3.848,3.535,3.646,3.351,3.167,2.891,2.891,2.891,3.167,3.038,3.167,3.351,3.351,3.351,3.54,3.466,3.776,4.13,4.1,4.425,4.882,6.342,8.923,10.206,11.711,12.551,13.245,15.442,18.112,19.808,19.749,22.05,25.147,27.527,31.732,29.959,27.115,28.244,30.36,30.656,36.106,36.792,39.959,51.553,60.208,67.992,69.27,79.783,80.217,88.967,94.179,101.345,100.52,102.65,106.231,100,92.761,100.78,110.603,117.443,116.454
"93","86","Recreation","A539RA3",2.76,2.743,2.531,2.069,1.952,2.092,2.221,2.534,2.708,2.613,2.839,3.045,3.366,3.397,3.383,3.349,3.636,4.835,4.759,4.696,4.734,5.268,5.344,5.563,5.815,6.03,6.442,6.744,6.636,6.605,7.143,7.342,7.56,8.093,8.617,9.311,10.126,11.538,12.14,12.945,13.579,14.212,14.6,16,17.514,18.286,18.91,20.114,21.259,22.815,24.458,24.627,25.786,26.58,29.004,31.824,34.025,36.822,39.691,43.096,45.508,47.214,47.957,50.64,55.134,59.911,65.488,70.862,76.455,83.432,92.356,100,104.526,110.609,117.633,127.088,137.046
"94","87","  Books and maps (d.)","BBKSRA3",10.05,8.895,8.945,5.634,5.901,6.469,7.173,8.076,9.288,8.316,8.427,8.754,9.421,10.716,12.537,14.994,16.69,18.236,15.211,15.295,15.402,16.324,18.358,17.547,17.726,17.036,17.981,19.478,18.781,18.354,19.223,19.997,21.098,22.254,24.073,28.246,28.322,30.63,29.944,30.943,33.319,39.929,38.371,36.184,36.456,37.397,35.241,31.221,32.535,36.432,38.709,39.739,40.886,40.193,42.018,45.616,45.147,46.59,51.972,55.049,56.195,57.158,56.291,57.294,61.4,67.484,72.939,76.144,80.964,83.936,93.432,100,101.616,105.706,111.192,116.457,121.658
"95","88","  Magazines, newspapers, and sheet music (n.d.)","BMAGRA3",23.719,22.839,21.533,19.549,19.608,20.552,21.167,22.561,23.753,22.839,24.33,25.669,27.616,29.73,32.434,32.948,34.983,38.378,40.32,40.754,40.396,40.939,42.19,42.839,43.268,43.925,44.191,43.955,43.091,42.312,42.559,42.906,39.509,44.323,45.417,44.406,46.134,52.628,52.301,51.785,52.803,55.031,55.23,57.724,62.264,63.449,59.602,61.167,62.848,69.551,77.638,77.646,76.547,74.403,73.502,77.065,73.941,73.738,76.34,80.663,81.009,83.473,80.528,77.176,79.847,84.719,87.856,90.39,94.59,95.256,97.201,100,97.823,96.5,97.814,103.639,111.669
"96","89","  Nondurable toys and sport supplies (n.d.)","BTOYRA3",1.973,1.667,1.686,1.434,1.264,1.317,1.408,1.533,1.634,1.649,1.822,1.888,2.233,2.15,2.063,2.013,2.267,3.442,3.602,3.936,4.234,5.076,5.66,5.825,5.751,5.595,6.167,6.422,6.653,6.789,7.591,7.83,8.305,8.881,9.45,10.178,10.941,12.372,12.874,13.84,14.436,14.823,15.374,17.089,19.192,20.24,20.908,22.687,24.383,26.601,28.237,27.986,28.867,29.72,31.586,35.011,36.795,39.026,42.327,44.347,47.623,49.958,52.241,54.476,57.64,61.839,66.146,69.01,72.482,80.464,91.205,100,106.07,115.427,124.799,136.057,151.872
"97","90","  Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (d.)","BWHGRA3",1.144,0.894,0.869,0.676,0.602,0.761,0.894,1.186,1.404,1.362,1.508,1.621,1.985,1.72,1.659,1.731,2.076,3.976,4.328,4.258,3.695,3.97,3.771,4.154,4.616,5.05,6.078,6.76,7.232,7.531,8.413,8.165,7.996,8.213,8.791,10.149,11.693,14.489,15.982,17.922,18.943,19.139,19.792,25.568,28.7,28.334,29.622,32.197,34.555,36.532,39.848,35.246,35.138,33.831,34.439,40.865,42.151,45.589,49.84,52.07,53.708,52.846,51.026,51.306,56.392,60.752,65.835,70.119,74.823,81.504,90.368,100,103.737,109.636,118.61,130.439,149.566
"98","91","  Video and audio goods, including musical instruments, and computer goods (d.)","BRADRA3",0.111,0.132,0.097,0.074,0.06,0.065,0.071,0.097,0.109,0.1,0.129,0.15,0.178,0.156,0.098,0.07,0.078,0.249,0.253,0.246,0.27,0.392,0.367,0.42,0.479,0.534,0.593,0.606,0.562,0.549,0.62,0.617,0.662,0.726,0.808,0.956,1.177,1.524,1.732,1.874,1.963,2.09,2.165,2.431,2.734,2.869,3.092,3.362,3.579,3.852,4.207,4.375,4.611,4.824,6.276,7.387,8.76,10.934,12.475,14.295,15.132,15.971,17.434,19.28,23.217,28.136,33.94,41.937,51.855,65.934,83.173,100,113.507,133.445,153.704,181.931,213.094
"99","92","    Video and audio goods, including musical instruments (d.)","BVAMRA3",0.422,0.502,0.37,0.282,0.227,0.247,0.272,0.368,0.416,0.379,0.489,0.568,0.678,0.592,0.373,0.266,0.295,0.946,0.961,0.936,1.025,1.491,1.393,1.596,1.821,2.031,2.254,2.303,2.137,2.087,2.355,2.344,2.515,2.761,3.07,3.634,4.475,5.793,6.585,7.121,7.462,7.945,8.23,9.241,10.39,10.904,11.753,12.777,13.58,14.599,15.903,16.405,17.103,16.987,20.533,24.141,29.028,33.633,37.564,41.338,43.485,44.205,44.156,46.354,50.913,57.641,63.081,67.048,69.866,77.7,88.47,100,106.539,116.139,125.683,143.795,162.048
"100","93","    Computers, peripherals, and software (d.)","BCPTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.001,0.002,0.006,0.014,0.057,0.172,0.205,0.21,0.504,0.665,0.962,1.053,1.346,2.136,2.858,4.709,6.963,10.734,18.387,31.342,50.124,75.05,100,126.391,169.146,216.158,270.28,336.313
"101","94","  Radio and television repair (s.)","BRTVRA3",1.233,1.85,2.337,2.661,2.207,2.434,3.083,3.083,3.278,3.7,4.414,5.128,5.42,6.004,7.659,8.86,10.743,14.053,14.832,18.791,21.031,27.814,33.072,35.343,37.388,39.79,41.056,43.619,45.599,46.833,47.958,51.307,54.738,57.154,59.789,61.107,62.177,63.825,66.076,72.883,79.637,86.582,94.762,106.868,113.402,117.602,128.637,131.822,135.61,124.22,119.822,114.146,108.808,104.466,100.584,93.641,94.329,88.481,96.243,101.674,99.128,96.464,86.683,83.536,86.098,85.837,91.518,92.063,94.217,96.988,99.236,100,96.144,96.291,95.902,106.809,110.396
"102","95","  Flowers, seeds, and potted plants (n.d.)","BFLORA3",7.156,6.286,5.519,5.703,5.354,4.796,4.51,6.198,5.176,6.743,8.9,8.551,10.131,7.898,7.162,7.504,8.494,9.065,8.392,7.175,8.113,8.602,9.274,8.805,10.035,10.803,9.928,11.374,11.602,10.873,12.125,13.368,13.171,15.135,17.456,18.427,21.641,23.888,24.108,25.489,25.984,25.606,26.169,28.459,29.433,30.925,29.745,31.473,29.385,34.633,37.404,37.437,38.718,39.543,41.207,44.715,46.468,50.982,58.385,60.652,64.092,63.927,61.898,65.025,70.109,74.144,75.337,83.382,90.391,93.017,99.589,100,97.118,96.704,96.741,96.045,103.662
"103","96","  Admissions to specified spectator amusements","B481RA3",42.36,41.809,41.766,32.492,32.021,35.219,37.347,41.412,43.303,42.143,43.014,46.36,48.809,56.254,63.006,58.543,61.189,71.489,66.28,63.036,60.301,57.519,55.733,54.23,51.582,51.931,53.177,54.629,45.614,40.746,40.347,40.059,39.103,39.131,39.013,38.591,40.105,41.245,40.396,42.636,43.03,43.066,43.359,42.5,40.534,43.434,43.862,43.395,47.317,52.57,53.112,52.378,53.891,57.127,58.691,61.777,58.946,61.512,60.622,64.193,67.422,71.301,71.204,73.298,80.75,83.016,86.052,91.335,94.459,97.109,99.317,100,101.522,105.745,105.484,105.479,103.512
"104","97","    Motion picture theaters (s.)","BMOVRA3",146.513,151.064,154.981,120.717,120.493,131.013,138.213,152.165,159.01,151.866,153.359,167.478,175.238,209.931,240.483,218.94,224.983,254.379,229.385,214.65,202.19,192.342,185.608,179.789,168.224,167.795,171.507,175.144,134.408,113.275,105.621,99.344,94.406,89.511,85.998,80.242,83.332,81.117,75.954,79.029,78.648,77.435,77.816,76.264,69.281,79.481,79.805,72.37,79.311,87.073,83.212,72.288,73.243,80.001,76.559,77.463,69.987,69.386,68.311,73.754,81.134,85.848,83.01,77.459,78.454,79.611,81.314,84.231,88.796,95,98.268,100,101.167,104.709,102.361,99.04,94.623
"105","98","    Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics) (s.)","BLEGRA3",20.059,15.297,13.14,10.177,8.021,8.269,8.502,9.448,9.572,10.332,11.511,12.458,13.233,14.676,17.236,17.779,17.887,20.339,20.928,19.749,19.485,19.64,19.516,19.749,19.625,20.649,21.89,23.426,24.248,24.341,25.259,25.905,23.697,24.226,23.627,23.627,22.312,23.345,23.862,21.771,20.879,19.857,18.812,19.822,20.801,21.943,22.835,26.513,29.561,34.471,36.992,41.214,45.461,45.144,48.597,52.711,57.091,67.229,66.655,69.25,65.228,72.327,71.554,78.646,91.244,94.246,96.967,98.117,102.355,100.898,101.932,100,101.488,105.723,102.514,103.385,103.045
"106","99","    Spectator sports (s.) \22\","BSPERA3",4.274,4.012,3.612,2.785,3.005,3.833,4.315,5.046,5.404,5.666,5.887,5.763,6.314,5.266,3.929,4.398,6.218,10.45,11.001,11.759,12.104,11.236,10.932,10.574,10.657,10.877,10.877,11.098,11.594,11.759,13.839,15.733,17.481,19.541,21.372,23.391,25.857,28.895,29.634,34.712,36.668,38.489,39.935,37.885,36.907,36.033,36.106,37.022,39.477,43.171,45.207,47.598,47.081,50.88,54.464,58.249,52.424,50.577,49.542,52.597,59.223,59.608,62.146,65.436,73.08,75.512,79.817,90.537,91.598,95.279,97.752,100,101.815,106.523,110.405,112.078,110.466
"107","100","  Clubs and fraternal organizations (s.) \23\","BCLURA3",23.896,24.182,24.448,22.764,20.234,18.607,18.531,18.274,17.884,17.77,17.599,18.702,18.217,17.18,16.419,16.79,18.921,21.879,21.204,21.547,22.526,21.851,21.109,21.68,21.832,22.165,22.793,23.582,24.419,25.285,26.595,26.432,27.406,27.743,28.709,29.079,29.275,30.889,31.548,32.072,31.235,30.324,28.32,27.053,28.115,27.712,28.702,29.433,29.695,29.159,32.903,37.079,43.132,53.526,55.702,56.608,67.048,71.338,74.272,78.35,86.506,94.031,102.91,109.401,110.041,107.661,104.975,100.342,93.65,95.262,97.636,100,101.252,105.241,112.422,110.482,113.739
"108","101","  Commercial participant amusements (s.) \24\","ACOMRA3",3.951,3.882,3.45,2.629,2.528,2.788,2.914,3.284,3.752,3.138,3.487,3.766,3.998,3.949,3.607,3.545,3.703,4.248,4.203,4.213,4.11,4.214,4.269,4.194,4.22,4.138,4.434,4.826,5.16,5.566,6.524,7.565,8.425,9.056,9.457,9.846,9.887,10.264,10.695,10.878,11.398,11.954,12.573,14.17,15.772,17.123,18.329,19.778,21.034,22.205,23.294,24.185,26.754,27.236,29.023,29.951,31.679,32.336,33.81,37.921,40.451,43.833,44.306,50.144,57.05,65.232,73.457,79.376,85.014,88.752,94.171,100,101.855,104.981,111.27,119.828,123.923
"109","102","  Pari-mutuel net receipts (s.)","BPARRA3",3.137,2.81,2.81,2.254,2.646,7.907,10.455,12.35,14.964,15.748,15.487,21.727,22.054,21.237,24.014,37.606,42.67,53.518,47.408,40.122,37.77,38.684,42.899,50.12,54.237,53.126,54.923,58.255,59.137,59.529,64.202,66.693,69.692,79.242,80.989,88.455,91.529,89.116,91.425,93.481,94.535,91.859,94.603,95.347,102.98,105.321,103.911,109.579,108.822,109.671,108.893,116.876,112.933,111.592,103.88,99.31,97.14,95.808,96.02,96.165,94.961,92.969,87.309,82.097,79.383,81.338,83.669,85.042,86.466,92.819,100.112,100,99.228,102.063,98.413,103.3,109.424
"110","103","  Other (s.) \25\","AREORA3",1.972,1.887,1.666,1.365,1.308,1.508,1.652,1.913,2.183,1.916,1.992,2.088,2.344,2.462,2.498,2.595,2.682,2.84,2.824,2.769,2.77,2.849,2.941,3.092,3.382,3.613,3.968,4.209,4.518,4.747,5.332,5.887,6.374,6.903,7.545,8.124,8.461,9.273,9.768,10.813,12.136,13.187,14.026,15.063,17.347,19.039,20.444,22.938,24.726,26.242,28.028,30.037,33.552,36.38,41.065,44.502,49.166,51.55,54.019,59.765,64.646,66.726,66.486,71.271,74.168,76.267,81.732,84.844,87.006,90.671,96.014,100,103.525,104.826,107.684,113.051,116.669
"111","104","Education and research","B482RA3",8.479,8.797,9.054,8.026,7.521,7.416,7.743,8.157,8.687,8.901,8.967,9.178,9.54,10.33,10.827,10.241,9.918,10.153,11.352,11.958,12.741,13.263,13.544,14.26,14.971,15.65,16.839,17.786,19.092,20.427,21.388,22.706,23.914,25.446,27.101,29.184,32.006,34.865,37.27,40.526,42.847,45.045,46.984,49.046,50.409,48.855,49.987,50.956,51.289,53.783,54.381,54.892,55.638,56.876,59.082,60.859,63.362,65.531,67.854,71.263,74.796,76.689,77.633,79.69,80.938,82.3,84.543,87.152,88.952,92.751,96.04,100,103.821,105.945,107.494,106.709,107.519
"112","105","  Higher education (s.) \26\","BHEDRA3",7.444,8.207,8.775,8.257,7.984,8.063,8.475,8.738,8.858,8.96,9.191,9.638,9.619,9.787,10.068,10.145,9.839,10.668,12.898,13.673,14.676,14.973,15.008,15.611,16.379,17.025,18.188,19.461,21.302,23.278,24.088,25.403,27.106,28.64,30.299,33.191,37.645,40.824,42.692,45.41,47.962,51.513,54.452,56.694,58.5,57.778,57.515,58.178,59.146,58.806,60.333,61.73,63.733,66.873,68.445,69.8,70.987,72.692,74.448,75.942,78.534,80.551,82.259,84.27,85.201,86.304,87.962,89.521,90.067,93.226,96.403,100,104.937,107.873,111.372,111.056,111.664
"113","106","  Nursery, elementary, and secondary schools (s.) \27\","BEEDRA3",9.194,10.021,11.71,9.356,8.574,8.35,8.403,9.556,11.428,12.712,12.92,13.053,12.862,13.026,12.931,13.141,14.03,11.915,12.807,13.453,14.062,14.755,15.375,16.337,17.118,18.125,19.326,20.557,22.059,23.554,25.661,27.937,30.855,33.873,36.479,38.884,41.064,42.777,44.783,47.781,49.545,50.803,52.81,55.406,55.45,53.66,54.408,53.214,52.024,59.794,59.26,60.668,60.176,59.981,63.533,66.336,69.906,71.81,75.04,76.3,81.082,83.813,83.933,85.779,87.393,89.315,92.242,93.827,94.266,96.102,98.462,100,101.21,102.995,105.217,106.773,109.342
"114","107","  Other (s.) \28\","BOEDRA3",8.349,7.777,6.893,6.004,5.399,5.12,5.43,5.619,5.952,5.743,5.505,5.411,6.522,8.36,9.377,7.611,6.647,7.373,7.259,7.559,8.08,8.723,9.074,9.698,10.216,10.651,11.744,11.994,12.379,12.701,12.991,13.547,12.895,13.282,14.136,14.75,15.56,18.47,21.654,25.547,27.713,28.394,28.646,29.938,31.514,28.966,32.363,35.481,36.129,38.285,38.428,36.975,36.936,36.56,38.502,40.017,43.652,46.749,49.228,57.632,61.689,62.624,62.841,65.149,66.708,68.122,70.997,76.665,82.234,89.033,93.327,100,103.675,104.416,101.433,97.891,97.807
"115","108","Religious and welfare activities (s.) \29\","BRAWRA3",8.761,9.311,9.528,8.853,8.08,7.625,7.482,7.617,7.281,7.728,7.854,8.512,8.569,8.99,10.051,11.367,11.498,11.714,10.399,10.54,10.477,10.645,10.575,12.108,12.564,13.189,13.36,14.538,14.708,15.553,17.153,17.445,17.784,18.001,18.675,21.18,22.45,23.746,25.678,26.815,27.159,28.824,31.131,33.479,33.675,32.657,32.857,35.433,37.028,39.618,41.106,41.688,43.151,45.158,46.976,50.898,53.564,57.931,60.161,63.712,66.4,70.366,71.256,76.234,77.445,81.669,82.67,87.013,86.727,91.576,94.083,100,105.191,109.681,109.965,112.851,112.163
"116","109","Foreign travel and other, net","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","110","  Foreign travel by U.S. residents (s.) \30\","BFTRRA3",4.236,4.426,3.865,3.512,2.647,2.701,2.836,3.315,3.792,3.252,2.663,1.376,1.54,1.052,1.158,1.338,1.642,2.638,3.584,4.084,4.651,5.082,5.221,5.981,6.281,6.518,7.576,8.235,8.785,9.532,10.305,11.521,11.566,12.424,13.331,13.748,14.801,15.385,18.26,17.289,18.992,21.48,21.226,23.331,22.86,20.957,20.538,21.567,22.3,23.103,22.535,22.082,23.491,26.967,31.092,45.859,50.534,45.74,57.02,59.092,60.22,63.188,57.929,60.932,64.412,68.349,68.16,70.989,77.625,87.282,90.17,100,94.36,88.234,85.41,92.839,96.804
"118","111","  Expenditures abroad by U.S. residents (n.d.)","AABDRA3",8.331,8.955,10.609,13.042,12.387,10.609,13.042,12.262,11.888,11.077,12.512,11.264,13.542,73.887,118.849,250.428,445.815,42.466,49.799,61.374,96.29,89.207,133.17,185.559,255.514,243.938,248.057,251.177,249.086,249.835,241.546,233.8,214.592,217.325,209.744,228.674,244.025,277.602,297.751,307.597,317.486,326.465,320.138,289.934,199.275,144.751,103.672,86.475,70.233,68.12,69.579,74.321,92.916,112.125,120.21,130.041,148.223,108.515,98.801,83.475,87.942,77.844,71.707,49.454,53.712,54.492,50.619,51.528,81.765,88.449,89.22,100,107.561,114.399,115.002,110.854,108.744
"119","112","  Less: Expenditures in the United States by nonresidents (s.) \31\","BEXFRA3",1.617,1.505,1.214,0.925,1,1.108,1.281,1.405,1.587,1.657,1.834,1.268,1.132,1.35,1.686,1.987,2.224,3.289,3.313,2.95,3.34,3.516,3.859,4.218,4.595,4.781,5.383,5.874,6.149,6.264,6.23,6.501,6.647,6.561,6.818,7.822,8.57,9.421,9.544,10.022,11.006,11.876,12.632,13.685,15.543,16.737,18.041,20.347,20.427,21.789,23.083,25.284,33.195,30.792,27.532,37.211,37.027,42.219,45.325,52.213,61.108,68.397,71.912,79.175,82.29,83.291,88.347,93.58,96.09,93.668,95.868,100,89.912,85.624,81.595,88.194,91.491
"120","113","  Less: Personal remittances in kind to nonresidents (n.d.)","BREMRA3",0,0,0,0,0,0,0,0,0.428,0.428,0,0,0,0,0,0,12.846,103.645,113.608,83.283,51.123,42.647,31.548,31.461,36.354,29.363,24.12,32.072,36.092,30.499,30.798,37.818,35.925,32.327,36.158,39.843,45.764,44.402,59.498,57.838,51.218,60.103,50.024,48.728,53.978,50.373,43.703,40.243,35.058,30.953,37.268,42.034,42.306,39.562,44.554,48.649,68.993,68.864,75.812,88.538,79.268,87.577,91.959,130.205,125.92,114.158,103.474,89.634,85.835,87.222,99.871,100,110.34,110.769,128.039,138.404,153.613
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Consists of purchases (including tips) of meals and beverages from retail, service, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","amusement establishments, hotels, dining and buffet cars, schools, school fraternities,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","institutions, clubs, and industrial lunchrooms.  Includes meals and beverages consumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
