"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"308","300","        Funeral and burial services","DFUNRX0",23345,23390,23815,23406,22937,22007,22836,22921,22140,23334,23033,21168,23870,24297,22016,22431,22762,22615,23361,22952,23686,22874,22956,23836,23671,23260,23908,24860,24738,24932,24194,24562,24777,24452,24105,23732,23234,23805,23946,23163,23141,22958,23015,23052,23155,23201,23868,23794,23717,24107,24025,24547,25216,26316,25808,25694,26383,26655,26109,27912,26835,25593,24496,25081,24892,25220,25273,25275,25001,25094,25190,25538,26471,27685,27198,26976,26589,26506,26402,26603,26405,26251,26681,26567,25837,25986,26419,26116,26707,26288,26244,26483,26542,26497,25969,26235,25955,26391,25688,26430,26312,26297,26498,26147,26095,26146,26463,26062,26035,25822,27127,26147,25769,25653,25135,25163,24821,24739,25057,24599,24720,24561,24337,24345,23813,23869,23546,23401,23315,24094,23548,23792,23850,23826,24297,24242,24660,24388,24332,24003,24019,23752,23667,23751,24393,24278,24148,23988,24090,24023,24091,24042,23995,24165,24112,23924,23369,24131,23755,23974,24054,24136,24123,24244,24380,24346,24329,23837,25238,23409,23635,24003,24087,24332,24324,24645,24548,24765,24898,25056,25458,24682,24730,24825,24960,24757,25005,25373,25090,24907,24791,24853,25257,24626,24999,25127,25221,24798,24535,24100,24150,24063,24230,24461,25248,24454,24303
"309","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",100951,101243,101568,101937,102338,102775,103239,103738,104265,104817,105385,105973,106598,107133,107600,108011,108331,108587,108777,108886,108922,108875,108746,108537,108244,107982,107768,107600,107476,107406,107378,107403,107480,107591,107744,107936,108200,108414,108604,108801,109033,109212,109430,109626,109839,109960,110098,110351,110604,110895,111167,111432,111726,112101,112513,112962,113419,113905,114377,114805,115207,115601,116014,116464,116881,117250,117584,117899,118188,118456,118702,118936,119164,119313,119421,119495,119569,119626,119684,119682,119626,119508,119460,119523,119673,119859,120070,120323,120540,120736,120904,121087,121299,121520,121576,121483,121218,120986,120792,120655,120513,120379,120251,120141,120048,119964,119874,119769,119646,119466,119234,118940,118598,118191,117727,117301,116904,116535,115782,114633,113107,111837,110842,110115,109509,109022,108654,108589,108834,109378,109518,109243,109781,110392,111074,111830,112368,112682,112782,113044,113471,114056,114450,114663,115456,115923,116068,115905,115896,116039,116354,116551,116640,116602,116474,116265,116598,117047,117643,118373,118791,118908,118720,118871,119361,120177,120604,120636,120275,120018,119877,119858,120051,120490,121155,121777,122368,122911,123552,124276,125095,125809,126413,126915,127436,127981,128545,129072,129559,129993,130373,130693,130952,131148,131282,132213,132857,133227,133831,134269,134542,135312,135853,136162,136246,136312,136383
"310","302","        Personal care services","DPCSRX0",79024,79275,79557,79877,80230,80617,81031,81479,81955,82456,82977,83518,84096,84598,85042,85438,85757,86020,86228,86366,86443,86450,86385,86250,86043,85870,85746,85669,85635,85652,85711,85820,85977,86171,86408,86687,87035,87343,87627,87924,88265,88559,88894,89209,89546,89847,90140,90413,90639,90884,91163,91486,91837,92249,92693,93168,93670,94202,94722,95221,95706,96185,96670,97175,97650,98082,98482,98863,99218,99551,99865,100167,100463,100679,100846,100971,101088,101187,101280,101306,101270,101166,101137,101217,101387,101598,101839,102125,102380,102615,102827,103050,103295,103545,103651,103626,103451,103302,103183,103111,103037,102970,102911,102857,102807,102755,102723,102702,102690,102623,102506,102328,102101,101809,101458,101116,100775,100433,99765,98762,97437,96347,95506,94908,94415,94024,93737,93706,93938,94423,94557,94329,94960,95617,96298,97004,97507,97801,97894,98156,98587,99183,99584,99800,100521,100944,101072,100918,100923,101085,101422,101646,101766,101766,101662,101462,101523,101878,102558,103549,104148,104363,104189,104327,104774,105522,105929,105991,105709,105460,105254,105094,105190,105572,106221,106895,107607,108341,109036,109678,110278,110866,111439,112003,112513,112972,113376,113805,114256,114719,115116,115441,115694,115884,116011,116924,117555,117913,118467,118869,119117,119872,120401,120699,120775,120833,120897
"311","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",38624,38699,38788,38896,39019,39159,39312,39482,39664,39859,40063,40278,40509,40711,40892,41057,41193,41310,41407,41479,41529,41553,41551,41522,41467,41426,41407,41410,41431,41475,41538,41624,41731,41854,41996,42157,42350,42503,42634,42782,42932,43060,43194,43293,43421,43498,43585,43624,43827,44019,44209,44401,44619,44878,45165,45472,45797,46143,46501,46868,47247,47621,47994,48373,48742,49094,49434,49766,50088,50401,50700,50988,51268,51484,51651,51774,51876,51951,52006,51961,51818,51574,51507,51634,51947,52295,52673,53090,53452,53765,54026,54232,54390,54490,54601,54730,54866,54975,55059,55125,55189,55255,55323,55387,55446,55496,55533,55553,55554,55545,55529,55501,55452,55376,55275,55179,55084,54989,54775,54438,53987,53656,53454,53376,53356,53391,53483,53723,54117,54658,54972,55051,55252,55465,55690,55928,56114,56247,56330,56523,56827,57238,57513,57658,57755,57791,57768,57695,57708,57807,58001,58095,58094,57989,57917,57885,57751,57829,58134,58661,59123,59524,59861,60112,60273,60337,60450,60611,60822,60906,60867,60705,60554,60430,60322,60442,60796,61377,61801,62059,62157,62219,62242,62229,62264,62347,62477,62530,62505,62395,62374,62438,62589,62701,62774,63178,63459,63623,63696,63761,63818,64047,64214,64316,64355,64387,64420
"312","304","          Miscellaneous personal care services","DMPCRX0",40759,40942,41141,41360,41596,41852,42119,42406,42707,43022,43347,43681,44037,44344,44614,44849,45035,45185,45297,45363,45389,45369,45304,45192,45034,44896,44785,44701,44641,44610,44602,44623,44670,44739,44832,44949,45103,45260,45414,45565,45759,45927,46133,46358,46572,46805,47019,47264,47279,47325,47410,47539,47669,47816,47967,48129,48298,48478,48630,48751,48844,48938,49038,49153,49248,49317,49366,49402,49423,49430,49434,49437,49443,49434,49428,49426,49439,49462,49500,49576,49693,49847,49889,49835,49674,49518,49361,49212,49089,49000,48943,48953,49039,49191,49183,49021,48694,48424,48213,48068,47924,47785,47653,47530,47417,47310,47238,47196,47184,47125,47022,46870,46688,46469,46216,45967,45718,45468,45010,44338,43459,42695,42052,41529,41054,40627,40248,39977,39817,39764,39590,39289,39720,40163,40617,41083,41398,41560,41572,41642,41772,41959,42086,42158,42770,43149,43295,43213,43204,43268,43410,43538,43654,43751,43717,43554,43738,44008,44376,44838,44984,44818,44337,44236,44517,45175,45461,45372,44907,44593,44433,44430,44660,45138,45854,46387,46741,46908,47181,47556,48036,48539,49062,49609,50062,50421,50686,51044,51495,52034,52430,52679,52782,52859,52913,53412,53754,53944,54405,54728,54911,55420,55771,55962,55997,56024,56053
"313","305","        Clothing and footwear services","DCFSRX0",21914,21955,21999,22047,22097,22147,22198,22249,22300,22352,22400,22447,22495,22528,22551,22566,22568,22560,22543,22514,22473,22419,22355,22280,22195,22106,22016,21925,21835,21747,21661,21577,21496,21414,21330,21242,21159,21065,20972,20872,20763,20650,20533,20414,20292,20113,19960,19940,19967,20012,20005,19948,19891,19854,19823,19797,19753,19707,19659,19589,19507,19422,19351,19297,19240,19177,19111,19046,18980,18915,18848,18780,18712,18645,18586,18535,18490,18449,18414,18385,18365,18351,18332,18314,18294,18270,18240,18207,18169,18128,18084,18045,18011,17981,17931,17862,17772,17689,17614,17548,17481,17413,17344,17288,17244,17212,17155,17070,16959,16845,16730,16612,16496,16382,16269,16185,16129,16102,16016,15871,15670,15491,15337,15207,15094,14997,14917,14883,14896,14955,14962,14915,14821,14775,14777,14827,14863,14883,14889,14890,14886,14876,14869,14866,14939,14983,14999,14991,14977,14958,14937,14910,14879,14842,14818,14808,15080,15173,15091,14831,14652,14555,14540,14554,14596,14666,14686,14656,14576,14569,14634,14773,14869,14927,14944,14891,14771,14581,14528,14610,14829,14955,14987,14925,14936,15022,15182,15280,15316,15287,15271,15266,15273,15280,15287,15305,15319,15331,15380,15418,15442,15457,15470,15481,15490,15497,15505
"314","306","          Laundry and drycleaning services","DDRYRX0",13627,13674,13723,13776,13832,13890,13950,14012,14075,14139,14205,14273,14343,14401,14449,14488,14516,14535,14546,14547,14538,14518,14487,14444,14390,14340,14297,14258,14223,14195,14170,14151,14137,14127,14121,14120,14128,14117,14101,14070,14022,13969,13905,13832,13753,13613,13496,13501,13527,13578,13584,13548,13511,13491,13475,13466,13440,13414,13389,13344,13290,13234,13193,13167,13140,13108,13073,13039,13005,12972,12938,12904,12871,12839,12811,12790,12773,12759,12749,12744,12744,12749,12754,12763,12774,12782,12783,12782,12773,12760,12741,12723,12708,12693,12664,12621,12563,12510,12462,12421,12378,12335,12291,12260,12241,12234,12202,12143,12058,11972,11885,11798,11714,11631,11552,11497,11467,11461,11417,11336,11219,11113,11019,10936,10866,10806,10759,10744,10763,10816,10837,10825,10759,10724,10722,10753,10776,10792,10800,10799,10787,10764,10748,10740,10808,10851,10871,10869,10865,10859,10854,10842,10825,10801,10787,10785,10981,11042,10971,10765,10620,10537,10515,10515,10537,10579,10593,10577,10533,10538,10591,10693,10766,10813,10830,10795,10706,10563,10525,10591,10763,10864,10894,10852,10865,10932,11054,11128,11153,11128,11116,11116,11129,11139,11147,11152,11158,11165,11195,11219,11235,11242,11250,11256,11263,11269,11275
"315","307","          Clothing repair, rental, and alterations","DLGRRX0",7727,7719,7711,7703,7695,7685,7674,7663,7650,7637,7620,7600,7578,7554,7531,7509,7484,7459,7434,7406,7377,7346,7316,7288,7260,7224,7180,7129,7073,7014,6951,6884,6814,6739,6656,6564,6466,6377,6296,6224,6161,6100,6047,6001,5959,5924,5892,5867,5876,5876,5867,5851,5836,5823,5811,5796,5780,5762,5741,5717,5689,5661,5632,5603,5574,5543,5512,5481,5450,5419,5386,5353,5318,5285,5254,5226,5199,5173,5149,5126,5107,5090,5067,5041,5011,4980,4949,4918,4888,4862,4837,4816,4798,4783,4762,4736,4703,4673,4646,4622,4598,4574,4550,4527,4504,4480,4458,4435,4412,4388,4362,4335,4307,4277,4247,4220,4198,4179,4139,4078,3995,3925,3867,3822,3782,3746,3716,3698,3694,3702,3689,3655,3630,3619,3624,3644,3657,3662,3661,3663,3671,3683,3692,3697,3703,3704,3702,3695,3685,3672,3655,3639,3623,3608,3595,3585,3660,3691,3678,3622,3585,3570,3575,3587,3606,3632,3636,3620,3584,3571,3582,3618,3641,3652,3650,3634,3602,3554,3539,3556,3606,3632,3635,3615,3615,3634,3672,3697,3707,3703,3699,3694,3689,3686,3686,3698,3707,3712,3731,3745,3753,3761,3767,3771,3773,3775,3777
"316","308","          Repair and hire of footwear","DSCLRX0",715,716,717,718,718,717,716,715,713,710,707,703,698,694,689,685,680,676,671,667,662,658,654,649,645,641,637,634,631,629,627,626,625,625,625,626,627,627,627,627,626,625,624,623,621,618,615,612,605,599,592,587,582,577,574,570,567,565,563,562,561,560,559,558,556,555,554,552,551,549,548,546,544,542,540,538,536,534,532,530,529,527,524,522,520,518,517,515,514,513,512,511,510,510,510,510,510,510,509,508,507,506,505,503,501,499,496,493,490,487,484,480,477,474,472,469,466,463,461,458,456,453,451,448,446,444,442,440,439,437,436,434,433,432,431,430,430,429,429,429,429,429,429,429,428,427,427,427,427,428,429,430,432,435,437,440,441,442,444,445,446,447,449,450,451,453,455,456,458,459,460,461,462,463,463,463,463,463,463,463,462,461,461,460,460,459,459,459,459,459,459,459,459,459,458,458,458,458,457,457,457,457,457,456,456,456,455
"317","309","      Social services and religious activities (120)","DSOCRX0",98196,98580,98858,98867,99095,99592,99724,100064,100338,100768,101174,101593,101878,102234,102547,103136,103489,103742,103890,104260,104784,105396,106276,106794,107919,108404,108996,109343,109510,109965,110606,111196,111409,111405,111367,111370,111502,111735,112047,112325,112559,112588,112717,113016,113264,113772,114106,114552,114466,114443,114573,114845,115337,115919,116465,116614,116954,117317,117880,118337,118623,118607,118440,118570,119087,119557,120099,120655,121181,120797,120149,119656,119782,120919,121956,122517,122338,121985,121642,121873,122433,123065,123990,124526,124699,124776,124574,124397,124567,124949,125452,125844,126076,126471,126636,126492,126773,127560,128574,129114,129337,129571,129916,130442,130623,131023,131088,130986,130909,131075,131250,131515,131647,131907,132123,132144,132286,132596,132615,132680,132541,132649,132650,132894,132924,132747,132614,132881,133322,133955,134367,134676,135203,135570,135962,135958,135879,135775,135951,136347,137041,137531,137681,137537,136965,136846,137048,137544,137833,137779,137412,136992,137232,137261,137959,138594,139217,139238,138726,137896,137967,138511,138994,139313,139311,139677,140061,140472,140712,140977,141307,141460,141702,142127,142556,142707,142846,142628,142675,142764,143180,143406,143527,143810,144305,144890,145762,146469,147010,147554,147960,149018,149276,149677,149729,149616,149954,150114,149243,148788,148713,148841,148867,149221,149729,150618,150982
"318","310","        Child care","DCHCRX0",26783,26946,27060,27015,26998,27058,26985,26870,26879,26911,27027,27142,27196,27195,27230,27250,27293,27288,27148,27198,27350,27567,27772,27883,27971,28044,28124,28154,28109,28238,28398,28521,28610,28403,28336,28311,28340,28369,28394,28426,28441,28369,28371,28433,28396,28449,28465,28480,28401,28364,28377,28342,28417,28468,28604,28597,28714,28868,28962,28962,28865,28713,28594,28728,28917,28953,29038,28991,29109,28744,28496,28376,28475,28631,28745,28692,28551,28386,28199,28218,28307,28370,28502,28631,28403,28522,28517,28510,28531,28591,28754,28931,29139,29455,29659,29750,29899,30140,30346,30430,30414,30529,30626,30871,30847,30996,30983,30897,30696,30737,30755,30821,30789,30701,30576,30280,30086,29923,29865,29882,29985,30050,30036,30034,29993,29930,29842,29962,30194,30619,30757,30788,30803,30595,30400,30070,29814,29538,29416,29380,29525,29683,29651,29436,29348,29377,29521,29775,29899,29930,29864,29712,29879,29700,29927,29994,29879,29736,29619,29574,29602,29688,29637,29661,29624,29750,29812,29822,29700,29649,29591,29539,29554,29715,29892,30006,30022,29848,29747,29698,29938,29979,29920,29928,29920,29893,29943,29919,29839,29889,29968,30100,30205,30232,30007,29834,29876,29763,29804,29817,29821,29863,29949,30252,30586,30713,30908
"319","311","        Social assistance","DSCWRX0",48704,48999,49253,49456,49812,50276,50481,50898,51209,51677,52007,52387,52702,53119,53476,54055,54343,54609,54934,55378,55843,56326,56990,57490,58489,58974,59548,59919,60194,60596,61111,61610,61854,62160,62365,62536,62741,62984,63264,63524,63814,63994,64127,64319,64511,64874,65101,65378,65440,65518,65664,65929,66317,66780,67160,67325,67516,67696,68071,68500,68921,69120,69202,69259,69563,69919,70345,70900,71316,71371,71119,70927,71072,71971,72796,73376,73422,73338,73253,73448,73886,74403,75080,75399,75714,75698,75533,75354,75411,75640,75930,76143,76173,76217,76127,75842,75920,76377,77080,77480,77698,77826,78051,78360,78646,79007,79215,79251,79424,79593,79763,79972,80151,80491,80821,81074,81340,81684,81775,81861,81810,81936,81986,82176,82269,82209,82242,82460,82751,83114,83394,83570,83856,84342,84981,85531,85839,86040,86285,86663,87165,87492,87683,87763,87412,87306,87339,87468,87554,87552,87461,87448,87720,88097,88562,88962,89349,89404,89123,88634,88760,89117,89419,89496,89323,89305,89513,89968,90577,90923,91169,91059,91160,91476,91976,92123,92187,91981,92085,92339,92752,93070,93278,93449,93815,94259,94889,95480,96034,96495,96767,97605,97696,98037,98352,98464,98834,99259,98555,98227,98104,98425,98512,98640,98710,99390,99413
"320","312","          Homes for the elderly","DELDRX0",9532,9620,9693,9767,9841,9957,10031,10119,10184,10256,10346,10425,10488,10580,10671,10807,10893,10964,11044,11161,11248,11375,11512,11672,11927,12073,12222,12306,12365,12446,12548,12644,12710,12781,12839,12865,12988,13107,13222,13234,13272,13303,13323,13330,13337,13365,13402,13448,13458,13411,13364,13398,13463,13547,13609,13604,13587,13598,13702,13810,13880,13843,13790,13773,13827,13890,13947,14024,14100,14150,14111,14055,14049,14179,14348,14485,14550,14597,14642,14713,14800,14877,15037,15184,15316,15376,15394,15433,15486,15554,15562,15568,15542,15543,15451,15317,15293,15377,15533,15575,15512,15398,15370,15436,15502,15563,15587,15598,15661,15722,15773,15812,15837,15862,15855,15870,15875,15887,15877,15851,15801,15775,15754,15756,15774,15811,15861,15954,16065,16167,16236,16289,16331,16419,16542,16659,16737,16803,16904,17055,17214,17359,17479,17585,17608,17657,17723,17770,17793,17807,17810,17845,17906,17980,18055,18123,18241,18350,18434,18516,18620,18731,18849,18960,19039,19128,19214,19315,19406,19519,19617,19671,19702,19737,19782,19788,19806,19805,19823,19819,19842,19849,19863,19869,19903,19957,20003,20043,20069,20119,20218,20293,20410,20591,20817,20869,20976,21160,21300,21482,21629,21800,21775,21635,21756,21992,21959
"321","313","          Residential mental health and substance abuse","DMENRX0",3300,3328,3352,3371,3403,3446,3484,3522,3555,3587,3620,3651,3676,3709,3737,3776,3800,3820,3855,3891,3917,3946,3978,4009,4075,4114,4159,4194,4223,4265,4313,4354,4383,4426,4467,4509,4529,4555,4572,4602,4627,4641,4654,4672,4690,4710,4706,4703,4775,4859,4928,4990,5056,5120,5168,5193,5221,5251,5306,5363,5412,5416,5409,5409,5447,5499,5554,5620,5685,5737,5753,5757,5794,5890,5988,6048,6057,6046,6024,6019,6023,6026,6028,6005,5985,5962,5937,5926,5927,5939,5953,5975,5987,6008,6012,6011,6074,6169,6280,6349,6388,6411,6440,6485,6533,6586,6623,6647,6685,6722,6747,6773,6801,6836,6859,6870,6887,6903,6910,6919,6914,6918,6913,6925,6939,6955,6980,7017,7053,7086,7105,7122,7164,7222,7281,7332,7351,7359,7370,7406,7446,7482,7474,7445,7383,7359,7350,7349,7339,7330,7324,7306,7301,7288,7318,7353,7418,7434,7423,7387,7410,7455,7506,7521,7517,7515,7524,7546,7553,7566,7583,7612,7641,7666,7693,7720,7756,7801,7849,7905,7954,8006,8054,8115,8168,8215,8254,8297,8343,8377,8455,8435,8433,8516,8571,8575,8648,8638,8671,8657,8737,8793,8868,8833,8891,8946,9057
"322","314","          Individual and family services","DFAMRX0",23185,23288,23388,23461,23601,23738,23834,24021,24147,24295,24374,24513,24629,24793,24941,25215,25325,25447,25604,25789,26001,26135,26459,26653,27103,27306,27555,27738,27874,28052,28279,28498,28599,28737,28806,28861,28884,28939,29011,29126,29232,29273,29280,29349,29435,29600,29656,29701,29590,29596,29699,29757,29864,30008,30147,30235,30335,30424,30575,30770,30976,31079,31119,31091,31169,31298,31501,31719,31786,31554,31212,30932,30984,31406,31802,31940,31822,31661,31571,31672,31969,32378,32821,33063,33276,33316,33293,33239,33325,33484,33719,33871,33938,33972,33997,33946,34062,34312,34639,34833,34981,35108,35221,35348,35471,35698,35825,35821,35709,35658,35644,35756,35843,36035,36306,36533,36771,37018,37175,37234,37273,37331,37404,37503,37572,37596,37583,37658,37782,37937,38021,38001,38095,38301,38611,38911,39112,39222,39348,39533,39761,39865,39906,39907,39699,39626,39615,39674,39726,39760,39795,39824,40037,40306,40616,40872,41369,41480,41323,40822,40762,40899,41009,40882,40599,40417,40534,40896,41485,41768,41904,41777,41823,42106,42541,42736,42759,42535,42586,42792,43101,43360,43524,43561,43721,43943,44254,44783,45392,46087,46106,46589,46156,45978,45913,46195,46489,46854,45927,45470,45060,45232,45487,45814,45920,46153,46117
"323","315","          Vocational rehabilitation services","DVOCRX0",5960,5980,5989,5986,6036,6135,6072,6109,6138,6304,6378,6449,6502,6557,6582,6629,6644,6645,6618,6648,6719,6837,6903,6929,6990,6990,7002,7016,7035,7078,7128,7144,7115,7082,7065,7061,7056,7061,7068,7093,7119,7143,7175,7213,7250,7306,7368,7454,7535,7611,7686,7736,7773,7812,7851,7888,7945,7983,8014,8038,8063,8117,8164,8215,8272,8332,8383,8471,8567,8640,8688,8723,8722,8790,8839,8907,8925,8933,8933,8942,8958,8938,8930,8866,8818,8733,8642,8573,8552,8544,8510,8454,8375,8327,8297,8249,8191,8165,8177,8179,8197,8201,8207,8186,8172,8185,8203,8230,8276,8311,8328,8351,8369,8402,8437,8442,8448,8450,8418,8492,8560,8678,8726,8800,8842,8785,8853,8861,8827,8780,8779,8821,8847,8917,9020,9108,9125,9162,9175,9163,9191,9195,9247,9293,9285,9298,9307,9329,9338,9291,9216,9182,9143,9111,9092,9072,9069,9049,8921,8745,8705,8700,8708,8734,8686,8666,8597,8541,8508,8464,8460,8418,8421,8441,8476,8463,8482,8488,8481,8432,8376,8294,8273,8352,8390,8353,8387,8336,8327,8323,8371,8454,8544,8581,8578,8611,8623,8638,8552,8492,8484,8459,8419,8385,8328,8346,8310
"324","316","          Community food and housing / emergency / other relief services","DCFORX0",2764,2801,2835,2867,2909,2947,2978,3015,3056,3097,3139,3185,3234,3287,3336,3389,3428,3465,3509,3549,3596,3649,3725,3780,3872,3928,3992,4016,4027,4051,4089,4167,4211,4269,4300,4328,4358,4375,4422,4473,4541,4593,4636,4675,4697,4755,4808,4891,4901,4855,4798,4853,4954,5074,5162,5185,5208,5225,5263,5314,5386,5450,5497,5546,5637,5703,5749,5814,5901,6012,6096,6223,6253,6360,6419,6559,6635,6696,6705,6724,6747,6795,6868,6896,6928,6935,6918,6862,6810,6809,6879,6970,7030,7049,7044,6994,6975,7003,7056,7094,7140,7211,7298,7372,7428,7426,7428,7409,7538,7615,7709,7726,7755,7812,7829,7848,7869,7955,7951,7955,7908,7918,7906,7921,7893,7832,7749,7756,7812,7941,8057,8146,8208,8247,8272,8247,8236,8219,8220,8227,8263,8288,8275,8242,8159,8099,8080,8092,8108,8114,8067,8046,8088,8158,8208,8248,7936,7766,7695,7830,7905,7947,7936,7980,8063,8157,8214,8228,8188,8167,8157,8122,8105,8056,8015,7948,7908,7868,7849,7888,7982,8059,8053,8011,8075,8217,8402,8416,8290,8052,8007,8259,8587,8840,8960,8774,8633,8559,8612,8619,8697,8680,8552,8566,8395,8479,8463
"325","317","          Other social assistance, not elsewere classified","DSIARX0",3856,3876,3892,3901,3920,3952,3983,4012,4031,4039,4054,4068,4079,4100,4119,4148,4164,4181,4217,4255,4277,4300,4331,4365,4440,4485,4540,4571,4592,4626,4675,4725,4761,4793,4818,4843,4860,4884,4907,4935,4964,4984,5003,5025,5046,5083,5106,5128,5128,5131,5131,5139,5155,5171,5178,5175,5174,5171,5166,5162,5165,5175,5184,5186,5175,5162,5176,5217,5243,5247,5231,5211,5245,5322,5376,5415,5410,5384,5356,5357,5368,5369,5378,5369,5374,5361,5335,5307,5295,5296,5294,5294,5290,5309,5316,5314,5316,5344,5388,5442,5476,5492,5512,5530,5540,5547,5548,5545,5555,5563,5560,5553,5543,5543,5533,5511,5490,5472,5446,5411,5353,5317,5283,5272,5251,5230,5216,5213,5212,5204,5195,5192,5210,5234,5254,5273,5276,5275,5269,5278,5289,5303,5302,5291,5280,5270,5268,5258,5253,5252,5250,5247,5246,5254,5271,5292,5322,5338,5341,5343,5365,5393,5421,5428,5426,5426,5435,5446,5446,5450,5460,5473,5483,5487,5490,5492,5503,5513,5526,5532,5528,5532,5543,5574,5591,5603,5614,5635,5654,5593,5668,5627,5601,5556,5534,5464,5496,5445,5520,5528,5508,5472,5428,5429,5448,5500,5535
"326","318","        Social advocacy and civic and social organizations","DSADRX0",15839,15798,15736,15597,15492,15473,15475,15499,15466,15407,15395,15348,15289,15241,15182,15176,15220,15228,15187,15079,15014,14962,14995,14923,14952,14898,14851,14817,14768,14724,14721,14715,14630,14528,14374,14261,14190,14178,14207,14213,14156,14085,14092,14148,14240,14332,14421,14568,14473,14389,14344,14363,14372,14411,14420,14384,14397,14408,14473,14464,14380,14277,14117,14045,14058,14114,14128,14148,14131,14024,13866,13687,13581,13659,13747,13764,13669,13554,13469,13475,13495,13526,13624,13699,13754,13717,13667,13652,13714,13769,13783,13749,13705,13699,13703,13699,13693,13730,13789,13805,13796,13773,13791,13773,13701,13617,13521,13515,13519,13529,13562,13591,13607,13640,13668,13741,13819,13951,13943,13912,13730,13655,13627,13687,13671,13623,13549,13485,13412,13269,13269,13374,13630,13758,13754,13589,13504,13510,13584,13658,13722,13743,13751,13761,13650,13623,13657,13770,13860,13801,13624,13406,13237,13105,13133,13313,13622,13705,13580,13286,13196,13275,13474,13653,13823,14042,14132,14071,13833,13794,13918,14196,14306,14254,14028,13925,13981,14131,14184,14098,13899,13797,13788,13895,14034,14200,14386,14527,14604,14647,14707,14805,14869,14907,14883,14862,14808,14673,14473,14341,14392,14165,14018,13929,14019,14108,14245
"327","319","        Religious organizations' services to households","DRELRX0",6451,6438,6425,6412,6399,6385,6371,6356,6340,6323,6304,6284,6264,6244,6225,6207,6191,6176,6163,6151,6140,6130,6121,6113,6105,6096,6087,6077,6065,6053,6040,6026,6012,5996,5978,5960,5942,5923,5905,5890,5876,5864,5853,5844,5836,5830,5825,5821,5820,5819,5820,5821,5825,5831,5840,5849,5860,5871,5884,5897,5911,5923,5933,5942,5950,5956,5960,5963,5963,5962,5959,5953,5946,5937,5929,5922,5916,5910,5904,5899,5894,5890,5884,5880,5875,5873,5874,5878,5885,5895,5909,5925,5945,5967,5992,6021,6052,6078,6099,6115,6126,6132,6134,6130,6122,6108,6089,6065,6034,6007,5983,5962,5945,5931,5920,5913,5910,5909,5912,5917,5926,5932,5936,5937,5936,5932,5927,5919,5909,5896,5880,5861,5810,5763,5718,5677,5639,5605,5574,5547,5524,5505,5488,5474,5454,5434,5414,5395,5377,5358,5342,5325,5310,5294,5279,5265,5294,5321,5347,5371,5394,5416,5436,5456,5474,5491,5506,5518,5530,5538,5546,5551,5554,5555,5555,5553,5549,5542,5534,5523,5510,5498,5487,5477,5470,5463,5458,5455,5454,5453,5454,5456,5456,5457,5458,5458,5459,5460,5461,5463,5465,5466,5468,5469,5470,5470,5471
"328","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1155,1144,1133,1122,1111,1100,1089,1077,1066,1054,1043,1031,1019,1006,993,978,962,946,929,911,892,873,853,832,811,790,769,749,729,710,691,672,654,636,618,601,584,569,556,545,536,528,522,517,514,512,512,512,532,548,561,571,582,594,607,620,633,646,658,671,683,695,706,717,727,736,744,752,758,764,768,771,772,774,779,785,793,803,815,828,844,862,879,898,916,937,958,982,1006,1031,1057,1084,1113,1143,1174,1206,1240,1269,1294,1315,1330,1339,1343,1343,1337,1327,1310,1287,1256,1229,1207,1188,1172,1157,1144,1133,1126,1121,1113,1102,1087,1075,1066,1061,1057,1056,1056,1057,1057,1057,1065,1080,1100,1110,1110,1099,1096,1101,1114,1123,1129,1132,1134,1133,1132,1136,1147,1164,1170,1165,1151,1136,1122,1107,1101,1105,1123,1124,1110,1079,1065,1066,1083,1099,1116,1132,1140,1141,1134,1139,1155,1183,1196,1194,1177,1172,1178,1196,1200,1191,1167,1154,1152,1160,1170,1184,1201,1210,1214,1210,1207,1203,1199,1197,1196,1175,1160,1153,1128,1112,1104,1094,1087,1084,1085,1085,1086
