"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"59",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","38","      Current dollars","A229RC0","1,194","1,185","1,232","1,239","1,272","1,320","1,356","1,353","1,311","1,304","1,299","1,299","1,391","1,389","1,429","1,457","1,500","1,539","1,552","1,562","1,561","1,574","1,610","1,640","1,660","1,678","1,671","1,665","1,675","1,667","1,672","1,694","1,720","1,753","1,784","1,801","1,819","1,841","1,860","1,890","1,904","1,922","1,940","1,929","1,931","1,940","1,972","1,986","2,009","2,041","2,042","2,058","2,069","2,086","2,088","2,087","2,103","2,127","2,154","2,189","2,211","2,235","2,243","2,261","2,279","2,296","2,324","2,361","2,412","2,474","2,506","2,534","2,565","2,600","2,672","2,725","2,767","2,789","2,836","2,883","2,927","2,957","3,003","3,042","3,120","3,197","3,230","3,279","3,311","3,383","3,487","3,545"
"61","39","      Chained (2009) dollars","A229RX0","9,167","9,022","9,211","9,036","9,175","9,424","9,537","9,546","9,318","9,326","9,346","9,356","10,035","9,969","10,051","10,067","10,038","10,221","10,290","10,223","10,176","10,264","10,425","10,601","10,689","10,788","10,688","10,602","10,612","10,579","10,642","10,794","10,924","11,120","11,273","11,350","11,418","11,479","11,484","11,601","11,586","11,620","11,631","11,509","11,379","11,411","11,590","11,678","11,730","11,871","11,805","11,837","11,883","11,915","11,885","11,827","11,895","12,030","12,139","12,320","12,394","12,480","12,497","12,556","12,622","12,699","12,790","12,949","13,162","13,473","13,598","13,703","13,826","13,945","14,279","14,520","14,628","14,627","14,760","14,885","15,070","15,151","15,251","15,318","15,547","15,770","15,766","15,831","15,830","15,968","16,260","16,339"
"62","40","  Population (midperiod, thousands)","B230RC0","143,156","143,803","144,462","145,135","145,761","146,341","146,973","147,659","148,298","148,891","149,529","150,211","150,852","151,385","152,039","152,724","153,336","153,947","154,655","155,389","156,033","156,644","157,324","158,043","158,648","159,234","159,963","160,713","161,389","162,044","162,792","163,585","164,266","164,926","165,674","166,481","167,190","167,869","168,654","169,497","170,218","170,915","171,684","172,463","173,116","173,781","174,535","175,340","176,045","176,727","177,481","178,268","179,694","180,335","181,094","181,915","182,634","183,337","184,103","184,894","185,553","186,203","186,926","187,680","188,299","188,906","189,631","190,362","190,954","191,560","192,256","192,938","193,467","193,994","194,647","195,279","195,763","196,277","196,877","197,481","197,967","198,455","199,012","199,572","199,995","200,452","200,997","201,538","201,955","202,419","202,986","203,584"
"63",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","41","    Disposable personal income, current dollars","A067RP1",".....","-1.3","19.1","4.1","13.0","17.8","13.4","1.0","-10.5","-0.5","0.2","1.9","33.6","0.7","14.2","10.0","13.9","12.8","5.2","4.6","1.5","5.1","11.2","9.6","6.6","6.0","0.3","0.4","4.1","-0.2","2.9","7.4","8.1","9.6","9.3","5.9","5.9","6.7","6.1","8.7","4.9","5.5","5.5","-0.3","1.9","3.4","8.6","4.8","6.3","8.2","1.8","5.2","5.4","4.7","2.3","1.6","4.7","6.2","7.0","8.4","5.7","5.8","3.2","4.8","4.6","4.4","6.5","8.3","10.2","12.2","6.7","6.0","6.1","6.7","13.1","9.6","7.3","4.4","8.2","8.0","7.4","5.1","7.7","6.5","11.6","11.3","5.2","7.4","4.9","9.9","14.2","8.0"
"65","42","    Disposable personal income, chained (2009) dollars","A067RL1",".....","-4.5","10.7","-5.6","8.1","13.1","6.7","2.3","-7.6","2.0","2.6","2.3","34.6","-1.2","5.1","2.5","0.5","9.2","4.6","-0.7","-0.2","5.2","8.3","8.9","5.0","5.3","-1.9","-1.3","2.1","0.4","4.3","7.9","6.7","9.1","7.6","4.7","4.2","3.8","2.1","6.2","1.2","2.8","2.2","-2.4","-3.0","2.7","8.3","5.0","3.4","6.5","-0.5","2.9","4.8","2.5","0.7","-0.2","3.9","6.2","5.4","7.9","3.9","4.3","2.1","3.6","3.5","3.8","4.5","6.7","8.1","11.2","5.3","4.6","4.8","4.6","11.4","8.3","4.0","1.0","5.0","4.7","6.1","3.2","3.8","2.9","7.0","6.8","1.0","2.8","0.8","4.5","8.7","3.2"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Includes actual employer contributions and actuarially imputed employer contributions to reflect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","benefits accrued by defined benefit pension plan participants through service to employers in the current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","from the federal old-age and survivors insurance trust fund and the disability insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","4. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
