"","Table 7#20# Chain-Type Quantity and Price Indexes for Personal C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"89","  Purchased intercity transportation","81","B480RA",7.76,6.36,5.16,4.35,4.36,4.97,5.3,6.73,8,7.35,7.96,8.43,9.85,13.47,20.51,20.83,21.4,19.45,17.32,16.33,14.55,13.43,15.01,15.91,16.05,15.48,16.09,16.68,16.77,15.64,16.23,16.33,16.57,17.51,18.52,21.22,24,27.19,31.42,35.58,40.02,39.93,41.01,46.5,50.84,55.25,53.02,58.16,62.82,65.87,70.9,65.63,59.07,60.26,64.15,69.2,71.78,80.5,84.53,86.65,85.78,84.4,81.84,81.39,82.53,87.81,93.21,100,103.64,110.8,118.05,121.02,114.26
"90","    Railway (s.)","82","BIRRRA",489.06,397.75,313.12,242.75,250.99,294.41,299.98,388.84,440.51,374.14,394.41,411.33,447.86,624.24,1115.52,1103.49,1097.03,880.79,753.4,689.04,558.09,463,516.23,538.05,510.66,465.45,452.53,446.07,406.66,358.11,328.32,312.63,288.54,278.82,266.97,282.33,285.8,299.1,270.57,235.14,211.46,182.81,145.34,172.38,187.4,213.23,176.71,170.15,151.11,126.76,132.63,120.12,112.27,95.15,108.14,115.42,123.35,125.58,131.26,138.54,136.78,133.55,126.9,115.99,112.96,105.33,102.01,100,106.59,108.39,109.79,119.86,123.35
"91","    Bus (s.)","83","BIBURA",19.99,20.93,19.99,18.85,20.93,20.93,26.58,33.62,50.72,57.07,65.42,69.76,93.89,145.74,177.79,187.79,188.92,192.12,174.15,171.7,163.21,154.85,161.14,163.9,159.19,143.04,140.53,139.33,135.06,118.91,111.38,104.11,104.65,106.44,101.83,116.4,127.19,141.61,147.95,146.67,141.11,142.48,137.56,132.48,136.73,144.68,125.89,122.73,116.81,119.25,138.24,149.81,150.11,143.26,120.8,105.78,91.75,70.82,85.69,105.59,89.95,76.22,85.55,86.24,88.03,84.81,93.12,100,103.83,102.1,104.43,74.81,72.5
"92","    Airline (s.)","84","BIAIRA",0.03,0.03,0.03,0.05,0.05,0.08,0.12,0.16,0.16,0.18,0.25,0.4,0.5,0.46,0.46,0.6,1.07,1.71,1.74,1.69,1.91,2.36,3.12,3.71,4.37,4.97,5.9,6.67,7.53,7.59,8.98,9.63,10.16,11.22,12.67,14.89,17.5,20.13,24.7,29.83,35.27,35.36,37.22,43.1,47.31,51.45,50.23,56.11,61.61,65.01,69.15,62.85,55.8,57.54,62.75,69.42,72.18,84.12,87.22,86.32,85.38,83.95,80.82,79.35,81.75,87.38,92.93,100,104.33,112.68,120.97,127.74,120.85
"93","    Other (s.) \20\","85","BTRORA",11.1,7.45,6.07,6.61,4.95,5.69,5.6,6.34,6.34,5.6,5.69,5.39,5.88,4.27,4.95,4.76,5.69,5.22,5.39,4.95,4.68,4.27,4.27,4.27,4.68,4.49,4.68,4.95,4.95,4.95,5.23,5.12,5.58,6.1,6.06,6.54,7.21,9.37,13.18,15.08,17.3,18.55,19.57,22.82,26.76,29.27,29.18,32.58,37.16,40.67,46.89,44.27,40.06,41.73,44.86,45.3,53.35,54.36,59.04,72.74,79.35,84.12,80.64,87.85,81.1,89.19,93.66,100,99.24,103.67,107.71,101.37,92.21
"94","Recreation","86","A539RA",4.05,4.02,3.71,3.03,2.86,3.07,3.26,3.72,3.97,3.83,4.16,4.47,4.94,4.98,4.96,4.91,5.33,7.09,6.98,6.89,6.94,7.72,7.84,8.16,8.53,8.84,9.45,9.89,9.73,9.69,10.47,10.76,11.08,11.86,12.63,13.65,14.84,16.91,17.79,18.97,19.9,20.83,21.4,23.45,25.67,26.8,27.71,29.48,31.16,33.37,35.7,35.85,37.44,38.43,42,46.18,49.34,53.44,57.64,62.45,65.8,68.11,69,72.86,78.74,85.01,92.81,100,107.94,117.86,129.96,140.82,150.04
"95","  Books and maps (d.)","87","BBKSRA",13.32,11.79,11.86,7.47,7.82,8.57,9.51,10.71,12.31,11.02,11.17,11.61,12.49,14.21,16.62,19.88,22.12,24.17,20.16,20.28,20.42,21.64,24.34,23.26,23.5,22.58,23.84,25.82,24.9,24.33,25.48,26.51,27.97,29.5,31.91,37.44,37.54,40.6,39.69,41.02,44.17,52.93,50.87,47.97,48.33,49.57,46.72,41.39,43.13,48.29,51.31,52.68,54.2,53.28,55.7,60.47,59.85,61.76,68.89,72.97,74.49,75.77,74.62,75.95,81.37,88.28,96.03,100,104.27,108.81,121.31,130.62,136.82
"96","  Magazines, newspapers, and sheet music (n.d.)","88","BMAGRA",28.05,27.01,25.47,23.12,23.19,24.3,25.03,26.68,28.09,27.01,28.77,30.36,32.66,35.16,38.36,38.97,41.37,45.39,47.68,48.2,47.77,48.42,49.89,50.66,51.17,51.95,52.26,51.98,50.96,50.04,50.33,50.74,46.72,52.42,53.71,52.52,54.56,62.24,61.85,61.24,62.45,65.08,65.32,68.27,73.63,75.04,70.49,72.34,74.33,82.25,91.82,91.83,90.53,87.99,86.92,91.14,87.44,87.2,90.28,95.39,95.8,98.72,95.23,91.27,93.19,97.42,98.81,100,104.63,109.07,111.79,115.35,116.5
"97","  Nondurable toys and sport supplies (n.d.)","89","BTOYRA",2.63,2.22,2.25,1.91,1.68,1.76,1.88,2.04,2.18,2.2,2.43,2.51,2.98,2.87,2.75,2.68,3.02,4.59,4.8,5.24,5.64,6.76,7.54,7.76,7.66,7.45,8.22,8.56,8.86,9.04,10.11,10.43,11.06,11.83,12.59,13.56,14.58,16.48,17.15,18.44,19.23,19.75,20.48,22.77,25.57,26.96,27.85,30.22,32.48,35.44,37.62,37.28,38.46,39.59,42.08,46.64,49.02,51.99,56.39,59.08,63.44,66.55,69.59,72.57,78.04,85.23,93.7,100,106.11,117.97,134.06,147.25,163.2
"98","  Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (d.)","90","BWHGRA",1.7,1.33,1.29,1,0.9,1.13,1.33,1.76,2.09,2.02,2.24,2.41,2.95,2.56,2.47,2.57,3.09,5.91,6.43,6.33,5.49,5.9,5.6,6.17,6.86,7.5,9.03,10.05,10.75,11.19,12.5,12.13,11.88,12.21,13.06,15.08,17.38,21.53,23.75,26.63,28.15,28.44,29.41,38,42.65,42.11,44.02,47.85,51.35,54.29,59.22,52.38,52.22,50.28,51.18,60.73,62.64,67.75,74.07,77.38,79.81,78.53,75.83,76.24,82.28,87.61,94.85,100,106.24,115.99,128.93,143.2,158.99
"99","  Video and audio goods, including musical instruments, and computer goods (d.)","91","BRADRA",0.29,0.34,0.25,0.19,0.15,0.17,0.18,0.25,0.28,0.26,0.33,0.39,0.46,0.4,0.25,0.18,0.2,0.64,0.65,0.64,0.7,1.01,0.94,1.08,1.23,1.38,1.53,1.56,1.45,1.41,1.6,1.59,1.71,1.87,2.08,2.46,3.03,3.93,4.46,4.83,5.06,5.38,5.58,6.26,7.04,7.39,7.97,8.66,9.22,9.92,10.84,11.27,11.88,12.43,16.17,19.03,22.57,28.16,32.13,36.76,38.97,41.22,45.24,50.43,59.58,71.35,84.11,100,121.29,151.67,190.89,231.82,264.34
"100","    Video and audio goods, including musical instruments (d.)","92","BVAMRA",0.63,0.75,0.55,0.42,0.34,0.37,0.41,0.55,0.62,0.56,0.73,0.85,1.01,0.88,0.56,0.4,0.44,1.41,1.43,1.4,1.53,2.22,2.08,2.38,2.72,3.03,3.36,3.44,3.19,3.11,3.51,3.5,3.75,4.12,4.58,5.42,6.68,8.64,9.82,10.62,11.13,11.85,12.28,13.79,15.5,16.27,17.53,19.06,20.26,21.78,23.73,24.47,25.51,25.34,30.63,36.01,43.31,50.18,56.04,61.56,64.86,66.09,66.45,70.47,76.94,87.18,95.07,100,106.97,119.48,138.7,160.65,175.44
"101","    Computers, peripherals, and software (d.)","93","BCPTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.01,0.04,0.09,0.38,1.15,1.37,1.4,3.37,4.44,6.43,7.03,8.99,14.27,19.1,29.7,42.27,61.92,100,161.8,258.55,385.97,517.71,647.22
"102","  Radio and television repair (s.)","94","BRTVRA",1.34,2.02,2.55,2.9,2.4,2.65,3.36,3.36,3.57,4.03,4.81,5.59,5.9,6.54,8.34,9.65,11.7,15.31,16.16,20.47,22.91,30.3,36.02,38.5,40.72,43.34,44.72,47.51,49.67,51.01,52.24,55.88,59.62,62.25,65.12,66.56,67.72,69.52,71.97,79.38,86.74,94.3,103.21,116.4,123.52,128.09,140.11,143.58,147.71,135.3,130.51,124.33,118.51,113.78,114.3,112.12,120.04,118.13,126.11,132.19,128.32,124.19,110.33,105.11,96.8,95.23,100.39,100,105.37,107.77,106.29,108.34,110.16
"103","  Flowers, seeds, and potted plants (n.d.)","95","BFLORA",8.61,7.56,6.64,6.86,6.44,5.77,5.43,7.46,6.23,8.11,10.71,10.29,12.19,9.5,8.62,9.03,10.22,10.9,10.1,8.63,9.76,10.35,11.16,10.59,12.07,13,11.94,13.68,13.96,13.08,14.59,16.08,15.84,18.21,21,22.17,26.03,28.74,29,30.66,31.26,30.8,31.48,34.23,35.41,37.2,35.78,37.86,35.35,41.66,44.99,45.03,46.58,47.57,49.57,53.79,55.9,61.33,70.23,72.96,77.1,76.9,74.46,78.22,83.49,88.47,89.79,100,105.93,108.78,116.61,117.23,119.95
"104","  Admissions to specified spectator amusements","96","B481RA",52.56,51.88,51.82,40.32,39.73,43.7,46.34,51.38,53.73,52.29,53.37,57.52,60.56,69.8,78.18,72.64,75.92,88.7,82.24,78.22,74.82,71.37,69.15,67.29,64,64.44,65.98,67.78,56.6,50.56,50.06,49.7,48.52,48.55,48.41,47.88,49.76,51.18,50.12,52.9,53.39,53.44,53.8,52.74,50.3,53.89,54.42,53.84,58.71,65.23,65.9,64.99,66.85,70.86,72.8,76.62,73.11,76.32,75.23,78.99,82.4,86.7,86.12,88.17,94.8,95.41,97.2,100,103.57,107.4,108.95,111.24,115.17
"105","    Motion picture theaters (s.)","97","BMOVRA",182.25,187.91,192.78,150.16,149.88,162.96,171.92,189.27,197.79,188.9,190.76,208.32,217.97,261.13,299.13,272.33,279.85,316.42,285.33,267,251.5,239.25,230.87,223.64,209.25,208.72,213.33,217.86,167.19,140.9,131.38,123.57,117.43,111.34,106.97,99.81,103.66,100.9,94.48,98.3,97.83,96.32,96.79,94.86,86.18,98.86,99.27,90.02,98.65,108.31,103.51,89.92,91.11,99.51,95.23,96.35,87.06,86.31,84.97,91.74,100.92,106.79,103.25,96.35,96.9,97.69,98.86,100,105.26,112.9,117.75,113.35,122.78
"106","    Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics) (s.)","98","BLEGRA",21.86,16.67,14.32,11.09,8.74,9.01,9.27,10.3,10.43,11.26,12.55,13.58,14.42,16,18.79,19.38,19.5,22.17,22.81,21.52,21.24,21.41,21.27,21.52,21.39,22.51,23.86,25.53,26.43,26.53,27.53,28.23,25.83,26.4,25.75,25.75,24.32,25.44,26.01,23.73,22.76,21.64,20.5,21.6,22.67,23.92,24.89,28.9,32.22,37.57,40.32,44.92,49.52,49.13,52.91,57.37,62.16,73.28,72.68,75.49,71.04,78.79,77.95,85.64,95.86,97.6,99.58,100,105.05,104.16,100.82,104.67,108.23
"107","    Spectator sports (s.) \21\","99","BSPERA",6.04,5.67,5.1,3.93,4.25,5.41,6.1,7.13,7.64,8.01,8.32,8.14,8.92,7.44,5.55,6.21,8.78,14.76,15.54,16.61,17.1,15.87,15.45,14.94,15.06,15.37,15.37,15.68,16.38,16.61,19.55,22.23,24.7,27.61,30.19,33.05,36.53,40.82,41.87,49.04,51.8,54.38,56.42,53.52,52.14,50.91,51.01,52.3,55.77,60.99,63.87,67.24,66.51,71.88,76.94,82.29,74.06,71.45,69.99,72.32,79.96,78.96,81.17,84.21,91.8,90.97,93.05,100,100.42,106.51,110.97,117.1,116.83
"108","  Clubs and fraternal organizations (s.) \22\","100","BCLURA",29.07,29.42,29.74,27.7,24.62,22.64,22.55,22.23,21.76,21.62,21.41,22.75,22.16,20.9,19.98,20.43,23.02,26.62,25.8,26.21,27.41,26.58,25.68,26.38,26.56,26.97,27.73,28.69,29.71,30.76,32.36,32.16,33.34,33.75,34.93,35.38,35.62,37.58,38.38,39.02,38,36.89,34.45,32.91,34.21,33.72,34.92,35.81,36.13,32.41,33.62,35.03,37.91,43.92,46.06,47.42,55.42,59.43,63.01,64.49,69.62,73.78,77.88,81.65,86.12,89.5,93.54,100,101.86,101.15,104.86,106.67,106.72
"109","  Commercial participant amusements (s.) \23\","101","ACOMRA",5.65,5.56,4.93,3.76,3.62,3.99,4.17,4.7,5.37,4.49,4.99,5.39,5.72,5.65,5.16,5.07,5.3,6.08,6.01,6.03,5.88,6.03,6.11,6,6.04,5.92,6.34,6.91,7.38,7.96,9.22,10.69,11.91,12.8,13.37,13.92,13.98,14.51,15.12,15.38,16.11,16.9,17.77,20.03,22.3,24.21,25.91,27.96,29.73,31.39,32.93,34.19,37.82,38.5,41.03,42.34,44.78,45.71,47.79,53.07,56.16,60.49,60.74,68.58,75.96,84.15,93.36,100,106.67,113.79,121.78,127.63,132.46
"110","  Pari-mutuel net receipts (s.)","102","BPARRA",4.01,3.6,3.6,2.88,3.39,10.12,13.38,15.8,19.15,20.15,19.81,27.8,28.22,27.17,30.72,48.11,54.59,68.47,60.65,51.33,48.32,49.49,54.88,64.12,69.39,67.97,70.27,74.53,75.66,76.16,82.14,85.33,89.16,101.38,103.62,113.17,117.1,114.01,116.97,119.6,120.95,117.52,121.03,121.99,131.75,134.75,132.94,140.19,139.22,140.31,139.32,149.53,144.48,142.77,132.9,127.06,124.28,122.58,122.85,123.03,121.49,118.94,111.7,105.03,99.51,100.07,100.56,100,99.56,114.8,119.39,120.48,120.53
"111","  Other (s.) \24\","103","AREORA",2.31,2.21,1.95,1.6,1.53,1.77,1.93,2.24,2.56,2.24,2.33,2.44,2.74,2.88,2.93,3.04,3.14,3.33,3.31,3.24,3.24,3.34,3.44,3.62,3.96,4.23,4.64,4.93,5.29,5.56,6.24,6.89,7.46,8.08,8.83,9.51,9.9,10.85,11.43,12.66,14.2,15.43,16.42,17.63,20.3,22.28,23.93,26.85,28.94,30.71,32.81,35.16,39.27,42.58,48.06,52.09,57.54,60.33,63.22,69.95,75.66,78.1,77.82,83.42,86.81,88.56,95.37,100,104.47,108.67,113.27,117.73,121.18
"112","Education and research","104","B482RA",9.73,10.09,10.39,9.21,8.63,8.51,8.88,9.36,9.96,10.21,10.29,10.53,10.94,11.85,12.42,11.75,11.38,11.65,13.02,13.72,14.61,15.21,15.54,16.36,17.17,17.95,19.31,20.4,21.9,23.43,24.53,26.04,27.43,29.19,31.08,33.47,36.71,39.99,42.75,46.48,49.15,51.67,53.89,56.26,57.82,56.04,57.34,58.45,58.83,61.69,62.37,62.94,63.79,65.19,67.72,69.73,72.61,75.15,77.83,81.74,85.75,87.93,89.02,91.37,92.76,94.64,97.42,100,102.97,106.81,111.83,115.51,118.44
"113","  Higher education (s.) \25\","105","BHEDRA",8.4,9.27,9.91,9.32,9.01,9.1,9.57,9.87,10,10.12,10.38,10.88,10.86,11.05,11.37,11.45,11.11,12.04,14.56,15.44,16.57,16.91,16.94,17.63,18.49,19.22,20.53,21.97,24.05,26.28,27.2,28.68,30.6,32.34,34.21,37.47,42.5,46.09,48.2,51.27,54.15,58.16,61.48,64.01,66.05,65.24,64.94,65.69,66.78,66.4,68.1,69.67,71.92,75.44,77.21,78.71,80.06,82.05,84.05,85.73,88.61,90.9,92.84,95.08,96.02,97.3,99.24,100,101.19,103.93,108.23,109.29,111.29
"114","  Nursery, elementary, and secondary schools (s.) \26\","106","BEEDRA",10.02,10.92,12.76,10.2,9.34,9.1,9.16,10.41,12.45,13.85,14.08,14.22,14.02,14.19,14.09,14.32,15.29,12.98,13.96,14.66,15.32,16.08,16.75,17.8,18.65,19.75,21.06,22.4,24.04,25.67,27.96,30.44,33.62,36.91,39.75,42.37,44.75,46.61,48.8,52.06,53.99,55.36,57.54,60.37,60.42,58.47,59.29,57.98,56.69,65.16,64.57,66.09,65.55,65.32,69.19,72.23,76.13,78.24,81.78,83.14,88.33,91.31,91.44,93.5,94.53,97.32,99.8,100,102.3,102.19,106.41,108.63,109.13
"115","  Other (s.) \27\","107","BOEDRA",10.38,9.67,8.57,7.46,6.71,6.36,6.75,6.98,7.4,7.14,6.84,6.73,8.11,10.39,11.65,9.46,8.26,9.16,9.02,9.39,10.04,10.84,11.28,12.05,12.7,13.24,14.6,14.91,15.39,15.79,16.15,16.84,16.03,16.51,17.57,18.33,19.34,22.96,26.91,31.75,34.44,35.29,35.6,37.21,39.17,36,40.22,44.1,44.9,47.58,47.76,45.95,45.89,45.4,47.81,49.68,54.2,58.09,61.19,71.63,76.63,77.81,78.08,80.91,83.62,85.99,90.97,100,107.69,117.83,125.25,136.13,143.29
"116","Religious and welfare activities (s.) \28\","108","BRAWRA",8.9,9.46,9.68,9,8.21,7.75,7.6,7.74,7.4,7.85,7.98,8.65,8.71,9.14,10.21,11.55,11.69,11.9,10.57,10.71,10.65,10.82,10.75,12.31,12.77,13.4,13.58,14.77,14.95,15.81,17.43,18.15,18.91,19.54,20.59,23.59,25.04,26.69,29.02,30.49,30.86,32.67,34.7,37.39,37.78,36.1,36.22,38.74,40.12,43.47,44.9,45.47,47.04,49.14,51.97,56.23,59.25,64.08,65.92,70.89,73.6,78.54,79.42,85.24,86.36,92.99,94.49,100,99.15,105.8,107.31,112.34,113.38
"117","Foreign travel and other, net","109"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","  Foreign travel by U.S. residents (s.) \29\","110","BFTRRA",5.95,6.22,5.43,4.94,3.72,3.8,3.99,4.66,5.33,4.57,3.74,1.93,2.17,1.48,1.63,1.88,2.31,3.71,5.04,5.74,6.54,7.14,7.34,8.41,8.83,9.16,10.65,11.57,12.35,13.4,14.48,16.19,16.26,17.46,18.74,19.32,20.8,21.62,25.66,24.3,26.69,30.19,29.83,32.79,32.13,29.45,28.86,30.31,31.34,32.47,31.67,31.03,33.01,37.9,43.7,64.45,71.02,64.28,80.56,83.71,85.76,89.71,82.07,86.3,91.43,96.93,96.06,100,108.4,119.96,123.02,136.53,127.21
"119","  Expenditures abroad by U.S. residents (n.d.)","111","AABDRA",21.24,22.83,27.05,33.26,31.58,27.05,33.26,31.27,30.31,28.24,31.9,28.72,34.53,188.39,303.03,638.52,1136.7,108.28,126.97,156.49,245.51,227.45,339.55,473.12,651.49,621.97,632.47,640.43,635.1,637.01,615.87,596.12,547.15,554.12,534.79,583.05,622.19,707.81,759.18,784.28,809.5,832.39,816.26,739.25,508.09,369.07,264.33,220.49,179.07,173.69,177.41,189.5,236.91,285.89,306.5,331.57,377.93,276.68,251.91,212.84,224.23,198.48,182.83,126.09,127.13,120.46,104.86,100,149.57,161.73,162.91,183.21,201.15
"120","  Less: Expenditures in the United States by nonresidents (s.) \30\","112","BEXFRA",1.77,1.65,1.33,1.01,1.1,1.21,1.4,1.54,1.74,1.82,2.01,1.39,1.24,1.48,1.85,2.18,2.44,3.6,3.63,3.23,3.66,3.85,4.23,4.62,5.03,5.24,5.9,6.43,6.73,6.86,6.82,7.12,7.28,7.19,7.47,8.57,9.39,10.32,10.45,10.98,12.05,13.01,13.84,14.99,17.02,18.33,19.76,22.28,22.37,23.86,25.28,27.69,36.36,33.84,30.57,41.08,40.94,44.84,48.64,56.52,65.68,73,76.7,84.05,87.81,88.46,93.96,100,102.82,100.05,102.28,107.12,97.84
"121","  Less: Personal remittances in kind to nonresidents (n.d.)","113","BREMRA",0,0,0,0,0,0,0,0,0.36,0.36,0,0,0,0,0,0,10.83,87.4,95.8,70.23,43.11,35.96,26.6,26.53,30.66,24.76,20.34,27.05,30.44,25.72,25.97,31.89,30.3,27.26,30.49,33.6,38.59,37.44,50.17,48.77,43.19,50.68,42.18,41.09,45.52,42.48,36.85,33.94,29.56,26.1,31.43,35.45,35.68,33.36,37.57,41.03,58.18,58.07,63.93,74.64,66.83,73.84,77.53,109.76,113.08,109.64,106.82,100,104.26,105.91,121.28,121.43,133.97
"122","Chain-type price indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","      Personal consumption expenditures","114","B002RG",12.38,11.85,10.57,9.32,8.99,9.41,9.63,9.72,10.07,9.84,9.75,9.83,10.43,11.72,12.8,13.53,14.07,15.07,16.62,17.57,17.44,17.66,18.85,19.23,19.5,19.68,19.76,20.16,20.77,21.29,21.63,22,22.23,22.49,22.75,23.07,23.41,24.02,24.62,25.58,26.74,28,29.2,30.22,31.86,35.14,38.01,40.08,42.73,45.78,49.83,55.21,60.08,63.48,66.19,68.63,70.99,72.72,75.49,78.44,81.86,85.63,88.91,91.62,93.81,95.7,97.9,100,101.94,103.03,104.73,107.39,109.56
"124","Food and tobacco","115","A495RG",12.01,11.24,9.35,7.83,7.73,8.58,9.19,9.19,9.48,8.86,8.77,8.85,9.69,11.38,12.92,13.3,13.73,15.2,17.36,18.19,17.57,17.72,19.34,19.81,19.56,19.61,19.36,19.53,20.13,20.87,20.93,21.24,21.43,21.68,22,22.44,22.92,23.91,24.32,25.26,26.5,28.15,29.05,30.37,33.52,38.05,41.04,42.42,45.03,49.04,53.8,58.47,62.93,65.4,67.4,69.78,71.35,73.58,76.18,79,83.28,87.53,90.92,92.42,93.95,95.17,97.26,100,102.37,104.81,108.53,111.73,115.41
"125","  Food purchased for off-premise consumption (n.d.)","116","BOPFRG",13.77,12.93,10.51,8.65,8.74,9.8,10.39,10.37,10.68,9.95,9.89,9.93,10.88,12.95,14.84,15.24,15.68,17.35,19.97,20.98,20.26,20.43,22.5,23.08,22.66,22.71,22.31,22.49,23.17,24.12,23.9,24.13,24.25,24.44,24.71,25.24,25.72,26.81,26.88,27.71,28.95,30.58,31.29,32.74,36.78,42.39,45.57,46.48,49.22,53.81,58.99,64.01,68.58,70.43,71.24,73.31,74.11,75.8,78.11,80.42,84.64,88.78,91.56,92.22,93.46,95.01,97.07,100,101.86,103.2,104.93,107.28,110.37
"126","  Purchased meals and beverages (n.d.) \1\","117","BPMBRG",9.26,8.65,7.42,6.23,6.06,6.58,7.1,7.1,7.35,6.98,6.83,6.92,7.48,8.65,9.71,10.13,10.43,12.02,13.47,14.03,13.6,13.75,14.64,14.97,14.92,15.21,15.3,15.55,16.08,16.46,17.07,17.54,17.9,18.36,18.78,19.07,19.45,20.22,21.37,22.48,23.82,25.57,26.96,27.98,29.95,33.52,36.59,38.97,41.76,45.28,50.04,54.72,59.5,62.63,65.29,68.04,70.77,73.67,76.47,79.62,83.22,87.04,90.42,92.26,93.94,95.48,97.58,100,102.8,105.38,108.02,110.81,114.32
"127","  Food furnished to employees (including military) (n.d.)","118","AFOORG",11.9,11.31,9.42,7.9,7.66,8.5,9.27,9.37,9.72,9.01,8.82,8.72,10,11.67,12.33,12.55,13.07,13.95,16.99,18.49,17.87,19.09,20.6,20.51,19.24,17.97,16.32,15.34,15.59,16.31,16.78,17.23,17.6,18.07,18.49,18.8,19.23,20.12,21.14,22.24,23.61,25.36,26.66,27.73,29.92,33.74,36.88,39.38,42.31,45.96,51.02,56,60.92,64.08,66.76,69.48,72.11,74.81,77.66,80.7,84.31,88.15,90.99,92.66,94.21,95.66,97.7,100,102.71,104.76,107.03,108.31,109.43
"128","  Food produced and consumed on farms (n.d.)","119","BFFDRG",22.3,20.18,15.35,11.87,11.39,13.13,16.8,17.47,18.05,15.25,14.38,14.77,18.53,23.46,28.58,29.06,30.7,32.92,38.13,39.39,34.18,32.34,38.13,37.84,36.4,33.4,32.24,31.67,32.82,35.05,33.1,32.21,32.25,32.82,31.86,30.82,33.99,37.47,36.01,38.05,41.75,42.3,42.92,50.5,66.19,59.07,60.36,62.01,62.24,79.68,95.67,92.03,91.54,94.27,89.32,92.98,87.09,88.4,96.53,98.14,103.41,111.58,107.05,102.89,105.6,97.76,94.64,100,101.06,93.85,95.42,100.88,107.55
"129","  Tobacco products (n.d.)","120","BTOBRG",7.15,6.74,6.86,6.86,6.09,6.29,6.23,6.19,6.35,6.39,6.5,6.68,6.84,7.05,7.5,7.74,8.09,8.35,8.99,9.33,9.54,9.72,10.03,10.48,10.99,11.07,11.17,11.4,11.76,11.99,12.46,12.88,12.98,13.09,13.48,13.8,14.39,15.16,15.73,16.72,17.61,19.09,19.9,20.98,21.57,22.62,24.23,25.26,26.47,27.93,29.55,31.8,34.3,38.07,45.43,48.34,51.12,54.55,58.31,63.5,71.53,78.78,87.85,95.27,98.67,94.71,97.04,100,104.65,117.8,151.81,168.54,181.46
"130","  Addenda: Food excluding alcoholic beverages (n.d.)","121","BFXARG",11.2,10.48,8.56,7.03,7.03,8.01,8.78,8.82,9.13,8.34,8.2,8.22,9.13,10.94,12.56,12.67,13.1,14.81,17.36,18.41,17.64,17.87,19.76,20.06,19.71,19.69,19.37,19.52,20.15,21.02,20.92,21.18,21.36,21.62,21.91,22.38,22.87,23.93,24.23,25.12,26.42,28.07,28.91,30.32,34.07,39.29,42.45,43.85,46.83,51.3,56.56,61.57,66.28,68.51,69.78,72.14,73.48,75.48,78.07,80.69,84.85,88.94,91.12,91.99,93.43,95.07,97.26,100,102.21,104.07,106.1,108.5,111.74
"131","          Alcoholic beverages purchased for off-premise consumption (n.d.)","122","BAOPRG",NA,NA,NA,NA,19.47,18.46,18.05,17.83,18.01,18.19,18.37,18.82,19.98,22.77,25.28,28.47,29.06,30.13,30.99,30.54,30.13,29.42,30.49,32.83,32.29,33.01,32.83,33.14,33.86,34.04,34.35,34.9,35.02,35.18,35.52,35.73,35.94,36.35,36.88,37.71,38.54,39.84,40.99,41.67,42.36,44.99,48.09,49.12,49.88,52.57,56.7,61.44,65.53,68.24,70.81,72.16,73.78,75.87,77.23,79.06,81.48,84.87,94.78,97.4,97.5,97.39,97.68,100,101.59,102.18,104.34,107.54,109.9
