"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"393","380","    Market-based PCE transportation services","DTRSRX0",317464,332782,330532,320820,322948,331523,334702,335529,339008,321283,289695,287109,294311,297989,300187
"394","381","    Market-based PCE recreation services","DRCMRX0",236731,241892,240684,238980,243592,253408,258611,265959,278228,279163,270990,277119,284931,289323,290857
"395","382","    Market-based PCE food services and accommodations","DFSMRX0",499749,522883,521737,529672,549078,571246,591027,609075,616635,610466,584734,594703,618232,641139,660621
"396","383","    Market-based PCE financial services and insurance","DFIMRX0",88117,112025,109906,114073,113909,116044,119813,125132,129227,126295,125608,118153,117074,112219,111905
"397","384","    Market-based PCE other services","DOTMRX0",665499,706605,721844,721783,736353,750351,760639,779252,807808,813354,785090,797233,817287,834150,833893
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRX0",130000,148854,156788,159277,163635,171940,178902,191338,210646,221555,217855,227029,241171,254072,261941
"400","386","      Market-based PCE education","DTEDRX0",213808,221295,225384,220307,218826,214333,214202,216368,219462,220463,219859,224950,228704,231034,231899
"401","387","      Market-based PCE professional services","DPRMRX0",147618,149200,153499,154363,160189,159930,159928,160796,162771,159375,149038,146226,144472,144158,142167
"402","388","      Market-based PCE personal care and clothing services","DPERRX0",103186,108250,107667,109297,112492,117265,119506,120756,120383,117746,109887,112549,114901,117362,111552
"403","389","      Market-based PCE child care","DCHCRX0",26973,27364,28268,28411,28590,28794,28476,28897,30581,30426,30183,29859,29726,29926,29054
"404","390","      Market-based PCE household maintenance","DHMMRX0",59810,61776,58993,57174,58506,61584,62044,62365,64077,63679,58268,56665,58855,58832,59106
"405","391","Market-based PCE food and energy","DPMFRX0",1165555,1183893,1190709,1200949,1223330,1244990,1277096,1292268,1306249,1276998,1269197,1289939,1289248,1288913,1309669
"406","392","Market-based PCE excluding food","DMXFRX0",6243969,6558334,6736377,6933502,7156109,7439518,7700401,7915678,8107037,8066687,7935939,8093951,8317230,8522747,8719589
"407","393","Market-based PCE excluding energy","DPMERX0",6423410,6748715,6936809,7128256,7359574,7652720,7936340,8182303,8381714,8353444,8205870,8376319,8627579,8857275,9056402
"408","394","Market-based PCE excluding food and energy","DPCXRX0",5759383,6067126,6245198,6432748,6647477,6923632,7179494,7402342,7590867,7571962,7436306,7590198,7829063,8048586,8236643
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
