"","Table 3#17# Selected Government Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"139","126","General public service","G17126",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.7,0.9,0.8,1.1,1.3,1.7,1.3,1.4,1.5,1.9,2.5,3.2,3.2,3,3.4,3.6,4,4.2,4.3,4.4,4.9,5.4,6.4,6.8,7.2,8.4,10,10.5,10.7,11.5,12.8,14.1,15.2,17.7,19.6,22.3,23.3,22
"140","127","Public order and safety","G17127",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.8,1,1.2,1.3,1.5,1.6,1.8,2.1,2.3,2.5,2.7,3.1,3.8,4.5,5,5.6,6.7,7.5,7.4,6.8,6.6,7.4,8.1,8.5,9.4,9.6,10,10.2,10.8
"141","128","Economic affairs","G17128",3.2,3.6,4.4,4.7,5.5,6.1,6.8,7.3,7.1,7.7,8.1,9.2,9.5,10.4,11.3,12.1,13,13.2,14,14.5,14.7,15,17.6,18.7,18.6,19,22.4,26.7,29.4,30.7,30.2,31.8,35.8,40.2,42.7,43.9,46.3,47.1,52.3,52.9,53.7,56.8,60.4,61,63.2,70.2,73.7,81.2,85.4,89
"142","129","Housing and community services","G17129",1.5,1.5,1.4,1.5,1.7,1.9,2.1,2.1,2.2,2.4,2.7,2.5,3,3.2,3.2,3.4,4.1,4,4.1,4.4,4.4,5,6.3,7.3,7.7,7.5,9.2,10.4,12.7,12.3,12,11.3,12.9,14.2,16,18.1,18.7,19.2,21,21.6,21.8,20.6,20,21.2,22.4,23.4,22.1,21.7,19.7,21.1
"143","130","Health","G17130",0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.8,1,1,1.4,1.4,1.4,1.8,1.9,2.2,2.1,2.2,2.5,2.9,3,3.3,3.2,3.5,3.8,4,4.4,4.7,5.3,5.8,6.1,6.6,7.2,7.1,7.5,8,8.4,9.4,10,10.4,11
"144","131","Recreation and culture","G17131",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,1,1.3,1.3,1.2,1.3,1.5,1.6,1.6,1.7,1.7,1.8,2,2.3,2.5,2.8,3.1,3.6,3.5,3.3,3.3,3.3,3.9,4.3,5.5,5.5,5.9,5.7,6.1
"145","132","Education","G17132",1.9,2,2.4,2.8,3,3.3,3.3,3.1,3.3,3.6,3.6,4.2,4.7,5.3,6.5,7.2,7.4,7.3,7.1,7.1,7.2,8.3,9.4,9.7,9.4,8.5,9.1,10.1,11.1,10.8,10.7,11,12.7,14.7,16.7,17.4,20.5,24.3,26.4,29.3,30.8,29.5,32.4,38.9,41.1,47.5,49.7,58.7,67.7,74.6
"146","133","Income security","G17133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.5,1.6
"147",NA,"        Capital transfers paid"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","134","      Federal \4\","G17134",0.5,0.6,0.6,0.7,0.8,1.3,2.3,3.1,2.6,2.9,3.1,3.6,4.1,4,4.4,4.3,6,5.9,5.3,5.9,6,6,7.9,9.7,10.6,11.1,11.9,14.4,16.6,15.6,14.6,15.5,17.7,19.4,20,19,19.6,20.1,28.1,26.3,22.4,24.4,25.8,27.6,28.1,29,28.8,36.1,36.1,40.8
"149","135","General public service \5\","AD10RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,7.2,5.1,0.1,0.7,1.1,0.4,0,0.2,0,4.2,0,0
"150","136","Economic affairs","G17136",0.5,0.6,0.6,0.7,0.8,1.3,2.3,3.1,2.6,2.9,3.1,3.6,4.1,4,4.3,4.1,4.6,4.3,4.9,5.3,5.3,5.1,5.9,7.2,7.6,7.7,8.7,10.4,12.3,11.8,11.2,12.7,14.9,16.5,17,16.2,17.2,17.6,18.5,18.8,20.2,21.7,22.8,24.6,25.6,26.2,26.2,29.1,32.8,37.4
"151","137","  Transportation","G17137",0.5,0.6,0.6,0.7,0.8,1.3,2.3,3.1,2.6,2.9,3.1,3.6,4.1,4,4.3,4.1,4.6,4.3,4.9,5.3,5.3,5.1,5.9,7.2,7.6,7.7,8.7,10.4,12.3,11.8,11.2,12.7,14.9,16.5,17,16.2,17.2,17.6,18.5,18.8,20.2,21.7,22.8,24.6,25.6,26.2,26.2,29.1,32.8,37.4
"152","138","    Highways \6\","G17138",0.5,0.5,0.6,0.7,0.8,1.3,2.3,3,2.5,2.7,2.9,3.4,3.9,3.8,4.1,3.9,4.3,4,4.5,4.9,4.6,4.3,4.7,5.7,6.1,5.9,6.3,7.9,9.4,8.6,8,9.2,11.2,13.2,13.5,12.9,13.9,13.7,14.1,14.2,15.6,16.8,18.5,19.3,20,20.7,20.7,23.4,25.6,28.1
"153","139","    Air \6\","G17139",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.4,0.6,0.5,0.6,0.4,0.3,0.6,0.7,0.8,0.9,0.8,0.8,1.1,1.3,1.6,1.8,1.8,1.6,1.7,1.6,1.5,1.5,1.5,1.7,2.3
"154","140","    Water \7\","AD12RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","141","    Transit and railroad \6\","G17141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.9,1.1,1.2,1.6,1.7,2.1,2.7,2.6,2.9,3,2.5,2.6,2.5,2.4,2.7,3.1,3,2.8,3.2,2.7,3.6,3.9,4,3.9,4.2,5.6,7
"156","142","Housing and community services \6\","G17142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.8,2,2.5,3,3.5,3.2,4,4.3,3.8,3.4,2.8,2.8,2.9,3,2.7,2.4,2.3,2.3,2.4,2.2,2.1,2,2.5,2.6,2.6,2.6,2.8,3.3,3.4
"157","143","Health \6\","G17143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159"," 1. Equals consumption expenditures, transfer payments,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","net interest paid, less dividends received by government, subsidies less current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","surplus of government enterprises, less ``wage accruals less disbursements'';",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","for Federal Government, also includes grants-in-aid to State and local governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Government, Federal Government, and State and local government current expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","are shown separately in tables 3.1, 3.2, and 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165"," 2. Federal grants-in-aid to State and local governments are included in Federal current expenditures;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","because the grants are transactions between levels of government, they are eliminated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","in the consolidation of the government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168"," 3. Consists of publicly owned liquor store systems, government-administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","lotteries and parimutuels, and other commercial activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170"," 4. No State and local government capital transfers have been identified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171"," 5. Consists of forgiveness of debts owed by foreign governments to the U.S. Government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172"," 6. Consists of Federal Government investment grants to State and local governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173"," 7. Consists of maritime construction subsidies paid to business by the Federal Government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
