"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRA3",21.86,21.792,21.897,22.643,22.61,23.857,24.475,25.906,25.883,27.194,27.884,26.493,27.315,29.17,31.052,29.701,29.401,30.748,32.269,35.662,37.327,37.869,39.884,39.086,41.31,43.459,45.57,49.072,51.259,52.128,55.122,55.53,54.204,55.58,57.518,61.092,63.161,66.678,68.793,73.501,79.512,83.307,83.565,84.886,89.284,93.753,98.322,104.214,108.309,106.578,100,103.911,109.295,111.91,112.073
"115","108","        Clothing materials","DCSMRA3",42.625,41.683,42.277,44.514,44.348,41.417,43.583,44.704,40.075,40.57,39.145,38.278,47.376,56.089,59.628,60.489,54.19,63.472,64.85,68.774,66.123,67.759,66.657,68.987,70.845,75.128,76.251,81.341,90.139,89.372,90.832,85.185,85.236,84.659,85.357,82.986,74.056,75.847,76.802,85.657,97.037,105.245,110.056,120.434,120.171,119.325,116.097,111.873,107.064,104.003,100,100.764,99.887,102.582,113.246
"116","109","        Standard clothing issued to military personnel","DMICRA3",30.204,28.196,32.379,40.431,37.345,37,43.521,92.927,106.874,109.828,90.208,80.946,58.243,33.936,40.714,41.63,47.615,47.351,45.761,42.784,50.413,51.172,41.922,44.692,50.2,45.374,38.194,41.226,40.963,41.289,42.782,36.815,41.877,62.563,66.498,66.363,66.18,65.711,71.926,69.681,65.668,72.538,77.513,86.773,107.545,76.03,80.354,89.569,96.77,95.316,100,89.293,78.471,74.138,82.417
"117","110","        Shoes and other footwear","DSHURA3",20.386,20.406,20.441,21.019,21.019,22.633,23.09,24.211,24.446,25.82,26.816,25.427,25.773,27.285,29.023,27.481,27.588,28.366,29.923,33.325,35.243,35.709,38.003,36.97,39.196,41.245,43.489,46.885,48.622,49.611,52.726,53.607,52.137,53.517,55.528,59.541,62.414,66.092,68.264,72.743,78.472,81.949,81.861,82.501,87.091,92.216,97.313,103.839,108.476,106.826,100,104.222,110.136,112.8,112.22
"118","111","    Gasoline and other energy goods","DGOERA3",50.6,51.407,51.067,52.725,54.549,57.458,60.194,63.48,65.108,67.858,70.806,73.51,76.076,79.933,84.526,77.646,79.451,83.706,85.208,86.581,84.082,76.648,75.654,75.778,77.446,79.539,81.078,85.202,86.83,89.302,90.729,89.102,88.379,91.908,94.212,95.719,97.505,99.047,101.046,103.877,106.264,103.492,103.393,104.198,104.309,105.199,104.744,104.545,104.337,99.614,100,99.199,96.739,95.419,95.7
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",36.789,38.049,38.441,40.072,41.302,43.563,45.621,48.468,50.042,53.527,57.126,60.662,63.6,66.192,69.633,66.204,68.175,70.903,73.075,74.76,73.757,69.546,70.6,71.48,73.077,75.372,76.853,80.587,82.745,84.972,86.874,86.146,85.265,88.754,90.977,92.108,93.717,95.703,98.608,101.779,103.863,102.138,102.089,102.636,102.667,104.089,104.908,105.284,104.969,100.838,100,99.855,98.154,97.502,97.994
"120","113","        Gasoline and other motor fuel","DGASRA3",36.953,38.211,38.64,40.292,41.542,43.846,45.898,48.764,50.358,53.893,57.526,61.124,64.127,66.758,70.163,66.518,68.498,71.222,73.058,74.627,73.174,68.84,69.78,70.985,72.557,74.67,76.3,80.335,82.495,84.618,86.447,85.473,84.501,87.644,89.786,90.944,92.819,94.99,98.136,101.034,103.553,101.671,101.799,102.414,102.205,103.552,104.012,104.374,104.069,100.195,100,99.438,97.236,96.606,97.117
"121","114","        Lubricants and fluids","DLUBRA3",28.531,29.869,28.571,29.218,29.547,29.944,32.138,34.039,34.742,36.031,38.031,38.96,39.23,40.158,44.729,50.464,51.995,54.836,72.773,79.858,102.151,106.178,114.848,94.172,97.054,109.967,102.598,90.8,92.78,99.908,105.255,117.365,121.386,142.433,148.76,148.504,136.962,129.814,120.587,136.506,118.784,125.279,115.569,112.711,124.736,130.415,153.76,154.996,154.063,133.783,100,118.772,143.11,141.303,140.679
"122","115","      Fuel oil and other fuels (29)","DFULRA3",286.163,275.67,259.459,259.508,271.89,285.096,299.052,307.519,308.103,291.132,276.024,257.294,249.271,274.712,297.694,233.46,231.818,258.999,249.918,246.532,222.832,170.625,142.355,133.018,135.658,135.255,137.591,146.872,141.546,147.284,142.257,128.569,129.935,133.979,137.363,144.145,148.424,143.615,133.144,131.336,137.909,121.105,120.362,124.456,125.591,119.762,103.886,97.043,98.072,86.963,100,92.122,81.496,72.946,70.924
"123","116","        Fuel oil","DOILRA3",304.535,293.049,275.842,276.661,288.893,303.817,319.974,330.368,332.82,313.512,295.578,273.574,264.776,292.56,317.001,246.988,248.861,278.331,269.099,265.241,239.515,182.754,152.046,141.805,144.57,143.994,146.407,156.394,150.103,154.433,147.833,132.34,132.46,136.688,139.364,145.551,148.886,142.643,133.467,132.84,137.33,119.093,120.237,124.747,125.17,118.592,101.463,95.05,96.751,83.34,100,91.085,78.709,68.906,68.076
"124","117","        Other fuels","DLPFRA3",151.139,147.989,139.083,133.16,146.976,147.396,145.172,139.47,126.303,126.541,132.257,137.438,135.071,143.481,155.726,133.644,107.213,117.747,109.897,109.939,101.12,82.809,72.765,70.284,72.073,72.99,74.822,79.076,80.62,96.87,103.587,103.529,114.545,117.321,125.975,137.238,148.441,154.114,133.709,123.541,144.331,138.103,122.336,123.405,129.795,129.702,124.486,113.817,108.658,120.366,100,100.959,107.39,113.205,97.323
"125","118","    Other nondurable goods","DONGRA3",18.246,19.109,20.102,21.517,22.498,23.496,24.916,26.897,27.689,28.809,29.601,30.587,30.717,32.205,34.386,34.266,33.153,34.549,35.091,37.574,39.751,40.447,41.362,41.214,42.261,44.567,45.764,46.798,48.527,49.64,51.302,52.606,52.318,53.374,55.314,58.112,60.487,63.169,66.643,70.151,74.41,78.131,80.579,82.998,87.15,90.963,94.073,98.67,101.349,101.738,100,102.31,105.822,108.709,112.57
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",5.72,6.285,7.087,7.888,8.522,8.787,9.176,9.553,10.274,11.341,12.288,13.934,14.585,15.882,17.15,18.048,18.132,18.684,18.661,20.012,21.756,22.691,23.224,23.195,24.379,25.598,26.416,27.591,28.912,30.385,32.185,34.052,34.818,35.194,36.356,37.956,40.558,43.415,47.506,53.554,60.015,65.669,71.382,75.622,80.88,84.41,86.235,92.176,96.524,98.172,100,100.486,102.691,104.249,109.56
"127","120","        Pharmaceutical products","DPNPRA3",5.635,6.171,6.968,7.758,8.485,8.712,9.087,9.438,10.246,11.297,12.23,13.844,14.481,15.803,17.059,17.859,17.947,18.545,18.507,19.838,21.6,22.573,23.16,23.155,24.329,25.523,26.317,27.477,28.787,30.255,32.03,33.879,34.635,35.033,36.227,37.872,40.543,43.469,47.63,53.683,60.16,65.813,71.563,75.817,81.059,84.52,86.277,92.179,96.466,98.113,100,100.402,102.572,104.077,109.383
"128","121","          Prescription drugs","DRXDRA3",3.784,4.153,4.734,5.323,5.857,6.133,6.531,6.918,7.702,8.761,9.616,11.085,11.907,13.234,14.26,14.93,15.125,15.587,15.5,16.452,17.81,18.563,19.061,19.034,20.122,21.15,21.785,22.735,23.816,25.533,27.51,29.388,30.408,31.381,32.939,34.826,37.727,41.009,45.846,52.786,59.753,66.078,72.594,76.759,82.047,85.167,86.074,92.023,96.132,97.557,100,99.75,101.274,102.451,107.892
"129","122","          Nonprescription drugs","DNRDRA3",14.551,15.883,17.69,19.409,21.043,20.981,21.199,21.343,22.225,23.225,24.523,26.831,26.649,28.016,30.356,31.776,31.428,32.641,32.798,35.807,39.398,41.366,42.385,42.463,44.14,46.149,47.674,49.82,52.205,52.75,53.802,55.64,55.224,52.902,52.364,52.84,54.394,55.563,56.354,57.916,61.78,63.715,65.079,69.834,74.783,80.387,87.713,93.296,98.797,101.967,100,105.048,112.057,116.106,120.308
"130","123","        Other medical products","DOMPRA3",9.947,11.953,13.013,14.405,10.427,12.599,13.688,15.329,11.785,13.675,15.356,18.546,19.909,20.036,21.877,27.466,27.343,25.787,26.449,28.787,29.704,28.818,26.721,25.502,27.193,29.767,31.858,33.857,35.767,37.517,40.644,43.588,44.931,43.948,43.036,41.817,39.985,38.554,38.169,43.642,48.919,54.532,57.54,60.759,67.136,75.906,83.006,92.052,101.387,103.084,100,107.796,113.066,119.617,125.225
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRA3",6.069,6.504,6.807,7.35,7.983,8.732,9.612,10.735,11.098,11.815,12.192,12.647,12.996,13.939,15.518,16.557,16.724,18.107,18.885,20.388,21.607,21.678,22.58,23.14,24.646,26.563,28.038,29.079,31.216,32.792,35.005,36.86,37.954,40.068,42.527,45.337,47.699,49.932,52.624,56.869,63.026,68.057,70.784,75.203,79.479,83.845,91.751,97.442,102.575,103.161,100,106.591,112.484,121.657,127.426
"132","125","        Games, toys, and hobbies","DDOLRA3",3.628,3.769,4.016,4.317,4.624,5.021,5.339,5.997,6.183,6.292,6.117,5.866,5.651,5.989,6.871,7.395,7.728,8.56,9.363,10.144,10.851,10.589,11.04,11.493,12.261,13.412,14.097,14.884,15.983,16.996,18.688,20.138,21.76,23.052,24.505,26.571,28.993,30.488,32.47,36.526,41.971,47.214,50.766,56.389,61.586,66.606,74.615,80.761,87.841,95.745,100,111.67,122.722,137.279,151.176
"133","126","        Pets and related products","DPRPRA3",6.968,7.956,8.334,8.475,8.962,11.146,12.269,13.364,13.907,14.637,15.292,17.466,18.212,18.525,22.058,24.781,25.209,27.984,30.097,30.444,31.269,32.662,34.268,34.276,36.385,37.527,40.365,38.806,40.249,42.17,43.37,46.169,45.873,48.48,52.129,56.245,59.769,61.162,63.473,66.428,70.793,75.262,78.343,82.015,86.899,91.45,98.043,102.744,108.842,106.398,100,104.087,108.257,113.783,117.725
"134","127","        Flowers, seeds, and potted plants","DFLORA3",9.369,10.33,10.178,11.695,13.489,14.239,16.722,18.459,18.629,19.85,20.5,20.447,21.09,23.012,23.829,24.872,23.844,25.096,23.51,27.733,30.23,30.537,31.884,32.739,34.475,37.993,39.969,44.417,50.559,53.701,58.755,60.836,61.625,66.041,70.692,73.826,73.91,80.19,86.12,90.556,98.864,101.705,100.91,101.787,101.867,103.801,114.042,121.041,121.649,111.797,100,101.793,101.815,109.476,106.056
"135","128","        Film and photographic supplies","DFLMRA3",33.478,35.072,37.886,41.103,43.889,42.896,47.503,55.841,60.735,78.132,95.704,112.433,131.721,153.769,159.452,156.497,154.079,154.041,151.599,164.212,172.703,169.591,171.404,177.237,194.464,214.751,219.357,225.929,229.813,224.701,218.987,209.501,199.813,193.558,185.134,180.791,170.651,160.095,148.427,154.282,166.563,174.439,167.765,168.397,168.835,169.059,155.787,141.556,119.158,113.361,100,101.043,101.572,93.888,89.422
"136","129","      Household supplies (parts of 32 and 36)","DHOURA3",20.546,21.615,23.663,25.935,27.303,29.819,32.077,34.896,35.781,37.195,37.688,37.831,36.963,38.646,42.204,40.224,36.413,36.719,37.055,39.952,43.059,44.239,45.253,45.295,46.751,49.762,50.868,53.131,53.78,55.863,56.62,57.658,57.897,60.794,64.519,69.311,71.782,75.015,78.535,80,83.485,84.237,84.748,86.727,92.793,97.164,100.861,103.864,105.53,104.736,100,104.112,108.485,112.398,118.541
"137","130","        Household cleaning products","DCLERA3",28.868,31.228,35.489,39.183,41.401,44.929,47.571,51.055,52.764,56.605,60.914,64.597,65.212,69.588,73.727,69.183,60.294,57.811,56.694,61.367,66.573,68.506,68.865,69.317,71.263,76.729,79.644,82.437,83.499,84.717,82.594,81.745,77.888,78.385,83.759,89.899,93.707,97.748,101.121,101.425,103.642,103.29,102.935,103.608,106.653,109.144,110.682,109.55,107.347,106.087,100,102.639,105.076,106.433,110.191
"138","131","        Household paper products","DPAPRA3",26.24,28.598,31.512,34.499,36.619,39.853,44.725,49.769,50.324,50.241,49.157,47.486,43.924,44.774,52.259,51.727,46.534,48.005,49.671,53.696,58.79,62.106,64.758,66.021,67.091,68.616,67.572,68.353,67.638,71.735,74.4,77.831,81.159,85.421,89.533,94.308,93.625,93.666,97.53,99.703,105.353,103.599,105.698,109.505,113.16,112.304,113.24,111.791,110.298,106.581,100,100.649,102.199,100.946,101.187
"139","132","        Household linens","DLINRA3",10.818,10.993,11.503,12.553,13.005,14.303,15.256,16.556,16.947,17.458,16.728,16.114,15.702,16.271,17.496,16.204,15.563,15.893,16.379,17.118,17.815,18.082,18.921,18.345,19.051,20.529,21.248,23.121,23.625,24.872,26.213,27.249,28.577,31.341,33.403,36.455,39.29,42.78,45.62,47.475,50.2,53.012,53.666,56.046,65.277,73.562,80.422,90.223,98.658,101.546,100,109.289,118.771,131.265,146.148
"140","133","        Sewing items","DSEWRA3",16.811,17.204,18.074,19.707,20.274,22.255,23.732,25.573,25.726,25.34,22.54,20.173,18.3,18.201,20.423,22.12,24.424,27.697,30.423,33.758,36.404,37.056,38.616,39.317,41.517,43.389,42.685,43.273,43.852,44.577,45.991,45.198,46.447,50.516,54.488,60.502,61.881,66.13,73.915,80.101,88.295,93.259,95.043,101.441,104.743,106.656,107.705,106.93,106.573,104.419,100,100.633,100.119,103.52,113.254
"141","134","        Miscellaneous household products","DMHPRA3",16.758,16.027,17.373,18.649,20.443,22.711,24.491,27.229,28.349,29.623,31.248,30.506,29.053,29.798,34.701,35.268,32.161,37.363,36.952,42.153,45.945,43.86,42.547,42.088,46.116,51.76,53.954,58.122,61.013,64.334,64.648,65.071,63.593,68.903,72.794,78.937,79.786,83.679,87.104,86.187,89.308,88.031,85.502,82.852,89.814,97.846,103.354,106.694,106.262,103.951,100,106.404,113.666,121.972,135.215
"142","135","      Personal care products (part of 118)","DOPCRA3",11.013,12.164,13.392,14.584,15.543,16.711,18.184,20.34,21.654,22.884,23.433,24.3,24.644,25.83,28.059,28.257,27.728,28.885,30.989,32.871,34.365,34.638,34.72,33.913,35.369,37.964,39.7,41.429,43.694,44.907,46.186,47.368,47.021,47.262,49.466,52.29,55.277,58.705,61.815,64.685,68.596,71.967,73.911,76.242,81.57,87.013,92.298,97.554,101.342,103.107,100,105.658,111.672,115.257,118.611
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRA3",8.614,9.712,10.33,11.293,12.848,13.727,14.834,16.487,17.715,18.228,18.723,19.605,19.668,19.566,20.224,20.045,18.593,19.325,21.274,22.505,23.802,24.021,23.748,23.333,24.296,25.924,26.964,27.956,29.008,30.919,32.876,35.292,37.019,37.978,41.2,44.879,48.499,53.041,57.721,61.564,66.546,69.882,72.811,75.162,80.585,86.056,91.063,95.912,99.926,102.14,100,105.29,111.947,115.5,118.579
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRA3",15.572,16.849,19.169,20.787,20.742,22.452,24.59,27.681,29.212,31.756,32.438,33.303,34.172,37.677,42.71,43.576,44.666,46.621,49.153,52.255,54.168,54.561,55.296,53.779,56.131,60.487,63.47,66.516,70.96,70.915,70.955,69.891,65.818,64.754,65.162,66.572,68.549,70.161,70.695,71.632,73.433,76.444,76.363,78.031,82.943,88.116,93.525,99.358,102.874,104.235,100,106.153,111.044,114.524,117.973
"145","138","        Electric appliances for personal care","DEAPRA3",6.278,7.131,7.66,8.45,9.6,10.252,11.212,12.519,13.265,13.477,13.699,14.39,14.266,13.945,14.468,14.288,13.015,13.423,14.266,14.998,15.763,15.803,15.511,15.126,15.95,17.277,18.246,19.215,20.231,21.779,23.429,25.406,26.885,27.79,30.297,32.901,35.4,38.526,42.005,47.843,55.272,61.684,67.568,74.521,81.851,88.997,96.427,101.772,105.142,105.028,100,105.824,113.754,118.567,124.253
"146","139","      Tobacco (127)","DTOBRA3",138.331,140.348,144.699,145.166,146.329,144.17,147.954,147.954,149.284,148.224,146.258,148.721,149.909,152.853,161.514,164,163.605,174.853,168.743,172.164,170.78,172.539,175.102,167.939,159.316,159.126,158.569,155.105,155.849,143.935,142.016,136.876,126.993,132.56,129.819,131.444,133.362,135.248,135.627,130.725,121.969,119.063,116.895,111.227,109.893,112.73,111.556,113.973,111.223,107.365,100,96.299,94.873,93.276,88.88
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",41.748,42.419,40.173,44.14,45.437,44.994,46.691,53.362,52.649,53.457,56.474,57.032,54.875,58.536,62.217,58.371,56.121,58.588,61.14,69.51,76.45,77.106,77.317,76.442,77.054,81.75,81.812,83.388,87.913,93.605,96.748,100.345,97.757,95.342,97.505,101.204,100.94,101.106,103.097,104.208,107.871,111.849,107.507,105.749,105.896,108.507,108.93,109.332,105.419,104.384,100,107.064,115.29,119.67,125.003
"148","141","        Newspapers and periodicals","DMAGRA3",57.188,57.357,52.513,58.631,59.073,55.688,57.626,65.741,65.094,64.179,65.813,68.18,67.813,71.663,77.355,75.358,72.281,76.655,79.777,90.08,101.254,100.836,99.672,98.399,97.655,101.73,99.06,99.241,101.946,107.314,107.612,111.981,105.45,99.499,102.323,107.358,109.052,111.711,117.13,117.002,118.872,121.684,118.904,117.391,115.387,115.522,114.213,112.794,106.054,105.4,100,109.132,119.356,123.466,127.925
"149","142","        Stationery and miscellaneous printed materials","DSTYRA3",25.303,26.274,26.265,28.134,29.985,32.056,33.407,38.282,37.571,39.817,43.837,42.711,39.011,42.269,43.781,38.484,37.158,37.688,39.529,45.513,48.021,49.656,51.198,50.763,52.701,57.815,60.67,63.637,69.942,75.809,81.973,84.618,86.53,88.257,89.595,91.624,89.001,86.14,83.996,86.523,92.216,97.535,91.313,89.27,92.235,98.255,101.171,104.231,104.436,102.848,100,103.832,108.899,113.73,120.658
"150","143","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","144","        Expenditures abroad by U.S. residents","DABDRA3",222.593,215.455,197.754,200.273,193.287,210.731,224.878,255.821,274.389,283.462,292.575,300.849,295.019,267.184,183.639,133.393,95.538,79.69,64.722,62.775,64.119,68.49,85.625,103.327,110.778,119.837,136.593,100,91.049,76.925,81.042,71.736,66.081,45.574,49.498,50.217,46.647,47.485,75.349,81.501,82.176,92.534,99.417,105.836,99.846,92.104,86.947,86.899,85.976,88.273,100,108.835,104.201,99.901,101.319
"152","145","          Government employees' expenditures abroad","DARTRA3",230.494,222.786,203.812,206.464,198.996,217.584,232.709,265.601,285.447,295.063,304.797,313.869,307.705,277.675,190.141,137.709,98.064,81.31,66.372,64.224,65.783,70.79,88.843,108.285,116.13,125.714,143.625,105.041,95.691,80.331,84.062,73.883,67.533,46.207,50.329,51.187,47.653,48.602,77.253,83.565,84.253,94.875,101.931,108.517,101.933,93.586,87.903,87.397,85.979,88.273,100,108.835,104.2,99.9,101.319
"153","146","          Private employees' expenditures abroad","DARSRA3",105.577,106.894,108.06,108.599,108.751,109.251,108.894,110.948,110.568,111.594,111.502,107.965,107.064,111.773,87.315,69.455,58.142,55.726,40.298,41.344,39.491,34.435,37.983,29.88,31.5,32.79,32.412,25.332,22.281,26.484,36.307,39.928,44.556,36.2,37.177,35.842,31.746,30.929,47.141,50.906,51.396,57.84,62.166,66.098,68.905,70.137,72.782,79.518,85.926,88.267,100,108.842,104.208,99.908,101.323
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRA3",16.064,19.726,18.738,16.862,18.86,20.782,23.87,23.16,31.034,30.168,26.715,31.35,26.092,25.416,28.155,26.275,22.795,20.991,18.286,16.145,19.439,21.925,22.067,20.636,23.24,25.376,35.987,35.919,39.544,46.182,41.346,45.68,47.966,67.915,65.68,59.545,53.972,46.753,44.772,45.503,52.098,52.178,57.583,57.781,65.925,70.327,77.007,88.053,97.996,109.469,100,154.277,102.734,93.153,104.536
"155","148","Services","DSERRA3",17.74,18.434,19.113,20.018,20.869,22.11,23.337,24.489,25.49,26.835,28.028,29.131,30.14,31.873,33.385,34.03,35.31,36.83,38.356,40.131,41.357,42.024,42.754,43.608,45.878,47.65,50.154,51.77,54.097,56.531,58.329,60.083,61.064,63.534,65.49,67.503,69.524,71.563,73.85,77.251,80.439,84.454,86.331,87.892,89.783,92.62,95.559,98.123,100.089,100.845,100,101.244,103.411,105.09,106.37
"156","149","  Household consumption expenditures (for services)","DHCERA3",18.826,19.515,20.242,21.211,22.118,23.397,24.697,25.93,26.985,28.41,29.706,30.852,31.896,33.737,35.382,36.108,37.505,39.097,40.747,42.633,43.931,44.59,45.272,45.963,48.203,49.881,52.461,53.988,56.358,58.715,60.371,61.847,62.613,64.82,66.707,68.635,70.648,72.655,75.255,78.597,81.744,85.725,87.433,88.717,90.472,93.377,96.465,98.688,100.64,100.921,100,101.262,103.51,105.039,106.47
"157","150","    Housing and utilities","DHUTRA3",20.435,21.527,22.585,23.892,25.008,26.221,27.609,28.871,30.171,31.684,33.425,34.708,36.203,38.139,39.922,41.809,43.149,44.37,45.605,47.775,49.472,51.179,51.939,52.339,53.438,55.23,57.409,58.783,60.397,62.455,64.016,65.224,66.638,67.991,69.838,72.123,74.318,76.036,77.663,80.056,82.428,85.089,87.35,87.923,89.101,91.33,95.076,96.927,97.862,98.889,100,101.237,102.521,103.328,104.232
"158","151","      Housing","DHSGRA3",19.11,20.104,21.088,22.262,23.263,24.372,25.693,26.855,28.048,29.452,31.052,32.196,33.701,35.466,37.229,39.219,40.34,41.482,42.505,44.627,46.441,48.099,49.213,49.57,50.497,52.463,54.62,56.258,57.684,59.493,60.992,62.595,63.962,65.669,67.144,69.529,71.876,73.395,75.32,77.792,80.299,82.967,85.745,86.073,87.19,89.75,93.844,96.36,97.215,98.716,100,101.079,102.855,104.2,104.674
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",24.684,25.773,27.114,28.609,30.034,31.608,33.346,34.839,36.298,38.514,40.481,41.953,43.883,45.98,48.201,49.409,50.404,51.593,52.522,53.444,54.011,55.448,57.185,58.592,59.913,62.555,67.304,70.022,70.933,71.919,72.389,74.675,75.284,76.251,76.75,78.032,80.759,81.011,81.76,83.212,84.41,85.186,86.786,86.149,83.491,83.839,85.307,88.021,93.039,95.619,100,103.46,109.871,114.476,116.54
"160","153","          Tenant-occupied mobile homes","DTMHRA3",3.549,3.825,4.383,5.272,6.537,8.004,9.934,12.063,14.564,17.848,21.872,25.78,28.099,33.244,39.281,45.821,54.069,58.809,61.148,63.407,70.948,68.329,67.493,72.06,77.736,77.902,78.452,81.43,84.647,87.465,89.894,101.552,109.586,120.581,124.956,132.694,140.64,138.868,136.368,129.921,122.393,129.462,145.503,152.87,154.418,153.943,150.501,135.552,121.225,105.926,100,115.069,114.164,114.353,113.508
"161","154","          Tenant-occupied stationary homes","DTSPRA3",24.87,25.986,27.38,28.925,30.385,31.993,33.762,35.27,36.738,39.001,40.995,42.481,44.49,46.606,48.79,49.851,50.633,51.773,52.683,53.531,53.903,55.408,57.222,58.581,59.875,62.706,67.736,70.562,71.424,72.36,72.682,74.819,75.277,76.032,76.445,77.615,80.199,80.399,81.134,82.695,84.002,84.562,85.82,84.953,82.057,82.316,83.817,86.838,92.326,95.294,100,103.337,110.018,114.851,117.035
"162","155","          Tenant landlord durables","DTLDRA3",29.955,30.691,30.945,31.346,31.841,32.496,33.232,33.914,34.542,34.836,34.93,34.649,34.195,34.061,35.238,37.578,40.533,41.148,41.804,44.037,46.217,47.902,48.824,49.841,49.547,48.249,47.367,46.899,47.888,49.266,52.716,54.04,54.856,56.31,57.073,57.964,61.787,64.604,67.567,70.317,73.42,77.326,81.171,83.307,86.642,91.298,95.358,99.488,100.411,101.151,100,98.885,99.287,97.157,96.284
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",16.447,17.439,18.333,19.445,20.348,21.328,22.54,23.618,24.721,25.906,27.409,28.485,29.915,31.635,33.314,35.551,36.716,37.874,38.965,41.5,43.731,45.501,46.475,46.549,47.402,49.205,50.653,52.01,53.605,55.671,57.478,58.894,60.492,62.45,64.23,66.968,69.239,71.131,73.388,76.146,79.028,82.078,85.246,85.866,88.067,91.312,96.236,98.738,98.391,99.606,100,100.395,100.825,101.214,101.213
"164","157","          Owner-occupied mobile homes","DOMHRA3",10.285,11.091,11.803,12.926,14.478,16.776,19.534,22.305,25.298,29.331,34.343,38.413,42.853,51.368,62.353,73.285,74.222,71.226,74.688,81.162,82.978,80.962,92.066,92.555,96.681,100.732,104.761,106.317,108.058,110.49,112.457,113.957,121.065,124.375,122.986,123.156,122.85,125.698,128.626,129.726,130.486,136.242,156.401,154.833,150.171,146.425,141.189,125.65,111.203,102.563,100,95.723,96.345,96.709,95.492
"165","158","          Owner-occupied stationary homes","DOSTRA3",16.586,17.582,18.48,19.592,20.48,21.431,22.608,23.648,24.709,25.829,27.253,28.261,29.624,31.19,32.66,34.701,35.872,37.123,38.16,40.607,42.847,44.703,45.449,45.513,46.293,48.045,49.434,50.787,52.379,54.437,56.24,57.654,59.129,61.056,62.907,65.703,68.032,69.902,72.145,74.939,77.869,80.859,83.644,84.313,86.669,90.071,95.224,98.132,98.103,99.539,100,100.501,100.926,101.316,101.341
"166","159","        Rental value of farm dwellings (22)","DFARRA3",72.166,72.342,72.831,73.174,73.54,74.013,74.3,74.77,75.324,75.801,76.182,76.356,76.536,76.859,76.902,77.841,78.263,78.636,79.473,80.102,80.013,80.301,80.099,79.642,79.263,78.953,78.624,78.445,78.601,78.261,78.452,78.794,78.82,78.709,78.43,78.784,78.872,79.264,81.646,84.202,86.591,101.2,100.521,100.459,101.206,100.711,100.791,100.749,100.634,100.38,100,99.634,99.04,98.472,98.424
"167","160","        Group housing (23)","DGRHRA3",184.529,172.358,167.106,152.7,141.582,150.363,160.841,165.477,194.1,203.881,225.807,225.404,216.103,208.832,208.336,221.097,231.906,224.66,193.141,162.655,146.696,127.263,113.493,108.471,88.735,90.12,81.615,72.094,68.978,74.883,80.99,87.453,91.501,80.216,83.615,82.482,86.098,92.457,90.771,95.303,95.872,95.227,91.277,82.908,86.274,86.481,86.658,90.286,97.017,98.233,100,101.642,108.392,122.268,127.745
"168","161","      Household utilities","DUTLRA3",27.951,29.639,31.125,33.256,35.094,36.931,38.668,40.522,42.467,44.614,47.211,49.388,50.626,53.603,55.351,56.385,59.05,60.718,63.181,65.613,66.638,68.637,67.56,68.187,70.177,71.209,73.588,73.642,76.308,79.79,81.715,80.643,82.335,81.646,85.636,87.357,88.664,91.559,91.407,93.302,94.779,97.361,96.408,98.507,100.06,100.22,101.885,99.985,101.365,99.828,100,102.098,100.719,98.587,101.864
"169","162","        Water supply and sanitation (25)","DWRSRA3",25.331,27.81,29.128,31.029,33.951,35.439,36.973,37.365,37.602,38.97,41.669,44.265,45.033,48.94,51.386,53.703,54.323,53.731,53.841,54.474,58.092,60.742,60.41,60.006,62.219,66.434,71.126,75.54,78.778,80.749,83.761,84.089,82.875,81.318,85.214,89.059,92.394,95.399,97.502,99.068,102.219,103.248,104.212,105.247,105.236,103.061,102.144,104.062,102.851,102.653,100,98.751,98.863,98.052,96.961
