"","Table 2#3#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","2","P1TDGG B Durable goods","P1TDGG3",45.513,45.531,45.587,45.637,45.716,45.808,45.828,45.602,45.68,45.647,45.687,45.703,45.603,45.674,45.524,45.58,45.567,45.428,45.435,45.442,45.234,45.194,45.502,45.15,45.26,45.271,45.315,45.417,45.531,45.602,45.638,45.719,45.853,45.804,45.57,45.638,45.586,45.654,45.743,45.757,45.767,45.812,45.847,45.872,45.922,45.692,45.713,45.693,45.62,45.712,45.769,45.785,45.814,45.929,45.894,45.869,46.185,46.19,46.12,46.097,46.19,46.291,46.23,46.218,46.161,46.153,46.185,46.114,46.083,45.959,46.041,46.079,46.085,46.062,46.047,45.975,46.017,45.634,45.591,45.632,45.622,45.234,45.227,45.527,45.143,45.318,45.308,45.404,45.413,45.447,45.576,45.608,45.624,45.671,45.717,45.974,45.704,45.629,45.658,45.797,45.908,45.975,46.25,46.437,46.604,46.865,47.008,46.896,47.116,47.216,47.331,47.419,47.522,47.602,47.741,47.888,48.099,48.26,48.45,48.345,48.394,48.579,48.815,48.892,48.939,49.062,49.139,49.229,49.239,49.452,49.538,49.523,49.515,49.605,49.676,49.714,49.783,49.842,49.996,50.14,50.333,50.697,51.086,51.39,51.688,51.876,51.938,52.101,52.228,52.34,52.465,52.051,51.712,51.681,51.72,51.904,52.165,52.214,52.301,52.479,52.526,52.566,52.663,52.784,52.909,52.537,52.559,52.668,52.69,52.852,52.957,53.136,53.248,53.31,53.424,53.503,53.536,53.546,53.671,53.743,53.928,54.127,54.446,54.812,55.387,56.262,57.034,57.598,58.279,59.053,59.424,59.763,59.849,60.323,60.922,61.485,61.5,61.646,61.938,62.216,62.545,62.86,63.137,63.708
"12","3","P1TAPG B   Motor vehicles and parts","P1TAPG3",31.059,31.099,31.183,31.217,31.319,31.44,31.479,31.117,31.23,31.197,31.266,31.271,31.052,31.099,30.82,30.882,30.847,30.647,30.623,30.635,30.304,30.242,30.717,30.158,30.341,30.379,30.444,30.595,30.752,30.87,30.965,31.085,31.335,31.274,30.928,31.061,31.005,31.101,31.228,31.283,31.325,31.419,31.469,31.54,31.637,31.287,31.319,31.304,31.206,31.334,31.421,31.441,31.472,31.633,31.574,31.538,31.912,31.891,31.728,31.712,31.825,31.944,31.863,31.862,31.798,31.824,31.894,31.817,31.803,31.626,31.772,31.874,31.895,31.855,31.858,31.813,31.893,31.324,31.341,31.496,31.534,31.057,31.109,31.634,31.042,31.266,31.231,31.341,31.336,31.352,31.47,31.431,31.395,31.414,31.394,31.699,31.192,31.115,31.168,31.321,31.439,31.48,31.852,32.065,32.268,32.594,32.729,32.408,32.545,32.57,32.618,32.671,32.757,32.8,32.886,32.976,33.131,33.256,33.437,33.154,33.124,33.303,33.563,33.565,33.438,33.556,33.573,33.666,33.581,33.817,33.915,33.875,33.843,33.847,33.917,33.948,34.036,34.13,34.309,34.5,34.75,35.25,35.55,35.994,36.348,36.54,36.554,36.637,36.745,36.808,36.924,36.185,35.671,35.664,35.707,35.865,36.182,36.259,36.358,36.501,36.569,36.564,36.622,36.755,36.857,36.227,36.193,36.261,36.252,36.421,36.492,36.682,36.74,36.735,36.792,36.849,36.774,36.727,36.805,36.792,36.763,36.834,37.008,37.274,37.863,38.736,39.501,39.877,40.452,41.154,41.338,41.549,41.296,41.73,42.459,42.595,42.472,42.666,42.884,43.174,43.479,43.738,43.888,44.53
"13","4","P1FURG B   Furniture and household equipment","P1FURG3",82.654,82.64,82.694,82.837,82.895,82.949,82.929,82.981,82.968,82.923,82.913,82.951,83.045,83.177,83.334,83.376,83.36,83.292,83.372,83.364,83.453,83.444,83.327,83.355,83.28,83.233,83.256,83.259,83.28,83.286,83.177,83.175,83.065,83.004,82.935,82.841,82.769,82.761,82.755,82.645,82.561,82.492,82.447,82.353,82.285,82.304,82.292,82.248,82.255,82.236,82.157,82.152,82.14,82.109,82.116,82.108,82.316,82.316,82.459,82.424,82.384,82.38,82.306,82.286,82.235,82.158,82.034,81.957,81.853,81.81,81.726,81.634,81.581,81.585,81.495,81.384,81.332,81.373,81.185,80.953,80.818,80.62,80.483,80.341,80.344,80.384,80.419,80.539,80.58,80.697,80.841,80.997,81.096,81.212,81.4,81.651,81.816,81.642,81.597,81.684,81.737,81.801,81.942,82.173,82.325,82.443,82.585,82.782,83.265,83.542,83.877,84.119,84.247,84.44,84.607,84.798,85.068,85.27,85.461,85.646,85.814,85.995,86.201,86.49,86.743,86.855,87.076,87.179,87.435,87.631,87.71,87.789,87.88,88.089,88.085,88.37,88.426,88.425,88.53,88.549,88.59,88.747,89.109,89.304,89.328,89.533,89.504,89.777,89.919,90.087,90.174,90.431,90.423,90.339,90.337,90.643,90.684,90.701,90.824,90.885,90.961,91.078,91.274,91.275,91.454,91.589,91.71,91.938,91.99,92.076,92.246,92.302,92.604,92.83,93.003,93.042,93.28,93.398,93.61,93.785,94.327,94.842,95.543,96.282,96.997,97.921,98.958,100.29,101.21,102.334,103.141,103.834,104.45,105.148,105.608,106.295,106.718,106.78,107.216,107.427,107.951,108.455,109.027,109.162
"14","5","P1TODG B   Other","P1TODG3",33.325,33.303,33.246,33.227,33.221,33.231,33.228,33.238,33.266,33.256,33.253,33.281,33.355,33.417,33.451,33.451,33.526,33.57,33.594,33.591,33.614,33.63,33.669,33.698,33.728,33.705,33.684,33.721,33.77,33.745,33.755,33.781,33.796,33.803,33.823,33.846,33.87,33.91,33.946,33.952,33.965,33.947,34.009,34.016,34.036,34.024,34.04,34.039,33.999,34.044,34.13,34.153,34.217,34.275,34.302,34.307,34.397,34.509,34.559,34.539,34.685,34.814,34.875,34.838,34.817,34.772,34.848,34.838,34.848,34.864,34.879,34.859,34.859,34.868,34.887,34.811,34.808,34.745,34.702,34.634,34.578,34.463,34.386,34.319,34.349,34.449,34.488,34.462,34.477,34.465,34.576,34.669,34.758,34.8,34.87,34.909,34.941,35.012,35.055,35.173,35.3,35.442,35.47,35.464,35.494,35.656,35.795,35.975,36.081,36.181,36.215,36.203,36.294,36.334,36.57,36.807,37.06,37.233,37.387,37.572,37.739,37.875,37.98,38.035,38.404,38.514,38.588,38.624,38.669,38.732,38.757,38.724,38.694,38.887,39.027,38.773,38.767,38.753,38.815,38.9,39.02,39.147,39.703,39.716,39.997,40.036,40.304,40.537,40.644,40.795,40.937,40.963,40.995,40.96,41.022,41.085,41.323,41.3,41.28,41.638,41.566,41.657,41.738,41.912,42.006,42.102,42.211,42.28,42.37,42.517,42.624,42.816,42.849,42.93,43.114,43.273,43.412,43.469,43.591,43.766,44.095,44.237,44.447,44.592,44.837,45.464,45.767,45.864,46.406,46.839,47.155,47.386,47.754,48.014,48.327,49.725,49.658,49.765,50.042,50.3,50.42,50.615,50.867,51.531
"15","6","P1TNDG B Nondurable goods","P1TNDG3",22.642,22.655,22.642,22.677,22.676,22.729,22.768,22.81,22.868,22.917,22.894,22.902,22.887,22.901,22.945,23.07,23.056,23.056,23.097,23.144,23.156,23.192,23.26,23.301,23.296,23.315,23.271,23.189,23.179,23.147,23.218,23.229,23.238,23.213,23.225,23.205,23.233,23.329,23.349,23.397,23.378,23.363,23.312,23.364,23.59,23.557,23.553,23.515,23.595,23.626,23.563,23.539,23.576,23.655,23.737,23.786,23.711,23.759,23.806,23.842,23.919,23.925,23.935,23.939,23.915,23.955,23.985,23.973,24.029,24.05,24.084,24.12,24.157,24.149,24.21,24.272,24.335,24.536,24.546,24.528,24.51,24.553,24.59,24.69,24.781,24.93,25.047,25.12,25.126,25.178,25.209,25.364,25.451,25.493,25.525,25.56,25.56,25.592,25.592,25.611,25.656,25.752,25.856,25.945,26.006,26.048,26.156,26.187,26.315,26.426,26.485,26.567,26.684,26.76,26.839,26.966,27.047,27.176,27.267,27.306,27.417,27.453,27.567,27.719,27.843,28.045,28.18,28.25,28.404,28.466,28.618,28.787,28.905,29.055,29.077,29.289,29.364,29.398,29.505,29.543,29.669,29.786,29.837,29.92,29.9,29.936,30.01,30.124,30.236,30.376,30.41,30.545,30.608,30.655,30.69,30.821,30.936,31.1,31.104,31.126,31.189,31.202,31.327,31.409,31.63,31.71,31.818,31.924,32.128,32.39,32.797,33.132,33.368,33.63,33.704,34.425,34.539,34.867,35.338,35.745,36.301,36.98,37.591,37.872,38.263,38.51,38.774,39.301,39.753,40.023,40.357,40.7,40.898,41.014,41.009,41.059,41.159,41.423,41.89,42.128,42.217,42.494,42.687,42.84
"16","7","P1TFDG B   Food","P1TFDG3",19.965,19.927,19.901,19.885,19.875,19.933,19.983,19.932,20.015,20.019,19.974,19.976,19.981,19.987,20.068,20.229,20.227,20.206,20.221,20.227,20.242,20.333,20.39,20.467,20.456,20.485,20.458,20.442,20.374,20.317,20.374,20.348,20.352,20.355,20.347,20.376,20.446,20.541,20.592,20.604,20.592,20.603,20.573,20.621,20.788,20.768,20.793,20.711,20.851,20.893,20.83,20.765,20.784,20.931,20.984,20.991,20.953,20.954,21.033,21.068,21.197,21.203,21.227,21.242,21.224,21.3,21.349,21.343,21.427,21.458,21.469,21.484,21.473,21.435,21.507,21.572,21.646,21.923,21.935,21.871,21.847,21.872,21.918,22.034,22.148,22.387,22.553,22.632,22.584,22.634,22.6,22.84,22.904,22.924,22.907,22.91,22.847,22.851,22.824,22.785,22.828,22.965,23.064,23.151,23.154,23.208,23.276,23.316,23.424,23.53,23.578,23.65,23.746,23.785,23.86,23.963,24.066,24.203,24.27,24.298,24.386,24.384,24.458,24.601,24.752,24.996,25.144,25.237,25.411,25.471,25.669,25.867,26.03,26.184,26.252,26.394,26.508,26.527,26.606,26.683,26.791,26.864,26.849,26.902,26.798,26.876,27,27.182,27.297,27.465,27.511,27.588,27.609,27.654,27.725,27.901,28.064,28.328,28.317,28.349,28.389,28.44,28.578,28.7,28.882,28.966,29.091,29.217,29.535,29.882,30.454,30.844,31.166,31.429,31.507,32.725,32.884,33.125,33.533,33.82,34.236,34.899,35.354,35.475,35.734,35.855,35.963,36.512,37.128,37.471,37.863,38.319,38.527,38.581,38.473,38.396,38.464,38.719,39.17,39.425,39.479,39.801,40.037,40.204
"17","8","P1TCSG B   Clothing and shoes","P1TCSG3",48.892,48.874,48.906,48.986,49.041,49.092,49.111,49.317,49.351,49.358,49.332,49.371,49.304,49.541,49.588,49.764,49.745,49.707,49.791,49.946,50.031,50.025,49.958,50.075,50.002,50.103,50.101,49.914,50.021,49.971,50.162,50.212,50.272,50.192,50.197,50.182,49.851,49.91,50.237,50.135,50.118,50.27,50.316,50.134,50.799,50.7,50.451,50.267,50.479,50.576,50.609,50.691,50.622,50.717,50.816,50.845,50.785,50.912,51.034,51.069,51.112,51.096,51.096,51.17,51.201,51.187,51.209,51.115,51.047,50.946,51.118,51.262,51.362,51.362,51.285,51.395,51.477,51.665,51.739,51.993,51.802,51.868,51.994,52.109,52.271,52.39,52.502,52.677,52.809,52.988,53.288,53.245,53.512,53.674,53.853,54.143,54.339,54.532,54.761,54.892,55.044,55.247,55.523,55.676,55.824,56.005,56.215,56.465,56.724,57.08,57.344,57.746,58.065,58.401,58.688,59.053,59.383,59.624,59.824,60.115,60.511,60.701,60.935,61.183,61.484,61.789,62.251,62.143,62.586,62.771,63.114,63.307,63.462,63.722,63.667,63.857,64.035,64.293,64.452,64.578,64.932,65.166,65.475,65.72,65.82,65.976,65.968,66.143,66.492,66.643,66.85,66.537,66.825,66.893,66.983,67.128,67.414,67.552,67.627,67.725,67.844,67.832,67.916,67.559,68.174,68.473,68.639,68.952,69.019,69.101,69.628,70.045,70.257,70.578,70.511,70.743,70.96,71.197,71.403,71.671,71.99,72.755,73.471,74.069,74.643,75.196,75.66,77.109,77.168,77.389,77.769,77.761,77.736,77.847,77.887,77.869,77.935,77.898,78.396,78.728,78.451,78.673,78.914,79.079
"18","9","P1GFOG B   Gasoline, fuel oil, and other energy goods","P1GFOG3",16.529,16.841,16.823,16.979,16.916,16.88,16.819,17.104,17.001,17.357,17.368,17.369,17.231,17.158,17.051,17.151,17.07,17.205,17.375,17.578,17.535,17.399,17.642,17.537,17.568,17.53,17.317,16.893,17.053,17.108,17.271,17.455,17.488,17.327,17.435,17.166,17.22,17.438,17.106,17.476,17.431,17.213,16.945,17.218,17.73,17.624,17.605,17.795,17.595,17.587,17.381,17.308,17.416,17.142,17.435,17.707,17.333,17.498,17.418,17.489,17.438,17.439,17.379,17.301,17.214,17.215,17.194,17.187,17.248,17.331,17.384,17.495,17.662,17.691,17.801,17.855,17.856,17.965,17.928,17.911,17.972,18.106,18.078,18.16,18.161,18.106,18.126,18.127,18.217,18.191,18.301,18.357,18.521,18.576,18.656,18.685,18.772,18.796,18.741,18.909,18.908,18.907,18.931,18.941,19.135,18.97,19.215,19,19.165,19.221,19.183,19.073,19.185,19.245,19.262,19.441,19.328,19.385,19.494,19.33,19.504,19.563,19.815,19.987,19.948,20.065,19.951,19.973,19.943,19.944,19.829,19.962,19.888,19.963,19.67,20.344,20.227,20.069,20.224,19.972,20.126,20.405,20.484,20.623,20.701,20.464,20.369,20.133,20.148,20.228,20.068,20.751,20.83,20.887,20.741,20.798,20.599,20.527,20.528,20.361,20.506,20.326,20.526,20.784,21.16,21.198,21.307,21.289,21.342,21.641,21.732,22.068,22.246,22.708,22.73,22.797,22.703,23.727,25.002,26.352,28.155,29.623,31.351,31.898,32.61,32.738,32.96,32.885,32.826,32.514,32.407,32.398,32.524,32.504,32.634,32.697,33.068,33.724,34.818,35.146,35.476,35.808,35.811,35.774
"19","10","P1GAOG B     Gasoline and oil","P1GAOG3",17.853,18.317,18.241,18.473,18.395,18.395,18.318,18.78,18.628,19.169,19.169,19.169,18.937,18.859,18.781,18.861,18.783,18.938,19.17,19.477,19.402,19.172,19.556,19.404,19.403,19.251,18.944,18.329,18.563,18.641,18.875,19.107,19.186,18.956,19.11,18.726,18.803,19.113,18.651,19.192,19.115,18.806,18.417,18.802,19.496,19.347,19.272,19.503,19.27,19.27,18.963,18.809,18.964,18.577,18.962,19.349,18.81,19.046,18.894,19.048,18.973,18.973,18.897,18.897,18.743,18.744,18.745,18.745,18.823,18.9,18.978,19.056,19.289,19.29,19.445,19.522,19.522,19.677,19.676,19.601,19.678,19.755,19.756,19.833,19.834,19.757,19.758,19.759,19.838,19.838,19.993,20.072,20.304,20.381,20.459,20.461,20.539,20.539,20.464,20.697,20.698,20.699,20.7,20.701,20.935,20.704,21.015,20.708,20.94,21.018,20.943,20.79,20.868,20.946,20.947,21.18,21.027,21.104,21.261,21.03,21.264,21.343,21.654,21.885,21.81,21.965,21.813,21.814,21.738,21.739,21.587,21.741,21.664,21.742,21.358,22.207,22.054,21.824,21.98,21.596,21.753,22.064,22.143,22.299,22.375,22.068,21.914,21.608,21.609,21.688,21.459,22.312,22.39,22.467,22.315,22.392,22.163,22.088,22.089,21.857,22.013,21.782,22.015,22.325,22.789,22.867,23.021,23.021,23.096,23.249,23.325,23.709,23.864,24.33,24.337,24.337,24.182,25.251,26.412,27.579,29.152,30.791,32.966,33.444,34.144,34.152,34.233,34.006,33.858,33.401,33.246,33.318,33.535,33.53,33.68,33.68,34.064,34.835,36.064,36.372,36.681,36.988,36.991,36.919
"20","11","P1FULG B     Fuel oil and coal","P1FULG3",11.051,11.072,11.155,11.151,11.127,11.04,11.016,10.954,10.955,10.928,10.954,10.952,11.006,10.949,10.814,10.929,10.857,10.934,10.956,10.933,10.957,11.018,10.96,10.958,11.041,11.221,11.222,11.224,11.221,11.222,11.226,11.283,11.222,11.223,11.224,11.224,11.224,11.224,11.2,11.174,11.2,11.2,11.222,11.223,11.283,11.283,11.383,11.462,11.36,11.34,11.357,11.454,11.454,11.453,11.517,11.516,11.521,11.52,11.603,11.503,11.503,11.503,11.486,11.264,11.327,11.327,11.265,11.248,11.263,11.34,11.34,11.501,11.505,11.588,11.59,11.589,11.589,11.589,11.489,11.589,11.61,11.83,11.75,11.831,11.829,11.828,11.887,11.887,11.986,11.911,11.911,11.91,11.91,11.911,11.983,12.063,12.151,12.22,12.22,12.22,12.219,12.218,12.28,12.309,12.389,12.391,12.457,12.469,12.466,12.465,12.516,12.517,12.694,12.704,12.757,12.783,12.783,12.783,12.758,12.784,12.787,12.788,12.863,12.861,12.922,12.921,12.921,13,13.098,13.099,13.097,13.154,13.09,13.147,13.146,13.247,13.247,13.325,13.465,13.629,13.766,13.932,14.007,14.088,14.168,14.169,14.271,14.272,14.331,14.411,14.497,14.575,14.655,14.637,14.519,14.502,14.408,14.351,14.351,14.411,14.512,14.51,14.59,14.668,14.745,14.665,14.64,14.572,14.554,15.262,15.396,15.563,15.801,16.216,16.281,16.545,16.644,17.457,18.994,20.878,23.391,24.216,24.32,25.081,25.797,26.353,27.081,27.577,27.868,28.128,28.224,27.89,27.642,27.578,27.631,27.929,28.245,28.438,28.992,29.389,29.789,30.204,30.201,30.309
"21","12","P1TONG B   Other","P1TONG3",20.577,20.556,20.572,20.657,20.703,20.799,20.876,20.965,21.056,21.043,21.068,21.088,21.12,21.12,21.147,21.131,21.135,21.123,21.127,21.14,21.15,21.147,21.169,21.167,21.182,21.174,21.182,21.19,21.198,21.192,21.183,21.173,21.161,21.167,21.178,21.173,21.203,21.221,21.256,21.253,21.232,21.206,21.206,21.207,21.221,21.229,21.243,21.249,21.275,21.27,21.274,21.357,21.433,21.53,21.54,21.567,21.58,21.646,21.65,21.661,21.679,21.696,21.716,21.712,21.696,21.679,21.69,21.69,21.707,21.71,21.736,21.733,21.787,21.838,21.881,21.912,21.972,22.002,22.012,22.017,22.033,22.052,22.069,22.118,22.163,22.193,22.227,22.278,22.329,22.377,22.422,22.476,22.498,22.534,22.603,22.626,22.666,22.707,22.725,22.762,22.788,22.79,22.875,22.985,23.069,23.151,23.226,23.3,23.392,23.445,23.508,23.601,23.684,23.759,23.802,23.85,23.892,23.984,24.074,24.168,24.18,24.234,24.308,24.415,24.486,24.567,24.684,24.782,24.872,24.922,25.029,25.111,25.203,25.329,25.453,25.53,25.577,25.684,25.794,25.881,25.933,26.002,26.105,26.161,26.254,26.304,26.375,26.495,26.56,26.641,26.699,26.779,26.849,26.883,26.912,26.952,27.063,27.111,27.128,27.213,27.255,27.303,27.341,27.367,27.408,27.41,27.439,27.484,27.527,27.593,27.7,27.826,27.867,27.945,28.082,28.114,28.201,28.294,28.433,28.536,28.714,28.884,29.135,29.474,29.87,30.33,30.881,31.306,31.755,32.192,32.6,32.975,33.262,33.606,33.761,34.142,34.151,34.289,34.355,34.43,34.6,34.73,34.889,35.106
"22","13","P1TSSG B Services","P1TSSG3",15.378,15.366,15.372,15.394,15.394,15.435,15.474,15.514,15.553,15.608,15.646,15.687,15.701,15.728,15.745,15.782,15.838,15.873,15.912,15.944,15.985,16.01,16.058,16.071,16.065,16.077,16.085,16.113,16.131,16.167,16.192,16.209,16.234,16.25,16.269,16.289,16.346,16.37,16.399,16.413,16.449,16.472,16.484,16.5,16.518,16.524,16.549,16.564,16.613,16.619,16.626,16.638,16.668,16.68,16.702,16.721,16.738,16.773,16.806,16.825,16.849,16.889,16.917,16.941,16.971,16.999,17.022,17.073,17.095,17.123,17.143,17.171,17.191,17.217,17.232,17.254,17.295,17.313,17.343,17.363,17.392,17.427,17.468,17.51,17.543,17.584,17.604,17.679,17.724,17.784,17.828,17.875,17.944,18.019,18.055,18.087,18.118,18.155,18.179,18.22,18.259,18.322,18.354,18.398,18.461,18.521,18.572,18.632,18.713,18.801,18.883,18.95,19.019,19.093,19.157,19.231,19.303,19.39,19.456,19.54,19.633,19.698,19.801,19.886,19.987,20.057,20.158,20.227,20.321,20.409,20.494,20.597,20.683,20.761,20.855,20.939,21.027,21.117,21.201,21.283,21.389,21.502,21.61,21.731,21.807,21.898,21.995,22.09,22.202,22.315,22.427,22.531,22.603,22.658,22.732,22.82,22.918,23.007,23.068,23.116,23.175,23.244,23.333,23.413,23.485,23.548,23.628,23.715,23.742,23.817,23.917,24.074,24.162,24.292,24.425,24.57,24.708,24.81,24.935,25.122,25.267,25.459,25.679,25.843,26.065,26.273,26.425,26.634,26.856,27.018,27.204,27.412,27.656,27.853,27.98,28.115,28.293,28.498,28.709,28.8,29.014,29.175,29.43,29.622
"23","14","P1HOSG B   Housing","P1HOSG3",18.401,18.407,18.417,18.499,18.505,18.586,18.594,18.6,18.608,18.684,18.692,18.761,18.76,18.762,18.759,18.758,18.832,18.835,18.887,18.887,18.911,18.918,18.997,19.002,19.005,19.014,19.017,19.09,19.092,19.147,19.173,19.176,19.176,19.178,19.183,19.181,19.253,19.277,19.311,19.261,19.333,19.338,19.359,19.41,19.41,19.417,19.423,19.427,19.504,19.506,19.504,19.529,19.579,19.581,19.591,19.597,19.6,19.675,19.68,19.679,19.677,19.724,19.731,19.736,19.766,19.767,19.769,19.843,19.845,19.848,19.845,19.871,19.866,19.917,19.921,19.926,19.979,19.984,20.008,20.008,20.009,20.033,20.084,20.089,20.143,20.17,20.173,20.241,20.24,20.252,20.266,20.276,20.359,20.437,20.444,20.47,20.526,20.579,20.585,20.61,20.616,20.69,20.699,20.706,20.781,20.833,20.843,20.866,20.942,20.994,21.026,21.103,21.16,21.187,21.245,21.265,21.348,21.406,21.436,21.519,21.577,21.606,21.671,21.705,21.841,21.872,22.006,22.037,22.118,22.201,22.289,22.371,22.46,22.518,22.62,22.676,22.774,22.859,22.918,23.021,23.084,23.191,23.269,23.424,23.484,23.585,23.662,23.739,23.871,23.976,24.034,24.121,24.201,24.231,24.292,24.366,24.443,24.518,24.593,24.62,24.695,24.761,24.839,24.917,25.005,25.023,25.133,25.267,25.403,25.479,25.549,25.65,25.776,25.78,25.877,26.031,26.086,26.165,26.269,26.421,26.412,26.497,26.509,26.588,26.603,26.758,26.848,26.934,27.085,27.264,27.395,27.555,27.856,28.005,28.085,28.231,28.381,28.536,28.684,28.773,28.923,29.157,29.316,29.478
"24","15","P1HOPG B   Household operation","P1HOPG3",21.175,21.218,21.267,21.276,21.286,21.408,21.542,21.679,21.738,21.803,21.853,21.924,21.979,22.062,22.103,22.168,22.224,22.231,22.27,22.294,22.345,22.353,22.356,22.358,22.369,22.409,22.412,22.439,22.458,22.454,22.452,22.419,22.438,22.475,22.493,22.504,22.55,22.524,22.544,22.565,22.583,22.604,22.63,22.662,22.697,22.67,22.678,22.71,22.77,22.805,22.846,22.85,22.886,22.876,22.851,22.841,22.878,22.901,22.936,22.919,22.895,22.91,22.948,23.035,23.083,23.132,23.156,23.157,23.178,23.195,23.2,23.224,23.215,23.193,23.201,23.198,23.204,23.206,23.258,23.313,23.32,23.383,23.404,23.452,23.327,23.222,23.145,23.281,23.43,23.592,23.622,23.63,23.657,23.701,23.72,23.775,23.74,23.798,23.802,23.814,23.824,23.881,23.897,23.95,24,24.013,24.058,24.118,24.214,24.338,24.444,24.502,24.56,24.627,24.637,24.708,24.741,24.833,24.915,24.99,25.047,25.102,25.166,25.244,25.304,25.375,25.451,25.515,25.586,25.697,25.773,25.856,25.842,25.926,26.039,26.188,26.223,26.318,26.479,26.582,26.739,26.904,27.189,27.311,27.45,27.607,27.784,27.929,28.047,28.22,28.566,28.714,28.793,28.8,28.887,28.996,29.169,29.376,29.44,29.517,29.571,29.654,29.756,29.867,29.976,30.094,30.193,30.282,30.441,30.552,30.702,30.882,30.935,31.058,31.063,31.221,31.411,31.554,31.697,32.1,32.482,32.869,33.449,33.771,34.205,34.399,34.671,34.986,35.322,35.462,35.648,35.918,36.498,36.75,36.875,37.126,37.226,37.482,37.647,37.866,38.255,38.509,39.032,39.311
"25","16","P1GELG B     Electricity and gas","P1GELG3",18.59,18.625,18.664,18.665,18.705,18.743,18.859,18.936,18.976,19.05,19.093,19.204,19.241,19.321,19.36,19.434,19.473,19.473,19.516,19.558,19.557,19.563,19.565,19.566,19.567,19.65,19.654,19.658,19.703,19.664,19.666,19.587,19.59,19.628,19.627,19.627,19.666,19.626,19.625,19.623,19.621,19.618,19.654,19.689,19.688,19.608,19.606,19.603,19.637,19.632,19.628,19.624,19.621,19.584,19.541,19.504,19.548,19.587,19.631,19.557,19.485,19.455,19.497,19.583,19.622,19.666,19.671,19.632,19.633,19.633,19.633,19.631,19.626,19.583,19.58,19.538,19.535,19.496,19.493,19.529,19.49,19.567,19.566,19.604,19.567,19.569,19.61,19.611,19.612,19.611,19.612,19.571,19.569,19.568,19.564,19.601,19.598,19.634,19.63,19.626,19.584,19.66,19.658,19.695,19.733,19.732,19.771,19.772,19.772,19.773,19.809,19.814,19.811,19.85,19.852,19.888,19.889,19.89,19.892,19.893,19.933,19.933,20.013,20.092,20.134,20.175,20.25,20.292,20.367,20.482,20.556,20.596,20.631,20.704,20.705,20.784,20.819,20.938,21.012,21.086,21.244,21.44,21.639,21.785,21.904,22.013,22.128,22.234,22.306,22.456,22.613,22.766,22.841,22.834,22.952,23.059,23.165,23.231,23.344,23.42,23.463,23.543,23.619,23.736,23.817,23.934,24.012,24.091,24.381,24.476,24.571,24.698,24.737,24.863,24.903,24.978,25.169,25.346,25.598,25.847,26.52,27.179,27.824,28.26,28.65,28.923,29.23,29.699,30.097,30.303,30.576,31.036,32.002,32.352,32.373,32.755,32.819,33.082,33.233,33.494,34.029,34.276,34.83,35.197
